R U F' R2 B2 U
R U F' B2 R2 U
R U B2 F' R2 U
U R F' R2 B2 U
U R F' B2 R2 U
U R B2 F' R2 U
U R' B2 U2 B' U'
R' B2 U2 B' U' B
U' R' B2 U2 R B' U'
U' R' B2 U2 B' R U'
R' U2 D' B U' R2 B'
R' U2 D' B U' B' R2
U R' B' D B' U L2
U R' B' D2 F2 B' U
U R' B' D2 B' F2 U
F2 R' B2 D' L2 F U
U2 R' B2 U2 B' U' B'
U2 R' B2 D L2 F U
U R' B2 L2 F L2 U
R' U2 D2 F2 B U' B'
R' U2 D2 B F2 U' B'
U R' B2 U2 D B' U'
U R' B2 U2 D' B' U'
U R' B2 U2 D2 B' U'
U R' B2 U2 B' U' D
U R' B2 U2 B' U' D'
U R' B2 U2 B' U' D2
U R' B2 U2 B' D U'
U R' B2 U2 B' D' U'
U R' B2 U2 B' D2 U'
U R' B2 D U2 B' U'
U R' B2 D' U2 B' U'
U R' B2 D2 U2 B' U'
U R' B2 F U2 B' U'
U R' B2 F' U2 B' U'
U R' B2 F2 U2 B' U'
R U2 F D' L2 R2 F2
R U2 F D' L2 F2 R2
R U2 F D' R2 L2 F2
R U2 F D' R2 F2 L2
R U2 F D' F2 L2 R2
R U2 F D' F2 R2 L2
R U2 F' R2 B2 U B2
R' U2 B R' U' B' R'
R U2 F' B2 R2 U B2
R' U2 B R2 F' U' B'
R' U2 B U' B' D' R2
R' U2 B U2 B U B2
R U2 B2 F' R2 U B2
R D L2 B2 U F' U
U R2 B2 R U2 B U'
U R2 B2 R' F' R2 U
D' U R' F U L' R'
D' U R' F U R' L'
D' U F R' U L' R'
D' U F R' U R' L'
R D B2 L2 U F' U
R' D' U2 B U' R2 B'
R' D' U2 B U' B' R2
R D' U F' U F' R2
U D' R' F U L' R'
U D' R' F U R' L'
U2 D' R2 F D' L' F
U D' F R' U L' R'
U D' F R' U R' L'
D2 U' F2 B2 L B' U'
D2 U' B2 L F2 B' U'
D2 U' B2 L B' F2 U'
D2 U' B2 F2 L B' U'
B2 U2 L R' B U' B'
D' U2 R2 F D' L' F
R' D2 U2 F2 B U' B'
R' D2 U2 B F2 U' B'
R D2 U' F2 L2 B' U'
U' D2 F2 B2 L B' U'
B2 U2 R' L B U' B'
U' D2 B2 L F2 B' U'
U' D2 B2 L B' F2 U'
U' D2 B2 F2 L B' U'
B2 U2 D2 L B' U' B
D' F R' U L' R' B
D' F R' U R' L' B
D' F R' U R' B L'
U F R F' R2 B2 U
U F R F' B2 R2 U
U F R B2 F' R2 U
U F R' B2 U2 B' U'
R F R2 F2 B2 U B'
R F R2 B2 F2 U B'
R F D' L2 R2 F2 B
R F D' L2 R2 B F2
R F D' R2 L2 F2 B
R F D' R2 L2 B F2
R F D' R2 F2 L2 B
R F D' R2 F2 B L2
R F D' R2 B L2 F2
R F D' R2 B F2 L2
R F D' F2 L2 R2 B'
R F D' F2 L2 B' R2
R F D' F2 R2 L2 B'
R F B2 R2 F2 U B
R F' L2 R2 B2 U B
U F' R F' R2 B2 U
U F' R F' B2 R2 U
U F' R B2 F' R2 U
U F' R' B2 U2 B' U'
R F' R2 L2 B2 U B
R F' R2 B2 L2 U B'
R F' R2 B2 U' F U2
R F' U D' F2 R2 B
R F' D' U F2 R2 B
R' F' B2 L2 F U B'
R F' B2 L2 R2 U B'
R F' B2 R2 L2 U B'
R F' B2 R2 U' F U2
U F2 R F' R2 B2 U
U F2 R F' B2 R2 U
U F2 R B2 F' R2 U
U F2 R' B2 U2 B' U'
R' F2 B2 D' L2 F U
B2 D2 U2 L B' U' B
R B U F' B R2 U
R B U B F' R2 U
D B' L2 U2 D L' F
D B' L2 D U2 L' F
R B' U F' R2 B' U
R B' U F' B' R2 U
R B' U B' F' R2 U
R' B2 L2 F U' F' U2
D B2 L2 U' L' B' U'
R2 B2 R U2 B U' B'
U B2 R F' U2 L U'
U B2 R' U2 L B U'
D2 B2 U' L F2 B' U'
D2 B2 U' L B' F2 U'
D2 B2 U' F2 L B' U'
R' B2 U2 R B' U' B
R B2 R2 U2 B U' B'
R' B2 U2 R' B' U' B
R' B2 U2 R2 B' U' B
R' B2 U2 D B' U' B
R' B2 U2 D' B' U' B
R' B2 U2 D2 B' U' B
R' B2 U2 B' U' D B
R' B2 U2 B' U' D' B
R' B2 U2 B' U' D2 B
R' B2 U2 B' U' B D
R' B2 U2 B' U' B D'
R' B2 U2 B' U' B D2
R' B2 U2 B' D U' B
R' B2 U2 B' D' U' B
R' B2 U2 B' D2 U' B
R' B2 D U2 B' U' B
R B2 U F' R2 U R2
R' B2 D' U2 B' U' B
U B2 U2 D2 L B' U'
R' B2 D2 U2 B' U' B
R' B2 F' L2 F U B'
U B2 D2 U2 L B' U'
R' B2 F2 D' L2 F U
R B2 F R2 F2 U B
R B2 F' L2 R2 U B'
R B2 F' R2 L2 U B'
R B2 F' R2 U' F U2
