D' L2 U' R B'
D' L2 U' B' R
L2 U' R F2 B'
L2 U' R B' F2
R' U' F2 R2 B
L2 U' B' R F2
U' R' F2 R2 B
L2 R F2 B' U B U'
L2 R F2 B2 D L2 B
L2 R F2 B2 D B L2
L2 R B' U B U' F2
U L F2 L' F U2 F'
L2 R B' F2 U B U'
L2 R B2 F2 D L2 B
L2 R B2 F2 D B L2
L2 R' U' R B' R F2
L2 R' U' R' F2 R' B'
L2 R' U' R2 F2 D B'
L2 R' U' R2 F2 D' B'
L2 R' U' R2 F2 D2 B'
L2 R' U' R2 F2 B' D
L2 R' U' R2 F2 B' D'
L2 R' U' R2 F2 B' D2
L2 R' U' R2 B' F2 D
L2 R' U' R2 B' F2 D'
L2 R' U' R2 B' F2 D2
L2 R' U' F R2 F B'
L2 R' U' F R2 B' F
L2 R' U' F B' R2 F
L2 R' U' F2 R B' R
R2 L' U' F2 D R' B
L2 R' U' F2 R2 D B'
L2 R' U' F2 R2 D' B'
L2 R' U' F2 R2 D2 B'
L2 R' U' F2 R2 B' D
L2 R' U' F2 R2 B' D'
L2 R' U' F2 R2 B' D2
L2 R' U' F2 B R2 B2
L2 R' U' F2 B' R2 D
L2 R' U' F2 B' R2 D'
L2 R' U' F2 B' R2 D2
L2 R' U' B R2 F2 B2
L2 R' U' B R2 B2 F2
L2 R' U' B F2 R2 B2
L2 R' U' B' R' F2 R'
L2 R' U' B' R2 F2 D
L2 R' U' B' R2 F2 D'
L2 R' U' B' R2 F2 D2
L2 R' U' B' F R2 F
L2 R' U' B' F2 R2 D
L2 R' U' B' F2 R2 D'
L2 R' U' B' F2 R2 D2
U' L' R F2 L' B' L2
U L' R' F2 L' R2 B'
U L' R' F2 L' B' R2
U L' R' F2 R2 L' B'
L2 R' F U' R2 F B'
L2 R' F U' R2 B' F
L2 R' F U' F R2 B'
L2 R' F U' F B' R2
L2 R' F U' B' R2 F
L2 R' F U' B' F R2
U' L' U2 L R F2 B
U' L' U2 L R B F2
U' L' U2 R L F2 B
U' L' U2 R L B F2
U' L' U2 R F2 L B
D L' U2 R2 U R' B
L2 R' F' U' F' R2 B'
L2 R' F' U' F' B' R2
L2 R' F' U' B' F' R2
U L' U2 R F2 D B
U L' U2 R F2 D' B
U L' U2 R F2 D2 B
U L' U2 R F2 B D
U L' U2 R F2 B D'
U L' U2 R F2 B D2
U L' U2 R B F2 D
U L' U2 R B F2 D'
U L' U2 R B F2 D2
U L' U2 R2 F2 R' B
D' L' D L' U' R B'
D' L' D L' U' B' R
U L' U2 B R F2 B
U L' U2 B R B F2
U L' U2 B' R F2 B
U L' U2 B' R B F2
U L' U2 B2 R F2 B
U L' U2 B2 R B F2
D' L' D' L' U' R B'
D' L' D' L' U' B' R
D' L' D2 L' U' R B'
D' L' D2 L' U' B' R
U L' D2 B2 U2 R B
L2 R2 U R' F2 B' L'
R2 L2 U R' F2 B' L'
L2 R2 U R' B' F2 L'
R2 L2 U R' B' F2 L'
R' L2 U' R B' R F2
R' L2 U' R' F2 R' B'
R' L2 U' R2 F2 D B'
R' L2 U' R2 F2 D' B'
R' L2 U' R2 F2 D2 B'
R' L2 U' R2 F2 B' D
R' L2 U' R2 F2 B' D'
R' L2 U' R2 F2 B' D2
R' L2 U' R2 B' F2 D
R' L2 U' R2 B' F2 D'
R' L2 U' R2 B' F2 D2
L2 R2 U' R F2 R2 B'
L2 R2 U' R F2 B' R2
R' L2 U' F R2 F B'
R' L2 U' F R2 B' F
L2 R2 U' R B' R2 F2
R2 L2 U' R F2 R2 B'
L2 R2 U' R B' F2 R2
R2 L2 U' R F2 B' R2
R2 L2 U' R B' R2 F2
R2 L2 U' R B' F2 R2
R' L2 U' F B' R2 F
L2 R2 U' R' F2 D B'
L2 R2 U' R' F2 D' B'
L2 R2 U' R' F2 D2 B'
L2 R2 U' R' F2 B' D
L2 R2 U' R' F2 B' D'
L2 R2 U' R' F2 B' D2
L2 R2 U' R' B' F2 D
L2 R2 U' R' B' F2 D'
L2 R2 U' R' B' F2 D2
R2 L2 U' R' F2 D B'
R2 L2 U' R' F2 D' B'
R2 L2 U' R' F2 D2 B'
R2 L2 U' R' F2 B' D
R2 L2 U' R' F2 B' D'
R2 L2 U' R' F2 B' D2
R2 L2 U' R' B' F2 D
R2 L2 U' R' B' F2 D'
R2 L2 U' R' B' F2 D2
R' L2 U' F2 R B' R
R' L2 U' F2 R2 D B'
R' L2 U' F2 R2 D' B'
R' L2 U' F2 R2 D2 B'
R' L2 U' F2 R2 B' D
R' L2 U' F2 R2 B' D'
R' L2 U' F2 R2 B' D2
L2 R2 U' R2 B' R F2
R2 L2 U' R2 B' R F2
R' L2 U' F2 B R2 B2
R' L2 U' F2 B' R2 D
R' L2 U' F2 B' R2 D'
R' L2 U' F2 B' R2 D2
L' R2 U' F2 D R' B
R' L2 U' B R2 F2 B2
R' L2 U' B R2 B2 F2
R' L2 U' B F2 R2 B2
R' L2 U' B' R' F2 R'
R' L2 U' B' R2 F2 D
R' L2 U' B' R2 F2 D'
R' L2 U' B' R2 F2 D2
R' L2 U' B' F R2 F
R' L2 U' B' F2 R2 D
R' L2 U' B' F2 R2 D'
R' L2 U' B' F2 R2 D2
L2 R2 U' F R' F B'
L2 R2 U' F R' B' F
R2 L2 U' F R' F B'
R2 L2 U' F R' B' F
L2 R2 U' F2 R B' R2
L2 R2 U' F2 R' D B'
L2 R2 U' F2 R' D' B'
L2 R2 U' F2 R' D2 B'
L2 R2 U' F2 R' B' D
L2 R2 U' F2 R' B' D'
L2 R2 U' F2 R' B' D2
L2 R2 U' F2 R2 B' R
R2 L2 U' F2 R B' R2
R2 L2 U' F2 R' D B'
R2 L2 U' F2 R' D' B'
R2 L2 U' F2 R' D2 B'
R2 L2 U' F2 R' B' D
R2 L2 U' F2 R' B' D'
R2 L2 U' F2 R' B' D2
L2 R2 U' F2 D R' B'
L2 R2 U' F2 D' R' B'
R2 L2 U' F2 R2 B' R
L2 R2 U' F2 D2 R' B'
R2 L2 U' F2 D R' B'
R2 L2 U' F2 D' R' B'
R2 L2 U' F2 D2 R' B'
L R2 U' F2 D2 R' B
U L' B U2 R F2 B
U L' B U2 R B F2
U L' B' U2 R F2 B
U L' B' U2 R B F2
U L' B2 U2 R F2 B
U L' B2 U2 R B F2
B' L2 R F2 D B' L
U' L2 R F' B' L2 F'
U' L2 R F2 B L2 B2
U' L2 R F2 B' L2 D
U' L2 R F2 B' L2 D'
U' L2 R F2 B' L2 D2
U' L2 R F2 B2 L2 B
U' L2 R B L2 F2 B2
U' L2 R B L2 B2 F2
U' L2 R B F2 L2 B2
U' L2 R B' L F2 L
U' L2 R B' L2 F2 D
U' L2 R B' L2 F2 D'
U' L2 R B' L2 F2 D2
B2 L2 R F2 D B' L2
U' L2 R B' F' L2 F'
U' L2 R B' F2 L2 D
U' L2 R B' F2 L2 D'
U' L2 R B' F2 L2 D2
U2 L2 R F2 D' B' L2
U2 L2 R F2 B' D' L2
U' L2 R B2 L2 F2 B
U' L2 R B2 L2 B F2
D' L2 R' U' R B' R
D' L2 R' U' R2 D B'
D' L2 R' U' R2 D' B'
D' L2 R' U' R2 D2 B'
D' L2 R' U' R2 B' D
D' L2 R' U' R2 B' D'
D' L2 R' U' R2 B' D2
U' L2 R B2 F2 L2 B
D' L2 R' U' B R2 B2
D' L2 R' U' B' R2 D
D' L2 R' U' B' R2 D'
D' L2 R' U' B' R2 D2
U2 L2 R B' F2 D' L2
U2 L2 R' U R2 F2 B'
U2 L2 R' U R2 B' F2
U2 L2 R' U F2 R2 B'
U2 L2 R' U F2 B' R2
U2 L2 R' U B' R2 F2
U2 L2 R' U B' F2 R2
D' L2 R' D' F2 U' B'
U L2 R F2 B2 L B
D' L2 R' F U' R2 B'
D' L2 R' F U' B' R2
R' L2 F U' R2 F B'
D' L2 R' F' U' R2 B'
R' L2 F U' R2 B' F
D' L2 R' F' U' B' R2
U L2 R B2 L F2 B
U L2 R B2 L B F2
R' L2 F U' F R2 B'
R' L2 F U' F B' R2
R' L2 F U' B' R2 F
R' L2 F U' B' F R2
D' L2 R' F2 U' R2 B'
D' L2 R' F2 U' B' R2
U L2 R B2 F2 L B
U' L2 R' F2 R2 B' L2
U' L2 R' F2 B' L2 R2
U' L2 R' F2 B' R2 L2
U' L2 R' B' L2 R2 F2
U' L2 R' B' L2 F2 R2
U' L2 R' B' R2 L2 F2
U' L2 R' B' R2 F2 L2
U' L2 R' B' F2 L2 R2
U' L2 R' B' F2 R2 L2
D' L2 R2 U' R B' R2
L2 R2 F U' R' F B'
L2 R2 F U' R' B' F
D' L2 R2 U' R' D B'
D' L2 R2 U' R' D' B'
D' L2 R2 U' R' D2 B'
D' L2 R2 U' R' B' D
D' L2 R2 U' R' B' D'
D' L2 R2 U' R' B' D2
D' L2 R2 U' R2 B' R
D' L2 R2 U' D R' B'
D' L2 R2 U' D' R' B'
D' L2 R2 U' D2 R' B'
L2 R2 F U' F R' B'
R2 L2 F U' R' F B'
R2 L2 F U' R' B' F
R2 L2 F U' F R' B'
D' L2 R2 D U' R' B'
U2 L2 R2 U R' F2 B'
U2 L2 R2 U R' B' F2
D' L2 R2 D' U' R' B'
U2 L2 R2 U F2 R' B'
U L2 R' F2 R2 B' L'
D' L2 R2 D2 U' R' B'
U L2 R' F2 B' L' R2
U L2 R' F2 B' R2 L'
D' L2 R2 F U' R' B'
D' L2 R2 F' U' R' B'
U L2 R' B' F2 L' R2
U L2 R' B' F2 R2 L'
D' L2 R2 F2 U' R' B'
U' L2 R2 F2 R' B' L2
R' L2 F' U' F' R2 B'
R' L2 F' U' F' B' R2
R' L2 F' U' B' F' R2
D' L2 U L U2 R B
L2 R2 F' U' F' R' B'
R2 L2 F' U' F' R' B'
U' L2 U R F2 B' L2
U' L2 U R B' L2 F2
U' L2 U R B' F2 L2
U2 L2 U R F2 D B'
U2 L2 U R F2 D' B'
U2 L2 U R F2 D2 B'
U2 L2 U R F2 B' D
U2 L2 U R F2 B' D'
U2 L2 U R F2 B' D2
U2 L2 U R B' F2 D
U2 L2 U R B' F2 D'
U2 L2 U R B' F2 D2
U2 L2 U R' F2 R2 B'
U2 L2 U R' F2 B' R2
U2 L2 U R' B' R2 F2
U2 L2 U R' B' F2 R2
U2 L2 U R2 F2 R' B'
D' L2 U F' U2 B' R'
D2 L2 U B2 U2 B R
U' L2 U B' L2 R F2
U' L2 U B' R L2 F2
U' L2 U B' R F2 L2
U2 L2 U B R F2 B2
U2 L2 U B R B2 F2
U2 L2 U B' R F2 D
U2 L2 U B' R F2 D'
U2 L2 U B' R F2 D2
U2 L2 U B' R' F2 R2
U2 L2 U B' R2 F2 R'
D2 L2 U' R D2 F2 B'
D2 L2 U' R D2 B' F2
D' L2 U' R D B' D
D' L2 U' R D B' D'
D' L2 U' R D B' D2
D' L2 U' R D' B' D
D' L2 U' R D' B' D'
D' L2 U' R D' B' D2
D' L2 U' R D2 B' D
D' L2 U' R D2 B' D'
D' L2 U' R D2 B' D2
D' L2 U' R B2 D B
D' L2 U' R B2 D' B
D' L2 U' R B2 D2 B
D' L2 U' R' B R2 B2
D' L2 U' R' B' R2 D
D' L2 U' R' B' R2 D
D' L2 U' R' B' R2 D'
D' L2 U' R' B' R2 D2
U' L2 U' R F2 B' L2
U' L2 U' R B' L2 F2
D' L2 U' R2 D R' B'
U' L2 U' R B' F2 L2
D' L2 U' R2 D' R' B'
D' L2 U' R2 D2 R' B'
D' L2 U' D R D B'
D' L2 U' D R D' B'
D' L2 U' D R D2 B'
D' L2 U' D R B' D
D' L2 U' D R B' D'
D' L2 U' D R B' D2
D' L2 U' D R' B' R2
D' L2 U' D B R B2
D' L2 U' D B' R D
D' L2 U' D B' R D'
D' L2 U' D B' R D2
D' L2 U' D B' D R
D' L2 U' D B' D' R
D' L2 U' D B' D2 R
D' L2 U' D' R D B'
D' L2 U' D' R D' B'
D' L2 U' D' R D2 B'
D' L2 U' D' R B' D
D' L2 U' D' R B' D'
D' L2 U' D' R B' D2
D' L2 U' D' R' B' R2
D2 L2 U' D2 R F2 B'
D' L2 U' D' B R B2
D2 L2 U' D2 R B' F2
D' L2 U' D' B' R D
D' L2 U' D' B' R D'
D' L2 U' D' B' R D2
D' L2 U' D' B' D R
D' L2 U' D' B' D' R
D' L2 U' D' B' D2 R
D' L2 U' D2 R D B'
D' L2 U' D2 R D' B'
D' L2 U' D2 R D2 B'
D' L2 U' D2 R B' D
D' L2 U' D2 R B' D'
D' L2 U' D2 R B' D2
D2 L2 U' D2 B' R F2
D' L2 U' D2 R' B' R2
D' L2 U' D2 B R B2
D' L2 U' D2 B' R D
D' L2 U' D2 B' R D'
D' L2 U' D2 B' R D2
D' L2 U' D2 B' D R
D' L2 U' D2 B' D' R
D' L2 U' D2 B' D2 R
D' L2 U' B R B2 D
D' L2 U' B R B2 D'
D' L2 U' B R B2 D2
D' L2 U' B R' B2 R2
D L2 U' D' R F2 B'
D L2 U' D' R B' F2
D L2 U' D' B' R F2
D' L2 U' B' R2 D R'
D' L2 U' B' R2 D' R'
D' L2 U' B' R2 D2 R'
D' L2 U' B' D R D
D' L2 U' B' D R D'
D' L2 U' B' D R D2
D' L2 U' B' D' R D
D' L2 U' B' D' R D'
D' L2 U' B' D' R D2
D' L2 U' B' D2 R D
D' L2 U' B' D2 R D'
D' L2 U' B' D2 R D2
U' L2 U' B' L2 R F2
D' L2 U' B2 D B R
U' L2 U' B' R L2 F2
U' L2 U' B' R F2 L2
D' L2 U' B2 D' B R
D' L2 U' B2 D2 B R
R L2 F2 B' U B U'
R L2 F2 B2 D L2 B
R L2 F2 B2 D B L2
D L2 U' B' D' R F2
U' L2 U2 R F2 B' L2
U' L2 U2 R B' L2 F2
U' L2 U2 R B' F2 L2
D L2 U2 R2 U R' B'
D' L2 U2 B U R B2
D' L2 U2 B U B2 R
U L2 U2 R F2 D B'
U L2 U2 R F2 D' B'
U L2 U2 R F2 D2 B'
U L2 U2 R F2 B' D
U L2 U2 R F2 B' D'
U L2 U2 R F2 B' D2
U L2 U2 R B' F2 D
U L2 U2 R B' F2 D'
U L2 U2 R B' F2 D2
U' L2 U2 B' L2 R F2
U' L2 U2 B' R L2 F2
U' L2 U2 B' R F2 L2
D' L2 U2 B2 U B R
U L2 U2 R' F2 R2 B'
U L2 U2 R' F2 B' R2
U L2 U2 R' B' R2 F2
U L2 U2 R' B' F2 R2
U L2 U2 R2 F2 R' B'
D' L2 D R' U' R2 B'
D' L2 D R' U' B' R2
D' L2 D R2 U' R' B'
U L2 U2 B R F2 B2
U L2 U2 B R B2 F2
D' L2 D U' R D B'
D' L2 D U' R D' B'
D' L2 D U' R D2 B'
D' L2 D U' R B' D
D' L2 D U' R B' D'
D' L2 D U' R B' D2
D' L2 D U' R' B' R2
D' L2 D U' B R B2
D' L2 D U' B' R D
D' L2 D U' B' R D'
D' L2 D U' B' R D2
D' L2 D U' B' D R
D' L2 D U' B' D' R
D' L2 D U' B' D2 R
U L2 U2 B' R F2 D
U L2 U2 B' R F2 D'
U L2 U2 B' R F2 D2
U L2 U2 B' R' F2 R2
U L2 U2 B' R2 F2 R'
R L2 B' U B U' F2
U2 L2 D R2 U R' B'
R L2 B' F2 U B U'
D' L2 D' R' U' R2 B'
D' L2 D' R' U' B' R2
D' L2 D' R2 U' R' B'
D' L2 D' U' R D B'
D' L2 D' U' R D' B'
D' L2 D' U' R D2 B'
D' L2 D' U' R B' D
D' L2 D' U' R B' D'
D' L2 D' U' R B' D2
D' L2 D' U' R' B' R2
D' L2 D' U' B R B2
D' L2 D' U' B' R D
D' L2 D' U' B' R D'
D' L2 D' U' B' R D2
D' L2 D' U' B' D R
D' L2 D' U' B' D' R
D' L2 D' U' B' D2 R
D L2 D' U' R F2 B'
D L2 D' U' R B' F2
D L2 D' U' B' R F2
R L2 B2 F2 D L2 B
R L2 B2 F2 D B L2
L2 U L U2 R F2 B
L2 U L U2 R B F2
D' L2 D2 R' U' R2 B'
D' L2 D2 R' U' B' R2
L U L U2 R F2 B'
L U L U2 R B' F2
L U L U2 B' R F2
D' L2 D2 R2 U' R' B'
D2 L2 D2 U' R F2 B'
D2 L2 D2 U' R B' F2
D2 L2 D2 U' B' R F2
D' L2 D2 U' R D B'
D' L2 D2 U' R D' B'
D' L2 D2 U' R D2 B'
D' L2 D2 U' R B' D
D' L2 D2 U' R B' D'
D' L2 D2 U' R B' D2
D' L2 D2 U' R' B' R2
D' L2 D2 U' B R B2
D' L2 D2 U' B' R D
D' L2 D2 U' B' R D'
D' L2 D2 U' B' R D2
D' L2 D2 U' B' D R
D' L2 D2 U' B' D' R
D' L2 D2 U' B' D2 R
R2 U L' R' F2 L' B'
U L2 D2 B2 U2 B R
R' U L2 U2 R2 F2 B'
R' U L2 U2 R2 B' F2
R' U L2 U2 F2 R2 B'
R' U L2 U2 F2 B' R2
R' U L2 U2 B' R2 F2
R' U L2 U2 B' F2 R2
R2 U L2 R' F2 B' L'
R2 U L2 R' B' F2 L'
R2 U L2 U2 R' F2 B'
R2 U L2 U2 R' B' F2
R2 U L2 U2 F2 R' B'
L U L2 U2 R F2 B
L U L2 U2 R B F2
U L2 F' U2 F' B' R'
U L2 F' U2 B' F' R'
L2 U R F2 B2 L B
L2 U R B2 L F2 B
L2 U R B2 L B F2
L2 U R B2 F2 L B
L U R F2 B2 L B'
U' L2 F2 B L2 B2 R'
L U R B2 L F2 B'
L U R B2 L B' F2
L U R B2 F2 L B'
R2 U R' L' F2 L' B'
R2 U R' L2 F2 B' L'
R2 U R' L2 B' F2 L'
U' L2 B L2 R F2 B2
U' L2 B L2 R B2 F2
U' L2 B L2 B2 R F2
U' L2 B R L2 F2 B2
U' L2 B R L2 B2 F2
U' L2 B R F2 L2 B2
U' L2 B R F2 B2 L2
U' L2 B R B2 L2 F2
U' L2 B R B2 F2 L2
B' L2 B U' R F2 B2
B' L2 B U' R B2 F2
L2 U R' F2 R2 B' L'
L2 U R' F2 B' L' R2
L2 U R' F2 B' R2 L'
B' L2 B U' B2 R F2
U2 L2 B U R F2 B2
U2 L2 B U R B2 F2
U2 L2 B U B2 R F2
L2 U R' B' F2 L' R2
L2 U R' B' F2 R2 L'
U L2 B R F2 B2 L
U' L2 B F2 L2 B2 R'
U L2 B R B2 L F2
U L2 B R B2 F2 L
U' L2 B' L R F2 L
U' L2 B' L2 R F2 D
U' L2 B' L2 R F2 D'
U' L2 B' L2 R F2 D2
U' L2 B' L2 R' F2 R2
U' L2 B' L2 R2 F2 R'
U' L2 B' R L F2 L
U' L2 B' R L2 F2 D
U' L2 B' R L2 F2 D'
U' L2 B' R L2 F2 D2
B' L2 B' R F2 D L2
U' L2 B' R F' L2 F'
U' L2 B' R F2 L2 D
U' L2 B' R F2 L2 D'
U' L2 B' R F2 L2 D2
U L2 B U2 R F2 B2
U L2 B U2 R B2 F2
U' L2 B' R' L2 F2 R2
U L2 B U2 B2 R F2
U' L2 B' R' F2 L2 R2
U' L2 B' R' F2 R2 L2
U' L2 B' R2 L2 F2 R'
U' L2 B' R2 F2 L2 R'
U' L2 B' R2 F2 R' L2
U2 L2 B' R F2 D' L2
U L2 B' R' F2 L' R2
U L2 B' R' F2 R2 L'
U' L2 B2 L2 B R F2
U2 L2 B2 U B R F2
B2 L2 B2 U' B R F2
R' U D2 L2 B2 U2 B
U L2 B2 U2 B R F2
R' U D2 F L2 B2 U2
R' U D2 F B2 L2 U2
R' U D2 B2 L2 U2 B'
R' U D2 B2 F L2 U2
R' U F L2 B' U2 R2
R2 U D2 F B2 L U2
L2 U D2 B2 U2 B R
U R L F2 B2 L B'
U' R L' F2 L' B' L2
R2 U D2 B2 F L U2
R' U F U2 R' F R'
R' U F U2 R2 D F
R' U F U2 R2 D' F
R' U F U2 R2 D2 F
R' U F U2 R2 F D
R' U F U2 R2 F D'
R' U F U2 R2 F D2
R' U F U2 F R2 D
R' U F U2 F R2 D'
R' U F U2 F R2 D2
R' U F U2 F' R2 F2
U R L B2 L F2 B'
U R L B2 L B' F2
R2 U F L' U2 R' F'
U R L B2 F2 L B'
R' U F D2 L2 B' U2
R' U F B U2 R2 F
R' U F B U2 F R2
R' U F B' U2 R2 F
R' U F B' U2 F R2
R' U F B2 U2 R2 F
R' U F B2 U2 F R2
R2 U F U2 R F R2
R2 U F U2 R' D F
R2 U F U2 R' D' F
R2 U F U2 R' D2 F
R2 U F U2 R' F D
R2 U F U2 R' F D'
R2 U F U2 R' F D2
R2 U F U2 D R' F
R2 U F U2 D F R'
R2 U F U2 D' R' F
R2 U F U2 D' F R'
R2 U F U2 D2 R' F
R2 U F U2 D2 F R'
R2 U F U2 F R' D
R2 U F U2 F R' D'
R2 U F U2 F R' D2
R2 U F U2 F D R'
R2 U F U2 F D' R'
R2 U F U2 F D2 R'
R2 U F U2 F' R' F2
R2 U F D U2 R' F
R2 U F D U2 F R'
R2 U F D' U2 R' F
R2 U F D' U2 F R'
U' R L2 F' B' L2 F'
R2 U F D2 U2 R' F
R2 U F D2 U2 F R'
B' R L2 F2 D B' L
R U F U' F' U' F2
U' R L2 F2 B L2 B2
U' R L2 F2 B' L2 D
U' R L2 F2 B' L2 D'
U' R L2 F2 B' L2 D2
U' R L2 F2 B2 L2 B
U' R L2 B L2 F2 B2
U' R L2 B L2 B2 F2
R2 U F B U2 F R
R U F U2 F D R2
U' R L2 B F2 L2 B2
U' R L2 B' L F2 L
U' R L2 B' L2 F2 D
U' R L2 B' L2 F2 D'
U' R L2 B' L2 F2 D2
U' R L2 B' F' L2 F'
U' R L2 B' F2 L2 D
U' R L2 B' F2 L2 D'
U' R L2 B' F2 L2 D2
B2 R L2 F2 D B' L2
U' R L2 B2 L2 F2 B
U' R L2 B2 L2 B F2
R' U F' U2 F' R2 B
U' R L2 B2 F2 L2 B
U2 R L2 F2 D' B' L2
U2 R L2 F2 B' D' L2
U2 R L2 B' F2 D' L2
U' R U L2 U' F2 B'
U' R U L2 U' B' F2
L2 U F' U2 F' B' R'
L2 U F' U2 B' F' R'
U' R U D' L2 U' B'
U R L2 F2 B2 L B
U R L2 B2 L F2 B
U R L2 B2 L B F2
U R L2 B2 F2 L B
R' U F2 R2 D2 L2 B
R' U F2 R2 D2 B L2
R' U F2 R2 B D2 L2
U2 R U F2 D R2 B
U' R U' L2 U F2 B'
U' R U' L2 U B' F2
L U F2 L' F U2 F'
R' U B U2 F2 R2 B
L2 U B R F2 B2 L
L2 U B R B2 L F2
L2 U B R B2 F2 L
R' U B F U2 R2 F
R' U B F U2 F R2
L2 U B U2 R F2 B2
L2 U B U2 R B2 F2
L2 U B U2 B2 R F2
U' R U2 D2 F B2 U2
U' R U2 D2 B2 F U2
U' R U2 F U2 D F
U' R U2 F U2 D' F
U' R U2 F U2 D2 F
U' R U2 F U2 F D
U' R U2 F U2 F D'
U' R U2 F U2 F D2
U' R U2 F D U2 F
U' R U2 F D' U2 F
U' R U2 F D2 U2 F
U' R U2 F B U2 F
U' R U2 F B' U2 F
U' R U2 F B2 U2 F
R2 U B F U2 F R
U' R U2 B F U2 F
U' R U2 B' F U2 F
R' U B' U2 F2 R2 B
U' R U2 B2 F U2 F
U R U2 R' F U2 F
L2 U B' R' F2 L' R2
L2 U B' R' F2 R2 L'
R' U B' F U2 R2 F
R' U B' F U2 F R2
B2 R D L2 D' F2 B'
B2 R D L2 D' B' F2
U R U2 F R' U2 F
B2 R D L2 B' D' F2
R' U B2 U2 F2 R2 B
R' U B2 F U2 R2 F
R' U B2 F U2 F R2
L2 U B2 U2 B R F2
U' R D' U L2 U' B'
L U' L R B' L' F2
U' R D2 L2 B' L2 F
U' R D2 U2 F B2 U2
U' R D2 U2 B2 F U2
U' R D2 F' D2 F2 B2
