D L' F2 U' L2 F'
D L' F2 U' F' L2
U L2 U2 D L' F
U L2 D U2 L' F
B2 U L2 R' U2 F'
B2 U R' L2 U2 F'
D2 F L' U' L2 R2
D2 F L' U' R2 L2
D F2 L' U' F L2
D F2 U' L' F L2
U' D2 R2 L2 D' L' F
U' D2 R2 D' L' F L2
U' D2 R2 F L D F2
U' D2 F L R2 D F2
U' D2 F R2 L D F2
D2 U2 F' R U L R
D2 U2 F' R U R L
U2 D2 F' R U L R
U2 D2 F' R U R L
D2 U2 F2 U L R2 F
D2 U2 F2 U L F R2
D2 U2 F2 U R2 L F
U2 D2 F2 U L R2 F
U2 D2 F2 U L F R2
U2 D2 F2 U R2 L F
D' U2 B2 U' R' B U2
D2 F L R2 D F2 B2
D2 F L R2 D B2 F2
B2 U2 D' B2 U L F
D2 F L' U' L2 R2 D
D2 F L' U' L2 R2 D'
D2 F L' U' L2 R2 D2
D2 F L' U' R2 L2 D
D2 F L' U' R2 L2 D'
D2 F L' U' R2 L2 D2
D2 F L' D' F2 B2 U'
D2 F L' D' B2 F2 U'
D2 F L' F U' L2 R2
D2 F L' F U' R2 L2
D2 F L' F' U' L2 R2
D2 F L' F' U' R2 L2
D2 F L' F2 U' L2 R2
D2 F L' F2 U' R2 L2
D2 F L' B U' L2 R2
D2 F L' B U' R2 L2
D2 F L' B' U' L2 R2
D2 F L' B' U' R2 L2
D2 F L' B2 U' L2 R2
D2 F L' B2 U' R2 L2
D F L' U' F L2 R
D F L' U' F R L2
D2 F R2 L D F2 B2
D2 F R2 L D B2 F2
D2 F U' L R2 D F2
D2 F U' R2 L D F2
B' D L F2 B U' L
B' D L B F2 U' L
F' D L' F2 U' L2 F'
F' D L' F2 U' F' L2
F2 D L' F2 U' L2 F'
F2 D L' F2 U' F' L2
D2 F D' L' F2 U' L2
D F D F L' U' L2
F D L' F2 U' L2 F'
F D L' F2 U' F' L2
D F' L' F' U' L2 F2
D F' L' F' U' F2 L2
B' D F2 L B U' L
F' D F2 L' U' F L2
F2 D F2 L' U' F L2
F' D F2 U' L' F L2
B2 D F2 U R' U2 F'
F2 D F2 U' L' F L2
F D F2 L' U' F L2
F D F2 U' L' F L2
B D F2 B2 L B' U'
B D B2 L F2 B' U'
B D B2 L B' F2 U'
D2 F' U2 R U L R
D2 F' U2 R U R L
B D B2 F2 L B' U'
D2 F' D' F2 L' U' L2
B2 D' U2 B2 U L F
D F2 L' U' F L2 D
D F2 L' U' F L2 D'
D F2 L' U' F L2 D2
D F2 L' U' F' L2 F2
D F2 L' U' F2 L2 F'
D F2 L' D' B2 U' F
D F2 L' B U' F L2
D F2 L' B' U' F L2
D F2 L' B2 U' F L2
D2 F2 U L F R2 B
D2 F2 U' L R' F' R'
D2 F2 U' R' L F' R'
D2 F2 U' R' F' L R'
D2 F2 U' R' F' R' L
L' F2 U' L2 D' R F'
B' D2 L B U' L R2
B' D2 L B U' R2 L
D F2 U' L U2 B' U2
D F2 U' L' F L2 D
D F2 U' L' F L2 D'
D F2 U' L' F L2 D2
D F2 U' L' F' L2 F2
D F2 U' L' F2 L2 F'
D F2 U' F L' F L2
D F2 U' F' L' F L2
D F2 U' F2 L' F L2
L' F2 D' B2 U' R F'
L' F2 B' L U' L R
L' F2 B' L U' R L
B2 D2 U R' U2 F' R'
F' D2 F L' U' L2 R2
F' D2 F L' U' R2 L2
F2 D2 F L' U' L2 R2
F2 D2 F L' U' R2 L2
F D2 F L' U' L2 R2
F D2 F L' U' R2 L2
L2 B U2 R' U L' R
L2 B U2 R' U R L'
B2 F U L2 R' U2 F'
B2 F U R' L2 U2 F'
L' B' L U L2 U2 L'
L' B' L U' D2 L R2
L' B' L U' D2 R2 L
L' B' L D F2 U' L
L' B' L D2 U' L R2
L' B' L D2 U' R2 L
L2 B' L U L' U2 L'
L2 B' L F2 U' L2 R
L2 B' L F2 U' R L2
L B' L B' U' L' R'
L B' L B' U' R' L'
U B' L2 U' L' B' U'
B2 F' U L2 R' U2 F'
B2 F' U R' L2 U2 F'
L' B' F2 L U' L R
L' B' F2 L U' R L
L B2 L' U' L R' F
L B2 L' U' L F R'
L B2 L' U' R' L F
D' B2 U R' B U2 R
D' B2 U' R' B U2 B'
F' B2 U L2 R' U2 F'
F' B2 U R' L2 U2 F'
B2 F2 U L2 R' U2 F'
B2 F2 U R' L2 U2 F'
F2 B2 U L2 R' U2 F'
F2 B2 U R' L2 U2 F'
F B2 U L2 R' U2 F'
F B2 U R' L2 U2 F'
