U L' R F' U
U R L' F' U
U L R F' L2 U
L' R F' U' L U2
L' R F' B2 U R'
L' R B2 F' U R'
U L' R D F' U
U L' R D' F' U
U L' R D2 F' U
U L' R F' U D
U L' R F' U D'
U L' R F' U D2
U L' R F' D U
U L' R F' D' U
U L' R F' D2 U
U2 L' R F' U R'
R L' F' U' L U2
R L' F' B2 U R'
R L' B2 F' U R'
U L2 R F' L U
R' U L' R2 F' U
R U L' F' U F
R' U R2 L' F' U
U R L F' L2 U
U R L' D F' U
U R L' D' F' U
U R L' D2 F' U
U2 R L' F' U R'
U R L' F' U D
U R L' F' U D'
U R L' F' U D2
U R L' F' D U
U R L' F' D' U
U R L' F' D2 U
U R L2 F' L U
U R D L' F' U
U R D' L' F' U
U R D2 L' F' U
B' U L' R F' U
B2 U L' R F' U
D2 U L' R F U
B U L' R F' U
B' U R L' F' U
B2 U R L' F' U
D2 U R L' F U
B U R L' F' U
U D2 L' R F U
U D2 R L' F U
L' B2 R F' U R2
B' L' B2 R F' U R2
B2 L' B2 R F' U R2
U2 L' B2 R F' U R'
R L2 D' L F' B2 U
R L2 D' L B2 F' U
B L' B2 R F' U R2
U L' B2 R F' B2 U
U L' B2 R B2 F' U
R L2 D' F' L B2 U
R L2 D2 L F' U R2
U2 L2 R F' L U R'
U L2 R D L F' U
U L2 R D F' L U
U L2 R D' L F' U
U L2 R D' F' L U
U L2 R D2 L F' U
U L2 R D2 F' L U
U L2 R F L F2 U
U L2 R F' L U D
U L2 R F' L U D'
U L2 R F' L U D2
U L2 R F' L D U
U L2 R F' L D' U
U L2 R F' L D2 U
U L2 R F' D L U
U L2 R F' D' L U
U L2 R F' D2 L U
R L2 D2 F' L U R2
R L2 F' L U' L U2
R L2 F' L B2 U R'
R L2 F' D' L B2 U
R L2 F' D2 L U R2
U2 L2 U' L R F' U
U2 L2 U' R L F' U
U2 L2 U' R F' L U
U' L2 U2 L R F' U
U' L2 U2 R L F' U
U' L2 U2 R F' L U
R' U L R2 F' L2 U
R' U L' R2 D F' U
R' U L' R2 D' F' U
R' U L' R2 D2 F' U
R' U L' R2 F' U D
R' U L' R2 F' U D'
R' U L' R2 F' U D2
R' U L' R2 F' D U
R' U L' R2 F' D' U
R' U L' R2 F' D2 U
R' U L' F R2 F' U
R2 U L' R' F' U L'
R' U L' F' R2 F' U
R' U L' F2 R2 F' U
R' U L2 R2 F' L U
R U L' D F' U F
R2 U L' F' R' U L'
R U L' D' F' U F
R U L' D2 F' U F
R U L' F' R U F
R U L' F' R' U F
R U L' F' R2 U F
R U L' F' U D F
R U L' F' U D' F
R U L' F' U D2 F
R U L' F' U F D
R U L' F' U F D'
R U L' F' U F D2
R U L' F' D U F
R U L' F' D' U F
R U L' F' D2 U F
R2 U R' L' F' U L'
R' U R2 L F' L2 U
R' U R2 L' D F' U
R' U R2 L' D' F' U
R' U R2 L' D2 F' U
R' U R2 L' F' U D
R' U R2 L' F' U D'
R' U R2 L' F' U D2
R' U R2 L' F' D U
R' U R2 L' F' D' U
R' U R2 L' F' D2 U
R' U R2 L2 F' L U
R' U R2 D L' F' U
R' U R2 D' L' F' U
R' U R2 D2 L' F' U
R U D L' F' U F
R U D' L' F' U F
U' R L F' L2 B' U
U2 R L F' L2 U R'
R U D2 L' F' U F
U R L D' F' U B2
U R L F L2 F2 U
D2 R L' F U' L U2
D2 R L' F B2 U R'
U R L F' L2 U D
U R L F' L2 U D'
U R L F' L2 U D2
U R L F' L2 D U
U R L F' L2 D' U
U R L F' L2 D2 U
R' U F R2 F' L' U
U R L F' U D' B2
U R L F' D' U B2
U2 R L' D F' U R'
B' R L' F' U' L U2
U' R L' F' U2 F U'
B' R L' F' B2 U R'
U2 R L' D' F' U R'
U2 R L' D2 F' U R'
B2 R L' F' U' L U2
D2 R L' B2 F U R'
B2 R L' F' B2 U R'
U2 R L' F' U R' D
U2 R L' F' U R' D'
U2 R L' F' U R' D2
U2 R L' F' U D R'
U2 R L' F' U D' R'
U2 R L' F' U D2 R'
U2 R L' F' D U R'
U2 R L' F' D' U R'
U2 R L' F' D2 U R'
B' R L' B2 F' U R'
B R L' F' U' L U2
B R L' F' B2 U R'
U R L' D F' U D
U R L' D F' U D'
U R L' D F' U D2
U R L' D F' D U
U R L' D F' D' U
U R L' D F' D2 U
B2 R L' B2 F' U R'
U R L' D' F' U D
U R L' D' F' U D'
U R L' D' F' U D2
U R L' D' F' D U
U R L' D' F' D' U
U R L' D' F' D2 U
U R L' D2 F' U D
U R L' D2 F' U D'
U R L' D2 F' U D2
U R L' D2 F' D U
U R L' D2 F' D' U
U R L' D2 F' D2 U
U R L' F U D' L2
U R L' F D' U L2
B R L' B2 F' U R'
U R L' F2 D F U
U R L' F2 D' F U
U R L' F2 D2 F U
U2 R L2 F' L U R'
D2 R U L' F U F'
B' R U L' F' U F
U R L2 D L F' U
U R L2 D F' L U
U R L2 D' L F' U
U R L2 D' F' L U
U R L2 D2 L F' U
B2 R U L' F' U F
U R L2 D2 F' L U
U R L2 F L F2 U
U R L2 F' L U D
U R L2 F' L U D'
U R L2 F' L U D2
U R L2 F' L D U
U R L2 F' L D' U
U R L2 F' L D2 U
U R L2 F' D L U
U R L2 F' D' L U
U R L2 F' D2 L U
B R U L' F' U F
U2 R D L' F' U R'
U R D L F' L2 U
U R D L' D F' U
U R D L' D' F' U
U R D L' D2 F' U
U R D L' F' U D
U R D L' F' U D'
U R D L' F' U D2
U R D L' F' D U
U R D L' F' D' U
U R D L' F' D2 U
U R D L2 F' L U
U2 R D' L' F' U R'
L' U' L U R F' U
U R D' L F' L2 U
U R D' L' D F' U
U R D' L' D' F' U
U R D' L' D2 F' U
U R D' L' F' U D
U R D' L' F' U D'
U R D' L' F' U D2
U R D' L' F' D U
U R D' L' F' D' U
U R D' L' F' D2 U
U R D' L2 F' L U
U2 R D2 L' F' U R'
U R D2 L F' L2 U
U R D2 L' D F' U
U R D2 L' D' F' U
U R D2 L' D2 F' U
U R D2 L' F' U D
U R D2 L' F' U D'
U R D2 L' F' U D2
U R D2 L' F' D U
U R D2 L' F' D' U
U R D2 L' F' D2 U
U R D2 L2 F' L U
U2 R F' U D R' B
U2 R F' D U R' B
U R F' D' L U B'
U R B' L' F' B U
U R B' L' B F' U
U R B2 L' F' B2 U
U R B2 L' B2 F' U
U R' L' F R2 F' U
U R' L' F' R2 F' U
U R' L' F2 R2 F' U
D2 R' U L' R2 F U
D2 R' U L' F R2 U
B' R' U L' R2 F' U
D2 R' U R2 L' F U
B2 R' U L' R2 F' U
B' R' U R2 L' F' U
B2 R' U R2 L' F' U
B R' U L' R2 F' U
B R' U R2 L' F' U
F2 R' U' L' B R2 U'
R' U' B U2 L' R2 U
R' U' B U2 R2 L' U
F2 R' U' B L' R2 U'
U' R' U2 L' R2 F' U
F2 R' U' B R2 L' U'
U' R' U2 R2 L' F' U
R' U2 L' R2 F' U R2
U R' F R2 F' L' U
R' U2 R2 L' F' U R2
U' R' B U2 L' R2 U
U' R' B U2 R2 L' U
U R2 L' D R' F' U
U R2 L' D' R' F' U
U R2 L' D2 R' F' U
U R2 L' F R' F' U
U R2 L' F' R' F' U
U R2 L' F2 R' F' U
D2 R2 U L' R' F U
D2 R2 U L' F R' U
D2 R2 U R' L' F U
U R2 D L' R' F' U
U R2 D R' L' F' U
U R2 D' L' R' F' U
U R2 D' R' L' F' U
U R2 D2 L' R' F' U
U R2 D2 R' L' F' U
R D L' F' U' L U2
R D L' F' B2 U R'
U R2 F R' F' L' U
R D L' B2 F' U R'
R D U L' F' U F
B' U L R F' L2 U
B2 U L R F' L2 U
B U L R F' L2 U
D' U L' R F U L'
D2 U L' R D F U
D2 U L' R D' F U
D2 U L' R D2 F U
D2 U L' R F U D
D2 U L' R F U D'
D2 U L' R F U D2
D2 U L' R F D U
D2 U L' R F D' U
D2 U L' R F D2 U
D2 U L' R' F R2 U
B' U L' R D F' U
B' U L' R D' F' U
B' U L' R D2 F' U
B' U L' R F' U D
B' U L' R F' U D'
B' U L' R F' U D2
B' U L' R F' D U
B' U L' R F' D' U
B' U L' R F' D2 U
D2 U L' R2 F R' U
B2 U L' R D F' U
B2 U L' R D' F' U
B2 U L' R D2 F' U
B2 U L' R F' U D
B2 U L' R F' U D'
B2 U L' R F' U D2
B2 U L' R F' D U
B2 U L' R F' D' U
B2 U L' R F' D2 U
D' U L' D R F' U
D2 U L' D R F U
D2 U L' D' R F U
D2 U L' D2 R F U
B U L' R D F' U
B U L' R D' F' U
B U L' R D2 F' U
B U L' R F' U D
B U L' R F' U D'
B U L' R F' U D2
B U L' R F' D U
B U L' R F' D' U
B U L' R F' D2 U
B' U L2 R F' L U
B2 U L2 R F' L U
D U L' D' R F' U
U D L' D' R F' U
B U L2 R F' L U
D' U R L' F U L'
D2 U R L' D F U
D2 U R L' D' F U
D2 U R L' D2 F U
D2 U R L' F U D
D2 U R L' F U D'
D2 U R L' F U D2
D2 U R L' F D U
D2 U R L' F D' U
D2 U R L' F D2 U
B' U R L F' L2 U
B' U R L' D F' U
B' U R L' D' F' U
B' U R L' D2 F' U
B' U R L' F' U D
B' U R L' F' U D'
B' U R L' F' U D2
B' U R L' F' D U
B' U R L' F' D' U
B' U R L' F' D2 U
B' U R L2 F' L U
B2 U R L F' L2 U
B2 U R L' D F' U
B2 U R L' D' F' U
B2 U R L' D2 F' U
B2 U R L' F' U D
B2 U R L' F' U D'
B2 U R L' F' U D2
B2 U R L' F' D U
B2 U R L' F' D' U
B2 U R L' F' D2 U
D' U R D' L' F U
B2 U R L2 F' L U
B' U R D L' F' U
B' U R D' L' F' U
D' U R F U L' B'
B' U R D2 L' F' U
B2 U R D L' F' U
B2 U R D' L' F' U
B2 U R D2 L' F' U
B U R L F' L2 U
B U R L' D F' U
B U R L' D' F' U
B U R L' D2 F' U
B U R L' F' U D
B U R L' F' U D'
B U R L' F' U D2
B U R L' F' D U
B U R L' F' D' U
B U R L' F' D2 U
B U R L2 F' L U
D2 U R' L' F R2 U
B U R D L' F' U
D U R D L' F U
B U R D' L' F' U
B U R D2 L' F' U
U D R D L' F U
D2 U R2 L' F R' U
B' U D2 L' R F U
B' U D2 R L' F U
B2 U D2 L' R F U
B2 U D2 R L' F U
B U D2 L' R F U
B U D2 R L' F U
R D' L' F' U' L U2
R D' L' F' B2 U R'
R D' L' B2 F' U R'
F2 U F2 L' R F' U
F2 U F2 R L' F' U
U D' L' R F U L'
R D' U L' F' U F
U D' L' D R F' U
F2 U' L' R U2 F' U
F2 U' L' R' B R2 U'
U D' R L' F U L'
U D' R D' L' F U
U D' R F U L' B'
F2 U' R L' U2 F' U
F2 U' R' L' B R2 U'
F2 U' R' B L' R2 U'
F2 U' R' B R2 L' U'
R D2 L' F' U' L U2
R D2 L' F' B2 U R'
D2 U2 L' R F U R'
R D2 L' B2 F' U R'
U2 D2 L' R F U R'
U D2 L' R D F U
U D2 L' R D' F U
U D2 L' R D2 F U
U D2 L' R F U D
U D2 L' R F U D'
U D2 L' R F U D2
U D2 L' R F D U
U D2 L' R F D' U
U D2 L' R F D2 U
U D2 L' R' F R2 U
U D2 L' R2 F R' U
U D2 L' D R F U
U D2 L' D' R F U
U D2 L' D2 R F U
D2 U2 R L' F U R'
U2 D2 R L' F U R'
U D2 R L' D F U
U D2 R L' D' F U
U D2 R L' D2 F U
U D2 R L' F U D
U D2 R L' F U D'
U D2 R L' F U D2
U D2 R L' F D U
U D2 R L' F D' U
U D2 R L' F D2 U
R D2 U L' F' U F
U D2 R' L' F R2 U
B' U2 L' R F' U R'
B2 U2 L' R F' U R'
U D2 R2 L' F R' U
B U2 L' R F' U R'
B' U2 R L' F' U R'
B2 U2 R L' F' U R'
B U2 R L' F' U R'
U F R F' L' R U
U F R F' R L' U
R F' U2 F' R U' R'
D' F2 U' L' R B U'
D' F2 U' R L' B U'
D' F2 U' R B L' U'
B' D2 U L' R F U
B' D2 U R L' F U
B2 D2 U L' R F U
B2 D2 U R L' F U
B D2 U L' R F U
B D2 U R L' F U
U2 B L' R F' U R'
L' B R D2 F' U R
L' B R F' B U R'
U2 B R L' F' U R'
L' B R B F' U R'
R B L' F' U' L U2
R B L' F' B2 U R'
R B L' B2 F' U R'
D B R' U L' R2 U
D B R' U R2 L' U
U B R B' L' F' U
D2 B U L' R F U
D2 B U R L' F U
U' B U2 L' R F' U
U' B U2 R L' F' U
U2 B U' L' R F' U
R' B U2 L' R2 U R2
U2 B U' R L' F' U
R' B U2 R2 L' U R2
R B U L' F' U F
U2 B' L' R F' U R'
L' B' R F' B' U R'
U2 B' R L' F' U R'
U B' L' B R F' U
L' B' R B' F' U R'
R B' L' F' U' L U2
R B' L' F' B2 U R'
R B' L' B2 F' U R'
D2 B' U L' R F U
D2 B' U R L' F U
D B' U L' R U L2
U' B' U2 L' R F' U
D B' U R L' U L2
U' B' U2 R L' F' U
U2 B' U' L' R F' U
U2 B' U' R L' F' U
R B' U L' F' U F
U2 B2 L' R F' U R'
U B2 L' R F' B2 U
U B2 L' R B2 F' U
L' B2 R D F' B2 U
L' B2 R D B2 F' U
L' B2 R F' U R2 D
L' B2 R F' U R2 D'
L' B2 R F' U R2 D2
L' B2 R F' D B2 U
L' B2 R F' B U R2
L' B2 R F' B' U R2
L' B2 R F' B2 U R2
U2 B2 R L' F' U R'
L' B2 R B F' U R2
L' B2 R B' F' U R2
L' B2 R B2 F' U R2
U B2 L' B2 R F' U
R B2 L' F' U' L U2
R B2 L' F' B2 U R'
R B2 L' B2 F' U R'
U B2 R L' F' B2 U
U B2 R L' B2 F' U
D2 B2 U L' R F U
D2 B2 U R L' F U
U B2 R B2 L' F' U
U' B2 U2 L' R F' U
U' B2 U2 R L' F' U
U2 B2 U' L' R F' U
U2 B2 U' R L' F' U
R B2 U L' F' U F
