R2 B R' D F2
R2 B D R' F2
R2 B D F2 R'
L2 R2 U' L2 B R'
R2 L2 U' L2 B R'
L2 R2 U' B L2 R'
L2 R2 U' B R' L2
R2 L2 U' B L2 R'
R2 L2 U' B R' L2
U L2 R2 U' B R'
U L2 U' R2 B R'
R2 U L2 U' B R'
L2 U' L2 R2 B R'
L2 U' R2 L2 B R'
L2 U' R2 B L2 R'
L2 U' R2 B L2 R'
L2 U' R2 B R' L2
U R2 L2 U' B R'
B R2 D B R F2
D R2 F2 D' B R'
B R2 B R D F2
B R2 B D R F2
R2 D F2 D' B R'
R2 F B R' D F2
R2 F B D R' F2
R2 F B D F2 R'
B D R2 B R F2
R2 F' B R' D F2
R2 F' B D R' F2
R2 F' B D F2 R'
R2 F2 B R' D F2
R2 F2 B D R' F2
R2 F2 B D F2 R'
R' B R' D F2 B
R' B R' D B F2
R' B R' B D F2
R2 B R' U L2 U'
R2 B R' D F2 D
R2 B R' D F2 D'
R2 B R' D F2 D2
R2 B R' F D F2
R2 B R' F' D F2
R2 B R' F2 D F2
R2 B R2 D R F2
R2 B U L2 U' R'
R2 B D R F2 R2
R2 B D R' F2 D
R2 B D R' F2 D'
R2 B D R' F2 D2
R2 B D F R' F
R2 B D F2 R' D
R2 B D F2 R' D'
R2 B D F2 R' D2
R2 B D F2 D R'
R2 B D F2 D' R'
R2 B D F2 D2 R'
R2 B D' R' D2 F2
R2 B F R' D F2
R2 B F D R' F2
R2 B F D F2 R'
R2 B F' R' D F2
R2 B F' D R' F2
R2 B F' D F2 R'
R2 B F2 R' D F2
R2 B F2 D R' F2
R2 B F2 D F2 R'
R2 B2 D F2 B' R'
R2 B2 D B' R' F2
R2 B2 D B' F2 R'
R2 B D F' D F' R'
R2 B D F' D' F' R'
R2 B D F' D2 F' R'
U' B D2 R2 U B R
R2 B D F2 R2 D R
R2 B D F2 R2 D' R
R2 B D F2 R2 D2 R
R2 B D F2 D R' D
R2 B D F2 D R' D'
R2 B D F2 D R' D2
R2 B D F2 D' R' D
R2 B D F2 D' R' D'
R2 B D F2 D' R' D2
R2 B D F2 D2 R' D
R2 B D F2 D2 R' D'
R2 B D F2 D2 R' D2
U2 B D' F' B2 L U2
R2 B D' R' U2 B2 U2
R2 B D' R' D2 F2 D
R2 B D' R' D2 F2 D'
R2 B D' R' D2 F2 D2
R2 B D' R' F D2 F2
R2 B D' R' F' D2 F2
R2 B D' R' F2 D2 F2
R2 B D' R2 D2 R F2
U2 B D' B2 L F' U2
U2 B D' B2 F' L U2
R B D R F2 B R2
R B D R B R2 F2
R B D R B F2 R2
R2 B D' U2 B2 L U2
R2 B D' F R' D2 F2
R2 B D' F D2 R' F2
R2 B D' F D2 F2 R'
R2 B D' F' R' D2 F2
R2 B D' F' D2 R' F2
R2 B D' F' D2 F2 R'
R2 B D' F2 R' D2 F2
R2 B D' F2 D2 R' F2
R2 B D' F2 D2 F2 R'
F' B R' D F2 D2 B2
R' B F R' D F2 B
R' B F R' D B F2
F2 B R' U L2 U' B'
R' B F R' B D F2
R B D F2 R B R2
R2 B D2 R' U' R' U
R2 B D2 U' R2 U R
R B D' R B R2 F'
R2 B D2 F D' R' F2
R2 B D2 F D' F2 R'
R2 B D2 F' D' R' F2
R2 B D2 F' D' F2 R'
R' B F' R' D F2 B
R' B F' R' D B F2
R' B F' R' B D F2
R2 B D2 F2 D' R' F2
R2 B D2 F2 D' F2 R'
B F R' D F2 D B2
B F R' D2 B2 D' F2
R2 B F R' U L2 U'
R2 B F R' D F2 D
R2 B F R' D F2 D'
R2 B F R' D F2 D2
R2 B F R' F D F2
R2 B F R' F' D F2
R2 B F R' F2 D F2
R2 B F R2 D R F2
R2 B F U L2 U' R'
F B R' D F2 D B2
R' B F2 R' D F2 B
R' B F2 R' D B F2
R' B F2 R' B D F2
R2 B F D R F2 R2
R2 B F D R' F2 D
R2 B F D R' F2 D'
R2 B F D R' F2 D2
F B R' D2 B2 D' F2
R2 B F D F R' F
R2 B F D F2 R' D
R2 B F D F2 R' D'
R2 B F D F2 R' D2
R2 B F D F2 D R'
R2 B F D F2 D' R'
R2 B F D F2 D2 R'
R2 B F D' R' D2 F2
U2 B F' U' L2 U' R'
F2 B U L2 U' R' B'
U2 B F' U2 R' D F2
U2 B F' U2 D R' F2
U2 B F' U2 D F2 R'
U2 B F' D U2 R' F2
U2 B F' D U2 F2 R'
U2 B F' D' B2 L U2
R2 B F' R' U L2 U'
R2 B F' R' D F2 D
R2 B F' R' D F2 D'
R2 B F' R' D F2 D2
R2 B F' R' F D F2
R2 B F' R' F' D F2
R2 B F' R' F2 D F2
R2 B F' R2 D R F2
R2 B F' U L2 U' R'
R2 B F' D R F2 R2
R2 B F' D R' F2 D
R2 B F' D R' F2 D'
R2 B F' D R' F2 D2
R2 B F' D F R' F
R2 B F' D F2 R' D
R2 B F' D F2 R' D'
R2 B F' D F2 R' D2
R2 B F' D F2 D R'
R2 B F' D F2 D' R'
R2 B F' D F2 D2 R'
R2 B F' D' R' D2 F2
L2 B F2 U' L2 R' B'
L2 B F2 U' R' L2 B'
R2 B F2 R' U L2 U'
R2 B F2 R' D F2 D
R2 B F2 R' D F2 D'
R2 B F2 R' D F2 D2
R2 B F2 R' F D F2
R2 B F2 R' F' D F2
R2 B F2 R' F2 D F2
R2 B F2 R2 D R F2
R2 B F2 U L2 U' R'
R2 B F2 D R F2 R2
R2 B F2 D R' F2 D
R2 B F2 D R' F2 D'
R2 B F2 D R' F2 D2
R2 B F2 D F R' F
R2 B F2 D F2 R' D
R2 B F2 D F2 R' D'
R2 B F2 D F2 R' D2
R2 B F2 D F2 D R'
R2 B F2 D F2 D' R'
R2 B F2 D F2 D2 R'
R2 B F2 D' R' D2 F2
U2 B' L F' U' L U'
F' B U2 R' D F2 L'
F' B U2 D R' F2 L'
F' B D R' F2 D2 B2
B' F D F2 D B2 R'
F' B D U2 R' F2 L'
F2 B D R F2 R2 B
F' B D F2 R' D2 B2
F' B D F2 D2 R' B2
F2 B D F2 R2 B R
R2 B' L2 U' L2 B2 R'
B F D F2 D R' B2
F' B D' B2 L U2 L'
F B D F2 D R' B2
B' F D2 B2 D' R' F2
B' F D2 B2 D' F2 R'
B' F' L U' L U' L2
B' F' L U2 L' D F2
R2 B' R B2 R' D F2
R2 B' R B2 D R' F2
R2 B' R B2 D F2 R'
F' B' L U' L U' L2
F' B' L U2 L' D F2
R2 B' R' B2 R' D F2
R2 B' R' B2 D R' F2
R2 B' R' B2 D F2 R'
L2 B' U L F' U2 L
D B' R2 F2 D' B R'
R2 B' R2 B2 R' D F2
R2 B' R2 B2 D R' F2
R2 B' R2 B2 D F2 R'
L2 B' U F' L U2 L
U2 B' D L F' U2 F'
U2 B' D F' L U2 F'
B F' R' D F2 D2 B2
U2 B' D' L F' B2 U2
U2 B' D' L B2 F' U2
R2 B' D F2 D' B2 R'
U2 B' D' F' L B2 U2
U2 B' D' F' B2 U2 R'
U2 B' D' B2 F' U2 R'
U2 B' F' L U' L U'
B' F' D L U2 L' F2
F' B' D L U2 L' F2
U2 B' F' D L U2 F2
U2 B' F' D' L B2 U2
U2 B' F' D' B2 U2 R'
B' F' D F2 D2 B2 R'
B F' U2 R' D F2 L'
B' F' D' L B2 U2 L'
B F' U2 D R' F2 L'
F' B' D F2 D2 B2 R'
F' B' D' L B2 U2 L'
B F' D R' F2 D2 B2
B F' D U2 R' F2 L'
B F' D F2 R' D2 B2
B F' D F2 D2 R' B2
F B' D F2 D B2 R'
B F' D' B2 L U2 L'
F B' D2 B2 D' R' F2
F B' D2 B2 D' F2 R'
R2 B2 R D F2 B' R'
R2 B2 R D B' R' F2
R2 B2 R D B' F2 R'
R2 B2 R B' R' D F2
R2 B2 R B' D R' F2
R2 B2 R B' D F2 R'
R2 B2 R' D F2 B' R'
R2 B2 R' D B' R' F2
R2 B2 R' D B' F2 R'
B F2 L2 U' R' B' L2
R2 B2 R' B' R' D F2
R2 B2 R' B' D R' F2
R2 B2 R' B' D F2 R'
R2 B2 R2 D F2 B' R'
R2 B2 R2 D B' R' F2
R2 B2 R2 D B' F2 R'
R2 B2 R2 B' R' D F2
R2 B2 R2 B' D R' F2
R2 B2 R2 B' D F2 R'
D B2 R2 F2 D' B R'
B F2 R' U L2 U' B'
B2 F2 U L2 U' B' R'
F2 B2 U L2 U' B' R'
B F2 U L2 U' R' B'
R2 B2 D R F2 B' R'
R2 B2 D R B' R' F2
R2 B2 D R B' F2 R'
R2 B2 D R' F2 B' R'
R2 B2 D R' B' R' F2
R2 B2 D R' B' F2 R'
R2 B2 D R2 F2 B' R'
R2 B2 D R2 B' R' F2
R2 B2 D R2 B' F2 R'
R2 B2 D F B' R' F
R2 B2 D F2 R B' R'
R2 B2 D F2 R' B' R'
R2 B2 D F2 R2 B' R'
R2 B2 D F2 D B' R'
R2 B2 D F2 D' B' R'
R2 B2 D F2 D2 B' R'
R2 B2 D F2 B' R' D
R2 B2 D F2 B' R' D'
R2 B2 D F2 B' R' D2
R2 B2 D F2 B' D R'
R2 B2 D F2 B' D' R'
R2 B2 D F2 B' D2 R'
R2 B2 D B' R F2 R2
R2 B2 D B' R' F2 D
R2 B2 D B' R' F2 D'
R2 B2 D B' R' F2 D2
R2 B2 D B' F R' F
R2 B2 D B' F2 R' D
R2 B2 D B' F2 R' D'
R2 B2 D B' F2 R' D2
R2 B2 D B' F2 D R'
R2 B2 D B' F2 D' R'
R2 B2 D B' F2 D2 R'
U B2 D F2 L2 B' R'
B F2 D R F2 R2 B
R2 B2 D2 B' D' R' F2
R2 B2 D2 B' D' F2 R'
B F2 D F2 R2 B R
R2 B2 F D F2 B' R'
R2 B2 F D B' R' F2
R2 B2 F D B' F2 R'
R2 B2 F' D F2 B' R'
R2 B2 F' D B' R' F2
R2 B2 F' D B' F2 R'
R2 B2 F2 D F2 B' R'
R2 B2 F2 D B' R' F2
R2 B2 F2 D B' F2 R'
