B L B2 D' F' R
U2 D' F' R B' L'
U2 D' F' B' L' R
U2 D' F' B' R L'
U2 D' B' F' L' R
U2 D' B' F' R L'
D' U2 F' R B' L'
D' U2 F' B' L' R
D' U2 F' B' R L'
D' U2 B' F' L' R
D' U2 B' F' R L'
D' F' R B L B2
F' D B L R' B2
F' D B R' L B2
D' F' B L R B2
D' F' B L B2 R
D' F' B R L B2
D' F' B' R D2 L2
D F' B L R' B2
D F' B R' L B2
B' D' F' R D2 L2
D' B L F' R B2
D' B L F' B2 R
D' B L B2 F' R
D B L F' R' B2
D' B F' L R B2
D' B F' L B2 R
D' B F' R L B2
D B F' L R' B2
D B F' R' L B2
U2 B' D' F' L' R
U2 B' D' F' R L'
D' B' F' R D2 L2
B D' F' L D B2 R
B D' F' D L R B2
B D' F' D L B2 R
B D' F' D R L B2
B' D' B2 L F' R B2
B' D' B2 L F' B2 R
B' D' B2 L B2 F' R
B' D' B2 F' L R B2
B' D' B2 F' L B2 R
B' D' B2 F' R L B2
D F2 B R' F L B2
L' B L D' F' R B'
L' B L D' F' B' R
L' B L D' B' F' R
D' B L F' R B2 D
D' B L F' R B2 D'
D' B L F' R B2 D2
D' B L F' R' B2 R2
D' B L F' B' R B'
D' B L F' B2 R D
D' B L F' B2 R D'
D' B L F' B2 R D2
D' B L F' B2 D R
D' B L F' B2 D' R
D' B L F' B2 D2 R
D' B L B' F' R B'
D' B L B2 F' R D
D' B L B2 F' R D'
D' B L B2 F' R D2
D' B L B2 F' D R
D' B L B2 F' D' R
D' B L B2 F' D2 R
L' B L B' D' F' R
D' B L' F' L2 R B2
D' B L' F' L2 B2 R
D' B L' F' R L2 B2
D' B L' F' R B2 L2
D' B L' F' B2 L2 R
D' B L' F' B2 R L2
D' B L' B2 L2 F' R
D' B L' B2 F' L2 R
D' B L' B2 F' R L2
D B L F R' F2 B2
D B L F R' B2 F2
D B L F' R B2 R2
D B L F' R' B2 D
D B L F' R' B2 D'
D B L F' R' B2 D2
D B L F' R2 B2 R
D B L F2 R' F B2
D B L F2 R' B2 F
D' B L2 B2 L' F' R
R' B R U L F' B2
R' B R U L B2 F'
R' B R U F' L B2
D B L' F' L2 R' B2
D B L' F' R' L2 B2
D B L' F' R' B2 L2
D' B U L F' R B2
D' B U L F' B2 R
D' B U L B2 F' R
D' B U F' L R B2
D' B U F' L B2 R
D' B U F' R L B2
D' B U' L F' R B2
D' B U' L F' B2 R
D' B U' L B2 F' R
D B U L F' R' B2
D' B U' F' L R B2
D' B U' F' L B2 R
D' B U' F' R L B2
D' B U2 L F' R B2
D' B U2 L F' B2 R
D' B U2 L B2 F' R
D B U F' L R' B2
D B U F' R' L B2
D B U' L F' R' B2
F' B L B D B R'
D' B U2 F' L R B2
D' B U2 F' L B2 R
D' B U2 F' R L B2
D B U' F' L R' B2
D B U' F' R' L B2
D B U2 L F' R' B2
D B U2 F' L R' B2
D B U2 F' R' L B2
D' B F' L R B2 D
D' B F' L R B2 D'
D' B F' L R B2 D2
D' B F' L R' B2 R2
D' B F' L B' R B'
D' B F' L B2 R D
D' B F' L B2 R D'
D' B F' L B2 R D2
D' B F' L B2 D R
D' B F' L B2 D' R
D' B F' L B2 D2 R
D' B F' L' R B2 L2
D' B F' L' B2 L2 R
D' B F' L' B2 R L2
D' B F' L2 R B2 L'
D' B F' L2 B2 L' R
D' B F' L2 B2 R L'
D' B F' R L B2 D
D' B F' R L B2 D'
D' B F' R L B2 D2
D' B F' R L' B2 L2
D' B F' R L2 B2 L'
D' B F' R' L B2 R2
D B F L R' F2 B2
D B F L R' B2 F2
D B F L F2 R' B2
D B F R' L F2 B2
D B F R' L B2 F2
D B F R' F2 L B2
D B F' L R B2 R2
D B F' L R' B2 D
D B F' L R' B2 D'
D B F' L R' B2 D2
D B F' L R2 B2 R
D B F' L' R' B2 L2
D B F' L2 R' B2 L'
D B F' R L B2 R2
D B F' R' L B2 D
D B F' R' L B2 D'
D B F' R' L B2 D2
D B F' R' L' B2 L2
D B F' R' L2 B2 L'
D B F' R2 L B2 R
D' B' L F' R D2 L2
D B F2 R' F L B2
U2 B' L D' F' L' R
U2 B' L D' F' R L'
D' B' L' F' R D2 L2
U2 B' L' D' F' L' R
U2 B' L' D' F' R L'
D' B' L2 F' R D2 L2
U2 B' L2 D' F' L' R
U2 B' L2 D' F' R L'
B F' L B D B R'
D2 B' D F' R D2 L2
U2 B' D' L F' L' R
U2 B' D' L F' R L'
U2 B' D' L' F' L' R
U2 B' D' L' F' R L'
U2 B' D' L2 F' L' R
U2 B' D' L2 F' R L'
U2 B' D' F' L' R D
U2 B' D' F' L' R D'
U2 B' D' F' L' R D2
U2 B' D' F' L' D R
U2 B' D' F' L' D' R
U2 B' D' F' L' D2 R
U2 B' D' F' R L' D
U2 B' D' F' R L' D'
U2 B' D' F' R L' D2
U2 B' D' F' R D L'
U2 B' D' F' R D' L'
U2 B' D' F' R D2 L'
U2 B' D' F' D L' R
U2 B' D' F' D R L'
U2 B' D' F' D' L' R
U2 B' D' F' D' R L'
U2 B' D' F' D2 L' R
U2 B' D' F' D2 R L'
D' B' F R2 F2 L' R
D' B' F R2 F2 R L'
D' B' F' L R D2 L2
D' B' F' L' R D2 L2
D' B' F' L2 R D2 L2
D' B' F' R L D2 L2
B' F' U2 R' U B U
D' B' F' R L' D2 L2
D' B' F' R L2 D2 L2
D' B' F' R U2 R2 U2
D' B' F' R D2 L2 D
D' B' F' R D2 L2 D'
D' B' F' R D2 L2 D2
D' B' F' U2 R' U2 R2
D' B' F' D R D2 L2
F' B' U2 R' U B U
D' B' F' D' R D2 L2
D' B' F' D2 R D2 L2
D B' F' U2 L R' U2
D B' F' U2 R' L U2
U2 B2 D F' L' B R'
U2 B2 D F' B L' R'
U2 B2 D F' B R' L'
U2 B2 D B F' L' R'
U2 B2 D B F' R' L'
U2 B2 D' F' L' B R
U2 B2 D' F' B L' R
U2 B2 D' F' B R L'
U2 B2 D' B F' L' R
U2 B2 D' B F' R L'
U2 B2 F' L' D B R'
U2 B2 F' D L' B R'
U2 B2 F' D B L' R'
U2 B2 F' D B R' L'
