L' F L' U' L
U' L' U F L' U'
B' L' F L' U' L
B2 L' F L' U' L
F L' F U R U2
B L' F L' U' L
U' D L' R F' R
U' D L' F' R F'
U' D R L' F' R
D U' L' R F' R
D U' L' F' R F'
D U' R L' F' R
L' F L' U' L D
L' F L' U' L D'
L' F L' U' L D2
L' F L' U' D L
L' F L' U' D' L
L' F L' U' D2 L
L' F L' D U' L
L' F L' D' U' L
L' F L' D2 U' L
L' F D L' U' L
L' F D' L' U' L
L' F D2 L' U' L
L' F B L' U' L
L' F B' L' U' L
L' F B2 L' U' L
D' B U' L' R' F
D' B U' L' F R'
D' B U' R' L' F
L' B F L' U' L
L' B' F L' U' L
L' B2 F L' U' L
B L' F D L' U' L
B' L' F B' L' U' L
F L' F U2 F2 U L'
B2 L' F D2 L' U' L
B L' F D' L' U' L
B' L' F B2 L' U' L
F L' F D U R U2
B2 L' F B L' U' L
B L' F D2 L' U' L
F L' F D' U R U2
B2 L' F B' L' U' L
B L' F B L' U' L
F L' F D2 U R U2
B2 L' F B2 L' U' L
B L' F B' L' U' L
F L' F B U R U2
L' R2 U R2 F L' U'
B L' F B2 L' U' L
F L' F B' U R U2
F L' F B2 U R U2
L' R2 U F L' R2 U'
L' R2 U F R2 L' U'
U' L' F' U F2 L' U'
F L' F' U' L' D R2
F L' F' U' D L' R2
F L' F' U' D R2 L'
F L' F' D U' L' R2
F L' F' D U' R2 L'
F' L' F2 L' F' U' L'
B' L' B F L' U' L
B2 L' B F L' U' L
B L' B F L' U' L
F L' B F U R U2
B' L' B' F L' U' L
B2 L' B' F L' U' L
B L' B' F L' U' L
F L' B' F U R U2
B' L' B2 F L' U' L
B2 L' B2 F L' U' L
B L' B2 F L' U' L
F L' B2 F U R U2
L' R2 F L' R2 U' L
L' R2 F R2 L' U' L
D L2 U' L R F' R
D L2 U' L F' R F'
D L2 U' R L F' R
D L2 U' R F' L R
D L2 U' R F' R L
D L2 U' F' L R F'
D L2 U' F' R L F'
D L2 U' F' R F' L
F L2 F' L F U' L2
D L2 F' U' L R F'
D L2 F' U' R L F'
D L2 F' U' R F' L
F L2 F2 L F U' L'
U' R L' U F L' U'
L' U F L' R2 U' B
L' U F L' U F' U2
L' U F R2 L' U' B
D R L' F' R D B2
U' R D L' R F' R
U' R D L' F' R F'
U' R D R L' F' R
L2 U' L D F R F'
L2 U' L2 D' L' F R
L U' L2 U F L' U'
L2 U' D L F R F'
L2 U' D F L R F'
L2 U' D F R L F'
L2 U' D F R F' L
L2 U' D' L' F L2 R
L2 U' D' L' F R L2
U' R' L' U F L' U'
L2 U' F L R D F2
L2 U' F L D R F2
L2 U' F R L D F2
U' R' D L' R F' R
U' R' D L' F' R F'
U' R' D R L' F' R
U' R2 L' U F L' U'
L U2 F' R B' U L2
L2 U2 F2 U L F R
L U2 F' B' R U L2
U' R2 D L' R F' R
U' R2 D L' F' R F'
U' R2 D R L' F' R
L U2 B' F' R U L2
R2 D L' R F' R B2
R2 D L' R F' B2 R
R2 D L' R B2 F' R
R2 D L' F' R F' B2
R2 D L' F' R B2 F'
R2 D L' F' B2 R F'
R2 D L' B2 R F' R
R2 D L' B2 F' R F'
R' D R U' L' F' R
R2 D R L' F' R B2
R2 D R L' F' B2 R
R2 D R L' B2 F' R
R2 D R B2 L' F' R
L2 D U' L F R F'
U' D L R F' L2 R
U' D L R F' R L2
L2 D U' F L R F'
L2 D U' F R L F'
L2 D U' F R F' L
U' D L F' L2 R F'
U' D L F' R L2 F'
U' D L F' R F' L2
D' U L B' L U2 L
U' D L' R F' R D
U' D L' R F' R D'
U' D L' R F' R D2
U' D L' R F' D R
U' D L' R F' D' R
U' D L' R F' D2 R
D' U L' F R2 B R'
U' D L' F' R D F'
U' D L' F' R D' F'
U' D L' F' R D2 F'
U' D L' F' R F' D
U' D L' F' R F' D'
U' D L' F' R F' D2
U' D L2 R F' L R
U' D L2 R F' R L
U' D L2 F' L R F'
U' D L2 F' R L F'
U' D L2 F' R F' L
U' D R L F' L2 R
U' D R L F' R L2
U' D R L' F' R D
U' D R L' F' R D'
U' D R L' F' R D2
U' D R L' F' D R
U' D R L' F' D' R
U' D R L' F' D2 R
U' D R L2 F' L R
U' D R L2 F' R L
U2 D R U L' F' R
D U R U2 L' F' R
U D R U2 L' F' R
R2 D B2 L' R F' R
R2 D B2 L' F' R F'
R2 D B2 R L' F' R
U' D F' R F L' F2
L' D' L' U' F L R
L' D' L' U' F R L
D' U B U2 L' R' F
D' U B U2 L' F R'
D' U B U2 R' L' F
D' U B' L U2 L2 F
D' U B' L B' U2 L2
D' U B2 U2 L' F R
D U' L R F' L2 R
D U' L R F' R L2
D2 U' L' D' R F' R
U' D' L' D2 F' R F2
D' U' L' D2 F' R F2
D2 U' L' D' F' R F'
U' D' L' F B R' B'
D' U' L' F B R' B'
U' D' L' F2 D2 F' R
D' U' L' F2 D2 F' R
D U' L F' L2 R F'
D U' L F' R L2 F'
D U' L F' R F' L2
D' U' L' B R' F B'
U' D' L' B R' F B'
U' D' L' B R' B' F
D' U' L' B R' B' F
D' U' L' B F R' B'
U' D' L' B F R' B'
D U' L' R F' R D
D U' L' R F' R D'
D U' L' R F' R D2
D U' L' R F' D R
D U' L' R F' D' R
D U' L' R F' D2 R
U D' L B' L U2 L
L2 D' U' L' F L2 R
L2 D' U' L' F R L2
D U' L' F' R D F'
D U' L' F' R D' F'
D U' L' F' R D2 F'
D U' L' F' R F' D
D U' L' F' R F' D'
D U' L' F' R F' D2
U D' L' F R2 B R'
D U' L2 R F' L R
D U' L2 R F' R L
L' D' F L' U' F L
D U' L2 F' L R F'
D U' L2 F' R L F'
D U' L2 F' R F' L
B' U' L' U F L' U'
B2 U' L' U F L' U'
D U' R L F' L2 R
D U' R L F' R L2
D U' R L' F' R D
D U' R L' F' R D'
D U' R L' F' R D2
D U' R L' F' D R
D U' R L' F' D' R
D U' R L' F' D2 R
D U' R L2 F' L R
D U' R L2 F' R L
B U' L' U F L' U'
D U' F' R F L' F2
B' U' D L' R F' R
B' U' D L' F' R F'
B' U' D R L' F' R
B2 U' D L' R F' R
B2 U' D L' F' R F'
B2 U' D R L' F' R
D' U' B R' B' L' F
U' D' B R' B' L' F
B U' D L' R F' R
B U' D L' F' R F'
B U' D R L' F' R
U2 D' B U L' R' F
U2 D' B U L' F R'
U2 D' B U R' L' F
U D' B U2 L' R' F
U D' B U2 L' F R'
U D' B U2 R' L' F
U D' B' L U2 L2 F
U D' B' L B' U2 L2
U D' B2 U2 L' F R
U' D2 L' D' R F' R
U' D2 L' D' F' R F'
D U2 R U L' F' R
D2 U2 R' B R' U L'
U2 D2 R' B R' U L'
L' D2 F B' L U' L'
D' U2 B U L' R' F
D' U2 B U L' F R'
D' U2 B U R' L' F
D2 U2 B R' B U L'
U2 D2 B R' B U L'
L' D2 B' F L U' L'
F' U2 D R F' U R
L' F L U' D L' F2
L' F L D U' L' F2
L' F L B L2 U' L
L' F L B' L2 U' L
L' F L B2 L2 U' L
L2 F L F L2 U' L2
L' F L' U R U2 L
L' F L' U R' U2 L
L' F L' U R2 U2 L
L' F L' U' L2 D L'
L' F L' U' L2 D' L'
L' F L' U' L2 D2 L'
L' F L' U' D L D
L' F L' U' D L D'
L' F L' U' D L D2
L' F L' U' D' L D
L' F L' U' D' L D'
L' F L' U' D' L D2
L' F L' U' D2 L D
L' F L' U' D2 L D'
L' F L' U' D2 L D2
L' F L' U' F L F'
L' F L' U' F2 L F2
L' F L' U2 F U L
L' F L' U2 F' U L
L' F L' U2 F2 U L
L' F L' D U' L D
L' F L' D U' L D'
L' F L' D U' L D2
L' F L' D' U' L D
L' F L' D' U' L D'
L' F L' D' U' L D2
L' F L' D2 U' L D
L' F L' D2 U' L D'
L' F L' D2 U' L D2
L2 F L' U2 B' U L2
L' F L' B2 U R' U2
L' F L2 D' L B2 U'
L F L2 F L U' L'
U' F U L' F B' U'
U' F U L' B' F U'
L' F D L' U' L D
L' F D L' U' L D'
L' F D L' U' L D2
L' F D L' U' D L
L' F D L' U' D' L
L' F D L' U' D2 L
L' F D L' D U' L
L' F D L' D' U' L
L' F D L' D2 U' L
L' F D B L' U' L
L' F D B' L' U' L
L' F D B2 L' U' L
L' F D' L' U' L D
L' F D' L' U' L D'
L' F D' L' U' L D2
L' F D' L' U' D L
L' F D' L' U' D' L
L' F D' L' U' D2 L
L' F D' L' D U' L
L' F D' L' D' U' L
L' F D' L' D2 U' L
F D L' F' U' L' R
F D L' F' U' R L'
L' F D' B L' U' L
L' F D' B' L' U' L
L' F D' B2 L' U' L
L' F D2 L' U' L D
L' F D2 L' U' L D'
L' F D2 L' U' L D2
L' F D2 L' U' D L
L' F D2 L' U' D' L
L' F D2 L' U' D2 L
L' F D2 L' D U' L
L' F D2 L' D' U' L
L' F D2 L' D2 U' L
L' F D2 B L' U' L
L' F D2 B' L' U' L
L' F D2 B2 L' U' L
L' F B L' U' L D
L' F B L' U' L D'
L' F B L' U' L D2
L' F B L' U' D L
L' F B L' U' D' L
L' F B L' U' D2 L
L' F B L' D U' L
L' F B L' D' U' L
L' F B L' D2 U' L
L' F B D L' U' L
L' F B D' L' U' L
L' F B D2 L' U' L
L' F B' L' U' L D
L' F B' L' U' L D'
L' F B' L' U' L D2
L' F B' L' U' D L
L' F B' L' U' D' L
L' F B' L' U' D2 L
L' F B' L' D U' L
L' F B' L' D' U' L
L' F B' L' D2 U' L
L' F B' D L' U' L
L' F B' D' L' U' L
L' F B' D2 L' U' L
L' F B2 L' U' L D
L' F B2 L' U' L D'
L' F B2 L' U' L D2
L' F B2 L' U' D L
L' F B2 L' U' D' L
L' F B2 L' U' D2 L
L' F B2 L' D U' L
L' F B2 L' D' U' L
L' F B2 L' D2 U' L
B' D U' L' R F' R
B' D U' L' F' R F'
L' F B2 D L' U' L
B' D U' R L' F' R
L' F B2 D' L' U' L
L' F B2 D2 L' U' L
B2 D U' L' R F' R
B2 D U' L' F' R F'
B2 D U' R L' F' R
F' D U2 R F' U R
B D U' L' R F' R
B D U' L' F' R F'
B D U' R L' F' R
L' F' L' F2 L' U' L2
L' F' L2 F2 L' U' L'
D F' U' R F L' F2
U2 F' D R F' U R
L F' U2 R B' U L2
L F' U2 B' R U L2
L' F2 L' F' L' U' L2
L' F2 L2 F' L' U' L'
B' D' B U' L' R' F
B' D' B U' L' F R'
B' D' B U' R' L' F
B2 D' B U' L' R' F
B2 D' B U' L' F R'
B2 D' B U' R' L' F
B D' B U' L' R' F
B D' B U' L' F R'
B D' B U' R' L' F
L' F2 D F' L' U' L
L' F2 D' F' L' U' L
L F2 U2 B' R' U L2
L' F2 D2 F' L' U' L
D' B L U' L2 R' F
D' B L U' L2 F R'
D' B L U' R' L2 F
D' B U' L' R F R2
D' B U' L' R' D F
D' B U' L' R' D' F
D' B U' L' R' D2 F
D' B U' L' R' F D
D' B U' L' R' F D'
D' B U' L' R' F D2
D' B U' L' D R' F
D' B U' L' D F R'
D' B U' L' D' R' F
D' B U' L' D' F R'
D' B U' L' D2 R' F
D' B U' L' D2 F R'
D' B U' L' F R' D
D' B U' L' F R' D'
D' B U' L' F R' D2
D' B U' L' F D R'
D' B U' L' F D' R'
D' B U' L' F D2 R'
D' B U' L' F' R' F2
D' B U' R L' F R2
D' B U' R' L' D F
D' B U' R' L' D' F
D' B U' R' L' D2 F
D' B U' R' L' F D
D' B U' R' L' F D'
D' B U' R' L' F D2
D2 B U2 R' B U L'
D B U' L' R F' R
D B U' L' F' R F'
D B U' R L' F' R
B' F L' F U R U2
B2 F L' F U R U2
B F L' F U R U2
F B L' F U R U2
L' B F L' U' L D
L' B F L' U' L D'
L' B F L' U' L D2
L' B F L' U' D L
L' B F L' U' D' L
L' B F L' U' D2 L
L' B F L' D U' L
L' B F L' D' U' L
L' B F L' D2 U' L
L' B F D L' U' L
L' B F D' L' U' L
L' B F D2 L' U' L
D' B' U L U2 L2 F
D' B' U L B' U2 L2
D' B' U' L' D2 R2 F
D' B' U' L' D2 F R2
D' B' U' L' F D2 R2
D B' U' L' R F' R
F B' L' F U R U2
D B' U' L' F' R F'
D B' U' R L' F' R
U' B' D' L' F B R'
U' B' D' L' B R' F
U' B' D' L' B F R'
U' B' D' B L' R' F
U' B' D' B L' F R'
U' B' D' B R' L' F
L' B' F L' U' L D
L' B' F L' U' L D'
L' B' F L' U' L D2
L' B' F L' U' D L
L' B' F L' U' D' L
L' B' F L' U' D2 L
L' B' F L' D U' L
L' B' F L' D' U' L
L' B' F L' D2 U' L
L' B' F D L' U' L
L' B' F D' L' U' L
L' B' F D2 L' U' L
F B2 L' F U R U2
D B2 U' L' R F' R
D B2 U' L' F' R F'
D B2 U' R L' F' R
L' B2 F L' U' L D
L' B2 F L' U' L D'
L' B2 F L' U' L D2
L' B2 F L' U' D L
L' B2 F L' U' D' L
L' B2 F L' U' D2 L
L' B2 F L' D U' L
L' B2 F L' D' U' L
L' B2 F L' D2 U' L
L' B2 F D L' U' L
L' B2 F D' L' U' L
L' B2 F D2 L' U' L
