B L' F2 U R' F
B L' F2 U F R'
L' F2 B U R' F
L' F2 B U F R'
L' B F2 U R' F
L' B F2 U F R'
L B D' F' R' B2 L2
L' B F2 R U R2 F
L' B F2 R U F R2
L' B F2 R2 U R F
L' B F2 U R F R2
L' B F2 U R' D F
L' B F2 U R' D' F
L' B F2 U R' D2 F
L' B F2 U R' F D
L' B F2 U R' F D'
L' B F2 U R' F D2
L' B F2 U D R' F
L' B F2 U D F R'
L' B F2 U D' R' F
L' B F2 U D' F R'
L' B F2 U D2 R' F
L' B F2 U D2 F R'
L' B F2 U F R' D
L' B F2 U F R' D'
L' B F2 U F R' D2
L' B F2 U F D R'
L' B F2 U F D' R'
L' B F2 U F D2 R'
L' B F2 U F' R' F2
F2 B U R' D F B2
F2 B U R' D B2 F
F2 B U R' F D B2
L' B F2 D U R' F
L' B F2 D U F R'
L' B F2 D' U R' F
L' B F2 D' U F R'
L' B F2 D2 U R' F
L' B F2 D2 U F R'
F2 B U F D R' B
F2 B U2 R U' R2 F
F2 B U2 R U' F R2
L B' L2 F2 U R F
L B' D' F' B2 L2 R'
L B' D' F' B2 R' L2
L B' D' B2 L2 F' R'
L B' D' B2 F' L2 R'
L B' D' B2 F' R' L2
B F2 R U F R2 B
D2 B2 U2 L' U F' R
B F2 U R' D F B2
B F2 U R' D B2 F
B F2 U R' F D B2
B F2 U F D R' B
B F2 U2 R U' R2 F
B F2 U2 R U' F R2
D2 B2 F U' F2 R B
