U2 L' B U F'
U2 B L' U F'
U2 L B L2 U F'
U2 L' D B U F'
U2 L' D' B U F'
U2 L' D2 B U F'
U2 L' B U D F'
U2 L' B U D' F'
U2 L' B U D2 F'
U2 L' B U F' D
U2 L' B U F' D'
U2 L' B U F' D2
U2 L' B D U F'
U2 L' B D' U F'
U2 L' B D2 U F'
B L2 F L U F2
L2 U2 L B U F'
L U2 L2 B U F'
L U2 B L2 U F'
F' R2 F' R U' F
F2 R2 F' R' U' F2
U2 D L' B U F'
U2 D L' B U F'
U2 D B L' U F'
U2 D' L' B U F'
U2 D' B L' U F'
D2 U2 L' B U F'
U2 D2 L' B U F'
D' U2 L' B U F'
D U2 L' B U F'
D' U2 B L' U F'
U2 D2 B L' U F'
D2 U2 B L' U F'
D U2 B L' U F'
F U2 B L U F2
U' B L' U L F'
U' B L' U F' L
U2 B L' U D F'
U2 B L' U D' F'
U2 B L' U D2 F'
U2 B L' U F' D
U2 B L' U F' D'
U2 B L' U F' D2
U2 B L' D U F'
U2 B L' D' U F'
U2 B L' D2 U F'
L B L2 F U F2
L' B U2 B' U' F'
U2 B D L' U F'
U2 B D' L' U F'
U2 B D2 L' U F'
U2 B' L' B2 U F'
B L' U2 L B' U' F'
B L' U2 L2 U' F' L'
R2 L' F' U B U2 B'
F L' U2 B L U F2
B2 L' D U L2 F' R
B2 L' D U F' L2 R
B2 L' D U F' R L2
B L' D U F L' F2
B L' D F U L' F2
U2 L' D B U D F'
U2 L' D B U D' F'
U2 L' D B U D2 F'
U2 L' D B U F' D
U2 L' D B U F' D'
U2 L' D B U F' D2
U2 L' D B D U F'
U2 L' D B D' U F'
U2 L' D B D2 U F'
U2 L' D' B U D F'
U2 L' D' B U D' F'
U2 L' D' B U D2 F'
U2 L' D' B U F' D
U2 L' D' B U F' D'
U2 L' D' B U F' D2
U2 L' D' B D U F'
U2 L' D' B D' U F'
U2 L' D' B D2 U F'
U2 L' D2 B U D F'
U2 L' D2 B U D' F'
U2 L' D2 B U D2 F'
U2 L' D2 B U F' D
U2 L' D2 B U F' D'
U2 L' D2 B U F' D2
U2 L' D2 B D U F'
U2 L' D2 B D' U F'
U2 L' D2 B D2 U F'
B L' F2 U D F L'
B L' F2 D U F L'
U2 L' B R2 U' B U2
D' L' B U2 B' U' F'
D2 L' B U2 B' U' F'
U2 L' B U L' F' L
U2 L' B U L2 F' L2
U2 L' B U D F' D
U2 L' B U D F' D'
U2 L' B U D F' D2
U2 L' B U D' F' D
U2 L' B U D' F' D'
U2 L' B U D' F' D2
U2 L' B U D2 F' D
U2 L' B U D2 F' D'
U2 L' B U D2 F' D2
U2 L' B U F2 D F
U2 L' B U F2 D' F
U2 L' B U F2 D2 F
U2 L' B U' B U2 F'
U2 L' B U' B' U2 F'
U2 L' B U' B2 U2 F'
U2 L' B U2 L U' F'
U2 L' B U2 L' U' F'
U2 L' B U2 L2 U' F'
U2 L' B D U F' D
U2 L' B D U F' D'
U2 L' B D U F' D2
U2 L' B D' U F' D
U2 L' B D' U F' D'
U2 L' B D' U F' D2
D L' B U2 B' U' F'
U2 L' B D2 U F' D
U2 L' B D2 U F' D'
U2 L' B D2 U F' D2
U2 L' B' U D' F' R2
U2 L' B' U F' D' R2
U2 L' B' D' U F' R2
B' L' B2 U2 B' U' F'
U2 L' B2 D B' U F'
U2 L' B2 D' B' U F'
U2 L' B2 D2 B' U F'
L R2 D2 F' R2 U' F'
F' L2 R2 F' R U' F
L' R2 F' U B U2 B'
L R2 F' D2 R2 U' F'
U L2 U L B U F'
D2 L2 U2 L B U F'
D' L2 U2 L B U F'
D L2 U2 L B U F'
F L2 U2 B L U F2
U2 L2 D L B U F'
B L2 D F L U F2
U2 L2 D' L B U F'
B L2 D' F L U F2
U2 L2 D2 L B U F'
B L2 D2 F L U F2
B L2 F L R U F2
B L2 F L R' U F2
B L2 F L R2 U F2
B L2 F L U F2 D
B L2 F L U F2 D'
B L2 F L U F2 D2
B L2 F L D R2 U
B L2 F R L U F2
B L2 F R' L U F2
B L2 F R2 L U F2
B L2 F D L R2 U
B L2 F D R2 L U
B2 L2 F B2 R' U' F2
B L2 F' L F2 U F2
B2 L2 B2 F R' U' F2
F2 R U' R F D R2
F2 R U' D' F' R F2
F2 R U' F2 D' F' R
F2 R U2 R' B U F
F2 R U2 R2 U F R
F2 R D' U' F' R F2
F2 R D' F' U' R F2
L2 U' L B U L' F'
F R F R F' U' F2
F' R F' R F' U' F2
L U' L2 B U L2 F'
L U' L2 B U F' L2
F2 R F2 U' D' F' R
F2 R F2 D' U' F' R
U2 R' L' U F R F'
L2 U' F' U' L B U
L U' F' U' L2 B U
L U' F' U' B L2 U
L U' F' B' D' R2 B2
L U' F' B' D' B2 R2
L U' B L2 U L2 F'
L U' B L2 U F' L2
L U' B' D' F' R2 B2
L U' B' D' F' B2 R2
L U' B' D' B2 F' R2
L U' B' F' D' R2 B2
L U' B' F' D' B2 R2
L2 U2 L D B U F'
R' U2 L' R B' U F'
L2 U2 L D' B U F'
L2 U2 L D2 B U F'
U2 R' D2 L' U F R
L2 U2 L B U D F'
L2 U2 L B U D' F'
L2 U2 L B U D2 F'
L2 U2 L B U F' D
L2 U2 L B U F' D'
L2 U2 L B U F' D2
L2 U2 L B D U F'
L2 U2 L B D' U F'
L2 U2 L B D2 U F'
R' U2 L' B' R U F'
R2 U2 L' R2 B U F'
L2 U2 L' B L2 U F'
L U2 L' B L' U F'
R' U2 R L' B' U F'
L2 U2 L2 B L' U F'
L U2 L2 D B U F'
L U2 L2 D' B U F'
L U2 L2 D2 B U F'
L U2 L2 B U D F'
L U2 L2 B U D' F'
L U2 L2 B U D2 F'
L U2 L2 B U F' D
L U2 L2 B U F' D'
L U2 L2 B U F' D2
L U2 L2 B D U F'
L U2 L2 B D' U F'
L U2 L2 B D2 U F'
R2 U2 R2 L' B U F'
R2 U2 R2 B L' U F'
L2 U2 D L B U F'
L2 U2 D' L B U F'
R' U2 D2 L' B' U F
F' R2 L F' R U' F
L2 U2 D2 L B U F'
L U2 D' B U F' B
L U2 D' B U B F'
F' R2 L' F' R U' F
F' R2 L2 F' R U' F
L U2 B L2 U D F'
L U2 B L2 U D' F'
L U2 B L2 U D2 F'
L U2 B L2 U F' D
L U2 B L2 U F' D'
L U2 B L2 U F' D2
L U2 B L2 D U F'
L U2 B L2 D' U F'
L U2 B L2 D2 U F'
L U2 B U D' F' B2
L U2 B U D' B2 F'
L U2 B U F' D' B2
L U2 B D' U F' B2
L U2 B D' U B2 F'
L U2 B' L2 B2 U F'
F2 R2 D F' R' U' F2
F2 R2 D' F' R' U' F2
F2 R2 D2 F' R' U' F2
F2 R2 F R' F2 U' F2
F' R2 F' R U' D F
F' R2 F' R U' D' F
F' R2 F' R U' D2 F
F' R2 F' R U' F D
F' R2 F' R U' F D'
F' R2 F' R U' F D2
F' R2 F' R D U' F
F' R2 F' R D' U' F
F' R2 F' R D2 U' F
F R2 F R F2 U' F'
F2 R2 F' L R' U' F2
F2 R2 F' L' R' U' F2
F2 R2 F' L2 R' U' F2
F2 R2 F' R' L U' F2
F2 R2 F' R' L' U' F2
F2 R2 F' R' L2 U' F2
F2 R2 F' R' U' F2 D
F2 R2 F' R' U' F2 D'
F2 R2 F' R' U' F2 D2
F2 R2 F' R' D' L2 U'
F' R2 F' D R U' F
F' R2 F' D' R U' F
F' R2 F' D2 R U' F
F2 R2 F' D' L2 R' U'
F2 R2 F' D' R' L2 U'
F R2 F' U2 L' U F'
L2 D U2 L B U F'
U2 D L B L2 U F'
U2 D L' D B U F'
U2 D L' D' B U F'
U2 D L' D2 B U F'
U2 D L' B U D F'
U2 D L' B U D' F'
U2 D L' B U D2 F'
U2 D L' B U F' D
U2 D L' B U F' D'
U2 D L' B U F' D2
U2 D L' B D U F'
U2 D L' B D' U F'
U2 D L' B D2 U F'
L' D B U2 B' U' F'
U' D B L' U L F'
U' D B L' U F' L
U2 D B L' U D F'
U2 D B L' U D' F'
U2 D B L' U D2 F'
U2 D B L' U F' D
U2 D B L' U F' D'
U2 D B L' U F' D2
U2 D B L' D U F'
U2 D B L' D' U F'
U2 D B L' D2 U F'
U2 D B D L' U F'
U2 D B D' L' U F'
U2 D B D2 L' U F'
U2 D B' L' B2 U F'
U2 D' L B L2 U F'
U2 D' L' D B U F'
U2 D' L' D' B U F'
U2 D' L' D2 B U F'
U2 D' L' B U D F'
U2 D' L' B U D' F'
U2 D' L' B U D2 F'
U2 D' L' B U F' D
U2 D' L' B U F' D'
U2 D' L' B U F' D2
U2 D' L' B D U F'
U2 D' L' B D' U F'
U2 D' L' B D2 U F'
L2 D' U2 L B U F'
L D' U2 B U F' B
L D' U2 B U B F'
L' D' B U2 B' U' F'
F U' R F2 D B R'
D' U' B L' U L F'
U' D' B L' U L F'
D' U' B L' U F' L
U' D' B L' U F' L
D2 U' B L' U L F'
D2 U' B L' U F' L
U2 D' B L' U D F'
U2 D' B L' U D' F'
U2 D' B L' U D2 F'
U2 D' B L' U F' D
U2 D' B L' U F' D'
U2 D' B L' U F' D2
U2 D' B L' D U F'
U2 D' B L' D' U F'
U2 D' B L' D2 U F'
D U' B L' U L F'
D U' B L' U F' L
U2 D' B D L' U F'
U2 D' B D' L' U F'
U2 D' B D2 L' U F'
U2 D' B' L' B2 U F'
F' U' F B L' U L
D' U2 L B L2 U F'
D2 U2 L B L2 U F'
D' U2 L' D B U F'
D' U2 L' D' B U F'
D' U2 L' D2 B U F'
D2 U2 L' D B U F'
U2 D2 L B L2 U F'
D2 U2 L' D' B U F'
D2 U2 L' D2 B U F'
D' U2 L' B U D F'
D' U2 L' B U D' F'
D' U2 L' B U D2 F'
D' U2 L' B U F' D
D' U2 L' B U F' D'
D' U2 L' B U F' D2
D' U2 L' B D U F'
D' U2 L' B D' U F'
D' U2 L' B D2 U F'
D2 U2 L' B U D F'
D2 U2 L' B U D' F'
D2 U2 L' B U D2 F'
D2 U2 L' B U F' D
D2 U2 L' B U F' D'
D2 U2 L' B U F' D2
D2 U2 L' B D U F'
D2 U2 L' B D' U F'
D2 U2 L' B D2 U F'
D U2 L B L2 U F'
U2 D2 L' D B U F'
U2 D2 L' D' B U F'
U2 D2 L' D2 B U F'
U2 D2 L' B U D F'
U2 D2 L' B U D' F'
U2 D2 L' B U D2 F'
U2 D2 L' B U F' D
U2 D2 L' B U F' D'
U2 D2 L' B U F' D2
U2 D2 L' B D U F'
U2 D2 L' B D' U F'
U2 D2 L' B D2 U F'
D U2 L' D B U F'
D U2 L' D' B U F'
D U2 L' D2 B U F'
F U' F2 R D B R'
D U2 L' B U D F'
D U2 L' B U D' F'
D U2 L' B U D2 F'
D U2 L' B U F' D
D U2 L' B U F' D'
D U2 L' B U F' D2
D U2 L' B D U F'
D U2 L' B D' U F'
D U2 L' B D2 U F'
F' U' B F L' U L
F U' F2 U' B L U
L D2 R2 F' U B U2
R' D2 U2 L' B' U F
L2 D2 U2 L B U F'
F U2 L B L U F2
L D2 F R2 F' U' F'
F U2 L' B L U F2
U' D2 B L' U L F'
U' D2 B L' U F' L
D' U2 B L' U D F'
D' U2 B L' U D' F'
D' U2 B L' U D2 F'
D' U2 B L' U F' D
D' U2 B L' U F' D'
D' U2 B L' U F' D2
D' U2 B L' D U F'
D' U2 B L' D' U F'
D' U2 B L' D2 U F'
D2 U2 B L' U D F'
D2 U2 B L' U D' F'
D2 U2 B L' U D2 F'
D2 U2 B L' U F' D
D2 U2 B L' U F' D'
D2 U2 B L' U F' D2
D2 U2 B L' D U F'
D2 U2 B L' D' U F'
D2 U2 B L' D2 U F'
L D2 F' R2 F' U' F
F U2 L2 B L U F2
D' U2 B D L' U F'
D' U2 B D' L' U F'
D' U2 B D2 L' U F'
D2 U2 B D L' U F'
D2 U2 B D' L' U F'
U2 D2 B L' U D F'
U2 D2 B L' U D' F'
U2 D2 B L' U D2 F'
U2 D2 B L' U F' D
U2 D2 B L' U F' D'
U2 D2 B L' U F' D2
U2 D2 B L' D U F'
U2 D2 B L' D' U F'
U2 D2 B L' D2 U F'
L' D2 B U2 B' U' F'
D2 U2 B D2 L' U F'
D' U2 B' L' B2 U F'
D2 U2 B' L' B2 U F'
L D2 F2 R2 F' U' F2
U2 D2 B D L' U F'
D U2 B L' U D F'
D U2 B L' U D' F'
D U2 B L' U D2 F'
D U2 B L' U F' D
D U2 B L' U F' D'
D U2 B L' U F' D2
D U2 B L' D U F'
D U2 B L' D' U F'
D U2 B L' D2 U F'
U2 D2 B D' L' U F'
U2 D2 B D2 L' U F'
U2 D2 B' L' B2 U F'
D U2 B D L' U F'
D U2 B D' L' U F'
D U2 B D2 L' U F'
D U2 B' L' B2 U F'
F U2 D B L R2 U
F U2 D B R2 L U
F2 U2 B U2 R U' F
F U2 B L R U F2
F U2 B L R' U F2
F U2 B L R2 U F2
F U2 B L U F2 D
F U2 B L U F2 D'
F U2 B L U F2 D2
F U2 B L D R2 U
F U2 B R L U F2
F U2 B R' L U F2
F U2 B R2 L U F2
F U2 B D L R2 U
F U2 B D R2 L U
B U2 B' U2 L' U F'
D' F U2 B L U F2
L2 F U2 L B U F2
D2 F U2 B L U F2
L F U2 L2 B U F2
D F U2 B L U F2
L F U2 B L2 U F2
B D L2 F L U F2
L' F B U2 B' U' F2
F2 D R2 F' R' U' F2
L F B L2 F U F
F D U2 B L R2 U
F D U2 B R2 L U
U' F' R D R' B R'
U' F' R D B R' B
U' F' R2 U F' R U'
D2 F' R2 F' R U' F
D' F' R2 F' R U' F
B2 D B' L' U L' F'
U' F' U R2 F' R U'
D F' R2 F' R U' F
L2 F' U' L B U L'
U2 F' U' F L' B U
U2 F' U' F B L' U
U2 F' U' B F L' U
L F' U' L2 B U L2
L F' U' B L2 U L2
L F' U2 B L2 U F
B D' L2 F L U F2
F D' L2 U2 B L U
L F' D2 R2 F' U' F
F2 D' R2 F' R' U' F2
L F' B L2 F U F'
R' F2 R U2 B U F'
R' F2 R' F' R2 U' F'
R2 F2 R D' F L' U'
D2 F2 R2 F' R' U' F2
D' F2 R2 F' R' U' F2
R F2 R F' U B U2
R2 F2 R2 F R' U' F2
D F2 R2 F' R' U' F2
B D2 L2 F L U F2
L' F2 B U2 B' U' F
L F2 D2 R2 F' U' F2
F2 D2 R2 F' R' U' F2
U' B L' U L D F'
U' B L' U L D' F'
U' B L' U L D2 F'
U' B L' U L F' D
U' B L' U L F' D'
U' B L' U L F' D2
U' B L' U L' F' L2
U' B L' U D L F'
U' B L' U D F' L
U' B L' U D' L F'
U' B L' U D' F' L
U' B L' U D2 L F'
U' B L' U D2 F' L
U' B L' U F L F2
U' B L' U F' L D
U' B L' U F' L D'
U' B L' U F' L D2
U' B L' U F' D L
U' B L' U F' D' L
U' B L' U F' D2 L
U2 B L U D' F' B2
U2 B L U D' B2 F'
U2 B L U F' D' B2
U' B L' D U L F'
U' B L' D U F' L
U' B L' D' U L F'
U' B L' D' U F' L
U' B L' D2 U L F'
U' B L' D2 U F' L
U2 B L D' U F' B2
U2 B L D' U B2 F'
U' B L' F U L F2
U' B L' F U F2 L
U' B L' F2 U F L
U2 B L' R2 U' B U2
U2 B L' U L' F' L
U2 B L' U L2 F' L2
U2 B L' U D F' D
U2 B L' U D F' D'
U2 B L' U D F' D2
U2 B L' U D' F' D
U2 B L' U D' F' D'
U2 B L' U D' F' D2
U2 B L' U D2 F' D
U2 B L' U D2 F' D'
U2 B L' U D2 F' D2
U2 B L' U F2 D F
U2 B L' U F2 D' F
U2 B L' U F2 D2 F
U2 B L' U' B U2 F'
U2 B L' U' B' U2 F'
U2 B L' U' B2 U2 F'
U2 B L' U2 L U' F'
U2 B L' U2 L' U' F'
U2 B L' U2 L2 U' F'
U2 B L' D U F' D
U2 B L' D U F' D'
U2 B L' D U F' D2
U2 B L' D' U F' D
U2 B L' D' U F' D'
U2 B L' D' U F' D2
U2 B L' D2 U F' D
U2 B L' D2 U F' D'
U2 B L' D2 U F' D2
D2 B L2 F L U F2
D' B L2 F L U F2
L' B L2 F L2 U F2
U2 B L2 D L U F'
U2 B L2 D' L U F'
U2 B L2 D2 L U F'
D B L2 F L U F2
B' D2 F2 B R U' F
L B L2 U F' D' L2
L B L2 D F U F2
L B L2 D' F U F2
L B L2 D2 F U F2
L B L2 F R U F2
L B L2 F R' U F2
L B L2 F R2 U F2
L B L2 F U F2 D
L B L2 F U F2 D'
L B L2 F U F2 D2
L B L2 F D R2 U
B' D2 B F2 R U' F
U2 B R' D2 L' U F
U2 B R2 L' U' B U2
B2 D2 B' L' F2 U F
L' B U L2 F' D' L2
L' B U F' U B' U'
L' B U2 L U' F' L'
L' B U2 D B' U' F'
L' B U2 D' B' U' F'
L' B U2 D2 B' U' F'
U' B D L' U L F'
U' B D L' U F' L
L' B U2 B' L U' F'
L' B U2 B' L' U' F'
L' B U2 B' L2 U' F'
L' B U2 B' U' D F'
L' B U2 B' U' D' F'
L' B U2 B' U' D2 F'
L' B U2 B' U' F' D
L' B U2 B' U' F' D'
L' B U2 B' U' F' D2
L' B U2 B' D U' F'
L' B U2 B' D' U' F'
L' B U2 B' D2 U' F'
L' B D U2 B' U' F'
U' B D' L' U L F'
U' B D' L' U F' L
U2 B D L' U D F'
U2 B D L' U D' F'
U2 B D L' U D2 F'
U2 B D L' U F' D
U2 B D L' U F' D'
U2 B D L' U F' D2
U2 B D L' D U F'
U2 B D L' D' U F'
U2 B D L' D2 U F'
F' B L2 F L' U F'
L' B D' U2 B' U' F'
U' B D2 L' U L F'
U' B D2 L' U F' L
U2 B D' L' U D F'
U2 B D' L' U D' F'
U2 B D' L' U D2 F'
U2 B D' L' U F' D
U2 B D' L' U F' D'
U2 B D' L' U F' D2
U2 B D' L' D U F'
U2 B D' L' D' U F'
U2 B D' L' D2 U F'
L' B D2 U2 B' U' F'
U2 B D2 L' U D F'
U2 B D2 L' U D' F'
U2 B D2 L' U D2 F'
U2 B D2 L' U F' D
U2 B D2 L' U F' D'
U2 B D2 L' U F' D2
U2 B D2 L' D U F'
U2 B D2 L' D' U F'
U2 B D2 L' D2 U F'
L' B F U2 B' U' F2
L B F L2 F U F
L' B F2 U2 B' U' F
L B F' L2 F U F'
U2 B' L B2 L2 U F'
F2 B U2 R B' U' F
U2 B' L' U D' F' R2
U2 B' L' U F' D' R2
U2 B' L' D' U F' R2
F2 B U2 B' R U' F
U2 B' L' B2 U D F'
U2 B' L' B2 U D' F'
U2 B' L' B2 U D2 F'
U2 B' L' B2 U F' D
U2 B' L' B2 U F' D'
U2 B' L' B2 U F' D2
U2 B' L' B2 D U F'
U2 B' L' B2 D' U F'
U2 B' L' B2 D2 U F'
B F U2 B' R' U' F2
F B U2 B' R' U' F2
U' B' U' L' B2 U F'
U' B' U' B2 L' U F'
U B' U L' B2 U F'
B F' L2 F L' U F'
U B' U B2 L' U F'
U2 B' D' L' U F' R2
U2 B2 L' U D F' R
U2 B2 L' D U F' R
U' B2 U' B' L' U F'
U B2 U B' L' U F'
L' B2 D B' U L2 F'
L' B2 D B' U F' L2
U2 B2 D B' L' U F'
U2 B2 D' B' L' U F'
L' B2 D2 F2 B' U F
L' B2 D2 B' F2 U F
B F2 U2 R B' U' F
U2 B2 D2 B' L' U F'
B F2 U2 B' R U' F
