U L F' B2 U' R
F' L B2 U' R B2
F' L B2 U' B2 R
F' L' R D L2 F2
F' L' R D F2 L2
U L B2 F' U' R
F' L' D L2 R F2
F' L' D R L2 F2
F' L' D R F2 L2
F' R L' D L2 F2
F' R L' D F2 L2
F' R U L B2 U'
F' U L B2 U' R
F2 U L F B2 U'
F2 U L B2 F U'
L' F D F2 L2 R
L' F D F2 R L2
L' F' R D L2 F2
L' F' R D F2 L2
U F' L B2 U' R
L' F' D L2 R F2
L' F' D R L2 F2
L' F' D R F2 L2
L2 F' D L2 R F'
L2 F' D R L2 F'
L2 F' D R F' L2
L F' B2 U' R B2
L F' B2 U' B2 R
L B2 F' U' R B2
L B2 F' U' B2 R
L F L2 D L2 F2 R
L' F R' D F2 L2 R
L' F R' D F2 R L2
U F L2 B2 L' U' R'
L' F R2 D F2 L2 R
L' F R2 D F2 R L2
L' F U L2 B2 U' R'
F' D L' R D L' F2
F' D L' D L' R F2
F' D L' D R L' F2
L' F D R F2 L2 R
L' F D R F2 R L2
L' F D R' F2 L2 R
L' F D R' F2 R L2
L' F D R2 F2 L2 R
L' F D R2 F2 R L2
F' D L2 R U L' U'
L' F D F' L2 F' R
F' D L2 U L' U' R
L' F D F2 L2 R D
L' F D F2 L2 R D'
L' F D F2 L2 R D2
L' F D F2 L2 D R
L' F D F2 L2 D' R
L' F D F2 L2 D2 R
L' F D F2 R L2 D
L' F D F2 R L2 D'
L' F D F2 R L2 D2
F' D R L' D L' F2
F' D R L2 U L' U'
F' D R U L U' L
B2 D R' B L2 F U
F' D U L U' L R
F' D U L U' R L
F2 D U L F U' L
L' F B2 L2 U' B2 R'
R' F' L B2 U' R B2
R' F' L B2 U' B2 R
R' F' L' R D L2 F2
R' F' L' R D F2 L2
L2 F' L D L2 R F'
L2 F' L D R L2 F'
L2 F' L D R F' L2
B2 D U2 L2 R' B U
R' F' L' D L2 R F2
R' F' L' D R L2 F2
R' F' L' D R F2 L2
B2 D U2 R' L2 B U
B2 D U2 R' B L2 U
L F B2 U L' U2 B2
R2 F' L B2 U' R B2
R2 F' L B2 U' B2 R
U F' L U' R D L2
U F' L U' D L2 R
U F' L U' D R L2
R2 F' L' R D L2 F2
R2 F' L' R D F2 L2
L2 F' L' D L2 R F'
L2 F' L' D R L2 F'
L2 F' L' D R F' L2
U F' L D U' L2 R
U F' L D U' R L2
R2 F' L' D L2 R F2
R2 F' L' D R L2 F2
R2 F' L' D R F2 L2
U F' L B2 U' R D
U F' L B2 U' R D'
U F' L B2 U' R D2
U F' L B2 U' D R
U F' L B2 U' D' R
U F' L B2 U' D2 R
U F' L B2 D U' R
U F' L B2 D' U' R
U F' L B2 D2 U' R
R' F' R L' D L2 F2
R' F' R L' D F2 L2
R' F' R U L B2 U'
R F' L B2 U' R B2
R F' L B2 U' B2 R
R F' L' R D L2 F2
R F' L' R D F2 L2
L2 F' L2 D L2 R F'
L2 F' L2 D R L2 F'
L2 F' L2 D R F' L2
L' F' L2 B2 U' R B2
L' F' L2 B2 U' B2 R
L' F' R U L2 B2 U'
L' F' R U B2 L2 U'
R F' L' D L2 R F2
R F' L' D R L2 F2
R F' L' D R F2 L2
L' F' R D L F2 L
L' F' R D L2 F2 D
L' F' R D L2 F2 D'
L' F' R D L2 F2 D2
L' F' R D F' L2 F'
L' F' R D F2 L2 D
L' F' R D F2 L2 D'
L' F' R D F2 L2 D2
U F' L' B2 L2 U' R
L' F' R F D L2 F2
L' F' R F D F2 L2
L' F' R F' D L2 F2
L' F' R F' D F2 L2
L F' L2 R D L2 F2
L F' L2 R D F2 L2
L' F' R F2 D L2 F2
L' F' R F2 D F2 L2
R2 F' R L' D L2 F2
R2 F' R L' D F2 L2
R2 F' R U L B2 U'
L F' L2 D L2 R F2
L F' L2 D R L2 F2
L F' L2 D R F2 L2
U F' L2 B2 L' U' R
L F' R L2 D L2 F2
L F' R L2 D F2 L2
R F' R L' D L2 F2
R F' R L' D F2 L2
R F' R U L B2 U'
L F' R D L2 D F2
L' F' R2 D L2 R' F2
L' F' R2 D L2 F2 R'
L' F' R2 D R' L2 F2
L' F' R2 D R' F2 L2
L' F' R2 D F2 L2 R'
L' F' R2 D F2 R' L2
R' F' U L B2 U' R
L' F' U L2 B2 U' R
L F' R' B2 U' R2 B2
L F' R' B2 U' B2 R2
L' F' U B2 L2 U' R
R2 F' U L B2 U' R
U' F' U2 L B2 U' R
L F' R2 B2 U' B2 R'
R F' U L B2 U' R
F' D' L' R D F2 L'
L' F' D L R F2 L
L' F' D L2 R F2 D
L' F' D L2 R F2 D'
L' F' D L2 R F2 D2
L' F' D L2 R' F2 R2
L' F' D L2 R2 F2 R'
L' F' D R L F2 L
L' F' D R L2 F2 D
L' F' D R L2 F2 D'
L' F' D R L2 F2 D2
L' F' D R F' L2 F'
L' F' D R F2 L2 D
L' F' D R F2 L2 D'
L' F' D R F2 L2 D2
L' F' D R' L2 F2 R2
L' F' D R' F2 L2 R2
L' F' D R' F2 R2 L2
L' F' D R2 L2 F2 R'
L' F' D R2 F2 L2 R'
L' F' D R2 F2 R' L2
L2 F' D L R F' L
L2 F' D L2 R D F'
L2 F' D L2 R D' F'
L2 F' D L2 R D2 F'
L2 F' D L2 R F' D
L2 F' D L2 R F' D'
L2 F' D L2 R F' D2
L2 F' D R L F' L
L2 F' D R L2 D F'
L2 F' D R L2 D' F'
L2 F' D R L2 D2 F'
L2 F' D R L2 F' D
L2 F' D R L2 F' D'
L2 F' D R L2 F' D2
L2 F' D R F L2 F2
L2 F' D R F' L2 D
L2 F' D R F' L2 D'
L2 F' D R F' L2 D2
L' F' D' R D2 F2 L'
F' D' R L' D F2 L'
U F' D L U' L R
U F' D L U' R L
L2 F' D' R F2 L' F
L F' D L2 R D F2
L F' D L2 D R F2
L F' D R L2 D F2
F' D' R F2 L' D F2
B2 D' R2 F2 L' F U'
L' F' B2 L2 U' R B2
L' F' B2 L2 U' B2 R
L F' B2 R' U' R2 B2
L F' B2 R' U' B2 R2
L F' B2 R2 U' R' B2
U F' B2 U' R D' F2
L F' B2 U' R B2 D
L F' B2 U' R B2 D'
L F' B2 U' R B2 D2
L F' B2 U' R' B2 R2
U F' B2 U2 R' U R2
L F' B2 U' B' R B'
L F' B2 U' B2 R D
L F' B2 U' B2 R D'
L F' B2 U' B2 R D2
L F' B2 U' B2 D R
L F' B2 U' B2 D' R
L F' B2 U' B2 D2 R
L F' B2 D' R2 U' R'
U F2 L F B2 U' R
U F2 L B2 F U' R
R' F2 U L F B2 U'
R' F2 U L B2 F U'
R2 F2 U L F B2 U'
R2 F2 U L B2 F U'
R F2 U L F B2 U'
R F2 U L B2 F U'
F' D2 L' D R F2 L'
L' F2 D L2 F R F
L' F2 D F R F L2
L B D2 B U' R' B2
B2 F' U' R B2 D' F2
B2 F' U2 R' U R2 B2
B2 F' U2 R' U B2 R2
L B' D2 B' U' B2 R'
L2 B2 L' F' U' R B2
L2 B2 L' F' U' B2 R
L' B2 L2 F' U' R B2
L' B2 L2 F' U' B2 R
L B2 R F' U' R B2
L B2 R F' U' B2 R
D B2 R' B U L2 B
D B2 R' B U B L2
L B2 R' F' U' R B2
L B2 R' F' U' B2 R
L B2 R2 F' U' R B2
L B2 R2 F' U' B2 R
L B2 U F L' U2 B2
L B2 U F' U2 R B2
L B2 U F' U2 B2 R
L B2 U' F' R F B2
L B2 U' F' R B2 F
L B2 U' F' B2 R F
U B2 U' F' R D' F2
F' B2 U' R B2 D' F2
L B2 U' B D2 B R'
L B2 U' B2 F' R F
U B2 U2 D R' B U
L2 B2 D' L' R2 F U'
L2 B2 D' L' F R2 U'
F' B2 U2 R' U R2 B2
F' B2 U2 R' U B2 R2
L2 B2 D' R2 L' F U'
U B2 D U2 R' B U
L' B2 F L2 U' B2 R'
L' B2 F' L2 U' R B2
L' B2 F' L2 U' B2 R
L B2 F U L' U2 B2
L B2 F' R' U' R2 B2
L B2 F' R' U' B2 R2
L B2 F' R2 U' R' B2
L B2 F' U' R B2 D
L B2 F' U' R B2 D'
L B2 F' U' R B2 D2
L B2 F' U' R' B2 R2
L B2 F' U' B' R B'
L B2 F' U' B2 R D
L B2 F' U' B2 R D'
L B2 F' U' B2 R D2
L B2 F' U' B2 D R
L B2 F' U' B2 D' R
L B2 F' U' B2 D2 R
U B2 F' U' R D' F2
U B2 F' U2 R' U R2
L B2 F' D' R2 U' R'
