D' L' U2 F B
D' L' U2 B F
D' L B' L2 U2 B2
D' L' U2 D F B
D' L' U2 D B F
D' L' U2 D' F B
D' L' U2 D' B F
D' L' U2 D2 F B
D' L' U2 D2 B F
D' L' U2 F D B
D' L' U2 F D' B
D' L' U2 F D2 B
D' L' U2 F B D
D' L' U2 F B D'
D' L' U2 F B D2
D' L' U2 B D F
D' L' U2 B D' F
D' L' U2 B D2 F
D' L' U2 B F D
D' L' U2 B F D'
D' L' U2 B F D2
D' L' D U2 F B
D' L' D U2 B F
D' L' D' U2 F B
D' L' D' U2 B F
D' L' D2 U2 F B
D' L' D2 U2 B F
D' L' F' U2 F2 B
D' L' F' U2 B F2
D' L' F2 U2 F' B
D' L' F2 U2 B F'
D' L' B' U2 F B2
D' L' B' U2 B2 F
D' L' B2 U2 F B'
D' L' B2 U2 B' F
U2 D F2 B R F'
L2 D' L B' U2 B2
U2 D B F2 R F'
D U2 F2 B R F'
D U2 B F2 R F'
L' F U' L' U' B
D F2 U2 B R F'
U2 B D F2 R F'
D' B' L' U2 F B2
D' B' L' U2 B2 F
L2 D' L D' B' U2 B2
L2 D' L D2 B' U2 B2
L2 D' L F B' U2 B2
U2 D F' B R F' R
L2 D' L F' B' U2 B2
L2 D' L F2 B' U2 B2
U' D F2 U' B R F'
L2 D' L B' U2 B2 D
L2 D' L B' U2 B2 D'
L2 D' L B' U2 B2 D2
L2 D' L B' D2 F2 U2
L2 D' L B' F U2 B2
L2 D' L B' F' U2 B2
L2 D' L B' F2 U2 B2
U2 D F2 B R D F'
U2 D F2 B R D' F'
U2 D F2 B R D2 F'
U2 D F2 B R F' D
U2 D F2 B R F' D'
U2 D F2 B R F' D2
U2 D F2 B' R F' B2
U2 D F2 B' R B2 F'
U2 D F2 B2 R F' B'
U2 D F2 B2 R B' F'
U2 D B R F2 R F
R' D' R L' U2 F B
R' D' R L' U2 B F
U2 D B F' R F' R
U2 D B F2 R D F'
U2 D B F2 R D' F'
U2 D B F2 R D2 F'
U2 D B F2 R F' D
U2 D B F2 R F' D'
U2 D B F2 R F' D2
U2 D B' F2 R F' B2
U2 D B' F2 R B2 F'
U2 D B2 F2 R F' B'
U2 D B2 F2 R B' F'
L' D' U L' U F B
L' D' U L' U B F
U2 D' L' U2 F L B
L' D' U' L' U' F B
L' D' U' L' U' B F
L' D' U2 L' F L B
L' D' U2 B L' F L
L2 D' F L B' U2 B2
L2 D' F' L B' U2 B2
F U' L' U' B' R' B2
R' D' F2 L' R F B
R' D' F2 L' R B F
R' D' F2 R L' F B
R' D' F2 R L' B F
R' D' F2 R B L' F
L2 D' F2 L B' U2 B2
U2 D' F2 D2 B R F'
U2 D' F2 B D2 R F'
D U' F2 U' B R F'
U2 D' B U2 L' U2 F
U2 D' B D2 F2 R F'
U2 D' B F2 D2 R F'
D' U2 L' U2 F L B
L' D2 U2 B U' R' U
D' U2 F2 D2 B R F'
D' U2 F2 B D2 R F'
D2 U2 F2 D' B R F'
D2 U2 F2 B R D' F2
D U2 F' B R F' R
D2 U2 B R D' F2 R
U2 D2 F2 D' B R F'
D' U2 B U2 L' U2 F
U2 D2 F2 B R D' F2
D' U2 B D2 F2 R F'
D' U2 B F2 D2 R F'
U2 D2 B R D' F2 R
D2 U2 B F2 R D' F2
D U2 F2 B R D F'
D U2 F2 B R D' F'
D U2 F2 B R D2 F'
D U2 F2 B R F' D
D U2 F2 B R F' D'
D U2 F2 B R F' D2
D U2 F2 B' R F' B2
D U2 F2 B' R B2 F'
D U2 F2 B2 R F' B'
D U2 F2 B2 R B' F'
D U2 B R F2 R F
U2 D2 B F2 R D' F2
L' D2 B' U' L U' B2
D U2 B F' R F' R
D U2 B F2 R D F'
D U2 B F2 R D' F'
D U2 B F2 R D2 F'
D U2 B F2 R F' D
D U2 B F2 R F' D'
D U2 B F2 R F' D2
B2 U2 D F2 R F' B'
B2 U2 D F2 R B' F'
B2 U2 D F2 B' R F'
B2 U2 D B' F2 R F'
D U2 B' F2 R F' B2
D U2 B' F2 R B2 F'
L2 F L U' L2 U' B
L2 F L U2 D F2 B
L2 F L U2 D B F2
L2 F L U2 B D F2
L2 F L D U2 F2 B
L2 F L D U2 B F2
D U2 B2 F2 R F' B'
D U2 B2 F2 R B' F'
B U2 D' L' U2 F L
L2 F L D' B2 U2 B'
U' F L' F U' B R
F' U2 D2 B R' D' F2
L F L2 U' L U' B
F2 U2 B R U L U'
F2 U2 B U L U' R
F2 U2 B' R B2 D' F2
B2 U2 B' D F2 R F'
B' U2 B2 D F2 R F'
L' F U' L' U' D B
L' F U' L' U' D' B
L' F U' L' U' D2 B
L' F U' L' U' B D
L' F U' L' U' B D'
L' F U' L' U' B D2
L' F U' L' D U' B
L' F U' L' D' U' B
L' F U' L' D2 U' B
L' F U' D L' U' B
L' F U' D' L' U' B
F2 U2 B2 D' R F' B'
F2 U2 B2 D' R B' F'
L' F U' D2 L' U' B
F2 U2 B2 D' B' R F'
L' F U2 B U L' U'
L' F D U' L' U' B
L' F D' U' L' U' B
L' F D2 U' L' U' B
L' F B' U' L' U' B2
B2 D U2 F2 R F' B'
B2 D U2 F2 R B' F'
B2 D U2 F2 B' R F'
B2 D U2 B' F2 R F'
B2 D F2 U2 R F' B'
B2 D F2 U2 R B' F'
B2 D F2 U2 B' R F'
B' D' L' U' R2 U' F
B' D' L' U2 D F B2
B' D' L' U2 D B2 F
B' D' L' U2 F D B2
B' D' L' D U2 F B2
B' D' L' D U2 B2 F
B' D' L' D' F2 U2 F'
L' F' U2 B U' R U
B D' L B' L2 U2 B
D F' U2 F' B R F'
D F' U2 B R F' R
D F' U2 B F' R F'
B2 D' L2 F L U2 F
B D' L' B U2 F B'
B D' L' B U2 B' F
B D' L' B' U2 F B
B D' L' B' U2 B F
B D' L' B2 U2 F B2
B D' L' B2 U2 B2 F
U2 F' D2 B R' D' F2
L' F' B' U R U B2
B D' R' F2 L' R F
B D' R' F2 R L' F
L' F' B2 U R U B'
D' F2 L B' U2 R B2
D' F2 L B' U2 B2 R
D' F2 L' U2 B R F
D F2 L U2 B R F'
B D' U2 L' U2 F L
D F2 L' U2 B R F'
D F2 L2 U2 B R F'
B2 D' B L' U2 F B2
B2 D' B L' U2 B2 F
L' F2 U L U F B
L' F2 U L U B F
B D' B' L' U2 F B
B D' B' L' U2 B F
B2 D' B2 L' U2 F B
B2 D' B2 L' U2 B F
U' F2 U' B R' F' R2
B D' B2 L' U2 F B2
B D' B2 L' U2 B2 F
D2 F2 U2 D' B R F'
D' F2 U2 D2 B R F'
D2 F2 U2 B R D' F2
D' F2 U2 B D2 R F'
L' F2 U2 B U L U'
D F2 U2 B R D F'
D F2 U2 B R D' F'
D F2 U2 B R D2 F'
D F2 U2 B R F' D
D F2 U2 B R F' D'
D F2 U2 B R F' D2
D F2 U2 B' R F' B2
D F2 U2 B' R B2 F'
D F2 U2 B2 R F' B'
D F2 U2 B2 R B' F'
D2 F2 D' U2 B R F'
D' F2 D2 U2 B R F'
D F2 B' R F' B2 L
D F2 B' R B2 L F'
D F2 B' R B2 F' L
D F2 B' U2 R F' B2
D F2 B' U2 R B2 F'
D F2 B' U2 B2 R F'
D' B L B' L2 U2 B
D F2 B2 U2 R F' B'
D F2 B2 U2 R B' F'
D F2 B2 U2 B' R F'
F' D2 U2 B R' D' F2
D' B L' B U2 F B'
D' B L' B U2 B' F
D' B L' B' U2 F B
D' B L' B' U2 B F
D' B L' B2 U2 F B2
D' B L' B2 U2 B2 F
B' D2 F2 U2 D' R F'
B' D2 F2 D' U2 R F'
U2 B R D F2 R F'
D' B R' F2 L' R F
D' B R' F2 R L' F
F' D2 B R' D' F2 L'
U2 B R' D F2 R F'
U2 B R2 D F2 R F'
D' B U2 L' U2 F L
U2 B U2 D' L' U2 F
U2 B D R F2 R F
U2 B D F' R F' R
U2 B D F2 R D F'
U2 B D F2 R D' F'
U2 B D F2 R D2 F'
U2 B D F2 R F' D
U2 B D F2 R F' D'
U2 B D F2 R F' D2
U2 B D' U2 L' U2 F
U2 B D' F2 D2 R F'
U2 B D2 F2 D' R F'
D' B' L B' L2 F U2
D2 B' L' U' L2 U' B2
D2 B' L' U2 B2 D F2
D' B' L' U2 F B2 D
D' B' L' U2 F B2 D'
D' B' L' U2 F B2 D2
D' B' L' U2 B2 D F
D' B' L' U2 B2 D' F
D' B' L' U2 B2 D2 F
D' B' L' U2 B2 F D
D' B' L' U2 B2 F D'
D' B' L' U2 B2 F D2
D' B' L' D2 F2 U2 F'
D' B' L' F' U2 F2 B2
D' B' L' F' U2 B2 F2
D' B' L' F2 U2 F' B2
D' B' L' F2 U2 B2 F'
D' B' L' B U2 F B
D' B' L' B U2 B F
D' B' L' B' U2 F B'
D' B' L' B' U2 B' F
D' B' L2 U2 B2 R' F'
D B' U2 F2 R F' B2
D B' U2 F2 R B2 F'
D B' U2 F2 B2 R F'
D B' U2 B2 F2 R F'
D' B' D2 F2 U2 R F'
D B' D2 L' F2 U2 F'
L' B' F U' L' U' B2
L' B' F' U R U B2
F2 B' U2 B2 D' R F'
D B' F2 R F' B2 L
D B' F2 R B2 L F'
D B' F2 R B2 F' L
D B' F2 U2 R F' B2
D B' F2 U2 R B2 F'
D B' F2 U2 B2 R F'
D' B2 L2 F L U2 F
L B2 L2 F U' L' U'
D B2 U2 F2 R F' B'
D B2 U2 F2 R B' F'
D B2 U2 F2 B' R F'
D B2 U2 B' F2 R F'
U2 B2 D F2 R F' B'
U2 B2 D F2 R B' F'
U2 B2 D F2 B' R F'
U2 B2 D B' F2 R F'
B' F2 U2 B2 D' R F'
B2 F2 U2 B' R D' F2
F2 B2 U2 B' R D' F2
L' B2 F' U R U B'
D B2 F2 U2 R F' B'
D B2 F2 U2 R B' F'
D B2 F2 U2 B' R F'
