B R U L B
B L' R U L2 B
B L' R U B L2
B L2 R U L' B
B L2 R U B L'
B R L' U L2 B
B R L' U B L2
B R L2 U L' B
B R L2 U B L'
B R U L D B
B R U L D' B
B R U L D2 B
B R U L B D
B R U L B D'
B R U L B D2
B R U L' B L2
B R U L2 B L'
B R U D L B
B R U D' L B
B R U D2 L B
B R D U L B
B R D' U L B
B R D2 U L B
B R F U L B
B R F' U L B
B R F2 U L B
B2 R B' U L B2
B D R U L B
B D' R U L B
B D2 R U L B
U' B L R F U
L' B R U L B
U' B R L F U
D2 B R U L B
L2 B R U L B
D' B R U L B
L B R U L B
D B R U L B
B D2 R U L' B L2
B D2 R U L2 B L'
B D2 R U D L B
B D2 R U D' L B
B D2 R U D2 L B
B D2 R D U L B
B D2 R D' U L B
B D2 R D2 U L B
B D2 R F U L B
B D2 R F' U L B
B D2 R F2 U L B
U' B L R D F U
U' B L R D' F U
U' B L R D2 F U
U' B L R F U D
U' B L R F U D'
U' B L R F U D2
U' B L R F D U
U' B L R F D' U
U' B L R F D2 U
U' B L R' F R2 U
U' B L R2 F R' U
U' B L D R F U
U' B L D' R F U
U' B L D2 R F U
D2 B L' R U L2 B
D2 B L' R U B L2
D' B L' R U L2 B
D' B L' R U B L2
L' B L' R U L2 B
L' B L' R U B L2
L2 B L' R U L2 B
L2 B L' R U B L2
D2 B L2 R U L' B
D2 B L2 R U B L'
D' B L2 R U L' B
D' B L2 R U B L'
L' B L2 R U L' B
L' B L2 R U B L'
D B L' R U L2 B
D B L' R U B L2
U' B R L D F U
U' B R L D' F U
U' B R L D2 F U
U' B R L F U D
U' B R L F U D'
U' B R L F U D2
U' B R L F D U
U' B R L F D' U
U' B R L F D2 U
L2 B L2 R U L' B
L2 B L2 R U B L'
D2 B R L' U L2 B
D2 B R L' U B L2
L B L' R U L2 B
L B L' R U B L2
U' B R D L F U
D2 B R L2 U L' B
D2 B R L2 U B L'
D' B R L' U L2 B
D' B R L' U B L2
D2 B R U L D B
D2 B R U L D' B
D2 B R U L D2 B
D2 B R U L B D
D2 B R U L B D'
D2 B R U L B D2
U' B R D' L F U
D2 B R U L' B L2
D' B R L2 U L' B
D2 B R U L2 B L'
D' B R L2 U B L'
D2 B R U D L B
D2 B R U D' L B
D2 B R U D2 L B
U' B R D2 L F U
D' B R U L D B
D' B R U L D' B
D' B R U L D2 B
D' B R U L B D
D' B R U L B D'
D' B R U L B D2
L' B R L' U L2 B
D' B R U L' B L2
L' B R L' U B L2
D' B R U L2 B L'
D' B R U D L B
D' B R U D' L B
D' B R U D2 L B
L' B R L2 U L' B
L' B R L2 U B L'
U' B R F L F U
L' B R U L D B
L' B R U L D' B
L' B R U L D2 B
L' B R U L B D
L' B R U L B D'
L' B R U L B D2
L' B R U L' B L2
L' B R U L2 B L'
U' B R F' L F U
L' B R U D L B
L' B R U D' L B
L' B R U D2 L B
D2 B R D U L B
U' B R F2 L F U
D2 B R D' U L B
D' B R D U L B
D B L2 R U L' B
D B L2 R U B L'
D2 B R D2 U L B
D' B R D' U L B
L' B R D U L B
D2 B R F U L B
D' B R D2 U L B
L' B R D' U L B
D2 B R F' U L B
D' B R F U L B
L' B R D2 U L B
D2 B R F2 U L B
U' B R' L F R2 U
D' B R F' U L B
L' B R F U L B
D' B R F2 U L B
L' B R F' U L B
L2 B R L' U L2 B
L2 B R L' U B L2
L' B R F2 U L B
L2 B R L2 U L' B
L2 B R L2 U B L'
L2 B R U L D B
L2 B R U L D' B
L2 B R U L D2 B
L2 B R U L B D
L2 B R U L B D'
L2 B R U L B D2
L2 B R U L' B L2
L2 B R U L2 B L'
L2 B R U D L B
L2 B R U D' L B
L2 B R U D2 L B
L B L2 R U L' B
L B L2 R U B L'
L2 B R D U L B
L2 B R D' U L B
L2 B R D2 U L B
L2 B R F U L B
L2 B R F' U L B
D B R L' U L2 B
D B R L' U B L2
L2 B R F2 U L B
D B R L2 U L' B
D B R L2 U B L'
D B R U L D B
D B R U L D' B
D B R U L D2 B
D B R U L B D
D B R U L B D'
D B R U L B D2
D B R U L' B L2
D B R U L2 B L'
D B R U D L B
D B R U D' L B
D B R U D2 L B
U' B R2 L F R' U
D B R D U L B
D B R D' U L B
D B R D2 U L B
D B R F U L B
L B R L' U L2 B
L B R L' U B L2
D B R F' U L B
L B R L2 U L' B
L B R L2 U B L'
L B R U L D B
L B R U L D' B
L B R U L D2 B
L B R U L B D
L B R U L B D'
L B R U L B D2
L B R U L' B L2
D B R F2 U L B
L B R U L2 B L'
L B R U D L B
L B R U D' L B
L B R U D2 L B
L B R D U L B
L B R D' U L B
L B R D2 U L B
L B R F U L B
L B R F' U L B
L B R F2 U L B
U B R' F' L' R2 U
U B R' F' R2 L' U
U' B D L R F U
U' B D R L F U
D2 B D R U L B
D' B D R U L B
L' B D R U L B
U' B D' L R F U
U' B D' R L F U
L2 B D R U L B
D2 B D' R U L B
D' B D' R U L B
L' B D' R U L B
U' B D2 L R F U
D B D R U L B
U' B D2 R L F U
F' B R U L F B
F' B R U L B F
L2 B D' R U L B
D2 B D2 R U L B
D' B D2 R U L B
L B D R U L B
L' B D2 R U L B
D B D' R U L B
L2 B D2 R U L B
L B D' R U L B
U' B F' L F R U
D B D2 R U L B
L B D2 R U L B
F2 B U2 L' U' B' L2
B F' R U L F B
B F' R U L B F
U' B2 R B' L F U
D2 B2 R B' U L B2
D' B2 R B' U L B2
L' B2 R B' U L B2
L2 B2 R B' U L B2
D B2 R B' U L B2
L B2 R B' U L B2
B F2 U2 L' U' B' L2
