U' L' R2 B' U2 B'
U' L' B' R2 U2 B'
U' R2 L' B' U2 B'
L' R2 B' U R' U B'
D L2 U2 B2 U' R' F'
R' U L' R' U2 F' B2
R' U L' R' U2 B2 F'
R' U L' U2 B2 L F
R U L' R B U2 B
R' U L2 B2 L R' F'
R' U L2 B2 R' L F'
R' U L2 B2 R' F' L
R U R L' B U2 B
R' U R' L' U2 F' B2
R' U R' L' U2 B2 F'
L' U R' U F' B2 L
L' U R' U B2 L F'
L' U R' U B2 F' L
R U R B L' U2 B
L2 U R' F' B2 L R'
L2 U R' F' B2 R' L
L2 U R' B2 L F' R'
L2 U R' B2 F' L R'
L2 U R' B2 F' R' L
U L2 B2 D2 L2 R' F'
U L2 B2 D2 R' L2 F'
U L2 B2 D2 R' F' L2
U' R L' B' R U2 B'
B2 R D F2 L' R F
B2 R D F2 R L' F
L2 U B2 D2 L2 R' F'
L2 U B2 D2 R' L2 F'
L2 U B2 D2 R' F' L2
B' R D' F2 R B' L'
B' R D' F2 B' L' R
B' R D' F2 B' R L'
B2 R D' F2 L' R F'
B2 R D' F2 R L' F'
B' R D' B' F2 L' R
B' R D' B' F2 R L'
L2 U' L R2 U2 F B2
L2 U' L R2 U2 B2 F
R' U' L' R' B' U2 B'
R' U' L' B' U2 B' L
R U' L' R B' U2 B'
R U' L' B' R U2 B'
B2 R F2 L' D' R F'
R U' R L' B' U2 B'
B2 R F2 R D L' F
R' U' R' L' B' U2 B'
B2 R F2 D L' R F
B2 R F2 D R L' F
B2 R F2 D' L' R F'
B2 R F2 D' R L' F'
F2 R F2 B2 D L' F
L2 U' R' B2 L R' F
L2 U' R' B2 L F R'
L2 U' R' B2 R' L F
L2 U' R2 L U2 F B2
L2 U' R2 L U2 B2 F
L2 U' R2 U2 B2 R' F'
B' R B' D' F2 L' R
B' R B' D' F2 R L'
F2 R B2 D F2 L' F
F2 R B2 F2 D L' F
U' R' L' B' U2 B' L
R' U' F B2 L F R
U R' L' U2 F' B2 L
U R' L' U2 B2 L F'
U R' L' U2 B2 F' L
U R' L2 F' B2 L R'
U R' L2 F' B2 R' L
U R' L2 B2 L F' R'
U R' L2 B2 F' L R'
U R' L2 B2 F' R' L
R' U' F2 B2 L R F
R' U' F2 B2 R L F
F2 R' U' B2 L R2 F
F2 R' U' B2 L F R2
F2 R' U' B2 R2 L F
R' U' B2 L D2 R2 F
R' U' B2 L D2 F R2
R' U' B2 L F D2 R2
R' U' B2 F L F R
R' U' B2 F2 L R F
R' U' B2 F2 R L F
U' R' F B2 L F R
U' R' F2 B2 L R F
U' R' F2 B2 R L F
U R' F2 B2 R F L
U' R' B2 L D2 R2 F
U' R' B2 L D2 F R2
U' R' B2 L F D2 R2
U' R' B2 F L F R
U' R' B2 F2 L R F
U' R' B2 F2 R L F
U R' B2 L D2 F' R2
U R' B2 L F' D2 R2
U R' B2 F2 R F L
U' R2 L' D2 F2 B' U2
U' R2 L' D2 B' F2 U2
U' R2 L' F B' U2 B'
U' R2 L' F' B' U2 B'
U' R2 L' F2 B' U2 B'
U' R2 L' B' U2 D B'
U' R2 L' B' U2 D' B'
U' R2 L' B' U2 D2 B'
U' R2 L' B' U2 B' D
U' R2 L' B' U2 B' D'
U' R2 L' B' U2 B' D2
U' R2 L' B' D U2 B'
U' R2 L' B' D' U2 B'
U' R2 L' B' D2 U2 B'
U' R2 L' B' F U2 B'
U' R2 L' B' F' U2 B'
U' R2 L' B' F2 U2 B'
B R2 L' D F' U2 F'
B R2 L' D' F' B2 U2
B R2 L' D' B2 F' U2
B R2 L' F' U' L2 U'
B R2 L' F' U2 D F2
B R2 L' F' D U2 F2
B R2 L' F' D' B2 U2
R2 U2 F2 B2 D R F'
U R2 U2 F2 R F' B2
U R2 U2 F2 R B2 F'
U R2 U2 F2 B2 R F'
U R2 U2 B2 F2 R F'
R2 U2 B2 F2 D R F'
U' R2 D2 L' F2 B' U2
U' R2 D2 L' B' F2 U2
U R2 D2 L' F2 U2 F'
U' R2 F2 R B2 L F
U' R2 B L' B' U2 B2
U R2 F2 R F' B2 L
U R2 F2 R B2 L F'
U R2 F2 R B2 F' L
U R2 F2 U2 R F' B2
U R2 F2 U2 R B2 F'
U R2 F2 U2 B2 R F'
U' R2 B2 L' B' U2 B
D2 U L' F2 R B U2
D2 U L2 D2 B2 R' F'
F' U R' F' B2 L R
F' U R' F' B2 R L
F' U R' B2 L F' R
F' U R' B2 F' L R
F' U R' B2 F' R L
F2 U R' F' B2 L R2
F2 U R' F' B2 R2 L
F2 U R' B2 L F' R2
F2 U R' B2 F' L R2
F2 U R' B2 F' R2 L
D2 U' L' F2 R B' U2
D2 U' L' F2 B' R U2
D2 U' L' B' F2 R U2
F2 U' R' B2 L R2 F
F2 U' R' B2 L F R2
F2 U' R' B2 R2 L F
F2 U' R2 U2 R' F' B2
F2 U' R2 U2 R' B2 F'
B2 U' D' F2 U R F'
U' D2 L' F2 R B' U2
U' D2 L' F2 B' R U2
U' D2 L' B' F2 R U2
U D2 L' F2 R B U2
U D2 L2 D2 B2 R' F'
B2 U2 R2 D L' U2 F
U' F R' B2 L F R
U F' R' F' B2 L R
U F' R' F' B2 R L
U F' R' B2 L F' R
U F' R' B2 F' L R
U F' R' B2 F' R L
B' D' R' F2 U R B'
B' D' R' F2 U B' R
B2 D' U' F2 U R F'
B' D' F2 R' U R2 B'
B' D' F2 R' U B' R2
R F2 L' B2 D' R F'
U' F2 R' B2 L R2 F
U' F2 R' B2 L F R2
U' F2 R' B2 R2 L F
U' F2 R2 U2 R' F' B2
U' F2 R2 U2 R' B2 F'
R F2 R B2 D L' F
U F2 R' F' B2 L R2
U F2 R' F' B2 R2 L
U F2 R' B2 L F' R2
U F2 R' B2 F' L R2
U F2 R' B2 F' R2 L
R' F2 U' B2 L R F
R' F2 U' B2 R L F
D' F2 U2 R2 U' R' F'
R' F2 B2 L D' R F'
R' F2 B2 D' L R F'
R' F2 B2 D' R L F'
R' F2 B2 D' R F' L
U' B L' R2 F' B' U2
U' B L' R2 B' F' U2
U' B L' B' R2 U2 B2
R F2 B2 L' D' R F'
R F2 B2 R D L' F
R F2 B2 D L' R F
R F2 B2 D R L' F
R F2 B2 D' L' R F'
R F2 B2 D' R L' F'
R2 B L' U' L2 U' B
R2 B L' U2 D F2 B
R2 B L' U2 D B F2
R2 B L' U2 B D F2
R2 B L' D U2 F2 B
R2 B L' D U2 B F2
R2 B L' D' B2 U2 B'
U' B R2 L' F' B' U2
U' B R2 L' B' F' U2
L' B R2 F' U' L U'
L' B' R2 U R U B'
F2 B' R D' F2 B' L'
F2 B' R D' B' F2 L'
F2 B' R B' D' F2 L'
U' B2 L D2 R2 F L2
U' B2 L D2 F L2 R2
U' B2 L D2 F R2 L2
U' B2 L F D2 L2 R2
U' B2 L F D2 R2 L2
U' B2 L' R2 B' U2 B
U' B2 L' B' R2 F' U2
U' B2 R2 L' B' U2 B
B' F2 R D' F2 B' L'
B' F2 R D' B' F2 L'
B' F2 R B' D' F2 L'
B2 F2 R D F2 L' F
F2 B2 R D F2 L' F
B2 F2 R F2 D L' F
F2 B2 R F2 D L' F
U B2 U2 L' R2 B' U2
U B2 U2 L' B' R2 U2
R' B2 D' F2 L R F'
R' B2 D' F2 R L F'
R' B2 D' F2 R F' L
U B2 U2 R2 L' B' U2
R B2 D F2 L' R F
R B2 D F2 R L' F
B2 F2 D' R D' L2 F'
B2 F2 D' R D' F' L2
F2 B2 D' R D' L2 F'
F2 B2 D' R D' F' L2
R' B2 F2 L D' R F'
R B2 D' F2 L' R F'
R B2 D' F2 R L' F'
B2 F2 D2 L2 D R F'
R' B2 F2 D' L R F'
R' B2 F2 D' R L F'
R' B2 F2 D' R F' L
F2 B2 D2 L2 D R F'
R B2 F2 L' D' R F'
R B2 F2 R D L' F
R B2 F2 D L' R F
R B2 F2 D R L' F
R B2 F2 D' L' R F'
R B2 F2 D' R L' F'
