R' L U L2 F' B'
R' L U L2 B' F'
L2 R' U L F' B'
L2 R' U L B' F'
L R' U L2 F' B'
L R' U L2 B' F'
L2 R' U F' L B'
R' L2 U L F' B'
R' L2 U L B' F'
R' L2 U F' L B'
L R' U L2 F' B' D
L R' U L2 F' B' D'
L R' U L2 F' B' D2
L R' U L2 B' D F'
L R' U L2 B' D' F'
L R' U L2 B' D2 F'
L R' U L2 B' F' D
L R' U L2 B' F' D'
L R' U L2 B' F' D2
L2 R' U F L F2 B'
L2 R' U F L B' F2
L R' U F' L2 D2 B2
L2 R' U F' L D B'
L2 R' U F' L D' B'
L2 R' U F' L D2 B'
L2 R' U F' L B' D
L2 R' U F' L B' D'
L2 R' U F' L B' D2
L R' U B L2 F' B'
L R' U B L2 B' F'
L R' U B' L2 F' B'
L R' U B' L2 B' F'
L R' U B2 L2 F' B'
L R' U B2 L2 B' F'
L R' U' F U2 L2 F2
L R' U' F U2 F2 L2
B2 L' R D' R2 F' B'
B2 L' R D' R2 B' F'
B2 L' R' D' F' R2 B'
B2 L' R' D' F' B' R2
B2 L' R' D' B' F' R2
B L' R' D F' R B'
B L' R' D F' B' R
B L' R' D B' F' R
B2 L' R' F' D' R2 B'
B2 L' R' F' D' B' R2
B L' R' B' D F' R
L2 R' F U L F2 B'
L2 R' F U L B' F2
L2 R' F U F2 L B'
R' L' F' B' U' B U
L' R' F' B' U' B U
R' L' F' B2 D' B R2
L' R' F' B2 D' B R2
L2 R' F2 U F L B'
B L' D R' F' R B'
B L' D R' F' B' R
B L' D R' B' F' R
B L' D B' R' F' R
B2 L' D' R' F' R' B'
B2 L' D' B' R' F' R'
B L' D' B R' F' B2
B L' D' B R' B2 F'
R' L' B' U' B U F'
L' R' B' U' B U F'
R2 L' B' R D' F' R
R' L' B' F' U' B U
L' R' B' F' U' B U
R' L' B2 D' F' B R2
R' L' B2 D' B F' R2
L' R' B2 D' F' B R2
L' R' B2 D' B F' R2
R' L' B2 F' D' B R2
L' R' B2 F' D' B R2
R' L2 U L D F' B'
R' L2 U L D B' F'
R' L2 U L D' F' B'
R' L2 U L D' B' F'
R' L2 U L D2 F' B'
R' L2 U L D2 B' F'
R' L2 U L F' D B'
R' L2 U L F' D' B'
R' L2 U L F' D' B'
R' L2 U L F' D2 B'
R' L2 U L F' B' D
R' L2 U L F' B' D'
R' L2 U L F' B' D2
R' L2 U L B' D F'
R' L2 U L B' D' F'
R' L2 U L B' D2 F'
R' L2 U L B' F' D
R' L2 U L B' F' D'
R' L2 U L B' F' D2
R L2 U L B' D2 F2
R' L2 U F L F2 B'
R' L2 U F L B' F2
R' L2 U F' L D B'
R' L2 U F' L D' B'
R' L2 U F' L D2 B'
R' L2 U F' L B' D
R' L2 U F' L B' D'
R' L2 U F' L B' D2
B' L' B' R D' R2 F'
B' L' B' R' D' F' R2
B' L' B' R' F' D' R2
B L' B' R' D F' R
B' L' B' D' R' F' R'
B2 L' B' U' B' R' U
B L' B' D R' F' R
B L' B2 D' B R' F'
D2 L2 R' U L F' B'
D2 L2 R' U L B' F'
D' L2 R' U L F' B'
D' L2 R' U L B' F'
D2 L2 R' U F' L B'
D' L2 R' U F' L B'
D L2 R' U L F' B'
D L2 R' U L B' F'
D L2 R' U F' L B'
R' L2 F U L F2 B'
R' L2 F U L B' F2
R' L2 F U F2 L B'
R' L2 F2 U F L B'
L' R2 B' R D' F' R
L' U R U' R' F' B'
L' U R U' R' B' F'
U2 R L U' F L2 B
U2 R L U' F B L2
U2 R L U' B F L2
B2 R L' D' R2 F' B'
B2 R L' D' R2 B' F'
L2 U F' L D F2 B'
L2 U F' L D B' F2
L2 U F' L B' D F2
R' U B L' D' F' B2
R' U B L' D' B2 F'
R' U B L' F' D' B2
U R U' L' R' F' B'
U R U' L' R' B' F'
U R U' R' L' F' B'
U R U' R' L' B' F'
B2 R D' L' R2 F' B'
B2 R D' L' R2 B' F'
B2 R D' R2 L' F' B'
B2 R D' R2 L' B' F'
D2 R' L U L2 F' B'
D2 R' L U L2 B' F'
D' R' L U L2 F' B'
D' R' L U L2 B' F'
D R' L U L2 F' B'
D R' L U L2 B' F'
B2 R' L' D' F' R2 B'
B2 R' L' D' F' B' R2
B2 R' L' D' B' F' R2
D2 R' L2 U L F' B'
D2 R' L2 U L B' F'
B2 R' L' F' D' R2 B'
B2 R' L' F' D' B' R2
D' R' L2 U L F' B'
D' R' L2 U L B' F'
D2 R' L2 U F' L B'
D' R' L2 U F' L B'
B R' L' D F' R B'
B R' L' D F' B' R
B R' L' D B' F' R
B R' L' B' D F' R
D R' L2 U L F' B'
D R' L2 U L B' F'
D R' L2 U F' L B'
B2 R' D' L' F' R2 B'
B2 R' D' L' F' B' R2
B2 R' D' L' B' F' R2
L U2 L U' F L B'
L2 U2 L' U' L2 F B'
L2 U2 L' U' L2 B' F
R2 U2 R U' L' F' B
R2 U2 R U' L' B F'
R2 U2 R U' B L' F'
R' D L U L2 F' B'
R' D L U L2 B' F'
R' D L2 U L F' B'
R' D L2 U L B' F'
R' D L2 U F' L B'
R' D' L U L2 F' B'
R' D' L U L2 B' F'
R' D' L2 U L F' B'
R' D' L2 U L B' F'
R' D' L2 U F' L B'
R' D2 L U L2 F' B'
R' D2 L U L2 B' F'
R2 D2 L U L2 F B'
R2 D2 L U L2 B' F
R' D2 L2 U L F' B'
R' D2 L2 U L B' F'
R' D2 L2 U F' L B'
L2 D2 R' U L F' B
L2 D2 R' U L B F'
L2 D2 R' U F' L B
B U' B' R' U L' B'
L2 F R' U L F' B'
L2 F R' U L B' F'
L2 F R' U F' L B'
B2 D L2 U2 L F B'
B2 D L2 U2 L B' F
L2 F' R' U L F' B'
L2 F' R' U L B' F'
L2 F' R' U F' L B'
B2 D' L' R' F' R' B'
B2 D' L' B' R' F' R'
B2 D' R' L' F' R' B'
B2 D' R2 D2 L' F B'
B2 D' R2 D2 L' B' F
L2 F2 R' U L F' B'
L2 F2 R' U L B' F'
L2 F2 R' U F' L B'
R' B L' D F' R B'
R' B L' D F' B' R
R' B L' D B' F' R
R' B L' B' D F' R
L' B U' B' R' U B'
R' B' L' F' B' D' R2
R' B' L' B' D' F' R2
R' B' L' B' F' D' R2
L' B' R D' R2 F' R
L' B' U' B U2 L U'
L' B' U' B' R' B2 U
R' B2 L' D' F' R2 B'
R' B2 L' D' F' B' R2
R' B2 L' D' B' F' R2
R' B2 L' F' D' R2 B'
R' B2 L' F' D' B' R2
R' B2 D' L' F' R2 B'
R' B2 D' L' F' B' R2
R' B2 D' L' B' F' R2
L' B2 D' B R' F' R'
