F2 U R F' L'
U' L' R U2 F' L'
U' L' R' B U2 L
U' L' B' R' B U2
U' R L' U2 F' L'
U R F2 R F L'
U' R' L' B U2 L
F2 R' F' U R2 F'
U' R' B L' U2 L2
F2 U L R F' L'
F2 U L' R F' L'
F2 U L2 R F' L'
F2 U R L F' L'
F' U R F' L' R
F' U R F' R L'
F2 U R L' F' L'
F2 U R L2 F' L'
F2 U R D F' L'
F2 U R D' F' L'
F2 U R D2 F' L'
F2 U R F' L' D
F2 U R F' L' D'
F2 U R F' L' D2
F2 U R F' D L'
F2 U R F' D' L'
F2 U R F' D2 L'
F' U F' L' R F'
F' U F' R L' F'
U F' L' R F' R
R' F' R2 U F' R
U F' L' F' R F'
R' F' U R2 F' R
U F' R L' F' R
U F2 R F L' F2
U2 F2 U' R F' L'
F2 B U R F' L'
U' B' L' R' B U2
U' B' R' L' B U2
U' B' R' B L' U2
F2 B' U R F' L'
B' F2 U R F' L'
B2 F2 U R F' L'
F2 B2 U R F' L'
B F2 U R F' L'
U R2 F' R' L' F' R
U' R2 B' L' R' U2 F'
U' R2 B' R' L' U2 F'
F' U L R F' L' R
F' U L R F' R L'
F2 U L R D F' L'
F2 U L R D' F' L'
F2 U L R D2 F' L'
F2 U L R F' L' D
F2 U L R F' L' D'
F2 U L R F' L' D2
F2 U L R F' D L'
F2 U L R F' D' L'
F2 U L R F' D2 L'
F' U L F' L' R F'
F' U L F' R L' F'
F' U L' R F' L' R
F' U L' R F' R L'
F2 U L' R D F' L'
F2 U L' R D' F' L'
F2 U L' R D2 F' L'
F2 U L' R F' L' D
F2 U L' R F' L' D'
F2 U L' R F' L' D2
F2 U L' R F' D L'
F2 U L' R F' D' L'
F2 U L' R F' D2 L'
F' U L' F' L' R F'
F' U L' F' R L' F'
F' U L2 R F' L' R
F' U L2 R F' R L'
R' D F' R2 U F' R
R' D F' U R2 F' R
F2 U L2 R D F' L'
F2 U L2 R D' F' L'
F2 U L2 R D2 F' L'
F2 U L2 R F' L' D
F2 U L2 R F' L' D'
F2 U L2 R F' L' D2
F2 U L2 R F' D L'
F2 U L2 R F' D' L'
F2 U L2 R F' D2 L'
F' U L2 F' L' R F'
F' U L2 F' R L' F'
F' U R L F' L' R
F' U R L F' R L'
F' U R L' F' L' R
F' U R L' F' R L'
F' U R L2 F' L' R
F' U R L2 F' R L'
F2 U R L D F' L'
F2 U R L D' F' L'
F2 U R L D2 F' L'
F2 U R L F' L' D
F2 U R L F' L' D'
F2 U R L F' L' D2
F2 U R L F' D L'
F2 U R L F' D' L'
F2 U R L F' D2 L'
F2 U R L' D F' L'
F2 U R L' D' F' L'
F2 U R L' D2 F' L'
F2 U R L' F' L' D
F2 U R L' F' L' D'
F2 U R L' F' L' D2
F2 U R L' F' D L'
F2 U R L' F' D' L'
F2 U R L' F' D2 L'
F2 U R L2 D F' L'
F2 U R L2 D' F' L'
F2 U R L2 D2 F' L'
F2 U R L2 F' L' D
F2 U R L2 F' L' D'
F2 U R L2 F' L' D2
F2 U R L2 F' D L'
F2 U R L2 F' D' L'
F2 U R L2 F' D2 L'
F' U R F' L' R D
F' U R F' L' R D'
F' U R F' L' R D2
F' U R F' L' D R
F' U R F' L' D' R
F' U R F' L' D2 R
F' U R F' R L' D
F' U R F' R L' D'
F' U R F' R L' D2
F' U R F' R D L'
F' U R F' R D' L'
F' U R F' R D2 L'
F2 U R D L F' L'
F2 U R D L' F' L'
F2 U R D L2 F' L'
F' U R F' D L' R
F' U R F' D R L'
F' U R F' D' L' R
F' U R F' D' R L'
F' U R F' D2 L' R
F' U R F' D2 R L'
F2 U R D F' L' D
F2 U R D F' L' D'
F2 U R D F' L' D2
F2 U R D F' D L'
F2 U R D F' D' L'
F2 U R D F' D2 L'
B' U R F2 R F L'
F2 U R D' L F' L'
F2 U R D' L' F' L'
F2 U R D' L2 F' L'
F2 U R D' F' L' D
F2 U R D' F' L' D'
F2 U R D' F' L' D2
F2 U R D' F' D L'
F2 U R D' F' D' L'
F2 U R D' F' D2 L'
F2 U R D2 L F' L'
F2 U R D2 L' F' L'
F2 U R D2 L2 F' L'
F2 U R D2 F' L' D
F2 U R D2 F' L' D'
F2 U R D2 F' L' D2
F2 U R D2 F' D L'
F2 U R D2 F' D' L'
F2 U R D2 F' D2 L'
F2 U R F L F2 L'
F2 U R F L' F2 L'
F2 U R F L2 F2 L'
F2 U R F' L2 D L
F2 U R F' L2 D' L
F2 U R F' L2 D2 L
B2 U R F2 R F L'
F2 U R F' D L' D
F2 U R F' D L' D'
F2 U R F' D L' D2
F2 U R F' D' L' D
F2 U R F' D' L' D'
F2 U R F' D' L' D2
F2 U R F' D2 L' D
F2 U R F' D2 L' D'
F2 U R F' D2 L' D2
F2 U R F' B' L' B
F2 U R F' B2 L' B2
F2 U R B' F' L' B
F2 U R B2 F' L' B2
B U R F2 R F L'
F2 U R' F' L' R2 F'
F2 U R' F' R2 L' F'
F2 U R2 D R' F' L'
F2 U R2 D' R' F' L'
F2 U R2 D2 R' F' L'
F2 U R2 F' L' R' F'
F2 U R2 F' R' L' F'
D2 U F' L' F' R F2
D2 U F2 L' R F L'
D2 U F2 R L' F L'
D2 U F2 R F L' F
F2 U D2 R F' L' F
F2 U D2 F' L' F R
F' U F' L R F' L2
B' U F' L' R F' R
B' U F' L' F' R F'
F' U F' L' R D F'
F' U F' L' R D' F'
F' U F' L' R D2 F'
F' U F' L' R F' D
F' U F' L' R F' D'
F' U F' L' R F' D2
F' U F' L2 R F' L
B' U F' R L' F' R
F' U F' R L F' L2
F' U F' R L' D F'
F' U F' R L' D' F'
F' U F' R L' D2 F'
F' U F' R L' F' D
F' U F' R L' F' D'
F' U F' R L' F' D2
F' U F' R L2 F' L
F' U F' R D L' F'
F' U F' R D' L' F'
F' U F' R D2 L' F'
B2 U F' L' R F' R
B2 U F' L' F' R F'
B2 U F' R L' F' R
F2 U F' L' F R F'
F' U F' D2 L' R F
F' U F' D2 R L' F
B U F' L' R F' R
B U F' L' F' R F'
F2 U F' D2 L' F R
B U F' R L' F' R
B' U F2 R F L' F2
B2 U F2 R F L' F2
B U F2 R F L' F2
F2 U B R F' B' L'
F2 U B R B' F' L'
D2 U' L B' L2 R' U2
D2 U' L B' R' L2 U2
D2 U' L' U2 F' L' F2
D2 U' L' B U2 F L
D2 U' L' B' R' U2 F
F2 U B2 R F' L' B2
F2 U B2 R F' B2 L'
F2 U B2 R B2 F' L'
F2 U' L U2 R F' L'
B' U' L' R U2 F' L'
B' U' L' R' B U2 L
B2 U' L' R U2 F' L'
B2 U' L' R' B U2 L
F2 U' L' U2 R F' L'
B' U' L' B' R' B U2
B U' L' R U2 F' L'
R' D' F' R2 U F' R
B2 U' L' B' R' B U2
B U' L' R' B U2 L
R' D' F' U R2 F' R
F2 U' L2 U2 R F' L'
B U' L' B' R' B U2
B' U' R L' U2 F' L'
B2 U' R L' U2 F' L'
F' U' R U2 F' L' R
F' U' R U2 F' R L'
B' U' R' L' B U2 L
B U' R L' U2 F' L'
B2 U' R' L' B U2 L
F2 U' R' U2 R2 F' L'
B' U' R' B L' U2 L2
B2 U' R' B L' U2 L2
B U' R' L' B U2 L
F2 U' R' B U2 L R2
F2 U' R' B U2 R2 L
B U' R' B L' U2 L2
D2 U' B L' U2 F L2
D2 U' B' L' R' U2 F
D2 U' B' R' L' U2 F
U' D2 L B' L2 R' U2
U' D2 L B' R' L2 U2
U' D2 L' U2 F' L' F2
U' D2 L' B U2 F L
U' D2 L' B' R' U2 F
F2 U' B U2 L R F'
F2 U' B U2 R L F'
F2 U' B U2 R F' L
B' U' B' L' R' B U2
B' U' B' R' L' B U2
B2 U' B' L' R' B U2
B' U' B' R' B L' U2
B2 U' B' R' L' B U2
B2 U' B' R' B L' U2
F2 U' B' R' U2 R2 F'
F2 U' B' R' B U2 R2
B U' B' L' R' B U2
B U' B' R' L' B U2
B U' B' R' B L' U2
R' D2 F' R2 U F' R
R' D2 F' U R2 F' R
F2 U2 L' B' U' R F'
U D2 F' L' F' R F2
U' D2 B L' U2 F L2
U D2 F2 L' R F L'
U D2 F2 R L' F L'
U D2 F2 R F L' F
U' D2 B' L' R' U2 F
U' D2 B' R' L' U2 F
F' U2 F' U' R F' L'
B' U2 F2 U' R F' L'
B2 U2 F2 U' R F' L'
B U2 F2 U' R F' L'
F2 U2 B U' R F' L'
F2 U2 B' U' R F' L'
F2 U2 B2 U' R F' L'
D' F U2 L' B' U' R'
F' D R' F' B R' U
F' D R' B F' R' U
U F' L R F' L2 R
U F' L R F' R L2
U F' L F' L2 R F'
U F' L F' R L2 F'
U F' L F' R F' L2
U F' L' R F' R D
U F' L' R F' R D'
U F' L' R F' R D2
U F' L' R F' D R
U F' L' R F' D' R
U F' L' R F' D2 R
R' F' R U R F' R
R' F' R U F' R F'
U F' L' F' R D F'
U F' L' F' R D' F'
U F' L' F' R D2 F'
U F' L' F' R F' D
U F' L' F' R F' D'
U F' L' F' R F' D2
U F' L2 R F' L R
U F' L2 R F' R L
U F' L2 F' L R F'
U F' L2 F' R L F'
U F' L2 F' R F' L
D' F' R' F' R2 U R'
U F' R L F' L2 R
U F' R L F' R L2
U F' R L' F' R D
U F' R L' F' R D'
U F' R L' F' R D2
U F' R L' F' D R
U F' R L' F' D' R
U F' R L' F' D2 R
U F' R L2 F' L R
U F' R L2 F' R L
F' D B R' F' B U
F' D B R' B F' U
R' F' R2 U F' R D
R' F' R2 U F' R D'
R' F' R2 U F' R D2
R' F' R2 U F' D R
R' F' R2 U F' D' R
R' F' R2 U F' D2 R
F2 D B R' F' U R2
R' F' R2 B U F' R
R' F' R2 B' U F' R
R' F' R2 B2 U F' R
R' F' U R F' R F'
R' F' U R2 F' R D
R' F' U R2 F' R D'
R' F' U R2 F' R D2
R' F' U R2 F' D R
R' F' U R2 F' D' R
R' F' U R2 F' D2 R
R' F' U F' R2 F' R'
D2 F' U F' L' R F
D2 F' U F' R L' F
R' F' U' D2 B U2 R'
R F' R2 F' U R F
U2 F' U' R F' L' R
U2 F' U' R F' R L'
U2 F' U' F' L' R F'
U2 F' U' F' R L' F'
R' F' D2 U' B U2 R'
F2 D' R' F' R U R
D F' B R' F' U R
U F2 L R F L' F2
U2 F2 L' B' U' R F'
U F2 L' R F L' F2
U F2 L2 R F L' F2
U F2 R L F L' F2
U F2 R L' F L' F2
U F2 R L2 F L' F2
R' F2 R2 F U R' F2
R' F2 R2 F U F2 R'
U F2 R F L F2 L2
U F2 R F L' F2 D
U F2 R F L' F2 D'
U F2 R F L' F2 D2
U F2 R F L2 F2 L
U F2 R F' U2 R U2
D2 F2 U R F' L' F
D2 F2 U D2 R F' L'
U F2 R' F L' R2 F'
U F2 R' F R2 L' F'
D2 F2 U F' L' F R
U F2 R' F2 R2 F' L'
U F2 R2 F L' R' F'
U F2 R2 F R' L' F'
U F2 R2 F2 R' F' L'
U2 F2 U' L R F' L'
U2 F2 U' L' R F' L'
U2 F2 U' L2 R F' L'
D F2 U D' R F' L'
U2 F2 U' R L F' L'
U2 F2 U' R L' F' L'
U2 F2 U' R L2 F' L'
U2 F2 U' R D F' L'
U2 F2 U' R D' F' L'
U2 F2 U' R D2 F' L'
U2 F2 U' R F' L' D
U2 F2 U' R F' L' D'
U2 F2 U' R F' L' D2
U2 F2 U' R F' D L'
U2 F2 U' R F' D' L'
U2 F2 U' R F' D2 L'
R F2 R2 F' U R' F2
R F2 R2 F' U F2 R'
R F2 U R D' F L'
R F2 U2 B U' R F
D2 F2 D2 U R F' L'
D F2 D' U R F' L'
U2 F2 B U' R F' L'
D F2 B R' F' U R2
U2 F2 B' U' R F' L'
F2 D2 U R F' L' F
F2 D2 U F' L' F R
U2 F2 B2 U' R F' L'
U' B L' R U2 L2 F'
U' B L' R U2 F' L2
U' B L' R' B U2 L2
R' B L' U L F' U
R' B L' U F' L U
U' B R L' U2 L2 F'
U' B R L' U2 F' L2
U' B R' L' B U2 L2
U' B U2 F2 L R F'
U' B U2 F2 R L F'
U' B U2 F2 R F' L
R B U' L' U2 L F'
R B U' L' U2 F' L
U' B D2 L' U2 F L2
F2 B R' F' U R2 F'
F' B U R F' L' R
F' B U R F' R L'
F2 B U L R F' L'
F2 B U L' R F' L'
F2 B U L2 R F' L'
U' B' L R' B L2 U2
F2 B U R L F' L'
F2 B U R L' F' L'
F2 B U R L2 F' L'
F2 B U R D F' L'
F2 B U R D' F' L'
F2 B U R D2 F' L'
F2 B U R F' L' D
F2 B U R F' L' D'
F2 B U R F' L' D2
F2 B U R F' D L'
F2 B U R F' D' L'
F2 B U R F' D2 L'
F' B U F' L' R F'
F' B U F' R L' F'
D B F' R' F' U R
U2 B F2 U' R F' L'
U' B' L' R' D B U2
U' B' L' R' D' B U2
U' B' L' R' D2 B U2
U' B' L' R' B U2 D
U' B' L' R' B U2 D'
U' B' L' R' B U2 D2
U' B' L' R' B D U2
U' B' L' R' B D' U2
U' B' L' R' B D2 U2
D B F2 R' F' U R2
U' B' R' L B L2 U2
U' B' R' L' D B U2
U' B' R' L' D' B U2
U' B' R' L' D2 B U2
U' B' R' L' B U2 D
U' B' R' L' B U2 D'
U' B' R' L' B U2 D2
U' B' R' L' B D U2
U' B' R' L' B D' U2
U' B' R' L' B D2 U2
U' B' R' D L' B U2
U' B' R' D B L' U2
U' B' R' D' L' B U2
U' B' R' D' B L' U2
U' B' R' D2 L' B U2
U' B' R' D2 B L' U2
U' B' R' B L' U2 D
U' B' R' B L' U2 D'
U' B' R' B L' U2 D2
U' B' R' B L' D U2
U' B' R' B L' D' U2
U' B' R' B L' D2 U2
U' B' R' B D L' U2
U' B' R' B D' L' U2
U' B' R' B D2 L' U2
U' B' R' B' L' B2 U2
F2 B' R' F' U R2 F'
U' B' D2 L' R' U2 F
U' B' D2 R' L' U2 F
B' F' U R F' L' R
B' F' U R F' R L'
B' F' U F' L' R F'
B' F' U F' R L' F'
F' B' U R F' L' R
F' B' U R F' R L'
R' B' D2 F' U F' R
F2 B' U L R F' L'
F2 B' U L' R F' L'
B2 F' U R F' L' R
B2 F' U R F' R L'
F2 B' U L2 R F' L'
F2 B' U R L F' L'
F2 B' U R L' F' L'
F2 B' U R L2 F' L'
F2 B' U R D F' L'
F2 B' U R D' F' L'
F2 B' U R D2 F' L'
F2 B' U R F' L' D
F2 B' U R F' L' D'
F2 B' U R F' L' D2
F2 B' U R F' D L'
F2 B' U R F' D' L'
F2 B' U R F' D2 L'
F' B' U F' L' R F'
F' B' U F' R L' F'
B2 F' U F' L' R F'
B2 F' U F' R L' F'
B F' U R F' L' R
B F' U R F' R L'
B F' U F' L' R F'
B F' U F' R L' F'
R B' D2 F2 U R F
U2 B' F2 U' R F' L'
U' B2 L' R' B R' U2
U' B2 L' B R' B U2
U' B2 R' L' B R' U2
U' B2 R' B L' R' U2
U' B2 R' B R' L' U2
B' F2 R' F' U R2 F'
B2 F2 R' F' U R2 F'
F2 B2 R' F' U R2 F'
B' F2 U L R F' L'
B' F2 U L' R F' L'
B' F2 U L2 R F' L'
B' F2 U R L F' L'
B' F2 U R L' F' L'
B' F2 U R L2 F' L'
B' F2 U R D F' L'
B' F2 U R D' F' L'
B' F2 U R D2 F' L'
B' F2 U R F' L' D
B' F2 U R F' L' D'
B' F2 U R F' L' D2
B' F2 U R F' D L'
B' F2 U R F' D' L'
B' F2 U R F' D2 L'
B F2 R' F' U R2 F'
D B2 U' L' B' R' U2
B2 F2 U L R F' L'
F' B2 U R F' L' R
F' B2 U R F' R L'
B2 F2 U L' R F' L'
B2 F2 U L2 R F' L'
F2 B2 U L R F' L'
B2 F2 U R L F' L'
B2 F2 U R L' F' L'
B2 F2 U R L2 F' L'
F2 B2 U L' R F' L'
B2 F2 U R D F' L'
B2 F2 U R D' F' L'
B2 F2 U R D2 F' L'
B2 F2 U R F' L' D
B2 F2 U R F' L' D'
B2 F2 U R F' L' D2
B2 F2 U R F' D L'
B2 F2 U R F' D' L'
B2 F2 U R F' D2 L'
F2 B2 U L2 R F' L'
F2 B2 U R L F' L'
F2 B2 U R L' F' L'
F2 B2 U R L2 F' L'
F2 B2 U R D F' L'
F2 B2 U R D' F' L'
F2 B2 U R D2 F' L'
F2 B2 U R F' L' D
F2 B2 U R F' L' D'
F2 B2 U R F' L' D2
F2 B2 U R F' D L'
F2 B2 U R F' D' L'
F2 B2 U R F' D2 L'
F' B2 U F' L' R F'
F' B2 U F' R L' F'
B F2 U L R F' L'
B F2 U L' R F' L'
B F2 U L2 R F' L'
B F2 U R L F' L'
B F2 U R L' F' L'
B F2 U R L2 F' L'
B F2 U R D F' L'
B F2 U R D' F' L'
B F2 U R D2 F' L'
B F2 U R F' L' D
B F2 U R F' L' D'
B F2 U R F' L' D2
B F2 U R F' D L'
B F2 U R F' D' L'
B F2 U R F' D2 L'
U' B2 D2 L' U2 F L'
U2 B2 F2 U' R F' L'
