F L' U F2 L' U
U L' F' U R B'
U L' F' U B' R
F' U L' U L R
F' U L' U R L
F2 U F L' B' U
F U F2 L' U R
U F' L' U R B'
U F' L' U B' R
U2 F' U R F B
U2 F' U R B F
F U B' F2 L' U R
D2 U' R U' B L R'
D2 U' R U' B R' L
F U B2 F2 L' U R
D U' R F' U' B L
D2 U' R2 B U' R' B
F U' R U2 F2 U R
U' D2 R U' B L R'
U' D2 R U' B R' L
U' D2 R2 B U' R' B
F' U2 R U' L' U L
L' F L' U F2 L' U
L2 F L' U F2 L' U
F' U2 F U' F' R B
R2 F L' U' B R U'
L F L' U F2 L' U
F' U2 F2 R U' F2 R
F U2 F2 L' U R F2
L' F U F2 L' U R
L2 F U F2 L' U R
L F U F2 L' U R
F D L' R2 U' R' U'
F' D U L' U L R
F' D U L' U R L
F D R2 L' U' R' U'
D' F' L' U2 F U' F'
U F' L' U R D B'
U F' L' U R D' B'
U F' L' U R D2 B'
U F' L' U R B' D
U F' L' U R B' D'
U F' L' U R B' D2
U F' L' U R' B' R2
U F' L' U D R B'
U F' L' U D B' R
U F' L' U D' R B'
U F' L' U D' B' R
U F' L' U D2 R B'
U F' L' U D2 B' R
U F' L' U B R B2
U F' L' U B' R D
U F' L' U B' R D'
U F' L' U B' R D2
U F' L' U B' D R
U F' L' U B' D' R
U F' L' U B' D2 R
U F' L' D U R B'
U F' L' D U B' R
U F' L' D' U R B'
U F' L' D' U B' R
U F' L' D2 U R B'
U F' L' D2 U B' R
U F' L' B U R B2
U F' L' B U B2 R
U F' L' B2 U B R
L' F' U L' U L R
L' F' U L' U R L
L2 F' U L' U L R
L2 F' U L' U R L
U2 F' U R D F B
U2 F' U R D B F
U2 F' U R D' F B
U2 F' U R D' B F
U2 F' U R D2 F B
U2 F' U R D2 B F
U2 F' U R F D B
U2 F' U R F D' B
U2 F' U R F D2 B
U2 F' U R F B D
U2 F' U R F B D'
U2 F' U R F B D2
U2 F' U R B D F
U2 F' U R B D' F
U2 F' U R B D2 F
U2 F' U R B F D
U2 F' U R B F D'
U2 F' U R B F D2
U2 F' U R2 F R' B
U2 F' U D R F B
U2 F' U D R B F
U2 F' U D' R F B
U2 F' U D' R B F
U2 F' U D2 R F B
U2 F' U D2 R B F
U2 F' U B R F B
U2 F' U B R B F
U2 F' U B' R F B
U2 F' U B' R B F
U2 F' U B2 R F B
U2 F' U B2 R B F
L F' U L' U L R
L F' U L' U R L
U F' U B' R D B2
U F' U2 R' U' R2 B
U2 F' D U R F B
U2 F' D U R B F
U F' U2 R2 U' R' B
F D' L' U' R U' L'
U F' D L' U R B'
U F' D L' U B' R
U2 F' D' U R F B
U2 F' D' U R B F
U F' D' L' U R B'
U F' D' L' U B' R
U2 F' D2 U R F B
U2 F' D2 U R B F
U F' D2 L' U R B'
U F' D2 L' U B' R
F' D' U L' U L R
F' D' U L' U R L
U F' B L' U R B'
U F' B L' U B' R
U F' B' L' U R B'
U F' B' L' U B' R
U F' B2 L' U R B'
U F' B2 L' U B' R
L' F2 U F L' B' U
L2 F2 U F L' B' U
L F2 U F L' B' U
F D2 L' U' R B2 U'
F D2 L' U' B2 R U'
F' D2 U L' U L R
F' D2 U L' U R L
U2 B L F' U R F
U B L' F' U R B'
U B L' F' U B' R
U2 B U' L F' U R
U2 B U' F' L U R
F' B L' U D2 R F'
F' B L' D2 U R F'
U B F' L' U R B'
U B F' L' U B' R
U B' L' F' U R B'
U B' L' F' U B' R
B' F' L' R2 U F' R'
B' F' L' U R2 F' R'
B' F' L' U' B U2 R
F' B' L' R2 U F' R'
F' B' L' U R2 F' R'
F' B' L' U' B U2 R
B2 F' L' U R D2 F2
B2 F' L' U D2 R F2
B2 F' L' U' B2 U2 R
B2 F' L' D' R2 U R'
B2 F' L' D2 U R F2
B F' L' U D2 R F'
B F' L' D2 U R F'
B' F' R2 L' U F' R'
F' B' R2 L' U F' R'
U B' F' L' U R B'
U B' F' L' U B' R
B2 F' D' L' R2 U R'
B2 F' D' R2 L' U R'
B2 F' D2 L' U R F2
F' B2 L' U R D2 F2
U B2 L' F' U R B'
U B2 L' F' U B' R
F' B2 L' U D2 R F2
F' B2 L' U' B2 U2 R
F' B2 L' D' R2 U R'
F' B2 L' D2 U R F2
F' B2 D' L' R2 U R'
F' B2 D' R2 L' U R'
F' B2 D2 L' U R F2
U B2 F' L' U R B'
U B2 F' L' U B' R
