F L2 U L R U
F' L2 U' L R U'
F L2 U R L U
F' L2 U' R L U'
L2 F U L' R U
L2 F U R L' U
L2 F' U' L' R U'
L2 F' U' R L' U'
L2 U D' L U B' F
F' R L' U L' R' U2
F' R L' U R' L' U2
F R L' U' L' R' U2
F R L' U' R' L' U2
F R D' L' B2 U L
F R D' B2 L' U L2
L2 U' D R' U' F' B
L2 U' D R' U' B F'
D' R B2 U L F B'
D' R B2 U L B' F
L2 D U' R' U' F' B
L2 D U' R' U' B F'
D' U L B2 U F B
D' U L B2 U B F
F U L' R U' L' U2
F U R L' U' L' U2
F U R D' L' B2 U
F U R D' B2 L' U
U' D R' F2 U' F B
U' D R' F2 U' B F
F U R D2 L' U R2
F U D' L' R B2 U
F U D' L' B2 R U
U' D F2 R' U' F' B
U' D F2 R' U' B F'
F U D' R L' B2 U
F U D' R B2 L' U
L' D' L' F U R U
F U D' B2 L' R U
F U D' B2 R L' U
F U D2 L' R U R
F U D2 R L' U R
D2 U B' L U R2 F
D2 U B' L U F R2
D' U B2 L U F B'
D' U B2 L U B' F
L2 D' U L U F B'
L2 D' U L U B' F
U D' L B2 U F B
U D' L B2 U B F
F' U' L' R U L' U2
F' U' L' R F2 U' R
F' U' R L' U L' U2
F' U' R L' F2 U' R
D U' R' F2 U' F B
D U' R' F2 U' B F
F' U' R D L' F2 U'
F' U' R D2 L' U' R2
F' U' D L' R F2 U'
F' U' D R L' F2 U'
D U' F2 R' U' F' B
D U' F2 R' U' B F'
F' U' D2 L' R U' R
F' U' D2 R L' U' R
F U' D F2 L' R U'
F U' D F2 R L' U'
R D' B2 U L F B'
R D' B2 U L B' F
U D' B2 L U F B'
U D' B2 L U B' F
L2 D2 B U' R' U' F'
L2 D2 B' U L U F
U D2 B' L U R2 F
U D2 B' L U F R2
L F L U L2 R U
L F L U R L2 U
D' F R B2 U L B'
L' F U L' R B' U
L' F U L' B' R U
L' F U R L' B' U
L2 F U L' R U D
L2 F U L' R U D'
L2 F U L' R U D2
L2 F U L' R D U
L2 F U L' R D' U
L2 F U L' R D2 U
L2 F U L' D R U
L2 F U L' D' R U
L2 F U L' D2 R U
L2 F U R L' U D
L2 F U R L' U D'
L2 F U R L' U D2
L2 F U R L' D U
L2 F U R L' D' U
L2 F U R L' D2 U
L2 F U R D L' U
L2 F U R D' L' U
L2 F U R D2 L' U
L2 F U D L' R U
L2 F U D R L' U
L2 F U D' L' R U
L2 F U D' R L' U
L2 F U D2 L' R U
L2 F U D2 R L' U
L2 F D U L' R U
L2 F D U R L' U
L2 F D' U L' R U
L2 F D' U R L' U
L2 F D2 U L' R U
L2 F D2 U R L' U
L2 F B U L' R U
L2 F B U R L' U
L2 F B' U L' R U
L2 F B' U R L' U
F' D U' L' R F2 U'
F' D U' R L' F2 U'
L2 F B2 U L' R U
L2 F B2 U R L' U
F D U' F2 L' R U'
F D U' F2 R L' U'
L F' L U' L2 R U'
L F' L U' R L2 U'
U' F' R U L2 B U2
U' F' R U B L2 U2
U' F' R U' D2 R2 F'
U' F' R D2 U' R2 F'
L2 F' U' L' R U' D
L2 F' U' L' R U' D'
L2 F' U' L' R U' D2
L2 F' U' L' R D U'
L2 F' U' L' R D' U'
L2 F' U' L' R D2 U'
L2 F' U' L' D R U'
L2 F' U' L' D' R U'
L2 F' U' L' D2 R U'
L2 F' U' R L' U' D
L2 F' U' R L' U' D'
L2 F' U' R L' U' D2
L2 F' U' R L' D U'
L2 F' U' R L' D' U'
L2 F' U' R L' D2 U'
L2 F' U' R D L' U'
L2 F' U' R D' L' U'
L2 F' U' R D2 L' U'
L2 F' U' D L' R U'
L2 F' U' D R L' U'
L2 F' U' D' L' R U'
L2 F' U' D' R L' U'
L2 F' U' D2 L' R U'
L2 F' U' D2 R L' U'
L2 F' D U' L' R U'
L2 F' D U' R L' U'
F D' L' R B2 U L
L2 F' D' U' L' R U'
L2 F' D' U' R L' U'
L2 F' D2 U' L' R U'
L2 F' D2 U' R L' U'
F D' R L' B2 U L
L2 F' B U' L' R U'
F D' R B2 L' U L2
L2 F' B U' R L' U'
L2 F' B' U' L' R U'
L2 F' B' U' R L' U'
L2 F' B2 U' L' R U'
L2 F' B2 U' R L' U'
F D' U L' R B2 U
F D' U L' B2 R U
F D' U R L' B2 U
F D' U R B2 L' U
F D' U B2 L' R U
F D' U B2 R L' U
F' D2 U' L' R U' R
F' D2 U' R L' U' R
F D2 U L' R U R
F D2 U R L' U R
D2 B U' R' U' F' R'
B' F L2 U L R U
B' F L2 U R L U
F' B L2 U' L R U'
F' B L2 U' R L U'
B2 F L2 U L R U
B2 F L2 U R L U
B F L2 U L R U
B F L2 U R L U
F B L2 U L R U
F B L2 U R L U
L2 B F U L' R U
L2 B F U R L' U
L2 B F' U' L' R U'
L2 B F' U' R L' U'
D2 B' U L U R2 F
D2 B' U L U F R2
B' F' L2 U' L R U'
B' F' L2 U' R L U'
F' B' L2 U' L R U'
F' B' L2 U' R L U'
B2 F' L2 U' L R U'
B2 F' L2 U' R L U'
B F' L2 U' L R U'
B F' L2 U' R L U'
F B' L2 U L R U
F B' L2 U R L U
L2 B' F U L' R U
L2 B' F U R L' U
L2 B' F' U' L' R U'
L2 B' F' U' R L' U'
F' B2 L2 U' L R U'
F' B2 L2 U' R L U'
F B2 L2 U L R U
F B2 L2 U R L U
L2 B2 F U L' R U
L2 B2 F U R L' U
L2 B2 F' U' L' R U'
L2 B2 F' U' R L' U'
