B R2 D' F2 R
F2 L U L' B R
F2 L U B L' R
F2 L U B R L'
F2 L' U L B R
U2 L' U' L U' B
F2 L2 U L2 B R
F2 L2 U B L2 R
F2 L2 U B R L2
B' L2 U B2 L2 R'
B' L2 U B2 R' L2
L U D2 L' B R2
L U D2 B L' R2
L U D2 B R2 L'
F2 R U' R' U B
L U B D2 L' R2
L U B D2 R2 L'
L2 U B2 R' B' L2
L2 U' L U2 L B
L U' L2 U2 L B
B R F2 R D' F2
B2 R2 D' F2 R B'
B2 R2 D' F2 B' R
B2 R2 D' B' F2 R
B R2 D' R F2 R
B R2 D' R' F2 R
B R2 D' R2 F2 R
B R2 D' F2 R D
B R2 D' F2 R D'
B R2 D' F2 R D2
B R2 D' F2 D R
B R2 D' F2 D' R
B R2 D' F2 D2 R
B R2 F2 D' R F2
B2 R2 B' D' F2 R
B' R2 B2 D' F2 R
R2 D' R F2 R B
B U F2 U' R F2
R2 D' R2 F2 B R
R2 D' R2 B F2 R
L D' B2 U B' L'
L D2 U L' B R2
L D2 U B L' R2
L D2 U B R2 L'
B U2 L' U' L U'
B D R2 D' F2 R
B D' R2 D' F2 R
U F2 U' B R F2
B D2 R2 D' F2 R
D2 B R2 D' F2 R
D' B R2 D' F2 R
D B R2 D' F2 R
F2 B R U' R' U
F2 B R2 D' R' F2
F2 B R2 D' F2 R'
L2 B2 U R' B' L2
B F2 R U' R' U
B F2 R2 D' R' F2
B F2 R2 D' F2 R'
F2 L' U L B R D2
F2 L' U L B D R
F2 L' U L B D' R
F2 L' U L B D2 R
F2 L' U L B' R B2
F2 L' U L B2 R B'
F2 L' U L' B L2 R
F2 L' U L' B R L2
U' L' U L2 U L2 B
U' L' U L2 U B L2
F2 L' U L2 B L' R
F2 L' U L2 B R L'
F2 L' U R D2 L B'
F' L' U D2 L B R'
F2 L' U D L B R
F2 L' U D' L B R
F2 L' U D2 L B R
U2 L' U' L U' D B
U2 L' U' L U' D' B
U2 L' U' L U' D2 B
U2 L' U' L U' B D
U2 L' U' L U' B D'
U2 L' U' L U' B D2
U2 L' U' L D U' B
U2 L' U' L D' U' B
U2 L' U' L D2 U' B
U2 L' U' D L U' B
U2 L' U' D' L U' B
U2 L' U' D2 L U' B
R2 L' F' U R2 U L
R2 L' F' U2 L D' F2
R2 L' F' U2 D' L F2
R2 L' F' U2 D' F2 L
R2 L' F' D B2 R' U2
R2 L' F' D' U2 L F2
R2 L' F' D' U2 F2 L
U' L' U2 B U B' U'
U' L' U2 B2 D B' L2
F2 L' D U L B R
U2 L' D U' L U' B
F2 L' D' U L B R
U2 L' D' U' L U' B
F' L' D2 U L B R'
F2 L' D2 U L B R
U2 L' D2 U' L U' B
U' L' F U F' U B
U2 L' F U' L U' B
F L' F U L B R
L' R2 U R2 U L B
F' L' F' U L B R
U' L' F' U F U B
U2 L' F' U' L U' B
U' L' F2 U F2 U B
U2 L' F2 U' L U' B
U' L' F2 U2 D' L2 B
U' L' F2 U2 D' B L2
U' L' F2 U2 B D' L2
U' L' F2 D R2 F' U2
U' L' F2 D' U2 L2 B
U' L' F2 D' U2 B L2
L' R2 D F' B2 R' U2
L' R2 D B2 F' R' U2
L' R2 D' F' U2 L F'
L' R2 D' F' U2 F' L
U2 L' B2 U R' U B'
L' R2 F' U R2 U L
L' R2 F' U2 L D' F2
L' R2 F' U2 D' L F2
L' R2 F' U2 D' F2 L
L' R2 F' D B2 R' U2
L' R2 F' D' U2 L F2
L' R2 F' D' U2 F2 L
F' L2 U L2 D2 B R'
B' L2 U R B2 L2 R'
B' L2 U R B2 R' L2
F2 L2 U L' B L' R
F2 L2 U L' B R L'
F2 L2 U L2 D B R
F2 L2 U L2 D' B R
F2 L2 U L2 D2 B R
B' L2 U R' B2 L2 R'
B' L2 U R' B2 R' L2
F2 L2 U L2 B R D
F2 L2 U L2 B R D'
F2 L2 U L2 B R D2
F2 L2 U L2 B D R
F2 L2 U L2 B D' R
F2 L2 U L2 B D2 R
F2 L2 U L2 B' R B2
F2 L2 U L2 B2 R B'
B' L2 U R2 B2 L2 R'
B' L2 U R2 B2 R' L2
F L2 U L2 D' B R'
B' L2 U B L2 B R'
D2 L2 U B2 R' B' L2
D' L2 U B2 R' B' L2
B' L2 U B2 L2 R' D
B' L2 U B2 L2 R' D'
B' L2 U B2 L2 R' D2
B' L2 U B2 L2 D R'
B' L2 U B2 L2 D' R'
B' L2 U B2 L2 D2 R'
B' L2 U B2 R' L2 D
B' L2 U B2 R' L2 D'
B' L2 U B2 R' L2 D2
F2 L2 U B L2 R D
F2 L2 U B L2 R D'
F2 L2 U B L2 R D2
F2 L2 U B L2 D R
F2 L2 U B L2 D' R
F2 L2 U B L2 D2 R
F2 L2 U B R L2 D
F2 L2 U B R L2 D'
F2 L2 U B R L2 D2
D2 L2 U' L U2 L B
D' L2 U' L U2 L B
B' L2 U' L U2 L B2
F2 L2 U B' L2 R B2
F2 L2 U B' L2 B2 R
F2 L2 U B' R L2 B2
F2 L2 U B' R B2 L2
B2 L2 U B' L2 B' R'
F2 L2 U B2 R B' L2
B2 L2 U B2 L2 R' B'
B2 L2 U B2 R' L2 B'
B2 L2 U' L U2 L B'
D L2 U B2 R' B' L2
D L2 U' L U2 L B
B2 L2 U' F L U2 L
F2 L2 U' B L2 R F
F2 L2 U' B R L2 F
B' L2 D L2 F2 U R
U2 L2 D L U2 F2 B
U2 L2 D L U2 B F2
U2 L2 D' L B2 U2 B'
U2 L2 D' B2 U2 R' B'
L' U L B U' B' U
L' U L B2 D' R2 B'
L' U L B2 D' B' R2
L U L B2 R' B' L2
L U L' U2 L' U2 B
L2 U L' D2 L' B R2
L2 U L' D2 B L' R2
L2 U L' D2 B R2 L'
B' L2 F U B2 L2 R'
B' L2 F U B2 R' L2
L2 U L' B D2 L' R2
L2 U L' B D2 R2 L'
L U L' F2 B R F2
L U L' B U2 L' U2
L U L' B F2 R F2
F L2 F U L2 B R
F L2 F U B L2 R
F L2 F U B R L2
L2 U L2 U2 L' U2 B
F' L2 F' U L2 B R
F' L2 F' U B L2 R
F' L2 F' U B R L2
B' L2 F' U B2 L2 R'
B' L2 F' U B2 R' L2
L2 U L2 F2 B R F2
L2 U L2 B U2 L' U2
L2 U L2 B F2 R F2
B' L2 F2 U B2 L2 R'
B' L2 F2 U B2 R' L2
L2 U R B2 L2 R' B
L2 U R B2 R' L2 B
L2 U R B2 R' B L2
B' L2 B U L2 B R'
B' L2 B U B L2 R'
B' L2 B U B R' L2
L U R2 D2 L' R2 B
L U R2 D2 R2 L' B
L U R2 D2 R2 B L'
F2 L2 B' U L2 R B2
F2 L2 B' U L2 B2 R
F2 L2 B' U R L2 B2
F2 L2 B' U R B2 L2
F2 L2 B' U B2 L2 R
F2 L2 B' U B2 R L2
L U D L' D B R2
L U D L' B D R2
D2 L2 B2 U R' B' L2
D' L2 B2 U R' B' L2
B2 L2 B2 U L2 R' B'
B2 L2 B2 U R' L2 B'
F2 L2 B2 U R B' L2
F2 L2 B2 U B' L2 R
F2 L2 B2 U B' R L2
L U D B L' D R2
L U D B D L' R2
L U D B D R2 L'
D L2 B2 U R' B' L2
B L2 B2 U L2 R' B2
B L2 B2 U R' L2 B2
B L2 B2 U R' B2 L2
L U D' L' D' B R2
U L2 B2 R' D B' L2
U L2 B2 D R' B' L2
L U D2 L B L2 R2
L U D2 L B R2 L2
L U D2 L' B R2 D
L U D2 L' B R2 D'
L U D2 L' B R2 D2
L U D2 L' B' R2 B2
L U D2 L' B2 R2 B'
L' U F U L F' B
L' U F U L B F'
L' U F U F' L B
L U D2 B L' R2 D
L U D2 B L' R2 D'
L U D2 B L' R2 D2
L U D2 B R2 L' D
L U D2 B R2 L' D'
L U D2 B R2 L' D2
L U D2 B R2 D L'
L U D2 B R2 D' L'
L U D2 B R2 D2 L'
L U D2 B' L' R2 B2
L U D2 B' L' B2 R2
L U D2 B' R2 L' B2
L U D2 B' R2 B2 L'
L U D2 B2 R2 B' L'
L' U F' U F L B
U2 R U L' R' U2 B
U2 R U R' L' U2 B
L' U F2 U L F2 B
L' U F2 U L B F2
L' U F2 U F2 L B
L2 U F2 L2 F2 B R
L2 U F2 L2 B F2 R
F2 R U' L R' U B
F2 R U' L' R' U B
F2 R U' L2 R' U B
F2 R U' R' L U B
F2 R U' R' L' U B
F2 R U' R' L2 U B
F2 R U' R' U D B
F2 R U' R' U D' B
F2 R U' R' U D2 B
F2 R U' R' U B D
F2 R U' R' U B D'
F2 R U' R' U B D2
F2 R U' R' D U B
F2 R U' R' D' U B
F2 R U' R' D2 U B
B R U' R' U' L' U2
L2 U B L2 B R' B'
L' U B U' B' U L
L U B L' U2 L' U2
L U B L' F2 R F2
L U B R D2 L' R2
L U B R D2 R2 L'
L U B R' D2 L' R2
L U B R' D2 R2 L'
B R U2 L' U R' U
L U B R2 D2 L' R2
L U B R2 D2 R2 L'
L U B U2 L2 U2 L
L U B D L' D R2
L U B D' L' D' R2
L U B D2 L' R2 D
L U B D2 L' R2 D'
L U B D2 L' R2 D2
L U B D2 R2 L' D
L U B D2 R2 L' D'
L U B D2 R2 L' D2
L U B D2 R2 D L'
L U B D2 R2 D' L'
L U B D2 R2 D2 L'
L2 U B' L2 B' R' B'
L U B' L B2 L2 R'
L U B' L B2 R' L2
B R D R D' F2 R
L2 U B2 R B' L2 R2
L2 U B2 R B' R2 L2
L2 U B2 R' B L2 B2
L2 U B2 R' B' L2 D
L2 U B2 R' B' L2 D'
L2 U B2 R' B' L2 D2
L2 U B2 R' B2 L2 B
B R D F2 R D' F2
L2 U B2 R2 B' L2 R
L2 U B2 R2 B' R L2
B R D' R D' F2 R
L U B2 D2 R2 B' L'
L2 U' L R2 F' U2 L
L U B2 D2 B' L' R2
L U B2 D2 B' R2 L'
L2 U' L U2 L D B
L2 U' L U2 L D' B
L2 U' L U2 L D2 B
L2 U' L U2 L B D
L2 U' L U2 L B D'
L2 U' L U2 L B D2
L2 U' L U2 L' B L2
L2 U' L U2 L2 B L'
L2 U' L U2 D L B
L2 U' L U2 D' L B
L2 U' L U2 D2 L B
B R D' F2 R D' F2
L2 U' L D U2 L B
L2 U' L D' U2 L B
L2 U' L D2 U2 L B
L2 U' L F U2 L B
L2 U' L F' U2 L B
L2 U' L F2 U2 L B
B R D2 R D' F2 R
B R D2 F2 R D' F2
F2 R F U' R' U B
L U' L2 R2 F' U2 L
L U' L2 U2 L D B
L U' L2 U2 L D' B
L U' L2 U2 L D2 B
L U' L2 U2 L B D
L U' L2 U2 L B D'
L U' L2 U2 L B D2
L U' L2 U2 L' B L2
L U' L2 U2 L2 B L'
L U' L2 U2 D L B
L U' L2 U2 D' L B
L U' L2 U2 D2 L B
L U' L2 D U2 L B
R' U' R U' L' U2 B'
L U' L2 D' U2 L B
L U' L2 D2 U2 L B
F2 R F' U' R' U B
L U' L2 F U2 L B
L U' L2 F' U2 L B
L U' L2 F2 U2 L B
B' R F2 R B2 D' F2
B2 R F2 R D' F2 B'
B2 R F2 R D' B' F2
B2 R F2 R B' D' F2
B R F2 R U' R2 U
B R F2 R D' F2 D
B R F2 R D' F2 D'
B R F2 R D' F2 D2
B R F2 R F D' F2
B R F2 R F' D' F2
B R F2 R F2 D' F2
F2 R F2 U' R' U B
B R F2 U' R' U R2
B2 R F2 B' D' R F'
B R F2 D R D' F2
B R F2 D' R D' F2
B R F2 D2 R D' F2
R U' R' U' L' U2 B
L2 U' R2 L F' U2 L
R2 U' R2 U' L' U2 B
L U' R2 L2 F' U2 L
L2 U' R2 F' L U2 L
B2 R B' D' F2 R F'
B2 R B' F2 D' R F'
L2 U' D2 L R2 F' U2
L2 U' D2 R2 L F' U2
L2 U' D2 R2 F' L U2
L2 U' F L U2 L B
L U' F L2 U2 B L
L2 U' F' L U2 L B
L2 U' F2 L U2 L B
B R' U F2 L' U' R
F2 R' U' R U R B
B R' U' R U' L' U2
F R' U' R B L U
B R' U2 L' U R U
B R' D R' D' F2 R
L2 U' B2 R' B' L2 F
L' U2 L U L' U' B
B R' D' R' D' F2 R
L' U2 L B U L' U'
R' U2 L' U R U B'
B R' D2 R' D' F2 R
R2 U2 L' U R2 U B
R2 U2 L' D F' B2 U2
R2 U2 L' D B2 F' U2
R2 U2 L' D' F' U2 F'
R U2 L' U R' U B
R2 U2 L' F' U R2 U
R2 U2 L' F' U2 D' F2
R2 U2 L' F' D B2 U2
R2 U2 L' F' D' U2 F2
L' U2 L2 D L' F2 B
L' U2 L2 D L' B F2
L' U2 L2 D B L' F2
B R' F D F R F'
L2 U2 L2 D F2 B R
L2 U2 L2 D B F2 R
L' U2 L2 B D L' F2
F R' F D R F' B
F R' F D R B F'
L2 U2 L2 B D F2 R
L' U2 R U' L R' B
L' U2 R U' R' L B
B R' F2 R U L' U'
B R' F2 U L' U' R
L' U2 R2 U' L R2 B
L' U2 R2 U' R2 L B
B2 R' B' R' D' F2 R
R2 U2 D L' F' B2 U2
R2 U2 D L' B2 F' U2
B' R' B2 R' D' F2 R
R2 U2 D B2 L' F' U2
R2 U2 D' L' F' U2 F'
R2 U2 D' F' U2 F' R
L2 U2 D' B2 U' R' B'
U' R2 L' F' U F U
B R2 L' D' L F2 R
U2 R2 U L' R2 U2 B
U2 R2 U L' F' R2 U2
U2 R2 U R2 L' U2 B
F2 R2 U' R2 U B R
B R2 U' R2 U' L' U2
B R2 U2 L' U R2 U
B R2 U2 L' U2 D' F2
B R2 U2 L' D B2 U2
B R2 U2 L' D' U2 F2
B R2 U2 D L' B2 U2
B R2 U2 D B2 L' U2
B R2 U2 D' L' U2 F2
B R2 D R D2 F2 R
B R2 D R' D2 F2 R
B R2 D R2 D2 F2 R
D2 R2 D' R F2 R B
D' R2 D' R F2 R B
B R2 D U2 L' B2 U2
B R2 D U2 B2 L' U2
D2 R2 D' R2 F2 B R
D2 R2 D' R2 B F2 R
D' R2 D' R2 F2 B R
D' R2 D' R2 B F2 R
L2 U2 B2 U' R' B' L2
B R2 D F2 R D2 F2
B R2 D F2 D2 R F2
B2 R2 D' R F2 R B'
B2 R2 D' R F2 B' R
B2 R2 D' R B' F2 R
B2 R2 D' R' F2 R B'
B2 R2 D' R' F2 B' R
B2 R2 D' R' B' F2 R
B2 R2 D' R2 F2 R B'
B2 R2 D' R2 F2 B' R
B2 R2 D' R2 B' F2 R
F2 R2 D' R2 B R F2
B' R2 D' F2 D R B2
B' R2 D' F2 D B2 R
D R2 D' R F2 R B
B R2 D' R F2 R D
B R2 D' R F2 R D'
B R2 D' R F2 R D2
B R2 D' R F2 D R
B R2 D' R F2 D' R
B R2 D' R F2 D2 R
B2 R2 D' F2 R D B'
B2 R2 D' F2 R D' B'
B2 R2 D' F2 R D2 B'
B2 R2 D' F2 R B' D
B2 R2 D' F2 R B' D'
B2 R2 D' F2 R B' D2
B2 R2 D' F2 R' B' R2
B2 R2 D' F2 D R B'
B2 R2 D' F2 D B' R
B2 R2 D' F2 D' R B'
B2 R2 D' F2 D' B' R
B2 R2 D' F2 D2 R B'
B2 R2 D' F2 D2 B' R
B2 R2 D' F2 B R B2
B2 R2 D' F2 B' R D
B2 R2 D' F2 B' R D'
B2 R2 D' F2 B' R D2
B2 R2 D' F2 B' D R
B2 R2 D' F2 B' D' R
B2 R2 D' F2 B' D2 R
B R2 D' R' F2 R D
B R2 D' R' F2 R D'
B R2 D' R' F2 R D2
B R2 D' R' F2 D R
B R2 D' R' F2 D' R
B R2 D' R' F2 D2 R
B2 R2 D' B F2 R B2
D R2 D' R2 F2 B R
B R2 D' R2 F2 R D
B R2 D' R2 F2 R D'
B R2 D' R2 F2 R D2
B2 R2 D' B' R F2 R
B R2 D' R2 F2 D R
B R2 D' R2 F2 D' R
B R2 D' R2 F2 D2 R
B2 R2 D' B' R' F2 R
D R2 D' R2 B F2 R
B2 R2 D' B' R2 F2 R
B2 R2 D' B' F2 R D
B2 R2 D' B' F2 R D'
B2 R2 D' B' F2 R D2
B2 R2 D' B' F2 D R
B2 R2 D' B' F2 D' R
B2 R2 D' B' F2 D2 R
B R2 D' U2 L' U2 F2
B R2 D' F R F R
B R2 D' F R' F R
B R2 D' F R2 F R
B R2 D' F D F R
B R2 D' F D' F R
B R2 D' F D2 F R
B R2 D' F2 R2 D R'
B R2 D' F2 R2 D' R'
B R2 D' F2 R2 D2 R'
B R2 D' F2 D R D
B R2 D' F2 D R D'
B R2 D' F2 D R D2
B R2 D' F2 D' R D
B R2 D' F2 D' R D'
B R2 D' F2 D' R D2
B R2 D' F2 D2 R D
B R2 D' F2 D2 R D'
B R2 D' F2 D2 R D2
B R2 D' F2 B R B'
B R2 D' F2 B2 R B2
B R2 D' B F2 R B'
B R2 D' B2 F2 R B2
B R2 D2 R D F2 R
B R2 D2 R' D F2 R
B R2 D2 R2 D F2 R
B2 R2 D2 B' D F2 R
B R2 D2 F2 R D F2
B R2 D2 F2 D R F2
R2 D L' F' B2 R' U2
R2 D L' B2 F' R' U2
B R2 F D' F R F
L2 D L2 F2 U B R
R2 D R D2 F2 R B
B2 R2 F2 D' R F2 B'
B2 R2 F2 D' R B' F2
B R2 F2 R U' R U
B2 R2 F2 D' B' R F2
B' R2 F2 B2 D' R F2
B2 R2 F2 B' D' R F2
B R2 F2 U' R2 U R'
B R2 F2 D R D2 F2
B R2 F2 D' R F2 D
B R2 F2 D' R F2 D'
B R2 F2 D' R F2 D2
B R2 F2 D' R' F2 R2
B R2 F2 D' R2 F2 R'
B R2 F2 D2 R D F2
B' R2 B D' F2 B R
B' R2 B D' B F2 R
B R2 B D' F2 R B'
B R2 B D' F2 B' R
B R2 B D' B' F2 R
R2 D R2 D2 F2 B R
R2 D R2 D2 B F2 R
B' R2 B' D' F2 R B'
B' R2 B' D' F2 B' R
B' R2 B' D' B' F2 R
B2 R2 B' D' R F2 R
B2 R2 B' D' R' F2 R
B2 R2 B' D' R2 F2 R
B2 R2 B' D' F2 R D
B2 R2 B' D' F2 R D'
B2 R2 B' D' F2 R D2
B2 R2 B' D' F2 D R
B2 R2 B' D' F2 D' R
B2 R2 B' D' F2 D2 R
B2 R2 B' F2 D' R F2
B R2 B' D' F2 B R
B R2 B' D' B F2 R
B' R2 B2 D' R F2 R
B' R2 B2 D' R' F2 R
B' R2 B2 D' R2 F2 R
B' R2 B2 D' F2 R D
B' R2 B2 D' F2 R D'
B' R2 B2 D' F2 R D2
B' R2 B2 D' F2 D R
B' R2 B2 D' F2 D' R
B' R2 B2 D' F2 D2 R
L D U L' D B R2
L D U L' B D R2
B' R2 B2 F2 D' R F2
B2 R2 B2 D' F2 B R
B2 R2 B2 D' B F2 R
L D U B L' D R2
L D U B D L' R2
L D U B D R2 L'
R2 D U2 L' F' B2 U2
R2 D U2 L' B2 F' U2
B U L D F2 U' F2
R2 D U2 B2 L' F' U2
U2 D L' U' L U' B
F U L F U' F' B
F U L F U' B F'
B' U L2 B2 R' D L2
B' U L2 B2 D L2 R'
B' U L2 B2 D R' L2
L2 D F2 U B2 R' B'
L2 D F2 U' L U2 B
L2 D F2 B2 U R' B'
R2 D B2 L' F' U2 L
B U D F2 U' R F2
L2 D B2 F2 U R' B'
B U D' F2 U' R F2
D' U F2 U' B R F2
D2 U F2 U' B R F2
B U D2 F2 U' R F2
L D' L B2 U B' L2
F2 U F U' F' B R
F2 U F U' B F' R
D U F2 U' B R F2
R2 D' L' F' U2 L F'
R2 D' L' F' U2 F' L
U D F2 U' B R F2
F' U F' U' B R F
B' U F2 U' R F2 B2
B' U F2 U' R B2 F2
B U F' U' F' R F2
B' U F2 U' B2 R F2
B2 U F2 U' R F2 B'
B2 U F2 U' R B' F2
B2 U F2 U' B' R F2
F U F' U' F B R
F U F' U' B F R
F2 U F2 U' F2 B R
F2 U F2 U' B F2 R
B U F2 L U' R F2
R2 D' R F2 R D B
R2 D' R F2 R D' B
R2 D' R F2 R D2 B
R2 D' R F2 R B D
R2 D' R F2 R B D'
R2 D' R F2 R B D2
B U F2 L' U' R F2
R2 D' R F2 D R B
R2 D' R F2 D' R B
R2 D' R F2 D2 R B
R2 D' R F2 B R B
R2 D' R F2 B' R B
R2 D' R F2 B2 R B
B U F2 L2 U' R F2
R2 D' R B F2 R B
R2 D' R B' F2 R B
R2 D' R B2 F2 R B
B U F2 U' R F2 D
B U F2 U' R F2 D'
B U F2 U' R F2 D2
B U F2 U' R' F2 R2
B U F2 U' R2 F2 R'
F2 U B R U B' U'
B U F2 D' L2 U' R
F2 U B U B' U' R
R2 D' R' F2 R' B R2
F U B U B' U' R'
R2 D' R2 F2 D B R
R2 D' R2 F2 D' B R
R2 D' R2 F2 D2 B R
R2 D' R2 F2 B R D
R2 D' R2 F2 B R D'
R2 D' R2 F2 B R D2
R2 D' R2 F2 B D R
R2 D' R2 F2 B D' R
R2 D' R2 F2 B D2 R
R2 D' R2 F2 B' R B2
R2 D' R2 F2 B2 R B'
R2 D' R2 B R F2 R
R2 D' R2 B R' F2 R
R2 D' R2 B R2 F2 R
R2 D' R2 B F2 R D
R2 D' R2 B F2 R D'
R2 D' R2 B F2 R D2
R2 D' R2 B F2 D R
R2 D' R2 B F2 D' R
R2 D' R2 B F2 D2 R
R2 D' R2 B' F2 R B2
R2 D' R2 B2 F2 R B'
U2 D' L' U' L U' B
F2 U B2 R D B' L2
F2 U B2 D R B' L2
L D' U L' D' B R2
F2 U B2 D B' L2 R
F2 U B2 D B' R L2
R2 D' U2 L' F' U2 F'
B' U' L' U2 B2 D L2
R2 D' U2 F' U2 F' R
L2 D' U2 B2 U' R' B'
B U' L' U L U L'
R2 D' F D2 F R B2
R2 D' F D2 F B2 R
R2 D' F D2 B2 F R
R2 D' F2 L2 R B' L2
R2 D' F2 L2 B' L2 R
R2 D' F2 L2 B' R L2
R2 D' F2 R L2 B' L2
R2 D' F2 R U2 F U2
R2 D' B R F2 R B
R2 D' B R2 F2 B R
R2 D' B R2 B F2 R
R2 D' B' R F2 R B
R2 D' B' R2 F2 B R
R2 D' B' R2 B F2 R
R2 D' B2 R F2 R B
R2 D' B2 R2 F2 B R
R2 D' B2 R2 B F2 R
U D' F2 U' B R F2
L D' B2 U D B' L'
L D' B2 U D' B' L'
L D' B2 U D2 B' L'
L D' B2 U B L' B2
L D' B2 U B' L' D
L D' B2 U B' L' D'
L D' B2 U B' L' D2
L D' B2 U B' D L'
L D' B2 U B' D' L'
L D' B2 U B' D2 L'
L D' B2 U B2 L' B
L D' B2 D U B' L'
L D' B2 D' U B' L'
L D' B2 D2 U B' L'
L D2 L U L2 B R2
L D2 L U B L2 R2
L D2 L U B R2 L2
L D2 L' B R2 D' F2
D' U2 L' U' L U' B
D2 U2 L' U' L U' B
L D2 L2 U L B R2
R2 D2 R D F2 R B
U2 D2 L' U' L U' B
D U2 L' U' L U' B
B U' B U' B' L' U2
R2 D2 R2 D F2 B R
R2 D2 R2 D B F2 R
R2 D2 R2 B D F2 R
B U' B' U' L' B U2
B U' B' U' B L' U2
