R' L U F' B2 R'
R' L U B2 F' R'
U2 L U' F B2 R'
U2 L U' B2 R' F
U2 L U' B2 F R'
L R' U F' B2 R'
L R' U B2 F' R'
R' U D2 F' R2 B
R' U F' B2 D2 R2
R' U B2 D2 F' R2
R' U B2 F' D2 R2
R' U' L2 U2 F' B2
R' U' L2 U2 B2 F'
R U' L2 B U2 B
R U' B L2 U2 B
D' R' B2 L U F'
R' D2 U F' R2 B
R' U' L2 F2 U2 B2 F
R' U' L2 B U2 F' B
R' U' L2 B U2 B F'
R' U' L2 B' U2 F' B'
R' U' L2 B' U2 B' F'
R U' L2 D2 F2 B U2
R U' L2 D2 B F2 U2
R U' L2 F B U2 B
R U' L2 F' B U2 B
R U' L2 F2 B U2 B
L2 U' R U' B2 L F
R U' L2 B U2 D B
R U' L2 B U2 D' B
R U' L2 B U2 D2 B
R U' L2 B U2 B D
R U' L2 B U2 B D'
R U' L2 B U2 B D2
R U' L2 B D U2 B
R U' L2 B D' U2 B
R U' L2 B D2 U2 B
R U' L2 B F U2 B
R U' L2 B F' U2 B
R U' L2 B F2 U2 B
U2 R' L U' F B2 R'
U2 R' L U' B2 R' F
U2 R' L U' B2 F R'
R' U' D2 F2 U2 R2 F
R' U' D2 F2 U2 F R2
D' R' L B2 L U F'
R' U' F L2 U2 F2 B2
R' U' F L2 U2 B2 F2
D' R' L' B2 L U F'
R U' D2 F2 U2 R2 F'
R U' D2 F2 B U2 R2
R U' D2 B F2 U2 R2
R U' F L2 B U2 B
D R' L2 U D F' R2
D' R' L2 B2 L U F'
D R' L2 U2 F2 U' F
D R' L2 D U F' R2
D R' L2 D2 B2 U F'
R U' F B L2 U2 B
D2 R' U D2 F' R' B2
R' U' F2 L2 B' U2 B'
R U' F' L2 B U2 B
B' R' U D2 F' R2 B'
B' R' U D2 F' B' R2
D2 R' U F' R2 B R
B' R' U D2 B' F' R2
B' R' U F' D2 R2 B'
B' R' U F' D2 B' R2
B' R' U F' B' D2 R2
B' R' U B' D2 F' R2
B' R' U B' F' D2 R2
D R' U D F' R2 B
B' R' U' L2 F U2 F2
R U' F' B L2 U2 B
R' U' B L2 U2 F' B
R' U' B L2 U2 B F'
R U' F2 L2 B U2 B
D2 R' U' F2 U2 R' F
D2 R' U' F2 U2 F R'
R U' F2 B L2 U2 B
R' U' B' L2 F U2 F2
R U' B L2 U2 D B
R U' B L2 U2 D' B
R U' B L2 U2 D2 B
R U' B L2 U2 B D
R U' B L2 U2 B D'
R U' B L2 U2 B D2
R U' B L2 D U2 B
R U' B L2 D' U2 B
R U' B L2 D2 U2 B
R U' B L2 F U2 B
R U' B L2 F' U2 B
R U' B L2 F2 U2 B
R U' B U2 D2 B R2
R U' B U2 B D2 R2
R U' B D2 U2 B R2
R U' B F L2 U2 B
R U' B F' L2 U2 B
R U' B F2 L2 U2 B
R U' B' L2 F B2 U2
R U' B' L2 B2 F U2
D R' D U F' R2 B
D2 R' D' L2 U F' R'
R' U2 L U' F' B2 R'
R' U2 L U' B2 F' R'
B' R' D' B2 U F' B
B' R' D' B2 U B F'
B2 R' D' B2 U F' B2
B2 R' D' B2 U B2 F'
D2 R' D2 U F' R' B2
B' R' D2 U F' R2 B'
B' R' D2 U F' B' R2
B' R' D2 U B' F' R2
L2 U2 L F B2 D L2
L2 U2 L B2 D F L2
L2 U2 L B2 F D L2
D' R' B2 L U D F'
D' R' B2 L U D' F'
D' R' B2 L U D2 F'
D' R' B2 L U F' D
D' R' B2 L U F' D'
D' R' B2 L U F' D2
D' R' B2 L D U F'
D' R' B2 L D' U F'
D' R' B2 L D2 U F'
D' R' B2 D L U F'
D' R' B2 D' L U F'
D' R' B2 D2 L U F'
U2 R2 L U' F B2 R'
U2 R2 L U' B2 R' F
U2 R2 L U' B2 F R'
L2 U2 B2 L D F L2
L2 U2 B2 L F D L2
L2 U2 B2 L' D L2 F
L2 U2 B2 D L F L
R' D L2 U D F' R2
R' D L2 U2 F2 U' F
R' D L2 D U F' R2
R' D L2 D2 B2 U F'
R D L2 U D R2 F'
R D L2 D U R2 F'
R' D' B2 U D F' B2
R' D' B2 U D B2 F'
R' D' B2 U F' D B2
R' D' B2 D U F' B2
R' D' B2 D U B2 F'
R' D' B2 D2 L2 U F'
R' D2 L U F' R2 B
R' D2 L' U F' R2 B
R D' B2 D2 L2 U F
R' D2 L2 U F' R2 B
R' D2 U F' R2 D B
R' D2 U F' R2 D' B
R' D2 U F' R2 D2 B
R' D2 U F' R2 B D
R' D2 U F' R2 B D'
R' D2 U F' R2 B D2
R' D2 U F' B R2 B
R' D2 U F' B' R2 B
R' D2 U F' B2 R2 B
R' D2 U B F' R2 B
R' D2 U B' F' R2 B
R' D2 U B2 F' R2 B
R' D2 U' F2 U2 R2 F
R' D2 U' F2 U2 F R2
R D2 U R2 D2 F' B2
R D2 U R2 D2 B2 F'
R D2 U F' R2 F' B
R D2 U F' R2 B F'
R D2 U' F2 U2 R2 F'
R D2 U' F2 B U2 R2
R D2 U' B F2 U2 R2
R' D2 B U F' R2 B
R' D2 B' U F' R2 B
R' D2 B2 U F' R2 B
U2 F L U' F B2 R'
U2 F L U' B2 R' F
U2 F L U' B2 F R'
U2 F' L U' F B2 R'
U2 F' L U' B2 R' F
U2 F' L U' B2 F R'
L2 F' U F R U B2
B' D' R' B2 U F' B
B' D' R' B2 U B F'
B2 D' R' B2 U F' B2
B2 D' R' B2 U B2 F'
U2 F2 L U' F B2 R'
U2 F2 L U' B2 R' F
U2 F2 L U' B2 F R'
L F' B2 R' F' D' L2
L' F2 R B2 D' L2 F
B2 D' B2 R' U F' B2
B2 D' B2 R' U B2 F'
B D' B2 R' U F' B'
B D' B2 R' U B' F'
B' D2 R' U F' R' B'
L F2 B2 R' D' L2 F'
L F2 B2 R' D' F' L2
L F2 B2 D' L2 R' F'
L F2 B2 D' R' L2 F'
L F2 B2 D' R' F' L2
U' B L2 U' L' U' B
R' B U D2 F' B R2
R' B U D2 B F' R2
R' B U F' D2 B R2
R' B U F' B D2 R2
R' B U B D2 F' R2
R' B U B F' D2 R2
R' B U' L2 U2 F' B
R' B U' L2 U2 B F'
R' B D' B2 U F' B'
R' B D' B2 U B' F'
R' B D2 U F' B R2
R' B D2 U B F' R2
U' B' L2 F U R' U
R' B' U D2 F' R2 B'
R' B' U D2 F' B' R2
R' B' U D2 B' F' R2
R' B' U F' D2 R2 B'
R' B' U F' D2 B' R2
R' B' U F' B' D2 R2
R' B' U B' D2 F' R2
R' B' U B' F' D2 R2
R' B' U' L2 F U2 F2
R B' U D2 R2 F2 B'
R B' U D2 R2 B' F2
R B' U D2 F2 R2 B'
R B' U D2 F2 B' R2
R B' U D2 B' R2 F2
R B' U D2 B' F2 R2
R B' U' L2 F B2 U2
R B' U' L2 B2 F U2
R B' U' B2 L2 U2 B
R' B' D' B2 U F' B
R' B' D' B2 U B F'
R' B' D2 U F' R2 B'
R' B' D2 U F' B' R2
R' B' D2 U B' F' R2
R B' D' R2 B2 U B
R B' D2 U R2 F2 B'
R B' D2 U R2 B' F2
R B' D2 U F2 R2 B'
R B' D2 U F2 B' R2
R B' D2 U B' R2 F2
R B' D2 U B' F2 R2
L B2 R' F' U' F U
L B2 R' F2 D' F L2
D' B2 U2 L R2 U' F
D' B2 U2 R2 L U' F
D' B2 D R' U F' B2
D' B2 D R' U B2 F'
R' B2 D' B2 U F' B2
R' B2 D' B2 U B2 F'
D' B2 D2 L2 R' U F'
D' B2 D2 R' L2 U F'
L B2 F' R' F' D' L2
L B2 F2 R' D' L2 F'
L B2 F2 R' D' F' L2
L B2 F2 D' L2 R' F'
L B2 F2 D' R' L2 F'
L B2 F2 D' R' F' L2
