F U' L' U' R
D F U2 R F'
F L U' L2 U' R
F L U2 R D F2
F L U2 D R F2
F L D U2 R F2
F L D' B2 U2 R
F' L' F2 U' L' U'
F L2 U' L U' R
D' L2 U2 B' R' F'
F U' L' U' R D
F U' L' U' R D'
F U' L' U' R D2
F U' L' U' D R
F U' L' U' D' R
F U' L' U' D2 R
F U' L' D U' R
F U' L' D' U' R
F U' L' D2 U' R
F U' D L' U' R
F U' D' L' U' R
F U' D2 L' U' R
F U2 R U L' U'
D' F L B' U2 R
D' F L' U2 R F
D F L U2 R F'
D F L' U2 R F'
D F L2 U2 R F'
D2 F U2 D' R F'
D' F U2 D2 R F'
D F U2 R D F'
D F U2 R D' F'
D F U2 R D2 F'
D F U2 R F' D
D F U2 R F' D'
D F U2 R F' D2
D2 F D' U2 R F'
D' F D2 U2 R F'
D F B U2 R F'
D F B' U2 R F'
D F B2 U2 R F'
D' F' L' F2 U2 F'
F D U' L' U' R
B2 D F U2 R F'
B' D F U2 R F'
B D F U2 R F'
F D' U' L' U' R
F D2 U' L' U' R
D B F U2 R F'
B' F U' L' U' R
B2 F U' L' U' R
B F U' L' U' R
F B U' L' U' R
D B' F U2 R F'
F B' U' L' U' R
F B2 U' L' U' R
D B2 F U2 R F'
D F D2 L' U2 R F
D2 F B U R' U R2
D2 F B U2 R D' F2
D' F B U2 D2 R F'
D' F B D2 U2 R F'
D' F B' L B' U2 R
D' F B' L' U2 R F
D2 F B' U' L U' R
D F B L U2 R F'
D' F B' U2 D2 R F'
D F B L' U2 R F'
D F B L2 U2 R F'
D' F B' D2 U2 R F'
D' F B2 L B' U2 R
D' F B2 L' U2 R F
D F B U2 R D F'
D F B U2 R D' F'
D F B U2 R D2 F'
D F B U2 R F' D
D F B U2 R F' D'
D F B U2 R F' D2
D F B' L U2 R F'
D' F B2 U2 D2 R F'
D F B' L' U2 R F'
D F B' L2 U2 R F'
D' F B2 D2 U2 R F'
D F B' U2 R D F'
D F B' U2 R D' F'
D F B' U2 R D2 F'
D F B' U2 R F' D
D F B' U2 R F' D'
D F B' U2 R F' D2
D F B2 L U2 R F'
D F B2 L' U2 R F'
D F B2 L2 U2 R F'
D' F' L F2 L2 U2 F
D' F' L F2 B' L2 U2
D' F' L B' L2 F2 U2
D' F' L B' F2 L2 U2
D F B2 U2 R D F'
D F B2 U2 R D' F'
D F B2 U2 R D2 F'
D F B2 U2 R F' D
D F B2 U2 R F' D'
D F B2 U2 R F' D2
D' F' L' U2 D2 F B2
D' F' L' U2 D2 B2 F
L' F' L' U R U B'
B' D F L U2 R F'
B' D F L' U2 R F'
D' F' L' D2 U2 F B2
D' F' L' D2 U2 B2 F
B' D F L2 U2 R F'
F D U' L' U' R D
F D U' L' U' R D'
F D U' L' U' R D2
F D U' L' U' D R
F D U' L' U' D' R
F D U' L' U' D2 R
F D U' L' D U' R
F D U' L' D' U' R
F D U' L' D2 U' R
D' F' L' F2 U2 D F'
D' F' L' F2 U2 D' F'
D' F' L' F2 U2 D2 F'
D' F' L' F2 U2 F' D
D' F' L' F2 U2 F' D'
D' F' L' F2 U2 F' D2
D' F' L' F2 D U2 F'
D' F' L' F2 D' U2 F'
D' F' L' F2 D2 U2 F'
D' F' L' F2 B U2 F'
D' F' L' F2 B' U2 F'
D' F' L' F2 B2 U2 F'
D' F' L' B F2 U2 F'
B2 D F L U2 R F'
D' F' L' B' F2 U2 F'
B2 D F L' U2 R F'
D' F' L' B2 F2 U2 F'
B' D F U2 R D F'
B' D F U2 R D' F'
B' D F U2 R D2 F'
B' D F U2 R F' D
B' D F U2 R F' D'
B' D F U2 R F' D2
B2 D F L2 U2 R F'
B' D F B U2 R F'
B' D F B' U2 R F'
B' D F B2 U2 R F'
B2 D F U2 R D F'
B2 D F U2 R D' F'
B2 D F U2 R D2 F'
B2 D F U2 R F' D
B2 D F U2 R F' D'
B2 D F U2 R F' D2
F D U2 R U L' U'
D' F' L2 F2 L U2 F
B2 D F B U2 R F'
B2 D F B' U2 R F'
B D F L U2 R F'
B2 D F B2 U2 R F'
B D F L' U2 R F'
B D F L2 U2 R F'
B D F U2 R D F'
B D F U2 R D' F'
B D F U2 R D2 F'
B D F U2 R F' D
B D F U2 R F' D'
B D F U2 R F' D2
B D F B U2 R F'
B D F B' U2 R F'
B D F B2 U2 R F'
B' D B F U2 R F'
B2 D B F U2 R F'
B' D B' F U2 R F'
B D B F U2 R F'
F D B U' L' U' R
B2 D B' F U2 R F'
B' D B2 F U2 R F'
B D B' F U2 R F'
F D B' U' L' U' R
B2 D B2 F U2 R F'
B D B2 F U2 R F'
F D B2 U' L' U' R
F' D' L' U L' R U
F' D' L' U R L' U
F D' L U' L2 U' R
F D' L U2 R D F2
F D' L U2 D R F2
F D' L D U2 R F2
F D' L D' B2 U2 R
B' D' L2 U2 B' R' F'
B2 D' L2 U2 B' R' F'
B D' L2 U2 B' R' F'
F D' L2 U' L U' R
D' F' B L' F2 U2 F'
D F' D2 L' U2 F B2
D F' D2 L' U2 B2 F
D' F' B' L' F2 U2 F'
D' F' B2 L' F2 U2 F'
D' F2 L F' B' U2 R
D' F2 L B' F' U2 R
B' D' F L B' U2 R
B' D' F L' U2 R F
D' F2 L' F' U2 R F2
F D' U' L' U' R D
F D' U' L' U' R D'
F D' U' L' U' R D2
F D' U' L' U' D R
F D' U' L' U' D' R
F D' U' L' U' D2 R
F D' U' L' D U' R
F D' U' L' D' U' R
F D' U' L' D2 U' R
B2 D' F L B' U2 R
B2 D' F L' U2 R F
B' D' F U2 D2 R F'
D F2 L F' U2 R F'
B' D' F D2 U2 R F'
B2 D' F U2 D2 R F'
B' D' F' L' F2 U2 F'
F D' U2 R U L' U'
B2 D' F D2 U2 R F'
B D' F L B' U2 R
B D' F L' U2 R F
B2 D' F' L' F2 U2 F'
D F2 L' F' U2 R F'
B D' F U2 D2 R F'
F2 D' F' U' L' F U'
B D' F D2 U2 R F'
B D' F' L' F2 U2 F'
D F2 L2 F' U2 R F'
U' F2 U F' L' B' U2
F D' B U' L' U' R
F D' B' U' L' U' R
F D' B2 U' L' U' R
F' D2 L' U R U B2
F D2 L U' L2 U' R
F D2 L U2 R D F2
F D2 L U2 D R F2
D F2 U2 R F' R B
F D2 L D U2 R F2
F D2 L D' B2 U2 R
F D2 L2 U' L U' R
F D2 U' L' U' R D
F D2 U' L' U' R D'
F D2 U' L' U' R D2
F D2 U' L' U' D R
F D2 U' L' U' D' R
F D2 U' L' U' D2 R
F D2 U' L' D U' R
F D2 U' L' D' U' R
F D2 U' L' D2 U' R
B' D2 F U2 D' R F'
B' D2 F D' U2 R F'
D' B L2 U2 B' R' F'
B2 D2 F U2 D' R F'
B2 D2 F D' U2 R F'
F D2 U2 R U L' U'
B D2 F U2 D' R F'
B D2 F D' U2 R F'
F D2 B U' L' U' R
B' F L U' L2 U' R
B' F L U2 R D F2
B' F L U2 D R F2
B' F L D U2 R F2
B' F L D' B2 U2 R
F D2 B' U' L' U' R
B2 F L U' L2 U' R
B2 F L U2 R D F2
B2 F L U2 D R F2
B2 F L D U2 R F2
B2 F L D' B2 U2 R
F D2 B2 U' L' U' R
B F L U' L2 U' R
B F L U2 R D F2
B F L U2 D R F2
B F L D U2 R F2
B F L D' B2 U2 R
F' B L' F2 U' L' U'
B' F L2 U' L U' R
F B L U' L2 U' R
F B L U2 R D F2
F B L U2 D R F2
F B L D U2 R F2
F B L D' B2 U2 R
B2 F L2 U' L U' R
B F L2 U' L U' R
F B L2 U' L U' R
D' B D2 F U2 R F'
D' B F L B' U2 R
D' B F L' U2 R F
D2 B F U R' U R2
D2 B F U2 R D' F2
D' B F U2 D2 R F'
D' B F D2 U2 R F'
D' B F' L' F2 U2 F'
D B F L U2 R F'
D B F L' U2 R F'
D B F L2 U2 R F'
D B F U2 R D F'
D B F U2 R D' F'
D B F U2 R D2 F'
D B F U2 R F' D
D B F U2 R F' D'
D B F U2 R F' D2
B' F U' L' U' R D
B' F U' L' U' R D'
B' F U' L' U' R D2
B' F U' L' U' D R
B' F U' L' U' D' R
B' F U' L' U' D2 R
B' F U' L' D U' R
B' F U' L' D' U' R
B' F U' L' D2 U' R
B' F U' D L' U' R
B' F U' D' L' U' R
B' F U' D2 L' U' R
B2 F U' L' U' R D
B2 F U' L' U' R D'
B2 F U' L' U' R D2
B2 F U' L' U' D R
B2 F U' L' U' D' R
B2 F U' L' U' D2 R
B2 F U' L' D U' R
B2 F U' L' D' U' R
B2 F U' L' D2 U' R
B2 F U' D L' U' R
B2 F U' D' L' U' R
B2 F U' D2 L' U' R
B' F U2 R U L' U'
B F U' L' U' R D
B F U' L' U' R D'
B F U' L' U' R D2
B F U' L' U' D R
B F U' L' U' D' R
B F U' L' U' D2 R
B F U' L' D U' R
B F U' L' D' U' R
B F U' L' D2 U' R
B2 F U2 R U L' U'
B F U' D L' U' R
B F U' D' L' U' R
B F U' D2 L' U' R
F B U' L' U' R D
F B U' L' U' R D'
F B U' L' U' R D2
F B U' L' U' D R
F B U' L' U' D' R
F B U' L' U' D2 R
F B U' L' D U' R
F B U' L' D' U' R
F B U' L' D2 U' R
B' F D U' L' U' R
F B U' D L' U' R
F B U' D' L' U' R
D' B' L2 U2 B' R' F'
F B U' D2 L' U' R
B F U2 R U L' U'
B2 F D U' L' U' R
F B U2 R U L' U'
B' F D' U' L' U' R
B F D U' L' U' R
B2 F D' U' L' U' R
B' F D2 U' L' U' R
F B D U' L' U' R
B F D' U' L' U' R
B2 F D2 U' L' U' R
F B D' U' L' U' R
B F D2 U' L' U' R
F B D2 U' L' U' R
B' F' L' F2 U' L' U'
F' B' L' F2 U' L' U'
B2 F' L' F2 U' L' U'
F B' L U' L2 U' R
F B' L U2 R D F2
F B' L U2 D R F2
F B' L D U2 R F2
F B' L D' B2 U2 R
B F' L' F2 U' L' U'
F B' L2 U' L U' R
D' B' D2 F U2 R F'
D' B' F L B' U2 R
D' B' F L' U2 R F
D2 B' F U' L U' R
D' B' F U2 D2 R F'
D' B' F D2 U2 R F'
D' B' F' L' F2 U2 F'
D B' F L U2 R F'
D B' F L' U2 R F'
D B' F L2 U2 R F'
D B' F U2 R D F'
D B' F U2 R D' F'
D B' F U2 R D2 F'
D B' F U2 R F' D
D B' F U2 R F' D'
D B' F U2 R F' D2
F B' U' L' U' R D
F B' U' L' U' R D'
F B' U' L' U' R D2
F B' U' L' U' D R
F B' U' L' U' D' R
F B' U' L' U' D2 R
F B' U' L' D U' R
F B' U' L' D' U' R
F B' U' L' D2 U' R
F B' U' D L' U' R
F B' U' D' L' U' R
F B' U' D2 L' U' R
F B' U2 R U L' U'
F B' D U' L' U' R
D' B2 L2 U2 B' R' F'
F B' D' U' L' U' R
F B' D2 U' L' U' R
F' B2 L' F2 U' L' U'
F B2 L U' L2 U' R
F B2 L U2 R D F2
F B2 L U2 D R F2
F B2 L D U2 R F2
F B2 L D' B2 U2 R
F B2 L2 U' L U' R
D' B2 D2 F U2 R F'
F B2 U' L' U' R D
F B2 U' L' U' R D'
F B2 U' L' U' R D2
F B2 U' L' U' D R
F B2 U' L' U' D' R
F B2 U' L' U' D2 R
F B2 U' L' D U' R
F B2 U' L' D' U' R
F B2 U' L' D2 U' R
F B2 U' D L' U' R
F B2 U' D' L' U' R
D' B2 F L B' U2 R
D' B2 F L' U2 R F
F B2 U' D2 L' U' R
D' B2 F U2 D2 R F'
F B2 U2 R U L' U'
D' B2 F D2 U2 R F'
D' B2 F' L' F2 U2 F'
D B2 F L U2 R F'
D B2 F L' U2 R F'
D B2 F L2 U2 R F'
F B2 D U' L' U' R
D B2 F U2 R D F'
D B2 F U2 R D' F'
D B2 F U2 R D2 F'
D B2 F U2 R F' D
D B2 F U2 R F' D'
D B2 F U2 R F' D2
F B2 D' U' L' U' R
F B2 D2 U' L' U' R
