B2 L U' R' B'
B2 L R U' R2 B'
B2 L R U' B' R2
B2 L R2 U' R B'
B2 L R2 U' B' R
B2 L U' R B' R2
B2 L U' R' D B'
B2 L U' R' D' B'
B2 L U' R' D2 B'
B2 L U' R' B' D
B2 L U' R' B' D'
B2 L U' R' B' D2
B2 L U' R2 B' R
B2 L U' D R' B'
B2 L U' D' R' B'
B2 L U' D2 R' B'
B2 L D U' R' B'
B2 L D' U' R' B'
B2 L D2 U' R' B'
B2 L F U' R' B'
B2 L F' U' R' B'
B2 L F2 U' R' B'
B2 R L U' R2 B'
B2 R L U' B' R2
L U' B2 L U' B
B2 R2 L U' R B'
B2 R2 L U' B' R
B2 D2 L U' R' B
B2 F L U' R' B'
B2 F' L U' R' B'
U' B2 L U' R' B'
U2 B2 L U' R' B'
F' B2 L U' R' B'
U B2 L U' R' B'
B2 F2 L U' R' B'
F2 B2 L U' R' B'
F B2 L U' R' B'
B2 L R2 D2 U' R B'
B2 L R2 D2 U' B' R
B2 L R2 D2 U' B' R
L R U2 D B' L2 F
B2 L U L2 F U2 R'
R L U2 D B' L2 F
D2 L U R' F2 U B
B2 L U F U2 R' B'
B2 L U F' U2 R' B'
D2 L U F2 R' U B
B2 L U F2 U2 R' B'
L R D U2 B' L2 F
B2 L U' R B R2 B2
B2 L U' R B' R2 D
B2 L U' R B' R2 D'
B2 L U' R B' R2 D2
R L D U2 B' L2 F
B2 L U' R' D B' D
B2 L U' R' D B' D'
B2 L U' R' D B' D2
B2 L U' R' D' B' D
B2 L U' R' D' B' D'
B2 L U' R' D' B' D2
B2 L U' R' D2 B' D
B2 L U' R' D2 B' D'
B2 L U' R' D2 B' D2
B2 L U' R' B2 D B
B2 L U' R' B2 D' B
B2 L U' R' B2 D2 B
B2 L U' R2 D R B'
B2 L U' R2 D B' R
B2 L U' R2 D' R B'
B2 L U' R2 D' B' R
B2 L U' R2 D2 R B'
B2 L U' R2 D2 B' R
B2 L U' R2 B R B2
B2 L U' R2 B' R D
B2 L U' R2 B' R D'
B2 L U' R2 B' R D2
B2 L U' R2 B' D R
B2 L U' R2 B' D' R
B2 L U' R2 B' D2 R
B2 L U' D R B' R2
B2 L U' D R' D B'
B2 L U' D R' D' B'
B2 L U' D R' D2 B'
B2 L U' D R' B' D
B2 L U' D R' B' D'
B2 L U' D R' B' D2
B2 L U' D R2 B' R
B2 L U' D' R B' R2
B2 L U' D' R' D B'
B2 L U' D' R' D' B'
B2 L U' D' R' D2 B'
B2 L U' D' R' B' D
B2 L U' D' R' B' D'
B2 L U' D' R' B' D2
B2 L U' D' R2 B' R
L R D B2 U2 L2 B
L R D B2 U2 B L2
B2 L U' D2 R B' R2
B2 L U' D2 R' D B'
B2 L U' D2 R' D' B'
B2 L U' D2 R' D2 B'
B2 L U' D2 R' B' D
B2 L U' D2 R' B' D'
B2 L U' D2 R' B' D2
B2 L U' D2 R2 B' R
B2 L U' F' R' F B'
B2 L U' F' R' B' F
R L D B2 U2 L2 B
R L D B2 U2 B L2
B2 L U' F2 R' F2 B'
B2 L U' F2 R' B' F2
F' L U' B2 L U' B
U' L U' B2 L U' B
L R D' R2 U2 F2 B'
L R D' R2 U2 B' F2
U2 L U' B2 L U' B
F2 L U' B2 L U' B
F L U' B2 L U' B
R L D' R2 U2 F2 B'
R L D' R2 U2 B' F2
U L U' B2 L U' B
B2 L D R U' R2 B'
B2 L D R U' B' R2
B2 L D R2 U' R B'
B2 L D R2 U' B' R
B2 L D U' R B' R2
B2 L D U' R' D B'
B2 L D U' R' D' B'
B2 L D U' R' D2 B'
B2 L D U' R' B' D
B2 L D U' R' B' D'
B2 L D U' R' B' D2
B2 L D U' R2 B' R
B2 L D F U' R' B'
B2 L D F' U' R' B'
B2 L D F2 U' R' B'
B2 L D' R U' R2 B'
B2 L D' R U' B' R2
B2 L D' R2 U' R B'
B2 L D' R2 U' B' R
B2 L D' U' R B' R2
B2 L D' U' R' D B'
B2 L D' U' R' D' B'
B2 L D' U' R' D2 B'
B2 L D' U' R' B' D
B2 L D' U' R' B' D'
B2 L D' U' R' B' D2
B2 L D' U' R2 B' R
B2 L D' F U' R' B'
B2 L D' F' U' R' B'
B2 L D' F2 U' R' B'
B2 L D2 R U' R2 B'
B2 L D2 R U' B' R2
B2 L D2 R2 U' R B'
B2 L D2 R2 U' B' R
B2 L D2 U' R B' R2
B2 L D2 U' R' D B'
B2 L D2 U' R' D' B'
B2 L D2 U' R' D2 B'
B2 L D2 U' R' B' D
B2 L D2 U' R' B' D'
B2 L D2 U' R' B' D2
B2 L D2 U' R2 B' R
B2 L D2 F U' R' B'
B2 L D2 F' U' R' B'
B2 L D2 F2 U' R' B'
B2 L F R U' R2 B'
B2 L F R U' B' R2
B2 L F R2 U' R B'
B2 L F R2 U' B' R
B2 L F U' R B' R2
B2 L F U' R' D B'
B2 L F U' R' D' B'
B2 L F U' R' D2 B'
B2 L F U' R' B' D
B2 L F U' R' B' D'
B2 L F U' R' B' D2
B2 L F U' R2 B' R
B2 L F U' D R' B'
B2 L F U' D' R' B'
B2 L F U' D2 R' B'
B2 L F D U' R' B'
B2 L F D' U' R' B'
B2 L F D2 U' R' B'
B2 L F' R U' R2 B'
B2 L F' R U' B' R2
B2 L F' R2 U' R B'
B2 L F' R2 U' B' R
B2 L F' U' R B' R2
B2 L F' U' R' D B'
B2 L F' U' R' D' B'
B2 L F' U' R' D2 B'
B2 L F' U' R' B' D
B2 L F' U' R' B' D'
B2 L F' U' R' B' D2
B2 L F' U' R2 B' R
B2 L F' U' D R' B'
B2 L F' U' D' R' B'
B2 L F' U' D2 R' B'
B2 L F' D U' R' B'
B2 L F' D' U' R' B'
B2 L F' D2 U' R' B'
B2 L F2 R U' R2 B'
B2 L F2 R U' B' R2
B2 L F2 R2 U' R B'
B2 L F2 R2 U' B' R
B2 L F2 U' R B' R2
B2 L F2 U' R' D B'
B2 L F2 U' R' D' B'
B2 L F2 U' R' D2 B'
B2 L F2 U' R' B' D
B2 L F2 U' R' B' D'
B2 L F2 U' R' B' D2
B2 L F2 U' R2 B' R
B2 L F2 U' D R' B'
B2 L F2 U' D' R' B'
B2 L F2 U' D2 R' B'
B2 L F2 D U' R' B'
B2 L F2 D' U' R' B'
B2 L F2 D2 U' R' B'
B L B L U' R' B2
R' L' D2 F2 U R2 B
L' R' D2 F2 U R2 B
D2 L2 R' F2 U B R
B2 L2 D L' U' R' B'
B2 L2 D' L' U' R' B'
B2 L2 D2 L' U' R' B'
D2 L2 F2 R' U B R2
L U R' U D B' L2
L U R' U2 B2 U' B
L U R' D U B' L2
L U R' D2 F2 U B'
L U D R' U B' L2
B2 R L U' R B' R
B2 R L U' R2 D B'
B2 R L U' R2 D' B'
B2 R L U' R2 D2 B'
B2 R L U' R2 B' D
B2 R L U' R2 B' D'
B2 R L U' R2 B' D2
B2 R L U' B R2 B2
B2 R L U' B' R2 D
B2 R L U' B' R2 D'
B2 R L U' B' R2 D2
B2 R L D' F2 U' B'
B2 R L F U' R2 B'
B2 R L F U' B' R2
B2 R L F' U' R2 B'
B2 R L F' U' B' R2
B2 R L F2 U' R2 B'
B2 R L F2 U' B' R2
L U D2 R' F2 U B'
L U D2 F2 R' U B'
R' U' L U' B2 U' B
R' U' L U2 D B' L2
R' U' L D U2 B' L2
R' U' L D' R2 U2 B'
B2 R F L U' R2 B'
B2 R F L U' B' R2
L U' L' B2 L U' B'
B2 R F' L U' R2 B'
B2 R F' L U' B' R2
B2 R F2 L U' R2 B'
B2 R F2 L U' B' R2
B' R B' L U' R' B'
D2 R' L2 F2 U B R
L U' B2 L U' D B
L U' B2 L U' D' B
L U' B2 L U' D2 B
L U' B2 L U' B D
L U' B2 L U' B D'
L U' B2 L U' B D2
L U' B2 L D U' B
L U' B2 L D' U' B
L U' B2 L D2 U' B
L U' B2 D L U' B
L U' B2 D' L U' B
L U' B2 D2 L U' B
D2 R' F2 U B2 R' B'
D2 R' F2 U' L U2 B
D2 R' F2 B2 U R' B'
B' R' B' L U' R' B'
D2 R' B2 F2 U R' B'
B2 R2 L U' R D B'
B2 R2 L U' R D' B'
B2 R2 L U' R D2 B'
B2 R2 L U' R B' D
B2 R2 L U' R B' D'
B2 R2 L U' R B' D2
B2 R2 L U' R' B' R2
B2 R2 L U' D R B'
B2 R2 L U' D B' R
B2 R2 L U' D' R B'
B2 R2 L U' D' B' R
B2 R2 L U' D2 R B'
B2 R2 L U' D2 B' R
B2 R2 L U' B R B2
B2 R2 L U' B' R D
B2 R2 L U' B' R D'
B2 R2 L U' B' R D2
B2 R2 L U' B' D R
B2 R2 L U' B' D' R
B2 R2 L U' B' D2 R
B2 R2 L D U' R B'
B2 R2 L D U' B' R
B2 R2 L D' U' R B'
B2 R2 L D' U' B' R
B2 R2 L D' U' B' R
B2 R2 L D2 U' R B'
B2 R2 L D2 U' B' R
R' U2 B2 U' D2 R' B
R' U2 B2 D2 U' R' B
L U2 B' U B' L U'
B' R2 B' L U' R' B'
L D U R' U B' L2
B' U B' L U' B' R'
F' U B2 L U' R' B'
L D' R2 U R U B'
F2 U B2 L U' R' B'
F U B2 L U' R' B'
B2 U' L U' R' B' L'
B2 U' R' U L U' B'
B' U' B' L F U' B'
F' U' B2 L U' R' B'
F2 U' B2 L U' R' B'
L D2 U R' F2 U B'
F U' B2 L U' R' B'
L D2 U F2 R' U B'
R' D2 F2 U B2 R' B
L' D2 F2 R' U R' B
R' D2 F2 B2 U R' B
R' D2 B2 F2 U R' B
L' F L2 U' B2 L U'
F' U2 B2 L U' R' B'
F2 U2 B2 L U' R' B'
B2 D L U' D R' B
F U2 B2 L U' R' B'
B2 D L D U' R' B
B2 D L F' R U' R2
L F U' B2 L U' B
U' F B2 L U' R' B'
U2 F B2 L U' R' B'
U F B2 L U' R' B'
B2 D F' L R U' R2
B2 D F' R L U' R2
B2 D' L U' D' R' B
B2 D' L D' U' R' B
L F' U' B2 L U' B
U' F' B2 L U' R' B'
U2 F' B2 L U' R' B'
U F' B2 L U' R' B'
D2 F2 R' U B2 R' B'
D2 F2 R' U' L U2 B
D2 F2 R' B2 U R' B'
B2 D2 L R U' R2 B
B2 D2 L U' R' D B
B2 D2 L U' R' D' B
B2 D2 L U' R' D2 B
B2 D2 L U' R' B D
B2 D2 L U' R' B D'
B2 D2 L U' R' B D2
B2 D2 L F U' R' B
B2 D2 L F' U' R' B
B2 D2 L F2 U' R' B
L F2 U' B2 L U' B
B2 D2 R L U' R2 B
U' F2 B2 L U' R' B'
U2 F2 B2 L U' R' B'
U F2 B2 L U' R' B'
B2 D2 F L U' R' B
B2 D2 F' L U' R' B
B2 D2 F2 L U' R' B
B2 F L R U' R2 B'
B2 F L R U' B' R2
B2 F L R2 U' R B'
B2 F L R2 U' B' R
B2 F L U' R B' R2
B2 F L U' R' D B'
B2 F L U' R' D' B'
B2 F L U' R' D2 B'
B2 F L U' R' B' D
B2 F L U' R' B' D'
B2 F L U' R' B' D2
B2 F L U' R2 B' R
B2 F L U' D R' B'
B2 F L U' D' R' B'
B2 F L U' D2 R' B'
B2 F L D U' R' B'
B2 F L D' U' R' B'
B2 F L D2 U' R' B'
B2 F L F U' R' B'
B2 F L F' U' R' B'
B2 F L F2 U' R' B'
B2 F R L U' R2 B'
B2 F R L U' B' R2
B2 F R2 L U' R B'
B2 F R2 L U' B' R
B2 F D2 L U' R' B
B2 F' L R U' R2 B'
B2 F' L R U' B' R2
B2 F' L R2 U' R B'
B2 F' L R2 U' B' R
B2 F' L U' R B' R2
B2 F' L U' R' D B'
B2 F' L U' R' D' B'
B2 F' L U' R' D2 B'
B2 F' L U' R' B' D
B2 F' L U' R' B' D'
B2 F' L U' R' B' D2
B2 F' L U' R2 B' R
B2 F' L U' D R' B'
B2 F' L U' D' R' B'
B2 F' L U' D2 R' B'
B2 F' L D U' R' B'
B2 F' L D' U' R' B'
B2 F' L D2 U' R' B'
B2 F' L F U' R' B'
B2 F' L F' U' R' B'
B2 F' L F2 U' R' B'
B2 F' R L U' R2 B'
B2 F' R L U' B' R2
B2 F' R2 L U' R B'
B2 F' R2 L U' B' R
U' B2 L R U' R2 B'
U' B2 L R U' B' R2
U' B2 L R2 U' R B'
U' B2 L R2 U' B' R
U' B2 L U' R B' R2
U' B2 L U' R' D B'
U' B2 L U' R' D' B'
U' B2 L U' R' D2 B'
U' B2 L U' R' B' D
U' B2 L U' R' B' D'
U' B2 L U' R' B' D2
U' B2 L U' R2 B' R
U' B2 L U' D R' B'
U' B2 L U' D' R' B'
U' B2 L U' D2 R' B'
U' B2 L D U' R' B'
U' B2 L D' U' R' B'
U' B2 L D2 U' R' B'
U' B2 L F U' R' B'
U' B2 L F' U' R' B'
L' B2 L U L U2 B'
U' B2 L F2 U' R' B'
U2 B2 L R U' R2 B'
U2 B2 L R U' B' R2
U2 B2 L R2 U' R B'
U2 B2 L R2 U' B' R
L2 B2 L U L2 U2 B'
L2 B2 L U F L2 U2
U2 B2 L U' R B' R2
U2 B2 L U' R' D B'
U2 B2 L U' R' D' B'
U2 B2 L U' R' D2 B'
U2 B2 L U' R' B' D
U2 B2 L U' R' B' D'
U2 B2 L U' R' B' D2
U2 B2 L U' R2 B' R
U2 B2 L U' D R' B'
U2 B2 L U' D' R' B'
U2 B2 L U' D2 R' B'
U2 B2 L D U' R' B'
U2 B2 L D' U' R' B'
U2 B2 L D2 U' R' B'
U2 B2 L F U' R' B'
U2 B2 L F' U' R' B'
U2 B2 L F2 U' R' B'
B2 F' D2 L U' R' B
U B2 L R U' R2 B'
U B2 L R U' B' R2
U B2 L R2 U' R B'
U B2 L R2 U' B' R
L B2 L U L' U2 B
U B2 L U' R B' R2
U B2 L U' R' D B'
U B2 L U' R' D' B'
U B2 L U' R' D2 B'
U B2 L U' R' B' D
U B2 L U' R' B' D'
U B2 L U' R' B' D2
U B2 L U' R2 B' R
U B2 L U' D R' B'
U B2 L U' D' R' B'
U B2 L U' D2 R' B'
U' B2 R L U' R2 B'
U' B2 R L U' B' R2
U B2 L D U' R' B'
U B2 L D' U' R' B'
F' B2 L R U' R2 B'
F' B2 L R U' B' R2
U B2 L D2 U' R' B'
F' B2 L R2 U' R B'
F' B2 L R2 U' B' R
U B2 L F U' R' B'
U B2 L F' U' R' B'
B2 F2 L R U' R2 B'
B2 F2 L R U' B' R2
L B2 L F2 U' B R
F' B2 L U' R B' R2
F' B2 L U' R' D B'
F' B2 L U' R' D' B'
F' B2 L U' R' D2 B'
F' B2 L U' R' B' D
F' B2 L U' R' B' D'
F' B2 L U' R' B' D2
F' B2 L U' R2 B' R
F' B2 L U' D R' B'
F' B2 L U' D' R' B'
U B2 L F2 U' R' B'
F' B2 L U' D2 R' B'
B2 F2 L R2 U' R B'
B2 F2 L R2 U' B' R
F2 B2 L R U' R2 B'
F2 B2 L R U' B' R2
F' B2 L D U' R' B'
B2 F2 L U' R B' R2
B2 F2 L U' R' D B'
B2 F2 L U' R' D' B'
B2 F2 L U' R' D2 B'
B2 F2 L U' R' B' D
B2 F2 L U' R' B' D'
B2 F2 L U' R' B' D2
B2 F2 L U' R2 B' R
B2 F2 L U' D R' B'
F2 B2 L R2 U' R B'
F' B2 L D' U' R' B'
B2 F2 L U' D' R' B'
F2 B2 L R2 U' B' R
B2 F2 L U' D2 R' B'
F' B2 L D2 U' R' B'
F' B2 L F U' R' B'
F2 B2 L U' R B' R2
B2 F2 L D U' R' B'
F2 B2 L U' R' D B'
F2 B2 L U' R' D' B'
F2 B2 L U' R' D2 B'
F2 B2 L U' R' B' D
F2 B2 L U' R' B' D'
F2 B2 L U' R' B' D2
F2 B2 L U' R2 B' R
F2 B2 L U' D R' B'
F2 B2 L U' D' R' B'
F2 B2 L U' D2 R' B'
F' B2 L F' U' R' B'
B2 F2 L D' U' R' B'
B2 F2 L D2 U' R' B'
F' B2 L F2 U' R' B'
F2 B2 L D U' R' B'
B2 F2 L F U' R' B'
F2 B2 L D' U' R' B'
B2 F2 L F' U' R' B'
F2 B2 L D2 U' R' B'
B2 F2 L F2 U' R' B'
F2 B2 L F U' R' B'
F2 B2 L F' U' R' B'
U2 B2 R L U' R2 B'
U2 B2 R L U' B' R2
F2 B2 L F2 U' R' B'
U' B2 R2 L U' R B'
F B2 L R U' R2 B'
U' B2 R2 L U' B' R
F B2 L R U' B' R2
F B2 L R2 U' R B'
F B2 L R2 U' B' R
F B2 L U' R B' R2
F B2 L U' R' D B'
F B2 L U' R' D' B'
F B2 L U' R' D2 B'
F B2 L U' R' B' D
F B2 L U' R' B' D'
F B2 L U' R' B' D2
F B2 L U' R2 B' R
F B2 L U' D R' B'
F B2 L U' D' R' B'
F B2 L U' D2 R' B'
F B2 L D U' R' B'
F B2 L D' U' R' B'
F B2 L D2 U' R' B'
F B2 L F U' R' B'
F B2 L F' U' R' B'
U B2 R L U' R2 B'
U B2 R L U' B' R2
F B2 L F2 U' R' B'
F' B2 R L U' R2 B'
F' B2 R L U' B' R2
U2 B2 R2 L U' R B'
U2 B2 R2 L U' B' R
B2 F2 R L U' R2 B'
B2 F2 R L U' B' R2
F2 B2 R L U' R2 B'
F2 B2 R L U' B' R2
U B2 R2 L U' R B'
U B2 R2 L U' B' R
F B2 R L U' R2 B'
F B2 R L U' B' R2
F' B2 R2 L U' R B'
F' B2 R2 L U' B' R
B2 F2 R2 L U' R B'
B2 F2 R2 L U' B' R
F2 B2 R2 L U' R B'
F2 B2 R2 L U' B' R
L B2 U' L U' L' B
L B2 U' L U' B L'
F B2 R2 L U' R B'
F B2 R2 L U' B' R
U' B2 D2 L U' R' B
U' B2 F L U' R' B'
U2 B2 D2 L U' R' B
U' B2 F' L U' R' B'
U2 B2 F L U' R' B'
U' B2 F2 L U' R' B'
U B2 D2 L U' R' B
U2 B2 F' L U' R' B'
F' B2 D2 L U' R' B
B2 F2 D2 L U' R' B
R B2 D2 L2 U' R' B
F2 B2 D2 L U' R' B
U B2 F L U' R' B'
U2 B2 F2 L U' R' B'
U B2 F' L U' R' B'
F B2 D2 L U' R' B
U B2 F2 L U' R' B'
