F' L' U F B2 R'
F' L' U B2 R' F
F' L' U B2 F R'
U2 L' F B2 D' L2
U L' F' U F2 B2
U L' F' U B2 F2
U2 L' B2 F D' L2
U D L2 F' R U
D U L2 F' R U
U D F' L2 R U
D U F' L2 R U
U D F' R L2 U
D U F' R L2 U
L' F B2 R' D' L2
L' F B2 D' L2 R'
L' F B2 D' R' L2
U F' L' U F B2
U F' L' U B2 F
L' F' U F2 B2 R'
L' F' U B2 R' F2
L' F' U B2 F2 R'
L' B2 R' D' F L'
U2 B2 L' F D' L2
L' B2 F R' D' L2
L' B2 F D' L2 R'
L' B2 F D' R' L2
U' D' B' L R2 B U'
D' U' B' L R2 B U'
U' D' B' R2 L B U'
D' U' B' R2 L B U'
U' D' B2 R2 B L U'
D' U' B2 R2 B L U'
D U2 L2 F' R U R'
F' U2 L' F B2 D L2
F' U2 L' B2 D F L2
F' U2 L' B2 F D L2
B U2 L' F D' L2 B
B U2 L' F D' B L2
B U2 L' F B D' L2
B U2 L' B F D' L2
D U2 F' L2 R U R'
D U2 F' R L2 U R'
F U2 L' B2 D' F L2
U2 F L' B2 D' F L2
U F L' F2 U F' B2
U F L' F2 U B2 F'
L' F R B2 R' D' L2
L' F R B2 D' L2 R'
L' F R B2 D' R' L2
L' F R' B2 R' D' L2
L' F R' B2 D' L2 R'
L' F R' B2 D' R' L2
B' U2 B' L' F D' L2
B U2 B L' F D' L2
L' F R2 B2 R' D' L2
L' F R2 B2 D' L2 R'
L' F R2 B2 D' R' L2
F' U2 B2 L D L2 F
F' U2 B2 L' D F L2
F' U2 B2 L' F D L2
L' F U' F2 U B2 R'
D F U F2 L2 R U
D F U F2 R L2 U
F U2 B2 L D' L2 F
F U2 B2 L' D' F L2
L' F B' D' B' L2 R'
L' F B' D' B' R' L2
L' F B2 L R' D' L2
L' F B2 L D' L2 R'
L' F B2 L D' R' L2
L' F B2 L' R' D' L2
B' D U F' R U B'
L' F B2 L' D' L2 R'
L' F B2 L' D' R' L2
L' F B2 L2 R' D' L2
L' F B2 L2 D' L2 R'
L' F B2 L2 D' R' L2
L' F B2 R' L D' L2
L' F B2 R' L' D' L2
L' F B2 R' L2 D' L2
L' F B2 R' U' F2 U
L' F B2 R' D' L2 D
L' F B2 R' D' L2 D'
L' F B2 R' D' L2 D2
L' F B2 R2 D' L2 R
L' F B2 R2 D' R L2
L' F B2 U' F2 U R'
U2 F B2 L D' L2 F
U2 F B2 L' D' F L2
L' F B2 D' L2 R' D
L' F B2 D' L2 R' D'
L' F B2 D' L2 R' D2
L' F B2 D' L2 D R'
L' F B2 D' L2 D' R'
L' F B2 D' L2 D2 R'
L' F B2 D' R' L2 D
L' F B2 D' R' L2 D'
L' F B2 D' R' L2 D2
L' F B2 D2 R' D L2
L2 F' L U F B2 R'
L2 F' L U B2 R' F
L2 F' L U B2 F R'
U F' L U' B' U2 B'
U F' L D L2 U F
L' F' L2 U F2 R B2
L' F' L2 U F2 B2 R
L' F' L2 U B2 F2 R
U F' L' R U F B2
U F' L' R U B2 F
U F' L' R' U F B2
U F' L' R' U B2 F
U F' L' R2 U F B2
U F' L' R2 U B2 F
U F' L' U F B2 D
U F' L' U F B2 D'
U F' L' U F B2 D2
U F' L' U B2 D F
U F' L' U B2 D' F
U F' L' U B2 D2 F
U F' L' U B2 F D
U F' L' U B2 F D'
U F' L' U B2 F D2
D F' L2 R U D2 R2
D F' L2 R U' L2 U2
D F' L2 R D' B2 U
D F' L2 R D2 U R2
L' F' R U F2 B2 R'
L' F' R U B2 R' F2
L' F' R U B2 F2 R'
D F' L2 D' R B2 U
D F' L2 D' B2 R U
D F' L2 D2 R U R
L' F' R' U F2 B2 R'
L' F' R' U B2 R' F2
L' F' R' U B2 F2 R'
D F' R L2 U D2 R2
D F' R L2 U' L2 U2
D F' R L2 D' B2 U
D F' R L2 D2 U R2
U F' R L' U F B2
U F' R L' U B2 F
L' F' R2 U F2 B2 R'
L' F' R2 U B2 R' F2
L' F' R2 U B2 F2 R'
U F' R' L' U F B2
U F' R' L' U B2 F
L' F' U R F2 B2 R'
L' F' U R B2 R' F2
L' F' U R B2 F2 R'
L' F' U R' F2 B2 R'
L' F' U R' B2 R' F2
L' F' U R' B2 F2 R'
L' F' U R2 F2 B2 R'
L' F' U R2 B2 R' F2
L' F' U R2 B2 F2 R'
L' F' U F B2 R' F
U F' R2 L' U F B2
U F' R2 L' U B2 F
L' F' U F2 R B2 R'
L' F' U F2 R' B2 R'
L' F' U F2 R2 B2 R'
L' F' U F2 B2 R' D
L' F' U F2 B2 R' D'
L' F' U F2 B2 R' D2
L' F' U F2 B2 D R'
L' F' U F2 B2 D' R'
L' F' U F2 B2 D2 R'
L' F' U B2 R F2 R2
L' F' U B2 R' F2 D
L' F' U B2 R' F2 D'
L' F' U B2 R' F2 D2
L' F' U B2 F R' F
L' F' U B2 F2 R' D
L' F' U B2 F2 R' D'
L' F' U B2 F2 R' D2
L' F' U B2 F2 D R'
L' F' U B2 F2 D' R'
L' F' U B2 F2 D2 R'
L' F' U' L U2 F2 B2
L' F' U' L U2 B2 F2
D F' U L2 R U L2
D F' U R L2 U L2
U F' U L' F L B2
L' F' U' B2 R' F2 L'
U F' U B2 L' F L
L F' U B2 R2 F' R
U F' U2 L' U' F B2
U F' U2 L' U' B2 F
L' F' B U F2 B R'
L' F' B U B R' F2
L' F' B U B F2 R'
L' F' B2 R' F2 D' L2
D2 F2 R U F U F2
D2 F2 R U2 F' D' L2
D2 F2 R' B U F U
D2 F2 R2 U F R U
D2 F2 U R F U F2
D2 F2 U F R U F'
U2 B L' F D' L2 B
U2 B L' F D' B L2
U2 B L' F B D' L2
U2 B L' B F D' L2
D B U L2 F' R U
D B U F' L2 R U
D B U F' R L2 U
L' B F' U F2 B R'
L' B F' U B R' F2
L' B F' U B F2 R'
D' B' U' L R2 B U'
D' B' U' R2 L B U'
D B' U L2 F' R U
D B' U F' L2 R U
D B' U F' R L2 U
L' B' F D' B' L2 R'
L' B' F D' B' R' L2
U2 B2 L F D' L2 F
U2 B2 L' U' F' U F2
U2 B2 L' D F D' L2
U2 B2 L' D' F D' L2
U2 B2 L' D2 F D' L2
U2 B2 L' F L D' L2
U2 B2 L' F L' D' L2
U2 B2 L' F L2 D' L2
U2 B2 L' F U' F2 U
U2 B2 L' F D' L2 D
U2 B2 L' F D' L2 D'
U2 B2 L' F D' L2 D2
U B2 L' F D' L2 R2
U B2 L' F D' R2 L2
L' B2 R' D' F L' D
L' B2 R' D' F L' D'
L' B2 R' D' F L' D2
L' B2 R' D' F D L'
L' B2 R' D' F D' L'
L' B2 R' D' F D2 L'
D B2 U L2 F' R U
L' B2 U' F' U R' F2
L' B2 U' F' U F2 R'
D B2 U F' L2 R U
D B2 U F' R L2 U
U2 B2 U' D F' R U
L' B2 D R' D' F L'
L' B2 D F R' D' L2
L' B2 D F D' L2 R'
L' B2 D F D' R' L2
U2 B2 D U' F' R U
L' B2 D' R' D' F L'
L' B2 D' F R' D' L2
L' B2 D' F D' L2 R'
L' B2 D' F D' R' L2
L' B2 D2 R' D' F L'
L' B2 D2 F R' D' L2
L' B2 D2 F D' L2 R'
L' B2 D2 F D' R' L2
L' B2 F L R' D' L2
L' B2 F L D' L2 R'
L' B2 F L D' R' L2
L' B2 F L' R' D' L2
L' B2 F L' D' L2 R'
L' B2 F L' D' R' L2
L' B2 F L2 R' D' L2
L' B2 F L2 D' L2 R'
L' B2 F L2 D' R' L2
L' B2 F R' L D' L2
L' B2 F R' L' D' L2
L' B2 F R' L2 D' L2
L' B2 F R' U' F2 U
L' B2 F R' D' L2 D
L' B2 F R' D' L2 D'
L' B2 F R' D' L2 D2
L' B2 F R2 D' L2 R
L' B2 F R2 D' R L2
L' B2 F U' F2 U R'
L' B2 F D' L2 R' D
L' B2 F D' L2 R' D'
L' B2 F D' L2 R' D2
L' B2 F D' L2 D R'
L' B2 F D' L2 D' R'
L' B2 F D' L2 D2 R'
L' B2 F D' R' L2 D
L' B2 F D' R' L2 D'
L' B2 F D' R' L2 D2
U2 B2 F L D' L2 F
L' B2 F D2 R' D L2
U2 B2 F L' D' F L2
L' B2 F' R' F2 D' L2
