L2 D' B2 U2 B2
B' L2 U' L2 U' B
B2 L2 U' L2 U' B2
B L2 U' L2 U' B'
B' L2 U2 D F2 B
B' L2 U2 D B F2
U2 L2 U2 L2 D F2
B' L2 U2 B D F2
B2 L2 U2 B2 D F2
B' L2 D U2 F2 B
B' L2 D U2 B F2
B L2 D F U2 F
F' L2 D' B2 U2 B2
F2 L2 D' B2 U2 B2
B' L2 D' B2 U2 B'
B L2 D' F B2 U2
B L2 D' B2 F U2
F L2 D' B2 U2 B2
B L2 F U' L2 U'
B L2 F U2 D F2
B L2 F D U2 F2
B L2 F D' B2 U2
L2 U' L2 U' D' B2
L2 U' L2 U2 L2 U
L2 U' L2 D' U' B2
L2 U' L2 D2 R2 U'
L2 U2 D F2 D2 B2
D2 R2 D2 L2 D F2
L2 D U2 F2 D2 B2
R2 D F2 B2 U' B2
L2 D B U2 F2 B'
L2 D B U2 B' F2
L2 D B' U2 F2 B
L2 D B' U2 B F2
R2 D B2 F2 U' B2
L2 D B2 U2 F2 B2
L2 D B2 U2 B2 F2
L2 D' F B2 U2 B2
L2 D' F' B2 U2 B2
L2 D' F2 B2 U2 B2
L2 D' B2 U2 B2 D
L2 D' B2 U2 B2 D'
L2 D' B2 U2 B2 D2
L2 D' B2 D2 F2 U2
L2 D' B2 F U2 B2
L2 D' B2 F' U2 B2
L2 D' B2 F2 U2 B2
R2 D2 L2 R2 D F2
R2 D2 R2 L2 D F2
L2 F D' B2 U2 B2
L2 F' D' B2 U2 B2
L2 F2 D' B2 U2 B2
L2 B U2 D F2 B'
L2 B U2 D B' F2
L2 B U2 B' D F2
L2 B D U2 F2 B'
L2 B D U2 B' F2
L2 B D' B2 U2 B
L2 B' U' L2 U' B
L2 B' U2 D F2 B
L2 B' U2 D B F2
L2 B' U2 B D F2
L2 B' D U2 F2 B
L2 B' D U2 B F2
L2 B' D' B2 U2 B'
L2 B2 U' L2 U' B2
L2 B2 U2 B2 D F2
R B2 U' L B2 R'
D' L2 D' R2 D2 L2 F2
D' L2 D' R2 D2 F2 L2
B L2 D B2 F U2 F
F L2 D B' U2 F2 B
F L2 D B' U2 B F2
F L2 D B2 U2 F2 B2
F L2 D B2 U2 B2 F2
D L2 D' L2 B2 U2 B2
L' U L U L2 U2 L2
B' L2 D' F B2 U2 B'
F' L2 D' F B2 U2 B2
B' L2 D' F' B2 U2 B'
F' L2 D' F' B2 U2 B2
B' L2 D' F2 B2 U2 B'
F' L2 D' F2 B2 U2 B2
F2 L2 D' F B2 U2 B2
F2 L2 D' F' B2 U2 B2
D' L2 D' B2 U2 R2 B2
D' L2 D' B2 U2 B2 R2
B' L2 D' B2 U2 D B'
B' L2 D' B2 U2 D' B'
B' L2 D' B2 U2 D2 B'
B' L2 D' B2 U2 B' D
B' L2 D' B2 U2 B' D'
B' L2 D' B2 U2 B' D2
B' L2 D' B2 D U2 B'
B' L2 D' B2 D' U2 B'
B' L2 D' B2 D2 U2 B'
B' L2 D' B2 F U2 B'
B' L2 D' B2 F' U2 B'
B' L2 D' B2 F2 U2 B'
F2 L2 D' F2 B2 U2 B2
B L2 D' F U2 D2 F2
F' L2 D' B2 U2 B2 D
F' L2 D' B2 U2 B2 D'
F' L2 D' B2 U2 B2 D2
F' L2 D' B2 D2 F2 U2
B L2 D' F D2 U2 F2
F' L2 D' B2 F U2 B2
F' L2 D' B2 F' U2 B2
F' L2 D' B2 F2 U2 B2
B L2 D' F B2 U2 D
B L2 D' F B2 U2 D'
B L2 D' F B2 U2 D2
B L2 D' F B2 D U2
B L2 D' F B2 D' U2
B L2 D' F B2 D2 U2
F L2 D' F B2 U2 B2
B2 L2 D' B2 U' R2 U'
B2 L2 D' B2 U2 D B2
B2 L2 D' B2 D U2 B2
F2 L2 D' B2 U2 B2 D
F2 L2 D' B2 U2 B2 D'
F2 L2 D' B2 U2 B2 D2
B2 L2 D' B2 D' F2 U2
F2 L2 D' B2 D2 F2 U2
F2 L2 D' B2 F U2 B2
F2 L2 D' B2 F' U2 B2
F2 L2 D' B2 F2 U2 B2
F L2 D' F' B2 U2 B2
F L2 D' F2 B2 U2 B2
D L2 D' B2 L2 U2 B2
B L2 D' B2 D F U2
B L2 D' B2 D' F U2
B L2 D' B2 D2 F U2
B L2 D' B2 F U2 D
B L2 D' B2 F U2 D'
B L2 D' B2 F U2 D2
B L2 D' B2 F D U2
B L2 D' B2 F D' U2
B L2 D' B2 F D2 U2
F L2 D' B2 U2 B2 D
F L2 D' B2 U2 B2 D'
F L2 D' B2 U2 B2 D2
F L2 D' B2 D2 F2 U2
F L2 D' B2 F U2 B2
F L2 D' B2 F' U2 B2
F L2 D' B2 F2 U2 B2
B' L2 D2 U2 B D' F2
U2 L2 D2 R2 U R2 U
U2 L2 D2 R2 U2 D' F2
U2 L2 D2 R2 D B2 U2
U2 L2 D2 R2 D' U2 F2
B2 L2 D2 F2 U R2 U
B2 L2 D2 F2 U2 D' F2
B2 L2 D2 F2 D B2 U2
B2 L2 D2 F2 D' U2 F2
B L2 D2 F U R2 U
B L2 D2 F U2 D' F2
B L2 D2 F D B2 U2
B L2 D2 F D' U2 F2
L U L' U L2 U2 L2
R' U L2 R U' R' U'
B' L2 F U' L2 U' B
B' L2 F U2 D F2 B
B' L2 F U2 D B F2
B' L2 F U2 B D F2
B' L2 F D U2 F2 B
B' L2 F D U2 B F2
B2 L2 F U' L2 U' B2
B' L2 F D' B2 U2 B'
F' L2 F D' B2 U2 B2
B2 L2 F U2 B2 D F2
B L2 F U D2 R2 U
B L2 F U' L2 U' D
B L2 F U' L2 U' D'
B L2 F U' L2 U' D2
B L2 F U' L2 D U'
B L2 F U' L2 D' U'
B L2 F U' L2 D2 U'
F2 L2 F D' B2 U2 B2
B L2 F U2 D F2 D
B L2 F U2 D F2 D'
B L2 F U2 D F2 D2
R2 U L2 R2 U' R2 U'
R2 U L2 R2 U2 D B2
B L2 F U2 F D F2
R2 U L2 R2 D U2 B2
B L2 F U2 F' D F2
R2 U L2 R2 D' F2 U2
B L2 F U2 F2 D F2
B L2 F D U2 F2 D
B L2 F D U2 F2 D'
B L2 F D U2 F2 D2
B L2 F D B U2 F2
B L2 F D B' U2 F2
B L2 F D B2 U2 F2
B L2 F D' B2 U2 D
B L2 F D' B2 U2 D'
B L2 F D' B2 U2 D2
B L2 F D' B2 D U2
B L2 F D' B2 D' U2
B L2 F D' B2 D2 U2
B L2 F D2 U R2 U
R U L2 R' U' R U'
B L2 F B U' L2 U'
B L2 F B U2 D F2
B L2 F B D U2 F2
F L2 F D' B2 U2 B2
B L2 F B D' B2 U2
B L2 F B' U' L2 U'
B L2 F B' U2 D F2
B L2 F B' D U2 F2
B L2 F B' D' B2 U2
B L2 F B2 U' L2 U'
B L2 F B2 U2 D F2
B L2 F B2 D U2 F2
B L2 F B2 D' B2 U2
R' U R L2 U' R' U'
B' L2 F' U' L2 U' B
B' L2 F' U2 D F2 B
B' L2 F' U2 D B F2
B' L2 F' U2 B D F2
B' L2 F' D U2 F2 B
B' L2 F' D U2 B F2
B2 L2 F' U' L2 U' B2
F' L2 F' D' B2 U2 B2
B' L2 F' D' B2 U2 B'
B2 L2 F' U2 B2 D F2
F2 L2 F' D' B2 U2 B2
L2 U R U2 L2 R' U'
L2 U R U2 R' L2 U'
F L2 F' D' B2 U2 B2
B' L2 F2 U' L2 U' B
B' L2 F2 U2 D F2 B
B' L2 F2 U2 D B F2
B' L2 F2 U2 B D F2
B' L2 F2 D U2 F2 B
B' L2 F2 D U2 B F2
B2 L2 F2 U' L2 U' B2
F' L2 F2 D' B2 U2 B2
B' L2 F2 D' B2 U2 B'
B2 L2 F2 U2 B2 D F2
F2 L2 F2 D' B2 U2 B2
B L2 F2 D F' U2 F'
L2 U R' U2 L2 R U'
L2 U R' U2 R L2 U'
B L2 F2 D' F' B2 U2
B L2 F2 D' B2 F' U2
F L2 F2 D' B2 U2 B2
R U R' L2 U' R U'
F' L2 B U2 D F2 B'
F' L2 B U2 D B' F2
F' L2 B U2 B' D F2
F' L2 B D U2 F2 B'
F' L2 B D U2 B' F2
B2 L2 B U' L2 U' B
F' L2 B D' B2 U2 B
B2 L2 B U2 D F2 B
B2 L2 B U2 D B F2
B' L2 B D' B2 U2 B2
U2 L2 B U2 L2 D F2
F2 L2 B U2 D F2 B'
F2 L2 B U2 D B' F2
B2 L2 B U2 B D F2
F2 L2 B U2 B' D F2
B2 L2 B D U2 F2 B
B2 L2 B D U2 B F2
F2 L2 B D U2 F2 B'
F2 L2 B D U2 B' F2
B L2 B U' L2 U' B'
B2 L2 B D' B2 U2 B'
F2 L2 B D' B2 U2 B
L2 U R2 U D F2 B2
L2 U R2 U D B2 F2
R2 U R2 L2 U' R2 U'
B L2 B D F U2 F
R2 U R2 L2 U2 D B2
R2 U R2 L2 D U2 B2
R2 U R2 L2 D' F2 U2
L2 U R2 U2 L2 R2 U'
F L2 B U2 D F2 B'
F L2 B U2 D B' F2
L2 U R2 U2 R2 L2 U'
F L2 B U2 B' D F2
B L2 B D' F B2 U2
B L2 B D' B2 F U2
F L2 B D U2 F2 B'
F L2 B D U2 B' F2
L2 U R2 D U F2 B2
L2 U R2 D U B2 F2
B L2 B F U' L2 U'
B L2 B F U2 D F2
B L2 B F D U2 F2
F L2 B D' B2 U2 B
B L2 B F D' B2 U2
L2 U R2 D2 L2 R2 U
L2 U R2 D2 R2 L2 U
F' L2 B' U' L2 U' B
B' L2 B' U' L2 U' B2
F' L2 B' U2 D F2 B
F' L2 B' U2 D B F2
F' L2 B' U2 B D F2
B' L2 B' U2 B2 D F2
F' L2 B' D U2 F2 B
F' L2 B' D U2 B F2
F2 L2 B' U' L2 U' B
F' L2 B' D' B2 U2 B'
B2 L2 B' U2 D F2 B'
B2 L2 B' U2 D B' F2
U2 L2 B' U2 L2 D F2
B2 L2 B' U2 B' D F2
F2 L2 B' U2 D F2 B
F2 L2 B' U2 D B F2
F2 L2 B' U2 B D F2
B2 L2 B' D U2 F2 B'
B2 L2 B' D U2 B' F2
F2 L2 B' D U2 F2 B
F2 L2 B' D U2 B F2
B L2 B' U' L2 U' B'
B2 L2 B' D' B2 U2 B
F2 L2 B' D' B2 U2 B'
F L2 B' U' L2 U' B
B L2 B' D F U2 F
F L2 B' U2 D F2 B
F L2 B' U2 D B F2
B L2 B' D' F B2 U2
F L2 B' U2 B D F2
B L2 B' D' B2 F U2
F L2 B' D U2 F2 B
F L2 B' D U2 B F2
B L2 B' F U' L2 U'
B L2 B' F U2 D F2
B L2 B' F D U2 F2
B L2 B' F D' B2 U2
F L2 B' D' B2 U2 B'
F' L2 B2 U' L2 U' B2
B' L2 B2 U2 D F2 B'
B' L2 B2 U2 D B' F2
F' L2 B2 U2 B2 D F2
B' L2 B2 U2 B' D F2
B' L2 B2 D U2 F2 B'
B' L2 B2 D U2 B' F2
F2 L2 B2 U' L2 U' B2
B' L2 B2 D' B2 U2 B
U2 L2 B2 U2 L2 D F2
F2 L2 B2 U2 B2 D F2
B L2 B2 U' L2 U' B'
B2 L2 B2 D' B2 U2 B2
F L2 B2 U' L2 U' B2
B L2 B2 D F U2 F
B L2 B2 D' F B2 U2
F L2 B2 U2 B2 D F2
B L2 B2 D' B2 F U2
B L2 B2 F U' L2 U'
B L2 B2 F U2 D F2
B L2 B2 F D U2 F2
B L2 B2 F D' B2 U2
L2 U D2 R2 U D B2
L2 U D2 R2 U2 R2 U'
L2 U D2 R2 D U B2
L2 U D2 R2 D2 L2 U
U2 R L2 U R' U L2
D R L2 D R2 F2 L'
B' R U L2 R' U2 B
B' R U R' L2 U2 B
B2 R U L2 R' U2 B2
B2 R U L2 U2 B2 L
B2 R U R' L2 U2 B2
B R U L2 R' F U2
B R U L2 F R' U2
B R U R' L2 F U2
B2 R U' L B2 L R'
B2 R U' L B2 R' L
B2 R U' B2 D2 L R2
B2 R U' B2 D2 R2 L
L' U' L D F2 R U'
L2 U' L2 R U' D' B2
L2 U' L2 R U2 L2 U
L2 U' L2 R D' U' B2
L2 U' L2 R D2 R2 U'
L2 U' L2 R' U' D' B2
L2 U' L2 R' U2 L2 U
L2 U' L2 R' D' U' B2
L2 U' L2 R' D2 R2 U'
L2 U' L2 R2 U' D' B2
L2 U' L2 R2 U2 L2 U
L2 U' L2 R2 D' U' B2
L2 U' L2 R2 D2 R2 U'
L2 U' L2 U D F2 U2
L2 U' L2 U' D' B2 D
L2 U' L2 U' D' B2 D'
L2 U' L2 U' D' B2 D2
L2 U' L2 U' B D' B2
L2 U' L2 U' B' D' B2
L2 U' L2 U' B2 D' B2
L2 U' L2 U2 L2 U D
L2 U' L2 U2 L2 U D'
L2 U' L2 U2 L2 U D2
L2 U' L2 U2 L2 D U
L2 U' L2 U2 L2 D' U
L2 U' L2 U2 L2 D2 U
L2 U' L2 D U F2 U2
L2 U' L2 D' R U' B2
L2 U' L2 D' R' U' B2
L2 U' L2 D' R2 U' B2
L2 U' L2 D' U' B2 D
L2 U' L2 D' U' B2 D'
L2 U' L2 D' U' B2 D2
L2 U' L2 D2 R2 U' D
L2 U' L2 D2 R2 U' D'
L2 U' L2 D2 R2 U' D2
L2 U' L2 D2 R2 D U'
L2 U' L2 D2 R2 D' U'
L2 U' L2 D2 R2 D2 U'
L2 U' R L2 U' D' B2
L2 U' R L2 U2 L2 U
L2 U' R L2 D' U' B2
L2 U' R L2 D2 R2 U'
L2 U' R' L2 U' D' B2
L2 U' R' L2 U2 L2 U
L2 U' R' L2 D' U' B2
L2 U' R' L2 D2 R2 U'
D R F2 B2 U' L B2
L2 U' R2 L2 U' D' B2
L2 U' R2 L2 U2 L2 U
L2 U' R2 L2 D' U' B2
L2 U' R2 L2 D2 R2 U'
D2 R B2 U' L R B2
D2 R B2 U' L B2 R
D2 R B2 U' R L B2
F' R B2 U' L B2 R'
F2 R B2 U' L B2 R'
F R B2 U' L B2 R'
R2 U' D' F2 B2 U F2
D R B2 F2 U' L B2
R2 U' D' B2 F2 U F2
R2 U' D2 L2 R2 D' B2
R2 U' D2 R2 L2 D' B2
D2 R' L2 D F2 L' R'
D2 R' L2 D F2 R' L'
U2 R' L2 U R U L2
D R' L2 D F2 L' R2
D R' L2 D F2 R2 L'
B2 R' U L2 R U2 B2
B2 R' U R L2 U2 B2
R' U' F2 U L' F2 R
B R' U L2 R F U2
B R' U R L2 F U2
B R' D F2 U' B' L'
L U2 L U' L2 U' L
L U2 L U2 D L' F2
L' U2 L' U' L2 U' L'
L U2 L D U2 L' F2
L' U2 L' U2 D L F2
L' U2 L' U2 D F2 L
L U2 L D' B2 U2 L'
L' U2 L' D U2 L F2
L' U2 L' D U2 F2 L
L' U2 L' D' B2 R' U2
R' U2 L2 R U R' U
R2 U2 L2 R2 U R2 U
R2 U2 L2 R2 U2 D' F2
R2 U2 L2 R2 D B2 U2
R2 U2 L2 R2 D' U2 F2
R' U2 R L2 U R' U
R U2 L2 R' U R U
D R' F2 B U' B' L'
D R' F2 B' U' L' B
D R' F2 B' U' B L'
D R' F2 B2 U' L' B2
D R' F2 B2 U' B2 L'
R U2 R' L2 U R U
R2 U2 R2 L2 U R2 U
R2 U2 R2 L2 U2 D' F2
R2 U2 R2 L2 D B2 U2
R2 U2 R2 L2 D' U2 F2
D R' B F2 U' B' L'
L2 U2 D F2 U2 F2 U2
L2 U2 D F2 D2 B2 D
L2 U2 D F2 D2 B2 D'
L2 U2 D F2 D2 B2 D2
L2 U2 D F2 B D2 B2
L2 U2 D F2 B' D2 B2
L2 U2 D F2 B2 D2 B2
L2 U2 D B F2 D2 B2
D R' B' F2 U' L' B
D R' B' F2 U' B L'
L2 U2 D B' F2 D2 B2
L2 U2 D B2 F2 D2 B2
L2 U2 D' F2 D2 F2 B2
L2 U2 D' F2 D2 B2 F2
D R' B2 F2 U' L' B2
D R' B2 F2 U' B2 L'
D2 R2 L2 D F2 D L2
D2 R2 L2 D2 L2 D' F2
U2 R2 L2 U R2 U L2
U2 R2 L2 U2 L2 D' F2
B' R2 U L2 R2 U2 B
B' R2 U L2 F' R2 U2
L2 U2 F' U L2 U' B'
B' R2 U R2 L2 U2 B
B2 R2 U L2 R2 U2 B2
B2 R2 U R2 L2 U2 B2
B' R2 U F' L2 R2 U2
B' R2 U F' R2 L2 U2
B R2 U L2 R2 F U2
B R2 U L2 F R2 U2
B R2 U R2 L2 F U2
D2 R2 U' D' F2 U F2
B' R2 U' D2 L2 R2 B
B' R2 U' D2 R2 L2 B
B' R2 U' D2 R2 B L2
L2 U2 F2 D F2 D B2
L2 U2 F2 D2 B2 D' F2
B2 R2 U' B2 D2 L2 R2
B2 R2 U' B2 D2 R2 L2
B R2 U' D2 R2 B' L2
B R2 U' D2 B' L2 R2
B R2 U' D2 B' R2 L2
D2 R2 U2 R2 U R2 U
D2 R2 U2 R2 U2 D' F2
D2 R2 U2 R2 D B2 U2
D2 R2 U2 R2 D' U2 F2
B R2 U' B' D2 L2 R2
B R2 U' B' D2 R2 L2
L2 U2 B D F2 D2 B2
D2 R2 D L2 D L2 F2
D2 R2 D L2 D F2 L2
L2 U2 B' D F2 D2 B2
F' R2 D F2 B2 U' B2
F' R2 D B2 F2 U' B2
F2 R2 D F2 B2 U' B2
F2 R2 D B2 F2 U' B2
D2 R2 D' U' F2 U F2
B R2 D F2 B2 U' B
L2 U2 B2 D F2 D2 B2
D R2 D B2 U' R2 B2
D R2 D B2 U' B2 R2
B R2 D B2 F2 U' B
F R2 D F2 B2 U' B2
F R2 D B2 F2 U' B2
L2 D L R' F2 L' R
L2 D L R' F2 R L'
D2 R2 D2 L2 U L2 U'
D2 R2 D2 L2 D F2 D
D2 R2 D2 L2 D F2 D'
D2 R2 D2 L2 D F2 D2
D' R2 D2 L2 D R2 F2
D' R2 D2 L2 D F2 R2
D2 R2 D2 L2 F D F2
D2 R2 D2 L2 F' D F2
D2 R2 D2 L2 F2 D F2
F' R2 D2 L2 R2 D F2
F' R2 D2 R2 L2 D F2
F2 R2 D2 L2 R2 D F2
B' R2 D2 U' L2 R2 B
D2 R2 D2 F L2 D F2
B' R2 D2 U' R2 L2 B
B' R2 D2 U' R2 B L2
D2 R2 D2 F' L2 D F2
D2 R2 D2 F2 L2 D F2
F2 R2 D2 R2 L2 D F2
L' D L' D' B2 U2 B2
L D L D' B2 U2 B2
F R2 D2 L2 R2 D F2
B R2 D2 U' R2 B' L2
B R2 D2 U' B' L2 R2
B R2 D2 U' B' R2 L2
F R2 D2 R2 L2 D F2
R' D L2 D F2 L' R2
R' D L2 D F2 R2 L'
D2 R2 F D2 L2 D F2
R2 D L2 D L2 R2 F2
R2 D L2 D L2 F2 R2
R2 D L2 D R2 L2 F2
R2 D L2 D R2 F2 L2
R2 D L2 D F2 L2 R2
R2 D L2 D F2 R2 L2
D2 R2 F' D2 L2 D F2
R D L2 D R2 F2 L'
D2 R2 F2 D2 L2 D F2
R2 D R F2 B2 U' B2
L2 D R' L F2 L' R
L2 D R' L F2 R L'
R2 D R B2 F2 U' B2
D R2 F2 D B2 U' B2
R2 D R' F2 B2 U' B2
R2 D R' B2 F2 U' B2
R2 D R2 F2 B2 U' B2
R2 D R2 B2 F2 U' B2
U' D L F2 R U' F2
L2 D U2 F2 U2 F2 U2
L2 D U2 F2 D2 B2 D
L2 D U2 F2 D2 B2 D'
L2 D U2 F2 D2 B2 D2
L2 D U2 F2 B D2 B2
L2 D U2 F2 B' D2 B2
L2 D U2 F2 B2 D2 B2
