F2 L' U R F2
U' F2 L' U R
F2 L' R' U R2 F2
F2 L' R' U F2 R2
F2 L' R2 U R' F2
F2 L' R2 U F2 R'
F2 L' U R F2 D
F2 L' U R F2 D'
F2 L' U R F2 D2
F2 L' U R' F2 R2
F2 L' U R2 F2 R'
F2 L' U R2 F2 R'
U2 L' U F2 L' U
F2 L' D R2 U R'
F2 L' B U R F2
F2 L' B U R F2
F2 L' B' U R F2
F2 L' B2 U R F2
D' L2 R' D B2 R'
D' L2 B2 R' D B2
U R U2 F2 U R
F2 R' L' U R2 F2
F2 R' L' U F2 R2
D' R' L2 D B2 R'
D2 R' D L2 B2 R'
F2 R2 L' U R' F2
F2 R2 L' U F2 R'
R' D' L2 D2 B2 R'
B2 U' F2 L' U R
B' U' F2 L' U R
B U' F2 L' U R
F2 D L' R2 U R'
F2 D R2 L' U R'
U' F2 L' U R D
U' F2 L' U R D'
U' F2 L' U R D2
U' F2 L' U D R
U' F2 L' U D' R
U' F2 L' U D2 R
U' F2 L' D U R
U' F2 L' D' U R
U' F2 L' D2 U R
U' F2 L' B U R
U' F2 L' B' U R
U' F2 L' B2 U R
L F2 L' U F2 R
U' F2 D L' U R
U' F2 D' L' U R
U' F2 D2 L' U R
U' F2 B L' U R
U' F2 B' L' U R
U' F2 B2 L' U R
F2 B L' U R F2
U' B F2 L' U R
F2 B' L' U R F2
U' B' F2 L' U R
B' F2 L' U R F2
B2 F2 L' U R F2
F2 B2 L' U R F2
B F2 L' U R F2
U' B2 F2 L' U R
F2 L' R2 U R' F2 D
F2 L' R2 U R' F2 D'
F2 L' R2 U R' F2 D2
F2 L' R2 U F R' F
F2 L' R2 U F2 R' D
F2 L' R2 U F2 R' D'
F2 L' R2 U F2 R' D2
F2 L' R2 U F2 D R'
F2 L' R2 U F2 D' R'
F2 L' R2 U F2 D2 R'
F2 L' R2 D R2 U R
R' L' D' F2 U2 L2 F2
R' L' D' F2 U2 F2 L2
L' R' D' F2 U2 L2 F2
L' R' D' F2 U2 F2 L2
F2 L' U L' R F2 L
U2 L' U L F2 L' U
F2 L' U L2 R F2 L2
U2 L' U L' F2 L' U
F2 L' U R L' F2 L
F2 L' U R L2 F2 L2
U2 L' U L2 F2 L' U
F2 L' U R F D F
F2 L' U R F D' F
F2 L' U R F D2 F
F2 L' U R F' D F'
F2 L' U R F' D' F'
F2 L' U R F' D2 F'
F2 L' U R' F R2 F
F2 L' U R' F2 R2 D
F2 L' U R' F2 R2 D'
F2 L' U R' F2 R2 D2
F2 L' U R2 F R' F
F2 L' U R2 F2 R' D
F2 L' U R2 F2 R' D'
F2 L' U R2 F2 R' D2
F2 L' U R2 F2 D R'
F2 L' U R2 F2 D' R'
F2 L' U R2 F2 D2 R'
F2 L' U D' R D F2
F2 L' U D2 R D2 F2
U' L' U F2 L' U F2
U2 L' U F2 L' U D
U2 L' U F2 L' U D'
U2 L' U F2 L' U D2
U2 L' U F2 L' D U
U2 L' U F2 L' D' U
U2 L' U F2 L' D2 U
F2 L' U F2 U2 L' U2
U2 L' U F2 D L' U
U2 L' U F2 D' L' U
U2 L' U F2 D2 L' U
F2 L' U B R F2 B'
F2 L' U B R B' F2
F2 L' U B2 R F2 B2
F2 L' U B2 R B2 F2
F2 L' U' L U2 R F2
F2 L' U' L' U2 R F2
D2 L' U' R B2 L U'
F2 L' U' L2 U2 R F2
U2 L' U' R U' D' L2
U2 L' U' R U2 F2 U
U2 L' U' R D' U' L2
U2 L' U' R D2 B2 U'
U2 L' U' D' R U' L2
U2 L' U' D2 R B2 U'
F2 L' U' D2 B2 U2 R
U2 L' U' D2 B2 R U'
F2 L' U' B U2 R F2
F2 L' U' B' U2 R F2
F2 L' U' B2 U2 R F2
F2 L' U2 L U' R F2
F2 L' U2 L' U' R F2
F2 L' U2 L2 U' R F2
F2 L' U2 D' L2 U' R
F2 L' D R2 U R' D
F2 L' D R2 U R' D'
F2 L' D R2 U R' D2
F2 L' D R2 U D R'
F2 L' D R2 U D' R'
F2 L' D R2 U D2 R'
F2 L' D R2 D U R'
F2 L' D R2 D' U R'
F2 L' D R2 D2 U R'
U2 L' D R2 U' R' U'
F2 L' D B R2 U R'
F2 L' D B' R2 U R'
F2 L' D B2 R2 U R'
F2 L' D' U R D F2
F2 L' D' U2 L2 U' R
U2 L' D' U' R U' L2
F2 L' D2 U R D2 F2
F2 L' D2 U' B2 U2 R
U2 L' D2 U' R B2 U'
U2 L' D2 U' B2 R U'
U2 L' F U F L' U
L2 R' B2 D R' B2 L
U' L' F2 L' U' L U2
U' L' F2 L' B2 U R'
U2 L' F2 U L' U L
F2 L' B R' U R2 F2
F2 L' B R' U F2 R2
F2 L' B R2 U R' F2
F2 L' B R2 U F2 R'
F2 L' B U R F2 D
F2 L' B U R F2 D'
F2 L' B U R F2 D2
F2 L' B U R' F2 R2
F2 L' B U R2 F2 R'
F2 L' B D R2 U R'
R' L2 D R' B2 L R'
R' L2 D R' B2 R' L
F2 L' B' R' U R2 F2
F2 L' B' R' U F2 R2
F2 L' B' R2 U R' F2
F2 L' B' R2 U F2 R'
F2 L' B' U R F2 D
F2 L' B' U R F2 D'
F2 L' B' U R F2 D2
F2 L' B' U R' F2 R2
F2 L' B' U R2 F2 R'
F2 L' B' D R2 U R'
R' L2 D B2 D2 L2 R'
R' L2 D B2 D2 R' L2
F2 L' B2 R' U R2 F2
F2 L' B2 R' U F2 R2
F2 L' B2 R2 U R' F2
F2 L' B2 R2 U F2 R'
F2 L' B2 U R F2 D
F2 L' B2 U R F2 D'
F2 L' B2 U R F2 D2
F2 L' B2 U R' F2 R2
F2 L' B2 U R2 F2 R'
F2 L' B2 D R2 U R'
D' L2 R' D R B2 R'
D' L2 R' D R' B2 R'
D' L2 R' D R2 B2 R'
D2 L2 R' D B2 L2 R'
D2 L2 R' D B2 R' L2
D' L2 R' D B2 R' D
D' L2 R' D B2 R' D'
D' L2 R' D B2 R' D2
D' L2 R' D B2 D R'
D' L2 R' D B2 D' R'
D' L2 R' D B2 D2 R'
D L2 R' D B2 L R'
D L2 R' D B2 R' L
D' L2 R' B2 D R' B2
D' L2 U R U L U2
D2 L2 U R B2 U' R'
D2 L2 U B2 R U' R2
D' L2 U2 L U' R U'
F2 L2 D L R2 U R'
D' L2 D R' D B2 R'
F2 L2 D R2 L U R'
D' L2 D B2 R' D B2
R' L2 B2 D R' B2 L
D' L2 D' R' D B2 R'
D' L2 D' B2 R' D B2
L' U L F2 L' R U
L' U L F2 R L' U
D' L2 D2 R' D B2 R'
D' L2 D2 B2 R' D B2
U' L2 F2 L' U D2 R2
U' L2 F2 L' U' L2 U2
U' L2 F2 L' D' B2 U
U' L2 F2 L' D2 U R2
L2 U R D2 B2 U' R'
L U R D2 B2 U' R2
U' L2 F2 B2 L' U R'
R2 U R' U2 F2 U R
R' U R2 U2 F2 U R
F2 L2 B' U R F2 B
F2 L2 B' U R B F2
D' L2 B2 R' U R2 U'
D' L2 B2 R' D B2 D
D' L2 B2 R' D B2 D'
D' L2 B2 R' D B2 D2
D' L2 B2 R' B D B2
D' L2 B2 R' B' D B2
L U D R F2 U' L'
D' L2 B2 R' B2 D B2
D' L2 B2 U R U' R2
D' L2 B2 D R' D B2
D' L2 B2 D' R' D B2
D L2 B2 R' D B2 L
D' L2 B2 D2 R' D B2
U' L2 B2 F2 L' U R'
L2 U D2 R B2 U' R'
F2 R L F2 D' L2 B2
F2 R L F2 D' B2 L2
L U D2 R B2 U' R
F2 R L' U F2 D R2
L2 U D2 B2 R U' R2
F2 R L' D R2 U R2
L U D2 B2 R U' R
L' U F2 L' U2 L U'
U R U L' U F2 U
U R U L' U2 D' L2
U R U L' D R2 U2
U R U L' D' U2 L2
U R U D L' R2 U2
U R U D R2 L' U2
U R U D' L' U2 L'
U' R U2 R' F2 U R
U' R U2 F2 R' U R2
U2 R U2 F2 U R F2
F2 R D L' R2 U R2
U R U2 F2 U R D
U R U2 F2 U R D'
U R U2 F2 U R D2
U R U2 F2 U D R
U R U2 F2 U D' R
U R U2 F2 U D2 R
U R U2 F2 D U R
U R U2 F2 D' U R
U R U2 F2 D2 U R
U R U2 F2 B U R
U R U2 F2 B' U R
U R U2 F2 B2 U R
F2 R D R2 L' U R2
U R U2 B F2 U R
U R U2 B' F2 U R
U R U2 B2 F2 U R
U R D U L' R2 U2
U R D U R2 L' U2
U R D' U L' U2 L'
U R D' F2 U' L2 R
U R D' F2 U' R L2
U R D2 F2 B2 U' R
U R D2 B2 U L' U2
U R D2 B2 F2 U' R
L U' L' F2 L' U R
L2 U' L2 F2 L' U R
L' U' R U2 R' F2 U
L' U' R U2 F2 R' U
L' U' R D2 B2 L U'
D' R F2 U' L2 R F2
U R F' U2 F' U R
D' R F2 U' R L2 F2
D' R F2 U' R F2 L2
F2 R F2 U' F2 L' U
D2 R F2 B2 U' R F2
D R F2 U' L' R F2
D R F2 U' R L' F2
U R B U2 F2 U R
R U' R2 D' F2 L2 R
R U' R2 D' F2 R L2
U R B' U2 F2 U R
D2 R B2 F2 U' R F2
L' U' D2 R B2 L U'
U R B2 U2 F2 U R
D' R' L' D L' B2 R'
F2 R' L' U R' F2 R'
F2 R' L' U R2 F2 D
F2 R' L' U R2 F2 D'
F2 R' L' U R2 F2 D2
F2 R' L' U F R2 F
F2 R' L' U F2 R2 D
F2 R' L' U F2 R2 D'
F2 R' L' U F2 R2 D2
F2 R' L' D R2 B2 U
U2 R' L' D R2 U2 B2
F2 R' L' D B2 R2 U
U2 R' L' D' F2 U2 L2
F2 R' L' B U R2 F2
F2 R' L' B U F2 R2
D' R' L2 D R B2 R'
D' R' L2 D R' B2 R'
D' R' L2 D R2 B2 R'
D2 R' L2 D B2 L2 R'
D2 R' L2 D B2 R' L2
F2 R' L' B' U R2 F2
F2 R' L' B' U F2 R2
D' R' L2 D B2 R' D
D' R' L2 D B2 R' D'
D' R' L2 D B2 R' D2
D' R' L2 D B2 D R'
D' R' L2 D B2 D' R'
D' R' L2 D B2 D2 R'
F2 R' L' B2 U R2 F2
F2 R' L' B2 U F2 R2
D' R' L2 B2 D R' B2
D R' L2 D B2 L R'
D R' L2 D B2 R' L
L' U' F2 L' U D R2
L' U' F2 L' U2 F2 U'
L' U' F2 L' D U R2
L' U' F2 L' D2 B2 U
R' U' F2 U D R B2
R' U' F2 U D B2 R
R' U' F2 U2 R2 U' R'
L2 U' F2 L' U D2 R2
L2 U' F2 L' U' L2 U2
L2 U' F2 L' D' B2 U
L2 U' F2 L' D2 U R2
R' U' F2 D U R B2
R' U' F2 D U B2 R
L' U' F2 U2 F2 R U'
R' U' F2 D2 L2 U R
L' U' F2 D L' U R2
L' U' F2 D2 L' B2 U
L' U' F2 D2 B2 L' U
L U' F2 L' U' L' U2
R2 U' F2 U R D B2
R2 U' F2 U2 R' U' R2
L2 U' F2 B2 L' U R'
R2 U' F2 B U R B
R2 U' F2 B2 L U R
L U' F2 D' L' B2 U
L U' F2 D' B2 L' U
L U' F2 D2 L' U R2
R U' F2 B U R B'
R U' F2 B U B' R
R U' F2 B' U B R
R U' F2 B2 U R B2
R U' F2 B2 U B2 R
R2 U' B F2 U R B
D2 R' D L2 R B2 R'
D2 R' D L2 R' B2 R'
D2 R' D L2 R2 B2 R'
D2 R' D L2 B2 R' D
D2 R' D L2 B2 R' D'
D2 R' D L2 B2 R' D2
D2 R' D L2 B2 D R'
D2 R' D L2 B2 D' R'
D2 R' D L2 B2 D2 R'
D2 R' D R L2 B2 R'
D2 R' D R' L2 B2 R'
D2 R' D R2 L2 B2 R'
R U' B F2 U R B'
R U' B F2 U B' R
F2 R' D L' R2 B2 U
U2 R' D L' R2 U2 B2
F2 R' D L' B2 R2 U
F2 R' D R2 L' B2 U
U2 R' D R2 L' U2 B2
F2 R' D R2 B2 L' U
D R' D L2 B2 L R'
D R' D L2 B2 R' L
B' R' D' L2 D2 B2 R'
F2 R' D B2 L' R2 U
F2 R' D B2 R2 L' U
R U' B' F2 U B R
B2 R' D' L2 D2 B2 R'
U2 R' D' L' F2 R U2
D R' D B2 L D2 R2
L2 U' B2 F2 L' U R'
B R' D' L2 D2 B2 R'
R2 U' B2 F2 L U R
L2 U2 L U F2 L' U
U2 R' D' F2 U2 L2 R
U2 R' D' F2 U2 R L2
R U' B2 F2 U R B2
R U' B2 F2 U B2 R
R' U2 L' D R2 U2 B2
R' U2 L' D' F2 U2 L2
R U2 L' U L F2 U
R U2 L' U F2 L U
F R' F L' U R F'
L U2 L2 U F2 L' U
D' R' B L2 D B2 R'
F2 R' B L' U R2 F2
F2 R' B L' U F2 R2
D' R' B' L2 D B2 R'
R' U2 D L' R2 U2 B2
F2 R' B' L' U R2 F2
F2 R' B' L' U F2 R2
R' U2 D R2 L' U2 B2
D' R' B2 L2 D B2 R'
R' U2 D' L' F2 R U2
F2 R' B2 L' U R2 F2
F2 R' B2 L' U F2 R2
R' U2 D' F2 U2 L2 R
R' U2 D' F2 U2 R L2
F2 R2 L' U R F2 R2
F2 R2 L' U R' F2 D
F2 R2 L' U R' F2 D'
F2 R2 L' U R' F2 D2
F2 R2 L' U F R' F
F2 R2 L' U F2 R' D
F2 R2 L' U F2 R' D'
F2 R2 L' U F2 R' D2
F2 R2 L' U F2 D R'
F2 R2 L' U F2 D' R'
F2 R2 L' U F2 D2 R'
F2 R2 L' D R2 U R
F2 R2 U F2 R' D B2
F2 R2 D L' R2 U R
F2 R2 D R2 L' U R
R' D L B2 D2 L2 R2
R' D L B2 D2 R2 L2
R' D L2 R' B2 L R'
R' D L2 R' B2 R' L
R' D L2 B2 D2 L2 R'
R' D L2 B2 D2 R' L2
R' D R' L2 B2 L R'
R' D R' L2 B2 R' L
R' D R' B2 L D2 R2
L D R F2 U' L' F2
L2 D R' D B2 L R'
L2 D R' D B2 R' L
L D R' D B2 L R2
L D R' D B2 R2 L
R' D U2 L' R2 U2 B2
L D U R F2 U' L'
R' D U2 R2 L' U2 B2
F2 U L' U L R F2
F2 U L' U R L F2
F2 U L' U R F2 L
U2 D L' R2 U' R' U'
R' D F2 R F2 L' B2
R' D F2 R F2 B2 L'
R' D F2 R B2 F2 L'
D' U R U L' U2 L'
B' U R U2 F2 U R
F2 U R U' L' U F2
B2 U R U2 F2 U R
D' U R F2 U' L2 R
D' U R F2 U' R L2
R' D F2 B2 R F2 L'
D2 U R F2 B2 U' R
D2 U R B2 U L' U2
D2 U R B2 F2 U' R
D U R U L' R U2
D U R U R L' U2
F2 U R F2 U R U'
B U R U2 F2 U R
U D R U L' R U2
U D R U R L' U2
D U R F2 U' L' R
D U R F2 U' R L'
R D F2 U' R F2 L'
U D R F2 U' L' R
U D R F2 U' R L'
U2 D R2 L' U' R' U'
R' D B2 L D2 L2 R2
R' D B2 L D2 R2 L2
F2 U R2 F2 R' D B2
R' D B2 U2 L' R2 U2
R' D B2 U2 R2 L' U2
R' D B2 F2 R F2 L'
L2 D B2 R' D B2 L
R' D' L D2 L R2 B2
R' D' L D2 L B2 R2
R' D' L D2 R2 L B2
R' D' L' D2 L' B2 R'
R' D' L' F2 R U2 F2
R' D' L' F2 U2 F2 L'
R' D' L2 R D2 B2 R'
R' D' L2 R' D2 B2 R'
R' D' L2 R2 D2 B2 R'
R' D' L2 U2 L F2 U2
R' D' L2 U2 F2 L U2
R' D' L2 D2 R B2 R'
R' D' L2 D2 R' B2 R'
R' D' L2 D2 R2 B2 R'
R' D' L2 D2 B2 R' D
R' D' L2 D2 B2 R' D'
R' D' L2 D2 B2 R' D2
R' D' L2 D2 B2 D R'
R' D' L2 D2 B2 D' R'
R' D' L2 D2 B2 D2 R'
R' D' L2 B2 R' D2 B2
R' D' L2 B2 D2 R' B2
R2 D' L2 R D B2 R'
F U F L' B' U F2
R' D' R L2 D2 B2 R'
R D' L2 R2 D B2 R'
R' D' R' L2 D2 B2 R'
R2 D' R L2 D B2 R'
D2 U B2 R U L' U2
D2 U B2 R F2 U' R
R' D' R2 L2 D2 B2 R'
R D' R2 L2 D B2 R'
U2 D' L' U' R U' L'
R' D' U2 L' F2 R U2
R' D' U2 F2 U2 L2 R
R' D' U2 F2 U2 R L2
U D' R U L' U2 L'
U D' R F2 U' L2 R
U D' R F2 U' R L2
R' D' F2 U2 L2 R F2
R' D' F2 U2 R L2 F2
R' D' F2 U2 R F2 L2
R' D' B L2 D2 B2 R'
R' D' B' L2 D2 B2 R'
R D' F2 U' L2 R F2
R D' F2 U' R L2 F2
R D' F2 U' R F2 L2
U' D' F2 L' U L' R
U' D' F2 L' U R L'
D' U' F2 L' U L' R
D' U' F2 L' U R L'
R' D' B2 L2 D2 B2 R'
L2 D' B2 L2 R' D B2
L2 D' B2 R' L2 D B2
D' U2 L' U' R U' L'
B' U' F2 L' U R D
B' U' F2 L' U R D'
B' U' F2 L' U R D2
B' U' F2 L' U D R
B' U' F2 L' U D' R
B' U' F2 L' U D2 R
B' U' F2 L' D U R
B' U' F2 L' D' U R
B' U' F2 L' D2 U R
B' U' F2 L' B U R
B' U' F2 L' B' U R
B' U' F2 L' B2 U R
D2 U2 L' U' R B2 U'
D2 U2 L' U' B2 R U'
B2 U' F2 L' U R D
B2 U' F2 L' U R D'
B2 U' F2 L' U R D2
B2 U' F2 L' U D R
B2 U' F2 L' U D' R
B2 U' F2 L' U D2 R
B2 U' F2 L' D U R
B2 U' F2 L' D' U R
B2 U' F2 L' D2 U R
B2 U' F2 L' B U R
B2 U' F2 L' B' U R
B2 U' F2 L' B2 U R
B' U' F2 D L' U R
B' U' F2 D' L' U R
R2 D2 R D L2 B2 R'
B' U' F2 D2 L' U R
U2 D2 L' U' R B2 U'
B' U' F2 B L' U R
B2 U' F2 D L' U R
U2 D2 L' U' B2 R U'
B' U' F2 B' L' U R
B2 U' F2 D' L' U R
B' U' F2 B2 L' U R
B2 U' F2 D2 L' U R
B2 U' F2 B L' U R
B2 U' F2 B' L' U R
B2 U' F2 B2 L' U R
D U2 L' R2 U' R' U'
B U' F2 L' U R D
B U' F2 L' U R D'
B U' F2 L' U R D2
B U' F2 L' U D R
B U' F2 L' U D' R
B U' F2 L' U D2 R
B U' F2 L' D U R
B U' F2 L' D' U R
B U' F2 L' D2 U R
B U' F2 L' B U R
B U' F2 L' B' U R
B U' F2 L' B2 U R
L2 D2 R' D B2 L2 R'
L2 D2 R' D B2 R' L2
B U' F2 D L' U R
B U' F2 D' L' U R
B U' F2 D2 L' U R
B' U' B F2 L' U R
B U' F2 B L' U R
B U' F2 B' L' U R
B U' F2 B2 L' U R
B2 U' B F2 L' U R
L D2 R' D L2 R' B2
L D2 R' D R' L2 B2
L D2 R' D R' B2 L2
B' U' B' F2 L' U R
B U' B F2 L' U R
B2 U' B' F2 L' U R
L D2 R2 U R' B2 U'
L2 D2 U R B2 U' R'
R D2 R2 D L2 B2 R'
L' D2 U' R B2 L U'
L2 D2 U B2 R U' R2
B' U' B2 F2 L' U R
B U' B' F2 L' U R
B2 U' B2 F2 L' U R
U D2 R F2 B2 U' R
L D2 U R B2 U' R
U D2 R B2 U L' U2
U D2 R B2 F2 U' R
L D2 U B2 R U' R
B U' B2 F2 L' U R
D U2 R2 L' U' R' U'
B' U2 L' U F2 L' U
B2 U2 L' U F2 L' U
B U2 L' U F2 L' U
R D2 F2 B2 U' R F2
U D2 B2 R U L' U2
U D2 B2 R F2 U' R
R D2 B2 F2 U' R F2
F' U2 F' U R F2 B
F' U2 F' U R B F2
L' F U F L' U F2
U2 F U F L' B' U
F2 D L' R2 U R' D
F2 D L' R2 U R' D'
F2 D L' R2 U R' D2
F2 D L' R2 U D R'
F2 D L' R2 U D' R'
F2 D L' R2 U D2 R'
F2 D L' R2 D U R'
F2 D L' R2 D' U R'
F2 D L' R2 D2 U R'
F2 D L' U D' R F2
F2 D L' D' U R F2
F2 D L' B R2 U R'
F2 D L' B' R2 U R'
F2 D L' B2 R2 U R'
F2 D R2 L' U R' D
F2 D R2 L' U R' D'
F2 D R2 L' U R' D2
F2 D R2 L' U D R'
F2 D R2 L' U D' R'
F2 D R2 L' U D2 R'
F2 D R2 L' D U R'
F2 D R2 L' D' U R'
F2 D R2 L' D2 U R'
F2 D R2 D L' U R'
F2 D R2 D' L' U R'
F2 D R2 D2 L' U R'
U' F' L F' L' U R
U' F' L' F' L' U R
U' F' L2 F' L' U R
F2 D B L' R2 U R'
F2 D B R2 L' U R'
F2 D B' L' R2 U R'
F2 D B' R2 L' U R'
F2 D B2 L' R2 U R'
F2 D B2 R2 L' U R'
F2 D' L' U2 L' U' R
B' D' L2 R' D B2 R'
B2 D' L2 R' D B2 R'
B' D' L2 B2 R' D B2
U F' U2 F' U R B
B2 D' L2 B2 R' D B2
R F' U2 F' U R F2
B D' L2 R' D B2 R'
B' D' R' L2 D B2 R'
B D' L2 B2 R' D B2
B2 D' R' L2 D B2 R'
B D' R' L2 D B2 R'
U' F2 L U R D' B2
U' F2 L U D' R B2
U' F2 L U D' B2 R
U' F2 L D' U R B2
U' F2 L D' U B2 R
U' F2 L B L2 U R
U' F2 L B' L2 U R
U' F2 L B2 L2 U R
U' F2 L' U R2 D R'
U' F2 L' U R2 D' R'
U' F2 L' U R2 D2 R'
U' F2 L' U D R D
U' F2 L' U D R D'
U' F2 L' U D R D2
U' F2 L' U D' R D
U' F2 L' U D' R D'
U' F2 L' U D' R D2
U' F2 L' U D2 R D
U' F2 L' U D2 R D'
U' F2 L' U D2 R D2
U' F2 L' U B R B'
U' F2 L' U B2 R B2
U' F2 L' U' L U2 R
U' F2 L' U' L' U2 R
U' F2 L' U' L2 U2 R
U' F2 L' D U R D
U' F2 L' D U R D'
U' F2 L' D U R D2
D' F2 L' U L' R F2
U' F2 L' D B U R
D' F2 L' U R L' F2
U' F2 L' D B' U R
U' F2 L' D B2 U R
U' F2 L' D' U R D
U' F2 L' D' U R D'
U' F2 L' D' U R D2
U' F2 L' D' B U R
U' F2 L' D' B' U R
U' F2 L' D' B2 U R
U' F2 L' D2 U R D
U' F2 L' D2 U R D'
U' F2 L' D2 U R D2
U' F2 L' D2 B U R
U' F2 L' D2 B' U R
U' F2 L' D2 B2 U R
L' F2 L' U' L U2 F2
U' F2 L' B U R D
U' F2 L' B U R D'
U' F2 L' B U R D2
U' F2 L' B U D R
U' F2 L' B U D' R
U' F2 L' B U D2 R
U' F2 L' B D U R
U' F2 L' B D' U R
U' F2 L' B D2 U R
U' F2 L' B' U R D
U' F2 L' B' U R D'
U' F2 L' B' U R D2
U' F2 L' B' U D R
U' F2 L' B' U D' R
U' F2 L' B' U D2 R
U' F2 L' B' D U R
U' F2 L' B' D' U R
U' F2 L' B' D2 U R
U' F2 L' B2 U R D
U' F2 L' B2 U R D'
U' F2 L' B2 U R D2
U' F2 L' B2 U D R
U' F2 L' B2 U D' R
U' F2 L' B2 U D2 R
U' F2 L' B2 D U R
U' F2 L' B2 D' U R
U' F2 L' B2 D2 U R
L2 F2 L' U F2 D2 R2
L2 F2 L' U' L2 U2 F2
L' F2 L' B2 U R' F2
L' F2 L' B2 U F2 R'
U' F2 L2 D L U R
U' F2 L2 D' L U R
U' F2 L2 D2 L U R
D F2 L' U R F2 L'
U' F2 L2 B' U R B
L F2 L' R U F2 R
L F2 L' R' U F2 R
L F2 L' R2 U F2 R
L F2 L' U R F2 R
L F2 L' U R' F2 R
L F2 L' U R2 F2 R
L F2 L' U F2 R D
L F2 L' U F2 R D'
L F2 L' U F2 R D2
L F2 L' U F2 D R
L F2 L' U F2 D' R
L F2 L' U F2 D2 R
L F2 L' U' L' U2 F2
U F2 L' U2 L U' R
L F2 L' B U F2 R
L F2 L' B' U F2 R
U F2 L' B2 R' U R2
L F2 L' B2 U F2 R
L F2 R L' U F2 R
R' F2 R2 U' R' F2 L'
U' F2 U R U' L' U
L F2 R' L' U F2 R
L' F2 U L' U L F2
L' F2 U L' U F2 L
U2 F2 U L' U L R
U2 F2 U L' U R L
L F2 R2 L' U F2 R
R2 F2 U R F2 D B2
R' F2 U2 R2 U' R' F2
R' F2 U2 R2 U' F2 R'
R F2 U R F2 D2 B2
U' F2 D L' U R D
U' F2 D L' U R D'
U' F2 D L' U R D2
U' F2 D L' U D R
U' F2 D L' U D' R
U' F2 D L' U D2 R
U' F2 D L' D U R
U' F2 D L' D' U R
U' F2 D L' D2 U R
U' F2 D L' B U R
U' F2 D L' B' U R
U' F2 D L' B2 U R
F2 D2 L' U R D2 F2
R' F2 D R2 U R' B2
F2 D2 L' U D2 R F2
F2 D2 L' U' B2 U2 R
U' F2 D B L' U R
R2 F2 U2 R' U' R2 F2
R2 F2 U2 R' U' F2 R2
F2 D2 L' D' R2 U R'
U' F2 D B' L' U R
F2 D2 L' D2 U R F2
U' F2 D B2 L' U R
R F2 U' R' F2 L' R2
