D2 L' R2 F2 U' F'
U2 L2 R B2 U F'
U2 L2 B2 R U F'
U2 R L2 B2 U F'
U' R D' F' R2 B2
U' R D' F' B2 R2
U' R D' B2 F' R2
U' R F' D' R2 B2
U' R F' D' B2 R2
R' U' D' R2 F' B2
R' U' D' R2 B2 F'
U2 R B2 L2 U F'
R U' D' F' R2 B2
R U' D' F' B2 R2
R U' D' B2 F' R2
R U' F' D' R2 B2
R U' F' D' B2 R2
U' R' D' R2 F' B2
U' R' D' R2 B2 F'
R U2 L2 B2 U F'
U2 R' B2 L2 U F
D2 R2 L' F2 U' F'
R' U2 B2 L2 U F
R U2 B2 L2 U F'
D2 R2 F2 L' U' F
R' D' U' R2 F' B2
R' D' U' R2 B2 F'
R D' U' F' R2 B2
R D' U' F' B2 R2
R D' U' B2 F' R2
R' D2 R2 F2 U' F
R' D2 F2 R2 U' F'
R D2 F2 R2 U' F
D' F L' U' R2 B2
D' F L' U' B2 R2
D2 F2 L' R2 U' F
D2 F2 R2 L' U' F
U2 B2 L2 R U F'
U2 B2 R L2 U F'
U' R F' D' B' R2 B'
U' R F' D' B2 R2 D
U' R F' D' B2 R2 D'
U' R F' D' B2 R2 D2
R U' L2 B2 U L2 F'
R U' L2 B2 U F' L2
D2 R F2 U2 L' U F
U R F' D' B2 L R2
U R F' D' B2 R2 L
U' R F2 D' R2 F B2
U' R F2 D' R2 B2 F
U' R F2 D' F R2 B2
U' R F2 D' F B2 R2
U' R F2 D' B2 R2 F
U' R F2 D' B2 F R2
U2 R B L2 B U F'
R' U' R2 D' F' R2 B2
R' U' R2 D' F' B2 R2
R' U' R2 D' B2 F' R2
R' U' R2 F' D' R2 B2
R' U' R2 F' D' B2 R2
R U' R2 D' R2 F' B2
R U' R2 D' R2 B2 F'
U' R B2 L2 U L2 F'
U' R B2 L2 U F' L2
R' U' D' R B2 R F'
U2 R B2 L2 U D F'
U2 R B2 L2 U D' F'
U2 R B2 L2 U D2 F'
U2 R B2 L2 U F' D
U2 R B2 L2 U F' D'
U2 R B2 L2 U F' D2
U2 R B2 L2 D U F'
U2 R B2 L2 D' U F'
U2 R B2 L2 D2 U F'
R' U' D' R2 F' B2 D
R' U' D' R2 F' B2 D'
R' U' D' R2 F' B2 D2
R' U' D' R2 B2 D F'
R' U' D' R2 B2 D' F'
R' U' D' R2 B2 D2 F'
R' U' D' R2 B2 F' D
R' U' D' R2 B2 F' D'
R' U' D' R2 B2 F' D2
D' R B2 D L2 R F'
D' R B2 D R L2 F'
D' R B2 D R F' L2
R' U' D' F R2 F' B2
R' U' D' F R2 B2 F'
R' U' D' F' R2 F' B2
R' U' D' F' R2 B2 F'
R' U' D' F2 R2 F' B2
R' U' D' F2 R2 B2 F'
U2 R B2 U D' F' B2
U2 R B2 U D' B2 F'
U2 R B2 U F' D' B2
R U' D F' D2 R2 B
U R B2 L2 U L' F'
U2 R B2 D' U F' B2
U2 R B2 D' U B2 F'
R U' D' F R2 F2 B2
R U' D' F R2 B2 F2
R U' D' F B2 R2 F2
R U' D' F' R B2 R
R U' D' F' R2 B2 D
R U' D' F' R2 B2 D'
R U' D' F' R2 B2 D2
R U' D' F' B' R2 B'
R U' D' F' B2 R2 D
R U' D' F' B2 R2 D'
R U' D' F' B2 R2 D2
R U' D' F2 R2 F B2
R U' D' F2 R2 B2 F
R U' D' F2 B2 R2 F
R U' D' B' F' R2 B'
R U' D' B2 F R2 F2
R U' D' B2 F' R2 D
R U' D' B2 F' R2 D'
R U' D' B2 F' R2 D2
R U' D' B2 F2 R2 F
R' U' F D' R2 F' B2
R' U' F D' R2 B2 F'
U2 R' L2 U D' R2 F'
U2 R' L2 D' U R2 F'
U' R' L2 B2 U L2 F
R' U' F' D' R2 F' B2
R' U' F' D' R2 B2 F'
U2 R' L2 B2 U' B' U2
R U' F' R D' R2 B2
R U' F' R D' B2 R2
R U' F' R' D' R2 B2
R U' F' R' D' B2 R2
R U' F' R2 D' R2 B2
R U' F' R2 D' B2 R2
U2 R' U D' R2 F' B2
U2 R' U D' R2 B2 F'
R U' F' U' L2 B2 U
R U' F' U' B2 L2 U
R' U' F2 D' R2 F' B2
R' U' F2 D' R2 B2 F'
R U' F' D' R B2 R
R U' F' D' R2 B2 D
R U' F' D' R2 B2 D'
R U' F' D' R2 B2 D2
R U' F' D' B' R2 B'
R U' F' D' B2 R2 D
R U' F' D' B2 R2 D'
R U' F' D' B2 R2 D2
F' R' U' D' R2 F' B2
F' R' U' D' R2 B2 F'
F2 R' U' D' R2 F' B2
F2 R' U' D' R2 B2 F'
U' R' U' B2 L2 U F
R U' F2 D' R2 F B2
R U' F2 D' R2 B2 F
R U' F2 D' F R2 B2
R U' F2 D' F B2 R2
R U' F2 D' B2 R2 F
R U' F2 D' B2 F R2
F R' U' D' R2 F' B2
F R' U' D' R2 B2 F'
F' R' U2 B2 L2 U F
F2 R' U2 B2 L2 U F
R' U' B2 L2 U F L2
F R' U2 B2 L2 U F
U' R' D' R B2 R F'
U' R' D' R2 F' B2 D
U' R' D' R2 F' B2 D'
U' R' D' R2 F' B2 D2
U' R' D' R2 B2 D F'
U' R' D' R2 B2 D' F'
U' R' D' R2 B2 D2 F'
U' R' D' R2 B2 F' D
U' R' D' R2 B2 F' D'
U' R' D' R2 B2 F' D2
F' R' D' U' R2 F' B2
F' R' D' U' R2 B2 F'
R U' B2 L2 U L2 F'
R U' B2 L2 U F' L2
U' R' D' F R2 F' B2
U' R' D' F R2 B2 F'
U' R' D' F' R2 F' B2
U' R' D' F' R2 B2 F'
U' R' D' F2 R2 F' B2
U' R' D' F2 R2 B2 F'
U2 R' D' U R2 F' B2
U2 R' D' U R2 B2 F'
F2 R' D' U' R2 F' B2
F2 R' D' U' R2 B2 F'
U R' D' R2 F' B2 L
U R' D' R2 B2 L F'
U R' D' R2 B2 F' L
L U2 L R B2 U F'
F R' D' U' R2 F' B2
F R' D' U' R2 B2 F'
F' R' D2 R2 F2 U' F
L' U2 L' R B2 U F'
F2 R' D2 R2 F2 U' F
F' R' D2 F2 R2 U' F'
D' R' F L' U' R' B2
F2 R' D2 F2 R2 U' F'
F R' D2 R2 F2 U' F
L U2 L B2 R U F'
L' U2 L' B2 R U F'
R' U2 L2 R2 B2 U F'
R' U2 L2 U D' R2 F'
F R' D2 F2 R2 U' F'
U' R' F D' R2 F' B2
U' R' F D' R2 B2 F'
R' U2 L2 D' U R2 F'
R' U2 L2 B2 U' B' U2
R U2 L' B2 L' U F'
L' U2 R L' B2 U F'
R U2 L2 U D' F' R2
R U2 L2 U F' D' R2
U' R' F' D' R2 F' B2
U' R' F' D' R2 B2 F'
R U2 L2 D' U F' R2
D2 R' F2 L' R' U' F
D2 R' F2 R' L' U' F
D' R' F2 U' R' F' B2
D' R' F2 U' R' B2 F'
L U2 R L B2 U F'
R U2 L2 B2 U D F'
R U2 L2 B2 U D' F'
R U2 L2 B2 U D2 F'
R U2 L2 B2 U F' D
R U2 L2 B2 U F' D'
R U2 L2 B2 U F' D2
L' U2 R B2 L' U F'
R U2 L2 B2 D U F'
R U2 L2 B2 D' U F'
R U2 L2 B2 D2 U F'
U' R' F2 D' R2 F' B2
U' R' F2 D' R2 B2 F'
L2 U2 R B2 L U F'
R' U2 R2 L2 B2 U F'
R' U2 R2 B2 L2 U F'
U' R' B2 L2 U F L2
R U2 R2 B2 L2 U F
U2 R' B2 L2 R U F
U2 R' B2 L2 R' U F
U2 R' B2 L2 R2 U F
U2 R' B2 L2 U D F
U2 R' B2 L2 U D' F
U2 R' B2 L2 U D2 F
U2 R' B2 L2 U F D
U2 R' B2 L2 U F D'
U2 R' B2 L2 U F D2
U2 R' B2 L2 D U F
U2 R' B2 L2 D' U F
U2 R' B2 L2 D2 U F
U2 R' B2 R L2 U F
U2 R' B2 R' L2 U F
U2 R' B2 R2 L2 U F
D2 R2 L F2 L2 U' F
D2 R2 L F2 U B' U2
D2 R2 L' U' D R2 F
D2 R2 L' U' D F R2
D2 R2 L' D U' R2 F
D2 R2 L' D U' F R2
D2 R2 L' F2 L U' F'
D2 R2 L' F2 L' U' F'
D2 R2 L' F2 L2 U' F'
D2 R2 L' F2 U' D F'
D2 R2 L' F2 U' D' F'
D2 R2 L' F2 U' D2 F'
D2 R2 L' F2 U' F' D
D2 R2 L' F2 U' F' D'
D2 R2 L' F2 U' F' D2
D2 R2 L' F2 D U' F'
D2 R2 L' F2 D' U' F'
D2 R2 L' F2 D2 U' F'
D2 R2 L2 F2 L U' F
U2 R2 L2 B2 R' U F'
R U2 B L2 B U F'
R' U2 B2 L2 R U F
R' U2 B2 L2 R' U F
R' U2 B2 L2 R2 U F
R' U2 B2 L2 U D F
R' U2 B2 L2 U D' F
R' U2 B2 L2 U D2 F
R' U2 B2 L2 U F D
R' U2 B2 L2 U F D'
R' U2 B2 L2 U F D2
R' U2 B2 L2 D U F
R' U2 B2 L2 D' U F
R' U2 B2 L2 D2 U F
R' U2 B2 R L2 U F
D2 R2 D F L' U' R2
R' U2 B2 R' L2 U F
R' U2 B2 R2 L2 U F
L' U2 B2 L' R U F'
L' U2 B2 R L' U F'
L' U2 B2 D2 L' U F
U' R2 D' R' F' R' B2
R U2 B2 L2 U D F'
R U2 B2 L2 U D' F'
R U2 B2 L2 U D2 F'
R U2 B2 L2 U F' D
R U2 B2 L2 U F' D'
R U2 B2 L2 U F' D2
R U2 B2 L2 D U F'
R U2 B2 L2 D' U F'
R U2 B2 L2 D2 U F'
U' R2 D' B2 R' F' R'
R U2 B2 U D' F' B2
R U2 B2 U D' B2 F'
R U2 B2 U F' D' B2
R U2 B2 D' U F' B2
R U2 B2 D' U B2 F'
D2 R2 F L' U' F R
D2 R2 F D F L' U'
D2 R2 F' L' F' U' F2
D2 R2 F2 L U B' U2
D2 R2 F2 L' U' D F
D2 R2 F2 L' U' D' F
D2 R2 F2 L' U' D2 F
D2 R2 F2 L' U' F D
D2 R2 F2 L' U' F D'
D2 R2 F2 L' U' F D2
D2 R2 F2 L' D U' F
D2 R2 F2 L' D' U' F
D2 R2 F2 L' D2 U' F
D2 R2 F2 U' L' F L
R' D U L2 F2 B U2
R' D U L2 B F2 U2
R' D U F2 L2 B U2
R' D U F2 B L2 U2
R' D U B L2 F2 U2
R' D U B F2 L2 U2
U2 R2 B2 L2 R' U F'
U2 R2 B2 R' L2 U F'
R D U L2 F2 U2 F
R D U F2 L2 B' U2
R D U' F' D2 R2 B
R' D' L U' R2 F' B2
R' D' L U' R2 B2 F'
R' D' L' U' R2 F' B2
R' D' L' U' R2 B2 F'
R D' L U' F' R2 B2
R D' L U' F' B2 R2
R D' L U' B2 F' R2
R' D' L2 U' R2 F' B2
R' D' L2 U' R2 B2 F'
R D' L' U' F' R2 B2
R D' L' U' F' B2 R2
R D' L' U' B2 F' R2
R' D' R U' R F' B2
R' D' R U' R B2 F'
R' D' R U' B2 R F'
R D' L2 U' F' R2 B2
R D' L2 U' F' B2 R2
R D' L2 U' B2 F' R2
R2 D' R' U' F' R' B2
R' D' R2 F' B2 D L2
R' D' R2 B2 D L2 F'
R' D' R2 B2 D F' L2
R' D' R2 B2 F' D L2
R' D' U B U2 B R2
R' D' U' R B2 R F'
R' D' U' R2 F' B2 D
R' D' U' R2 F' B2 D'
R' D' U' R2 F' B2 D2
R' D' U' R2 B2 D F'
R' D' U' R2 B2 D' F'
R' D' U' R2 B2 D2 F'
R' D' U' R2 B2 F' D
R' D' U' R2 B2 F' D'
R' D' U' R2 B2 F' D2
R' D' U' F R2 F' B2
R' D' U' F R2 B2 F'
R' D' U' F' R2 F' B2
R' D' U' F' R2 B2 F'
R' D' U' F2 R2 F' B2
R' D' U' F2 R2 B2 F'
R D' R2 B2 D L2 F
R' D' F U' R2 F' B2
R' D' F U' R2 B2 F'
D' U' R B2 D R F'
U' D' R B2 D R F'
R D' U' F R2 F2 B2
R D' U' F R2 B2 F2
R D' U' F B2 R2 F2
R D' U' F' R B2 R
R D' U' F' R2 B2 D
R D' U' F' R2 B2 D'
R D' U' F' R2 B2 D2
R D' U' F' B' R2 B'
R D' U' F' B2 R2 D
R D' U' F' B2 R2 D'
R D' U' F' B2 R2 D2
R D' U' F2 R2 F B2
R D' U' F2 R2 B2 F
R D' U' F2 B2 R2 F
R D' U' B' F' R2 B'
R D' U' B2 F R2 F2
R D' U' B2 F' R2 D
R D' U' B2 F' R2 D'
R D' U' B2 F' R2 D2
R D' U' B2 F2 R2 F
R' D' F' U' R2 F' B2
R' D' F' U' R2 B2 F'
R D' F U' R2 F2 B2
R D' F U' R2 B2 F2
R D' F U' F2 R2 B2
R D' F U' F2 B2 R2
R D' F U' B2 R2 F2
R D' F U' B2 F2 R2
R' D' F2 U' R2 F' B2
R' D' F2 U' R2 B2 F'
F' U' R D' F' R2 B2
F' U' R D' F' B2 R2
F' U' R D' B2 F' R2
F' U' R F' D' R2 B2
F' U' R F' D' B2 R2
F2 U' R D' F' R2 B2
F2 U' R D' F' B2 R2
F2 U' R D' B2 F' R2
R D' F' R2 B2 D L2
F2 U' R F' D' R2 B2
F2 U' R F' D' B2 R2
R D' F' B2 R2 D L2
F' U' R' D' R2 F' B2
F' U' R' D' R2 B2 F'
F2 U' R' D' R2 F' B2
F2 U' R' D' R2 B2 F'
F U' R D' F' R2 B2
F U' R D' F' B2 R2
F U' R D' B2 F' R2
R D' F2 U' R2 F B2
R D' F2 U' R2 B2 F
R D' F2 U' F R2 B2
R D' F2 U' F B2 R2
R D' F2 U' B2 R2 F
R D' F2 U' B2 F R2
F U' R F' D' R2 B2
F U' R F' D' B2 R2
F U' R' D' R2 F' B2
F U' R' D' R2 B2 F'
R' D' B2 R2 D L2 F
R' D2 L R2 F2 U' F
R' D2 L F2 R2 U' F'
R' D2 L' R2 F2 U' F
D' U' B2 R D R F'
U' D' B2 R D R F'
R' D2 L' F2 R2 U' F'
R D' B2 F' R2 D L2
R' D2 L2 R2 F2 U' F
R D2 L F2 R2 U' F
R' D2 L2 F2 R2 U' F'
R D2 L' F2 R2 U' F
R D2 L2 F2 R2 U' F
R' D2 R' F2 R' U' F'
R' D2 R2 L F2 U' F
R' D2 R2 L' F2 U' F
R' D2 R2 L2 F2 U' F
R' D2 R2 U' D F' R2
R' D2 R2 D U' F' R2
R' D2 R2 F2 U' D F
R' D2 R2 F2 U' D' F
R' D2 R2 F2 U' D2 F
R' D2 R2 F2 U' F D
R' D2 R2 F2 U' F D'
R' D2 R2 F2 U' F D2
R' D2 R2 F2 D U' F
R' D2 R2 F2 D' U' F
R' D2 R2 F2 D2 U' F
R2 D2 R' F2 R' U' F
R D2 R2 U' D R2 F'
R D2 R2 D U' R2 F'
R D2 R2 F2 U B U2
R' D2 F R2 F U' F2
F' U2 L2 R B2 U F'
F2 U2 L2 R B2 U F'
R' D2 F2 L R2 U' F'
R' D2 F2 L' R2 U' F'
R' D2 F2 L2 R2 U' F'
F' U2 L2 B2 R U F'
L' D2 F2 L' R U' F
R' D2 F2 R2 L U' F'
R' D2 F2 R2 L' U' F'
R D2 F R2 F U' F
R' D2 F2 R2 L2 U' F'
R' D2 F2 R2 U' D F'
R' D2 F2 R2 U' D' F'
R' D2 F2 R2 U' D2 F'
R' D2 F2 R2 U' F' D
R' D2 F2 R2 U' F' D'
R' D2 F2 R2 U' F' D2
R' D2 F2 R2 D U' F'
R' D2 F2 R2 D' U' F'
R' D2 F2 R2 D2 U' F'
L' D2 F2 R L' U' F
F' U2 R L2 B2 U F'
F2 U2 L2 B2 R U F'
F2 U2 R L2 B2 U F'
F U2 L2 R B2 U F'
L' D2 F2 D2 R U' F'
F' U2 R B2 L2 U F'
F2 U2 R B2 L2 U F'
F U2 L2 B2 R U F'
F U2 R L2 B2 U F'
F' U2 R' B2 L2 U F
R D2 F2 R2 U' D F
R D2 F2 R2 U' D' F
R D2 F2 R2 U' D2 F
R D2 F2 R2 U' F D
R D2 F2 R2 U' F D'
R D2 F2 R2 U' F D2
R D2 F2 R2 D U' F
R D2 F2 R2 D' U' F
R D2 F2 R2 D2 U' F
R D2 F2 U' D F B2
R D2 F2 U' D B2 F
R D2 F2 U' F D B2
F2 U2 R' B2 L2 U F
R D2 F2 D U' F B2
R D2 F2 D U' B2 F
F U2 R B2 L2 U F'
F U2 R' B2 L2 U F
D' F L' R U' R B2
D' F L' R U' B2 R
D' F L' R' U' R' B2
D2 F L' R2 U' F R
D' F L' U' R B2 R
D' F L' U' R2 B2 D
D' F L' U' R2 B2 D'
D' F L' U' R2 B2 D2
D' F L' U' B' R2 B'
D' F L' U' B2 R2 D
D' F L' U' B2 R2 D'
D' F L' U' B2 R2 D2
D' F L' D' R2 F2 U'
D' F L' D' F2 R2 U'
D' F L' F U' R2 B2
D' F L' F U' B2 R2
D' F L' F' U' R2 B2
D' F L' F' U' B2 R2
D' F L' F2 U' R2 B2
D' F L' F2 U' B2 R2
D' F R L' U' R B2
D' F R L' U' B2 R
U' F R D' F' R2 B2
U' F R D' F' B2 R2
U' F R D' B2 F' R2
U' F R F' D' R2 B2
U' F R F' D' B2 R2
D' F R' L' U' R' B2
U' F R' D' R2 F' B2
U' F R' D' R2 B2 F'
D2 F R2 L' U' F R
D2 F R2 D F L' U'
D2 F R2 F L' U' F
F' U2 B2 L2 R U F'
F' U2 B2 R L2 U F'
F2 U2 B2 L2 R U F'
F2 U2 B2 R L2 U F'
R' F U' D' R2 F' B2
R' F U' D' R2 B2 F'
F U2 B2 L2 R U F'
F U2 B2 R L2 U F'
R' F U2 B2 L2 U F
D2 F D F L' U' B2
R F U' F2 D' R2 B2
R F U' F2 D' B2 R2
D' F D' L' R2 F2 U'
D' F D' L' F2 R2 U'
R F U2 L2 B2 U F2
D' F D' R2 L' F2 U'
R' F D' U' R2 F' B2
R' F D' U' R2 B2 F'
R F U2 B2 L2 U F2
R' F D2 R2 F2 U' F
R' F D2 F2 R2 U' F'
R F D' L2 U' R2 B2
R F D' L2 U' B2 R2
D2 F' L' F' R2 U' F2
D' F' R U R B2 L
U' F' R D' F' R2 B2
U' F' R D' F' B2 R2
U' F' R D' B2 F' R2
U' F' R F' D' R2 B2
U' F' R F' D' B2 R2
U' F' R' D' R2 F' B2
U' F' R' D' R2 B2 F'
R' F' U' D' R2 F' B2
R' F' U' D' R2 B2 F'
D' F' U2 R U R B2
D' F' U2 R U B2 R
R' F' U2 B2 L2 U F
R F' U' L2 B2 U L2
R F' U' B2 L2 U L2
R' F' D' U' R2 F' B2
R' F' D' U' R2 B2 F'
D' F' D' F2 L' R2 U'
D' F' D' F2 R2 L' U'
R' F' D2 R2 F2 U' F
R' F' D2 F2 R2 U' F'
R F' D' R2 B2 D L2
R F' D' B2 R2 D L2
R F' D2 R2 F2 U' F2
R F' D2 F2 R2 U' F2
D2 F2 L R2 U B' U2
D2 F2 L' R2 U' D F
D2 F2 L' R2 U' D' F
D2 F2 L' R2 U' D2 F
D2 F2 L' R2 U' F D
D2 F2 L' R2 U' F D'
D2 F2 L' R2 U' F D2
D2 F2 L' R2 D U' F
