U' L D' R2 F
U' L D' F R2
U' L F D' R2
D' U' L R2 F
D' U' L F R2
U' D' L R2 F
U' D' L F R2
D' U' R2 L F
U' D' R2 L F
D2 F2 U' L F
D' U' R2 F' L F
D' U' R2 F2 L F
U' D' F R2 L F
D' U' F L R2 F
D' U' F L F R2
D' U' F R2 L F
U' D' F' L R2 F
U' D' F' L F R2
U' D' F' R2 L F
D' U' F' L R2 F
D' U' F' L F R2
D' U' F' R2 L F
U' D' F2 L R2 F
U' D' F2 L F R2
U' D' F2 R2 L F
D' U' F2 L R2 F
D' U' F2 L F R2
D' U' F2 R2 L F
F' U' D' L R2 F
F' U' D' L F R2
F' U' D' R2 L F
F2 U' D' L R2 F
F2 U' D' L F R2
F2 U' D' R2 L F
F U' D' L R2 F
F U' D' L F R2
F U' D' R2 L F
U' D2 L D R2 F
U' D2 L D F R2
U' F L D' R2 F
U' F L D' F R2
U' F L F D' R2
D' F U' L R2 F
D' F U' L F R2
D' F U' R2 L F
U' F D' L R2 F
U' F D' L F R2
U' F D' R2 L F
U' F' L D' R2 F
U' F' L D' F R2
U' F' L F D' R2
D' F' U' L R2 F
D' F' U' L F R2
D' F' U' R2 L F
U' F' D' L R2 F
U' F' D' L F R2
U' F' D' R2 L F
F' D' U' L R2 F
F' D' U' L F R2
F' D' U' R2 L F
U' F2 L D' R2 F
U' F2 L D' F R2
U' F2 L F D' R2
F2 D' U' L R2 F
F2 D' U' L F R2
F2 D' U' R2 L F
F D' U' L R2 F
F D' U' L F R2
F D' U' R2 L F
D' F2 U' L R2 F
D2 F2 U' L D F
D2 F2 U' L D' F
D2 F2 U' L D2 F
D2 F2 U' L D2 F
D' F2 U' L F R2
D2 F2 U' L F D
D2 F2 U' L F D'
D2 F2 U' L F D2
D' F2 U' R2 L F
D2 F2 U' D L F
D2 F2 U' D' L F
D2 F2 U' D2 L F
D2 F2 U' F L F
D2 F2 U' F' L F
D2 F2 U' F2 L F
U' F2 D' L R2 F
U' F2 D' L F R2
D2 F2 D U' L F
U' F2 D' R2 L F
D2 F2 D' U' L F
D2 F2 D2 U' L F
F' D2 F2 U' L F
F2 D2 F2 U' L F
F D2 F2 U' L F
U2 B2 U' R' U2 F'
U2 B2 U' R' U2 F'
U' L R U' B2 U F
U' L R D F D2 R2
U' L R D' R' F R'
U' L R D' R2 D F
U' L R D' R2 D' F
U' L R D' R2 D2 F
U' L R D' R2 F D
U' L R D' R2 F D'
U' L R D' R2 F D2
U' L R D' F R2 D
U' L R D' F R2 D'
U' L R D' F R2 D2
U' L R D' F' R2 F2
U' L R F R D' R2
U' L R F R' D' R2
U' L R F R2 D' R2
U' L R F U' B2 U
U' L R F D' R2 D
U' L R F D' R2 D'
U' L R F D' R2 D2
U' L R F2 D' F' R2
U' L R' U' B2 U F
U' L R' D F D2 R2
U' L R' D' R' F R'
U' L R' D' R2 D F
U' L R' D' R2 D' F
U' L R' D' R2 D2 F
U' L R' D' R2 F D
U' L R' D' R2 F D'
U' L R' D' R2 F D2
U' L R' D' F R2 D
U' L R' D' F R2 D'
U' L R' D' F R2 D2
U' L R' D' F' R2 F2
U' L R' F R D' R2
U' L R' F R' D' R2
U' L R' F R2 D' R2
U' L R' F U' B2 U
U' L R' F D' R2 D
U' L R' F D' R2 D'
U' L R' F D' R2 D2
U' L R' F2 D' F' R2
U' L R2 U' B2 U F
U' L R2 D F D2 R2
U' L R2 D' R' F R'
U' L R2 D' R2 D F
U' L R2 D' R2 D' F
U' L R2 D' R2 D2 F
U' L R2 D' R2 F D
U' L R2 D' R2 F D'
U' L R2 D' R2 F D2
U' L R2 D' F R2 D
U' L R2 D' F R2 D'
U' L R2 D' F R2 D2
U' L R2 D' F' R2 F2
L R U' B2 L U F
U' L R2 F R D' R2
U' L R2 F R' D' R2
U' L R2 F R2 D' R2
U' L R2 F U' B2 U
U' L R2 F D' R2 D
U' L R2 F D' R2 D'
U' L R2 F D' R2 D2
R L U' B2 L U F
U' L R2 F2 D' F' R2
U' L U D2 F2 U' F'
U' L U' R B2 U F
U' L U' R' B2 U F
U' L U' R2 B2 U F
U' L U' B2 R U F
U' L U' B2 R' U F
U' L U' B2 R2 U F
U' L U' B2 U D F
U' L U' B2 U D' F
U' L U' B2 U D2 F
U' L U' B2 U F D
U' L U' B2 U F D'
U' L U' B2 U F D2
U' L U' B2 D U F
U' L U' B2 D' U F
U' L U' B2 D2 U F
U' L U2 D L2 B' U2
B L U2 B U' R' U2
U' L D R D2 R2 F
U' L D R D2 F R2
U' L D R F D2 R2
U' L D R' D2 R2 F
U' L D R' D2 F R2
U' L D R' F D2 R2
U' L D R2 D2 R2 F
U' L D R2 D2 F R2
U' L D R2 F D2 R2
U' L D U2 L2 B' U2
U' L D F R D2 R2
U' L D F R' D2 R2
U' L D F R2 D2 R2
U' L D F U2 L2 U2
U' L D F D2 R2 D
U' L D F D2 R2 D'
U' L D F D2 R2 D2
U' L D F2 D2 F' R2
U' L D' R D R F
U' L D' R D' R F
U' L D' R D2 R F
U' L D' R' D R' F
U' L D' R' D F R'
U' L D' R' D' R' F
U' L D' R' D' F R'
U' L D' R' D2 R' F
U' L D' R' D2 F R'
U' L D' R' F R' D
U' L D' R' F R' D'
U' L D' R' F R' D2
U' L D' R' F D R'
U' L D' R' F D' R'
U' L D' R' F D2 R'
U' L D' R' F' R' F2
U' L D' R2 D F D
U' L D' R2 D F D'
U' L D' R2 D F D2
U' L D' R2 D' F D
U' L D' R2 D' F D'
U' L D' R2 D' F D2
U' L D' R2 D2 F D
U' L D' R2 D2 F D'
U' L D' R2 D2 F D2
U' L D' R2 F2 D F'
U' L D' R2 F2 D' F'
U' L D' R2 F2 D2 F'
U' L D' F R D R
U' L D' F R D' R
U' L D' F R D2 R
U' L D' F R' D R'
U' L D' F R' D' R'
U' L D' F R' D2 R'
U' L D' F B R2 B'
U' L D' F B2 R2 B2
U' L D' F' R' F2 R'
U' L D' F' R2 F2 D
U' L D' F' R2 F2 D'
U' L D' F' R2 F2 D2
U' L D' B R2 F B'
U' L D' B R2 B' F
U' L D' B F R2 B'
U' L D' B2 R2 F B2
U' L D' B2 R2 B2 F
U' L D' B2 F R2 B2
U' L D2 R D R2 F
U' L D2 R D F R2
U' L D2 R' D R2 F
U' L D2 R' D F R2
U' L D2 R2 D R2 F
U' L D2 R2 D F R2
U' L D2 U F2 U' F'
U' L D2 F U F U'
U' L F L D' L' R2
U' L F L D' R2 L'
U' L F L' D' L R2
U' L F L' D' R2 L
U' L F R U' B2 U
U' L F R D' R2 D
U' L F R D' R2 D'
U' L F R D' R2 D2
U' L F R' U' B2 U
U' L F R' D' R2 D
U' L F R' D' R2 D'
U' L F R' D' R2 D2
U' L F R2 U' B2 U
U' L F R2 D' R2 D
U' L F R2 D' R2 D'
U' L F R2 D' R2 D2
U' L F U D2 F2 U'
U' L F U' B2 U D
U' L F U' B2 U D'
U' L F U' B2 U D2
U' L F U' B2 D U
U' L F U' B2 D' U
U' L F U' B2 D2 U
U' L F U2 D L2 U2
U' L F D R D2 R2
U' L F D R' D2 R2
U' L F D R2 D2 R2
U' L F D U2 L2 U2
U' L F D' R D R
U' L F D' R D' R
U' L F D' R D2 R
U' L F D' R' D R'
U' L F D' R' D' R'
U' L F D' R' D2 R'
U' L F D' F' R2 F
U' L F D' F2 R2 F2
U' L F D' B R2 B'
U' L F D' B2 R2 B2
U' L F D2 R D R2
U' L F D2 R' D R2
U' L F D2 R2 D R2
U' L F D2 U F2 U'
U' L F' R F2 D' R2
U' L F' R' F2 D' R2
U' L F' R2 F2 D' R2
U' L F' U' B2 U F2
U' L F' D' R2 D F2
D2 L F2 L' U' L F
U' L F2 R2 D' R2 F'
U' L F2 U' B2 U F'
U' L F2 D F' D2 R2
D2 L F2 B L U' L'
U' L F2 D' F R2 F2
U' L F2 D' F' R2 D
U' L F2 D' F' R2 D'
U' L F2 D' F' R2 D2
U' L F2 D' F2 R2 F
D' L B L U' L' R2
D' L B L U' R2 L'
B' L B U' L F R
B L B U R' U2 R
D2 L B F2 L U' L'
B L B' U' L D' R2
B L B' U' D' L R2
B L B' U' D' R2 L
B L B' D' U' L R2
B L B' D' U' R2 L
B L B' D2 F2 U' L
U2 L B2 L' U L F
D' L' U' L R2 F L
D' L' U' L F L R2
D' L' U' L F R2 L
D' L' U' R2 L F L
U' L' D' R2 D L2 F
U' L' F L2 D' R2 F
U' L' F L2 D' F R2
U' L' F L2 F D' R2
U' L' F' L2 D' R2 F
U' L' F' L2 D' F R2
U' L' F' L2 F D' R2
D2 L' F2 L U' L F
U' L' F2 L2 D' R2 F
U' L' F2 L2 D' F R2
U' L' F2 L2 F D' R2
D2 L' F2 U' L F L
D2 L' F2 B L U' L
D' L' B L U' L R2
D' L' B L U' R2 L
D2 L' B L F2 U' L
D2 L' B F2 L U' L
U' L' B2 U B2 L2 F
D' L2 U' L R2 F L2
D' L2 U' L F L2 R2
D' L2 U' L F R2 L2
D' L2 U' R2 L F L2
U' L2 U' B2 U L' F
U L2 D L2 U2 L F
U' L2 D' R2 D L' F
B' L2 F B U' L F
D2 L2 F2 U R B U2
D2 L2 B L F2 U' L2
D' L2 B L U' L2 R2
D' L2 B L U' R2 L2
B' L2 B F U' L F
L2 U D L2 U2 L F
R2 U D L B2 R' F'
U2 L2 B2 L2 U L F
U' L2 B2 U L' F B2
U' L2 B2 U L' B2 F
U' L2 B2 U B2 L' F
U' R L U' B2 U F
U' R L D F D2 R2
U' R L D' R' F R'
U' R L D' R2 D F
U' R L D' R2 D' F
U' R L D' R2 D2 F
U' R L D' R2 F D
U' R L D' R2 F D'
U' R L D' R2 F D2
U' R L D' F R2 D
U' R L D' F R2 D'
U' R L D' F R2 D2
U' R L D' F' R2 F2
U' R L F R D' R2
U' R L F R' D' R2
U' R L F R2 D' R2
U' R L F U' B2 U
U' R L F D' R2 D
U' R L F D' R2 D'
U' R L F D' R2 D2
U' R L F2 D' F' R2
U2 R U L D' R2 F
U2 R U L D' F R2
U2 R U L F D' R2
U2 R U D' L R2 F
U2 R U D' L F R2
U2 R U D' R2 L F
U R U2 L D' R2 F'
U R U2 D' L R2 F'
U R U2 D' R2 L F'
U R U2 D' R2 F' L
U R D L2 B U2 L'
U' R D' L R' F R'
U' R D' L R2 D F
U' R D' L R2 D' F
U' R D' L R2 D2 F
U' R D' L R2 F D
U' R D' L R2 F D'
U' R D' L R2 F D2
U' R D' L F R2 D
U' R D' L F R2 D'
U' R D' L F R2 D2
U' R D' L F' R2 F2
U' R D' R' L F R'
U' R D' R2 L D F
U' R D' R2 L D' F
U' R D' R2 L D2 F
U' R D' R2 L F D
U' R D' R2 L F D'
U' R D' R2 L F D2
U' R D' R2 D L F
U' R D' R2 D' L F
U' R D' R2 D2 L F
U' R D' R2 F L F
U' R D' R2 F' L F
U' R D' R2 F2 L F
U' R D' F L R2 F
U' R D' F L F R2
U' R D' F R2 L F
U' R D' F' L R2 F
U' R D' F' L F R2
U2 R D' U L R2 F
U2 R D' U L F R2
U' R D' F' R2 L F
U2 R D' U R2 L F
U' R D' F2 L R2 F
U' R D' F2 L F R2
U' R D' F2 R2 L F
L' U' L D' R2 F L
L' U' L D' F L R2
L' U' L D' F R2 L
U' R D2 L D R2 F
U' R D2 L D F R2
L' U' L F L D' R2
L' U' L F D' L R2
L' U' L F D' R2 L
U R D' U2 L R2 F'
U R D' U2 R2 L F'
U R D' U2 R2 F' L
L2 U' L F L2 D' R2
U' R F L D' R2 F
U' R F L D' F R2
U' R F L F D' R2
L U' L B2 U F B2
L U' L B2 U B2 F
U' R F D' L R2 F
U' R F D' L F R2
U' R F D' R2 L F
U' R F' L D' R2 F
U' R F' L D' F R2
U' R F' L F D' R2
U' R F' D' L R2 F
U' R F' D' L F R2
U' R F' D' R2 L F
U' R F2 L D' R2 F
U' R F2 L D' F R2
U' R F2 L F D' R2
D2 R F2 R' U' L F
U' R F2 D' L R2 F
U' R F2 D' L F R2
U' R F2 D' R2 L F
R2 U' D L F B2 R'
R2 U' D L B2 R' F
R2 U' D L B2 F R'
L2 U' D' L R2 F L2
L2 U' D' L F L2 R2
L2 U' D' L F R2 L2
U2 R B2 U' R' U2 F'
L2 U' D' R2 L F L2
U' R' L U' B2 U F
U' R' L D F D2 R2
U' R' L D' R' F R'
U' R' L D' R2 D F
U' R' L D' R2 D' F
U' R' L D' R2 D2 F
U' R' L D' R2 F D
U' R' L D' R2 F D'
U' R' L D' R2 F D2
U' R' L D' F R2 D
U' R' L D' F R2 D'
U' R' L D' F R2 D2
U' R' L D' F' R2 F2
U' R' L F R D' R2
U' R' L F R' D' R2
U' R' L F R2 D' R2
U' R' L F U' B2 U
U' R' L F D' R2 D
U' R' L F D' R2 D'
U' R' L F D' R2 D2
U' R' L F2 D' F' R2
U2 R' U L D' R2 F
U2 R' U L D' F R2
U2 R' U L F D' R2
U2 R' U D' L R2 F
U2 R' U D' L F R2
U2 R' U D' R2 L F
U R' U2 L D' F' R2
U R' U2 L F' D' R2
U R' U2 D' L F' R2
U R' U2 D' F' L R2
U R' U2 D' F' R2 L
U R' U2 F' L D' R2
U R' U2 F' D' L R2
U R' U2 F' D' R2 L
U' R' D' L R' F R'
U' R' D' L R2 D F
U' R' D' L R2 D' F
U' R' D' L R2 D2 F
U' R' D' L R2 F D
U' R' D' L R2 F D'
U' R' D' L R2 F D2
U' R' D' L F R2 D
U' R' D' L F R2 D'
U' R' D' L F R2 D2
U' R' D' L F' R2 F2
U R' D L2 U2 L' F'
U' R' D' R' L F R'
L U' B2 L U F B2
L U' B2 L U B2 F
U' R' D' R2 L D F
U' R' D' R2 L D' F
U' R' D' R2 L D2 F
U' R' D' R2 L F D
U' R' D' R2 L F D'
U' R' D' R2 L F D2
U' R' D' R2 D L F
U' R' D' R2 D' L F
U' R' D' R2 D2 L F
U' R' D' R2 F L F
U' R' D' R2 F' L F
U' R' D' R2 F2 L F
U' R' D' F L R2 F
U' R' D' F L F R2
U' R' D' F R2 L F
U' R' D' F' L R2 F
U' R' D' F' L F R2
U' R' D' F' R2 L F
U' R' D' F2 L R2 F
U' R' D' F2 L F R2
U' R' D' F2 R2 L F
U2 R' D' U L R2 F
U2 R' D' U L F R2
U2 R' D' U R2 L F
U' R' D2 L D R2 F
U' R' D2 L D F R2
U R' D' U2 L F' R2
U R' D' U2 F' L R2
U R' D' U2 F' R2 L
U' R' F L D' R2 F
U' R' F L D' F R2
U' R' F L F D' R2
U' R' F D' L R2 F
U' R' F D' L F R2
U' R' F D' R2 L F
U' R' F' L D' R2 F
U' R' F' L D' F R2
U' R' F' L F D' R2
U' R' F' D' L R2 F
U' R' F' D' L F R2
U' R' F' D' R2 L F
U' R' F2 L D' R2 F
U' R' F2 L D' F R2
U' R' F2 L F D' R2
U' R' F2 D' L R2 F
U' R' F2 D' L F R2
U' R' F2 D' R2 L F
L U2 R B2 U L F
U2 R' B2 U' R' U2 F'
U' R2 L U' B2 U F
U' R2 L D F D2 R2
U' R2 L D' R' F R'
U' R2 L D' R2 D F
U' R2 L D' R2 D' F
U' R2 L D' R2 D2 F
U' R2 L D' R2 F D
U' R2 L D' R2 F D'
U' R2 L D' R2 F D2
U' R2 L D' F R2 D
U' R2 L D' F R2 D'
U' R2 L D' F R2 D2
U' R2 L D' F' R2 F2
U' R2 L F R D' R2
U' R2 L F R' D' R2
U' R2 L F R2 D' R2
U' R2 L F U' B2 U
U' R2 L F D' R2 D
U' R2 L F D' R2 D'
U' R2 L F D' R2 D2
U' R2 L F2 D' F' R2
L' U2 F R B2 U L2
L' U2 F B2 R U L2
L U2 F R B2 U L
U2 R2 U L D' R2 F
U2 R2 U L D' F R2
U2 R2 U L F D' R2
U2 R2 U D' L R2 F
U2 R2 U D' L F R2
U2 R2 U D' R2 L F
L' U2 B2 U L F L
U' R2 D' L R' F R'
U' R2 D' L R2 D F
U' R2 D' L R2 D' F
U' R2 D' L R2 D2 F
U' R2 D' L R2 F D
U' R2 D' L R2 F D'
U' R2 D' L R2 F D2
U' R2 D' L F R2 D
U' R2 D' L F R2 D'
U' R2 D' L F R2 D2
U' R2 D' L F' R2 F2
U' R2 D' R' L F R'
L2 U2 B2 U L F L2
U' R2 D' R2 L D F
U' R2 D' R2 L D' F
U' R2 D' R2 L D2 F
U' R2 D' R2 L F D
U' R2 D' R2 L F D'
U' R2 D' R2 L F D2
L' U2 B2 F R U L2
U' R2 D' R2 D L F
U' R2 D' R2 D' L F
U' R2 D' R2 D2 L F
U' R2 D' R2 F L F
U' R2 D' R2 F' L F
U' R2 D' R2 F2 L F
U' R2 D' F L R2 F
U' R2 D' F L F R2
U' R2 D' F R2 L F
U' R2 D' F' L R2 F
U' R2 D' F' L F R2
U' R2 D' F' R2 L F
U' R2 D' F2 L R2 F
U' R2 D' F2 L F R2
U' R2 D' F2 R2 L F
U2 R2 D' U L R2 F
U2 R2 D' U L F R2
U2 R2 D' U R2 L F
U' R2 D2 L D R2 F
U' R2 D2 L D F R2
U' R2 F L D' R2 F
U' R2 F L D' F R2
U' R2 F L F D' R2
U' R2 F D' L R2 F
U' R2 F D' L F R2
U' R2 F D' R2 L F
U' R2 F' L D' R2 F
U' R2 F' L D' F R2
U' R2 F' L F D' R2
U' R2 F' D' L R2 F
U' R2 F' D' L F R2
U' R2 F' D' R2 L F
U' R2 F2 L D' R2 F
U' R2 F2 L D' F R2
U' R2 F2 L F D' R2
D2 R2 F2 R2 U' L F
U' R2 F2 D' L R2 F
U' R2 F2 D' L F R2
U' R2 F2 D' R2 L F
L2 D U L2 U2 L F
R2 D U L B2 R' F'
U2 R2 B2 U' R' U2 F'
R2 D U' L F B2 R'
R2 D U' L B2 R' F
R2 D U' L B2 F R'
U' D L F U2 L U2
U' D L F B2 R' B2
U' D L B2 R' F B2
U' D L B2 R' B2 F
U' D L B2 F R' B2
U' D L' F L2 F R
U' D L' F2 L2 R F
U' D L' F2 R L2 F
D U L2 R B U2 L'
D U L2 R' U2 L' F'
D U L2 U2 L F L2
U D L2 R B U2 L'
U D L2 R' U2 L' F'
U' D R D2 L R2 F
U' D R D2 L F R2
U' D R D2 R2 L F
U D L2 U2 L F L2
D U R L2 B U2 L'
D' U R' U2 L F' R'
D' U R' U2 F' L R'
D' U R' U2 F' R' L
U D R L2 B U2 L'
U' D R' D2 L R2 F
U' D R' D2 L F R2
U' D R' D2 R2 L F
B2 U R' U2 D' R F'
B2 U R' D' U2 R F'
D U R' L2 U2 L' F'
U D R' L2 U2 L' F'
U' D R2 D2 L R2 F
U' D R2 D2 L F R2
U' D R2 D2 R2 L F
U' D F D2 L R2 F
U' D F D2 L F R2
U' D F D2 R2 L F
B2 U D' R' B U2 R
U' D F' D2 L R2 F
U' D F' D2 L F R2
U' D F' D2 R2 L F
U' D F2 D2 L R2 F
U' D F2 D2 L F R2
U' D F2 D2 R2 L F
L D' L' U' L R2 F
L D' L' U' L F R2
L D' L' U' R2 L F
L2 D' L2 U' L R2 F
L2 D' L2 U' L F R2
L2 D' L2 U' R2 L F
R' D' R U' L R F
R' D' R U' R L F
D' U B2 R' U2 F' R'
D' U' L R D R F
D' U' L R D' R F
D' U' L R D2 R F
U' D' L R D R F
U' D' L R D' R F
U' D' L R D2 R F
D' U' L R' D R' F
D' U' L R' D F R'
D' U' L R' D' R' F
D' U' L R' D' F R'
D' U' L R' D2 R' F
D' U' L R' D2 F R'
D' U' L R' F R' D
D' U' L R' F R' D'
D' U' L R' F R' D2
D' U' L R' F D R'
D' U' L R' F D' R'
D' U' L R' F D2 R'
D2 U' L R D R2 F
D' U' L R' F' R' F2
D2 U' L R D F R2
U' D' L R' D R' F
U' D' L R' D F R'
U' D' L R' D' R' F
U' D' L R' D' F R'
U' D' L R' D2 R' F
U' D' L R' D2 F R'
U' D' L R' F R' D
U' D' L R' F R' D'
U' D' L R' F R' D2
U' D' L R' F D R'
U' D' L R' F D' R'
U' D' L R' F D2 R'
U' D' L R' F' R' F2
D' U' L R2 D F D
D' U' L R2 D F D'
D' U' L R2 D F D2
D' U' L R2 D' F D
D' U' L R2 D' F D'
D' U' L R2 D' F D2
D' U' L R2 D2 F D
D' U' L R2 D2 F D'
D' U' L R2 D2 F D2
D2 U' L R' D R2 F
D2 U' L R' D F R2
U' D' L R2 D F D
U' D' L R2 D F D'
U' D' L R2 D F D2
D' U' L R2 F2 D F'
D' U' L R2 F2 D' F'
D' U' L R2 F2 D2 F'
U' D' L R2 D' F D
U' D' L R2 D' F D'
U' D' L R2 D' F D2
U' D' L R2 D2 F D
U' D' L R2 D2 F D'
U' D' L R2 D2 F D2
U' D' L R2 F2 D F'
U' D' L R2 F2 D' F'
U' D' L R2 F2 D2 F'
D2 U' L R2 D R2 F
D2 U' L R2 D F R2
D U B2 L2 R' U2 F'
D2 U' L U F2 U' F'
D U B2 R' L2 U2 F'
D' U' L D F D' R2
U' D' L D F D' R2
D2 U' L D R' F R'
D2 U' L D R2 D F
D2 U' L D R2 D' F
D2 U' L D R2 D2 F
D2 U' L D R2 F D
D2 U' L D R2 F D'
D2 U' L D R2 F D2
D2 U' L D F R2 D
D2 U' L D F R2 D'
D2 U' L D F R2 D2
D2 U' L D F' R2 F2
D' U' L D2 F D2 R2
D2 U' L D' F D2 R2
U' D' L D2 F D2 R2
D' U' L F R D R
D' U' L F R D' R
D' U' L F R D2 R
U D B2 L2 R' U2 F'
D' U' L F R' D R'
D' U' L F R' D' R'
D' U' L F R' D2 R'
U' D' L F R D R
U' D' L F R D' R
U' D' L F R D2 R
U' D' L F R' D R'
U' D' L F R' D' R'
U' D' L F R' D2 R'
D2 U' L D2 F D' R2
D' U' L F B R2 B'
D' U' L F B2 R2 B2
U' D' L F B R2 B'
U' D' L F B2 R2 B2
D' U' L F' R' F2 R'
D' U' L F' R2 F2 D
D' U' L F' R2 F2 D'
D' U' L F' R2 F2 D2
U' D' L F' R' F2 R'
U' D' L F' R2 F2 D
U' D' L F' R2 F2 D'
U' D' L F' R2 F2 D2
D2 U' L F U F U'
U D B2 R' L2 U2 F'
D' U' L B R2 F B'
D' U' L B R2 B' F
U' D' L B R2 F B'
U' D' L B R2 B' F
D' U' L B F R2 B'
U' D' L B F R2 B'
R D' R' U' L R' F
R D' R' U' L F R'
R D' R' U' R' L F
D' U' L B2 R2 F B2
D' U' L B2 R2 B2 F
U' D' L B2 R2 F B2
U' D' L B2 R2 B2 F
D' U' L B2 F R2 B2
U' D' L B2 F R2 B2
U' D' L' R2 F L2 F
D' U' L' R2 F L2 F
D' U' L' R2 F' L2 F
U' D' L' R2 F' L2 F
U' D' L' R2 F2 L2 F
D' U' L' R2 F2 L2 F
U' D' L' F L2 R2 F
U' D' L' F L2 F R2
D' U' L' F L2 R2 F
D' U' L' F L2 F R2
U' D' L' F R2 L2 F
D' U' L' F R2 L2 F
U' D' L' F' L2 R2 F
U' D' L' F' L2 F R2
D' U' L' F' L2 R2 F
D' U' L' F' L2 F R2
U' D' L' F' R2 L2 F
D' U' L' F' R2 L2 F
D' U' L' F2 L2 R2 F
D' U' L' F2 L2 F R2
U' D' L' F2 L2 R2 F
U' D' L' F2 L2 F R2
D U' L F U2 L U2
D' U' L' F2 R2 L2 F
U' D' L' F2 R2 L2 F
D U' L F B2 R' B2
D U' L B2 R' F B2
D U' L B2 R' B2 F
D U' L B2 F R' B2
L2 D' U' L R2 F L2
L2 D' U' L F L2 R2
L2 D' U' L F R2 L2
D U' L' F L2 F R
F' U' L R D' R2 F
F' U' L R D' F R2
F' U' L R F D' R2
F' U' L R' D' R2 F
F' U' L R' D' F R2
F' U' L R' F D' R2
F' U' L R2 D' R2 F
F' U' L R2 D' F R2
F' U' L R2 F D' R2
D U' L' F2 L2 R F
L2 D' U' R2 L F L2
D U' L' F2 R L2 F
U' D' R L D R F
U' D' R L D' R F
D' U' R L D R F
U' D' R L D2 R F
D' U' R L D' R F
D' U' R L D2 R F
F' U' L U' B2 U F
F2 U' L R D' R2 F
F2 U' L R D' F R2
F2 U' L R F D' R2
F2 U' L R' D' R2 F
F2 U' L R' D' F R2
F2 U' L R' F D' R2
D2 U' R L D R2 F
D2 U' R L D F R2
F' U' L D F D2 R2
F2 U' L R2 D' R2 F
F2 U' L R2 D' F R2
F2 U' L R2 F D' R2
F' U' L D' R' F R'
F' U' L D' R2 D F
F' U' L D' R2 D' F
F' U' L D' R2 D2 F
F' U' L D' R2 F D
F' U' L D' R2 F D'
F' U' L D' R2 F D2
F' U' L D' F R2 D
F' U' L D' F R2 D'
F' U' L D' F R2 D2
F' U' L D' F' R2 F2
F2 U' L U' B2 U F
F' U' L F R D' R2
F' U' L F R' D' R2
F' U' L F R2 D' R2
F' U' L F U' B2 U
U' D' R D L R F
F' U' L F D' R2 D
F' U' L F D' R2 D'
F' U' L F D' R2 D2
D' U' R D L R F
U' D' R D R L F
D' U' R D R L F
U' D' R D' L R F
D' U' R D' L R F
F2 U' L D F D2 R2
D' U' R D' R L F
U' D' R D' R L F
D2 U' R D L R2 F
D2 U' R D L F R2
F2 U' L D' R' F R'
D' U' R D2 L R F
F2 U' L D' R2 D F
F2 U' L D' R2 D' F
