U R' U2 R U
U L R' U2 R U
U' L U2 L' R' U'
U' L U2 R' L' U'
U L' R' U2 R U
U' L' U2 L R' U'
U' L' U2 R' L U'
U L2 R' U2 R U
U' L2 U2 L2 R' U'
U' L2 U2 R' L2 U'
U R' L U2 R U
U R' L' U2 R U
U R' L2 U2 R U
U R' U2 R U D
U R' U2 R U D'
U R' U2 R U D2
U R' U2 R D U
U R' U2 R D' U
U R' U2 R D2 U
U R' U2 D R U
U R' U2 D' R U
U R' U2 D2 R U
U R' D U2 R U
U R' D' U2 R U
U R' D2 U2 R U
U R' F2 L' F2 U'
U R2 D' R U' F2
U R2 D2 L2 R U'
U R2 D2 R L2 U'
R D R' B2 D2 F2
F' U R' U2 R U
D2 U R' U2 R U
F2 U R' U2 R U
D' U R' U2 R U
U D R' U2 R U
D U R' U2 R U
F U R' U2 R U
B2 U' L U D2 F2
B2 U' L U' B2 U2
B2 U' L D' R2 U
B2 U' L D2 U F2
U D' R' U2 R U
B2 U' D' L R2 U
B2 U' D' R2 L U
B2 U' D2 L U F2
U D2 R' U2 R U
U D2 R' U2 R U
B' U2 B U' R' U'
B2 U2 B2 U' R' U'
U2 F' U' R' U' F
B2 D' U' L R2 U
B2 D' U' R2 L U
U F2 R' F2 L' U'
U2 F2 U' R' U' F2
B2 D2 U' L U F2
B2 D2 F2 U' L U
U L' D R' U2 R U
B2 L' D' L B2 D' F2
U' L' D' U2 L R' U'
U' L' D' U2 R' L U'
L2 R' B U' L2 R F
L2 R' B U' R L2 F
U L' D' R' U2 R U
B2 L' D2 L F2 D B2
U' L' D2 U2 L R' U'
U' L' D2 U2 R' L U'
U L' D2 R' U2 R U
B2 L' D2 F2 L D B2
B2 L' D2 F2 D L B2
R' L2 U' L2 R D F2
R' L2 U' L2 D R F2
R' L2 U' R L2 D F2
L' R2 U' R U' L R
L' R2 U' R U' R L
L2 R2 U' R U' L2 R
L2 R2 U' R U' R L2
R2 L2 U' R U' L2 R
R2 L2 U' R U' R L2
L R2 U' R U' L' R
L R2 U' R U' R L'
R L2 U' R2 U' L2 R
R L2 U' R2 U' R L2
U L' F2 R' F2 L' U'
R' L2 U2 L2 R D' B2
R' L2 U2 L2 D' R B2
R' L2 U2 L2 D' B2 R
R' L2 U2 R L2 D' B2
R L2 U2 L2 D R' B2
U' L' B2 L R' B2 U
U' L' B2 R' L B2 U
U' L2 R U D F2 B2
U' L2 R U D B2 F2
U' L2 R U2 L2 R2 U'
U' L2 R U2 R2 L2 U'
U' L2 R D U F2 B2
U' L2 R D U B2 F2
U' L2 R D2 L2 R2 U
U' L2 R D2 R2 L2 U
U L2 R' U2 R U D
U L2 R' U2 R U D'
U L2 R' U2 R U D2
U L2 R' U2 R D U
U L2 R' U2 R D' U
U L2 R' U2 R D2 U
U L2 R' U2 D R U
U L2 R' U2 D' R U
U L2 R' U2 D2 R U
U L2 R' D U2 R U
U L2 R' D' U2 R U
U L2 R' D2 U2 R U
U' L2 R2 U2 L2 R U'
U' L2 R2 U2 R L2 U'
U L2 R' F2 L' F2 U'
U L2 R2 D' R U' F2
U L2 R2 D2 L2 R U'
U L2 R2 D2 R L2 U'
R' L2 B U' L2 R F
R' L2 B U' R L2 F
U' L2 U2 L2 R' U' D
U' L2 U2 L2 R' U' D'
U' L2 U2 L2 R' U' D2
U' L2 U2 L2 R' D U'
U' L2 U2 L2 R' D' U'
U' L2 U2 L2 R' D2 U'
U' L2 U2 L2 D R' U'
U' L2 U2 L2 D' R' U'
U' L2 U2 L2 D2 R' U'
U' L2 U2 R' L2 U' D
U' L2 U2 R' L2 U' D'
U' L2 U2 R' L2 U' D2
U' L2 U2 R' L2 D U'
U' L2 U2 R' L2 D' U'
U' L2 U2 R' L2 D2 U'
U' L2 U2 R' U' D F2
U' L2 U2 R' D U' F2
U' L2 U2 D R' U' F2
U' L2 D U2 R' U' F2
U L2 D R' U2 R U
U L2 D' R' U2 R U
U' L2 D2 R2 U2 R U'
U L2 D2 R' U2 R U
R2 U R U' R D' F2
R2 U R U2 R' U R2
L' U R' U2 R U L
U L2 F2 R' F2 L' U'
L2 U R' U2 R U L2
L U R' U2 R U L'
R U R2 U' D' R F2
R U R2 U2 R2 U R'
R U R2 D' U' R F2
R U R2 D2 L2 U' R
U' L2 B2 L B2 R' U
U' R L U2 L' R2 U'
U' R L U2 R2 L' U'
U' R L' U2 L R2 U'
U' R L' U2 R2 L U'
U2 R L' D B2 L R'
U2 R L' D B2 R' L
U' R L2 U D F2 B2
U' R L2 U D B2 F2
U' R L2 U2 L2 R2 U'
U' R L2 U2 R2 L2 U'
U' R L2 D U F2 B2
U' R L2 D U B2 F2
U' R L2 D2 L2 R2 U
U' R L2 D2 R2 L2 U
U' R U D B2 D2 F2
U' R U' D' F2 U2 F2
U' R U2 R2 U' D' F2
U' R U2 R2 U2 R2 U
U' R U2 R2 D' U' F2
U' R U2 R2 D2 L2 U'
U R U2 R' U2 R' U'
U R U2 D R' U B2
D2 R D R' B2 D2 F2
D' R D R' B2 D2 F2
U R U2 D2 L2 R' U
U R U2 D2 R' L2 U
F' R D R' B2 D2 F2
U2 R D L' B2 L R'
U2 R D L' B2 R' L
U' R D U B2 D2 F2
F2 R D R' B2 D2 F2
D R D R' B2 D2 F2
F R D R' B2 D2 F2
U R D U2 R' U B2
U' R D' U' F2 U2 F2
U2 R D' R' F2 U2 F2
U2 R D' F2 R' U2 F2
U' R D2 L2 U D F2
U' R D2 L2 U2 L2 U'
U' R D2 L2 D U F2
U' R D2 L2 D2 R2 U
U R D2 U2 L2 R' U
U R D2 U2 R' L2 U
L2 U' R' U' L2 D2 R2
U R F2 R2 F2 L' U'
U R B2 L R2 B2 U'
U R B2 L B2 R2 U'
U R B2 R2 L B2 U'
U R' L U2 R U D
U R' L U2 R U D'
U R' L U2 R U D2
U R' L U2 R D U
U R' L U2 R D' U
U R' L U2 R D2 U
U R' L U2 D R U
U R' L U2 D' R U
U R' L U2 D2 R U
U R' L D U2 R U
U R' L D' U2 R U
U R' L D2 U2 R U
U R' L F2 L' F2 U'
U R' L' U2 R U D
U R' L' U2 R U D'
U R' L' U2 R U D2
U R' L' U2 R D U
U R' L' U2 R D' U
U R' L' U2 R D2 U
U R' L' U2 D R U
U R' L' U2 D' R U
U R' L' U2 D2 R U
U R' L' D U2 R U
U R' L' D' U2 R U
U R' L' D2 U2 R U
R U' F R2 B U' R
U R' L' F2 L' F2 U'
U R' L2 U2 R U D
U R' L2 U2 R U D'
U R' L2 U2 R U D2
U R' L2 U2 R D U
U R' L2 U2 R D' U
U R' L2 U2 R D2 U
U R' L2 U2 D R U
U R' L2 U2 D' R U
U R' L2 U2 D2 R U
U R' L2 D U2 R U
U R' L2 D' U2 R U
U R' L2 D2 U2 R U
U R' L2 F2 L' F2 U'
U R' U B U R U
U R' U B' U R U
U R' U B2 U R U
U R' U' R' D' R F2
U R' U' F2 U L' U'
U R' U2 R' U D' F2
U R' U2 R' D' U F2
U R' U2 R2 D R' U
U R' U2 R2 D' R' U
U R' U2 R2 D2 R' U
U R' U2 D R U D
U R' U2 D R U D'
U R' U2 D R U D2
U R' U2 D R D U
U R' U2 D R D' U
U R' U2 D R D2 U
U R' U2 D' R U D
U R' U2 D' R U D'
U R' U2 D' R U D2
U R' U2 D' R D U
U R' U2 D' R D' U
U R' U2 D' R D2 U
U R' U2 D2 R U D
U R' U2 D2 R U D'
U R' U2 D2 R U D2
U R' U2 D2 R D U
U R' U2 D2 R D' U
U R' U2 D2 R D2 U
U R' U2 B R B' U
R' U' B2 U' R B2 L
U R' U2 B2 R B2 U
U R' D L U2 R U
U R' D L' U2 R U
U R' D L2 U2 R U
B' R' D' R' F' B R2
B' R' D' R' B F' R2
U R' D U2 R U D
U R' D U2 R U D'
U R' D U2 R U D2
U R' D U2 R D U
U R' D U2 R D' U
U R' D U2 R D2 U
U R' D F2 L' F2 U'
U R' D' L U2 R U
U R' D' L' U2 R U
U R' D' L2 U2 R U
U R' D' U2 R U D
U R' D' U2 R U D'
U R' D' U2 R U D2
U R' D' U2 R D U
U R' D' U2 R D' U
U R' D' U2 R D2 U
U R' D' F2 L' F2 U'
U R' D2 L U2 R U
U R' D2 L' U2 R U
U R' D2 L2 U2 R U
R' U2 L2 R D' B2 L
L U2 L' R D B2 R'
U R' D2 U2 R U D
U R' D2 U2 R U D'
U R' D2 U2 R U D2
U R' D2 U2 R D U
U R' D2 U2 R D' U
U R' D2 U2 R D2 U
U R' D2 F2 L' F2 U'
R' U2 L2 D' R B2 L
R' U2 R L2 D' B2 L
L U2 R L' D B2 R'
L U2 R D L' B2 R'
U R' F2 L F2 L2 U'
U R' F2 L' U' D R2
U R' F2 L' D U' R2
U R' F2 L' F2 U' D
U R' F2 L' F2 U' D'
U R' F2 L' F2 U' D2
U R' F2 L' F2 D U'
U R' F2 L' F2 D' U'
U R' F2 L' F2 D2 U'
U R' F2 L2 F2 L U'
U R' F2 D L' U' R2
R U2 D R B2 L R2
R U2 D R B2 R2 L
U' R2 L U2 L' R U'
U' R2 L U2 R L' U'
R U2 D' F2 U2 R' F2
R U2 D' F2 U2 F2 R'
U' R2 L' U2 L R U'
U' R2 L' U2 R L U'
U R2 L D' R U' F2
U R2 L D2 L2 R U'
U R2 L D2 R L2 U'
U' R2 L2 U2 L2 R U'
U' R2 L2 U2 R L2 U'
U R2 L' D' R U' F2
U R2 L' D2 L2 R U'
U R2 L' D2 R L2 U'
U R2 L2 D' R U' F2
U R2 L2 D2 L2 R U'
U R2 L2 D2 R L2 U'
U' R2 U2 R U2 R' U
U R2 U2 R2 U2 R' U'
U R2 D R U B2 U2
U R2 D R U' D2 F2
U R2 D R D L2 U'
U R2 D R D2 U' F2
L U2 B2 L' D' B2 R'
U R2 D' L R U' F2
U R2 D' L' R U' F2
U R2 D' L2 R U' F2
U R2 D' R L U' F2
U R2 D' R L' U' F2
U R2 D' R L2 U' F2
U R2 D' R U' F2 D
U R2 D' R U' F2 D'
U R2 D' R U' F2 D2
U R2 D' R D' L2 U'
R D L U2 L' R' B2
R D L U2 R' L' B2
R D L U2 R' B2 L'
U R2 D2 L2 R U' D
U R2 D2 L2 R U' D'
U R2 D2 L2 R U' D2
U R2 D2 L2 R D U'
U R2 D2 L2 R D' U'
U R2 D2 L2 R D2 U'
U R2 D2 L2 D R U'
U R2 D2 L2 D' R U'
U R2 D2 L2 D2 R U'
U R2 D2 R L2 U' D
U R2 D2 R L2 U' D'
U R2 D2 R L2 U' D2
U R2 D2 R L2 D U'
U R2 D2 R L2 D' U'
U R2 D2 R L2 D2 U'
U R2 D2 R U' D F2
U R2 D2 R D U' F2
R D L' U2 L R' B2
R D L' U2 R' L B2
B' R2 F' R' D' R' B
R D L2 U2 L2 R' B2
R D L2 U2 R' L2 B2
R D L2 U2 R' B2 L2
R D R B' R2 F' B'
R D R B' R2 B' F'
R D R B2 R2 D2 F2
R D R' F B2 D2 F2
R D R' F' B2 D2 F2
R D R' F2 B2 D2 F2
R D R' B2 U2 B2 U2
R D R' B2 D2 F2 D
R D R' B2 D2 F2 D'
R D R' B2 D2 F2 D2
R D R' B2 F D2 F2
R D R' B2 F' D2 F2
R D R' B2 F2 D2 F2
R D R2 U2 R B2 L
R D R2 B2 R D2 F2
R D R2 B2 D2 R F2
D' U L R' U2 R U
D2 U L R' U2 R U
F' U L R' U2 R U
U' D L U2 L' R' U'
U' D L U2 R' L' U'
F2 U L R' U2 R U
B2 U L U B2 U2 B2
D U L R' U2 R U
D' U L' R' U2 R U
D2 U L' R' U2 R U
F' U L' R' U2 R U
F U L R' U2 R U
U' D L' U2 L R' U'
U' D L' U2 R' L U'
U D L R' U2 R U
F2 U L' R' U2 R U
B2 U L' D2 R2 U' F2
R D U2 R B2 L R2
R D U2 R B2 R2 L
D U L' R' U2 R U
D' U L2 R' U2 R U
D2 U L2 R' U2 R U
F' U L2 R' U2 R U
F U L' R' U2 R U
U' D L2 U2 L2 R' U'
U' D L2 U2 R' L2 U'
U D L' R' U2 R U
F2 U L2 R' U2 R U
R D F R' B2 D2 F2
B U L2 R U' F B
B U L2 R U' B F
D U L2 R' U2 R U
F U L2 R' U2 R U
U D L2 R' U2 R U
R D F' R' B2 D2 F2
D' U R' L U2 R U
B U R L2 U' F B
B U R L2 U' B F
D2 U R' L U2 R U
D' U R' L' U2 R U
D2 U R' L' U2 R U
D' U R' L2 U2 R U
F' U R' L U2 R U
B U R U B' U2 B2
D2 U R' L2 U2 R U
F' U R' L' U2 R U
B U R U' B D2 F2
F' U R' L2 U2 R U
D' U R' U2 R U D
D' U R' U2 R U D'
D' U R' U2 R U D2
D' U R' U2 R D U
D' U R' U2 R D' U
D' U R' U2 R D2 U
D' U R' U2 D R U
D' U R' U2 D' R U
D' U R' U2 D2 R U
D2 U R' U2 R U D
D2 U R' U2 R U D'
D2 U R' U2 R U D2
D2 U R' U2 R D U
D2 U R' U2 R D' U
D2 U R' U2 R D2 U
D2 U R' U2 D R U
D2 U R' U2 D' R U
D2 U R' U2 D2 R U
D' U R' D U2 R U
F2 U R' L U2 R U
F' U R' U2 R U D
F' U R' U2 R U D'
F' U R' U2 R U D2
F' U R' U2 R D U
F' U R' U2 R D' U
F' U R' U2 R D2 U
F' U R' U2 D R U
F' U R' U2 D' R U
F' U R' U2 D2 R U
D2 U R' D U2 R U
D' U R' D' U2 R U
F2 U R' L' U2 R U
D2 U R' D' U2 R U
F' U R' D U2 R U
D' U R' D2 U2 R U
F2 U R' L2 U2 R U
D2 U R' D2 U2 R U
F' U R' D' U2 R U
F' U R' D2 U2 R U
D' U R' F2 L' F2 U'
F2 U R' U2 R U D
F2 U R' U2 R U D'
F2 U R' U2 R U D2
F2 U R' U2 R D U
F2 U R' U2 R D' U
F2 U R' U2 R D2 U
F2 U R' U2 D R U
F2 U R' U2 D' R U
D2 U R' F2 L' F2 U'
F2 U R' U2 D2 R U
F2 U R' D U2 R U
F' U R' F2 L' F2 U'
R D F2 R' B2 D2 F2
F2 U R' D' U2 R U
D U R' L U2 R U
F2 U R' D2 U2 R U
D U R' L' U2 R U
D U R' L2 U2 R U
F2 U R' F2 L' F2 U'
B U R' U F' B' U2
B U R' U B' F' U2
D U R' U2 R U D
D U R' U2 R U D'
D U R' U2 R U D2
D U R' U2 R D U
D U R' U2 R D' U
D U R' U2 R D2 U
D U R' U2 D R U
D U R' U2 D' R U
D U R' U2 D2 R U
F U R' L U2 R U
F U R' L' U2 R U
D U R' D U2 R U
U D R' L U2 R U
F U R' L2 U2 R U
U D R' L' U2 R U
D U R' D' U2 R U
D' U R2 D' R U' F2
U D R' L2 U2 R U
D' U R2 D2 L2 R U'
D U R' D2 U2 R U
D2 U R2 D' R U' F2
D' U R2 D2 R L2 U'
D2 U R2 D2 L2 R U'
D2 U R2 D2 R L2 U'
F' U R2 D' R U' F2
F U R' U2 R U D
F U R' U2 R U D'
F U R' U2 R U D2
F U R' U2 R D U
F U R' U2 R D' U
F U R' U2 R D2 U
F U R' U2 D R U
F U R' U2 D' R U
F' U R2 D2 L2 R U'
F U R' U2 D2 R U
F' U R2 D2 R L2 U'
D U R' F2 L' F2 U'
U D R' U2 R U D
U D R' U2 R U D'
U D R' U2 R U D2
U D R' U2 R D U
U D R' U2 R D' U
U D R' U2 R D2 U
U D R' U2 D R U
U D R' U2 D' R U
U D R' U2 D2 R U
F U R' D U2 R U
U D R' D U2 R U
F U R' D' U2 R U
U D R' D' U2 R U
F U R' D2 U2 R U
F2 U R2 D' R U' F2
U D R' D2 U2 R U
F2 U R2 D2 L2 R U'
F2 U R2 D2 R L2 U'
F U R' F2 L' F2 U'
U D R' F2 L' F2 U'
F' U D R' U2 R U
D U R2 D' R U' F2
B2 U D L2 U2 L' U
D U R2 D2 L2 R U'
D U R2 D2 R L2 U'
F2 U D R' U2 R U
F U R2 D' R U' F2
F U R2 D2 L2 R U'
U D R2 D' R U' F2
F U R2 D2 R L2 U'
U D R2 D2 L2 R U'
U D R2 D2 R L2 U'
F' U D' R' U2 R U
F2 U D' R' U2 R U
F U D R' U2 R U
F' U D2 R' U2 R U
U2 D F' U' R' U' F
R D B2 U2 L B2 U2
R D B2 U2 B2 U2 R'
D' U F2 R' F2 L' U'
D2 U F2 R' F2 L' U'
F2 U D2 R' U2 R U
F U D' R' U2 R U
U2 D F2 U' R' U' F2
D U F2 R' F2 L' U'
F U D2 R' U2 R U
R D' L F2 R U2 R2
U D F2 R' F2 L' U'
R D' L' F2 U2 L R'
R D' L' F2 U2 R' L
F' U F2 R' F2 L' U'
F2 U F2 R' F2 L' U'
R D' L2 F2 U2 L2 R'
R D' L2 F2 U2 R' L2
F U F2 R' F2 L' U'
D' U' L U2 L' R' U'
D' U' L U2 R' L' U'
U' D' L U2 L' R' U'
U' D' L U2 R' L' U'
D2 U' L U2 L' R' U'
D2 U' L U2 R' L' U'
R D' R' U2 F2 U2 F2
R D' R' D2 B2 D2 F2
U' D' L' U2 L R' U'
D' U' L' U2 L R' U'
U' D' L' U2 R' L U'
D' U' L' U2 R' L U'
D2 U' L' U2 L R' U'
D2 U' L' U2 R' L U'
D U' L U2 L' R' U'
D U' L U2 R' L' U'
U D' L R' U2 R U
R D' R' B2 D2 F2 B2
R D' R' B2 D2 B2 F2
U' D' L2 U2 L2 R' U'
D' U' L2 U2 L2 R' U'
U' D' L2 U2 R' L2 U'
D' U' L2 U2 R' L2 U'
R D' R2 F2 L' U2 L
D2 U' L2 U2 L2 R' U'
D2 U' L2 U2 R' L2 U'
D U' L' U2 L R' U'
D U' L' U2 R' L U'
U D' L' R' U2 R U
B2 U' L R U D2 F2
B2 U' L R U' B2 U2
B2 U' L R D' R2 U
B2 U' L R D2 U F2
B2 U' L R' U D2 F2
B2 U' L R' U' B2 U2
B2 U' L R' D' R2 U
B2 U' L R' D2 U F2
B2 U' L R2 U D2 F2
F' U' L U2 L' R' U'
B2 U' L R2 U' B2 U2
F' U' L U2 R' L' U'
B2 U' L R2 D' R2 U
B2 U' L R2 D2 U F2
B2 U' L U D2 F2 D
B2 U' L U D2 F2 D'
B2 U' L U D2 F2 D2
B2 U' L U F D2 F2
B2 U' L U F' D2 F2
B2 U' L U F2 D2 F2
B2 U' L U' B2 U2 D
B2 U' L U' B2 U2 D'
B2 U' L U' B2 U2 D2
B2 U' L U' B2 D U2
B2 U' L U' B2 D' U2
B2 U' L U' B2 D2 U2
B2 U' L U2 D L2 U'
B2 U' L D U2 L2 U'
F2 U' L U2 L' R' U'
F2 U' L U2 R' L' U'
B2 U' L D' R2 U D
B2 U' L D' R2 U D'
B2 U' L D' R2 U D2
B2 U' L D' R2 D U
B2 U' L D' R2 D' U
B2 U' L D' R2 D2 U
B2 U' L D2 R U F2
B2 U' L D2 R' U F2
B2 U' L D2 R2 U F2
B2 U' L D2 U F2 D
B2 U' L D2 U F2 D'
B2 U' L D2 U F2 D2
D U' L2 U2 L2 R' U'
D U' L2 U2 R' L2 U'
U D' L2 R' U2 R U
F' U' L' U2 L R' U'
F' U' L' U2 R' L U'
F2 U' L' U2 L R' U'
F2 U' L' U2 R' L U'
F U' L U2 L' R' U'
B2 U' L' D' R2 U B2
F U' L U2 R' L' U'
R D' U2 F2 U2 R' F2
R D' U2 F2 U2 F2 R'
F' U' L2 U2 L2 R' U'
F' U' L2 U2 R' L2 U'
F2 U' L2 U2 L2 R' U'
B2 U' L2 D' L' R2 U
F2 U' L2 U2 R' L2 U'
B2 U' L2 D' R2 L' U
F U' L' U2 L R' U'
B2 U' L2 D2 L' U F2
F U' L' U2 R' L U'
U D' R' L U2 R U
U D' R' L' U2 R U
U D' R' L2 U2 R U
U D' R' U2 R U D
U D' R' U2 R U D'
U D' R' U2 R U D2
U D' R' U2 R D U
U D' R' U2 R D' U
U D' R' U2 R D2 U
U D' R' U2 D R U
U D' R' U2 D' R U
U D' R' U2 D2 R U
B2 U' R L U D2 F2
B2 U' R L U' B2 U2
B2 U' R L D' R2 U
B2 U' R L D2 U F2
U D' R' D U2 R U
U D' R' D' U2 R U
U D' R' D2 U2 R U
U D' R' F2 L' F2 U'
B2 U' R D' L R2 U
B2 U' R D' R2 L U
B2 U' R D2 L U F2
F U' L2 U2 L2 R' U'
F U' L2 U2 R' L2 U'
B2 U' R' L U D2 F2
B2 U' R' L U' B2 U2
B2 U' R' L D' R2 U
B2 U' R' L D2 U F2
U D' R2 D' R U' F2
U D' R2 D2 L2 R U'
U D' R2 D2 R L2 U'
R D' F2 L U2 L' R'
R D' F2 L U2 R' L'
R D' F2 L' U2 L R'
R D' F2 L' U2 R' L
B2 U' R' D' L R2 U
B2 U' R' D' R2 L U
R D' F2 L2 U2 L2 R'
R D' F2 L2 U2 R' L2
B2 U' R' D2 L U F2
B2 U' R2 L U D2 F2
B2 U' R2 L U' B2 U2
B2 U' R2 L D' R2 U
B2 U' R2 L D2 U F2
U2 D' F' U' R' U' F
B2 U' R2 D' L R2 U
B2 U' R2 D' R2 L U
B2 U' R2 D2 L U F2
B2 U' D L U2 L U'
U2 D' F2 U' R' U' F2
B2 U' D' L R2 U D
B2 U' D' L R2 U D'
B2 U' D' L R2 U D2
B2 U' D' L R2 D U
B2 U' D' L R2 D' U
B2 U' D' L R2 D2 U
B2 U' D' L U D' F2
B2 U' D' L D' U F2
U D' F2 R' F2 L' U'
B2 U' D' R2 L U D
B2 U' D' R2 L U D'
B2 U' D' R2 L U D2
B2 U' D' R2 L D U
B2 U' D' R2 L D' U
B2 U' D' R2 L D2 U
B2 U' D' R2 D L U
B2 U' D' R2 D' L U
B2 U' D' R2 D2 L U
B2 U' D2 L R U F2
B2 U' D2 L R' U F2
B2 U' D2 L R2 U F2
B2 U' D2 L U F2 D
B2 U' D2 L U F2 D'
B2 U' D2 L U F2 D2
B2 U' D2 L D R2 U
B2 U' D2 R L U F2
B2 U' D2 R' L U F2
B2 U' D2 R2 L U F2
R D' B2 D2 F2 B2 R'
R D' B2 D2 B2 R' F2
R D' B2 D2 B2 F2 R'
