F L' R' F2 B U'
F L' R' B F2 U'
F L' F2 R' B U'
F R' L' F2 B U'
F R' L' B F2 U'
F' R' U2 R2 F' U
F' R' D' B U' F2
F' R' D2 L2 B U'
F' R' D2 B L2 U'
F' R' B U' D' F2
F' R' B U2 R2 U
F' R' B D' U' F2
F' R' B D2 L2 U'
F R' B L' F2 U'
F' R' L2 D2 B L2 U'
F R' L' F2 D B U'
F R' L' F2 D' B U'
F R' L' F2 D2 B U'
F R' L' F2 B U' D
F R' L' F2 B U' D'
F R' L' F2 B U' D2
F R' L' F2 B D U'
F R' L' F2 B D' U'
F R' L' F2 B D2 U'
F R' L' B U' D R2
F R' L' B D U' R2
F R' L' B F2 U' D
F R' L' B F2 U' D'
F R' L' B F2 U' D2
F R' L' B F2 D U'
F R' L' B F2 D' U'
F R' L' B F2 D2 U'
F' R' L2 B U' D' F2
F' R' L2 B U2 R2 U
F' R' L2 B D' U' F2
F' R' L2 B D2 L2 U'
F R' L2 F2 L B U'
F' R' U2 R2 D F' U
F' R' U2 R2 D' F' U
F' R' U2 R2 D2 F' U
F' R' U2 R2 F' U D
F' R' U2 R2 F' U D'
F' R' U2 R2 F' U D2
F' R' U2 R2 F' D U
F' R' U2 R2 F' D' U
F' R' U2 R2 F' D2 U
F' R' U2 F R2 F' U
F' R' U2 F' R2 F' U
F' R' U2 F2 R2 F' U
F' R' D B U B U2
F R' D L' B U' R2
F' R' D' L B U' F2
F' R' D' L' B U' F2
F' R' D' L2 B U' F2
F R' D B L' U' R2
F' R' D' B L U' F2
F' R' D' B L' U' F2
F' R' D' B L2 U' F2
F' R' D' B U' F2 D
F' R' D' B U' F2 D'
F' R' D' B U' F2 D2
F' R' D' B D' L2 U'
F' R' D2 L' B L' U'
F' R' D2 L2 D B U'
F' R' D2 L2 D' B U'
F' R' D2 L2 D2 B U'
F' R' D2 L2 B U' D
F' R' D2 L2 B U' D'
F' R' D2 L2 B U' D2
F' R' D2 L2 B D U'
F' R' D2 L2 B D' U'
F' R' D2 L2 B D2 U'
F' R' D2 B L2 U' D
F' R' D2 B L2 U' D'
F' R' D2 B L2 U' D2
F' R' D2 B L2 D U'
F' R' D2 B L2 D' U'
F' R' D2 B L2 D2 U'
F' R' D2 B U' D F2
F' R' D2 B D U' F2
F' R' D2 B' L2 B2 U'
F2 R' F B U2 R U
F2 R' F' L' F2 B U'
F2 R' F' L' B F2 U'
F2 R' F' B L' F2 U'
F' R' B L U' D' F2
F' R' B L U2 R2 U
F' R' B L D' U' F2
F' R' B L D2 L2 U'
F' R' B L' U' D' F2
F' R' B L' U2 R2 U
F' R' B L' D' U' F2
F' R' B L' D2 L2 U'
F' R' B L2 U' D' F2
F' R' B L2 U2 R2 U
F' R' B L2 D' U' F2
F' R' B L2 D2 L2 U'
F' R' B U D B2 U2
F' R' B U' D' F2 D
F' R' B U' D' F2 D'
F' R' B U' D' F2 D2
F' R' B U' F D' F2
F' R' B U' F' D' F2
F' R' B U' F2 D' F2
F' R' B U2 R2 U D
F' R' B U2 R2 U D'
F' R' B U2 R2 U D2
F' R' B U2 R2 D U
F' R' B U2 R2 D' U
F' R' B U2 R2 D2 U
F' R' B D U B2 U2
F' R' B D' L U' F2
F' R' B D' L' U' F2
F' R' B D' L2 U' F2
F' R' B D' U' F2 D
F' R' B D' U' F2 D'
F' R' B D' U' F2 D2
F R' F2 B U2 R U
F' R' B D2 L2 U' D
F' R' B D2 L2 U' D'
F' R' B D2 L2 U' D2
F' R' B D2 L2 D U'
F' R' B D2 L2 D' U'
F' R' B D2 L2 D2 U'
R' U2 R2 F' R B U
F R' B L F2 L2 U'
F R' B L' U' D R2
F R' B L' D U' R2
F R' B L' F2 U' D
F R' B L' F2 U' D'
F R' B L' F2 U' D2
F R' B L' F2 D U'
F R' B L' F2 D' U'
F R' B L' F2 D2 U'
F R' B L2 F2 L U'
F2 R' B F U2 R U
F2 R' B F' L' F2 U'
F R' B D L' U' R2
F R' B F2 U2 R U
F R' B' L' F2 B2 U'
F R' B' L' B2 F2 U'
F' R' B2 D' B' U' F2
F' R' B2 D2 B' L2 U'
F' R2 B R B L U'
F' R2 B2 L R B U'
F' R2 B2 R L B U'
F U L' R' F2 B U'
F U L' R' B F2 U'
F U L' F2 R' B U'
R' D B U' R F' R2
F U R' L' F2 B U'
F U R' L' B F2 U'
F U R' B L' F2 U'
F U' L' R' F2 B U'
F U' L' R' B F2 U'
F U' L' F2 R' B U'
F2 U' R' F B U' F2
F2 U' R' B F U' F2
F U' R' L' F2 B U'
F U' R' L' B F2 U'
F U' R' B L' F2 U'
F2 U' F R' B U' F'
F U2 L' R' F2 B U'
F U2 L' R' B F2 U'
F U2 L' F2 R' B U'
F' U2 R U2 R2 B U'
F' U2 R D F' U B2
F' U2 R D2 L2 F' U
F' U2 R D2 F' L2 U
F' U2 R F' U D B2
F' U2 R F' U2 R2 U'
F' U2 R F' D U B2
F' U2 R F' D2 L2 U
F2 U2 R' F B L U'
F2 U2 R' B F L U'
F U2 R' L' F2 B U'
F U2 R' L' B F2 U'
F U2 R' B L' F2 U'
U' F L' R' F2 B U'
U' F L' R' B F2 U'
L' F L' R' F2 B U'
L' F L' R' B F2 U'
R' F L' D B U' R'
U' F L' F2 R' B U'
U2 F L' R' F2 B U'
U2 F L' R' B F2 U'
L2 F L' R' F2 B U'
L2 F L' R' B F2 U'
L' F L' F2 R' B U'
F2 U2 F R' B L U'
U2 F L' F2 R' B U'
L2 F L' F2 R' B U'
U F L' R' F2 B U'
U F L' R' B F2 U'
L F L' R' F2 B U'
L F L' R' B F2 U'
U F L' F2 R' B U'
L F L' F2 R' B U'
U' F R' L' F2 B U'
U' F R' L' B F2 U'
L' F R' L' F2 B U'
L' F R' L' B F2 U'
U' F R' B L' F2 U'
U2 F R' L' F2 B U'
U2 F R' L' B F2 U'
L2 F R' L' F2 B U'
L2 F R' L' B F2 U'
L' F R' B L' F2 U'
U2 F R' B L' F2 U'
L2 F R' B L' F2 U'
U F R' L' F2 B U'
U F R' L' B F2 U'
L F R' L' F2 B U'
L F R' L' B F2 U'
U F R' B L' F2 U'
L F R' B L' F2 U'
R' F D L' B U' R'
R' F D B L' U' R'
R' F D2 L' F B U'
R' F D2 L' B F U'
R' F D2 B L' F U'
R' F B D2 L' F U'
D2 F' L R' B' L U'
D2 F' R' L B' L U'
U' F' R' U2 R2 F' U
U' F' R' D' B U' F2
U' F' R' D2 L2 B U'
U' F' R' D2 B L2 U'
L' F' R' U2 R2 F' U
U' F' R' B U' D' F2
U' F' R' B U2 R2 U
U' F' R' B D' U' F2
U' F' R' B D2 L2 U'
L' F' R' D' B U' F2
L' F' R' D2 L2 B U'
L' F' R' D2 B L2 U'
D2 F' R' B' L B' U'
L' F' R' B U' D' F2
L' F' R' B U2 R2 U
L' F' R' B D' U' F2
L' F' R' B D2 L2 U'
L2 F' R' U2 R2 F' U
U2 F' R' U2 R2 F' U
L2 F' R' D' B U' F2
U2 F' R' D' B U' F2
L2 F' R' D2 L2 B U'
U2 F' R' D2 L2 B U'
L2 F' R' D2 B L2 U'
U2 F' R' D2 B L2 U'
L2 F' R' B U' D' F2
U2 F' R' B U' D' F2
L2 F' R' B U2 R2 U
U2 F' R' B U2 R2 U
L2 F' R' B D' U' F2
U2 F' R' B D' U' F2
L2 F' R' B D2 L2 U'
U2 F' R' B D2 L2 U'
D F' R' U B R' U2
R F' R B U2 R U'
U F' R' U2 R2 F' U
L F' R' U2 R2 F' U
U F' R' D' B U' F2
U F' R' D2 L2 B U'
U F' R' D2 B L2 U'
L F' R' D' B U' F2
L F' R' D2 L2 B U'
L F' R' D2 B L2 U'
U F' R' B U' D' F2
U F' R' B U2 R2 U
U F' R' B D' U' F2
U F' R' B D2 L2 U'
L F' R' B U' D' F2
L F' R' B U2 R2 U
L F' R' B D' U' F2
L F' R' B D2 L2 U'
R F' D R B U B
R F' D2 L2 R B U
R F' D2 R L2 B U
R F' D2 R B L2 U
R' F2 D B U' R' F'
R' B F D2 L' F U'
F' B U2 R F' L' U
B2 F' U2 L R F' U
B2 F' U2 R L F' U
B2 F' U2 R F' L U
B F' U2 R F' L' U
F' B2 U2 L R F' U
F' B2 U2 R L F' U
F' B2 U2 R F' L U
