R' U L U F'
U L U' R' U2 F'
R' U L U D F'
R' U L U D' F'
R' U L U D2 F'
R' U L U F' D
R' U L U F' D'
R' U L U F' D2
R' U L D U F'
R' U L D' U F'
R' U L D2 U F'
R' U D L U F'
R' U D' L U F'
R' U D2 L U F'
F' R' U L U F'
F2 R' U L U F'
D' R' U L U F'
D2 R' U L U F'
D R' U L U F'
F R' U L U F'
R' U2 F' U' L U
R' D U L U F'
R' D' U L U F'
L' D' B2 L R' F'
L' D' B2 R' L F'
L' D' B2 R' F' L
B2 U' R' U' L F
R' D2 U L U F'
R' F U L U F2
B2 R U' R2 U' F' L
B R D B U2 L B'
R' U' L' U' D' F' B2
R' U' L' U' D' B2 F'
R' U' L' U' F' D' B2
R' U' L' U2 L2 U F'
U R D2 L U L F
R' U' L' D' U' F' B2
R' U' L' D' U' B2 F'
R' U' L2 U2 L' U F'
R' U' R U2 L U F
B' R B R' U L U
B R B U' R' U' L
D2 R' U L U D F'
D2 R' U L U D' F'
D2 R' U L U D2 F'
D2 R' U L U F' D
D2 R' U L U F' D'
D2 R' U L U F' D2
D2 R' U L D U F'
D' R' U L U D F'
D' R' U L U D' F'
D' R' U L U D2 F'
D' R' U L U F' D
D' R' U L U F' D'
D' R' U L U F' D2
D2 R' U L D' U F'
D2 R' U L D2 U F'
D' R' U L D U F'
D' R' U L D' U F'
D' R' U L D2 U F'
F' R' U L U D F'
F' R' U L U D' F'
F' R' U L U D2 F'
F' R' U L U F' D
F' R' U L U F' D'
F' R' U L U F' D2
F' R' U L D U F'
F' R' U L D' U F'
F' R' U L D2 U F'
F2 R' U L U D F'
F2 R' U L U D' F'
F2 R' U L U D2 F'
F2 R' U L U F' D
F2 R' U L U F' D'
F2 R' U L U F' D2
D2 R' U D L U F'
F2 R' U L D U F'
F2 R' U L D' U F'
F2 R' U L D2 U F'
D' R' U D L U F'
D2 R' U D' L U F'
D' R' U D' L U F'
D2 R' U D2 L U F'
D' R' U D2 L U F'
F' R' U D L U F'
F' R' U D' L U F'
D R' U L U D F'
D R' U L U D' F'
D R' U L U D2 F'
D R' U L U F' D
D R' U L U F' D'
D R' U L U F' D2
D R' U L D U F'
D R' U L D' U F'
D R' U L D2 U F'
F' R' U D2 L U F'
F2 R' U D L U F'
F2 R' U D' L U F'
F2 R' U D2 L U F'
F R' U L U D F'
F R' U L U D' F'
F R' U L U D2 F'
F R' U L U F' D
F R' U L U F' D'
F R' U L U F' D2
F R' U L D U F'
F R' U L D' U F'
F R' U L D2 U F'
D R' U D L U F'
D R' U D' L U F'
D R' U D2 L U F'
F R' U D L U F'
F R' U D' L U F'
F R' U D2 L U F'
D2 R' U2 F' U' L U
D' R' U2 F' U' L U
F' R' U2 F' U' L U
F2 R' U2 F' U' L U
D R' U2 F' U' L U
D2 R' D U L U F'
D' R' D U L U F'
F' R' D U L U F'
F R' U2 F' U' L U
F2 R' D U L U F'
D R' D U L U F'
F R' D U L U F'
D2 R' D' U L U F'
D' R' D' U L U F'
F' R' D' U L U F'
F2 R' D' U L U F'
D R' D' U L U F'
D2 R' D2 U L U F'
F R' D' U L U F'
D' R' D2 U L U F'
F' R' D2 U L U F'
R' U2 L' D' L F' B2
R' U2 L' D' L B2 F'
F2 R' D2 U L U F'
R' U2 L' D' F' L B2
D R' D2 U L U F'
R' U2 L' F' D' L B2
F R' D2 U L U F'
D2 R' F U L U F2
D' R' F U L U F2
F' R' F U L U F2
F2 R' F U L U F2
D R' F U L U F2
F R' F U L U F2
R' U2 D F' U' L U
R' U2 D' F' U' L U
L' U2 D' B2 L R' F
L' U2 D' B2 L F R'
L' U2 D' B2 R' L F
R' U2 D2 F' U' L U
U R2 L U' R B U2
R' U2 F U' L U F2
R' U2 F' L' D' L B2
R' U2 F' U' L U D
R' U2 F' U' L U D'
R' U2 F' U' L U D2
R' U2 F' U' L D U
R' U2 F' U' L D' U
R' U2 F' U' L D2 U
R' U2 F' U' D L U
R' U2 F' U' D' L U
R' U2 F' U' D2 L U
R' U2 F' D U' L U
R' U2 F' D' U' L U
R' U2 F' D2 U' L U
R' U2 F' B2 U R' U'
B2 R2 U' R U' L F'
B2 R2 U' R U' F' L
R' U2 B2 F' U R' U'
L' D L R' F2 U2 F
L' D L F2 R' U2 F'
L' D R' L F2 U2 F
R' D U L U D F'
R' D U L U D' F'
R' D U L U D2 F'
R' D U L U F' D
R' D U L U F' D'
R' D U L U F' D2
R' D U L D U F'
R' D U L D' U F'
R' D U L D2 U F'
D' U L U' R' U2 F'
D2 U L U' R' U2 F'
F' U L U' R' U2 F'
R' D U2 F' U' L U
F2 U L U' R' U2 F'
D U L U' R' U2 F'
R' D F U L U F2
F U L U' R' U2 F'
U D L U' R' U2 F'
L' D F2 L R' U2 F'
L' D F2 R' L U2 F'
R D B U' B R' U'
L' D' L R' U2 F' B2
L' D' L R' U2 B2 F'
L' D' L U2 B2 L F
L' D' R' L U2 F' B2
L' D' R' L U2 B2 F'
L' D' R' U2 F' B2 R'
L' D' R' U2 B2 F' R'
R' D' U L U D F'
R' D' U L U D' F'
R' D' U L U D2 F'
R' D' U L U F' D
R' D' U L U F' D'
R' D' U L U F' D2
R' D' U L D U F'
R' D' U L D' U F'
R' D' U L D2 U F'
U D' L U' R' U2 F'
R' D' U2 F' U' L U
L' D' U2 B2 L R' F
L' D' U2 B2 L F R'
L' D' U2 B2 R' L F
R' D' F U L U F2
B' U' L' U' B' L F
L' D' F B2 L R' F'
L' D' F B2 R' L F'
L' D' F B2 R' F' L
L' D' F' B2 L R' F'
L' D' F' B2 R' L F'
L' D' F' B2 R' F' L
L' D' F2 B2 L R' F'
L' D' F2 B2 R' L F'
L' D' F2 B2 R' F' L
B2 U' R' U' L D F
B2 U' R' U' L D' F
B2 U' R' U' L D2 F
B2 U' R' U' L F D
B2 U' R' U' L F D'
B2 U' R' U' L F D2
B2 U' R' U' D L F
B2 U' R' U' D' L F
B2 U' R' U' D2 L F
B2 U' R' U' F L F
B2 U' R' U' F' L F
B2 U' R' U' F2 L F
B2 U' R' D U' L F
B2 U' R' D' U' L F
B2 U' R' D2 U' L F
L' D' B2 L R' D F'
L' D' B2 L R' D' F'
L' D' B2 L R' D2 F'
L' D' B2 L R' F' D
L' D' B2 L R' F' D'
L' D' B2 L R' F' D2
L' D' B2 L D R' F'
L' D' B2 L D' R' F'
L' D' B2 L D2 R' F'
L' D' B2 L F R' F'
L' D' B2 L F' R' F'
L' D' B2 L F2 R' F'
L' D' B2 L' R' F' L2
L' D' B2 R' L D F'
L' D' B2 R' L D' F'
L' D' B2 R' L D2 F'
L' D' B2 R' L F' D
L' D' B2 R' L F' D'
L' D' B2 R' L F' D2
L' D' B2 R' L' F' L2
L' D' B2 R' D L F'
L' D' B2 R' D F' L
L' D' B2 R' D' L F'
L' D' B2 R' D' F' L
L' D' B2 R' D2 L F'
L' D' B2 R' D2 F' L
L' D' B2 R' F L F2
L' D' B2 R' F' L D
L' D' B2 R' F' L D'
L' D' B2 R' F' L D2
L' D' B2 R' F' D L
L' D' B2 R' F' D' L
L' D' B2 R' F' D2 L
B2 U' D R' U' L F
L' D' B2 D L R' F'
L' D' B2 D R' L F'
L' D' B2 D R' F' L
L' D' B2 D' L R' F'
L' D' B2 D' R' L F'
L' D' B2 D' R' F' L
L' D' B2 D2 L R' F'
L' D' B2 D2 R' L F'
L' D' B2 D2 R' F' L
L' D' B2 F L R' F'
L' D' B2 F R' L F'
L' D' B2 F R' F' L
L' D' B2 F' L R' F'
L' D' B2 F' R' L F'
L' D' B2 F' R' F' L
L' D' B2 F2 L R' F'
L' D' B2 F2 R' L F'
L' D' B2 F2 R' F' L
B2 U' D' R' U' L F
B2 U' D2 R' U' L F
U D2 L U' R' U2 F'
R' D2 U L U D F'
R' D2 U L U D' F'
R' D2 U L U D2 F'
R' D2 U L U F' D
R' D2 U L U F' D'
R' D2 U L U F' D2
R' D2 U L D U F'
R' D2 U L D' U F'
R' D2 U L D2 U F'
B2 U2 L U R' U' F
R' D2 U2 F' U' L U
B2 U2 L F U R' U'
R' D2 F U L U F2
U F L R U D2 L2
U F L R U' R2 U2
U F L R D' F2 U
U F L R D2 U L2
D' F R' U L U F'
D2 F R' U L U F'
U F R L U D2 L2
U F R L U' R2 U2
U F R L D' F2 U
U F R L D2 U L2
U F R D' L F2 U
U F R D' F2 L U
U F R D2 L U L
D F R' U L U F'
R' F U L R U F2
R' F U L R' U F2
R' F U L R2 U F2
R' F U L U F2 D
R' F U L U F2 D'
R' F U L U F2 D2
R' F U L D R2 U
R' F U R L U F2
R' F U R' L U F2
R' F U R2 L U F2
R' F U D L R2 U
R' F U D R2 L U
R F R2 U L U F'
R' F U2 F2 U' L U
R' F D U L R2 U
R' F D U R2 L U
L' F D' B2 L R' F'
L' F D' B2 R' L F'
L' F D' B2 R' F' L
F' D R' U L U F'
R' F D2 B2 U' R' U'
F2 D R' U L U F'
B D R B U2 L B'
F D R' U L U F'
R' F B2 U' R' U' F2
B2 D U' R' U' L F
D2 F' R' U L U F'
D' F' R' U L U F'
D F' R' U L U F'
R' F' U L U2 L' U'
B D B U2 L F B'
B D B U2 L B' F
R F' R2 U L U F'
L' F' D' B2 L R' F'
L' F' D' B2 R' L F'
L' F' D' B2 R' F' L
F' D' R' U L U F'
F2 D' R' U L U F'
B D' R F' B U2 L
B D' R B F' U2 L
B D' R' U2 F' L' B
B D' R' U2 F' B L'
B D' R' U2 B F' L'
F D' R' U L U F'
B2 D' U' R' U' L F
D2 F2 R' U L U F'
D' F2 R' U L U F'
D F2 R' U L U F'
B D' B' R' U2 F' B
B D' B' R' U2 B F'
R F2 R2 U L U F'
R' F2 U2 F U' L U
L' F2 D' B2 L R' F'
L' F2 D' B2 R' L F'
L' F2 D' B2 R' F' L
F' D2 R' U L U F'
F2 D2 R' U L U F'
F D2 R' U L U F'
R' F2 B2 U' R' U' F
U' B L B R' U' L
B2 D2 U' R' U' L F
R B R D' R F' U2
R B R' D' R' U2 B
U2 B D B L F B'
U2 B D B L B' F
B2 F U' R' U' L F
R' B' U' L' U' F' B'
R' B' U' L' U' B' F'
R' B' U2 F' U' L' U
B2 F' U' R' U' L F
U2 B2 L U R' U' F
L2 B2 L D' B2 R' F'
U2 B2 L F U R' U'
L' B2 R' D' L F' B2
L' B2 R' D' L B2 F'
L' B2 R' D' F' L B2
R2 B2 R U2 D F' B2
R2 B2 R U2 D B2 F'
R2 B2 R U2 F' D B2
R2 B2 R D U2 F' B2
R2 B2 R D U2 B2 F'
L' B2 R' F' D' L B2
R2 B2 R D' F2 U2 F
R2 B2 R D' F2 U2 F
U2 B2 U R' U' L F
D2 B2 U' R' U' L F
D' B2 U' R' U' L F
R' B2 U2 F' U R' U'
R B2 R2 B' U' R U'
D B2 U' R' U' L F
F' B2 U' R' U' L F
L' B2 D' L R' F' B2
L' B2 D' L R' B2 F'
B2 F2 U' R' U' L F
F2 B2 U' R' U' L F
L' B2 D' R' L F' B2
L' B2 D' R' L B2 F'
L' B2 D' R' F' L B2
F B2 U' R' U' L F
R' B2 F U' R' U' F2
R' B2 F2 U' R' U' F
