U L B2 U F
F L R B2 U L
U L R B2 U F
U L R' B2 U F
U L R2 B2 U F
U L U D' R2 F
U L U D' F R2
U L U F D' R2
U L D' U R2 F
U L D' U F R2
L R B2 U L F
R L B2 U L F
U L B2 R U F
U L B2 R' U F
U L B2 R2 U F
U L B2 U D F
U L B2 U D' F
U L B2 U D2 F
U L B2 U F D
U L B2 U F D'
U L B2 U F D2
U L B2 D U F
U L B2 D' U F
U L B2 D2 U F
U L2 B2 L' U F
U R L B2 U F
F R L B2 U L
U R' L B2 U F
U R2 L B2 U F
D' U L U R2 F
D' U L U F R2
F U L R B2 U
F U L B2 R U
F U R L B2 U
U D' L U R2 F
U D' L U F R2
L F R B2 U L
U B2 U2 R' U' F'
F R L B2 U D' L
F R L B2 U D2 L
F R L B2 D U L
F R L B2 D' U L
F R L B2 D2 U L
F R L B2 F U L
F R L B2 F' U L
F R L B2 F2 U L
U R L B2 R U F
U R L B2 R' U F
U R L B2 R2 U F
U R L B2 U D F
U R L B2 U D' F
U R L B2 U D2 F
U R L B2 U F D
U R L B2 U F D'
U R L B2 U F D2
U R L B2 D U F
U R L B2 D' U F
U R L B2 D2 U F
F R L' B2 L2 U L'
F R L2 B2 L' U L2
B2 R U D B2 L F
U R L2 B2 L' U F
U2 R U' L B2 U F
B2 R D U B2 L F
L2 U B2 L' U' B' U2
L U B2 L U F B2
L U B2 L U B2 F
U R D' L U R2 F
U R D' L U F R2
F R F L B2 U L
F R F' L B2 U L
F R F2 L B2 U L
F R B2 U2 R' U' L
U R B2 U2 R' U' F'
U R' L U D' R2 F
U R' L U D' F R2
U R' L U F D' R2
U R' L D' U R2 F
U R' L D' U F R2
U R' L B2 R U F
U R' L B2 R' U F
U R' L B2 R2 U F
U R' L B2 U D F
U R' L B2 U D' F
U R' L B2 U D2 F
U R' L B2 U F D
U R' L B2 U F D'
U R' L B2 U F D2
U R' L B2 D U F
U R' L B2 D' U F
U R' L B2 D2 U F
B2 R' U R U2 R' F'
U R' L2 B2 L' U F
U2 R' U' L B2 U F
B2 R' U' R B U2 B'
U' R' U2 L B2 U F'
U R' D' L U R2 F
U R' D' L U F R2
U R' B2 U2 R' U' F'
U R2 L U D' R2 F
U R2 L U D' F R2
U R2 L U F D' R2
U R2 L D' U R2 F
U R2 L D' U F R2
U R2 L B2 R U F
U R2 L B2 R' U F
U R2 L B2 R2 U F
U R2 L B2 U D F
U R2 L B2 U D' F
U R2 L B2 U D2 F
U R2 L B2 U F D
U R2 L B2 U F D'
U R2 L B2 U F D2
U R2 L B2 D U F
U R2 L B2 D' U F
U R2 L B2 D2 U F
U R2 L2 B2 L' U F
U2 R2 U' L B2 U F
U R2 D' L U R2 F
U R2 D' L U F R2
L2 D L2 U L U F
D' U L R U R F
D' U L R' U R' F
D' U L R' U F R'
D' U L U R' F R'
D' U L U R2 D F
D' U L U R2 D' F
D' U L U R2 D2 F
D' U L U R2 F D
D' U L U R2 F D'
D' U L U R2 F D2
D' U L U F R2 D
D' U L U F R2 D'
D' U L U F R2 D2
D' U L U F' R2 F2
D2 U L U D R2 F
D2 U L U D F R2
D2 U L U2 F2 U' F'
D2 U L D U R2 F
D2 U L D U F R2
D' U L D B2 U F
D2 U L D2 B2 U F
D' U L B U R2 F
D' U L B U F R2
D' U L B' U R2 F
D' U L B' U F R2
U R2 B2 U2 R' U' F'
D' U L B2 U R2 F
D' U L B2 U F R2
F' U L B2 U D F2
F' U L B2 U2 L2 U'
F' U L B2 D U F2
F' U L B2 D2 R2 U
F U L R U D' R2
F U L R D' U R2
F U L R B2 U D
F U L R B2 U D'
F U L R B2 U D2
F U L R B2 D U
F U L R B2 D' U
F U L R B2 D2 U
F U L R' B2 R2 U
F U L D' R U R
D U L B2 U R' F
D U L B2 U F R'
F U L B' R B' U
F U L B2 R U D
F U L B2 R U D'
F U L B2 R U D2
F U L B2 R D U
F U L B2 R D' U
F U L B2 R D2 U
F U L B2 D R U
F U L B2 D' R U
F U L B2 D2 R U
F U L' R B2 L2 U
U D L B2 U R' F
U D L B2 U F R'
D' U R L U R F
F' U L2 B2 L' R' U
F' U L2 B2 R' L' U
F U L' B2 L2 R U
F U L' B2 R L2 U
F U L2 R B2 L' U
D' U R' L U R' F
D' U R' L U F R'
F U L2 B2 L' R U
F U L2 B2 R L' U
F U R L U D' R2
F U R L D' U R2
F U R L B2 U D
F U R L B2 U D'
F U R L B2 U D2
F U R L B2 D U
F U R L B2 D' U
F U R L B2 D2 U
F U R L' B2 L2 U
F U R L2 B2 L' U
F U R D' L U R2
F U R B2 U2 R' U'
F U R' L B2 R2 U
F U D' L R U R
F U D' R L U R
B U B U2 R' U' F'
U D' L R U R F
U D' L R' U R' F
U D' L R' U F R'
U D' L U R' F R'
U D' L U R2 D F
U D' L U R2 D' F
U D' L U R2 D2 F
U D' L U R2 F D
U D' L U R2 F D'
U D' L U R2 F D2
B U B' L B2 U F
U D' L U F R2 D
U D' L U F R2 D'
U D' L U F R2 D2
U D' L U F' R2 F2
U D' L D B2 U F
F' U B2 U2 L' R' U'
F' U B2 U2 R' L' U'
U D' L B U R2 F
U D' L B U F R2
U D' L B' U R2 F
U D' L B' U F R2
U D' L B2 U R2 F
U D' L B2 U F R2
F U B2 R U D B2
F U B2 R U2 R2 U'
F U B2 R D U B2
F U B2 R D2 L2 U
F' U' L' U' D' R2 B2
F' U' L' U' D' B2 R2
F' U' L' U2 L2 B2 U
F' U' L' U2 B2 L2 U
F' U' L' D' U' R2 B2
F' U' L' D' U' B2 R2
F' U' L' D2 R2 F2 U'
F' U' L' D2 F2 R2 U'
U D' R L U R F
U D' R' L U R' F
U D' R' L U F R'
U2 D' R2 U' L U F
D2 U' F2 U2 L U F
U D2 L U D R2 F
U D2 L U D F R2
U D2 L U2 F2 U' F'
U D2 L D U R2 F
U D2 L D U F R2
U D2 L D2 B2 U F
D' U2 R2 U' L U F
B2 U2 L' R' U' L F
F U2 L R B2 U L'
F U2 L B2 R U L'
U' D2 F2 U2 L U F
B2 U2 R' L' U' L F
F U2 R L B2 U L'
B2 U2 R' B L U' L'
L' F L2 R B2 U L
U F L F' B2 U F2
U F L B2 F' U F2
R F L B2 R U L
L' F R L2 B2 U L
D F L2 U L' R U
D F L2 U R L' U
L' F R B2 L2 U L'
B2 U2 B L U' L' B'
L F R F B2 U L
L F R F' B2 U L
L F R F2 B2 U L
L F R B2 U L D
L F R B2 U L D'
L F R B2 U L D2
L F R B2 U D L
L F R B2 U D' L
L F R B2 U D2 L
L F R B2 D U L
L F R B2 D' U L
L F R B2 D2 U L
L F R B2 F U L
L F R B2 F' U L
L F R B2 F2 U L
D' F U L R U R
D' F U R L U R
L' F U L2 R B2 U
L' F U L2 B2 R U
L' F U R L2 B2 U
L' F U R B2 L2 U
L' F U B2 L2 R U
L' F U B2 R L2 U
U2 F U' L B2 U F
U' F U2 L B2 U F
L F U R B2 U B2
L F U B2 R U B2
F D L2 U L' R U
F D L2 U R L' U
L F B2 R U' R' U2
L' F' U L2 B2 R' U
U' F' U2 L B2 U F
U2 F' U' L B2 U F
F D' U L R U R
F D' U R L U R
L F' B2 U2 L' U' L
U F2 L F2 B2 U F'
U F2 L B2 F2 U F'
U' F2 U2 L B2 U F
U2 F2 U' L B2 U F
B2 F R U D B2 L
B2 F R D U B2 L
B' F U R B' U B2
B' F U B' R U B
F B' U R B' U B2
B2 F' U2 L' R' U' L
B2 F' U2 R' L' U' L
F B' U B' R U B
U B2 L U2 R' U' F
D B2 L2 U' R' U' F'
L B2 R U' R' U2 F'
L B2 R' U' R B U2
D2 B2 U' R' F2 U' F
D' B2 U' R' U' F' R'
D2 B2 U' F2 R' U' F'
F B2 R U D B2 L
F B2 R D U B2 L
U B2 U2 L R' U' F'
L B2 U2 L' U' L F
U B2 U2 L' R' U' F'
U B2 U2 L2 R' U' F'
U B2 U2 R' L U' F'
U B2 U2 R' L' U' F'
U B2 U2 R' L2 U' F'
U B2 U2 R' U' D F'
U B2 U2 R' U' D' F'
U B2 U2 R' U' D2 F'
U B2 U2 R' U' F' D
U B2 U2 R' U' F' D'
U B2 U2 R' U' F' D2
U B2 U2 R' D U' F'
U B2 U2 R' D' U' F'
U B2 U2 R' D2 U' F'
U B2 U2 D R' U' F'
F' B2 U2 L' R' U' L
U B2 U2 D' R' U' F'
U B2 U2 D2 R' U' F'
F' B2 U2 R' L' U' L
L B2 U2 B L U' L'
R B2 U2 R' U' L F
U B2 D U2 R' U' F'
U B2 D' U2 R' U' F'
U B2 D2 U2 R' U' F'
L B2 F R U' R' U2
L B2 F' U2 L' U' L
