U' L R' U2 R B'
U' L R' U2 B' R
U' L' F R' U2 R
U' L2 R' U2 R B
L' U R' F U2 F'
L U' R' U2 R B'
L U' R' U2 B' R
L' U' F R' U2 R
U' R' L U2 R B'
U' R' L U2 B' R
U' R' L2 U2 R B
U' R' F2 L' F U2
D2 U' R' U2 B R
U' D2 R' U2 B R
U' B2 L D2 F2 B'
U' B2 L D2 B' F2
U' L' F R' L U2 R
U' L' F R' L' U2 R
U' L' F R' L2 U2 R
U' L' F R' U2 R D
U' L' F R' U2 R D'
U' L' F R' U2 R D2
U' L' F R' U2 D R
U' L' F R' U2 D' R
U' L' F R' U2 D2 R
U' L' F R' D U2 R
U' L' F R' D' U2 R
U' L' F R' D2 U2 R
U' L' F D R' U2 R
U' L' F D' R' U2 R
U' L' F D2 R' U2 R
U' L' F' R' F2 L' U2
L R2 U' D' F2 B' L'
L R2 U' D' B' F2 L'
L R2 U' B' D' F2 L'
U L' B' L2 B' L R'
U L' B' L2 B' R' L
U L' B2 L D2 R' B
U L' B2 L2 R' B' L'
L R2 D' U' F2 B' L'
L R2 D' U' B' F2 L'
U L' B2 R' L2 B' L'
U' L2 R' U2 R D B
U' L2 R' U2 R D' B
U' L2 R' U2 R D2 B
U' L2 R' U2 R B D
U' L2 R' U2 R B D'
U' L2 R' U2 R B D2
U' L2 R' U2 D R B
U' L2 R' U2 D' R B
U' L2 R' U2 D2 R B
U' L2 R' U2 B R B
U' L2 R' U2 B' R B
U' L2 R' U2 B2 R B
U' L2 R' D U2 R B
U' L2 R' D' U2 R B
U' L2 R' D2 U2 R B
U' L2 R' F2 L' U2 B'
D2 L2 U' R' U2 B R
U' L2 U2 R' F' U2 F
U L2 U2 L2 R' F' U2
U L2 U2 R' L2 F' U2
U L2 U2 R' F' L2 U2
U' L2 D R' U2 R B
U' L2 D' R' U2 R B
U' L2 D2 R' U2 R B
U' L2 F R' U2 R B
L U L' B2 L R' B'
L U L' B2 R' L B'
U' L2 F' R' U2 R B
L' U R F R2 B U2
U' L2 F2 R' U2 R B
L' U R' D F U2 F'
L' U R' D' F U2 F'
L' U R' D2 F U2 F'
L' U R' F U2 D F'
L' U R' F U2 D' F'
L' U R' F U2 D2 F'
L' U R' F U2 F' D
L' U R' F U2 F' D'
L' U R' F U2 F' D2
L' U R' F D U2 F'
L' U R' F D' U2 F'
L' U R' F D2 U2 F'
L' U R' F B U2 F'
L' U R' F B' U2 F'
L' U R' F B2 U2 F'
L' U R' B F U2 F'
L' U R' B' F U2 F'
L' U R' B2 F U2 F'
L U R' F U2 F' B'
L U R' F U2 B' F'
L U R' F' U2 F B'
L U R' F' U2 B' F
L U R' F2 U2 F2 B'
L U R' F2 U2 B' F2
F' L2 B' L' U B' L
L' U D R' F U2 F'
U' L2 B2 L' B' L2 F
L' U D' R' F U2 F'
L' U D2 R' F U2 F'
U' R L' F R2 U2 R
L' U F R2 B R U2
L' U F B U2 F' L'
L' U F B2 U2 L F'
L' U F B2 U2 F' L
L' U F' R' F2 U2 F'
L U F' R' U2 F B'
L U F' R' U2 B' F
L U F2 R' U2 F2 B'
L U F2 R' U2 B' F2
U' R U2 R' B2 L B'
L' U B F U2 F' L'
B2 R U2 R' U L B'
U' R U2 D2 L2 R' B
U' R U2 D2 R' L2 B
U' R U2 D2 R' B L2
D' R D B2 L U' B'
L' U B2 F U2 L F'
L' U B2 F U2 F' L
L U' L R' U2 R B
U' R D2 R' B L2 F
R2 U' L D' F2 B' L'
R2 U' L D' B' F2 L'
L' U' L' R' U2 R B
U' R D2 U2 L2 R' B
U' R D2 U2 R' L2 B
U' R D2 U2 R' B L2
R2 U' L B' D' F2 L'
L' U' L2 R' U2 R B'
L' U' L2 R' U2 B' R
R2 U' L2 D' F2 L' B'
L U' L2 F R' U2 R
L' U' R F R2 U2 R
L' U' R' L' U2 R B
L' U' R' L2 U2 R B'
L' U' R' L2 U2 B' R
L U' R' L U2 R B
L' U' R' F2 L' F' U2
L U' R' U2 R D B'
L U' R' U2 R D' B'
L U' R' U2 R D2 B'
L U' R' U2 R B' D
L U' R' U2 R B' D'
L U' R' U2 R B' D2
L U' R' U2 R' B' R2
L U' R' U2 D R B'
L U' R' U2 D B' R
L U' R' U2 D' R B'
L U' R' U2 D' B' R
L U' R' U2 D2 R B'
L U' R' U2 D2 B' R
L U' R' U2 B R B2
L U' R' U2 B' R D
L U' R' U2 B' R D'
L U' R' U2 B' R D2
L U' R' U2 B' D R
L U' R' U2 B' D' R
L U' R' U2 B' D2 R
L U' R' D U2 R B'
L U' R' D U2 B' R
L U' R' D' U2 R B'
L U' R' D' U2 B' R
L U' R' D2 U2 R B'
L U' R' D2 U2 B' R
L U' R' F' U2 B' R'
B R B U' L F B'
B R B U' L B' F
L' U' D F R' U2 R
L U' D R' U2 R B'
L U' D R' U2 B' R
B R B2 L U' B' L
L' U' D' F R' U2 R
U' R' L U2 R D B'
U' R' L U2 R D' B'
U' R' L U2 R D2 B'
U' R' L U2 R B' D
U' R' L U2 R B' D'
U' R' L U2 R B' D2
U' R' L U2 R' B' R2
U' R' L U2 D R B'
U' R' L U2 D B' R
U' R' L U2 D' R B'
U' R' L U2 D' B' R
U' R' L U2 D2 R B'
U' R' L U2 D2 B' R
U' R' L U2 B R B2
U' R' L U2 B' R D
U' R' L U2 B' R D'
U' R' L U2 B' R D2
U' R' L U2 B' D R
U' R' L U2 B' D' R
U' R' L U2 B' D2 R
U' R' L D U2 R B'
U' R' L D U2 B' R
L U' D' R' U2 R B'
L U' D' R' U2 B' R
U' R' L D' U2 R B'
U' R' L D' U2 B' R
U' R' L D2 U2 R B'
U' R' L D2 U2 B' R
L' U' D2 F R' U2 R
U' R' L F' U2 B' R'
L' U' F L R' U2 R
L' U' F L' R' U2 R
L' U' F L2 R' U2 R
L U' D2 R' U2 R B'
L U' D2 R' U2 B' R
L' U' F R' L U2 R
L' U' F R' L' U2 R
L' U' F R' L2 U2 R
L' U' F R' U2 R D
L' U' F R' U2 R D'
L' U' F R' U2 R D2
L' U' F R' U2 D R
L' U' F R' U2 D' R
L' U' F R' U2 D2 R
L' U' F R' D U2 R
L' U' F R' D' U2 R
L' U' F R' D2 U2 R
U' R' L' F2 L' F' U2
L' U' F D R' U2 R
L' U' F D' R' U2 R
L' U' F D2 R' U2 R
U' R' L2 U2 R D B
U' R' L2 U2 R D' B
U' R' L2 U2 R D2 B
U' R' L2 U2 R B D
U' R' L2 U2 R B D'
U' R' L2 U2 R B D2
U' R' L2 U2 D R B
U' R' L2 U2 D' R B
U' R' L2 U2 D2 R B
U' R' L2 U2 B R B
U' R' L2 U2 B' R B
U' R' L2 U2 B2 R B
U' R' L2 D U2 R B
U' R' L2 D' U2 R B
L U' F R' U2 R B'
L U' F R' U2 B' R
U' R' L2 D2 U2 R B
U R' L' F L U2 F'
L' U' F' R' F2 L' U2
U' R' L2 F2 L' U2 B'
U' R' U L U R B'
U' R' U L U B' R
L U' F' R' U2 R B'
L U' F' R' U2 B' R
L U' F2 R' U2 R B'
L U' F2 R' U2 B' R
U' R' U2 L R B' L'
U' R' U2 L B' L' R
U' R' U2 L B' R L'
U' R' U2 R L B' L'
U' R' U2 R2 D2 R' B
B2 R' U2 R U L B'
U' R' U2 D2 R' B R2
L U' B' U2 B R' U2
R' U2 L R U B' L'
L U' B2 L D2 F2 B
L U' B2 L D2 B F2
L U' B2 D2 L F2 B
L U' B2 D2 L B F2
L U' B2 D2 F2 L B
U' R' D2 U2 R' B R2
U' R' F L' F L' U2
U' R' F' L U2 B' R'
U' R' F' L' F U2 R
R' U2 R L U B' L'
U' R' F2 L' D F U2
U' R' F2 L' D' F U2
U' R' F2 L' D2 F U2
U' R' F2 L' F U2 D
U' R' F2 L' F U2 D'
U' R' F2 L' F U2 D2
U' R' F2 L' F D U2
U' R' F2 L' F D' U2
U' R' F2 L' F D2 U2
R U2 R' U B2 L B'
R2 U2 R2 U B2 L B'
R U2 D2 R' U L2 B
R U2 D2 R' U B L2
B2 R2 U' L D' F2 B'
B2 R2 U' L D' B' F2
B2 R2 U' L B' D' F2
U' R2 U2 R2 B2 L B'
B2 R2 U2 R2 U L B'
U' R2 D2 L2 R F' U2
U' R2 D2 R L2 F' U2
U' R2 D2 R F' L2 U2
U R2 D2 R F' U2 F
L' D U R' F U2 F'
L' D U' F R' U2 R
B' U L B' L D2 R2
L D U' R' U2 R B'
L D U' R' U2 B' R
B2 U L F2 R F2 B'
B2 U L F2 R B' F2
B2 U L F2 B' R F2
B2 U L B' U2 L' U2
B2 U L B' F2 R F2
D2 U L' B2 L R' B
D2 U L' B2 R' L B
B2 U L' B' L2 B' R'
B2 U L' B2 L2 R' B'
B2 U L' B2 R' L2 B'
B2 U L2 D2 L' R2 B'
B2 U L2 D2 L' B' R2
B2 U L2 D2 R2 L' B'
D2 U R F' R2 U2 F
D2 U R' F U2 F' B
D2 U R' F U2 B F'
D2 U R' F' U2 F B
D2 U R' F' U2 B F
D2 U R' F2 U2 F2 B
D2 U R' F2 U2 B F2
D2 U F' R' U2 F B
D2 U F' R' U2 B F
R D B2 D' L U' B'
D2 U F2 R' U2 F2 B
D2 U F2 R' U2 B F2
B2 U F U2 L F' B'
B2 U F U2 L B' F'
B2 U F U2 F' L B'
B2 U F' U2 F L B'
B2 U F2 L F2 R B'
B2 U F2 L F2 B' R
B2 U F2 L B' F2 R
B2 U F2 U2 L F2 B'
B2 U F2 U2 L B' F2
B2 U F2 U2 F2 L B'
D2 U' L R' U2 B R
D2 U' L' R' U2 B R
L' D' U R' F U2 F'
F2 U B2 L D R2 B'
F2 U B2 L D B' R2
F2 U B2 L B' D R2
D2 U' L2 R' U2 B R
L' D' U' F R' U2 R
B2 U' L R2 B' R2 F'
L D' U' R' U2 R B'
L D' U' R' U2 B' R
D2 U' R F' R2 U2 R
B2 U' L B' R2 F' R2
B2 U' L B' U2 B U2
B2 U' L B2 D2 F2 B
B2 U' L B2 D2 B F2
D2 U' R' L U2 B R
D2 U' R' L' U2 B R
D2 U' R' L2 U2 B R
D2 U' R' U2 D B R
D2 U' R' U2 D' B R
D2 U' R' U2 D2 B R
D2 U' R' U2 B R D
D2 U' R' U2 B R D'
D2 U' R' U2 B R D2
D2 U' R' U2 B D R
D2 U' R' U2 B D' R
D2 U' R' U2 B D2 R
D2 U' R' U2 B' R B2
D2 U' R' U2 B2 R B'
D2 U' R' D U2 B R
D2 U' R' D' U2 B R
D2 U' R' D2 U2 B R
B2 U' L' B L2 F B'
B2 U' L' B L2 B' F
D2 U' R' F2 L' U2 B
B2 U' R U2 L R' B'
B2 U' R U2 R' L B'
D2 U' F R' U2 B R
B2 U' R' U2 L R B'
B2 U' R' U2 L B' R
B2 U' R' U2 R L B'
D2 U' F' R' U2 B R
B2 U' R2 L B' R2 F'
B2 U' R2 U2 L R2 B'
B2 U' R2 U2 L B' R2
B2 U' R2 U2 R2 L B'
D2 U' F2 R' U2 B R
R2 D' B2 U' F2 L' B'
D2 U' B2 D2 L F2 B'
D2 U' B2 D2 L B' F2
D2 U' B2 D2 F2 L B'
U' D2 L R' U2 B R
R2 D2 L2 U R F' U2
U' D2 L' R' U2 B R
U' D2 L2 R' U2 B R
B2 U' B L B' L F
B' U' B' L B' D2 F2
U' D2 R F' R2 U2 R
U D2 L' B2 L R' B
U D2 L' B2 R' L B
R D2 R' U' B L2 F
U' D2 R' L U2 B R
U' D2 R' L' U2 B R
U' D2 R' L2 U2 B R
L' D2 U R' F U2 F'
U' D2 R' U2 D B R
U' D2 R' U2 D' B R
U' D2 R' U2 D2 B R
U' D2 R' U2 B R D
U' D2 R' U2 B R D'
U' D2 R' U2 B R D2
U' D2 R' U2 B D R
U' D2 R' U2 B D' R
U' D2 R' U2 B D2 R
U' D2 R' U2 B' R B2
U' D2 R' U2 B2 R B'
U' D2 R' D U2 B R
U' D2 R' D' U2 B R
U' D2 R' D2 U2 B R
U' D2 R' F2 L' U2 B
L' D2 U' F R' U2 R
U D2 R F' R2 U2 F
U' D2 F R' U2 B R
U D2 R' F U2 F' B
U D2 R' F U2 B F'
U D2 R' F' U2 F B
U D2 R' F' U2 B F
L D2 U' R' U2 R B'
L D2 U' R' U2 B' R
U D2 R' F2 U2 F2 B
U D2 R' F2 U2 B F2
U' D2 F' R' U2 B R
R D2 U2 R' U L2 B
R D2 U2 R' U B L2
U' D2 F2 R' U2 B R
U D2 F' R' U2 F B
U D2 F' R' U2 B F
U D2 F2 R' U2 F2 B
U D2 F2 R' U2 B F2
U' D2 B2 D2 L F2 B'
U' D2 B2 D2 L B' F2
U' D2 B2 D2 F2 L B'
U' F L R' U2 R B'
U' F L R' U2 B' R
U' F L' F R' U2 R
U' F L2 R' U2 R B
F' U2 F U' B2 L B'
F' U2 F B2 U' L B'
U' F R' L U2 R B'
U' F R' L U2 B' R
U' F R' L2 U2 R B
F2 U2 F2 U' B2 L B'
U' F R' F2 L' F U2
F U2 F' U' B2 L B'
F2 U2 F2 B2 U' L B'
F U2 F' B2 U' L B'
F' U2 B2 F U' L B'
F2 U2 B2 F2 U' L B'
F U2 B2 F' U' L B'
U F U2 F' B2 L B'
U F U2 B2 L F' B'
U F U2 B2 L B' F'
U F U2 B2 F' L B'
U' F D2 R' U2 B R
U' F B2 L D2 F2 B'
U' F B2 L D2 B' F2
U' F' L R' U2 R B'
U' F' L R' U2 B' R
U' F' L' F R' U2 R
U F B2 U2 L F' B'
U F B2 U2 L B' F'
U F B2 U2 F' L B'
U' F' L2 R' U2 R B
U' F' R' L U2 R B'
U' F' R' L U2 B' R
U' F' R' L2 U2 R B
U' F' R' F2 L' F U2
U F' U2 F B2 L B'
U F' U2 B2 F L B'
U' F' D2 R' U2 B R
U F' D2 R' U2 F B
U F' D2 R' U2 B F
U' F' B2 L D2 F2 B'
U' F' B2 L D2 B' F2
U' F2 L R' U2 R B'
U' F2 L R' U2 B' R
U' F2 L' F R' U2 R
U F' B2 U2 F L B'
U' F2 L2 R' U2 R B
U' F2 R' L U2 R B'
U' F2 R' L U2 B' R
U' F2 R' L2 U2 R B
U' F2 R' F2 L' F U2
U F2 U2 F2 B2 L B'
U F2 U2 B2 L F2 B'
U F2 U2 B2 L B' F2
U' F2 D2 R' U2 B R
U F2 U2 B2 F2 L B'
D2 F2 D2 B2 U L B'
U F2 D2 R' B2 U2 B'
U' F2 B2 L D2 F2 B'
U' F2 B2 L D2 B' F2
L F2 D2 B2 U L B
U' B L B L F B2
U' B L B L B2 F
U F2 B2 L F2 R B'
U F2 B2 L F2 B' R
U F2 B2 L B' F2 R
U F2 B2 U2 L F2 B'
U F2 B2 U2 L B' F2
U F2 B2 U2 F2 L B'
F2 D2 B2 U D2 L B'
F2 D2 B2 D2 U L B'
U' B' L B' L D2 F2
U' B' L B' D2 L F2
U' B' L B' D2 F2 L
B2 F U2 F' U' L B'
U B' L B' L D2 R2
B2 F' L' U L2 B' R'
B2 F' U2 F U' L B'
U' B2 L U2 B2 U2 B
U' B2 L D B' D F2
U' B2 L D' B' D' F2
U' B2 L D2 F2 D B'
U' B2 L D2 F2 D' B'
U' B2 L D2 F2 D2 B'
U' B2 L D2 F2 B' D
U' B2 L D2 F2 B' D'
U' B2 L D2 F2 B' D2
U' B2 L D2 B' F2 D
U' B2 L D2 B' F2 D'
U' B2 L D2 B' F2 D2
U' B2 L F D2 F2 B'
U' B2 L F D2 B' F2
U' B2 L F' D2 F2 B'
U' B2 L F' D2 B' F2
U' B2 L F2 D2 F2 B'
U' B2 L F2 D2 B' F2
U' B2 L B' L2 F L2
U' B2 L B' U2 B' U2
U' B2 L' B' L2 F B'
U' B2 L' B' L2 B' F
U' B2 L2 D2 L' F2 B'
U' B2 L2 D2 L' B' F2
R B2 L U R2 U2 B'
U B2 L F2 R F2 B'
U B2 L F2 R B' F2
R B2 L U' D2 B' L2
U B2 L F2 B' R F2
R B2 L U' B' D2 L2
U B2 L B' U2 L' U2
U B2 L B' F2 R F2
R B2 L D B2 U' B
R B2 L D2 U' B' L2
L B2 L' U' B L2 F
F' B2 L' U L2 B' R'
U B2 L' B' L2 B' R'
U B2 L' B2 L2 R' B'
U B2 L' B2 R' L2 B'
U B2 L2 D2 L' R2 B'
U B2 L2 D2 L' B' R2
U B2 L2 D2 R2 L' B'
L' B2 U F U2 L F'
L' B2 U F U2 F' L
U2 B2 U' L D' R2 B'
U2 B2 U' L D' B' R2
B2 F2 U L D R2 B'
B2 F2 U L D B' R2
B2 F2 U L B' D R2
F2 B2 U L D R2 B'
F2 B2 U L D B' R2
F2 B2 U L B' D R2
L B2 U' L' B L2 F
U' B2 D2 F2 D2 L B'
F' B2 U2 F U' L B'
U' B2 F L D2 F2 B'
U' B2 F L D2 B' F2
B2 F2 U2 F2 U' L B'
F2 B2 U2 F2 U' L B'
U' B2 F' L D2 F2 B'
U' B2 F' L D2 B' F2
U' B2 F2 L D2 F2 B'
U' B2 F2 L D2 B' F2
F B2 U2 F' U' L B'
U B2 F U2 L F' B'
U B2 F U2 L B' F'
U B2 F U2 F' L B'
U B2 F' U2 F L B'
U B2 F2 L F2 R B'
U B2 F2 L F2 B' R
U B2 F2 L B' F2 R
U B2 F2 U2 L F2 B'
U B2 F2 U2 L B' F2
U B2 F2 U2 F2 L B'
