D L2 B U F L'
B' U2 D' R2 B' L
B' U2 D' B' L R2
B' U2 D' B' R2 L
B' D L2 F U2 L'
B' D' U2 R2 B' L
B' D' U2 B' L R2
B' D' U2 B' R2 L
B' D' B' L R2 F'
B' D' B' R2 L F'
B' D' B' R2 F' L
L2 B U F B L
L2 B U B F L
B' U B2 L2 U B L
D U' L2 B U F L'
D U2 L2 B U F L'
B U' B2 U2 D' B' L
B U' B2 D' U2 B' L
B' U2 R D' R2 B' L
B' U2 R D' B' L R2
B' U2 R D' B' R2 L
B' U2 R' D' R2 B' L
B' U2 R' D' B' L R2
B' U2 R' D' B' R2 L
B' U2 R2 D' R2 B' L
B' U2 R2 D' B' L R2
B' U2 R2 D' B' R2 L
B' U2 D' R B' L R
B' U2 D' R B' R L
B' U2 D' R2 B' L D
B' U2 D' R2 B' L D'
B' U2 D' R2 B' L D2
B' U2 D' R2 B' D L
B' U2 D' R2 B' D' L
B' U2 D' R2 B' D2 L
B' U2 D' B' L R2 D
B' U2 D' B' L R2 D'
B' U2 D' B' L R2 D2
B' U2 D' B' R2 L D
B' U2 D' B' R2 L D'
B' U2 D' B' R2 L D2
B' U2 D' B' R2 D L
B' U2 D' B' R2 D' L
B' U2 D' B' R2 D2 L
L' F L' B U F B
L' F L' B U B F
B' D L2 R F U2 L'
B' D L2 R' F U2 L'
B' D L2 R2 F U2 L'
B' D L2 F R U2 L'
B' D L2 F R' U2 L'
B' D L2 F R2 U2 L'
B' D L2 F U2 L' D
B' D L2 F U2 L' D'
B' D L2 F U2 L' D2
B' D L2 F U2 D L'
B' D L2 F U2 D' L'
B' D L2 F U2 D2 L'
B' D L2 F D U2 L'
B' D L2 F D' U2 L'
B' D L2 F D2 U2 L'
B' D L2 F' R F2 U2
F' D L2 B U F L'
B' D R L2 F U2 L'
F2 D L2 B U F L'
B' D R' L2 F U2 L'
F D L2 B U F L'
L' F B L' U F B
L' F B L' U B F
B' D R2 L2 F U2 L'
B' D F L2 F U2 L
B' D F' L2 R F U2
B' D F' R L2 F U2
B' D F2 L2 F R U2
B' D' R U2 R B' L
B' D' R U2 B' L R
B' D' R U2 B' R L
B' D' R' U2 R' B' L
L2 F' B U F2 B L
L2 F' B U B L F2
L2 F' B U B F2 L
B' D' U2 R B' L R
B' D' U2 R B' R L
B' D' U2 R2 B' L D
B' D' U2 R2 B' L D'
B' D' U2 R2 B' L D2
B' D' U2 R2 B' D L
B' D' U2 R2 B' D' L
B' D' U2 R2 B' D2 L
B' D' U2 B' L R2 D
B' D' U2 B' L R2 D'
B' D' U2 B' L R2 D2
B' D' U2 B' R2 L D
B' D' U2 B' R2 L D'
B' D' U2 B' R2 L D2
B' D' U2 B' R2 D L
B' D' U2 B' R2 D' L
B' D' U2 B' R2 D2 L
B' D' F U2 R2 B' L
B' D' F U2 B' L R2
B' D' F U2 B' R2 L
B' D' F B' L R2 F'
B' D' F B' R2 L F'
B' D' F B' R2 F' L
B' D' F' U2 R2 B' L
B' D' F' U2 B' L R2
B' D' F' U2 B' R2 L
B' D' F' B' L R2 F'
B' D' F' B' R2 L F'
B' D' F' B' R2 F' L
B' D' F2 U2 R2 B' L
B' D' F2 U2 B' L R2
B' D' F2 U2 B' R2 L
B' D' F2 B' L R2 F'
B' D' F2 B' R2 L F'
B' D' F2 B' R2 F' L
B' D' B' L R2 D F'
B' D' B' L R2 D' F'
B' D' B' L R2 D2 F'
B' D' B' L R2 F' D
B' D' B' L R2 F' D'
B' D' B' L R2 F' D2
B' D' B' L F R2 F'
B' D' B' L F' R2 F'
B' D' B' L F2 R2 F'
B' D' B' L' R2 F' L2
B' D' B' R2 L D F'
B' D' B' R2 L D' F'
B' D' B' R2 L D2 F'
B' D' B' R2 L F' D
B' D' B' R2 L F' D'
B' D' B' R2 L F' D2
B' D' B' R2 L' F' L2
B' D' B' R2 D L F'
B' D' B' R2 D F' L
B' D' B' R2 D' L F'
B' D' B' R2 D' F' L
B' D' B' R2 D2 L F'
B' D' B' R2 D2 F' L
B' D' B' R2 F L F2
B' D' B' R2 F' L D
B' D' B' R2 F' L D'
B' D' B' R2 F' L D2
B' D' B' R2 F' D L
B' D' B' R2 F' D' L
B' D' B' R2 F' D2 L
B' D' B' F L R2 F'
B' D' B' F R2 L F'
B' D' B' F R2 F' L
B' D' B' F' L R2 F'
B' D' B' F' R2 L F'
B' D' B' F' R2 F' L
B' D' B' F2 L R2 F'
B' D' B' F2 R2 L F'
B' D' B' F2 R2 F' L
L2 F2 B U F' B L
L2 F2 B U B L F'
L2 F2 B U B F' L
L' B L' U F B L
L' B L' U B F L
L2 B U L' B L F
L2 B U D F B L
L2 B U D B F L
L2 B U D' F B L
L2 B U D' B F L
L2 B U D2 F B L
L2 B U D2 B F L
L2 B U F L B L
L2 B U F L' B L
L2 B U F L2 B L
L2 B U F D B L
L2 B U F D' B L
L2 B U F D2 B L
L2 B U F B L D
L2 B U F B L D'
L2 B U F B L D2
L2 B U F B D L
L2 B U F B D' L
L2 B U F B D2 L
L2 B U F' B L F2
L2 B U F2 B L F'
L2 B U B D F L
L2 B U B D' F L
L2 B U B D2 F L
L2 B U B F L D
L2 B U B F L D'
L2 B U B F L D2
L2 B U B F D L
L2 B U B F D' L
L2 B U B F D2 L
L2 B U B F' L F2
L2 B U B F2 L F'
L2 B D U F B L
L2 B D U B F L
L2 B D' U F B L
L2 B D' U B F L
L' B F L' U F B
L' B F L' U B F
L2 B D2 U F B L
L2 B D2 U B F L
L2 B F' U F2 B L
L2 B F' U B L F2
L2 B F' U B F2 L
L2 B F2 U F' B L
L2 B F2 U B L F'
L2 B F2 U B F' L
B' F U2 D' R2 B' L
B' F U2 D' B' L R2
B' F U2 D' B' R2 L
B' F D L2 F U2 L'
B' F D' U2 R2 B' L
B' F D' U2 B' L R2
B' F D' U2 B' R2 L
B' F D' B' L R2 F'
B' F D' B' R2 L F'
B' F D' B' R2 F' L
U' B' U2 D' R2 B' L
U' B' U2 D' B' L R2
U' B' U2 D' B' R2 L
D' B' U2 D L B2 R'
U' B' D L2 F U2 L'
D' B' D L2 U2 L' B2
D' B' D L2 U2 B2 L'
U2 B' U2 D' R2 B' L
U2 B' U2 D' B' L R2
U2 B' U2 D' B' R2 L
D' B' D U2 L B2 R'
U2 B' D L2 F U2 L'
U' B' D' U2 R2 B' L
U' B' D' U2 B' L R2
U' B' D' U2 B' R2 L
U' B' D' B' L R2 F'
U' B' D' B' R2 L F'
U' B' D' B' R2 F' L
U B' U2 D' R2 B' L
U B' U2 D' B' L R2
U B' U2 D' B' R2 L
D' B' D' F2 U2 L R2
D' B' D' F2 U2 R2 L
U2 B' D' U2 R2 B' L
U B' D L2 F U2 L'
U2 B' D' U2 B' L R2
U2 B' D' U2 B' R2 L
U2 B' D' B' L R2 F'
U2 B' D' B' R2 L F'
U2 B' D' B' R2 F' L
U B' D' U2 R2 B' L
U B' D' U2 B' L R2
U B' D' U2 B' R2 L
U B' D' B' L R2 F'
U B' D' B' R2 L F'
U B' D' B' R2 F' L
B' F' U2 D' R2 B' L
B' F' U2 D' B' L R2
B' F' U2 D' B' R2 L
F' B' U2 D' R2 B' L
F' B' U2 D' B' L R2
F' B' U2 D' B' R2 L
B' F' D L2 F U2 L'
F2 B' U2 D' R2 B' L
F2 B' U2 D' B' L R2
F2 B' U2 D' B' R2 L
F' B' D L2 F U2 L'
F2 B' D L2 F U2 L'
B' F' D' U2 R2 B' L
B' F' D' U2 B' L R2
B' F' D' U2 B' R2 L
F B' U2 D' R2 B' L
F B' U2 D' B' L R2
F B' U2 D' B' R2 L
B' F' D' B' L R2 F'
B' F' D' B' R2 L F'
B' F' D' B' R2 F' L
F' B' D' U2 R2 B' L
F' B' D' U2 B' L R2
F' B' D' U2 B' R2 L
F' B' D' B' L R2 F'
F' B' D' B' R2 L F'
F' B' D' B' R2 F' L
F2 B' D' U2 R2 B' L
F2 B' D' U2 B' L R2
F2 B' D' U2 B' R2 L
F B' D L2 F U2 L'
F2 B' D' B' L R2 F'
F2 B' D' B' R2 L F'
F2 B' D' B' R2 F' L
F B' D' U2 R2 B' L
F B' D' U2 B' L R2
F B' D' U2 B' R2 L
F B' D' B' L R2 F'
F B' D' B' R2 L F'
F B' D' B' R2 F' L
B' F2 U2 D' R2 B' L
B' F2 U2 D' B' L R2
B' F2 U2 D' B' R2 L
B' F2 D L2 F U2 L'
B' F2 D' U2 R2 B' L
B' F2 D' U2 B' L R2
B' F2 D' U2 B' R2 L
B' F2 D' B' L R2 F'
B' F2 D' B' R2 L F'
B' F2 D' B' R2 F' L
