L R U D R2 B'
L R U D B' R2
R L U D R2 B'
R L U D B' R2
L R U B' D R2
R L U B' D R2
L R U2 F2 U' B'
R L U2 F2 U' B'
L R D U R2 B'
L R D U B' R2
R L D U R2 B'
R L D U B' R2
L R D2 B2 U B
R L D2 B2 U B
F2 L' U' D' L2 B'
F2 L' D' U' L2 B'
U2 L2 F2 L' U' B'
D2 R U D' R2 B
D2 R D' U R2 B
D2 R B2 U' F' U2
D2 R' B2 R2 U B'
L D R U R B'
L D R U B' R
L D2 R B2 U B
R2 D2 R' B2 U B'
U2 F2 L' U F U2
D2 B2 R U' F' U2
R L D2 B2 D U B
R L D2 B2 D' U B
R L D2 B2 D2 U B
F2 L D' U' B' L2 F
B' L D2 R B2 U B
B2 L D2 R B2 U B
B L D2 R B2 U B
L R B U B2 D R2
R L B U B2 D R2
L R B U2 F2 U' B2
L R B D L2 U R2
R L B U2 F2 U' B2
R L B D L2 U R2
L R B' D2 B2 U B2
R L B' D2 B2 U B2
L R B2 U D B R2
L R B2 U B D R2
R L B2 U D B R2
R L B2 U B D R2
L R B2 U2 F2 U' B
L R B2 D U B R2
R L B2 U2 F2 U' B
R L B2 D U B R2
L R B2 D2 B2 U B'
R L B2 D2 B2 U B'
R L' U' D F U2 R2
R L' U' D' L2 U2 B'
D2 L B2 R U' F' U2
R L' U' D' F L2 U2
R L' U' F U' F U'
D2 L' R U D' R2 B
F2 L' R U' D' L2 B'
D2 L' R D' U R2 B
F2 L' R D' U' L2 B'
R L' U2 F2 R2 U' B
R L' U2 F2 U F' U2
D2 L' R B2 U' F' U2
R L' D L2 U R2 B'
R L' D L2 U B' R2
F2 L' R' U' D' L2 B'
R L' D U' F U2 R2
F2 L' R' D' U' L2 B'
D2 L' R' B2 R2 U B'
F2 L' R2 U' D' L2 B'
F2 L' R2 D' U' L2 B'
R L' D' U' L2 U2 B'
R L' D' U' F L2 U2
R L' D2 L2 B2 U B
F2 L' U D R2 F U2
F2 L' U D F R2 U2
F2 L' U D' F U2 L2
F2 L' U F U F U
R L' D2 B2 L2 U B'
R L' D2 B2 U' F U2
F2 L' U' L2 D' B' L2
F2 L' U' L2 B' D' L2
F2 L' U' D' L2 D B'
F2 L' U' D' L2 D' B'
F2 L' U' D' L2 D2 B'
F2 L' U' D' L2 B' D
F2 L' U' D' L2 B' D'
F2 L' U' D' L2 B' D2
F2 L' U' D' B L2 B'
F2 L' U' D' B' L2 B'
F2 L' U' D' B2 L2 B'
F2 L' U' B D' L2 B'
F2 L' U' B' D' L2 B'
F2 L' U' B2 D' L2 B'
F2 L' U2 L2 F2 U B'
F2 L' U2 F2 U' F' U2
F2 L' D U R2 F U2
F2 L' D U F R2 U2
F2 L' D' R U' L2 B'
F2 L' D' R' U' L2 B'
F2 L' D' R2 U' L2 B'
F2 L' D' U F U2 L2
F2 L' D' U' L2 D B'
F2 L' D' U' L2 D' B'
F2 L' D' U' L2 D2 B'
F2 L' D' U' L2 B' D
F2 L' D' U' L2 B' D'
F2 L' D' U' L2 B' D2
F2 L' D' U' B L2 B'
F2 L' D' U' B' L2 B'
F2 L' D' U' B2 L2 B'
F2 L' D' B U' L2 B'
F2 L' D' B' U' L2 B'
F2 L' D' B2 U' L2 B'
F2 L' D2 B2 U F U2
U' L' F U' F L' U'
U2 L' F2 L' R2 U' B
U2 L' F2 L' U F' U2
U2 L' F2 R2 L' U' B
F2 L' B U' D' L2 B'
R L2 U2 R F2 U' B
F2 L' B D' U' L2 B'
R L2 U2 F2 R U' B
R L2 D L' U R2 B'
R L2 D L' U B' R2
L R2 D R' U R' B'
F2 L' B' U' D' L2 B'
F2 L' B' D' U' L2 B'
D2 L' B2 R U' F' U2
F2 L' B2 U' D' L2 B'
F2 L' B2 D' U' L2 B'
D2 L2 R U D' R2 B
D2 L2 R D' U R2 B
R L2 D2 L' B2 U B
L R2 D2 R' B2 U B
D2 L2 R B2 U' F' U2
R L2 D2 B2 L' U B'
D2 L2 R' B2 R2 U B'
R U L D R2 B' L'
R U L D B' L' R2
R U L D B' R2 L'
R U L B' L' D R2
R U L B' D L' R2
R U L B' D R2 L'
F' L2 F' B' L' U' B'
U2 L2 F2 L' R U' B'
U2 L2 F2 L' R' U' B'
U2 L2 F2 L' R2 U' B'
U2 L2 F2 L' U' D B'
U2 L2 F2 L' U' D' B'
U2 L2 F2 L' U' D2 B'
U2 L2 F2 L' U' B' D
U2 L2 F2 L' U' B' D'
U2 L2 F2 L' U' B' D2
U2 L2 F2 L' D U' B'
U2 L2 F2 L' D' U' B'
U2 L2 F2 L' D2 U' B'
U2 L2 F2 R L' U' B'
U2 L2 F2 R' L' U' B'
U2 L2 F2 R2 L' U' B'
U L2 F2 L' U' B' L'
U2 L2 F2 D L' U' B'
U2 L2 F2 D' L' U' B'
U2 L2 F2 D2 L' U' B'
F' L2 B' F' L' U' B'
D2 L2 B2 R U' F' U2
R U D R' D R' B
D2 R L U D' R2 B
B' R L U D R2 B'
B' R L U D B' R2
B' R L U B' D R2
B' R L U2 F2 U' B'
D2 R L D' U R2 B
B2 R L U D R2 B'
B2 R L U D B' R2
B' R L D U R2 B'
B' R L D U B' R2
B2 R L U B' D R2
B2 R L U2 F2 U' B'
B' R L D2 B2 U B
B2 R L D U R2 B'
B2 R L D U B' R2
B R L U D R2 B'
B R L U D B' R2
B R L U B' D R2
B2 R L D2 B2 U B
B R L U2 F2 U' B'
B R L D U R2 B'
B R L D U B' R2
D2 R L B2 U' F' U2
D2 R L' U D' R2 B
B R L D2 B2 U B
D2 R L' D' U R2 B
R U D2 R D' R2 B
F2 R L' U' D' L2 B'
R U D2 R' D' B R2
F2 R L' D' U' L2 B'
D2 R L' B2 U' F' U2
D2 R L2 U D' R2 B
D2 R L2 D' U R2 B
D2 R L2 B2 U' F' U2
D2 R U R2 D' B R2
D2 R U D' R2 D B
D2 R U D' R2 D' B
D2 R U D' R2 D2 B
D2 R U D' R2 B D
D2 R U D' R2 B D'
D2 R U D' R2 B D2
D2 R U D' B R2 B
D2 R U D' B' R2 B
D2 R U D' B2 R2 B
D R U R2 D R' B
D R U D R' B R2
L U F2 L' U' L B'
D2 R U' D L2 F' U2
D2 R U' D F' L2 U2
D2 R U' D' F' U2 R2
D2 R U' F' U B2 U
D2 R U' F' U2 D' R2
D2 R U' F' D L2 U2
D2 R U' F' D' U2 R2
D2 R D U' L2 F' U2
D2 R D U' F' L2 U2
L U B' U F2 L' U'
D R D U R' B R2
D2 R D' L U R2 B
D2 R D' L' U R2 B
D2 R D' L2 U R2 B
D2 R D' U R2 D B
D2 R D' U R2 D' B
D2 R D' U R2 D2 B
D2 R D' U R2 B D
D2 R D' U R2 B D'
D2 R D' U R2 B D2
D2 R D' U B R2 B
D2 R D' U B' R2 B
D2 R D' U B2 R2 B
D2 R D' U' F' U2 R2
D R D' L U R B'
D R D' L U B' R
D2 R D' B U R2 B
D2 R D' B' U R2 B
D2 R D' B2 U R2 B
R U' L U' F2 U' B'
R U' L U2 D R2 B'
R U' L U2 D B' R2
R U' L U2 B' D R2
R U' L D U2 R2 B'
R U' L D U2 B' R2
R U' L D' L2 F U2
D R D2 B' L U R
D R D2 B2 U R B
D R F L' F' U R
R U' L' D F U2 R2
R U' L' D' L2 U2 B'
R U' L' D' F L2 U2
R U' L' F U' F U'
D' R B D' B2 L U
D' R B' L U' L U2
D' R B' L B2 U R'
D' R B' D' L B2 U
D' R B' D2 L U R2
D2 R B2 L U' F' U2
D2 R B2 L' U' F' U2
D2 R B2 L2 U' F' U2
D2 R B2 U R2 B R2
D2 R B2 U' D F' U2
D2 R B2 U' D' F' U2
D2 R B2 U' D2 F' U2
D2 R B2 U' F' U2 D
D2 R B2 U' F' U2 D'
D2 R B2 U' F' U2 D2
D2 R B2 U' F' D U2
D2 R B2 U' F' D' U2
D2 R B2 U' F' D2 U2
D2 R B2 U2 R2 U' B
D2 R B2 D U' F' U2
D2 R B2 D' U' F' U2
D2 R B2 D2 U' F' U2
D2 R' L B2 R2 U B'
F2 R' L' U' D' L2 B'
L' U' F U' F L' U'
F2 R' L' D' U' L2 B'
D2 R' L' B2 R2 U B'
D2 R' L2 B2 R2 U B'
D2 R' U D' F2 B R2
D2 R' U D' B R2 F2
D2 R' U D' B F2 R2
D2 R' D' U F2 B R2
D2 R' D' U B R2 F2
D2 R' D' U B F2 R2
L U2 L F2 L' U' B'
L' U2 L' F2 L' U' B'
D2 R' B' R2 B' U B'
D2 R' B2 R2 U D B'
D2 R' B2 R2 U D' B'
D2 R' B2 R2 U D2 B'
D2 R' B2 R2 U B' D
D2 R' B2 R2 U B' D'
D2 R' B2 R2 U B' D2
D2 R' B2 R2 D U B'
D2 R' B2 R2 D' U B'
D2 R' B2 R2 D2 U B'
D2 R' B2 U D' F2 B'
D2 R' B2 U D' B' F2
D2 R' B2 U B' D' F2
D2 R' B2 D' U F2 B'
D2 R' B2 D' U B' F2
R U2 D F' R U' R
F2 R2 L' U' D' L2 B'
F2 R2 L' D' U' L2 B'
L' U2 F2 L' R2 U' B
L' U2 F2 L' U F' U2
L' U2 F2 R2 L' U' B
L2 U2 F2 L' R U' B
L2 U2 F2 R L' U' B
R U2 F' D F' R U'
R U2 F2 U' L B' L'
R U2 F2 U2 L U B'
R U2 F2 D2 R' U' B
D R2 D R' U B R
D' R2 D' R' B2 U B'
B' R2 D2 R' B2 U B'
B2 R2 D2 R' B2 U B'
L2 D L' R U R B'
L2 D L' R U B' R
B R2 D2 R' B2 U B'
L' D L2 R U R B'
L' D L2 R U B' R
L' D R L2 U R B'
L' D R L2 U B' R
L2 D R L' U R B'
L2 D R L' U B' R
L D R U R D B'
L D R U R D' B'
L D R U R D2 B'
L D R U R B' D
L D R U R B' D'
L D R U R B' D2
L D R U R' B' R2
L D R U D R B'
L D R U D B' R
L D R U D' R B'
L D R U D' B' R
L D R U D2 R B'
L D R U D2 B' R
L D R U B R B2
L D R U B' R D
L D R U B' R D'
L D R U B' R D2
L D R U B' D R
L D R U B' D' R
L D R U B' D2 R
L D R D U R B'
L D R D U B' R
L D R D' U R B'
L D R D' U B' R
L D R D2 U R B'
L D R D2 U B' R
R2 D R' U D R' B
L D R B U R B2
L D R B U B2 R
R2 D R' D U R' B
L D R B2 U B R
R D U R' D R' B
R D U2 F' R U' R
R D F L' F' U R2
D2 U R' D' F2 B R2
D2 U R' D' B R2 F2
D2 U R' D' B F2 R2
L D B R U R B2
L D B R U B2 R
L' D' R U' L2 U2 B'
L' D' R U' F L2 U2
L D' R U D2 R2 B'
L D' R U D2 B' R2
L D' R U B' D2 R2
L D' R U' L2 F U2
L D' R D' B2 U B
L D' R D2 U R2 B'
L D' R D2 U B' R2
F2 U' L D' B' L2 F
R D' B D' B2 L U
R D' B' L U' L U2
R D' B' L B2 U R'
R D' B' D' L B2 U
R D' B' D2 L U R2
R' D2 L B2 R' U B
R2 D2 L R' B2 U B'
L2 D2 L' R B2 U B
R2 D2 L' R' B2 U B'
L' D2 L2 R B2 U B
R2 D2 L2 R' B2 U B'
L' D2 R L2 B2 U B
L2 D2 R L' B2 U B
L' D2 R B2 L2 U B'
L' D2 R B2 U' F U2
L2 D2 R B2 L' U B'
L D2 R U D' R2 B'
L D2 R U D' B' R2
R2 D2 R B2 R2 U B
R2 D2 R' L B2 U B'
R2 D2 R' L' B2 U B'
R2 D2 R' L2 B2 U B'
L D2 R D' U R2 B'
L D2 R D' U B' R2
R2 D2 R' U D' B R2
R2 D2 R' D' U B R2
L D2 R B2 L U B
L D2 R B2 L' U B
L D2 R B2 L2 U B
L D2 R B2 U D B
L D2 R B2 U D' B
L D2 R B2 U D2 B
L D2 R B2 U B D
L D2 R B2 U B D'
L D2 R B2 U B D2
L D2 R B2 D U B
L D2 R B2 D' U B
L D2 R B2 D2 U B
R2 D2 R' B2 U D B'
R2 D2 R' B2 U D' B'
R2 D2 R' B2 U D2 B'
R2 D2 R' B2 U B' D
R2 D2 R' B2 U B' D'
R2 D2 R' B2 U B' D2
R2 D2 R' B2 D U B'
R2 D2 R' B2 D' U B'
R2 D2 R' B2 D2 U B'
R D2 R' B2 R U B'
R2 D2 R2 B2 R U B
R D2 U R D' R2 B
R D2 U R' D' B R2
U D2 R' D' F2 B R2
U D2 R' D' B R2 F2
U D2 R' D' B F2 R2
B' U2 L2 F2 L' U' B'
B2 U2 L2 F2 L' U' B'
B U2 L2 F2 L' U' B'
L' D2 B2 L2 R U B'
L' D2 B2 R L2 U B'
L' D2 B2 R U' F U2
L2 D2 B2 L' R U B'
L2 D2 B2 R L' U B'
L D2 B' R B' U B
R D2 B' D B' L U
R D2 B2 U R' B R
R D2 B2 U2 R' U' B
R D2 B2 D2 L U B'
D F L' F' R U R
B' U2 F2 L' U F U2
B2 U2 F2 L' U F U2
F2 U2 F2 L R U B'
F2 U2 F2 R L U B'
B U2 F2 L' U F U2
U2 F' L2 F' L' U' B'
F2 D' L' B R' U' L'
F2 D' L' B2 U' L' B'
U2 F' D F' L' R U'
U2 F' D F' R L' U'
U2 F2 L U' D F2 B'
U2 F2 L U' D B' F2
U2 F2 L U' B' D F2
U2 F2 L D U' F2 B'
U2 F2 L D U' B' F2
U2 F2 L' R U F U2
U2 F2 L' R' U F U2
U2 F2 L' R2 U F U2
U2 F2 L' U D F U2
U2 F2 L' U D' F U2
U2 F2 L' U D2 F U2
U2 F2 L' U F U2 D
U2 F2 L' U F U2 D'
U2 F2 L' U F U2 D2
U2 F2 L' U F D U2
U2 F2 L' U F D' U2
U2 F2 L' U F D2 U2
U2 F2 L' U' L2 B' L2
L2 F2 L' U' D' B' L2
L2 F2 L' U' B' D' L2
U2 F2 L' U2 L2 U B'
L2 F2 L' U2 F2 U B'
U2 F2 L' D U F U2
U2 F2 L' D' U F U2
L2 F2 L' D' U' B' L2
U2 F2 L' D2 U F U2
L2 F2 L' D2 B2 U' B
U F2 L' U F U2 L
U F2 L' U' L2 B' L'
U2 F2 R L' U F U2
U2 F2 R' L' U F U2
F2 D' B L' R' U' L'
F2 D' B R' L' U' L'
U2 F2 R2 L' U F U2
F2 D' B2 L' U' L' B'
F2 D2 L' R' B2 U' B'
L2 F2 U2 F2 R U B
F2 D2 L' B2 R' U' B
B' D2 R U D' R2 B
L F2 U2 F2 R U B'
B' D2 R D' U R2 B
L2 F2 D' L' U' B' L'
B2 D2 R U D' R2 B
B' D2 R B2 U' F' U2
B2 D2 R D' U R2 B
U2 F2 D2 L' R' U' B
B2 D2 R B2 U' F' U2
L2 F2 D2 L' B2 U' B
U2 F2 D2 R' L' U' B
B D2 R U D' R2 B
F2 D2 R' L' B2 U' B'
B' D2 R' B2 R2 U B'
B D2 R D' U R2 B
L2 F2 D2 B2 L' U' B'
B D2 R B2 U' F' U2
B2 D2 R' B2 R2 U B'
B D2 R' B2 R2 U B'
L F2 D2 B2 L' U' B
R B L U D R2 B'
R B L U D B' R2
R B L U B' D R2
R B L U2 F2 U' B'
R B L D U R2 B'
R B L D U B' R2
R B L D2 B2 U B
D' B R D2 L2 U R2
L B R U B2 D R2
L B R U2 F2 U' B2
L B R D L2 U R2
B' D2 B2 R U' F' U2
F2 D2 B2 L' R' U' B
B2 D2 B2 R U' F' U2
F2 D2 B2 R' L' U' B
B D2 B2 R U' F' U2
F2 B L' U' D' L2 B'
F2 B L' D' U' L2 B'
L B U2 F2 L' U' B2
D' B D' B2 L R U
D' B D' B2 R L U
L B D L2 R U R
L B D R L2 U R
D' B' L R U' L U2
D' B' L R B2 U R'
D' B' L B2 R U R2
R B' L U D R2 B'
R B' L U D B' R2
R B' L U B' D R2
R B' L U2 F2 U' B'
D' B' R L U' L U2
R B' L D U R2 B'
R B' L D U B' R2
D' B' R L B2 U R'
R B' L D2 B2 U B
D' B' R D' L B2 U
D' B' R D2 L U R2
D2 B' R B' U' F' U2
D2 B' R' B' R2 U B2
L B' R D2 B2 U B2
F2 B' L' U' D' L2 B'
F2 B' L' D' U' L2 B'
L B' U F2 L' U' L
D2 B' D R B' L U
D2 B' D B' L R U
D2 B' D B' R L U
D' B' D' L R B2 U
D' B' D' L B2 R U
D' B' D' R L B2 U
D' B' D2 L R U R
D' B' D2 R L U R
L B' D2 R B2 U B2
L B' D2 B2 R U B2
D2 B2 L R U' F' U2
D2 B2 L' R U' F' U2
D2 B2 L2 R U' F' U2
D2 B2 R L U' F' U2
D2 B2 R L' U' F' U2
R B2 L U D R2 B'
R B2 L U D B' R2
R B2 L U B' D R2
D2 B2 R L2 U' F' U2
D2 B2 R U R2 B R2
R B2 L U2 F2 U' B'
D2 B2 R U' D F' U2
D2 B2 R U' D' F' U2
D2 B2 R U' D2 F' U2
R B2 L D U R2 B'
R B2 L D U B' R2
D2 B2 R U' F' U2 D
D2 B2 R U' F' U2 D'
D2 B2 R U' F' U2 D2
D2 B2 R U' F' D U2
D2 B2 R U' F' D' U2
D2 B2 R U' F' D2 U2
D2 B2 R U2 R2 U' B
D2 B2 R D U' F' U2
R B2 L D2 B2 U B
D2 B2 R D' U' F' U2
D2 B2 R D2 U' F' U2
B' F2 L' U' D' L2 B'
B' F2 L' D' U' L2 B'
D2 B2 R' U D' F2 B
D2 B2 R' U D' B F2
D2 B2 R' U B D' F2
B2 F2 L' U' D' L2 B'
D2 B2 R' D' U F2 B
D2 B2 R' D' U B F2
F2 B2 L' U' D' L2 B'
B2 F2 L' D' U' L2 B'
F2 B2 L' D' U' L2 B'
B F2 L' U' D' L2 B'
B F2 L' D' U' L2 B'
R2 B2 U2 L F2 U' B'
R2 B2 U2 F2 L U' B'
D2 B2 D2 L R U B'
L B2 U2 F2 L' U' B
D2 B2 D2 R L U B'
D' B2 D2 R U R B
R2 B2 D2 B2 R' U B
L B2 D2 B2 R U B'
