U F L U' R B
U' B' L' U R' F'
U' B' L' U R' F' D'
U' B' L' U R' F' D2
U' B' L' U D R' F'
U' B' L' U D' R' F'
U' B' L' U D2 R' F'
U' B' L' U F R' F'
U' B' L' U F' R' F'
U' B' L' U F2 R' F'
U' B' L' D U R' F'
U' B' L' D' U R' F'
U' B' L' D2 U R' F'
L2 B' L' U' L' B' R'
U' B' D L' U R' F'
U' B' D' L' U R' F'
U' B' D2 L' U R' F'
U' B2 L' R' B U R'
U' B2 L' D' R' B U
U' B2 L' B U R' F'
U' B2 R' L' B U R'
U' B2 R' B L' U R'
R2 B2 R' B L' U L
R B2 R' B' L' U L
R2 B2 U' L' R' B U
R2 B2 U' R' L' B U
R2 B2 U' R' B L' U
U' B2 D' L' R' B U
U' B2 D' R' L' B U
U' B2 D' R' B L' U
R B2 U' R' B' L' U
