F R U F' B'
F R U B' F'
R F U F2 B'
R F U B' F2
F2 R U F' B' L'
F2 R U B' F' L'
R U F' D' B' L2
R U F' B' D' L2
F R U D F' B'
F R U D B' F'
F R U D' F' B'
F R U D' B' F'
F R U D2 F' B'
F R U D2 B' F'
F R U F' D B'
F R U F' D' B'
F R U F' D2 B'
F R U F' B' D
F R U F' B' D'
F R U F' B' D2
F R U B' D F'
F R U B' D' F'
F R U B' D2 F'
F R U B' F' D
F R U B' F' D'
F R U B' F' D2
R U B' F' D' L2
F R D U F' B'
F R D U B' F'
F R D' U F' B'
F R D' U B' F'
F R D2 U F' B'
F R D2 U B' F'
F' R F2 U F B'
F' R F2 U B' F
F R' U B' D2 F2
F R' U' B U2 B2
R D F U F2 B'
R D F U B' F2
F U R F' R' B'
F U B' R F' R'
R D' F U F2 B'
R D' F U B' F2
R D2 F U F2 B'
R D2 F U B' F2
F U2 R U' F' B'
F U2 R U' B' F'
R' F R2 U F' B'
R' F R2 U B' F'
R2 F R' U F' B'
R2 F R' U B' F'
R' F U B' D2 F2
R F R U F2 B'
R F R U B' F2
R' F U' B U2 B2
R F R' U F2 B'
R F R' U B' F2
R F R2 U F2 B'
R F R2 U B' F2
R F U F2 D B'
R F U F2 D B'
R F U F2 D' B'
R F U F2 D2 B'
R F U F2 B' D
R F U F2 B' D'
R F U F2 B' D2
R F U B' F2 D
R F U B' F2 D'
R F U B' F2 D2
R F D R2 U B'
D' F' R F2 U B'
F2 D' F' R U B'
R F R U F2 B' D2
R F R U B' F2 D
R F R U B' F2 D'
R F R U B' F2 D2
R2 F R' U D F' B'
R2 F R' U D B' F'
R2 F R' U D' F' B'
R2 F R' U D' B' F'
R2 F R' U D2 F' B'
R2 F R' U D2 B' F'
R2 F R' U F' D B'
R2 F R' U F' D' B'
R2 F R' U F' D2 B'
R2 F R' U F' B' D
R2 F R' U F' B' D'
R2 F R' U F' B' D2
R2 F R' U B' D F'
R2 F R' U B' D' F'
R2 F R' U B' D2 F'
R2 F R' U B' F' D
R2 F R' U B' F' D'
R2 F R' U B' F' D2
R' F R2 D U F' B'
R' F R2 D U B' F'
R' F R2 D' U F' B'
R' F R2 D' U B' F'
R F R D R2 U B'
R' F R2 D2 U F' B'
R' F R2 D2 U B' F'
R2 F R' D U F' B'
R2 F R' D U B' F'
R2 F R' D' U F' B'
R2 F R' D' U B' F'
R2 F R' D2 U F' B'
R2 F R' D2 U B' F'
D2 F U L' F L B'
R F R' U F2 D B'
R F R' U F2 D' B'
R F R' U F2 D2 B'
R F R' U F2 B' D
R F R' U F2 B' D'
R F R' U F2 B' D2
R F R' U B' F2 D
R F R' U B' F2 D'
R F R' U B' F2 D2
R' F U R2 F' R2 B'
R' F U R2 F' B' R2
R' F U R2 B' F' R2
R' F U D B' D2 F2
R F R' D R2 U B'
R' F U D' B' D2 F2
R' F U D2 B' D2 F2
R' F U F B' D2 F2
R' F U F' B' D2 F2
R' F U F2 B' D2 F2
R' F U B' U2 B2 U2
R' F U B' D2 F2 D
R' F U B' D2 F2 D'
R' F U B' D2 F2 D2
R' F U B' F D2 F2
R' F U B' F' D2 F2
D' F U B' U L' U'
R' F U B' F2 D2 F2
D2 F U B' L' F L
R F R2 U F2 D B'
R F R2 U F2 D' B'
R F R2 U F2 D2 B'
R F R2 U F2 B' D
R F R2 U F2 B' D'
R F R2 U F2 B' D2
R F R2 U B' F2 D
R F R2 U B' F2 D'
R F R2 U B' F2 D2
R' F U' D B U2 B2
R F R2 D R2 U B'
R' F U' D' B U2 B2
R' F U' D2 B U2 B2
R' F U' F B U2 B2
R' F U' F' B U2 B2
R' F U' F2 B U2 B2
R' F U' B U2 B2 D
R' F U' B U2 B2 D'
R' F U' B U2 B2 D2
R' F U' B D2 F2 U2
R' F U' B F U2 B2
R' F U' B F' U2 B2
R' F U' B F2 U2 B2
R F U L' F2 L B'
D F U B' U L U'
R' F U2 R2 U' F' B'
R' F U2 R2 U' B' F'
R F U R F2 R' B'
R F U R' B' R F2
R F U R2 F2 R2 B'
R F U R2 F2 B' R2
R F U R2 B' R2 F2
R F U R2 B' F2 R2
R F U D B' D' F2
R F U D' B' D F2
R F U F D F B'
R F U F D B' F
R F U F D' F B'
R F U F D' B' F
R F U F D2 F B'
R F U F D2 B' F
R F U F B' D F
R F U F B' D' F
R F U F B' D2 F
R F U F' D F' B'
R F U F' D B' F'
R F U F' D' F' B'
R F U F' D' B' F'
R F U F' D2 F' B'
R F U F' D2 B' F'
R F U F' B' D F'
R F U F' B' D' F'
R F U F' B' D2 F'
R F U F2 R' B' R
R F U F2 R2 B' R2
R F U F2 D B' D
R F U F2 D B' D'
R F U F2 D B' D2
R F U F2 D' B' D
R F U F2 D' B' D'
R F U F2 D' B' D2
R F U F2 D2 B' D
R F U F2 D2 B' D'
R F U F2 D2 B' D2
R F U F2 B2 D B
R F U F2 B2 D' B
R F U F2 B2 D2 B
R F U B' L' F2 L
R F U B' L2 F2 L2
R F U B' R F2 R'
R F U B' R2 F2 R2
R F U B' F D F
R F U B' F D' F
R F U B' F D2 F
R F U B' F' D F'
R F U B' F' D' F'
R F U B' F' D2 F'
R F U B2 F2 D B
R F U B2 F2 D' B
R F U B2 F2 D2 B
R' F D R2 U F' B'
R' F D R2 U B' F'
R' F D U B' D2 F2
R' F D U' B U2 B2
R F U' D2 B2 U2 B
R F U' F U2 F B'
R F U' F U2 B' F
R F U' F' U2 F' B'
R F U' F' U2 B' F'
R F U' B U2 F2 B2
R F U' B U2 B2 F2
R F U' B2 U2 F2 B
R F U' B2 U2 B F2
R F U2 R U' F2 B'
R F U2 R U' B' F2
R' F D' R2 U F' B'
R' F D' R2 U B' F'
R F U2 R' U' F2 B'
R F U2 R' U' B' F2
R2 F D R' U F' B'
R2 F D R' U B' F'
R' F D' U B' D2 F2
R F U2 R2 U' F2 B'
R F U2 R2 U' B' F2
R' F D' U' B U2 B2
D2 F D2 R U F' B'
D2 F D2 R U B' F'
R' F D2 R2 U F' B'
R' F D2 R2 U B' F'
R2 F D' R' U F' B'
R2 F D' R' U B' F'
R' F D2 U B' D2 F2
R F D R2 U D B'
R F D R2 U D' B'
R F D R2 U D2 B'
R F D R2 U B' D
R F D R2 U B' D'
R F D R2 U B' D2
R F D R2 D U B'
R' F D2 U' B U2 B2
R F D R2 D' U B'
R F D R2 D2 U B'
R F D U B' D' F2
D F D' R U F' B'
D F D' R U B' F'
R2 F D2 R' U F' B'
R2 F D2 R' U B' F'
R F D' U B' D F2
R F D2 U' B2 U2 B
D F B R' B' U B'
B' D U' F B R' U
B' D U' B R' F U
B' D U' B F R' U
F D U B' U L U'
B' D F B R' U B'
D' F' R U D' B' L2
D' F' R U B' D' L2
D' F' R D' U B' L2
D' F' R F2 U D B'
D' F' R F2 U D' B'
D' F' R F2 U D2 B'
D' F' R F2 U B' D
D' F' R F2 U B' D'
D' F' R F2 U B' D2
D' F' R F2 D U B'
D' F' R F2 D' U B'
D' F' R F2 D2 U B'
D' F' R' F2 R2 U B'
B' D B R' F U B'
B' D B F R' U B'
R' F' R2 F2 U F B'
R' F' R2 F2 U B' F
D' F' R2 F2 R' U B'
R2 F' R' F2 U F B'
R2 F' R' F2 U B' F
R F' R F2 U F2 B'
R F' R F2 U B' F2
F D B R' B' U B'
R F' R' F2 U F2 B'
R F' R' F2 U B' F2
R F' R2 F2 U F2 B'
R F' R2 F2 U B' F2
D' F' D' R U B' L2
R F' B' U' F2 B U
R F' B' U' B F2 U
R F' B2 D' L2 B R2
R F' B2 D' B L2 R2
R F' B2 D' B R2 L2
F' D' F' R U B' L2
F2 D' F' R U D B'
F2 D' F' R U D' B'
F2 D' F' R U D2 B'
F2 D' F' R U B' D
F2 D' F' R U B' D'
F2 D' F' R U B' D2
F2 D' F' R D U B'
F2 D' F' R D' U B'
F2 D' F' R D2 U B'
F2 D' F' D R U B'
F2 D' F' D' R U B'
F2 D' F' D2 R U B'
F D' F' R F U B'
R F2 U F D' B' L2
R F2 U F B' D' L2
R F2 U B' F D' L2
D2 F2 D F' R U B'
R F2 D F' U F2 B'
R F2 D F' U B' F2
D F2 D2 F' R U B'
R F2 D' F' U F2 B'
R F2 D' F' U B' F2
R F2 D2 F' U F2 B'
R F2 D2 F' U B' F2
F D2 U L' F L B'
F D2 U B' L' F L
D B R' F B' U B'
D B R' B' F U B'
R' B U F B' U B'
R' B U B' F U B'
B F R B' U F' B'
B F R B' U B' F'
F B R B' U F' B'
F B R B' U B' F'
D B F R' B' U B'
B' F D B R' U B'
U B' R F' R' D' L2
U B' R F' D' L2 R'
U B' R F' D' R' L2
B' F' R D' L2 F' R
B' F' R D' F' L2 R
B' F' R D' F' R L2
F' B' R D' L2 F' R
F' B' R D' F' L2 R
F' B' R D' F' R L2
U B' U' R F U F2
U B' U' F R U F'
R B' U' F B U F2
R B' U' B F U F2
R B' F' U' F2 B U
R B' F' U' B F2 U
F B' D B R' U B'
R B2 F' D' L2 B R2
R B2 F' D' B L2 R2
R B2 F' D' B R2 L2
