B' L U' R B2 U'
B' L U' B2 R U'
B R U B2 U2 R2
B R U' R2 D2 F2
B' U' R B2 U' R'
B' U' B2 R U' R2
B D L2 R U' R2
B D R L2 U' R2
B D2 R U' R2 F2
B D2 R U' F2 R2
L2 B R U' R2 F
L2 B R U' F R2
B' U' B2 R D' F2 U'
B' U' B2 R F U' R2
B' U' B2 R F' U' R2
B' U' B2 R F2 U' R2
B' U' B2 U' R' D B2
B' U' B2 D R U' R2
B' U' B2 D' R U' R2
B' U' B2 D2 R U' R2
L' D2 B R U' F' R
B' U2 R' D B2 L2 R'
B' U2 R' D B2 R' L2
B' D L U' R U' L
B D L2 R U' R2 D
B D L2 R U' R2 D'
B D L2 R U' R2 D2
B D L2 R D' F2 U'
B D L2 R F U' R2
B D L2 R F' U' R2
B D L2 R F2 U' R2
B D L2 U' R' D B2
B D L2 D R U' R2
B D L2 D' R U' R2
B D L2 D2 R U' R2
B D R L2 U' R2 D
B D R L2 U' R2 D'
B D R L2 U' R2 D2
B D R L2 D' F2 U'
B D R L2 F U' R2
B D R L2 F' U' R2
B D R L2 F2 U' R2
B D R U' R2 D F2
B D R F L2 U' R2
B D R F' L2 U' R2
B D R F2 L2 U' R2
B D U' R' D F2 B2
B D U' R' D B2 F2
B' D' L R2 U' R' U'
B D' R U2 R U R
B D' R D' F2 L' U'
B' D' R2 L U' R' U'
B D' R F2 L' U' R2
B' D2 L U F2 L' U
B D2 L R U' R2 F2
B D2 L R U' F2 R2
B D2 L' R U' R2 F2
B D2 L' R U' F2 R2
B D2 L2 R U' R2 F2
B D2 L2 R U' F2 R2
B D2 R L U' R2 F2
B D2 R L U' F2 R2
B D2 R L' U' R2 F2
B D2 R L' U' F2 R2
B D2 R L2 U' R2 F2
B D2 R L2 U' F2 R2
B D2 R U' R' F2 R'
B D2 R U' R2 F2 D
B D2 R U' R2 F2 D'
B D2 R U' R2 F2 D2
B D2 R U' F R2 F
B D2 R U' F2 R2 D
B D2 R U' F2 R2 D'
B D2 R U' F2 R2 D2
B D2 R D' L2 F2 U'
B D2 R D' F2 L2 U'
B D2 R F U' R2 F
B D2 R F U' F R2
B D2 R F' U' F' R2
L' B L' R U' R2 F
L' B L' R U' F R2
B D2 U' R' F2 D B2
L B L R U' R2 F
L B L R U' F R2
U' B R U B2 U2 R2
U' B R U' R2 D2 F2
L' B R L' U' R2 F
L' B R L' U' F R2
D' B R D L2 F' U'
D' B R D F' L2 U'
D' B R D2 F' U' F'
D' B R F' U B2 U2
D' B R F' U' D2 F2
D' B R F' D L2 U'
D' B R F' D2 U' F2
U2 B R U B2 U2 R2
U2 B R U' R2 D2 F2
L2 B R U' R' F R'
L2 B R U' R2 D F
L2 B R U' R2 D' F
L2 B R U' R2 D2 F
L2 B R U' R2 F D
L2 B R U' R2 F D'
L2 B R U' R2 F D2
L2 B R U' F R2 D
L2 B R U' F R2 D'
L2 B R U' F R2 D2
L2 B R U' F' R2 F2
L2 B R D' F2 U' F'
L2 B R F' U' R2 F2
L2 B R F' U' F2 R2
L2 B R F2 U' F' R2
L B R L U' R2 F
L B R L U' F R2
U B R U B2 U2 R2
U B R U' R2 D2 F2
L2 B U' R' D F B2
L2 B U' R' D B2 F
L2 B U' R' F D B2
L2 B U' F D R' B
U' B D L2 R U' R2
U' B D R L2 U' R2
D2 B D L2 R F' U'
D2 B D R L2 F' U'
D2 B D R F' L2 U'
U2 B D L2 R U' R2
U2 B D R L2 U' R2
L2 B D R U' R2 F
L2 B D R U' F R2
U' B D2 R U' R2 F2
U' B D2 R U' F2 R2
L2 B D' R U' R2 F
L2 B D' R U' F R2
U B D L2 R U' R2
U B D R L2 U' R2
L' B D2 R U' F' R2
U2 B D2 R U' R2 F2
U2 B D2 R U' F2 R2
L2 B D2 R U' R2 F
L2 B D2 R U' F R2
D B D2 R F' U' F'
U B D2 R U' R2 F2
U B D2 R U' F2 R2
U' B' L U' R B2 U'
U' B' L U' B2 R U'
F' B U B2 L F U2
F' B U' R B R2 F'
U2 B' L U' R B2 U'
U2 B' L U' B2 R U'
U B' L U' R B2 U'
U B' L U' B2 R U'
B' F D' L R2 U2 B'
B' F D' R2 L U2 B'
B F D L2 U' R' B
F B D L2 U' R' B
L2 B' R B2 U' R' F
L2 B' R B2 U' F R'
F2 B' L D F2 U2 L2
F2 B' L D' R2 U2 B2
U' B' U' R B2 U' R'
D' B' U' R F' B2 U'
D' B' U' R B2 F' U'
U' B' U' B2 R U' R2
D' B' U' B2 R F' U'
U2 B' U' R B2 U' R'
U2 B' U' B2 R U' R2
U B' U' R B2 U' R'
U B' U' B2 R U' R2
B F' U B2 L F U2
B F' U' R B R2 F'
F B' D' L R2 U2 B'
B' F2 L D F2 U2 L2
B' F2 L D' R2 U2 B2
F B' D' R2 L U2 B'
L2 B2 R B' U' R' F
L2 B2 R B' U' F R'
