F' U L' R F2 U2
F' U L' F2 U2 L'
F' U R L' F2 U2
F' U R F2 U2 R
F' U F2 U2 L' R
F' U F2 U2 R L'
B F' U L' R F2 U2
B F' U L' F2 U2 L'
B F' U R L' F2 U2
B F' U R F2 U2 R
L2 B' F R D L' F2
B F' U F2 U2 L' R
B F' U F2 U2 R L'
L2 B' F D L' R F2
L2 B' F D R L' F2
L2 B' F' D F2 L' R
L2 B' F' D F2 R L'
F' B2 U L' R F2 U2
F' B2 U L' F2 U2 L'
F' B2 U R L' F2 U2
F' B2 U R F2 U2 R
F' B2 U F2 U2 L' R
F' B2 U F2 U2 R L'
