F R' U' L' R2 B
F R' U' R2 L' B
F R' U' R2 B L'
F R2 U' L' R' B
F R2 U' R' L' B
F R2 U' R' B L'
R F U' L' B R
R F U' B L' R
R F U' B R L'
R F U' B' L' R B2
R F U' B' L' B2 R
R F U' B' R L' B2
R F U' B' R B2 L'
L2 F D R L' F2 B
L2 F D R L' B F2
R F U' B2 R B' L'
L2 F D R B L' F2
R' F D2 U' L' R B2
R' F D2 U' L' B2 R
R' F D2 U' R L' B2
R' F D2 U' R B2 L'
R' F D2 U' B2 L' R
R' F D2 U' B2 R L'
R F D U' L' B R
R F D U' B L' R
R F D U' B R L'
F2 D R F' U' L' B
F2 D R F' U' B L'
R F D' U' L' B R
R F D' U' B L' R
R F D' U' B R L'
F D R' U' L' R2 B
F D R' U' R2 L' B
F D R' U' R2 B L'
R F D2 U' L' B R
R F D2 U' B L' R
R F D2 U' B R L'
F D R2 U' L' R' B
F D R2 U' R' L' B
F D R2 U' R' B L'
R' F' L' R U' L U'
R F B' U' L' R B2
R F B' U' L' B2 R
R F B' U' R L' B2
R F B' U' R B2 L'
R F B' U' B2 L' R
R F B' U' B2 R L'
R F B2 U' R B' L'
R F B2 U' B' L' R
R F B2 U' B' R L'
R' F' R L' U' L U'
R2 F' U L' R F' U2
R2 F' U R L' F' U2
L2 F' D F2 L' R B
L2 F' D F2 R L' B
L2 F' D F2 R B L'
F D' R' U' L' R2 B
F D' R' U' R2 L' B
F D' R' U' R2 B L'
F D' R2 U' L' R' B
F D' R2 U' R' L' B
F D' R2 U' R' B L'
F D2 R' U' L' R2 B
F D2 R' U' R2 L' B
F D2 R' U' R2 B L'
F D2 R2 U' L' R' B
F D2 R2 U' R' L' B
F D2 R2 U' R' B L'
B' F R' U' L' R2 B
B' F R' U' R2 L' B
B' F R' U' R2 B L'
B2 F R' U' L' R2 B
B2 F R' U' R2 L' B
B2 F R' U' R2 B L'
B' F R2 U' L' R' B
B' F R2 U' R' L' B
B' F R2 U' R' B L'
B F R' U' L' R2 B
B F R' U' R2 L' B
B F R' U' R2 B L'
B2 F R2 U' L' R' B
B2 F R2 U' R' L' B
B2 F R2 U' R' B L'
F B R' U' L' R2 B
F B R' U' R2 L' B
F B R' U' R2 B L'
B F R2 U' L' R' B
B F R2 U' R' L' B
B F R2 U' R' B L'
F B R2 U' L' R' B
F B R2 U' R' L' B
F B R2 U' R' B L'
F B' R' U' L' R2 B
F B' R' U' R2 L' B
F B' R' U' R2 B L'
F B' R2 U' L' R' B
F B' R2 U' R' L' B
F B' R2 U' R' B L'
R B' F U' L' R B2
R B' F U' L' B2 R
R B' F U' R L' B2
R B' F U' R B2 L'
R B' F U' B2 L' R
R B' F U' B2 R L'
F B2 R' U' L' R2 B
F B2 R' U' R2 L' B
F B2 R' U' R2 B L'
F B2 R2 U' L' R' B
F B2 R2 U' R' L' B
F B2 R2 U' R' B L'
R B2 F U' R B' L'
R B2 F U' B' L' R
R B2 F U' B' R L'
