D' L' R F R B
D' L' R2 F B R
D' L' R2 B F R
D' L' F R D2 B2
D' L' F D2 R B2
D' L' F D2 B2 R
D' R L' F R B
D' R2 L' F B R
D' R2 L' B F R
D' R2 B L' F R
R2 D' L' F B R
R2 D' L' B F R
R D' L' F R B
R2 D' B L' F R
D' F' L' U2 F L'
R2 B D' L' F R
D' B' L' R2 F B R
D' B' L' R2 B F R
D' B' L' F R D2 B2
D' B' L' F D2 R B2
D' B' L' F D2 B2 R
D' B' R L' F R B
D' B' R2 L' F B R
D' B' R2 L' B F R
D' B' R2 B L' F R
R B' D' L' F R B
D' B' F' L' U2 F L'
D' B2 L' R F R B
D' B2 L' R2 F B R
D' B2 L' R2 B F R
D' B2 L' F R D2 B2
D' B2 L' F D2 R B2
D' B2 L' F D2 B2 R
D' B2 R L' F R B
D' B2 R2 L' F B R
D' B2 R2 L' B F R
D' B2 R2 B L' F R
R2 B2 D' B' L' F R
R B2 D' L' F R B
D' B2 F' L' U2 F L'
