F' L' D R2 B2
F' L' D B2 R2
F' D L' R2 B2
F' D L' B2 R2
F' D R2 L' B2
F' D R2 B2 L'
F' D B2 L' R2
F' D B2 R2 L'
F' L B' L2 D B2 R2
F' L B2 L2 D R2 B2
F' L B2 L2 D B2 R2
D L B2 D F' L' R
D L B2 D F' R L'
F' L' R U R F2 U'
F' L' R' U R' F2 U'
F' L' R' U F2 R' U'
F' L' R2 D R2 D B2
F L' R2 U R' U2 F2
F L' R2 B2 U' L F2
F L' R2 B2 U' F2 L
F' L' U R' F2 R' U'
F' L' U R2 U' D R2
F' L' U R2 D U' R2
F' L' U R2 F2 U' D
F' L' U R2 F2 U' D'
F' L' U R2 F2 U' D2
F' L' U R2 F2 D U'
F' L' U R2 F2 D' U'
F' L' U R2 F2 D2 U'
F' L' U F R2 F U'
F' L' U F2 R2 U' D
F' L' U F2 R2 U' D'
F' L' U F2 R2 U' D2
F' L' U F2 R2 D U'
F' L' U F2 R2 D' U'
F' L' U F2 R2 D2 U'
F' L' U F2 U' D B2
F' L' U F2 D U' B2
F' L' U' D2 L2 B2 U
F' L' U' D2 B2 L2 U
F L' U' F2 L' D B2
F L' U' F2 D L' B2
F L' U' F2 D B2 L'
F' L' U2 D' L2 F2 U2
F' L' U2 D' F2 L2 U2
F' L' D L R2 B2 L'
F' L' D L B2 L' R2
F' L' D L B2 R2 L'
F' L' D L2 R2 B2 L2
F' L' D L2 B2 L2 R2
F' L' D L2 B2 R2 L2
F' L' D R B' R B'
F' L' D R B2 R D
F' L' D R B2 R D'
F' L' D R B2 R D2
F' L' D R B2 D R
F' L' D R B2 D' R
F' L' D R B2 D2 R
F' L' D R2 L B2 L'
F' L' D R2 L2 B2 L2
F' L' D R2 B D B
F' L' D R2 B D' B
F' L' D R2 B D2 B
F' L' D R2 B' D B'
F' L' D R2 B' D' B'
F' L' D R2 B' D2 B'
F' L' D F' R2 F B2
F' L' D F' R2 B2 F
F' L' D F' B2 R2 F
F' L' D F2 R2 F2 B2
F' L' D F2 R2 B2 F2
F' L' D F2 B2 R2 F2
F' L' D B' R B' R
F' L' D B' R2 D B'
F' L' D B' R2 D' B'
F' L' D B' R2 D2 B'
F' L' D B' R2 B' D
F' L' D B' R2 B' D'
F' L' D B' R2 B' D2
F' L' D B2 R D R
F' L' D B2 R D' R
F' L' D B2 R D2 R
F' L' D B2 R' D R'
F' L' D B2 R' D' R'
F' L' D B2 R' D2 R'
F' L' D B2 F' R2 F
F' L' D B2 F2 R2 F2
F' L' D' R D2 R2 B2
F' L' D' R D2 B2 R2
F' L' D' R' D2 R2 B2
F' L' D' R' D2 B2 R2
F' L' D' R2 D2 R2 B2
F' L' D' R2 D2 B2 R2
F' L' D' U2 L2 F2 U2
F' L' D' U2 F2 L2 U2
F' L' D' B D2 R2 B2
F' L' D' B D2 B2 R2
F' L' D' B' D2 R2 B2
F' L' D' B' D2 B2 R2
F' L' D' B2 D2 R2 B2
F' L' D' B2 D2 B2 R2
F' L' D2 R D' R2 B2
F' L' D2 R D' B2 R2
F' L' D2 R' D' R2 B2
F' L' D2 R' D' B2 R2
F' L' D2 R2 D' R2 B2
F' L' D2 R2 D' B2 R2
F' L' D2 U' L2 B2 U
F' L' D2 U' B2 L2 U
F L' F2 L' D R2 B2
F L' F2 L' D B2 R2
F L' F2 D L' R2 B2
F L' F2 D L' B2 R2
F L' F2 D R2 L' B2
F L' F2 D R2 B2 L'
F L' F2 D B2 L' R2
F L' F2 D B2 R2 L'
F' L' B U R2 F2 U'
F' L' B U F2 R2 U'
F' L' B D R B2 R
F' L' B D R2 B2 D
F' L' B D R2 B2 D'
F' L' B D R2 B2 D2
F' L' B D B' R2 B'
F' L' B D B2 R2 D
F' L' B D B2 R2 D'
F' L' B D B2 R2 D2
F' L' B' U R2 F2 U'
F' L' B' U F2 R2 U'
F' L' B' D R B2 R
F' L' B' D R2 B2 D
F' L' B' D R2 B2 D'
F' L' B' D R2 B2 D2
F' L' B' D B' R2 B'
F' L' B' D B2 R2 D
F' L' B' D B2 R2 D'
F' L' B' D B2 R2 D2
F' L' B2 U R2 F2 U'
F' L' B2 U F2 R2 U'
F' L' B2 D R B2 R
F' L' B2 D R2 B2 D
F' L' B2 D R2 B2 D'
F' L' B2 D R2 B2 D2
F' L' B2 D B' R2 B'
F' L' B2 D B2 R2 D
F' L' B2 D B2 R2 D'
F' L' B2 D B2 R2 D2
F L2 R2 U R' U2 F2
F' L2 R2 F2 U' L F2
F' L2 R2 F2 U' F2 L
F' L2 U R2 F2 U' L
F L2 R2 B2 U' L F2
F L2 R2 B2 U' F2 L
F' L2 U F2 R2 U' L
F L2 U' F2 L' D B2
F L2 U' F2 D L' B2
F L2 U' F2 D B2 L'
F' L2 D L R B2 R
F' L2 D L R2 B2 D
F' L2 D L R2 B2 D'
F' L2 D L R2 B2 D2
F' L2 D L B' R2 B'
F' L2 D L B2 R2 D
F' L2 D L B2 R2 D'
F' L2 D L B2 R2 D2
F' L2 D L' R2 B2 L2
F' L2 D L' B2 L2 R2
F' L2 D L' B2 R2 L2
F' L2 D L2 R2 B2 L'
F' L2 D L2 B2 L' R2
F' L2 D L2 B2 R2 L'
F' L2 D R L B2 R
F' L2 D R2 L B2 D
F' L2 D R2 L B2 D'
F' L2 D R2 L B2 D2
F' L2 D R2 L' B2 L2
F' L2 D R2 L2 B2 L'
F' L2 D' L D2 B2 R'
D2 L2 F B' U F2 L'
F' L2 F2 R2 U' L F2
F' L2 F2 R2 U' F2 L
F L2 F2 L' D R2 B2
F L2 F2 L' D B2 R2
D2 L2 F2 B' U F L'
F L2 F2 D L' R2 B2
F L2 F2 D L' B2 R2
F L2 F2 D R2 L' B2
F L2 F2 D R2 B2 L'
F L2 F2 D B2 L' R2
F L2 F2 D B2 R2 L'
D2 L2 B' F U F2 L'
D2 L2 B' F2 U F L'
F' L2 B2 D B2 L R2
F' L2 B2 D B2 R2 L
F' R L' U R F2 U'
F R U' R U' R' F2
F R U' R U' F2 R'
R U' R F B L U'
R U' R B F L U'
F' R' L' U R' F2 U'
F' R' L' U F2 R' U'
F R' D R' B2 L U'
F' R2 L F2 U' L2 F2
F' R2 L F2 U' F2 L2
F R2 L U R' U2 F2
F' R2 L' D R2 D B2
F R2 L B2 U' L F2
F R2 L B2 U' F2 L
F R2 L' U R' U2 F2
F' R2 L2 F2 U' L F2
F' R2 L2 F2 U' F2 L
F R2 L' B2 U' L F2
F R2 L' B2 U' F2 L
F R2 L2 U R' U2 F2
F R2 L2 B2 U' L F2
F R2 L2 B2 U' F2 L
F R2 U R' U2 F2 D
F R2 U R' U2 F2 D'
F R2 U R' U2 F2 D2
F R2 U R' D2 B2 U2
F R2 U R' B U2 F2
F R2 U R' B' U2 F2
F R2 U R' B2 U2 F2
F R2 U R2 U2 F2 L'
F R2 U D2 R' B2 U2
F R2 U D2 B2 U2 L
F R2 U B2 U2 L F2
F R2 U B2 U2 F2 L
F R2 U' R2 F2 L' R2
F R2 U' R2 F2 R2 L'
F R2 U' F2 U2 R' U2
F R2 U' F2 B2 L B2
F R2 U' B2 L F2 B2
F R2 U' B2 L B2 F2
F R2 U' B2 F2 L B2
F2 R2 U2 B U F L'
F' R2 D L' R2 D B2
F R2 U2 R2 U F2 L'
F' R2 D R2 L' D B2
F' R2 D R2 D L' B2
F' R2 D R2 D B2 L'
F R2 D' L2 U R' U2
F R2 D' L2 B2 U' L
F R2 D' B2 L2 U' L'
L D L F' L' R B2
L D L F' L' B2 R
L D L F' R L' B2
L D L F' R B2 L'
L D L F' B2 L' R
L D L F' B2 R L'
F R2 D2 U R' B2 U2
F R2 D2 U B2 U2 L
B' R2 F U B R U2
L D L B2 F' L' R
L D L B2 F' R L'
B2 R2 F U B R U2
B R2 F U B R U2
L D L' F' L' R B2
L D L' F' L' B2 R
L D L' F' R L' B2
L D L' F' R B2 L'
L D L' F' B2 L' R
L D L' F' B2 R L'
U R2 F U B U2 L
L D L' B2 F' L' R
L D L' B2 F' R L'
F' R2 F2 L U' F2 L'
F' R2 F2 L' U' F2 L'
F' R2 F2 L2 U' F2 L'
L D L2 F' L' R B2
L D L2 F' L' B2 R
L D L2 F' R L' B2
L D L2 F' R B2 L'
L D L2 F' B2 L' R
L D L2 F' B2 R L'
F' R2 F2 U R U2 F2
F' R2 F2 U' L F2 L'
F' R2 F2 U' L' F2 L'
F' R2 F2 U' L2 F2 L'
F' R2 F2 U' F2 L' D
F' R2 F2 U' F2 L' D'
F' R2 F2 U' F2 L' D2
F' R2 F2 U' F2 D L'
F' R2 F2 U' F2 D' L'
F' R2 F2 U' F2 D2 L'
L D L2 B2 F' L' R
L D L2 B2 F' R L'
F' R2 F2 B U' F2 L'
F' R2 F2 B' U' F2 L'
F' R2 F2 B2 U' F2 L'
F' R2 B F2 U' F2 L'
F' R2 B' F2 U' F2 L'
F' R2 B2 F2 U' F2 L'
F R2 B2 L' U' L2 F2
F R2 B2 L' U' F2 L2
F R2 B2 L2 U' L' F2
F R2 B2 U' L F2 D
F R2 B2 U' L F2 D'
F R2 B2 U' L F2 D2
F R2 B2 U' L' F2 L2
F R2 B2 U' F' L F'
F R2 B2 U' F2 L D
F R2 B2 U' F2 L D'
F R2 B2 U' F2 L D2
F R2 B2 U' F2 D L
F R2 B2 U' F2 D' L
F R2 B2 U' F2 D2 L
F R2 B2 D' L2 U' L'
R2 D F U B R U2
L D F' L R B2 L2
L D F' L B2 L2 R
L D F' L B2 R L2
L D F' L' R B2 D
L D F' L' R B2 D'
L D F' L' R B2 D2
L D F' L' R' B2 R2
L D F' L' B' R B'
L D F' L' B2 R D
L D F' L' B2 R D'
L D F' L' B2 R D2
L D F' L' B2 D R
L D F' L' B2 D' R
L D F' L' B2 D2 R
L D F' R L B2 L2
L D F' R L' B2 D
L D F' R L' B2 D'
L D F' R L' B2 D2
L D F' R B L' B
L D F' R B2 L' D
L D F' R B2 L' D'
L D F' R B2 L' D2
L D F' R B2 D L'
L D F' R B2 D' L'
L D F' R B2 D2 L'
L D F' R' L' B2 R2
L D F' R' B2 L' R2
L D F' R' B2 R2 L'
L D F' B L' B R
L D F' B' R B' L'
L D F' B2 L' R D
L D F' B2 L' R D'
L D F' B2 L' R D2
L D F' B2 L' D R
L D F' B2 L' D' R
L D F' B2 L' D2 R
L D F' B2 R L' D
L D F' B2 R L' D'
L D F' B2 R L' D2
L D F' B2 R D L'
L D F' B2 R D' L'
L D F' B2 R D2 L'
L D F' B2 D L' R
L D F' B2 D R L'
L D F' B2 D' L' R
L D F' B2 D' R L'
L D F' B2 D2 L' R
L D F' B2 D2 R L'
F U R U' R U' F2
F' U R2 U' L' D R2
F' U R2 U' D L' R2
F' U R2 U' D R2 L'
F' U R2 D U' L' R2
F' U R2 D U' R2 L'
F' U R2 F2 U R U2
L D B F' L' B R
L D B' F' R B' L'
L D B2 L F' L' R
L D B2 L F' R L'
L D B2 L' F' L' R
L D B2 L' F' R L'
L D B2 L2 F' L' R
L D B2 L2 F' R L'
L D B2 F' L' R D
L D B2 F' L' R D'
L D B2 F' L' R D2
L D B2 F' L' D R
L D B2 F' L' D' R
L D B2 F' L' D2 R
L D B2 F' R L' D
L D B2 F' R L' D'
L D B2 F' R L' D2
L D B2 F' R D L'
L D B2 F' R D' L'
L D B2 F' R D2 L'
L D B2 F' D L' R
L D B2 F' D R L'
L D B2 F' D' L' R
L D B2 F' D' R L'
L D B2 F' D2 L' R
L D B2 F' D2 R L'
F2 U F L' D R2 B2
F2 U F L' D B2 R2
F2 U F D L' R2 B2
F2 U F D L' B2 R2
F2 U F D R2 L' B2
F2 U F D R2 B2 L'
F2 U F D B2 L' R2
F2 U F D B2 R2 L'
F' U F2 R2 U R' U2
F' U F2 R2 B2 U' L
F U F2 L' D B2 R'
F U F2 D L' B2 R'
D2 U' L2 B' U F' L'
F U' L F2 L' D B2
F U' L F2 D L' B2
F U' L F2 D B2 L'
R2 D' F U B R U2
F U' L' F2 L' D B2
F U' L' F2 D L' B2
F U' L' F2 D B2 L'
L D' F' L' R2 B R'
L D' F' R2 L' B R'
L D' F' R2 B L' R'
L D' F' R2 B R' L'
F U' L2 F2 L' D B2
F U' L2 F2 D L' B2
F U' L2 F2 D B2 L'
U2 D' F' D R2 B L
F U' R2 U' R2 F2 L'
F U' D B2 D' F2 L'
F' U' D2 B2 L2 U L
F2 U' F L' D R2 B2
F2 U' F L' D B2 R2
F2 U' F D L' R2 B2
F2 U' F D L' B2 R2
F2 U' F D R2 L' B2
F2 U' F D R2 B2 L'
F2 U' F D B2 L' R2
F2 U' F D B2 R2 L'
F U' F' D F' L' B2
F U' F' D F' B2 L'
F U' F' D B2 F' L'
F U' F2 L' U R2 U'
F U' F2 L' D B2 D
F U' F2 L' D B2 D'
F U' F2 L' D B2 D2
U' D2 L2 B' U F' L'
F U' F2 L' B D B2
F U' F2 L' B' D B2
F U' F2 L' B2 D B2
F U' F2 L2 D L B2
F U' F2 U R2 U' L'
F U' F2 D L B2 L2
F U' F2 D L' B2 D
F U' F2 D L' B2 D'
F U' F2 D L' B2 D2
F U' F2 D B L' B
F U' F2 D B2 L' D
F U' F2 D B2 L' D'
F U' F2 D B2 L' D2
F U' F2 D B2 D L'
F U' F2 D B2 D' L'
F U' F2 D B2 D2 L'
F U' F2 D' L' D2 B2
F U' F2 B L' D B2
F U' F2 B D L' B2
F U' F2 B D B2 L'
F U' F2 B' L' D B2
F U' F2 B' D L' B2
F U' F2 B' D B2 L'
F U' F2 B2 L' D B2
F U' F2 B2 D L' B2
F U' F2 B2 D B2 L'
F U' B F2 L' D B2
F U' B F2 D L' B2
F U' B F2 D B2 L'
F U' B' F2 L' D B2
F U' B' F2 D L' B2
F U' B' F2 D B2 L'
F U' B2 F2 L' D B2
F U' B2 F2 D L' B2
F U' B2 F2 D B2 L'
R2 D2 F U B R U2
D' U2 F' D R2 B L
F' U2 D' L2 F2 U2 L
F' U2 D' F2 L2 R U2
F' U2 D' F2 R L2 U2
F U2 D R2 U B2 L
R2 F L U B R U2
D F L U' F2 L' B2
D F L U' F2 B2 L'
D F L U' B2 F2 L'
F2 U2 F L' D R2 B2
F2 U2 F L' D B2 R2
D' F L2 U' F2 B' L'
D' F L2 U' B' F2 L'
R2 F L' U B R U2
D F L' U' F2 L' B2
D F L' U' F2 B2 L'
D F L' U' B2 F2 L'
F2 U2 F D L' R2 B2
F2 U2 F D L' B2 R2
F2 U2 F D R2 L' B2
F2 U2 F D R2 B2 L'
F2 U2 F D B2 L' R2
F2 U2 F D B2 R2 L'
U F L' R2 B' U' F2
R2 F L2 U B R U2
D F L2 U' F2 L' B2
D F L2 U' F2 B2 L'
U F L' B' R2 U' F2
D F L2 U' B2 F2 L'
U' F R B R U' F2
R' F R' U R2 U2 F'
R' F R' U B R2 U2
D' F U R F U2 F
U2 F R2 B U' L F2
U2 F R2 B U' F2 L
D' F U F U2 F L'
D F R2 U' F2 B2 L
D F R2 U' B2 L F2
D F R2 U' B2 F2 L
U F R2 L' B' U' F2
U F R2 U' F' L' F'
D' F U' L' F2 L' B'
D' F U' L2 F2 B' L'
D' F U' L2 B' F2 L'
R2 F U D B R U2
D F U R U2 F2 B2
D F U R U2 B2 F2
R2 F U D' B R U2
R2 F U D2 B R U2
F' D L R B2 L2 R
F' D L R B2 R L2
D2 F U' F2 D' L' B2
D2 F U' F2 D' B2 L'
R2 F U B R U2 D
R2 F U B R U2 D'
R2 F U B R U2 D2
R2 F U B R D U2
R2 F U B R D' U2
R2 F U B R D2 U2
F' D L R2 B L2 B
F' D L R2 B2 L2 D
F' D L R2 B2 L2 D'
F' D L R2 B2 L2 D2
R2 F U B D R U2
R2 F U B D' R U2
R2 F U B D2 R U2
R2 F U B' R B2 U2
R2 F U B2 R B' U2
D F U F2 L' B2 R'
D2 F U2 L2 U F2 L'
D F U' L F2 L' B2
D F U' L F2 B2 L'
D F U' L B2 F2 L'
D F U' L' F2 L' B2
D F U' L' F2 B2 L'
D F U' L' B2 F2 L'
D F U' L2 F2 L' B2
D F U' L2 F2 B2 L'
D F U' L2 B2 F2 L'
F' D L B L2 B R2
F' D L B' R2 B' L2
F' D L B2 L2 R2 D
F' D L B2 L2 R2 D'
F' D L B2 L2 R2 D2
F' D L B2 R2 L2 D
F' D L B2 R2 L2 D'
F' D L B2 R2 L2 D2
F' D L' R B' R B'
F' D L' R B2 R D
F' D L' R B2 R D'
F' D L' R B2 R D2
F' D L' R B2 D R
F' D L' R B2 D' R
F' D L' R B2 D2 R
F' D L' R2 B D B
F' D L' R2 B D' B
F' D L' R2 B D2 B
F' D L' R2 B' D B'
F' D L' R2 B' D' B'
F' D L' R2 B' D2 B'
D F U' F2 L B2 L2
D F U' F2 L' B2 D
D F U' F2 L' B2 D'
D F U' F2 L' B2 D2
D F U' F2 B L' B
D F U' F2 B2 L' D
D F U' F2 B2 L' D'
D F U' F2 B2 L' D2
D F U' F2 B2 D L'
D F U' F2 B2 D' L'
D F U' F2 B2 D2 L'
D F U' B F2 L' B
D F U' B2 L F2 L'
D F U' B2 L' F2 L'
D F U' B2 L2 F2 L'
D F U' B2 F2 L' D
D F U' B2 F2 L' D'
D F U' B2 F2 L' D2
D F U' B2 F2 D L'
D F U' B2 F2 D' L'
D F U' B2 F2 D2 L'
F' D L' F' R2 F B2
F' D L' F' R2 B2 F
F' D L' F' B2 R2 F
F' D L' F2 R2 F2 B2
F' D L' F2 R2 B2 F2
F' D L' F2 B2 R2 F2
F' D L' B' R B' R
F' D L' B' R2 D B'
F' D L' B' R2 D' B'
F' D L' B' R2 D2 B'
F' D L' B' R2 B' D
F' D L' B' R2 B' D'
F' D L' B' R2 B' D2
F' D L' B2 R D R
F' D L' B2 R D' R
F' D L' B2 R D2 R
F' D L' B2 R' D R'
F' D L' B2 R' D' R'
F' D L' B2 R' D2 R'
F' D L' B2 F' R2 F
F' D L' B2 F2 R2 F2
R2 F D U B R U2
F' D R L B2 L2 R
F' D R L B2 R L2
F' D R L' B' R B'
F' D R L' B2 R D
F' D R L' B2 R D'
F' D R L' B2 R D2
F' D R L' B2 D R
F' D R L' B2 D' R
F' D R L' B2 D2 R
F' D R B L' B R
R2 F D' U B R U2
F' D R B' R B' L'
F' D R B2 L' R D
F' D R B2 L' R D'
F' D R B2 L' R D2
F' D R B2 L' D R
F' D R B2 L' D' R
F' D R B2 L' D2 R
F' D R B2 R L' D
F' D R B2 R L' D'
F' D R B2 R L' D2
F' D R B2 R D L'
F' D R B2 R D' L'
F' D R B2 R D2 L'
F' D R B2 D L' R
F' D R B2 D R L'
F' D R B2 D' L' R
F' D R B2 D' R L'
F' D R B2 D2 L' R
F' D R B2 D2 R L'
R2 F D2 U B R U2
F' D R' B2 L' D2 R2
F' D R2 L B L2 B
F' D R2 L B2 L2 D
F' D R2 L B2 L2 D'
F' D R2 L B2 L2 D2
F' D R2 L' B D B
F' D R2 L' B D' B
F' D R2 L' B D2 B
F' D R2 L' B' D B'
F' D R2 L' B' D' B'
F' D R2 L' B' D2 B'
U2 F B R2 U' L F2
U2 F B R2 U' F2 L
F' D R2 D' L' D B2
F' D R2 D2 L' D2 B2
F' D R2 B L B L2
F' D R2 B L' D B
F' D R2 B L' D' B
F' D R2 B L' D2 B
F' D R2 B L' B D
F' D R2 B L' B D'
F' D R2 B L' B D2
F' D R2 B D L' B
F' D R2 B D B L'
F' D R2 B D' L' B
F' D R2 B D' B L'
F' D R2 B D2 L' B
F' D R2 B D2 B L'
F' D R2 B' D B' L'
F' D R2 B' D' B' L'
F' D R2 B' D2 B' L'
F' D R2 B2 L2 D L
F' D R2 B2 L2 D' L
F' D R2 B2 L2 D2 L
F' D R2 B2 D L' D
F' D R2 B2 D L' D'
F' D R2 B2 D L' D2
F' D R2 B2 D' L' D
F' D R2 B2 D' L' D'
F' D R2 B2 D' L' D2
F' D R2 B2 D2 L' D
F' D R2 B2 D2 L' D'
F' D R2 B2 D2 L' D2
D F B U' F2 L' B
D F B U' F2 B L'
D F B U' B F2 L'
U2 F B' R2 U' F2 L'
R2 F B' U R B2 U2
R2 F B' U B2 R U2
R2 F B' U' D2 F2 L'
D F B' U' F2 B' L'
R2 F B' D2 U' F2 L'
D F B' U' B' F2 L'
R2 F B2 U R B' U2
R2 F B2 U B' R U2
D' F' L' R2 D B R2
D' F' L' R2 B D R2
D2 F' L' U F2 R U'
D' F' L' D R2 D B
D' F' L' D R2 D' B
D' F' L' D R2 D2 B
D' F' L' D R2 B D
D' F' L' D R2 B D'
D' F' L' D R2 B D2
D' F' L' D B R2 B
D' F' L' D B' R2 B
D' F' L' D B2 R2 B
D' F' L' B D R2 B
D' F' L' B' D R2 B
D' F' L' B2 D R2 B
B' D F U' F2 L' B2
B' D F U' F2 B2 L'
B' D F U' B2 F2 L'
D F' L B2 L2 D R2
F D U' B2 D' F2 L'
D' F' L2 D L R2 B
D' F' L2 D R2 L B
D F' L' R B2 D R2
B2 D F U' F2 L' B2
B2 D F U' F2 B2 L'
B2 D F U' B2 F2 L'
D F' L' R' B2 D R2
D F' L' R2 B2 D R2
B' D F' L' B2 D R2
D F' L' U F2 U' B2
F D U2 R2 U B2 L
D F' L' D R2 D' B2
B2 D F' L' B2 D R2
F' D F' R2 F L' B2
F' D F' R2 F B2 L'
L F' L' U R2 F U'
F' D F' R2 B2 F L'
L F' L' U F R2 U'
D F' L' B D B R2
D F' L' B' D R2 B'
D F' L' B' D B' R2
D F' L' B2 R D R2
D F' L' B2 R' D R2
D F' L' B2 R2 D R2
D F' L' B2 U F2 U'
D F' L' B2 D R2 D
D F' L' B2 D R2 D'
D F' L' B2 D R2 D2
B D F U' F2 L' B2
B D F U' F2 B2 L'
B D F U' B2 F2 L'
B' D F' B2 L' D R2
B' D F' B2 D L' R2
B' D F' B2 D R2 L'
F' D F' B2 R2 F L'
B2 D F' B2 L' D R2
B2 D F' B2 D L' R2
B2 D F' B2 D R2 L'
B D F' L' B2 D R2
F' D F2 R2 F2 B2 L
F' D F2 R2 B2 L F2
F' D F2 R2 B2 F2 L
D F' R L' B2 D R2
F' D B L B L2 R2
F' D B L B R2 L2
B D F' B2 L' D R2
B D F' B2 D L' R2
B D F' B2 D R2 L'
F' D B L' B R2 D
F' D B L' B R2 D'
F' D B L' B R2 D2
F' D B L' B' R2 B2
F' D B L' B2 R2 B'
D' F' R2 L' D B R2
D' F' R2 L' B D R2
D F' R B2 L' D R2
D F' R B2 D L' R2
D F' R B2 D R2 L'
D' F' R2 D L' B R2
D' F' R2 D B L' R2
D' F' R2 D B R2 L'
D F' R' L' B2 D R2
D' F' R2 B L' D R2
D' F' R2 B D L' R2
D' F' R2 B D R2 L'
F' D B' R B' L' R
F' D B' R B' R L'
F' D B' R2 D B' L'
F' D B' R2 D' B' L'
F' D B' R2 D2 B' L'
F' D B' R2 B L' B2
F' D B' R2 B' L' D
