R' U D L2 F' B'
R' U D L2 B' F'
D R' U L2 F' B'
D R' U L2 B' F'
R' D U L2 F' B'
R' D U L2 B' F'
L U2 B2 L U' B' F
R U2 B2 L2 U' F B'
R U2 B2 L2 U' B' F
R U2 B2 U F B' U2
R U2 B2 U B' F U2
L2 D R' U F' B' L2
L2 D R' U B' L2 F'
L2 D R' U B' F' L2
R' D U L F' L B'
R' D U L2 D F' B'
R' D U L2 D B' F'
R' D U L2 D' F' B'
R' D U L2 D' B' F'
R' D U L2 D2 F' B'
R' D U L2 D2 B' F'
R' D U L2 F' D B'
R' D U L2 F' D' B'
R' D U L2 F' D2 B'
R' D U L2 F' B' D
R' D U L2 F' B' D'
R' D U L2 F' B' D2
R' D U L2 B' D F'
R' D U L2 B' D' F'
R' D U L2 B' D2 F'
R' D U L2 B' F' D
R' D U L2 B' F' D'
R' D U L2 B' F' D2
R' D U F' L2 D2 B2
R' D U B L2 F' B'
R' D U B L2 B' F'
R' D U B' L2 F' B'
R' D U B' L2 B' F'
R D R2 U L2 F' B'
R D R2 U L2 B' F'
R' D U B2 L2 F' B'
R' D U B2 L2 B' F'
R' D U' F U2 L2 F2
R' D U' F U2 F2 L2
R D U L2 B' D2 F2
R D U B2 L2 F B'
R D U B2 L2 B' F
U2 D L U' F L B'
R D U' F B U2 L2
R D U' B U2 L2 B'
R D U' B F U2 L2
B2 U F U R B2 U
B2 U F U B2 R U
R' D' U F' D2 L2 B2
R' D' U F' D2 B2 L2
R' D' U' R2 F B U2
R' D' U' R2 B F U2
R' D' U' F R2 U2 F2
R D' U' R2 F U2 F2
R D' U' F R2 U2 F'
R D' U' F B R2 U2
R D' U' B R2 F U2
R D' U' B F R2 U2
R' D2 L2 F2 U F B'
R' D2 L2 F2 U B' F
D U2 L U' F L B'
L2 D2 R' F2 U F B'
L2 D2 R' F2 U B' F
L D2 R' F2 U F B
L D2 R' F2 U B F
F U2 L B2 U' F B2
F U2 L B2 U' B2 F
R' D2 F2 R2 U F B
R' D2 F2 R2 U B F
R' D2 F2 U F D2 B2
R' D2 F2 U' F' U2 F2
L2 D2 F2 R' U F' B'
L2 D2 F2 R' U B' F'
L D2 F2 R' U F' B
L D2 F2 R' U B F'
R D2 F2 R2 U F' B
R D2 F2 R2 U B F'
R D2 F2 U' F' B U2
R D2 F2 U' B F' U2
D2 F U F R U R'
U' F U' L B2 U' F
U' F U' B2 L U' F
F U2 B2 L U' F B2
F U2 B2 L U' B2 F
U2 F U' F' L' B2 U'
U2 F U' F' B2 L' U'
R' F U2 F2 D L2 R2
R' F U2 F2 D R2 L2
U2 F U' B2 F' L' U'
R' F U2 B2 U' F2 B2
R' F U2 B2 U' B2 F2
U' F B U' L B U'
R' F' D2 F2 U F2 B2
R' F' D2 F2 U B2 F2
R' F' D2 B2 D' L2 R2
R' F' D2 B2 D' R2 L2
F' D2 R' F2 U F B2
F' D2 R' F2 U B2 F
F' D2 F2 R' U F' B2
F' D2 F2 R' U B2 F'
U' B F U' L B U'
