L' U2 F B U
L' U2 B F U
B' L B' L2 F U'
B' L' U2 F B2 U
B' L' U2 B2 F U
L' U2 D F B U
L' U2 D B F U
L' U2 D' F B U
L' U2 D' B F U
L' U2 D2 F B U
L' U2 D2 B F U
L' U2 F D B U
L' U2 F D' B U
L' U2 F D2 B U
L' U2 F B U D
L' U2 F B U D'
L' U2 F B U D2
L' U2 F B D U
L' U2 F B D' U
L' U2 F B D2 U
L' U2 B D F U
L' U2 B D' F U
L' U2 B D2 F U
L' U2 B F U D
L' U2 B F U D'
L' U2 B F U D2
L' U2 B F D U
L' U2 B F D' U
L' U2 B F D2 U
L' D U2 F B U
L' D U2 B F U
L' D' U2 F B U
L' D' U2 B F U
L' D2 U2 F B U
L' D2 U2 B F U
L' F' U2 F2 B U
L' F' U2 B F2 U
L' F2 U2 F' B U
L' F2 U2 B F' U
L B' L2 U' D' R2
L B' L2 U2 B2 U
L B' L2 D' U' R2
L B' L2 D2 F2 U'
L' B' U2 F B2 U
L' B' U2 B2 F U
L B2 L2 F B U'
L B2 L2 B F U'
L' B2 U2 F B' U
L' B2 U2 B' F U
L' U2 F B2 D2 B' U
L' U2 F' D' B U L2
L' U2 F' B U D' L2
L' U2 F' B D' U L2
L' U2 F2 D F' B U
L' U2 F2 D B F' U
L' U2 F2 D' F' B U
L' U2 F2 D' B F' U
L' U2 F2 D2 F' B U
L' U2 F2 D2 B F' U
L' U2 F2 B D F' U
L' U2 F2 B D' F' U
L' U2 F2 B D2 F' U
L' U2 B R F R' U
L' U2 B R2 F R2 U
L' U2 B D F U D
L' U2 B D F U D'
L' U2 B D F U D2
L' U2 B D F D U
L' U2 B D F D' U
L' U2 B D F D2 U
L' U2 B D' F U D
L' U2 B D' F U D'
L' U2 B D' F U D2
L' U2 B D' F D U
L' U2 B D' F D' U
L' U2 B D' F D2 U
L' U2 B D2 F U D
L' U2 B D2 F U D'
L' U2 B D2 F U D2
L' U2 B D2 F D U
L' U2 B D2 F D' U
L' U2 B D2 F D2 U
L' U2 B F' U D' L2
L' U2 B F' D' U L2
L' U2 B F2 D F' U
L' U2 B F2 D' F' U
L' U2 B F2 D2 F' U
L U2 B U D L2 F2
L U2 B U D F2 L2
L U2 B U2 L2 B2 U'
L U2 B U2 B2 L2 U'
L U2 B D U L2 F2
L U2 B D U F2 L2
L' U2 B' D' F U R2
L U2 B D2 R2 F2 U
L U2 B D2 F2 R2 U
L' U2 B' F U D' R2
L' U2 B' F D' U R2
L' U2 B2 D F B' U
L' U2 B2 D B' F U
L2 U2 B2 R' F' B' U
L' U2 B2 D' F B' U
L2 U2 B2 R' B' F' U
L' U2 B2 D' B' F U
L' U2 B2 D2 F B' U
L' U2 B2 D2 B' F U
L' U2 B2 F D B' U
L' U2 B2 F D' B' U
L' U2 B2 F D2 B' U
L2 D L U2 F B U
L2 D L U2 B F U
L' D U2 F D B U
L' D U2 F D' B U
L' D U2 F D2 B U
L' D U2 F B U D
L' D U2 F B U D'
L' D U2 F B U D2
L' D U2 F B D U
L' D U2 F B D' U
L' D U2 F B D2 U
L' D U2 B D F U
L' D U2 B D' F U
L' D U2 B D2 F U
L' D U2 B F U D
L' D U2 B F U D'
L' D U2 B F U D2
L' D U2 B F D U
L' D U2 B F D' U
L' D U2 B F D2 U
L' D F' U2 F2 B U
L' D F' U2 B F2 U
L' D F2 U2 F' B U
L' D F2 U2 B F' U
L' D B' U2 F B2 U
L' D B' U2 B2 F U
L' D B2 U2 F B' U
L' D B2 U2 B' F U
L D B' U' F2 D' R2
L D B' U2 B2 U F2
L D B' D' L2 U' R2
L2 D' L U2 F B U
L2 D' L U2 B F U
L' D' U2 F D B U
L' D' U2 F D' B U
L' D' U2 F D2 B U
L' D' U2 F B U D
L' D' U2 F B U D'
L' D' U2 F B U D2
L' D' U2 F B D U
L' D' U2 F B D' U
L' D' U2 F B D2 U
L' D' U2 B D F U
L' D' U2 B D' F U
L' D' U2 B D2 F U
L' D' U2 B F U D
L' D' U2 B F U D'
L' D' U2 B F U D2
L' D' U2 B F D U
L' D' U2 B F D' U
L' D' U2 B F D2 U
L' D' F' U2 F2 B U
L' D' F' U2 B F2 U
L' D' F2 U2 F' B U
L' D' F2 U2 B F' U
L' D' B' U2 F B2 U
L' D' B' U2 B2 F U
L' D' B2 U2 F B' U
L' D' B2 U2 B' F U
L2 D2 L U2 F B U
L2 D2 L U2 B F U
R D2 L' R' F B U'
R D2 L' R' B F U'
R D2 L' F R' B U'
R D2 R' L' F B U'
R D2 R' L' B F U'
R D2 R' B L' F U'
L' D2 U2 F D B U
L' D2 U2 F D' B U
L' D2 U2 F D2 B U
L' D2 U2 F B U D
L' D2 U2 F B U D'
L' D2 U2 F B U D2
L' D2 U2 F B D U
L' D2 U2 F B D' U
L' D2 U2 F B D2 U
L' D2 U2 B D F U
L' D2 U2 B D' F U
L' D2 U2 B D2 F U
L' D2 U2 B F U D
L' D2 U2 B F U D'
L' D2 U2 B F U D2
L' D2 U2 B F D U
L' D2 U2 B F D' U
L' D2 U2 B F D2 U
B U2 L' U2 F L U
L' D2 F' U2 F2 B U
L' D2 F' U2 B F2 U
L' D2 F2 U2 F' B U
L' D2 F2 U2 B F' U
D2 U2 F2 B R F' U
U2 D2 F2 B R F' U
D2 U2 B F2 R F' U
U2 D2 B F2 R F' U
L' D2 B' U2 F B2 U
L' D2 B' U2 B2 F U
L' D2 B2 U2 F B' U
L' D2 B2 U2 B' F U
L D2 B' U' D' R2 F2
L D2 B' U' D' F2 R2
L D2 B' U2 R2 B2 U
L D2 B' U2 B2 R2 U
L D2 B' D' U' R2 F2
L D2 B' D' U' F2 R2
L D2 B' D2 L2 F2 U'
L D2 B' D2 F2 L2 U'
L2 F L U2 F B U
L2 F L U2 B F U
F2 U2 D2 B R F' U
L F L2 U2 F B U
L F L2 U2 B F U
F2 U2 B D2 R F' U
F U2 B U2 L B' U'
L' F U2 B U2 B' U'
B2 D L2 F L U' L2
L F B' L2 U' D' R2
L F B' L2 U2 B2 U
L F B' L2 D' U' R2
L F B' L2 D2 F2 U'
L2 F' L U2 F B U
L2 F' L U2 B F U
L F B2 L2 F B U'
L F B2 L2 B F U'
L F' L2 U2 F B U
L F' L2 U2 B F U
L' F' R2 F' R2 B U'
L' F' U2 D' B U L2
L' F' U2 F2 D B U
L' F' U2 F2 D' B U
L' F' U2 F2 D2 B U
L' F' U2 F2 B U D
L' F' U2 F2 B U D'
L' F' U2 F2 B U D2
L' F' U2 F2 B D U
L' F' U2 F2 B D' U
L' F' U2 F2 B D2 U
L' F' U2 B U D' L2
L' F' U2 B D' U L2
L' F' U2 B F2 U D
L' F' U2 B F2 U D'
L' F' U2 B F2 U D2
L' F' U2 B F2 D U
L' F' U2 B F2 D' U
L' F' U2 B F2 D2 U
B' D' L' B' U' L R2
B' D' L' B' U' R2 L
L' F' D' U2 B U L2
L' F' D2 B2 U2 B' U
L' F' B' U' D' L2 R2
L' F' B' U' D' R2 L2
L' F' B' U2 F2 B2 U
L' F' B' U2 B2 F2 U
L' F' B' D' U' L2 R2
L' F' B' D' U' R2 L2
L' F' B' D2 F2 B2 U'
L' F' B' D2 B2 F2 U'
L' F' B2 U2 F2 B' U
L' F' B2 U2 B' F2 U
L F' B' L2 U' D' R2
L F' B' L2 U2 B2 U
L F' B' L2 D' U' R2
L F' B' L2 D2 F2 U'
R' F2 L' R F B U
R' F2 L' R B F U
L2 F2 L U2 F B U
L2 F2 L U2 B F U
L F' B2 L2 F B U'
L F' B2 L2 B F U'
R' F2 R L' F B U
R' F2 R L' B F U
R' F2 R B L' F U
L F2 L2 U2 F B U
L F2 L2 U2 B F U
B' D' B' L' U' L2 R2
B' D' B' L' U' R2 L2
L' F2 R2 F' B R2 U'
L' F2 R2 B F' R2 U'
L' F2 U2 D F' B U
L' F2 U2 D B F' U
L' F2 U2 D' F' B U
L' F2 U2 D' B F' U
L' F2 U2 D2 F' B U
L' F2 U2 D2 B F' U
D2 F2 U2 B R F' U
L' F2 U2 F' D B U
L' F2 U2 F' D' B U
L' F2 U2 F' D2 B U
L' F2 U2 F' B U D
L' F2 U2 F' B U D'
L' F2 U2 F' B U D2
L' F2 U2 F' B D U
L' F2 U2 F' B D' U
L' F2 U2 F' B D2 U
L' F2 U2 B D F' U
L' F2 U2 B D' F' U
L' F2 U2 B D2 F' U
L' F2 U2 B F' U D
L' F2 U2 B F' U D'
L' F2 U2 B F' U D2
L' F2 U2 B F' D U
L' F2 U2 B F' D' U
L' F2 U2 B F' D2 U
L' F2 D U2 F' B U
L' F2 D U2 B F' U
D F2 U2 B R U L
L' F2 D' U2 F' B U
L' F2 D' U2 B F' U
L' F2 D2 U2 F' B U
L' F2 D2 U2 B F' U
U2 F2 D2 B R F' U
U2 F2 B D2 R F' U
L' F2 B' U2 F' B2 U
L' F2 B' U2 B2 F' U
L' F2 B2 U2 F' B' U
L' F2 B2 U2 B' F' U
L F2 B' L2 U' D' R2
L F2 B' L2 U2 B2 U
L F2 B' L2 D' U' R2
L F2 B' L2 D2 F2 U'
D' B L' U R' U2 R
L F2 B2 L2 F B U'
L F2 B2 L2 B F U'
F2 D2 U2 B R F' U
B' D2 F2 U2 R F' U
L B L2 B2 U' D' R2
L B L2 B2 U2 B2 U
L B L2 B2 D' U' R2
L B L2 B2 D2 F2 U'
L' B U2 F U2 F' U'
U2 B U2 L B' L2 U'
U2 B U2 L' U2 F U
U2 B D2 F2 R F' U
U2 B F2 D2 R F' U
D' B' L' U' L2 D' R2
D' B' L' U2 B2 U L2
D' B' L' D' B2 U' R2
L B' L U2 B2 R' U
L B' L D' L U' R2
L B' L D2 L F2 U'
L B' L D2 F2 L U'
L' B' L2 B' L2 F U'
L B' L' D' L' U' R2
L B' L' D2 L' F2 U'
L B' L2 U D L2 U2
L B' L2 U' R D' R2
L B' L2 U' R' D' R2
L B' L2 U' R2 D' R2
L B' L2 U' D' R2 D
L B' L2 U' D' R2 D'
L B' L2 U' D' R2 D2
L B' L2 U2 B2 U D
L B' L2 U2 B2 U D'
L B' L2 U2 B2 U D2
L B' L2 U2 B2 D U
L B' L2 U2 B2 D' U
L B' L2 U2 B2 D2 U
L B' L2 D U L2 U2
L B' L2 D' U' R2 D
L B' L2 D' U' R2 D'
L B' L2 D' U' R2 D2
L B' L2 D' F U' R2
L B' L2 D' F' U' R2
L B' L2 D' F2 U' R2
L B' L2 D2 F2 U' D
L B' L2 D2 F2 U' D'
L B' L2 D2 F2 U' D2
L B' L2 D2 F2 D U'
L B' L2 D2 F2 D' U'
L B' L2 D2 F2 D2 U'
L B' L2 F U' D' R2
L B' L2 F U2 B2 U
L B' L2 F D' U' R2
L B' L2 F D2 F2 U'
L B' L2 F' U' D' R2
L B' L2 F' U2 B2 U
L B' L2 F' D' U' R2
L B' L2 F' D2 F2 U'
L B' L2 F2 U' D' R2
L B' L2 F2 U2 B2 U
L B' L2 F2 D' U' R2
L B' L2 F2 D2 F2 U'
B2 F' L2 F L' B' U'
L B' U D L2 U2 F2
L' B' U2 D' F U R2
L B' U D' B2 U2 R2
L' B' U2 F U D' R2
L' B' U2 F D' U R2
L' B' U2 F B2 U D
L' B' U2 F B2 U D'
L' B' U2 F B2 U D2
L' B' U2 F B2 D U
L' B' U2 F B2 D' U
L' B' U2 F B2 D2 U
L' B' U2 B2 D F U
L' B' U2 B2 D' F U
L' B' U2 B2 D2 F U
L' B' U2 B2 F U D
L' B' U2 B2 F U D'
L' B' U2 B2 F U D2
L' B' U2 B2 F D U
L' B' U2 B2 F D' U
L' B' U2 B2 F D2 U
L B' U' D F2 D2 R2
L B' U' D' R2 D2 F2
D' B' D' L' U' L2 R2
D' B' D' L' U' R2 L2
L' B' D' U2 F U R2
L B' U2 B2 U D F2
D' B' D2 L' F2 U' L2
L B' U2 B2 U2 L2 U'
L B' U2 B2 D U F2
L B' U2 B2 D2 R2 U
L B' D L' U' F2 R
L B' D U L2 U2 F2
L B' D U' F2 D2 R2
L' B' D2 F2 U2 F' U
L B' D' U B2 U2 R2
L B' D' U' R2 D2 F2
L' B' F' U' D' L2 R2
L' B' F' U' D' R2 L2
L' B' F' U2 F2 B2 U
L' B' F' U2 B2 F2 U
L' B' F' D' U' L2 R2
L' B' F' D' U' R2 L2
L' B' F' D2 F2 B2 U'
L' B' F' D2 B2 F2 U'
L B' D2 F2 U' D' F2
L B' D2 F2 U2 R2 U
L B' D2 F2 D' U' F2
L B' D2 F2 D2 L2 U'
L B' F L2 U' D' R2
L B' F L2 U2 B2 U
L B' F L2 D' U' R2
L B' F L2 D2 F2 U'
L' B' F2 U2 F' B2 U
L' B' F2 U2 B2 F' U
L B' F' L2 U' D' R2
L B' F' L2 U2 B2 U
L B' F' L2 D' U' R2
L B' F' L2 D2 F2 U'
L B' F2 L2 U' D' R2
L B' F2 L2 U2 B2 U
L B' F2 L2 D' U' R2
L B' F2 L2 D2 F2 U'
L' B2 L2 F B' L2 U'
L' B2 L2 B' F L2 U'
L B2 L' B L' F U'
D B2 L2 F L U' L2
L B2 L2 D F B U'
L B2 L2 D B F U'
L B2 L2 D' F B U'
L B2 L2 D' B F U'
L B2 L2 D2 F B U'
L B2 L2 D2 B F U'
L B2 L2 F D B U'
L B2 L2 F D' B U'
L B2 L2 F D2 B U'
L B2 L2 F B U' D
L B2 L2 F B U' D'
L B2 L2 F B U' D2
L B2 L2 F B D U'
L B2 L2 F B D' U'
L B2 L2 F B D2 U'
L B2 L2 B D F U'
L B2 L2 B D' F U'
L B2 L2 B D2 F U'
L B2 L2 B F U' D
L B2 L2 B F U' D'
L B2 L2 B F U' D2
L B2 L2 B F D U'
L B2 L2 B F D' U'
L B2 L2 B F D2 U'
F' B2 L2 F L' B' U'
L' B2 U2 D F B' U
L' B2 U2 D B' F U
L' B2 U2 D' F B' U
L' B2 U2 D' B' F U
L' B2 U2 D2 F B' U
L' B2 U2 D2 B' F U
L' B2 U2 F D B' U
L' B2 U2 F D' B' U
L' B2 U2 F D2 B' U
L' B2 U2 F B' U D
L' B2 U2 F B' U D'
L' B2 U2 F B' U D2
L' B2 U2 F B' D U
L' B2 U2 F B' D' U
L' B2 U2 F B' D2 U
L' B2 U2 B' D F U
L' B2 U2 B' D' F U
L' B2 U2 B' D2 F U
L' B2 U2 B' F U D
L' B2 U2 B' F U D'
L' B2 U2 B' F U D2
L' B2 U2 B' F D U
L' B2 U2 B' F D' U
L' B2 U2 B' F D2 U
L2 B2 U2 R' F' B' U
L2 B2 U2 R' B' F' U
L' B2 D U2 F B' U
L' B2 D U2 B' F U
L' B2 D' U2 F B' U
L' B2 D' U2 B' F U
L' B2 D2 U2 F B' U
L' B2 D2 U2 B' F U
L' B2 F' U2 F2 B' U
L' B2 F' U2 B' F2 U
L' B2 F2 U2 F' B' U
L' B2 F2 U2 B' F' U
L B2 F L2 F B U'
L B2 F L2 B F U'
L B2 F' L2 F B U'
L B2 F' L2 B F U'
L B2 F2 L2 F B U'
L B2 F2 L2 B F U'
