U2 B' U2 R' B
L2 R' F L2 B R
L2 R' F B L2 R
L2 R' F B R L2
L2 R' B F L2 R
L2 R' B F R L2
R' L2 F L2 B R
L2 R2 F L2 R B
L2 R2 F R L2 B
R' L2 F B L2 R
R' L2 F B R L2
R2 L2 F L2 R B
L2 R2 F R B L2
R2 L2 F R L2 B
R2 L2 F R B L2
R' L2 B F L2 R
R' L2 B F R L2
F R U2 F' B' U2
F R U2 B' F' U2
B' R F' L' U2 L
F' R' B D2 F2 R
F R' B R2 D2 F2
F R' B2 R2 F' B'
F R' B2 R2 B' F'
R U2 F' B' U2 R'
R' U2 B' U2 R' B2
R U2 B' F' U2 R'
B2 R2 F R F2 B
B2 R2 F R B F2
L2 F L2 R' B R2
R2 F R B D2 F2
L2 F R' L2 B R2
L2 F R' B L2 R2
L2 F R' B R2 L2
R' F B R D2 F2
R' F B D2 R F2
U2 F B' U2 R' B
R' F' B D2 F2 R
U2 F' B' U2 R' B
R F' B' L' U2 L
U2 F2 B' U2 R' B
R' B D2 F R F
R' B F R D2 F2
R' B F D2 R F2
R' B F' D2 F2 R
B F R' B R2 F'
F B R' B R2 F'
U2 B' L U2 R' B
U2 B' L' U2 R' B
U2 B' L2 U2 R' B
U2 B' U2 R' D B
U2 B' U2 R' D' B
U2 B' U2 R' D2 B
U2 B' U2 R' B D
U2 B' U2 R' B D'
U2 B' U2 R' B D2
U2 B' F U2 R' B
U2 B' F' U2 R' B
U2 B' F2 U2 R' B
R B' F' L' U2 L
B2 F2 R2 F' R B
F2 B2 R2 F' R B
B2 R' B F R' F' R2
F' R' B' L' U2 L B2
F R' B R D2 R F2
F2 R' B F D2 F2 R
B2 R' B F2 R' F' R
F2 R' B F' R D2 F2
F R' B R' D2 R' F2
F R' B R' D2 F2 R'
B R' B U2 B L U2
F2 R' B F' D2 R F2
F R' B R2 U2 B2 U2
F R' B R2 D2 F2 D
F R' B R2 D2 F2 D'
F R' B R2 D2 F2 D2
F R' B R2 F D2 F2
F R' B R2 F' D2 F2
F R' B R2 F2 D2 F2
B R' B F R2 F' R'
F R' B U2 B2 U2 R2
B R' B F2 R2 F' R
U2 R' B' R U2 R2 B2
U2 R' B' R U2 B2 R2
F R' B D2 F2 D2 R2
F R' B F R2 D2 F2
F R' B F' R2 D2 F2
F R' B F2 R2 D2 F2
R' U2 D B' U2 R' B2
F R' B' R2 B2 D2 F2
F2 R' B2 R2 F' R B'
F2 R' B2 R2 F' B' R
F2 R' B2 R2 B' F' R
R' U2 D' B' U2 R' B2
R U2 D F' B' U2 R'
B' R2 L U2 L' B' R'
F R' B2 R B' R F'
F R' B2 R2 D F' B'
F R' B2 R2 D B' F'
F R' B2 R2 D' F' B'
F R' B2 R2 D' B' F'
F R' B2 R2 D2 F' B'
F R' B2 R2 D2 B' F'
R U2 D B' F' U2 R'
F R' B2 R2 F' D B'
F R' B2 R2 F' D' B'
F R' B2 R2 F' D2 B'
F R' B2 R2 F' B' D
F R' B2 R2 F' B' D'
F R' B2 R2 F' B' D2
F R' B2 R2 B' D F'
F R' B2 R2 B' D' F'
F R' B2 R2 B' D2 F'
F R' B2 R2 B' F' D
F R' B2 R2 B' F' D'
F R' B2 R2 B' F' D2
R' U2 D2 B' U2 R' B2
F R' B2 F R2 F' B'
F R' B2 F R2 B' F'
F R' B2 F' R2 F' B'
F R' B2 F' R2 B' F'
F R' B2 F2 R2 F' B'
F R' B2 F2 R2 B' F'
R U2 D' F' B' U2 R'
R U2 D' B' F' U2 R'
L2 U2 F L2 B' R' B
R' U2 F B' U2 R' B2
R U2 D2 F' B' U2 R'
R U2 D2 B' F' U2 R'
L2 U2 F B' L2 R' B
L2 U2 F B' R' L2 B
L2 U2 F B' R' B L2
R' U2 F' B' U2 R' B2
R U2 F' L2 U2 F R
R' U2 F2 B' U2 R' B2
R U2 F' D B' U2 R'
R' U2 B L B2 U2 B2
R U2 F' D' B' U2 R'
R U2 F' D2 B' U2 R'
R U2 F' B L B2 U2
R U2 F' B' L U2 R'
R U2 F' B' L' U2 R'
R U2 F' B' L2 U2 R'
R U2 F' B' U2 R' D
R U2 F' B' U2 R' D'
R U2 F' B' U2 R' D2
R U2 F' B' U2 D R'
R U2 F' B' U2 D' R'
R U2 F' B' U2 D2 R'
R U2 F' B' D U2 R'
R U2 F' B' D' U2 R'
R U2 F' B' D2 U2 R'
R2 U2 B L F B2 U2
R2 U2 B L B2 F U2
R' U2 B' L U2 R' B2
R' U2 B' L' U2 R' B2
R' U2 B' L2 U2 R' B2
R U2 B L F' B2 U2
R U2 B L B2 F' U2
R' U2 B' U2 R B2 R2
R' U2 B' U2 R' B2 D
R' U2 B' U2 R' B2 D'
R' U2 B' U2 R' B2 D2
R' U2 B' U2 R2 B2 R
F' R2 U2 B' L' U2 B'
R' U2 B' D2 F2 U2 R'
R' U2 B' F U2 R' B2
R' U2 B' F' U2 R' B2
R2 U2 B' L F U2 R'
R' U2 B' F2 U2 R' B2
R2 U2 B' L' U2 R' B'
L2 U2 B' R' F L2 B
L2 U2 B' R' F B L2
L2 U2 B' R' B F L2
R U2 B F' L B2 U2
L U2 B' L' R' F' B
L U2 B' L' R' B F'
R2 U2 B' U2 R B R2
R U2 B' L F' U2 R'
R U2 B' L' F' U2 R'
L2 U2 B' F L2 R' B
L2 U2 B' F R' L2 B
L2 U2 B' F R' B L2
R U2 B' L2 F' U2 R'
B2 R2 D F R F2 B
B2 R2 D F R B F2
L U2 B' R' L' F' B
L U2 B' R' L' B F'
L U2 B' R' B L' F'
R U2 B' U2 R2 B R
R U2 B' D F' U2 R'
R U2 B' D' F' U2 R'
R U2 B' D2 F' U2 R'
R U2 B' F' L U2 R'
R U2 B' F' L' U2 R'
R U2 B' F' L2 U2 R'
R U2 B' F' U2 R' D
R U2 B' F' U2 R' D'
R U2 B' F' U2 R' D2
R U2 B' F' U2 D R'
R U2 B' F' U2 D' R'
R U2 B' F' U2 D2 R'
R U2 B' F' D U2 R'
R U2 B' F' D' U2 R'
R U2 B' F' D2 U2 R'
B2 R2 D' F R F2 B
B2 R2 D' F R B F2
B2 R2 D2 F R F2 B
B2 R2 D2 F R B F2
B R2 D2 F R F B
B R2 D2 F R B F
B2 R2 F R F2 D B
B2 R2 F R F2 D' B
B2 R2 F R F2 D2 B
B2 R2 F R F2 B D
B2 R2 F R F2 B D'
B2 R2 F R F2 B D2
B2 R2 F R B F2 D
B2 R2 F R B F2 D'
B2 R2 F R B F2 D2
B2 R2 F R2 F2 R' B
R' D L2 F L2 B R
R' D L2 F B L2 R
R' D L2 F B R L2
B R2 F R D2 F2 B
B R2 F R D2 B F2
B2 R2 F B R F2 B
B2 R2 F B R B F2
R' D L2 B F L2 R
R' D L2 B F R L2
B2 R2 F B' R F2 B
B2 R2 F B' R B F2
B2 R2 F B2 R F2 B
B2 R2 F B2 R B F2
B R2 F D2 R F2 B
B R2 F D2 R B F2
F2 R2 F' R B D2 F2
R2 D L2 F L2 R B
R2 D L2 F R L2 B
R2 D L2 F R B L2
B2 R2 F' U2 L' U2 B'
F' R2 F2 R B D2 F2
B R2 F' D2 F2 R B
F' R2 B D2 F2 R B
B2 R2 B F R F2 B
B2 R2 B F R B F2
B2 R2 B' F R F2 B
B2 R2 B' F R B F2
B2 R2 B2 F R F2 B
B2 R2 B2 F R B F2
R' D U2 B' U2 R' B2
R' D F B R D2 F2
R' D F B D2 R F2
R2 D F R B D2 F2
R D U2 F' B' U2 R'
R D U2 B' F' U2 R'
R' D F' B D2 F2 R
R D F' B' L' U2 L
R' D B D2 F R F
R' D B F R D2 F2
R' D B F D2 R F2
R' D B F' D2 F2 R
R D B' F' L' U2 L
R' D' L2 F L2 B R
R' D' L2 F B L2 R
R' D' L2 F B R L2
R' D' L2 B F L2 R
R' D' L2 B F R L2
R2 D' L2 F L2 R B
R2 D' L2 F R L2 B
R2 D' L2 F R B L2
U2 D B' U L U R'
R' D' U2 B' U2 R' B2
R' D' F B R D2 F2
R' D' F B D2 R F2
R2 D' F R B D2 F2
R D' U2 F' B' U2 R'
R D' U2 B' F' U2 R'
R' D' F' B D2 F2 R
R D' F' B' L' U2 L
R' D' B D2 F R F
R' D' B F R D2 F2
R' D' B F D2 R F2
R' D' B F' D2 F2 R
R D' B' F' L' U2 L
L' D2 L F R F' B'
L' D2 L F R B' F'
L' D2 L F B' R F'
L' D2 L B' F R F'
U2 D' B' U2 D R' B
U2 D' B' D U2 R' B
L D2 L F R B' L2
L D2 L F B' L2 R
L D2 L F B' R L2
R' D2 L2 F L2 B R
R' D2 L2 F B L2 R
R' D2 L2 F B R L2
L D2 L B' F L2 R
L D2 L B' F R L2
R' D2 L2 B F L2 R
R' D2 L2 B F R L2
R2 D2 L2 F L2 R B
R2 D2 L2 F R L2 B
R2 D2 L2 F R B L2
D2 U2 L2 U2 F R B
U2 D2 L2 U2 F R B
R' D2 U2 B' U2 R' B2
L' D2 F L R F' B'
L' D2 F L R B' F'
L' D2 F L B' R F'
L' D2 F R L F' B'
L' D2 F R L B' F'
L' D2 F R F' L B'
R' D2 F B R D2 F2
R' D2 F B D2 R F2
R2 D2 F R B D2 F2
R D2 U2 F' B' U2 R'
R D2 U2 B' F' U2 R'
R' D2 F' B D2 F2 R
D2 U2 B L B2 U2 B
R' D2 B D2 F R F
U2 D2 B L B2 U2 B
R' D2 B F R D2 F2
R D2 F' B' L' U2 L
R' D2 B F D2 R F2
R' D2 B F' D2 F2 R
D2 U2 B' L U2 R' B'
D2 U2 B' L' F U2 R'
D' U2 B' U2 D R' B
D' U2 B' D U2 R' B
D2 U2 B' U2 D2 R' B
U2 D2 B' L U2 R' B'
U2 D2 B' L' F U2 R'
D2 U2 B' D2 U2 R' B
U2 D2 B' U2 D2 R' B
U2 D2 B' D2 U2 R' B
D U2 B' U L U R'
R D2 B' F' L' U2 L
L2 F L D2 L R B'
L2 F L D2 L B' R
L2 F L D2 R L B'
F' U2 D2 B' L' F U2
B2 U2 D2 B L U2 B'
L2 F L' R' B L' R2
L2 F L' R' B R2 L'
F2 U2 D2 B' L U2 B'
R' F L2 B R F L2
L2 F L2 R U2 F' U2
L2 F L2 R' B R2 D
L2 F L2 R' B R2 D'
L2 F L2 R' B R2 D2
L2 F L2 R' B' R2 B2
L2 F L2 R' B2 R2 B'
R2 F L2 R F L2 B
R2 F L2 R F B L2
R2 F L2 R B F L2
L2 F L2 B R' B R2
L2 F L2 B' R' B R2
L2 F L2 B2 R' B R2
L2 F R L2 U2 F' U2
R F L2 R F L2 B'
L2 F R U2 F' U2 L2
R2 F R L2 F L2 B
R2 F R L2 F B L2
R2 F R L2 B F L2
R2 F R U2 B' U2 B2
L2 F R F2 L2 F2 B'
L2 F R F2 L2 B' F2
R2 F R D B D2 F2
R2 F R D' B D2 F2
R2 F R D2 B D2 F2
R2 F R F B D2 F2
R2 F R F' B D2 F2
L2 F R' L' B L' R2
L2 F R' L' B R2 L'
R2 F R F2 B D2 F2
L2 F R' L2 B R2 D
L2 F R' L2 B R2 D'
L2 F R' L2 B R2 D2
L2 F R' L2 B' R2 B2
L2 F R' L2 B2 R2 B'
R2 F R B U2 B2 U2
R2 F R B D2 F2 D
R2 F R B D2 F2 D'
R2 F R B D2 F2 D2
R2 F R B F D2 F2
R2 F R B F' D2 F2
R2 F R B F2 D2 F2
R F R L2 F L2 B'
R F R U2 F2 B' U2
R F R U2 B' F2 U2
B2 U2 B U2 B2 R' B
L2 F R' B L2 R2 D
L2 F R' B L2 R2 D'
L2 F R' B L2 R2 D2
L2 F R' B R2 L2 D
L2 F R' B R2 L2 D'
L2 F R' B R2 L2 D2
L2 F R' B' L2 R2 B2
L2 F R' B' L2 B2 R2
L2 F R' B' R2 L2 B2
L2 F R' B' R2 B2 L2
B2 U2 B D2 L U2 B'
L2 F R' B2 R2 B' L2
R F R B D2 F2 B2
R F R B D2 B2 F2
R2 F R' B2 R2 F' B
R2 F R' B2 R2 B F'
F' U2 B' D2 L' F U2
F U2 B' U2 R' B R2
B U2 B2 U2 R' B R'
B U2 B2 U2 B R' B
U F U B' U2 R' B
R' F U2 B' U2 R B2
R' F U2 B' U2 B2 R
R' F D B R D2 F2
R' F D B D2 R F2
R2 F U2 B' U2 R B
R2 F D R B D2 F2
R' F D' B R D2 F2
R' F D' B D2 R F2
R F U2 F2 B' L' U2
R F U2 B' F2 L' U2
L' F D2 L R F' B'
L' F D2 L R B' F'
L' F D2 L B' R F'
R2 F D' R B D2 F2
L' F D2 R L F' B'
L' F D2 R L B' F'
L' F D2 R F' L B'
R' F D2 B R D2 F2
R' F D2 B D2 R F2
R' F B R U2 B2 U2
R' F B R D2 F2 D
R' F B R D2 F2 D'
R' F B R D2 F2 D2
R' F B R F D2 F2
R' F B R F' D2 F2
R' F B R F2 D2 F2
R' F B R2 D2 R' F2
R' F B R2 D2 F2 R'
R2 F D2 R B D2 F2
R' F B U2 B2 U2 R
R' F B D R D F2
R' F B D2 R F2 D
R' F B D2 R F2 D'
R' F B D2 R F2 D2
