B' L R' F2 D B2
B' R U' L R2 F2
B' R U' L F2 R2
B' R U' R2 L F2
B' R U' R2 L F2
B' R U' R2 F2 L
B' R U' F2 L R2
B' R U' F2 R2 L
B' R' L F2 D B2
B' R' F2 L D B2
B' R' F2 D L B2
F2 U' L' B' U L
F2 B' L R' D' B2
F2 B' L D' R' B2
F2 B' R' L D' B2
R B' U' L R' F2
R B' U' L F2 R'
R B' U' R' L F2
R B' U' R' F2 L
R B' U' F2 L R'
R B' U' F2 R' L
B' F2 L R' D' B2
B' F2 L D' R' B2
B' F2 R' L D' B2
F2 L B D' B2 R' L
F2 L B' R' D' L B2
F2 L B' D' L R' B2
F2 L B' D' R' L B2
B' L' R U' L2 R2 F2
B' L' R U' L2 F2 R2
B' L' R U' R2 L2 F2
B' L' R U' R2 F2 L2
B' L' R U' F2 L2 R2
B' L' R U' F2 R2 L2
B' L' R' F2 L2 D B2
R L' B' U' L R' F2
R L' B' U' L F2 R'
R L' B' U' R' L F2
R L' B' U' R' F2 L
R L' B' U' F2 L R'
R L' B' U' F2 R' L
B' L2 R U' L' R2 F2
B' L2 R U' L' F2 R2
B' L2 R U' R2 L' F2
R L2 B' U' L R' F2
R L2 B' U' L F2 R'
R L2 B' U' R' L F2
R L2 B' U' R' F2 L
R L2 B' U' F2 L R'
R L2 B' U' F2 R' L
B' R L F2 R2 D B2
B' R L' U' L2 R2 F2
B' R L' U' L2 F2 R2
B' R L' U' R2 L2 F2
B' R L' U' R2 F2 L2
B' R L' U' F2 L2 R2
B' R L' U' F2 R2 L2
B' R L2 U' L' R2 F2
B' R L2 U' L' F2 R2
B' R L2 U' R2 L' F2
B R U L R2 U2 F2
B R U R2 L U2 F2
B' R U' L R' F2 R'
B' R U' L R2 F2 D
B' R U' L R2 F2 D'
B' R U' L R2 F2 D2
B' R U' L F R2 F
B' R U' L F2 R2 D
B' R U' L F2 R2 D'
B' R U' L F2 R2 D2
B' R U' L' R2 F2 L2
B' R U' L' F2 L2 R2
B' R U' L' F2 R2 L2
B' R U' R' L F2 R'
B' R U' R' F2 L R'
B' R U' R' F2 R' L
B' R U' R2 L F2 D
B' R U' R2 L F2 D'
B' R U' R2 L F2 D2
B' R U' R2 L' F2 L2
F2 R U' L' B' U L
B' R U' R2 F' L F'
B' R U' R2 F2 L D
B' R U' R2 F2 L D'
B' R U' R2 F2 L D2
B' R U' R2 F2 D L
B' R U' R2 F2 D' L
B' R U' R2 F2 D2 L
B' R U' F R2 F L
B' R U' F' L F' R2
B' R U' F2 L R2 D
B' R U' F2 L R2 D'
B' R U' F2 L R2 D2
B' R U' F2 R2 L D
B' R U' F2 R2 L D'
B' R U' F2 R2 L D2
B' R U' F2 R2 D L
B' R U' F2 R2 D' L
B' R U' F2 R2 D2 L
B' R D' F2 L2 U' L'
B' R F U' R2 F L
B' R F U' F L R2
B' R F U' F R2 L
B' R F' U' L F' R2
B' R F' U' F' L R2
B' R F' U' F' R2 L
B' R F2 L R2 D B2
D' R F2 L2 B' U' R'
B' R F2 R2 L D B2
B' R F2 R2 D L B2
B2 R B U' L R' F2
B2 R B U' L F2 R'
B2 R B U' R' L F2
B2 R B U' R' F2 L
B2 R B U' F2 L R'
B2 R B U' F2 R' L
F2 R B' L R' D' B2
F2 R B' L D' R' B2
F2 R B' R' L D' B2
B' R B2 U' R2 F2 L'
B' R' L U R2 U' F2
B' R' L D B2 D' F2
B' R' L F D F B2
B' R' L F D B2 F
B' R' L F' D F' B2
B' R' L F' D B2 F'
B' R' L F2 U R2 U'
B R' L U' R2 U' F2
B' R' L F2 D B2 D
B' R' L F2 D B2 D'
B' R' L F2 D B2 D2
B' R' L F2 B D B2
B' R' L F2 B' D B2
B' R' L F2 B2 D B2
B R' L U2 F2 D B2
B' R' L B F2 D B2
B' R' L B' F2 D B2
B' R' L B2 F2 D B2
B' R' L' F2 L2 D B2
B' R' U R2 U' L F2
B' R' U R2 U' F2 L
F2 R' U' L' B' U L
B' R' D L B2 D' F2
B R' U2 F2 D B2 R'
B' R' F D F L B2
B' R' F' L D F' B2
B' R' F' L D B2 F'
B' R' F' L F' D B2
B' R' F' D L F' B2
B' R' F' D L B2 F'
B' R' F' D F' L B2
B' R' F2 L U R2 U'
B' R' F2 L D B2 D
B' R' F2 L D B2 D'
B' R' F2 L D B2 D2
B' R' F2 L B D B2
B' R' F2 L B' D B2
B' R' F2 L B2 D B2
B' R' F2 L2 D L' B2
B' R' F2 L2 D B2 L'
B' R' F2 U R2 U' L
B' R' F2 D L B2 D
B' R' F2 D L B2 D'
B' R' F2 D L B2 D2
B' R' F2 D L' B2 L2
B' R' F2 D L2 B2 L'
B' R' F2 D' L D2 B2
B' R' F2 B2 D B2 L
F2 R' B' L R' D' B2
F2 R' B' L D' R' B2
F2 R' B' R' L D' B2
B' R' B2 F2 D B2 L
F2 R2 U' L' B' U L
F2 R2 B' L R' D' B2
F2 R2 B' L D' R' B2
F2 R2 B' R' L D' B2
B' U L R' F2 D B2
B' U R U' L R2 F2
B' U R U' L F2 R2
B' U R U' R2 L F2
B' U R U' R2 F2 L
B' U R U' F2 L R2
B' U R U' F2 R2 L
B' U R' L F2 D B2
B2 U R B U' R' F2
B2 U R B U' F2 R'
B' U R' F2 L D B2
B' U R' F2 D L B2
B' U F2 L R' D' B2
B' U F2 L D' R' B2
B' U F2 R' L D' B2
B' U' L R' F2 D B2
F2 U' L' F B' U L
F2 U' L' F' B' U L
F2 U' L' F2 B' U L
F2 U' L' B' U L D
F2 U' L' B' U L D'
F2 U' L' B' U L D2
F2 U' L' B' U D L
F2 U' L' B' U D' L
F2 U' L' B' U D2 L
F2 U' L' B' D U L
F2 U' L' B' D' U L
F2 U' L' B' D2 U L
F2 U' L' B' F U L
F2 U' L' B' F' U L
F2 U' L' B' F2 U L
B' U' R U' L R2 F2
B' U' R U' L F2 R2
B' U' R U' R2 L F2
B' U' R U' R2 F2 L
B' U' R U' F2 L R2
B' U' R U' F2 R2 L
B' U' R' L F2 D B2
B' U' R' F2 L D B2
B' U' R' F2 D L B2
F2 U' D L' F B' U
F2 U' D L' B' F U
B' U' F2 L R' D' B2
B' U' F2 L D' R' B2
B' U' F2 R' L D' B2
F2 U' B' L' B' U L2
B' U2 L R' F2 D B2
B' U2 R U' L R2 F2
B' U2 R U' L F2 R2
B' U2 R U' R2 L F2
B' U2 R U' R2 F2 L
B' U2 R U' F2 L R2
B' U2 R U' F2 R2 L
B' U2 R' L F2 D B2
B' U2 R' F2 L D B2
B' U2 R' F2 D L B2
B' U2 F2 L R' D' B2
B' U2 F2 L D' R' B2
B' U2 F2 R' L D' B2
F2 D U' L' F B' U
F2 D U' L' B' F U
R F B' U' R' F L
R F B' U' F L R'
R F B' U' F R' L
B' D' L2 R U' L' R2
B' D' L2 R U' R2 L'
B' D' R L2 U' L' R2
B' D' R L2 U' R2 L'
B' D' R' D L F2 B2
B' D' R' D L B2 F2
B' D' R' D F2 L B2
R F' B' U' L F' R'
R F' B' U' F' L R'
R F' B' U' F' R' L
L' F2 U' L' B' U L
L2 F2 U' L' B' U L
L F2 U' L' B' U L
R' F2 B D B2 L R'
R' F2 B D B2 R' L
R' F2 B' L D R' B2
L' F2 B' L R' D' B2
L' F2 B' L D' R' B2
L' F2 B' R' L D' B2
R' F2 B' D L R' B2
R' F2 B' D R' L B2
L2 F2 B' L R' D' B2
L2 F2 B' L D' R' B2
L2 F2 B' R' L D' B2
R2 F2 B' L D' R' B
R2 F2 B' R' D L B'
R2 F2 B' D L R' B'
R2 F2 B' D R' L B'
R2 F2 B' D' L R' B
R2 F2 B' D' R' L B
L F2 B' L R' D' B2
L F2 B' L D' R' B2
L F2 B' R' L D' B2
R B U L R' U2 F2
R B U R' L U2 F2
B' F R' D' F L B'
B' F R' F L D' B2
R' B F2 D B2 L R'
R' B F2 D B2 R' L
L' B' L R' F2 D B2
R' B' L F2 D R' B2
L2 B' L R' F2 D B2
R2 B' L F2 D' R' B
B' F D R' F L B
L B' L R' F2 D B2
B' F D F L R' B
B' F D F R' L B
B' F D' R' F L B'
L' B' R U' L R2 F2
L' B' R U' L F2 R2
L' B' R U' R2 L F2
L' B' R U' R2 F2 L
B' F D' F L R' B'
L' B' R U' F2 L R2
L' B' R U' F2 R2 L
B' F D' F R' L B'
R B' L' U' L2 R' F2
R B' L' U' L2 F2 R'
R B' L' U' R' L2 F2
R B' L' U' R' F2 L2
R B' L' U' F2 L2 R'
R B' L' U' F2 R' L2
L2 B' R U' L R2 F2
L2 B' R U' L F2 R2
L2 B' R U' R2 L F2
L2 B' R U' R2 F2 L
L2 B' R U' F2 L R2
L2 B' R U' F2 R2 L
L' B' R' L F2 D B2
L2 B' R' L F2 D B2
L' B' R' F2 L D B2
R B' L2 U' L' R' F2
R B' L2 U' L' F2 R'
L' B' R' F2 D L B2
R B' L2 U' R' L' F2
R' B' R2 U' L R F2
R' B' R2 U' R L F2
R' B' R2 U' R F2 L
L B' R U' L R2 F2
L B' R U' L F2 R2
L B' R U' R2 L F2
L B' R U' R2 F2 L
L B' R U' F2 L R2
L B' R U' F2 R2 L
L2 B' R' F2 L D B2
L2 B' R' F2 D L B2
F2 B' L R' U' L2 U
F2 B' L R' D' B2 D
F2 B' L R' D' B2 D'
F2 B' L R' D' B2 D2
F2 B' L R' B D' B2
F2 B' L R' B' D' B2
F2 B' L R' B2 D' B2
F2 B' L R2 D' R B2
F2 B' L R2 D' B2 R
F2 B' L U' L2 U R'
F2 B' L D R' D2 B2
F2 B' L D' R B2 R2
F2 B' L D' R' B2 D
F2 B' L D' R' B2 D'
F2 B' L D' R' B2 D2
F2 B' L D' R2 B2 R
R2 B' R' F2 D L B'
L B' R' L F2 D B2
F2 B' L B2 D' B2 R'
L B' R' F2 L D B2
L B' R' F2 D L B2
R B' R' F2 L D' B2
F2 B' R' L U' L2 U
F2 B' R' L D' B2 D
F2 B' R' L D' B2 D'
F2 B' R' L D' B2 D2
F2 B' R' L B D' B2
F2 B' R' L B' D' B2
F2 B' R' L B2 D' B2
R B' U' L R F2 R2
R B' U' L R' F2 D
R B' U' L R' F2 D'
R B' U' L R' F2 D2
R B' U' L F R' F
R B' U' L F2 R' D
R B' U' L F2 R' D'
R B' U' L F2 R' D2
R B' U' L F2 D R'
R B' U' L F2 D' R'
R B' U' L F2 D2 R'
R B' U' L' R' F2 L2
F2 B' R' U' L' U L2
R B' U' L' F2 L2 R'
R B' U' L' F2 R' L2
R B' U' R L F2 R2
F2 B' R' D L D' B2
R B' U' R F2 L R2
R B' U' R F2 R2 L
R B' U' R' L F2 D
R B' U' R' L F2 D'
R B' U' R' L F2 D2
R B' U' R' L' F2 L2
F2 B' R' D' L D' B2
R B' U' R' F' L F'
R B' U' R' F2 L D
R B' U' R' F2 L D'
R B' U' R' F2 L D2
R B' U' R' F2 D L
R B' U' R' F2 D' L
R B' U' R' F2 D2 L
F2 B' R' D2 L D' B2
R B' U' F R' F L
R B' U' F' L F' R'
R B' U' F2 L R' D
R B' U' F2 L R' D'
R B' U' F2 L R' D2
R B' U' F2 L D R'
R B' U' F2 L D' R'
R B' U' F2 L D2 R'
R B' U' F2 R' L D
R B' U' F2 R' L D'
R B' U' F2 R' L D2
R B' U' F2 R' D L
R B' U' F2 R' D' L
R B' U' F2 R' D2 L
R B' U' F2 D L R'
R B' U' F2 D R' L
R B' U' F2 D' L R'
R B' U' F2 D' R' L
R B' U' F2 D2 L R'
R B' U' F2 D2 R' L
F2 B' R2 L D' R B2
F2 B' R2 L D' B2 R
F B' R' D' F L B'
F B' R' F L D' B2
F2 B' U' L' U L2 R'
F2 B' U' L' U R' L2
R B' D' L2 U' L' R'
R B' D' L2 U' R' L'
R' B' F2 L D R' B2
L' B' F2 L R' D' B2
L' B' F2 L D' R' B2
L' B' F2 R' L D' B2
R' B' F2 D L R' B2
R' B' F2 D R' L B2
L2 B' F2 L R' D' B2
L2 B' F2 L D' R' B2
F2 B' D L R' D' B2
F2 B' D L D' R' B2
L2 B' F2 R' L D' B2
F2 B' D R' L D' B2
R2 B' F2 L D' R' B
R B' F U' R' F L
R B' F U' F L R'
R B' F U' F R' L
R2 B' F2 R' D L B'
F2 B' D' L R' D' B2
F2 B' D' L D' R' B2
R2 B' F2 D L R' B'
R2 B' F2 D R' L B'
R2 B' F2 D' L R' B
R2 B' F2 D' R' L B
F2 B' D' R' L D' B2
L B' F2 L R' D' B2
L B' F2 L D' R' B2
R B' F' U' L F' R'
R B' F' U' F' L R'
R B' F' U' F' R' L
L B' F2 R' L D' B2
F B' D R' F L B
F2 B' D2 L R' D' B2
F B' D F L R' B
F2 B' D2 L D' R' B2
F B' D F R' L B
B' F2 L R' U' L2 U
B' F2 L R' D' B2 D
B' F2 L R' D' B2 D'
B' F2 L R' D' B2 D2
B' F2 L R' B D' B2
B' F2 L R' B' D' B2
F2 B' D2 R' L D' B2
B' F2 L R' B2 D' B2
B' F2 L R2 D' R B2
B' F2 L R2 D' B2 R
B' F2 L U' L2 U R'
B' F2 L D R' D2 B2
B' F2 L D' R B2 R2
B' F2 L D' R' B2 D
B' F2 L D' R' B2 D'
B' F2 L D' R' B2 D2
B' F2 L D' R2 B2 R
F B' D' R' F L B'
F B' D' F L R' B'
F B' D' F R' L B'
B' F2 L B2 D' B2 R'
B' F2 R' L U' L2 U
B' F2 R' L D' B2 D
B' F2 R' L D' B2 D'
B' F2 R' L D' B2 D2
B' F2 R' L B D' B2
B' F2 R' L B' D' B2
B' F2 R' L B2 D' B2
B' F2 R' U' L' U L2
B' F2 R' D L D' B2
B' F2 R' D' L D' B2
B' F2 R' D2 L D' B2
B' F2 R2 L D' R B2
B' F2 R2 L D' B2 R
B' F2 U' L' U L2 R'
B' F2 U' L' U R' L2
B' F2 D L R' D' B2
B' F2 D L D' R' B2
B' F2 D R' L D' B2
B' F2 D' L R' D' B2
B' F2 D' L D' R' B2
B' F2 D' R' L D' B2
B' F2 D2 L R' D' B2
B' F2 D2 L D' R' B2
B' F2 D2 R' L D' B2
