L2 R U D R2 F'
L2 R D U R2 F'
L2 R' U D F' R2
L2 R' U2 F2 U' F
L2 R' D U F' R2
L2 R' D2 B2 U F'
R' L2 U D F' R2
R L2 U D R2 F'
R' L2 U2 F2 U' F
R' L2 D U F' R2
R L2 D U R2 F'
R' L2 D2 B2 U F'
R' U D F' R2 B
L2 U2 L F2 U' F'
D2 R' B2 L U F'
L2 U2 F2 L U' F
L2 D R' U F' R'
R' D U F' R2 B
L2 D2 R' B2 U F'
L2 D2 B2 R' U F'
R' U D B2 F' R2 B
F L2 B' F' R' U F'
R U D R2 D2 F' B2
R U D R2 D2 B2 F'
R U D F' R2 F' B
R U D F' R2 B F'
R' U D' F' B2 D2 R2
R' U D' B2 D2 F' R2
R' U D' B2 F' D2 R2
B' R L2 U D R2 F'
B2 R L2 U D R2 F'
B' R L2 D U R2 F'
B2 R L2 D U R2 F'
B R L2 U D R2 F'
B R L2 D U R2 F'
L2 U F' U L' F' U'
D' R U' L2 B U2 B
D' R U' B L2 U2 B
F2 R U' D' B2 L2 F
R' U B D F' R2 B
D R U' F2 L' B U2
D R U' F2 B L' U2
D R U' B F2 L' U2
R' U B' D F' R2 B
R' U B2 D F' R2 B
F2 R D' U' B2 L2 F
F2 R D2 R2 B2 U' F'
R' U' D F2 U2 R2 F
R' U' D F2 U2 F R2
R' U' D' L2 U2 F' B2
R' U' D' L2 U2 B2 F'
R U' D F2 U2 R2 F'
R U' D F2 B U2 R2
D' R' L U F' B2 R'
D' R' L U B2 F' R'
R U' D B F2 U2 R2
R U' D' L2 B U2 B
D2 R' L B2 L U F'
R U' D' B L2 U2 B
D2 R' L' B2 L U F'
B' R' L2 U D F' R2
B' R' L2 U2 F2 U' F
B2 R' L2 U D F' R2
B' R' L2 D U F' R2
B2 R' L2 U2 F2 U' F
B' R' L2 D2 B2 U F'
B2 R' L2 D U F' R2
B R' L2 U D F' R2
B2 R' L2 D2 B2 U F'
D2 R' L2 B2 L U F'
B R' L2 U2 F2 U' F
B R' L2 D U F' R2
B R' L2 D2 B2 U F'
B' R' U D F' R2 B
D' R' U D2 F' R2 B
D' R' U F' B2 D2 R2
B2 R' U D F' R2 B
D' R' U B2 D2 F' R2
D' R' U B2 F' D2 R2
B R' U D F' R2 B
D R' U D2 F' R' B2
D' R' U' L2 U2 F' B2
D' R' U' L2 U2 B2 F'
D R' U F' R2 B R
F2 R' U' D' L2 F' B2
F2 R' U' D' L2 B2 F'
F2 R' U' D' F' L2 B2
F2 R' U' D' F' B2 L2
F2 R' U' D' B2 L2 F'
F2 R' U' D' B2 F' L2
D R' U' F2 U2 R' F
L2 U' B U' L F2 U'
D R' U' F2 U2 F R'
L2 U' B U' F2 L U'
F2 R' U2 L2 F2 U F
R U' B D F2 U2 R2
R U' B D' L2 U2 B2
B' R' D U F' R2 B
B2 R' D U F' R2 B
B R' D U F' R2 B
D R' D' L2 U F' R'
F2 R' D' U' L2 F' B2
F2 R' D' U' L2 B2 F'
F2 R' D' U' F' L2 B2
F2 R' D' U' F' B2 L2
F2 R' D' U' B2 L2 F'
F2 R' D' U' B2 F' L2
L2 U2 L U' D R2 F
L2 U2 L U' D F R2
L2 U2 L D U' R2 F
L2 U2 L D U' F R2
D' R' D2 U F' R2 B
L2 U2 L F2 L U' F'
L2 U2 L F2 L' U' F'
L2 U2 L F2 L2 U' F'
L2 U2 L F2 U' D F'
L2 U2 L F2 U' D' F'
L2 U2 L F2 U' D2 F'
L2 U2 L F2 U' F' D
L2 U2 L F2 U' F' D'
L2 U2 L F2 U' F' D2
L2 U2 L F2 D U' F'
L2 U2 L F2 D' U' F'
L2 U2 L F2 D2 U' F'
D R' D2 U F' R' B2
R' U2 L' F2 R U' F
L2 U2 L' F2 L2 U' F
L2 U2 L' F2 U B' U2
R2 U2 L' F2 R U' F'
L2 U2 L2 F2 L' U' F
D2 R' B2 L U D F'
D2 R' B2 L U D' F'
D2 R' B2 L U D2 F'
D2 R' B2 L U F' D
D2 R' B2 L U F' D'
D2 R' B2 L U F' D2
D2 R' B2 L D U F'
L2 U2 D L U' R2 F
L2 U2 D L U' F R2
D2 R' B2 L D' U F'
D2 R' B2 L D2 U F'
D2 R' B2 D L U F'
D2 R' B2 D' L U F'
D2 R' B2 D2 L U F'
L2 U2 F' L F' U' F2
L' U2 F2 L R U' F
L' U2 F2 R L U' F
R' U2 F2 U' D' F B2
R' U2 F2 U' D' B2 F
R' U2 F2 U' F D' B2
L2 U2 F2 L U' D F
L2 U2 F2 L U' D' F
L2 U2 F2 L U' D2 F
L2 U2 F2 L U' F D
L2 U2 F2 L U' F D'
L2 U2 F2 L U' F D2
R' U2 F2 D' U' F B2
R' U2 F2 D' U' B2 F
L2 U2 F2 L D U' F
L2 U2 F2 L D' U' F
L2 U2 F2 L D2 U' F
R' U2 F2 D2 R2 U' F
L2 U2 F2 L' U B' U2
L2 U2 F2 U2 R' U F'
L2 U2 F2 D L U' F
L2 U2 F2 D' L U' F
L2 U2 F2 D2 L U' F
R U2 F2 D2 R2 U' F'
R' D L U F' R2 B
R' D L' U F' R2 B
L' D L' R' U F' R'
L D L R' U F' R'
R' D L2 U F' R2 B
L2 D R U R2 F' R'
L2 D R U' B U2 R
L' D R' L' U F' R'
L2 D R' U D F' R'
L2 D R' U D' F' R'
L2 D R' U D2 F' R'
L2 D R' U F R' F2
L2 D R' U F' R' D
L2 D R' U F' R' D'
L2 D R' U F' R' D2
L2 D R' U F' D R'
L2 D R' U F' D' R'
L2 D R' U F' D2 R'
L2 D R' U F2 R' F
L2 D R' D U F' R'
L2 D R' D' U F' R'
L2 D R' D2 U F' R'
L D R' L U F' R'
R' D U F' R2 D B
R' D U F' R2 D' B
R' D U F' R2 D2 B
R' D U F' R2 B D
R' D U F' R2 B D'
R' D U F' R2 B D2
R' D U F' B R2 B
R' D U F' B' R2 B
R' D U F' B2 R2 B
R' D U B F' R2 B
R' D U B' F' R2 B
R' D U B2 F' R2 B
R' D U' F2 U2 R2 F
R' D U' F2 U2 F R2
R D U R2 D2 F' B2
R D U R2 D2 B2 F'
R D U F' R2 F' B
R D U F' R2 B F'
L2 D U2 L U' R2 F
L2 D U2 L U' F R2
R D U' F2 U2 R2 F'
R D U' F2 B U2 R2
R D U' B F2 U2 R2
R' D B U F' R2 B
L2 D B R' U F' R'
R' D B' U F' R2 B
L2 D B' R' U F' R'
R' D B2 U F' R2 B
L2 D B2 R' U F' R'
R' D' L U F' B2 R'
R' D' L U B2 F' R'
L2 D' R U D2 R2 F'
L2 D' R U' L2 B U2
L2 D' R U' B L2 U2
L2 D' R D2 U R2 F'
L2 D' R' U D2 F' R2
L2 D' R' U F' D2 R2
L2 D' R' U' L2 U2 F'
L2 D' R' D' B2 U F'
L2 D' R' D2 U F' R2
U2 D' L U' F B2 R'
U2 D' L U' B2 R' F
U2 D' L U' B2 F R'
R' D' U F' B2 D2 R2
R' D' U B2 D2 F' R2
R' D' U B2 F' D2 R2
R' D' U' L2 U2 F' B2
R' D' U' L2 U2 B2 F'
R D' U' L2 B U2 B
R D' U' B L2 U2 B
F U' L2 F' B' R' U
F U' L2 B' F' R' U
L' D2 L' R' B2 U F'
L D2 L R' B2 U F'
L' D2 L' B2 R' U F'
D' U2 L U' F B2 R'
D' U2 L U' B2 R' F
D' U2 L U' B2 F R'
L D2 L B2 R' U F'
L2 D2 R U D' R2 F'
L2 D2 R D' U R2 F'
L' D2 R' L' B2 U F'
L2 D2 R B2 U' B' U2
L2 D2 R' U D' F' R2
L2 D2 R' U F' D' R2
L' D2 R' B2 L' U F'
L2 D2 R' D' U F' R2
L2 D2 R' B2 U D F'
L2 D2 R' B2 U D' F'
L2 D2 R' B2 U D2 F'
L2 D2 R' B2 U F' D
L2 D2 R' B2 U F' D'
L2 D2 R' B2 U F' D2
L2 D2 R' B2 D U F'
L2 D2 R' B2 D' U F'
L2 D2 R' B2 D2 U F'
L D2 R' L B2 U F'
L2 D2 R2 B2 R U F'
F2 U2 L F2 L U F'
L2 D2 B' R' B' U F'
L' D2 B2 L' R' U F'
R' D2 B2 U D F' B2
R' D2 B2 U D B2 F'
R' D2 B2 U F' D B2
L' D2 B2 R' L' U F'
R' D2 B2 D U F' B2
R' D2 B2 D U B2 F'
R' D2 B2 D2 L2 U F'
L2 D2 B2 R U' B U2
L2 D2 B2 R' U D F'
L2 D2 B2 R' U D' F'
L2 D2 B2 R' U D2 F'
L2 D2 B2 R' U F' D
L2 D2 B2 R' U F' D'
L2 D2 B2 R' U F' D2
L2 D2 B2 R' D U F'
L2 D2 B2 R' D' U F'
L2 D2 B2 R' D2 U F'
L2 D2 B2 U2 L U' F
L2 D2 B2 D R' U F'
L2 D2 B2 D' R' U F'
L2 D2 B2 D2 R' U F'
R D2 B2 D2 L2 U F
R' F L2 F' B' U F'
R' F L2 B' F' U F'
U F L2 R B' U L2
U F L2 B' R U L2
U F R L2 B' U L2
U F U' L2 R B' U
U F U' L2 B' R U
U F U' R L2 B' U
F2 D' R U' B2 L2 F
F2 D' R' U' L2 F' B2
F2 D' R' U' L2 B2 F'
F2 D' R' U' F' L2 B2
F2 D' R' U' F' B2 L2
F2 D' R' U' B2 L2 F'
F2 D' R' U' B2 F' L2
R' F2 U' D' F L2 B2
R' F2 U' D' F B2 L2
R' F2 U' D' B2 F L2
R' F2 U2 F2 L2 U F'
U2 F2 U2 L2 R' U F'
U2 F2 U2 R' L2 U F'
R F2 U' D' B2 L2 F
L F2 U2 L F2 U F'
R' F2 D' U' F L2 B2
R' F2 D' U' F B2 L2
R' F2 D' U' B2 F L2
L F2 U2 F2 L U F
U2 F2 D' L U' F B2
U2 F2 D' L U' B2 F
R' F2 D2 R2 B2 U' F
U2 F2 D2 L R2 U' F
R' F2 D2 B2 R2 U' F
U2 F2 D2 R2 L U' F
B' D2 R' B2 L U F'
B2 D2 R' B2 L U F'
R F2 D' U' B2 L2 F
B D2 R' B2 L U F'
R F2 D2 R2 B2 U' F'
L F2 D2 B2 R' U' F'
R' B L2 U D F' R2
R' B L2 U2 F2 U' F
R' B L2 D U F' R2
R' B L2 D2 B2 U F'
L2 B R U D R2 F'
L2 B R D U R2 F'
R B L2 U2 F2 U' F2
L2 B R' U D F' R2
L2 B R' U2 F2 U' F
L2 B R' D U F' R2
L2 B R' D2 B2 U F'
R' B U D F' R2 B
L2 B U2 L F2 U' F'
R' B D U F' R2 B
L2 B U2 F2 L U' F
L2 B D R' U F' R'
L2 B D2 R' B2 U F'
L2 B D2 B2 R' U F'
R' B' L2 U D F' R2
R' B' L2 U2 F2 U' F
R' B' L2 D U F' R2
R' B' L2 D2 B2 U F'
L2 B' R U D R2 F'
L2 B' R D U R2 F'
L2 B' R' U D F' R2
L2 B' R' U2 F2 U' F
L2 B' R' D U F' R2
R B' L2 D2 B2 U F2
L2 B' R' D2 B2 U F'
R' B' U D F' R2 B
L2 B' U2 L F2 U' F'
R' B' D U F' R2 B
L2 B' U2 F2 L U' F
L2 B' D R' U F' R'
L2 B' D2 R' B2 U F'
L2 B' D2 B2 R' U F'
R' B2 L2 U D F' R2
R' B2 L2 U2 F2 U' F
R' B2 L2 D U F' R2
R' B2 L2 D2 B2 U F'
L2 B2 R U D R2 F'
L2 B2 R D U R2 F'
R B2 L2 U D R2 F
R B2 L2 U D F R2
L2 B2 R' U D F' R2
R B2 L2 U2 F2 U' F'
L2 B2 R' U2 F2 U' F
R B2 L2 D U R2 F
R B2 L2 D U F R2
L2 B2 R' D U F' R2
R B2 L2 D2 B2 U F
L2 B2 R' D2 B2 U F'
R' B2 U D F' R2 B
D2 B2 U2 L R2 U' F
D2 B2 U2 R2 L U' F
L2 B2 U2 L F2 U' F'
D2 B2 D R' U F' B2
D2 B2 D R' U B2 F'
R' B2 D U F' R2 B
L2 B2 U2 F2 L U' F
L2 B2 D R' U F' R'
D2 B2 D2 L2 R' U F'
D2 B2 D2 R' L2 U F'
L2 B2 D2 R' B2 U F'
L2 B2 D2 B2 R' U F'
