U2 R F U R
U2 R D F U R
U2 R D' F U R
U2 R D2 F U R
U2 R F U R D
U2 R F U R D'
U2 R F U R D2
U2 R F U D R
U2 R F U D' R
U2 R F U D2 R
U2 R F D U R
U2 R F D' U R
U2 R F D2 U R
U2 R F B U R
U2 R F B' U R
U2 R F B2 U R
U2 R B F U R
U2 R B' F U R
U2 R B2 F U R
U2 R' F R2 U R'
U2 R2 F R' U R2
U2 D R F U R
U2 D' R F U R
D2 U2 R F U R
U2 D2 R F U R
D' U2 R F U R
D U2 R F U R
B' U2 R F U R2
U2 F U D R F'
U2 F D U R F'
L2 F' B' U' R' F'
L' F2 L' B' U' R'
L2 F2 B' L' U' R'
U2 B R F U R
U2 B' R F U R
L2 B' U' R' D' F2
L2 B' U2 R U R2
L2 B' F' U' R' F'
L2 B' F2 L' U' R'
U2 B2 R F U R
B' F' U' D' R' L2 F'
B' F' U' D' R' F' L2
L2 B' D2 U2 R U R2
L2 B' D2 F' U' R' F'
L2 B' D2 F2 L' U' R'
F' B' U' R' D' L2 F'
F' B' U' R' D' F' L2
F' B' U' D' L2 R' F'
F' B' U' D' R' L2 F'
F' B' U' D' R' F' L2
U2 B' F U D R F'
R B' D' F U R' B
U2 B' F D U R F'
L' B' F' U' R' F' L'
B' F' U2 F2 U R' F'
L2 B' F' L U' R' F'
L2 B' F' L' U' R' F'
L2 B' F' L2 U' R' F'
F' B' U2 F2 U R' F'
L2 B' F' U' R' D F'
L2 B' F' U' R' D' F'
L2 B' F' U' R' D2 F'
L2 B' F' U' R' F' D
L2 B' F' U' R' F' D'
L2 B' F' U' R' F' D2
L2 B' F' U' D R' F'
L2 B' F' U' D' R' F'
L2 B' F' U' D2 R' F'
L2 B' F' U' F R' F'
L2 B' F' U' F' R' F'
L2 B' F' U' F2 R' F'
L2 B' F' D U' R' F'
R B' D2 F L' U R'
L2 B' F' D' U' R' F'
L2 B' F' D2 U' R' F'
L2 B' F2 L' U' R' D
L2 B' F2 L' U' R' D'
L2 B' F2 L' U' R' D2
L2 B' F2 L' U' D R'
L2 B' F2 L' U' D' R'
L2 B' F2 L' U' D2 R'
L2 B' F2 L' D U' R'
L2 B' F2 L' D' U' R'
L2 B' F2 L' D2 U' R'
L2 B' F2 L' F U' R'
L2 B' F2 L' F' U' R'
L2 B' F2 L' F2 U' R'
L2 B' F2 D L' U' R'
L2 B' F2 D' L' U' R'
R B' F U D' R' B
L2 B' F2 D2 L' U' R'
B' F' D' U' L2 R' F'
B' F' D' U' R' L2 F'
B' F' D' U' R' F' L2
R B' F D' U R' B
F' B' D' U' L2 R' F'
F' B' D' U' R' L2 F'
F' B' D' U' R' F' L2
B' F2 L' U2 F' U R'
B F' D2 B2 U' R' F'
U2 B2 R D F U R
U2 B2 R D' F U R
U2 B2 R D2 F U R
U2 B2 R F U R D
U2 B2 R F U R D'
U2 B2 R F U R D2
U2 B2 R F U D R
U2 B2 R F U D' R
U2 B2 R F U D2 R
U2 B2 R F D U R
U2 B2 R F D' U R
U2 B2 R F D2 U R
U2 B2 R F B U R
U2 B2 R F B' U R
U2 B2 R F B2 U R
U2 B2 R B F U R
U2 B2 R B' F U R
U2 B2 R B2 F U R
U2 B2 R' F R2 U R'
U2 B2 R2 F R' U R2
U B2 U R F U R
U2 B2 D R F U R
U2 B2 D' R F U R
U2 B2 D2 R F U R
R B2 D F L B' U
U2 B2 F U D R F'
U2 B2 F D U R F'
L2 B2 F2 L' B U' R'
R B2 F L B U R'
R B2 F D L B' U
