L2 R U' R' U' F'
U L' R B' L' U2
R L2 U' R' U' F'
U L' B' L' R U2
U L' B' R L' U2
U' L2 R B U2 B'
U L2 U2 F2 L' F
L' U L' R B' U2
L U L R U2 F
L' U L' B' R U2
U L2 D2 R U2 F'
L' U R L' B' U2
L U R L U2 F
U R L' B' L' U2
U' R L2 B U2 B'
U' R B L2 F U2
U' R' D2 L2 F' R2
U' R' D2 F' L2 R2
U' R' D2 F' R2 L2
U' R' F' D2 L2 R2
U' R' F' D2 R2 L2
D F' L' F' U' L'
D F2 U' D' L' F
D F2 D' U' L' F
U L' D' R B' L' U2
U L' D' B' L' R U2
U L' D' B' R L' U2
U L' D2 R B' L' U2
U L' D2 B' L' R U2
U L' D2 B' R L' U2
U' L' F' R' F' L' R
U' L' F' R' F' R L'
D L' F' L' F' U' L'
U' L' F2 L' R' F' R2
U' L' F2 R' L' F' R2
R L2 U' L R' U' F'
R L2 U' L' R' U' F'
R L2 U' L2 R' U' F'
R L2 U' R' L U' F'
R L2 U' R' L' U' F'
R L2 U' R' L2 U' F'
R L2 U' R' U' D F'
R L2 U' R' U' D' F'
R L2 U' R' U' D2 F'
R L2 U' R' U' F' D
R L2 U' R' U' F' D'
R L2 U' R' U' F' D2
R L2 U' R' D U' F'
R L2 U' R' D' U' F'
R L2 U' R' D2 U' F'
D L' F2 U' D' L' F
R L2 U' D R' U' F'
R L2 U' D' R' U' F'
R L2 U' D2 R' U' F'
D L' F2 D' U' L' F
U L' B L' R B2 U2
U L' B L' B2 R U2
U L' B R L' B2 U2
U L' B R B2 L' U2
U L' B' L' R U2 D
U L' B' L' R U2 D'
U L' B' L' R U2 D2
U L' B' L' R D U2
U L' B' L' R D' U2
U L' B' L' R D2 U2
U L' B' L' D R U2
U L' B' L' D' R U2
U L' B' L' D2 R U2
U L' B' R L' U2 D
U L' B' R L' U2 D'
U L' B' R L' U2 D2
U L' B' R L' D U2
U L' B' R L' D' U2
U L' B' R L' D2 U2
U L' B' R D L' U2
U L' B' R D' L' U2
U L' B' R D2 L' U2
R L2 D U' R' U' F'
U L' B' D L' R U2
U L' B' D R L' U2
U L' B' D' L' R U2
U L' B' D' R L' U2
U L' B' D2 L' R U2
U L' B' D2 R L' U2
U L' B2 L' B R U2
R L2 D' U' R' U' F'
B' L2 R U' R' U' F'
B2 L2 R U' R' U' F'
U' L2 R D B U2 B'
U' L2 R D' B U2 B'
B L2 R U' R' U' F'
U' L2 R D2 B U2 B'
U' L2 R F B U2 B'
U' L2 R F' B U2 B'
U L2 R U' L' U' F
U' L2 R F2 B U2 B'
U L2 R U2 L' F L
U L2 R U2 L' F L
U' L2 R B U2 D B'
U' L2 R B U2 D' B'
U' L2 R B U2 D2 B'
U' L2 R B U2 B' D
U' L2 R B U2 B' D'
U' L2 R B U2 B' D2
U' L2 R B D U2 B'
U' L2 R B D' U2 B'
U' L2 R B D2 U2 B'
U' L2 R B F U2 B'
U' L2 R B F' U2 B'
U' L2 R B F2 U2 B'
R L2 D2 U' R' U' F'
U L2 R2 D2 R' B U2
R L2 F' U' L' R' U'
R L2 F' U' L' R' U'
R L2 F' U' R' L' U'
U L2 U F2 U L' F
U' L2 U2 R U2 R' F'
U L2 U2 L' F2 L' F'
U L2 U2 F L' F L'
U' L2 D R B U2 B'
U L2 U2 F2 L' D F
U L2 U2 F2 L' D' F
U L2 U2 F2 L' D2 F
U L2 U2 F2 L' F D
U L2 U2 F2 L' F D'
U L2 U2 F2 L' F D2
U' L2 D' R B U2 B'
R L2 B2 U L U F
L U L R U2 D F
L U L R U2 D' F
L U L R U2 D2 F
L U L R U2 F D
L U L R U2 F D'
L U L R U2 F D2
L U L R D U2 F
L U L R D' U2 F
L U L R D2 U2 F
L U L R B U2 F
L U L R B' U2 F
L U L R B2 U2 F
L U L U2 F2 L' F'
U' L2 D2 R B U2 B'
L U L D R U2 F
L U L D' R U2 F
L' U L' R D B' U2
L' U L' R D' B' U2
L' U L' R D2 B' U2
L' U L' R B' U2 D
L' U L' R B' U2 D'
L' U L' R B' U2 D2
L' U L' R B' D U2
L' U L' R B' D' U2
L' U L' R B' D2 U2
L U L D2 R U2 F
L' U L' R' B' R2 U2
L U L B R U2 F
L' U L' D R B' U2
L U L B' R U2 F
L' U L' D B' R U2
L' U L' D' R B' U2
L U L B2 R U2 F
U L2 D2 R U2 D F'
U L2 D2 R U2 D' F'
L' U L' D' B' R U2
U L2 D2 R U2 D2 F'
U L2 D2 R U2 F' D
U L2 D2 R U2 F' D'
U L2 D2 R U2 F' D2
U L2 D2 R D U2 F'
U L2 D2 R D' U2 F'
U L2 D2 R D2 U2 F'
L' U L' D2 R B' U2
U L2 D2 R B U2 F'
U L2 D2 R B' U2 F'
U L2 D2 R B2 U2 F'
L' U L' D2 B' R U2
L U L' R B' L2 U2
U L2 D2 R' B R2 U2
L' U L' B R B2 U2
L' U L' B' R U2 D
L' U L' B' R U2 D'
L' U L' B' R U2 D2
L' U L' B' R D U2
L' U L' B' R D' U2
L' U L' B' R D2 U2
L' U L' B' D R U2
L' U L' B' D' R U2
L' U L' B' D2 R U2
U L2 D2 B R U2 F'
U L2 D2 B' R U2 F'
U L2 D2 B2 R U2 F'
L U L' B' L2 R U2
L U L' B' R L2 U2
L' U R L' D B' U2
L' U R L' D' B' U2
L' U R L' D2 B' U2
L' U R L' B' U2 D
L' U R L' B' U2 D'
L' U R L' B' U2 D2
L' U R L' B' D U2
L' U R L' B' D' U2
L' U R L' B' D2 U2
D L2 F' L' F' U' L'
L' U R D L' B' U2
L' U R D' L' B' U2
L' U R D2 L' B' U2
L U R L U2 D F
L U R L U2 D' F
L U R L U2 D2 F
L U R L U2 F D
L U R L U2 F D'
L U R L U2 F D2
L U R L D U2 F
L U R L D' U2 F
L U R L D2 U2 F
L U R L B U2 F
L U R L B' U2 F
L U R L B2 U2 F
L U R L' B' L2 U2
L' U R B L' B' U2
L' U R B' L' B' U2
L' U R B2 L' B' U2
L U R D L U2 F
L U R D' L U2 F
L' U R' L' B' R2 U2
L U R D2 L U2 F
D L2 F2 U' D' L' F
L U R B2 U2 R' F'
D L2 F2 D' U' L' F
U' L2 B R B U2 B2
U L2 B U2 F2 L' F
L' U D L' R B' U2
U L2 B D2 R U2 F'
L' U D L' B' R U2
L' U D R L' B' U2
L U D L R U2 F
U' L2 B2 R B U2 B
L U D R L U2 F
L' U D' L' R B' U2
U L2 B' U2 F2 L' F
L' U D' L' B' R U2
L' U D' R L' B' U2
U L2 B' D2 R U2 F'
L U D' L R U2 F
L U D' R L U2 F
L' U D2 L' R B' U2
L' U D2 L' B' R U2
L' U D2 R L' B' U2
U L2 B2 U2 F2 L' F
U L2 B2 D2 R U2 F'
L U D2 L R U2 F
R U D' B2 L U F
L U D2 R L U2 F
U R L B' U2 F R
U R L B2 U2 R' F
U R L B2 U2 F R'
B' R L2 U' R' U' F'
U R L' D B' L' U2
U R L' D' B' L' U2
B2 R L2 U' R' U' F'
U' R L2 D B U2 B'
U R L' D2 B' L' U2
U' R L2 D' B U2 B'
U' R L2 D2 B U2 B'
U' R L2 F B U2 B'
B R L2 U' R' U' F'
U R L' B L' B2 U2
U' R L2 F' B U2 B'
U R L' B' L' U2 D
U R L' B' L' U2 D'
U R L' B' L' U2 D2
U R L' B' L' D U2
U R L' B' L' D' U2
U R L' B' L' D2 U2
U' R L2 F2 B U2 B'
U R L' B' D L' U2
U R L' B' D' L' U2
U R L' B' D2 L' U2
U' R L2 B U2 D B'
U' R L2 B U2 D' B'
U' R L2 B U2 D2 B'
U' R L2 B U2 B' D
U' R L2 B U2 B' D'
U' R L2 B U2 B' D2
U' R L2 B D U2 B'
U R L' B2 L' B U2
U' R L2 B D' U2 B'
U' R L2 B D2 U2 B'
U' R L2 B F U2 B'
U' R L2 B F' U2 B'
U' R L2 B F2 U2 B'
U R L2 U' L' U' F
U R L2 U2 L' F L
D' R U B2 L U F
D2 R U' R' U' F' R2
L' U B L' R B' U2
L' U B L' B' R U2
L' U B R L' B' U2
D R U' R' F2 U' F
D R U' F2 R' U' F'
U' R U2 L2 B U2 L2
L' U B' L' R B' U2
L' U B' L' B' R U2
L' U B' R L' B' U2
U' R U2 B L2 U2 L2
U R U2 R D2 R2 F'
U R U2 R' D2 F' R2
U R U2 R' F' D2 R2
U R U2 D2 R' F' R'
L' U B2 L' R B' U2
L' U B2 L' B' R U2
L' U B2 R L' B' U2
L U' L R B U2 B'
U' R D2 R2 D2 L2 F'
U' R D2 R2 D2 F' L2
U' R D2 R2 F' D2 L2
L' U' L' R B U2 B'
U R D2 L U2 R2 F
U R D2 L U2 F R2
U' R D2 B U2 R2 B'
U' R D2 B U2 B' R2
U R D2 L' B' U2 R2
U' R F L2 B U2 B'
U R D2 U2 R' F' R'
U' R F B L2 F U2
U' R F' L2 B U2 B'
L' U' R L' B U2 B'
U' R F' B L2 F U2
L U' R L B U2 B'
U' R F2 L2 B U2 B'
U' R F2 B L2 F U2
U' R B L2 D F U2
U' R B L2 D' F U2
U' R B L2 D2 F U2
U' R B L2 F U2 D
U' R B L2 F U2 D'
U' R B L2 F U2 D2
U' R B L2 F D U2
U' R B L2 F D' U2
U' R B L2 F D2 U2
R U' R' U L2 U2 F'
R U' R' U' D2 F' R2
R U' R' U' F' D2 R2
U' R B U2 D2 R2 B'
U' R B U2 D2 B' R2
U' R B U2 B' D2 R2
R U' R' D F2 U' F
U' R B D2 U2 R2 B'
U' R B D2 U2 B' R2
U' R B F L2 F U2
R U' R' D2 U' F' R2
U' R B F' L2 F U2
U R B L' B' L' U2
U' R B F2 L2 F U2
U' R B' L2 B2 U2 B'
U R B' L' B' L' U2
U' R B2 L2 U2 F B2
U' R B2 L2 U2 B2 F
R U' D R' F2 U' F
R U' D F2 R' U' F'
U R B2 L' B' L' U2
R U' D2 R' U' F' R'
L' U' F' R' F' L' R
L' U' F' R' F' R L'
U R' L' B' L' R2 U2
U R' L' B' R2 L' U2
L' U' F2 L' R' F' R2
L' U' F2 R' L' F' R2
U' R' U2 L2 R2 B U2
U' R' U2 R2 L2 B U2
U' R' U2 R2 B L2 U2
U' R' D2 L F' L R2
U' R' D2 L F' R2 L
U' R' D2 L2 F R2 F2
U' R' D2 L2 F' R2 D
U' R' D2 L2 F' R2 D'
U' R' D2 L2 F' R2 D2
U' R' D2 L2 F2 R2 F
U' R' D2 F L2 R2 F2
U' R' D2 F L2 F2 R2
U' R' D2 F R2 L2 F2
U' R' D2 F R2 F2 L2
U' R' D2 F' L2 R2 D
U' R' D2 F' L2 R2 D'
U' R' D2 F' L2 R2 D2
U' R' D2 F' R2 L2 D
U' R' D2 F' R2 L2 D'
U' R' D2 F' R2 L2 D2
U' R' D2 F2 R2 F L2
U' R' F' U2 L2 R2 U2
U' R' F' U2 R2 L2 U2
U' R' F' D2 L2 R2 D
U' R' F' D2 L2 R2 D'
U' R' F' D2 L2 R2 D2
U' R' F' D2 R2 L2 D
U' R' F' D2 R2 L2 D'
U' R' F' D2 R2 L2 D2
U' R' F2 D2 R2 F L2
U' R' F2 D2 F L2 R2
U' R' F2 D2 F R2 L2
U R2 L2 D2 R' B U2
U' R2 U2 L2 R' B U2
U' R2 U2 R' L2 B U2
U' R2 U2 R' B L2 U2
U' R2 D2 R2 F2 L' F
U R2 D2 R' U2 R' F'
L2 D R U' R' U' F'
L' D U L' R B' U2
L' D U L' B' R U2
L' D U R L' B' U2
L D U L R U2 F
D2 U L R U2 R F
L D U R L U2 F
U R2 B2 L2 U2 L' F
D2 U L' R B' U2 R
R D U' R' F2 U' F
B' U L' R B' L' U2
R D U' F2 R' U' F'
B2 U L' R B' L' U2
D2 U L' B' R U2 R
B' U L' B' L' R U2
B U L' R B' L' U2
B' U L' B' R L' U2
B2 U L' B' L' R U2
B2 U L' B' R L' U2
F' U L2 U' L B' U'
B' U L2 U2 F2 L' F
B' U L2 D2 R U2 F'
B2 U L2 U2 F2 L' F
B U L' B' L' R U2
B U L' B' R L' U2
B2 U L2 D2 R U2 F'
D2 U R L U2 R F
D2 U R L' B' U2 R
B' U R L' B' L' U2
B U L2 U2 F2 L' F
D2 U R U2 R' F' R2
B2 U R L' B' L' U2
B U L2 D2 R U2 F'
B U R L' B' L' U2
L2 D' R U' R' U' F'
L' D' U L' R B' U2
L' D' U L' B' R U2
L' D' U R L' B' U2
L D' U L R U2 F
L D' U R L U2 F
R D' U B2 L U F
D2 U' R B U2 R B'
D2 U' R B U2 B' R
F2 U' L' D F2 R F'
D2 U' R' D2 L2 F' R'
D2 U' R' D2 F' L2 R'
D2 U' R' D2 F' R' L2
B' U' L2 R B U2 B'
D2 U' R' F' D2 L2 R'
D2 U' R' F' D2 R' L2
B2 U' L2 R B U2 B'
D2 U' R2 U2 R' B U2
B U' L2 R B U2 B'
B' U' R L2 B U2 B'
B2 U' R L2 B U2 B'
B' U' R B L2 F U2
B2 U' R B L2 F U2
B U' R L2 B U2 B'
B' U' R' D2 L2 F' R2
B' U' R' D2 F' L2 R2
B' U' R' D2 F' R2 L2
B' U' R' F' D2 L2 R2
B' U' R' F' D2 R2 L2
D2 U' F' R' F' L' R'
D2 U' F' R' F' R' L'
B2 U' R' D2 L2 F' R2
B2 U' R' D2 F' L2 R2
B2 U' R' D2 F' R2 L2
B U' R B L2 F U2
B2 U' R' F' D2 L2 R2
B2 U' R' F' D2 R2 L2
D2 U' F2 L' R' F' R'
B U' R' D2 L2 F' R2
B U' R' D2 F' L2 R2
B U' R' D2 F' R2 L2
D2 U' F2 R' L' F' R'
D2 U' F2 R2 D2 L' F
B U' R' F' D2 L2 R2
B U' R' F' D2 R2 L2
F2 U' D' L' D' R2 F
F2 U' D' L' D' F R2
F2 U' D' L' F D' R2
F2 U' D2 R2 D L' F
L2 D2 R U' R' U' F'
U D2 L R U2 R F
U D2 L' R B' U2 R
U D2 L' B' R U2 R
U' D2 R B U2 R B'
U' D2 R B U2 B' R
L' D2 U L' R B' U2
L' D2 U L' B' R U2
L' D2 U R L' B' U2
U' D2 R' D2 L2 F' R'
U' D2 R' D2 F' L2 R'
U' D2 R' D2 F' R' L2
U' D2 R' F' D2 L2 R'
U' D2 R' F' D2 R' L2
U D2 R L U2 R F
U D2 R L' B' U2 R
U D2 R U2 R' F' R2
U' D2 R2 U2 R' B U2
L D2 U L R U2 F
L D2 U R L U2 F
R D2 U' R' U' F' R'
U' D2 F' R' F' L' R'
U' D2 F' R' F' R' L'
U' D2 F2 L' R' F' R'
U' D2 F2 R' L' F' R'
U' D2 F2 R2 D2 L' F
F2 U2 D' B2 U L' F
U' F R' F L' F2 R
D2 F' L' F' U' L' R2
D2 F' L' F' U' R2 L'
L' F' L' F' U' L' R
L' F' L' F' U' R L'
D F' L F' L2 U' L
B' D F' L' F' U' L'
D F' L' D F' U' L'
D F' L' D' F' U' L'
D F' L' D2 F' U' L'
B2 D F' L' F' U' L'
D F' L' F' U' L' D
D F' L' F' U' L' D'
D F' L' F' U' L' D2
D F' L' F' U' D L'
D F' L' F' U' D' L'
D F' L' F' U' D2 L'
D F' L' F' D U' L'
D F' L' F' D' U' L'
D F' L' F' D2 U' L'
D F' L' F' B U' L'
D F' L' F' B' U' L'
D F' L' F' B2 U' L'
D F' L' B F' U' L'
D F' L' B' F' U' L'
U' F' R D2 R2 F' L'
D F' L' B2 F' U' L'
B D F' L' F' U' L'
B' D F2 U' D' L' F
D F' L2 F' L U' L2
B' D F2 D' U' L' F
U' F' R' D2 F' L' R2
U' F' R' D2 F' R2 L'
R F' L2 U' L R' U'
R F' L2 U' R' L U'
B2 D F2 U' D' L' F
F2 D F2 U R U2 F'
U' F' R' F' D2 L' R2
U' F' R' F' D2 R2 L'
B2 D F2 D' U' L' F
B D F2 U' D' L' F
B D F2 D' U' L' F
D F' D L' F' U' L'
U' F' D2 R' F' L' R'
U' F' D2 R' F' R' L'
D F' D' L' F' U' L'
D F' D2 L' F' U' L'
D F' B L' F' U' L'
D F' B' L' F' U' L'
F2 D' U' L' D' R2 F
F2 D' U' L' D' F R2
F2 D' U' L' F D' R2
D F' B2 L' F' U' L'
U' F2 L' R' F2 R F
U' F2 L' R2 F2 R F'
U' F2 L' U2 L' B' U2
U' F2 L' F' R' F' R
U' F2 L' F2 R' F' R2
F2 D' U2 B2 U L' F
U' F2 R D2 L' R2 F'
U' F2 R D2 R2 L' F'
U' F2 R' L' F2 R F
U' F2 R' D2 L' F' R2
U' F2 R2 L' F2 R F'
U' F2 R2 D2 L' R2 F
U' F2 R2 D2 L' F R2
U' F2 R2 D2 R2 L' F
L' F2 U' L' D R F'
D2 F2 U' R2 D' L' F
L' F2 U' R D' L' F
D' F2 U' D' L' R2 F
D' F2 U' D' L' F R2
D' F2 U' D' R2 L' F
L' F2 U' D L' R F'
L' F2 U' D R L' F'
L' F2 U' D' L' R F
L' F2 U' D' R L' F
D F2 U' D' L' D F
D F2 U' D' L' D' F
D F2 U' D' L' D2 F
D F2 U' D' L' F D
D F2 U' D' L' F D'
D F2 U' D' L' F D2
F' D2 L' F' U' L' R2
F' D2 L' F' U' R2 L'
L' F2 D U' L' R F'
L' F2 D U' R L' F'
D' F2 D' U' L' R2 F
D' F2 D' U' L' F R2
D' F2 D' U' R2 L' F
L' F2 D' U' L' R F
L' F2 D' U' R L' F
U' F2 D2 L' R' F' R'
U' F2 D2 R' L' F' R'
U' F2 D2 R2 D2 L' F
D F2 D' L U' L2 F
D F2 D' U' L' D F
D F2 D' U' L' D' F
D F2 D' U' L' D2 F
D F2 D' U' L' F D
D F2 D' U' L' F D'
D F2 D' U' L' F D2
D F2 D' B U' L' F
D F2 D' B' U' L' F
D F2 D' B2 U' L' F
U F2 D2 L' B2 R2 F'
D F2 D2 B' L U' L2
F2 D2 R2 D L' F B2
F2 D2 R2 D L' B2 F
F2 D2 R2 D B2 L' F
D F2 B U' D' L' F
D F2 B D' U' L' F
D F2 B' U' D' L' F
D F2 B' D' U' L' F
F2 D2 U' R2 D L' F
D F2 B2 U' D' L' F
D F2 B2 D' U' L' F
U' B L2 R F B U2
U' B L2 R B F U2
U' B R L2 F B U2
U' B R L2 B F U2
U B L' R B' L' U2
U' B R B L2 U2 B2
U B L' B' L' R U2
U B L' B' R L' U2
L2 B R U' R' U' F'
U B L2 U2 F2 L' F
U B L2 D2 R U2 F'
U B R L' B' L' U2
F2 D2 B' L U' L2 R2
F2 D2 B' L U' R2 L2
L' B U L' R B' U2
L' B U L' B' R U2
L' B U R L' B' U2
D B F' L' F' U' L'
D B F2 U' D' L' F
D B F2 D' U' L' F
U B' L' R B' L' U2
U B' L' B' L' R U2
U B' L' B' R L' U2
L2 B' R U' R' U' F'
U B' L2 U2 F2 L' F
U B' L2 D2 R U2 F'
U2 B' R' U D2 L2 R2
U2 B' R' U D2 R2 L2
U2 B' R' U' L2 R2 U2
U2 B' R' U' R2 L2 U2
U B' R L' B' L' U2
U2 B' R' D' F2 B2 U
U2 B' R' D' B2 F2 U
U2 B' R' D2 U L2 R2
U2 B' R' D2 U R2 L2
L' B' U L' R B' U2
L' B' U L' B' R U2
L' B' U R L' B' U2
D B' F' L' F' U' L'
D B' F2 U' D' L' F
D B' F2 D' U' L' F
U' B2 L2 R B U2 B
U' B2 R L2 B U2 B
U B2 L' R B' L' U2
U' B2 R B L2 U2 B
L2 B2 R U' R' U' F'
U B2 L' B' L' R U2
U B2 L' B' R L' U2
U B2 L2 U2 F2 L' F
U B2 L2 D2 R U2 F'
U B2 R L' B' L' U2
L' B2 U L' R B' U2
L' B2 U L' B' R U2
D' B2 U R U2 R' F'
L' B2 U R L' B' U2
D' B2 U' R B U2 B'
L B2 U' R' D2 L2 F'
L B2 U' R' D2 F' L2
L B2 U' R' F' D2 L2
L B2 U' F' R' F' L'
L B2 U' F2 L' R' F'
L B2 U' F2 R' L' F'
D B2 F' L' F' U' L'
D B2 F2 U' D' L' F
D B2 F2 D' U' L' F
