B L B2 R2 U F'
B L B2 U' B U2
B' L' U2 R' U' F
B' L2 U2 R' U' F'
B' U2 L' R' U' F
B' U2 R' L' U' F
B2 D' B R' U B
B2 D' B R' U B
D' B L R' B2 U
D' B R' L B2 U
D' B' U2 L R' U'
D' B' U2 R' L U'
B' L2 U2 R' L' U' F'
B' L2 U2 R' L2 U' F'
B' L2 U2 R' U' D F'
B' L2 U2 R' U' D' F'
B' L2 U2 R' U' D2 F'
B' L2 U2 R' U' F' D
B' L2 U2 R' U' F' D'
B' L2 U2 R' U' F' D2
B' L2 U2 R' D U' F'
B' L2 U2 R' D' U' F'
B' L2 U2 R' D2 U' F'
B' L2 U2 D R' U' F'
B' L2 U2 D' R' U' F'
D2 L2 U2 F R U' F'
B' L2 U2 D2 R' U' F'
D L2 U2 F L' R U'
D L2 U2 F R L' U'
B' L2 D U2 R' U' F'
B' L2 D' U2 R' U' F'
B' L2 D2 U2 R' U' F'
U2 L2 F L R U' F
U2 L2 F R L U' F
L' U R D' F B R'
L' U R D' B R' F
L' U R D' B F R'
L' U R F D' B R'
B2 L2 B U2 R' U' F'
B2 L2 B' L B2 U F
L' U D F' R F2 B
L' U D F' R B F2
B' L2 B2 L B2 U F
B L2 B2 L' U' B' U2
L' U D' R F B R'
L' U D' R B R' F
L' U D' R B F R'
L' U D' F R B R'
B' R L D2 L2 U F
B' R L' U D F B2
B' R L' U D B2 F
B' R L' U F D B2
B' R L' U2 R2 U' F
B' R L' D U F B2
B' R L' D U B2 F
L' U F R D' B R'
B R L B2 R2 U F'
B R L B2 U' B U2
L' U F D' R B R'
L' U F2 D F' R B
B' R U2 L' R2 U' F
B' R U2 R2 L' U' F
B' R D2 L2 R U F'
B' R D2 R L2 U F'
D' R B L R' B2 U
D2 R B L B2 U F'
D' R B R' L B2 U
D' R B' U2 L R' U'
D' R B' U2 R' L U'
B' R' L U' B' U2 B
B R' L B2 R2 U F'
B R' L B2 U' B U2
L U' F B' U2 R B
L U' F' B' L' U2 B'
L U' B' L F U2 R
L U' B' L' U2 B' R'
L U' B' F U2 R B
L U' B' F' L' U2 B'
D' R' B L R' B2 U
D' R' B R' L B2 U
L2 U2 R' F R U' F2
L2 U2 R2 F R U' F'
D' R' B' U2 L R' U'
D' R' B' U2 R' L U'
B' R2 L' U2 R U' F
B R2 L B2 R2 U F'
B R2 L B2 U' B U2
L2 U2 F R U B U2
B' R2 U2 L' R U' F
B' R2 U2 R L' U' F
B' R2 U2 D2 R U' F'
B' R2 D2 U2 R U' F'
B' R2 F2 L' F2 U F'
D' R2 B L R' B2 U
D' R2 B R' L B2 U
D' R2 B' U2 L R' U'
D' R2 B' U2 R' L U'
L' D U F' R F2 B
L' D U F' R B F2
U2 D L2 F L' R U'
U2 D L2 F R L' U'
D2 U R F' B D' R2
D2 U R B D' F' R2
D2 U R B F' D' R2
L' D' U R F B R'
L' D' U R B R' F
L' D' U R B F R'
L' D' U F R B R'
R' D' B L R' B2 U
R' D' B R' L B2 U
R2 D' B L R' B2 U
R2 D' B R' L B2 U
R' D' B' U2 L R' U'
R' D' B' U2 R' L U'
R D' B L R' B2 U
R D' B R' L B2 U
R2 D' B' U2 L R' U'
R2 D' B' U2 R' L U'
R D' B' U2 L R' U'
R D' B' U2 R' L U'
D2 U2 L2 F R U' F'
L' D2 R2 U F R B
U2 D2 L2 F R U' F'
D U2 L2 F L' R U'
D U2 L2 F R L' U'
B' U2 L R' U B' U2
U D2 R F' B D' R2
U D2 R B D' F' R2
U D2 R B F' D' R2
B' U2 L' R' U' D F
B' U2 L' R' U' D' F
B' U2 L' R' U' D2 F
B' U2 L' R' U' F D
B' U2 L' R' U' F D'
B' U2 L' R' U' F D2
B' U2 L' R' D U' F
B' U2 L' R' D' U' F
B' U2 L' R' D2 U' F
B' U2 L' D R' U' F
B' U2 L' D' R' U' F
B' U2 L' D2 R' U' F
B' U2 R' L U B' U2
B' U2 R' L' U' D F
B' U2 R' L' U' D' F
B' U2 R' L' U' D2 F
B' U2 R' L' U' F D
B' U2 R' L' U' F D'
B' U2 R' L' U' F D2
B' U2 R' L' D U' F
B' U2 R' L' D' U' F
B' U2 R' L' D2 U' F
B' U2 R' U' L' F L
B' U2 R2 D2 R U' F'
B' U2 D2 R' U B U2
F U2 F' B' L' U F
F U2 B' F' L' U F
B2 D' L B R' U B
U2 F' U2 B' L' U F
B D' L B R' U R'
B2 D' L' B R' U B
B2 D' L2 B R' U B
B2 D' B L R' U B
B2 D' B L' R' U B
B2 D' B L2 R' U B
B2 D' B R' L U B
B2 D' B R' L' U B
B2 D' B R' L2 U B
B2 D' B R' U D B
B2 D' B R' U D' B
B2 D' B R' U D2 B
B2 D' B R' U B D
B2 D' B R' U B D'
B2 D' B R' U B D2
B2 D' B R' D U B
B2 D' B R' D' U B
B2 D' B R' D2 U B
B' D2 R U D F' B2
B' D2 R U D B2 F'
B' D2 R U F' D B2
B' D2 R D U F' B2
B' D2 R D U B2 F'
B' D2 R D2 L2 U F'
B' D2 R' U' B U2 B'
D2 B L R B2 U F'
D' B L R B2 R2 U
D' B L R' U D' R2
D' B L R' D' U R2
D' B L R' B2 U D
D' B L R' B2 U D'
D' B L R' B2 U D2
D' B L R' B2 D U
D' B L R' B2 D' U
D' B L R' B2 D2 U
D' B L R2 B2 R U
D' B L D' R' U R'
R' B L B2 R2 U F'
B' D2 U2 R' U B U2
R' B L B2 U' B U2
D2 B L B2 R U F'
D' B L B2 U2 L U'
D' B L' R' B2 L2 U
D' B L2 R' B2 L' U
R2 B L B2 R2 U F'
R2 B L B2 U' B U2
D2 B R L B2 U F'
D' B R L B2 R2 U
R B L B2 R2 U F'
R B L B2 U' B U2
L2 B L2 B' L' U F
L B L' B' L2 U F
D' B R' L U D' R2
D' B R' L D' U R2
D' B R' L B2 U D
D' B R' L B2 U D'
D' B R' L B2 U D2
D' B R' L B2 D U
D' B R' L B2 D' U
D' B R' L B2 D2 U
D' B R' L' B2 L2 U
D' B R' L2 B2 L' U
D' B R' D' L U R2
D' B R' B2 U2 R' U'
D' B R2 L B2 R U
D' B D' L R' U R'
D' B D' R' L U R'
R' B' L' U2 R' U' F
D' B' L' U2 L2 R' U'
D' B' L' U2 R' L2 U'
R' B' L2 U2 R' U' F'
D' B' L2 U2 L' R' U'
D' B' L2 U2 R' L' U'
R2 B' L' U2 R' U' F
D2 B' R U D F' B2
D2 B' R U D B2 F'
D2 B' R U F' D B2
D2 B' R D U F' B2
D2 B' R D U B2 F'
D' B' R U2 L R2 U'
D' B' R U2 R2 L U'
D2 B' R D2 L2 U F'
R2 B' L2 U2 R' U' F'
R B' L' U2 R' U' F
D2 B' R' U' B U2 B'
R B' L2 U2 R' U' F'
D' B' R2 U2 L R U'
D' B' R2 U2 R L U'
U2 B' R2 F' L' U F
R' B' U2 L' R' U' F
D' B' U2 L R' U' D
D' B' U2 L R' U' D'
D' B' U2 L R' U' D2
D' B' U2 L R' D U'
D' B' U2 L R' D' U'
D' B' U2 L R' D2 U'
D' B' U2 L D R' U'
D' B' U2 L D' R' U'
D' B' U2 L D2 R' U'
R' B' U2 R' L' U' F
D2 B' U2 R' U B U2
D' B' U2 R' L U' D
D' B' U2 R' L U' D'
D' B' U2 R' L U' D2
D' B' U2 R' L D U'
D' B' U2 R' L D' U'
D' B' U2 R' L D2 U'
D' B' U2 R' D L U'
D' B' U2 R' D' L U'
D' B' U2 R' D2 L U'
D' B' U2 D L R' U'
D' B' U2 D R' L U'
D' B' U2 D' L R' U'
D' B' U2 D' R' L U'
D' B' U2 D2 L R' U'
D' B' U2 D2 R' L U'
L2 B' U2 R' F U' F2
L2 B' U2 F R' U' F'
R2 B' U2 L' R' U' F
D' B' D U2 L R' U'
D' B' D U2 R' L U'
R2 B' U2 R' L' U' F
L B' U2 R' F' U' F
D' B' D' U2 L R' U'
D' B' D' U2 R' L U'
R B' U2 L' R' U' F
R B' U2 R' L' U' F
F2 B' R2 F2 L' U F
D' B' D2 U2 L R' U'
D' B' D2 U2 R' L U'
B' F2 R2 F2 L' U F
R' B2 D' B R' U B
R2 B2 D' B R' U B
R B2 D' B R' U B
