U L F' B' L' R'
U L F' B' R' L'
U L B' F' L' R'
U L B' F' R' L'
U L2 F' L' B' R'
U F' L B' L2 R'
U F' L B' R' L2
U L2 F' L' R B' R'
U L2 F' L' R' B' R'
U L2 F' L' R2 B' R'
U L2 F' L' D B' R'
U L2 F' L' D' B' R'
U L2 F' L' D2 B' R'
U L2 F' L' B' R' D
U L2 F' L' B' R' D'
U L2 F' L' B' R' D2
U L2 F' L' B' D R'
U L2 F' L' B' D' R'
U L2 F' L' B' D2 R'
U L2 F' R L' B' R'
U L2 F' R' L' B' R'
U L2 F' R2 L' B' R'
U L2 F' D L' B' R'
U L2 F' D' L' B' R'
U L2 F' D2 L' B' R'
U L2 F' B' L' R' B'
U L2 F' B' R' L' B'
U L2 B' F' L' R' B'
U L2 B' F' R' L' B'
U R L B' R' F' L'
L U F U' F2 B' L'
L U F U' B' F2 L'
L U F' D R2 B' L'
L U F' D B' L' R2
L U F' D B' R2 L'
L U F' B' L' D R2
L U F' B' D L' R2
L U F' B' D R2 L'
L U B' F' L' D R2
L U B' F' D L' R2
L U B' F' D R2 L'
U' R2 B U2 L B' R'
B' U L F' B' L' R'
B' U L F' B' R' L'
B' U L B' F' L' R'
B' U L B' F' R' L'
B2 U L F' B' L' R'
B2 U L F' B' R' L'
B2 U L B' F' L' R'
B2 U L B' F' R' L'
B U L F' B' L' R'
B U L F' B' R' L'
B U L B' F' L' R'
B U L B' F' R' L'
B' U L2 F' L' B' R'
B2 U L2 F' L' B' R'
B U L2 F' L' B' R'
D2 U F' L' B' R' B
D2 U F' B' L' R' B
D2 U F' B' R' L' B
D2 U F' B' R' B L'
B' U F' L B' L2 R'
B' U F' L B' R' L2
B2 U F' L B' L2 R'
B2 U F' L B' R' L2
B U F' L B' L2 R'
B U F' L B' R' L2
D2 U B' F' L' R' B
D2 U B' F' R' L' B
D2 U B' F' R' B L'
F2 U' F R B L B'
F2 U' F B L R B'
F2 U' F B L B' R
F2 U' F B R L B'
F2 U' B F L R B'
F2 U' B F L B' R
F2 U' B F R L B'
U D2 F' L' B' R' B
U D2 F' B' L' R' B
U D2 F' B' R' L' B
U D2 F' B' R' B L'
U D2 B' F' L' R' B
U D2 B' F' R' L' B
U D2 B' F' R' B L'
U F L F2 B' L' R'
U F L F2 B' R' L'
U F L B' F2 L' R'
U F L B' F2 R' L'
U' F R F2 B L B'
U' F R B L F2 B'
U' F R B L B' F2
U' F R B F2 L B'
U F L2 F2 L' B' R'
L F R B U' F2 B2
L F R B U' B2 F2
L F U' F2 B L B2
L F U' B L F2 B2
L F U' B L B2 F2
L F U' B F2 L B2
U' F B L R F2 B'
U' F B L R B' F2
U' F B L B' R F2
U' F B R L F2 B'
U' F B R L B' F2
U' F B R F2 L B'
U' F' L B L B2 R'
U' F' L' F U2 F' L'
L F B2 U' F2 B L
L F B2 U' B L F2
L F B2 U' B F2 L
U F' L R B' L2 R'
U F' L R B' R' L2
U F' L R' B' L2 R'
U F' L R' B' R' L2
U F' L R2 B' L2 R'
U F' L R2 B' R' L2
U F' L B' L2 R' D
U F' L B' L2 R' D'
U F' L B' L2 R' D2
U F' L B' L2 D R'
U F' L B' L2 D' R'
U F' L B' L2 D2 R'
U F' L B' R' L2 D
U F' L B' R' L2 D'
U F' L B' R' L2 D2
U F' L B2 L2 B R'
U F' L' U2 F U2 R
U F' R L B' L2 R'
U F' R L B' R' L2
L F' R B' D L2 R2
L F' R B' D R2 L2
U F' R' L B' L2 R'
U F' R' L B' R' L2
U F' R2 L B' L2 R'
U F' R2 L B' R' L2
L F' R2 D R2 B' L
L F' R2 D B' L R2
L F' R2 D B' R2 L
U' F' U2 L' F R U2
L F' D R2 D B' L
U' F' B L D2 R2 B'
U' F' B L D2 B' R2
U' F' B L B' D2 R2
U F' D2 L' B' R' B
U F' D2 B' L' R' B
U F' D2 B' R' L' B
U F' D2 B' R' B L'
U F' B' L R' B' L2
U F' B' R' L B' L2
U F' B' D2 L' R' B
U F' B' D2 R' L' B
U F' B' D2 R' B L'
D F2 U' F R B L
U' B L F R F2 B'
U' B L F R B' F2
U' B L F B' R F2
U' B L B' F R F2
U' B U2 L F' B' R'
U' B U2 L B' F' R'
U' B U2 F' L B' R'
U' B F L R F2 B'
U' B F L R B' F2
U' B F L B' R F2
U' B F R L F2 B'
U' B F R L B' F2
U' B F R F2 L B'
U' B F' L D2 R2 B'
U' B F' L D2 B' R2
U' B F' L B' D2 R2
L' B' L2 U F' B' L'
L' B' L2 U B' F' L'
U B' L F' R' B' L'
U B' L2 F' L' R' B'
U B' L2 F' R' L' B'
L' B' U L' F' L' B'
L' B' U L2 F' B' L'
L' B' U L2 B' F' L'
L' B' U F' L' D2 B2
L' B' U F' D2 L' B2
L' B' U F' D2 B2 L'
L B' U F U' F2 L'
U B' D2 F' L' R' B
U B' D2 F' R' L' B
U B' D2 F' R' B L'
U B' F' L R' B' L2
U B' F' R' L B' L2
U B' F' D2 L' R' B
U B' F' D2 R' L' B
U B' F' D2 R' B L'
L B2 F U' F2 B L
L B2 F U' B L F2
L B2 F U' B F2 L
