F' U' L' B' U2
F' R U' L' B' U2
F' R' U' L' B' U2
F' R2 U' L' B' U2
F R2 F2 U R' F'
F' U R' F2 R F
F' U R2 F2 R F'
F' U F' R' F' R
F' U F2 R' F' R2
F' U' L' D B' U2
F' U' L' D' B' U2
F' U' L' D2 B' U2
F' U' L' B' U2 D
F' U' L' B' U2 D'
F' U' L' B' U2 D2
F' U' L' B' D U2
F' U' L' B' D' U2
F' U' L' B' D2 U2
F' U' D L' B' U2
F' U' D' L' B' U2
F' U' D2 L' B' U2
F' U' B L' B' U2
F' U' B' L' B' U2
F' U' B2 L' B' U2
F' D U' L' B' U2
D2 F' U' L' B' U2
D' F' U' L' B' U2
D F' U' L' B' U2
F' D' U' L' B' U2
F' D2 U' L' B' U2
B' F R' F2 U R2
F' B' R' U' L' U2
B' F' R' U' L' U2
F B' R' F2 U R2
F' R' D' U' L' B' U2
B' R' D' F U L' R
B' R' D' F U R L'
F' R' D2 U' L' B' U2
F2 R' F U' L' B' U2
R U2 L' B' U' R' F'
F R' F2 R' U R' F'
F R' F2 U R' F' R'
F R' F2 B' R' U R'
F' R' B' R' U' L' U2
F R' B' R' F2 U R'
F R' B' F2 R' U R'
F' R2 U R' F2 R F
F' R2 U R2 F2 R F'
F' R2 U F' R' F' R
R U2 F' L' B' U' R'
F' R2 U F2 R' F' R2
F' R2 U' L' D B' U2
F' R2 U' L' D' B' U2
F' R2 U' L' D2 B' U2
F' R2 U' L' B' U2 D
F' R2 U' L' B' U2 D'
F' R2 U' L' B' U2 D2
F' R2 U' L' B' D U2
F' R2 U' L' B' D' U2
F' R2 U' L' B' D2 U2
F R2 U R' D' L2 F'
F R2 U R' D' F' L2
F R2 U D' L2 R' F'
F R2 U D' R' L2 F'
F R2 U D' R' F' L2
F' R2 U' D L' B' U2
F' R2 U' D' L' B' U2
F' R2 U' D2 L' B' U2
F' R2 U' B L' B' U2
F' R2 U' B' L' B' U2
F' R2 U' B2 L' B' U2
R2 U2 B U L U2 F
F' R2 D U' L' B' U2
R U2 B' U' R' F' L'
F' R2 D' U' L' B' U2
F R2 D' U L2 R' F'
F R2 D' U R' L2 F'
F R2 D' U R' F' L2
F' R2 D2 U' L' B' U2
F2 R2 F U' L' B' U2
F R2 F2 U R' D F'
F R2 F2 U R' D' F'
F R2 F2 U R' D2 F'
F R2 F2 U R' F' D
F R2 F2 U R' F' D'
F R2 F2 U R' F' D2
F R2 F2 U D R' F'
F R2 F2 U D' R' F'
F R2 F2 U D2 R' F'
F R2 F2 U F R' F'
F R2 F2 U F' R' F'
F R2 F2 U F2 R' F'
F R2 F2 D U R' F'
F R2 F2 D' U R' F'
F R2 F2 D2 U R' F'
F' R2 B' R' U' L' U2
F' U R U2 L' B U2
F' U R U2 B L' U2
F' U R F' R2 F' R
F' U R F2 R2 F' R'
F' U R' U2 L' U2 F'
F' U R' D F2 R F
F' U R' D' F2 R F
F' U R' D2 F2 R F
F' U R' F2 R D F
F' U R' F2 R D' F
F' U R' F2 R D2 F
F' U R' F2 R F D
F' U R' F2 R F D'
F' U R' F2 R F D2
F' U R' F2 R' F R2
F' U R' F2 R2 F R'
F' U R' F2 D R F
F' U R' F2 D' R F
F' U R' F2 D2 R F
F2 U R' F' R D' L2
F2 U R' F' D' L2 R
F2 U R' F' D' R L2
F' U R2 F' R F' R
F' U R2 F2 R D F'
F' U R2 F2 R D' F'
F' U R2 F2 R D2 F'
F' U R2 F2 R F' D
F' U R2 F2 R F' D'
F' U R2 F2 R F' D2
F' U D R' F2 R F
F' U D R2 F2 R F'
F' U D F' R' F' R
F' U D F2 R' F' R2
F' U D' R' F2 R F
F' U D' R2 F2 R F'
F' U D' F' R' F' R
F' U D' F2 R' F' R2
F' U D2 R' F2 R F
F' U D2 R2 F2 R F'
F' U D2 F' R' F' R
F U D' L2 R' F' R2
F' U D2 F2 R' F' R2
F U D' R' L2 F' R2
F U D' R' F' L2 R2
F U D' R' F' R2 L2
F' U F R' F R F2
F' U F R2 F R F'
F' U F' R' F' R D
F' U F' R' F' R D'
F' U F' R' F' R D2
F' U F' R' F' D R
F' U F' R' F' D' R
F' U F' R' F' D2 R
F' U F' R2 F' R F'
F' U F2 R U2 B U2
F' U F2 R' F R2 F2
F' U F2 R' F' R2 D
F' U F2 R' F' R2 D'
F' U F2 R' F' R2 D2
F' U F2 R' F2 R2 F
F' U F2 D R' F' R2
F' U F2 D' R' F' R2
F' U F2 D2 R' F' R2
F' U' L U2 D2 R2 F
F' U' L U2 D2 F R2
F' U' L U2 F D2 R2
F' U' L D2 U2 R2 F
F' U' L D2 U2 F R2
F' U' L B L2 B' U2
F' U' L B' L2 B' U2
F' U' L B2 L2 B' U2
F' U' L' R' B' R U2
F' U' L' R2 B' R2 U2
F' U' L' U' L2 U' F
F' U' L' U2 L2 F L2
F' U' L' D B' U2 D
F' U' L' D B' U2 D'
F' U' L' D B' U2 D2
F' U' L' D B' D U2
F' U' L' D B' D' U2
F' U' L' D B' D2 U2
F' U' L' D' B' U2 D
F' U' L' D' B' U2 D'
F' U' L' D' B' U2 D2
F' U' L' D' B' D U2
F' U' L' D' B' D' U2
F' U' L' D' B' D2 U2
F' U' L' D2 B' U2 D
F' U' L' D2 B' U2 D'
F' U' L' D2 B' U2 D2
F' U' L' D2 B' D U2
F' U' L' D2 B' D' U2
F' U' L' D2 B' D2 U2
F' U' L' B U2 D2 F2
F' U' L' B D2 U2 F2
F' U' L' B2 D B U2
F' U' L' B2 D' B U2
F' U' L' B2 D2 B U2
F' U' R' L' B' R U2
F' U' R2 L' B' R2 U2
F' U' D L' D B' U2
F' U' D L' D' B' U2
F' U' D L' D2 B' U2
F' U' D L' B' U2 D
F' U' D L' B' U2 D'
F' U' D L' B' U2 D2
F' U' D L' B' D U2
F' U' D L' B' D' U2
F' U' D L' B' D2 U2
F' U' D B L' B' U2
F' U' D B' L' B' U2
F' U' D B2 L' B' U2
F' U' D' L' D B' U2
F' U' D' L' D' B' U2
F' U' D' L' D2 B' U2
F' U' D' L' B' U2 D
F' U' D' L' B' U2 D'
F' U' D' L' B' U2 D2
F' U' D' L' B' D U2
F' U' D' L' B' D' U2
F' U' D' L' B' D2 U2
F' U' D' B L' B' U2
F' U' D' B' L' B' U2
F' U' D' B2 L' B' U2
F' U' D2 L' D B' U2
F U' D R2 U2 R' F'
F' U' D2 L' D' B' U2
F' U' D2 L' D2 B' U2
F' U' D2 L' B' U2 D
F' U' D2 L' B' U2 D'
F' U' D2 L' B' U2 D2
F' U' D2 L' B' D U2
F' U' D2 L' B' D' U2
F' U' D2 L' B' D2 U2
F' U' D2 B L' B' U2
F' U' D2 B' L' B' U2
F' U' D2 B2 L' B' U2
F' U' B L' D B' U2
F' U' B L' D' B' U2
F' U' B L' D2 B' U2
F' U' B L' B' U2 D
F' U' B L' B' U2 D'
F' U' B L' B' U2 D2
F' U' B L' B' D U2
F' U' B L' B' D' U2
F' U' B L' B' D2 U2
F' U' B D L' B' U2
F' U' B D' L' B' U2
F' U' B D2 L' B' U2
F' U' B' L' D B' U2
F' U' B' L' D' B' U2
F' U' B' L' D2 B' U2
F' U' B' L' B' U2 D
F' U' B' L' B' U2 D'
F' U' B' L' B' U2 D2
F' U' B' L' B' D U2
F' U' B' L' B' D' U2
F' U' B' L' B' D2 U2
F' U' B' D L' B' U2
F' U' B' D' L' B' U2
F' U' B' D2 L' B' U2
F' U' B2 L' D B' U2
F' U' B2 L' D' B' U2
F' U' B2 L' D2 B' U2
F' U' B2 L' B' U2 D
F' U' B2 L' B' U2 D'
F' U' B2 L' B' U2 D2
F' U' B2 L' B' D U2
F' U' B2 L' B' D' U2
F' U' B2 L' B' D2 U2
F' U' B2 D L' B' U2
F' U' B2 D' L' B' U2
F' U' B2 D2 L' B' U2
F' U2 L2 U L U2 F
F' U2 F' L' F' U' R
F' U2 F' D' L' F U'
F' U2 F2 U' D R F'
F' U2 F2 D U' R F'
R' F R2 U R' F' L'
D' F R2 F2 U R' F'
D2 F R2 F2 U R' F'
R2 F R2 F' U R' F'
D F R2 F2 U R' F'
R F U R' F' L' R2
R F U R' F' R2 L'
F' D R U' L' B' U2
F' D R' U' L' B' U2
F' D R2 U' L' B' U2
D' F B' R' F2 U R2
D2 F B' R' F2 U R2
F' D U R' F2 R F
F' D U R2 F2 R F'
F' D U F' R' F' R
F' D U F2 R' F' R2
D F B' R' F2 U R2
F' D U' L' D B' U2
F' D U' L' D' B' U2
F' D U' L' D2 B' U2
F' D U' L' B' U2 D
F' D U' L' B' U2 D'
F' D U' L' B' U2 D2
F' D U' L' B' D U2
F' D U' L' B' D' U2
F' D U' L' B' D2 U2
F' D U' B L' B' U2
F' D U' B' L' B' U2
R F B' R' F' U R2
F' D U' B2 L' B' U2
B' D F R' F2 U R2
F D U' R2 U2 R' F'
B' D F' R' U' L' U2
F2 D F B' R' B U
L2 F' L2 U' L U2 F
D2 F' R U' L' B' U2
D' F' R U' L' B' U2
B2 D F' U' L' U2 F
D2 F' R' U' L' B' U2
D' F' R' U' L' B' U2
D F' R U' L' B' U2
D' F' R2 U' L' B' U2
D2 F' R2 U' L' B' U2
D F' R' U' L' B' U2
F' D B' R' U' L' U2
D2 F' U R' F2 R F
D' F' U R' F2 R F
F2 D B' R' F B U
F2 D B' R' B F U
D2 F' U R2 F2 R F'
D' F' U R2 F2 R F'
D F' R2 U' L' B' U2
D2 F' U F' R' F' R
D' F' U F' R' F' R
D2 F' U F2 R' F' R2
D' F' U F2 R' F' R2
F2 D B' F R' B U
D2 F' U' L' D B' U2
D2 F' U' L' D' B' U2
D' F' U' L' D B' U2
D2 F' U' L' D2 B' U2
D' F' U' L' D' B' U2
D' F' U' L' D2 B' U2
D2 F' U' L' B' U2 D
D2 F' U' L' B' U2 D'
D2 F' U' L' B' U2 D2
D2 F' U' L' B' D U2
D2 F' U' L' B' D' U2
D2 F' U' L' B' D2 U2
D' F' U' L' B' U2 D
D' F' U' L' B' U2 D'
D' F' U' L' B' U2 D2
D' F' U' L' B' D U2
D' F' U' L' B' D' U2
D' F' U' L' B' D2 U2
D2 F' U' D L' B' U2
D' F' U' D L' B' U2
D2 F' U' D' L' B' U2
D' F' U' D' L' B' U2
D2 F' U' D2 L' B' U2
D' F' U' D2 L' B' U2
D F' U R' F2 R F
D F' U R2 F2 R F'
D2 F' U' B L' B' U2
D' F' U' B L' B' U2
D2 F' U' B' L' B' U2
D' F' U' B' L' B' U2
D2 F' U' B2 L' B' U2
D' F' U' B2 L' B' U2
D F' U F' R' F' R
D F' U F2 R' F' R2
D F' U' L' D B' U2
D F' U' L' D' B' U2
D F' U' L' D2 B' U2
D F' U' L' B' U2 D
D F' U' L' B' U2 D'
D F' U' L' B' U2 D2
D F' U' L' B' D U2
D F' U' L' B' D' U2
D F' U' L' B' D2 U2
D F' U' D L' B' U2
D F' U' D' L' B' U2
D F' U' D2 L' B' U2
D F' U' B L' B' U2
D F' U' B' L' B' U2
D F' U' B2 L' B' U2
R F' U' L' B' R' U2
D2 F' D U' L' B' U2
D' F' D U' L' B' U2
D2 F' D' U' L' B' U2
D' F' D' U' L' B' U2
D F' D U' L' B' U2
F' D' R U' L' B' U2
D2 F' D2 U' L' B' U2
D' F' D2 U' L' B' U2
D F' D' U' L' B' U2
F' D' R' U' L' B' U2
D F' D2 U' L' B' U2
F' D' R2 U' L' B' U2
D2 F' B' R' U' L' U2
D' F' B' R' U' L' U2
F' D' U R' F2 R F
F' D' U R2 F2 R F'
F' D' U F' R' F' R
F' D' U F2 R' F' R2
F D' R2 U L2 R' F'
F D' R2 U R' L2 F'
D F' B' R' U' L' U2
F D' R2 U R' F' L2
F' D' U' L' D B' U2
F' D' U' L' D' B' U2
F' D' U' L' D2 B' U2
F' D' U' L' B' U2 D
F' D' U' L' B' U2 D'
F' D' U' L' B' U2 D2
F' D' U' L' B' D U2
F' D' U' L' B' D' U2
F' D' U' L' B' D2 U2
F' D' U' B L' B' U2
F' D' U' B' L' B' U2
F' D' U' B2 L' B' U2
F D' U L2 R' F' R2
F D' U R' L2 F' R2
F D' U R' F' L2 R2
F D' U R' F' R2 L2
B' D' F R' F2 U R2
B' D' F' R' U' L' U2
B2 D' F' U F2 R F'
F' D' B' R' U' L' U2
F D' B' R' U L2 R2
F D' B' R' U R2 L2
R F2 U R' F' L' R
R F2 U R' F' R L'
F' D2 R U' L' B' U2
F' D2 R' U' L' B' U2
F' D2 R2 U' L' B' U2
F' D2 U R' F2 R F
F' D2 U R2 F2 R F'
F' D2 U F' R' F' R
F' D2 U F2 R' F' R2
F' D2 U' L' D B' U2
F' D2 U' L' D' B' U2
F' D2 U' L' D2 B' U2
F' D2 U' L' B' U2 D
F' D2 U' L' B' U2 D'
F' D2 U' L' B' U2 D2
F' D2 U' L' B' D U2
F' D2 U' L' B' D' U2
F' D2 U' L' B' D2 U2
F' D2 U' B L' B' U2
F' D2 U' B' L' B' U2
F' D2 U' B2 L' B' U2
R F2 B' R' F' U R
B' D2 F R' F2 U R2
R2 B L F U' R B
B' D2 F' R' U' L' U2
B2 D2 F' R U' L' U2
F' D2 B' R' U' L' U2
B' F R F2 R2 U R2
B' F R' U R2 D' L2
B' F R' F2 U R2 D
B' F R' F2 U R2 D'
B' F R' F2 U R2 D2
B' F R' F2 D B2 U
B' F R' F2 B U R2
B' F R' F2 B' U R2
B' F R' F2 B2 U R2
B' F R' B F2 U R2
B' F R' B' F2 U R2
B' F R' B2 F2 U R2
B' F U R D' L2 F2
B' F U R D' F2 L2
B2 F U D' L2 R F'
B2 F U D' R L2 F'
B2 F U D' R F' L2
F' B U' L' U' L2 U'
F' B U' L' U2 D F2
F' B U' L' D U2 F2
F' B U' L' D' B2 U2
F' B U2 L U L2 U2
F' B U2 L U' D2 R2
F' B U2 L D F2 U'
F' B U2 L D2 U' R2
F' B U2 F2 L U' R
B' F D' R' U L2 R2
B' F D' R' U R2 L2
B2 F D' U L2 R F'
B2 F D' U R L2 F'
B2 F D' U R F' L2
R B' R' F' U' L' U2
B' F' R U D' F2 R
B' F' R D' U F2 R
F' B' R U D' F2 R
F' B' R D' U F2 R
B' F' R' U F2 R F2
B' F' R' U' L' U2 D
B' F' R' U' L' U2 D'
B' F' R' U' L' U2 D2
B' F' R' U' L' D U2
B' F' R' U' L' D' U2
B' F' R' U' L' D2 U2
B' F' R' U' D L' U2
B' F' R' U' D' L' U2
B' F' R' U' D2 L' U2
B' F' R' U2 F2 U' R
B' F' R' D U' L' U2
B' F' R' D' U' L' U2
B' F' R' D2 U' L' U2
F' B' R' U F2 R F2
F' B' R' U' L' U2 D
F' B' R' U' L' U2 D'
F' B' R' U' L' U2 D2
F' B' R' U' L' D U2
F' B' R' U' L' D' U2
F' B' R' U' L' D2 U2
U2 B' U2 F' U R' F'
F' B' R' U' D L' U2
F' B' R' U' D' L' U2
F' B' R' U' D2 L' U2
F' B' R' U2 F2 U' R
B' F' R' B U' L' U2
F' B' R' D U' L' U2
B' F' R' B' U' L' U2
F' B' R' D' U' L' U2
B' F' R' B2 U' L' U2
F' B' R' D2 U' L' U2
F' B' R' B U' L' U2
F' B' R' B' U' L' U2
F2 B' R' F U' L' U2
F' B' R' B2 U' L' U2
F B' R F2 R2 U R2
B' F' U R D' F2 R
F B' R' U R2 D' L2
F' B' U R D' F2 R
B' F' U F2 R D' F2
F B' R' F2 U R2 D
F B' R' F2 U R2 D'
F B' R' F2 U R2 D2
F B' R' F2 D B2 U
F B' R' F2 B U R2
F B' R' F2 B' U R2
F B' R' F2 B2 U R2
F B' R' B F2 U R2
B' F' U' L' U R' U
F B' R' B' F2 U R2
B2 F' U D' F2 R F'
F' B' U F2 R D' F2
F B' R' B2 F2 U R2
D2 B' F R' F2 U R2
B2 F' U F2 D' R F'
F' B' U' L' U R' U
D' B' F R' F2 U R2
B2 F' U' D L' U2 F
D2 B' F' R' U' L' U2
D' B' F' R' U' L' U2
F B' U R D' L2 F2
F B' U R D' F2 L2
B F' U' L' U' L2 U'
B F' U' L' U2 D F2
B F' U' L' D U2 F2
B F' U' L' D' B2 U2
D B' F R' F2 U R2
B' F' D R' U' L' U2
B F' U2 L U L2 U2
B F' U2 L U' D2 R2
B F' U2 L D F2 U'
B F' U2 L D2 U' R2
F' B' D R' U' L' U2
D B' F' R' U' L' U2
F2 B' D R' F B U
F2 B' D R' B F U
B2 F' D U' L' U2 F
R B' F R' F' U R2
B' F' D' R' U' L' U2
B F' U2 F2 L U' R
F2 B' D F R' B U
F' B' D' R' U' L' U2
B2 F' D' U F2 R F'
B' F' D2 R' U' L' U2
F' B' D2 R' U' L' U2
R B' F2 R' F' U R
F B' D' R' U L2 R2
F B' D' R' U R2 L2
B' F2 R' F U' L' U2
F' B2 U D' F2 R F'
F' B2 U F2 D' R F'
F' B2 U' D L' U2 F
R2 B2 U2 B' L U' R'
F B2 U D' L2 R F'
F B2 U D' R L2 F'
F B2 U D' R F' L2
B' F2 D R' F B U
B' F2 D R' B F U
B' F2 D F R' B U
F' B2 D U' L' U2 F
F' B2 D' U F2 R F'
F B2 D' U L2 R F'
F B2 D' U R L2 F'
F B2 D' U R F' L2
