U' L' R' D' F2 B'
U' L' R' D' B' F2
U' L' R' B' D' F2
R U L' R B R
R U R L' B R
R U R B L' R
R U R B R L'
U2 R U L' R2 B'
U2 R U L' B' R2
U R U L' B R2
U2 R U R2 L' B'
U R U B L' R2
U R U B R2 L'
R U' L' B' R2 F'
U' R' L' D' F2 B'
U' R' L' D' B' F2
U' R' L' B' D' F2
U' R' D' L' F2 B'
U' R' D' L' B' F2
R' B L' D' F2 B2
R' B L' D' B2 F2
R B L U L2 R2
R B L U R2 L2
B L' B' R' D' B2 F2
U' L2 R U L R2 B'
U' L2 R U L B' R2
U' L2 R U R2 L B'
U L2 R U L B R2
R U L R B L2 R
R U L R B R L2
R2 U L' R D' F2 B
R2 U L' R D' B F2
R2 U L' R B D' F2
R U L' R D B R
R U L' R D' B R
R U L' R D2 B R
R U L' R B R D
R U L' R B R D'
R U L' R B R D2
R U L' R B D R
R U L' R B D' R
R U L' R B D2 R
R U L' R B' R B2
R U L' R B2 R B'
R U L' B R B R
R U L' B' R B R
R U L' B2 R B R
R U L2 R2 D2 L B'
L2 U R U L B R2
R2 U R L' D' F2 B
R2 U R L' D' B F2
R2 U R L' B D' F2
R U R L B L2 R
R U R L B R L2
L U R U L2 B R2
R U R L' D B R
R U R L' D' B R
R U R L' D2 B R
L U R U B L2 R2
L U R U B R2 L2
R U R L' B R D
R U R L' B R D'
R U R L' B R D2
R U R L' B D R
R U R L' B D' R
R U R L' B D2 R
R U R L' B' R B2
R U R L' B2 R B'
R2 U R D' L' F2 B
R2 U R D' L' B F2
R2 U R D' B L' F2
R U R D L' B R
R U R D B L' R
R U R D B R L'
R U R D' L' B R
R U R D' B L' R
R U R D' B R L'
R U R D2 L' B R
R2 U R B L' D' F2
R U R D2 B L' R
R U R D2 B R L'
R2 U R B D' L' F2
R U R B L' R D
R U R B L' R D'
R U R B L' R D2
R U R B L' D R
R U R B L' D' R
R U R B L' D2 R
R U R B R L' D
R U R B R L' D'
R U R B R L' D2
R U R B R D L'
R U R B R D' L'
R U R B R D2 L'
R U R B D L' R
R U R B D R L'
R U R B D' L' R
R U R B D' R L'
R U R B D2 L' R
R U R B D2 R L'
R U R B' L' R B2
R U R B' L' B2 R
R U R B' R L' B2
R U R B' R B2 L'
R2 U R' U L' R2 B
R2 U R' U R2 L' B
R U R B2 R B' L'
R2 U R' U R2 B L'
R U R2 L2 D2 L B'
R U R2 D2 L B' L2
U' R L U L2 R2 B'
U' R L U L2 B' R2
U' R L U R2 L2 B'
U R L U L2 B R2
U R L U B L2 R2
U R L U B R2 L2
B R L B' U L2 R'
B R L B' U R' L2
U' R L' B' R2 D' F2
U' R L2 U L R2 B'
U' R L2 U L B' R2
U' R L2 U R2 L B'
U R L' B R2 D' F2
U R L2 U L B R2
D2 R U L' R B R
D' R U L' R B R
D2 R U R L' B R
D2 R U R B L' R
D2 R U R B R L'
D' R U R L' B R
D' R U R B L' R
D' R U R B R L'
U2 R U L' R B' R
U2 R U L' R2 D B'
U2 R U L' R2 D' B'
U2 R U L' R2 D2 B'
U2 R U L' R2 B' D
U2 R U L' R2 B' D'
U2 R U L' R2 B' D2
U2 R U L' B R2 B2
U2 R U L' B' R2 D
U2 R U L' B' R2 D'
U2 R U L' B' R2 D2
U2 R U R L' B' R
D R U L' R B R
U2 R U R2 L' D B'
U2 R U R2 L' D' B'
U2 R U R2 L' D2 B'
U2 R U R2 L' B' D
U2 R U R2 L' B' D'
U2 R U R2 L' B' D2
D R U R L' B R
U2 R U R2 D L' B'
U2 R U R2 D' L' B'
U2 R U R2 D2 L' B'
U2 R U R2 B L' B'
U2 R U R2 B' L' B'
U2 R U R2 B2 L' B'
D R U R B L' R
D R U R B R L'
U R U L B L2 R2
U R U L B R2 L2
U R U L' B R2 D
U R U L' B R2 D'
U R U L' B R2 D2
U R U L' B' R2 B2
U R U L' B2 R2 B'
D2 R U' L' B' R2 F'
U2 R U B L' R2 B'
U2 R U B L' B' R2
U2 R U B R2 L' B'
D' R U' L' B' R2 F'
U2 R U B' L' R2 B'
U2 R U B' L' B' R2
U2 R U B' R2 L' B'
U2 R U B2 L' R2 B'
U2 R U B2 L' B' R2
U2 R U B2 R2 L' B'
F2 R U' L' U' R2 B'
F2 R U' L' U' B' R2
D R U' L' B' R2 F'
U R U B L' R2 D
U R U B L' R2 D'
U R U B L' R2 D2
U R U B R2 L' D
U R U B R2 L' D'
U R U B R2 L' D2
U R U B R2 D L'
U R U B R2 D' L'
U R U B R2 D2 L'
U R U B' L' R2 B2
U R U B' L' B2 R2
U R U B' R2 L' B2
U R U B' R2 B2 L'
U R U B2 R2 B' L'
R U B L' R B R
R U B R L' B R
R U B R B L' R
R U B R B R L'
R U B' L' R B R
R U B' R L' B R
R U B' R B L' R
R U B' R B R L'
U2 R D B2 U L' B'
R U B2 L' R B R
R' U' L R2 U L2 B'
R U B2 R L' B R
R U B2 R B L' R
R U B2 R B R L'
U R D B2 U B' L'
L' U' L' R U R2 B'
L' U' L' R U B' R2
R U' L U2 L2 R2 B'
R U' L U2 L2 B' R2
R U' L U2 R2 L2 B'
R U' L F U2 L2 R2
R U' L F U2 R2 L2
R2 U' L' R D' F2 B'
R2 U' L' R D' B' F2
R2 U' L' R B' D' F2
R' U' L2 R2 U L B'
R2 U' L' B' D' R F'
R U' L' F B' R2 F'
R U' L' F' B' R2 F'
R U' L' F2 B' R2 F'
R U' L' B' R2 D F'
R U' L' B' R2 D' F'
R U' L' B' R2 D2 F'
R U' L' B' R2 F' D
R U' L' B' R2 F' D'
R U' L' B' R2 F' D2
R U' L' B' F R2 F'
R U' L' B' F' R2 F'
R U' L' B' F2 R2 F'
L' U' R L' U R2 B'
L' U' R L' U B' R2
R U' L2 U2 L R2 B'
R U' L2 U2 L B' R2
R U' L2 U2 R2 L B'
R2 U' R L' D' F2 B'
R2 U' R L' D' B' F2
R2 U' R L' B' D' F2
R2 U' R D' L' F2 B'
R2 U' R D' L' B' F2
R U' R U2 L' R B
R U' R U2 R L' B
R U' R U2 R B L'
D2 R B L U L2 R2
D2 R B L U R2 L2
D' R B L U L2 R2
D' R B L U R2 L2
R' U' R2 L U L2 B'
D R B L U L2 R2
D R B L U R2 L2
R' U' R2 L2 U L B'
U2 R B U L' R2 B'
U2 R B U L' B' R2
U2 R B U R2 L' B'
U R B L' R2 D' F2
U R B R2 L' D' F2
U R B R2 D' L' F2
U2 R B' U L' R2 B'
U2 R B' U L' B' R2
U2 R B' U R2 L' B'
U R B' U L' R2 B2
U R B' U L' B2 R2
U R B' U R2 L' B2
U R B' U R2 B2 L'
U R B' U B2 L' R2
U R B' U B2 R2 L'
U2 R B2 U L' R2 B'
U2 R B2 U L' B' R2
U2 R B2 U R2 L' B'
U R B2 U R2 B' L'
U R B2 U B' L' R2
U R B2 U B' R2 L'
U' R' L' U' R2 U B'
R U' D2 L2 U2 L B'
U' R' L' D' F2 D B'
U' R' L' D' F2 D' B'
U' R' L' D' F2 D2 B'
U' R' L' D' F2 B' D
U' R' L' D' F2 B' D'
U' R' L' D' F2 B' D2
U' R' L' D' B' F2 D
U' R' L' D' B' F2 D'
U' R' L' D' B' F2 D2
U' R' L' D2 B' D F2
U' R' L' F D' F2 B'
U' R' L' F D' B' F2
U' R' L' F B' D' F2
U' R' L' F' D' F2 B'
U' R' L' F' D' B' F2
U' R' L' F' B' D' F2
U' R' L' F2 D' F2 B'
U' R' L' F2 D' B' F2
U' R' L' F2 B' D' F2
U' R' L' B' U' R2 U
U' R' L' B' D' F2 D
U' R' L' B' D' F2 D'
U' R' L' B' D' F2 D2
U' R' L' B' F D' F2
U' R' L' B' F' D' F2
U' R' L' B' F2 D' F2
U' R' L' B2 D' F2 B
U' R' L' B2 D' B F2
U R' L' U' R2 U B
U' R' U' R2 U L' B'
R U' F2 R U2 R B
U R' U' R2 U L' B
U R' U' R2 U B L'
U' R' D L' D2 F2 B'
U' R' D L' D2 B' F2
R U' B' L' R2 F' B'
R U' B' L' R2 B' F'
R U' B' R2 L' F' B'
R U' B' R2 L' B' F'
U' R' D' L' F2 D B'
U' R' D' L' F2 D' B'
U' R' D' L' F2 D2 B'
U' R' D' L' F2 B' D
U' R' D' L' F2 B' D'
U' R' D' L' F2 B' D2
U' R' D' L' B' F2 D
U' R' D' L' B' F2 D'
U' R' D' L' B' F2 D2
U' R' D' L2 F2 L B'
U' R' D' B L' F2 B'
U' R' D' B L' B' F2
U' R' D' B' L' F2 B'
U' R' D' B' L' B' F2
U' R' D' B2 L' F2 B'
U' R' D' B2 L' B' F2
U R' D' L F2 L2 B'
R U2 R U' L' R B
R U2 R U' R L' B
R U2 R U' R B L'
U' R' F2 D' F2 L' B'
D2 R' B L' D' F2 B2
D2 R' B L' D' B2 F2
D' R' B L' D' F2 B2
D' R' B L' D' B2 F2
U' R' B L' D' F2 B'
U' R' B L' D' B' F2
U' R' B L' B' D' F2
R2 U2 R' U L' R2 B'
R2 U2 R' U L' B' R2
R2 U2 R' U R2 L' B'
D R' B L' D' F2 B2
D R' B L' D' B2 F2
U' R' B D' L' F2 B'
U' R' B D' L' B' F2
U' R' B' L' D' F2 B'
U' R' B' L' D' B' F2
U' R' B' L' B' D' F2
U' R' B' D' L' F2 B'
U' R' B' D' L' B' F2
U' R' B2 L' D' F2 B'
U' R' B2 L' D' B' F2
U' R' B2 L' B' D' F2
U' R' B2 D' L' F2 B'
U' R' B2 D' L' B' F2
U' R2 L' B' D' R F'
B U L R B U L2
U' D L' R' D' F2 B'
U' D L' R' D' B' F2
U' D L' R' B' D' F2
D' U R U L' B R2
D' U R U B L' R2
D' U R U B R2 L'
D2 U R U L' B R2
D2 U R U B L' R2
D2 U R U B R2 L'
U2 D R U L' R2 B'
U2 D R U L' B' R2
U2 D R U R2 L' B'
B U R L B U L2
D U R U L' B R2
U' D R' L' D' F2 B'
U' D R' L' D' B' F2
U' D R' L' B' D' F2
D U R U B L' R2
D U R U B R2 L'
U' D R' D' L' F2 B'
U' D R' D' L' B' F2
U D R U L' B R2
U D R U B L' R2
U D R U B R2 L'
R D B L B U L2
U' D' L' R' D' F2 B'
U' D' L' R' D' B' F2
D' U' L' R' D' F2 B'
D' U' L' R' D' B' F2
U' D' L' R' B' D' F2
D' U' L' R' B' D' F2
D2 U' L' R' D' F2 B'
D2 U' L' R' D' B' F2
D2 U' L' R' B' D' F2
D U' L' R' D' F2 B'
D U' L' R' D' B' F2
D U' L' R' B' D' F2
U2 D' R U L' R2 B'
U2 D' R U L' B' R2
U2 D' R U R2 L' B'
U' D' R' L' D' F2 B'
U' D' R' L' D' B' F2
D' U' R' L' D' F2 B'
D' U' R' L' D' B' F2
U' D' R' L' B' D' F2
D' U' R' L' B' D' F2
D2 U' R' L' D' F2 B'
D2 U' R' L' D' B' F2
D2 U' R' L' B' D' F2
U' D' R' D' L' F2 B'
U' D' R' D' L' B' F2
D' U' R' D' L' F2 B'
D' U' R' D' L' B' F2
D2 U' R' D' L' F2 B'
D2 U' R' D' L' B' F2
U D' R U L' B R2
U D' R U B L' R2
U D' R U B R2 L'
D U' R' L' D' F2 B'
D U' R' L' D' B' F2
D U' R' L' B' D' F2
D U' R' D' L' F2 B'
D U' R' D' L' B' F2
R' D' B L' F2 D' B2
F' U' R' F L' F2 B'
F' U' R' F L' B' F2
F' U' F L' R' F' B'
F' U' F L' R' B' F'
F' U' F R' L' F' B'
F' U' F R' L' B' F'
U' D2 L' R' D' F2 B'
U' D2 L' R' D' B' F2
U' D2 L' R' B' D' F2
F' U' F2 R' F' L' B'
D' U2 R U L' R2 B'
D' U2 R U L' B' R2
D' U2 R U R2 L' B'
D2 U2 R U L' R2 B'
D2 U2 R U L' B' R2
D2 U2 R U R2 L' B'
U2 D2 R U L' R2 B'
U2 D2 R U L' B' R2
U2 D2 R U R2 L' B'
U' D2 R' L' D' F2 B'
U' D2 R' L' D' B' F2
U' D2 R' L' B' D' F2
U' D2 R' D' L' F2 B'
U' D2 R' D' L' B' F2
D U2 R U L' R2 B'
D U2 R U L' B' R2
D U2 R U R2 L' B'
U D2 R U L' B R2
U D2 R U B L' R2
U D2 R U B R2 L'
R D2 U' L2 U2 L B'
L F2 L' U' L' R' B'
L F2 L' U' R' L' B'
R F2 U' R U2 R B
R' B L R2 U L2 R2
R' B L R2 U R2 L2
R' B L' U' L2 R2 U
R' B L' U' R2 L2 U
R' B L' D' F2 B2 D
R' B L' D' F2 B2 D'
R' B L' D' F2 B2 D2
R' B L' D' B2 F2 D
R' B L' D' B2 F2 D'
R' B L' D' B2 F2 D2
R' B L' F D' F2 B2
R' B L' F D' B2 F2
U' B L' B' R' D' F2
R' B L' F' D' F2 B2
R' B L' F' D' B2 F2
R' B L' F2 D' F2 B2
R' B L' F2 D' B2 F2
R' B L' B D' F2 B2
R' B L' B D' B2 F2
R' B L' B' D' F2 B2
R' B L' B' D' B2 F2
R' B L' B2 D' F2 B2
R' B L' B2 D' B2 F2
R B L U L2 R2 D
R B L U L2 R2 D'
R B L U L2 R2 D2
R B L U R2 L2 D
R B L U R2 L2 D'
R B L U R2 L2 D2
R B L D F2 B2 U
R B L D B2 F2 U
R B L F U L2 R2
R B L F U R2 L2
R B L F' U L2 R2
R B L F' U R2 L2
R B L F2 U L2 R2
R B L F2 U R2 L2
R B L B U L2 R2
R B L B U R2 L2
R B L B' U L2 R2
R B L B' U R2 L2
R B L B2 U L2 R2
R B L B2 U R2 L2
R B L' R2 D' F2 B2
R B L' R2 D' B2 F2
R' B R2 L U L2 R2
R' B R2 L U R2 L2
R' B U' L R2 U L2
R' B U' R2 L U L2
R B R2 L' D' F2 B2
R B R2 L' D' B2 F2
R B U L' R2 D' B2
R B U R2 L' D' B2
R' B D' L' F2 D' B2
R B D L B2 U L2
R2 B' R D L' F B2
R2 B' R D L' B2 F
R2 B' R D B2 L' F
U B' R U L' B R'
U B' R U B L' R'
U B' R U B R' L'
R B' U2 R' U' L' R'
R B' U2 R' U' R' L'
R B' D B2 L U L2
R' B2 D L B' L2 F
