R U F' R2 B U
U R F' R2 B U
U R' U2 F2 B U'
U R' U2 B F2 U'
R' U2 F2 B U' B'
R' U2 B F2 U' B'
F2 U2 R F' R2 U B
R' D2 B2 U2 B' U' B
U D2 B2 U2 L B' U'
U F R' U2 F B U'
U F R' U2 B F U'
B' D L B' U2 L R2
B' D L B' U2 R2 L
R F' L2 R2 B U B2
R F' R2 L2 B U B2
R F' R2 B L2 U B'
R F' R2 B U' F U2
U' F2 U2 R F' R2 U
U' F2 U2 R' U2 B U'
U' F2 D2 B2 L B' U'
R' F2 B U F2 U2 F2
R F2 D2 L2 B' U' B'
U' F2 B2 D2 L B' U'
F2 D2 B2 L B' U' B
R B U F' R2 B U
R' B F2 U F2 U2 F2
R' B' U2 F2 B2 U' B2
R' B' U2 B2 F2 U' B2
R B' U F' R2 B U
D2 B2 U2 L B' U' B
R' B2 U2 F2 B' U' B
R' B2 U2 B' F2 U' B
R B2 U F' R2 B U
U' B2 F2 D2 L B' U'
B2 F2 D2 L B' U' B'
F2 B2 D2 L B' U' B'
