U' L D2 F' R F2
U' L F B R' B'
U' L F2 D2 F' R
U' L B R' F B'
U' L B R' B' F
U' L B F R' B'
D2 U' L F' R F2
D2 U' F' L R F
D2 U' F' R L F
D2 U' F2 L F R
U' D2 L F' R F2
U' D2 F' L R F
U' D2 F' R L F
U' D2 F2 L F R
D2 F' U' L R F
D2 F' U' R L F
L' B L U' L R'
L' B L U' R' L
L2 B L U' L2 R'
L2 B L U' R' L2
L B L U' L' R'
L B L U' R' L'
U' B R' B' L F
U R' U2 D2 F' L R
U R' U2 D2 F' R L
U' R' D2 L F' R F2
U' R' D2 F' L R F
U' R' D2 F' R L F
U' R' D2 F2 L F R
U R' D2 U2 L F' R
U R' D2 U2 F' L R
U R' D2 U2 F' R L
U' R' B R' B' L F
U R' B' L U2 F' L'
U' R2 L D2 F' R F2
U' R2 L F B R' B'
U' R2 L F2 D2 F' R
U' R2 L B R' F B'
U' R2 L B R' B' F
U' R2 L B F R' B'
U' R2 D2 L F' R F2
U' R2 D2 F' L R F
U' R2 D2 F' R L F
U' R2 D2 F2 L F R
L2 D L2 U' L F R
L D L' F U' L F
U' R2 B R' B' L F
U' D L U' B' U F
U R2 B2 R' B L U2
U' D L F U' B' U
D2 U R' U2 L F' R
D2 U R' U2 F' L R
D2 U R' U2 F' R L
R' D' R F' U' L F
D2 U B2 R' U2 F' R
D' U' L R F D R2
U' D' L R F D R2
D2 U' L R F' R F2
D2 U' L R' F' R F2
D2 U' L R2 F' R F2
D' U' L D' F' R F2
U' D' L D' F' R F2
D2 U' L F U2 L' U2
D2 U' L F' R F2 D
D2 U' L F' R F2 D'
D2 U' L F' R F2 D2
D2 U' L F' R' F2 R2
D2 U' L F' R2 F2 R'
D' U' L F2 D' F' R
U' D' L F2 D' F' R
D U' L U' B' U F
D U' L F U' B' U
D2 U' L' F' L2 R F
D2 U' L' F' R L2 F
D2 U' L' F2 L2 F R
U' D' R L F D R2
D' U' R L F D R2
D2 U' R L F' R F2
F' U' L D2 F' R F2
F' U' L F B R' B'
F' U' L F2 D2 F' R
F' U' L B R' F B'
F' U' L B R' B' F
F2 U' L D2 F' R F2
F' U' L B F R' B'
F2 U' L F B R' B'
D2 U' R F' L R F
D2 U' R F' R L F
F2 U' L F2 D2 F' R
D2 U' R F2 L F R
F2 U' L B R' F B'
F2 U' L B R' B' F
F2 U' L B F R' B'
D2 U' R' L F' R F2
F U' L D2 F' R F2
F U' L F B R' B'
D2 U' R' F' L R F
D2 U' R' F' R L F
D2 U' R' F2 L F R
F U' L F2 D2 F' R
F U' L B R' F B'
F U' L B R' B' F
F U' L B F R' B'
D2 U' R2 L F' R F2
D2 U' R2 F' L R F
D2 U' R2 F' R L F
D2 U' R2 F2 L F R
U2 D' R2 U L F R
D2 U' F L D2 R2 F
D2 U' F L D2 F R2
D2 U' F L F D2 R2
D2 U' F' L R D F
D2 U' F' L R D' F
D2 U' F' L R D2 F
D2 U' F' L R F D
D2 U' F' L R F D'
D2 U' F' L R F D2
D2 U' F' L R' F R2
D2 U' F' L R2 F R'
D2 U' F' L D R F
D2 U' F' L D' R F
D2 U' F' L D2 R F
D2 U' F' R L D F
D2 U' F' R L D' F
D2 U' F' R L D2 F
D2 U' F' R L F D
D2 U' F' R L F D'
D2 U' F' R L F D2
D2 U' F' R D L F
D2 U' F' R D' L F
D2 U' F' R D2 L F
D2 U' F' R F L F
D2 U' F' R F' L F
D2 U' F' R F2 L F
D2 U' F' R' L F R2
D2 U' F' R2 L F R'
D2 U' F' D L R F
D2 U' F' D R L F
D2 U' F' D' L R F
D2 U' F' D' R L F
D2 U' F' D2 L R F
D2 U' F' D2 R L F
D2 U' F2 L R F R
D2 U' F2 L R' F R
D2 U' F2 L R2 F R
D2 U' F2 L D F R
D2 U' F2 L D' F R
D2 U' F2 L D2 F R
D2 U' F2 L F R D
D2 U' F2 L F R D'
D2 U' F2 L F R D2
D2 U' F2 L F D R
D2 U' F2 L F D' R
D2 U' F2 L F D2 R
D2 U' F2 R L F R
D2 U' F2 R' L F R
D2 U' F2 R2 L F R
D2 U' F2 D L F R
D2 U' F2 D' L F R
D2 U' F2 D2 L F R
F' U' D2 L F' R F2
F2 U' D2 L F' R F2
F' U' D2 F' L R F
F' U' D2 F' R L F
F' U' D2 F2 L F R
F2 U' D2 F' L R F
F2 U' D2 F' R L F
F2 U' D2 F2 L F R
F U' D2 L F' R F2
U' D2 L R F' R F2
U' D2 L R' F' R F2
U' D2 L R2 F' R F2
F U' D2 F' L R F
F U' D2 F' R L F
F U' D2 F2 L F R
U' D2 L F U2 L' U2
U' D2 L F' R F2 D
U' D2 L F' R F2 D'
U' D2 L F' R F2 D2
U' D2 L F' R' F2 R2
U' D2 L F' R2 F2 R'
U' D2 L' F' L2 R F
U' D2 L' F' R L2 F
U' D2 L' F2 L2 F R
F' U' B R' B' L F
F2 U' B R' B' L F
U' D2 R L F' R F2
U' D2 R F' L R F
U' D2 R F' R L F
U' D2 R F2 L F R
U' D2 R' L F' R F2
F U' B R' B' L F
U' D2 R' F' L R F
U' D2 R' F' R L F
U' D2 R' F2 L F R
U' D2 R2 L F' R F2
D' U2 R2 U L F R
U' D2 R2 F' L R F
U' D2 R2 F' R L F
U' D2 R2 F2 L F R
U' D2 F L D2 R2 F
U' D2 F L D2 F R2
U' D2 F L F D2 R2
U D2 R' U2 L F' R
U D2 R' U2 F' L R
U D2 R' U2 F' R L
U' D2 F' L R D F
U' D2 F' L R D' F
U' D2 F' L R D2 F
U' D2 F' L R F D
U' D2 F' L R F D'
U' D2 F' L R F D2
U' D2 F' L R' F R2
U' D2 F' L R2 F R'
U' D2 F' L D R F
U' D2 F' L D' R F
U' D2 F' L D2 R F
U' D2 F' R L D F
U' D2 F' R L D' F
U' D2 F' R L D2 F
U' D2 F' R L F D
U' D2 F' R L F D'
U' D2 F' R L F D2
U' D2 F' R D L F
U' D2 F' R D' L F
U' D2 F' R D2 L F
U' D2 F' R F L F
U' D2 F' R F' L F
U' D2 F' R F2 L F
U' D2 F' R' L F R2
U' D2 F' R2 L F R'
U' D2 F' D L R F
U' D2 F' D R L F
U' D2 F' D' L R F
U' D2 F' D' R L F
U' D2 F' D2 L R F
U' D2 F' D2 R L F
U' D2 F2 L R F R
U' D2 F2 L R' F R
U' D2 F2 L R2 F R
U' D2 F2 L D F R
U' D2 F2 L D' F R
U' D2 F2 L D2 F R
U' D2 F2 L F R D
U' D2 F2 L F R D'
U' D2 F2 L F R D2
U' D2 F2 L F D R
U' D2 F2 L F D' R
U' D2 F2 L F D2 R
U' D2 F2 R L F R
U' D2 F2 R' L F R
U' D2 F2 R2 L F R
U' D2 F2 D L F R
U' D2 F2 D' L F R
U' D2 F2 D2 L F R
U' F L D2 F' R F2
U' F L F B R' B'
U' F L F2 D2 F' R
U' F L B R' F B'
U' F L B R' B' F
U' F L B F R' B'
U D2 B2 R' U2 F' R
D2 F U' L D2 R2 F
D2 F U' L D2 F R2
D2 F U' L F D2 R2
D2 F U' F L F R
D2 F U' F2 L R F
D2 F U' F2 R L F
U' F D2 L F' R F2
U' F D2 F' L R F
U' F D2 F' R L F
U' F D2 F2 L F R
U' F B R' B' L F
L' F B L U' L R'
L' F B L U' R' L
L F B L U' L' R'
L F B L U' R' L'
U' F' L D2 F' R F2
U' F' L F B R' B'
U' F' L F2 D2 F' R
U' F' L B R' F B'
U' F' L B R' B' F
U' F' L B F R' B'
D2 F' U' L R D F
D2 F' U' L R D' F
D2 F' U' L R D2 F
D2 F' U' L R F D
D2 F' U' L R F D'
D2 F' U' L R F D2
D2 F' U' L R' F R2
D2 F' U' L R2 F R'
D2 F' U' L D R F
D2 F' U' L D' R F
D2 F' U' L D2 R F
D2 F' U' R L D F
D2 F' U' R L D' F
D2 F' U' R L D2 F
D2 F' U' R L F D
D2 F' U' R L F D'
D2 F' U' R L F D2
D2 F' U' R D L F
D2 F' U' R D' L F
D2 F' U' R D2 L F
D2 F' U' R F L F
D2 F' U' R F' L F
D2 F' U' R F2 L F
D2 F' U' R' L F R2
D2 F' U' R2 L F R'
D2 F' U' D L R F
D2 F' U' D R L F
D2 F' U' D' L R F
D2 F' U' D' R L F
D2 F' U' D2 L R F
D2 F' U' D2 R L F
D2 F' U' F' L F R
D2 F' D U' L R F
D2 F' D U' R L F
D2 F' D' U' L R F
D2 F' D' U' R L F
U' F' D2 L F' R F2
U' F' D2 F' L R F
U' F' D2 F' R L F
D2 F' D2 U' L R F
D2 F' D2 U' R L F
U' F' D2 F2 L F R
U' F' B R' B' L F
L' F' B L U' L R'
L' F' B L U' R' L
L F' B L U' L' R'
L F' B L U' R' L'
U' F2 L D2 F' R F2
U' F2 L F B R' B'
U' F2 L F2 D2 F' R
U' F2 L B R' F B'
U' F2 L B R' B' F
U' F2 L B F R' B'
L2 F2 U R B U2 R'
B D2 L F U' L' R'
B D2 L F U' R' L'
U' F2 D2 L F' R F2
U' F2 D2 F' L R F
U' F2 D2 F' R L F
U' F2 D2 F2 L F R
U' F2 B R' B' L F
L' F2 B L U' L R'
L' F2 B L U' R' L
L F2 B L U' L' R'
L F2 B L U' R' L'
F' D2 U' L F' R F2
L' B L U' L R' D
L' B L U' L R' D'
L' B L U' L R' D2
L' B L U' L D R'
L' B L U' L D' R'
L' B L U' L D2 R'
L' B L U' R' L D
L' B L U' R' L D'
L' B L U' R' L D2
L' B L U' R' D L
L' B L U' R' D' L
L' B L U' R' D2 L
L' B L U' D L R'
L' B L U' D R' L
L' B L U' D' L R'
L' B L U' D' R' L
L' B L U' D2 L R'
L' B L U' D2 R' L
F2 D2 U' L F' R F2
F' D2 U' F' L R F
F' D2 U' F' R L F
L' B L D U' L R'
L' B L D U' R' L
F' D2 U' F2 L F R
L' B L D' U' L R'
L' B L D' U' R' L
L' B L D2 U' L R'
L' B L D2 U' R' L
L' B L F U' L R'
L' B L F U' R' L
L' B L F' U' L R'
L' B L F' U' R' L
F2 D2 U' F' L R F
F2 D2 U' F' R L F
L' B L F2 U' L R'
L' B L F2 U' R' L
F2 D2 U' F2 L F R
L2 B L U' L2 R' D
L2 B L U' L2 R' D'
L2 B L U' L2 R' D2
L2 B L U' L2 D R'
L2 B L U' L2 D' R'
L2 B L U' L2 D2 R'
L2 B L U' R' L2 D
L2 B L U' R' L2 D'
L2 B L U' R' L2 D2
L2 B L F U' L2 R'
L2 B L F U' R' L2
L2 B L F' U' L2 R'
L2 B L F' U' R' L2
L2 B L F2 U' L2 R'
L2 B L F2 U' R' L2
F D2 U' L F' R F2
D B L U2 B' U L
F D2 U' F' L R F
F D2 U' F' R L F
F D2 U' F2 L F R
L B L U' L' R' D
L B L U' L' R' D'
L B L U' L' R' D2
L B L U' L' D R'
L B L U' L' D' R'
L B L U' L' D2 R'
L B L U' R' L' D
L B L U' R' L' D'
L B L U' R' L' D2
L B L U' R' D L'
L B L U' R' D' L'
L B L U' R' D2 L'
L B L U' D L' R'
L B L U' D R' L'
L B L U' D' L' R'
L B L U' D' R' L'
L B L U' D2 L' R'
L B L U' D2 R' L'
L B L D U' L' R'
L B L D U' R' L'
L B L D' U' L' R'
L B L D' U' R' L'
L B L D2 U' L' R'
L B L D2 U' R' L'
B D2 F L U' L2 R'
B D2 F L U' R' L2
F' D2 F' U' L R F
F' D2 F' U' R L F
F2 D2 F' U' L R F
U' B R B' L R2 F
U' B R B' L F R2
F2 D2 F' U' R L F
U' B R B' R2 L F
U' B R' F B' L F
U' B R' F' B' L F
U' B R' F2 B' L F
U' B R' B' L D F
U' B R' B' L D' F
U' B R' B' L D2 F
U' B R' B' L F D
U' B R' B' L F D'
U' B R' B' L F D2
U' B R' B' D L F
U' B R' B' D' L F
U' B R' B' D2 L F
U' B R' B' F L F
U' B R' B' F' L F
U' B R' B' F2 L F
F D2 F' U' L R F
F D2 F' U' R L F
U' B R2 B' L R F
U' B R2 B' R L F
U B R B R' U2 R'
L B R' U L R U'
L B R' U R L U'
U B R' F' L2 B' L
L2 B U' L' R' D F2
L2 B U' L' D R' F2
L2 B U' L' D F2 R'
U' B U2 R' F' B' L
U' B U2 R' B' L F'
U' B U2 R' B' F' L
L2 B U' R' L' D F2
L2 B D L U' L2 R'
L2 B D L U' R' L2
L2 B D' L U' L2 R'
L2 B D' L U' R' L2
L B D L U' L' R'
L B D L U' R' L'
L2 B D2 L U' L2 R'
L2 B D2 L U' R' L2
U' B F R' B' L F
L B D' L U' L' R'
L B D' L U' R' L'
L' B F L U' L R'
L' B F L U' R' L
U' B F' R' B' L F
L' B F' L U' L R'
L' B F' L U' R' L
L B D2 L U' L' R'
L B D2 L U' R' L'
U' B F2 R' B' L F
L' B F2 L U' L R'
L' B F2 L U' R' L
L B F L U' L' R'
L B F L U' R' L'
L B F' L U' L' R'
L B F' L U' R' L'
L B F2 L U' L' R'
L B F2 L U' R' L'
U B' L R B U2 L
U B' L R' U2 F' L'
U B' L B U2 L F
U B' L B' R' U2 F'
U B' R L B U2 L
U B' R' L U2 F' L'
L' B' D' B2 L U' R'
U B2 R B L R2 U2
U B2 R B R2 L U2
U B2 R' U2 F R F2
U B2 R' B L U2 F'
U B2 R' B' U2 F' R'
