F' L2 R U R2 U
F' L2 R U2 D' F2
F' L2 R D B2 U2
F' L2 R D' U2 F2
F' R L2 U R2 U
F' R L2 U2 D' F2
F' R L2 D B2 U2
F' R L2 D' U2 F2
L2 F' R U R2 U
L2 F' R U2 D' F2
L2 F' R D B2 U2
L2 F' R D' U2 F2
L2 F' D2 R D B2 U2
L2 F' D2 R D' U2 F2
F D' R' B2 L2 U L
L2 F' B' D' R U2 F'
L2 F' B2 R U' L U'
F' D2 R U R2 U R'
F' D2 R U2 D' R F2
F' D2 R D B2 U2 R
F' D2 R D' U2 R F2
F D2 R' U L' R' B2
F D2 R' U R' L' B2
F D2 R' U R' B2 L'
F D2 B2 L' R2 D F2
F D2 B2 R2 L' D F2
B' F' L2 D' R U2 F'
B2 F' L2 R U' L' U'
F' B' L2 D' R U2 F'
B2 F' R L2 U' L' U'
L2 B' F' D' R U2 F'
F' B2 L2 R U' L' U'
F' B2 R L2 U' L' U'
L2 B2 F' R U' L U'
