B' L' F2 U' B
U B' L' F2 U'
B' L F2 L2 U' B
B' L' U' D B R2
B' L' U' B D R2
B' L' D U' B R2
B' L' F2 U' D B
B' L' F2 U' D' B
B' L' F2 U' D2 B
B' L' F2 U' B D
B' L' F2 U' B D'
B' L' F2 U' B D2
B' L' F2 D U' B
B' L' F2 D' U' B
B' L' F2 D2 U' B
B2 L' F2 B U' B
B2 L' B F2 U' B
B' L2 F2 L U' B
R' U B' L' F2 U'
R2 U B' L' F2 U'
R U B' L' F2 U'
D R2 U B' L' U'
D U B' L' U' R2
U D B' L' U' R2
B' D L' U' B R2
U F2 B' U2 R U
U B L' F2 B2 U'
U B L' B2 F2 U'
R' B' L' F2 U' B
R2 B' L' F2 U' B
D B' L' U' B R2
U B' L F2 L2 U'
U B' L' U' D R2
U B' L' D U' R2
U B' L' F2 U' D
U B' L' F2 U' D'
U B' L' F2 U' D2
U B' L' F2 D U'
U B' L' F2 D' U'
U B' L' F2 D2 U'
U B' L2 F2 L U'
R B' L' F2 U' B
U B' D L' U' R2
U B' F2 U2 R U
U B2 L' F2 B U'
U B2 L' B F2 U'
U2 B' L' F2 U F2 U2
U2 B' L' F2 U' D2 B2
U2 B' L' F2 D R2 U'
R2 B' L' U' D B R2
U2 B' L' F2 D2 U' B2
R2 B' L' U' B D R2
R' B' L2 F2 L U' B
R2 B' L' D U' B R2
D B' L' U' B R2 D
D B' L' U' B R2 D'
D B' L' U' B R2 D2
D B' L' U' B' R2 B2
D B' L' U' B2 R2 B'
U B' L F' L2 F' U'
U B' L F2 L2 U' D
U B' L F2 L2 U' D'
U B' L F2 L2 U' D2
U B' L F2 L2 D U'
U B' L F2 L2 D' U'
U B' L F2 L2 D2 U'
U B' L F2 U' D F2
U B' L F2 D U' F2
D B' L' D' F2 U' B
R2 B' L' F2 U' D B
R2 B' L' F2 U' D' B
R2 B' L' F2 U' D2 B
R2 B' L' F2 U' B D
R2 B' L' F2 U' B D'
R2 B' L' F2 U' B D2
R2 B' L' F2 D U' B
R2 B' L' F2 D' U' B
R2 B' L' F2 D2 U' B
D B' L' F U' B R2
D B' L' F' U' B R2
U B' L' R F2 R' U'
D B' L' F2 U' B R2
U B' L' R2 F2 R2 U'
U B' L' U D' L2 U2
R B' L F2 L2 U' B
U B' L' U' R D R2
U B' L' U' R' D R2
U B' L' U' R2 D R2
U B' L' U' D R2 D
U B' L' U' D R2 D'
U B' L' U' D R2 D2
U B' L' U2 D2 B2 U
U B' L' D U' R2 D
U B' L' D U' R2 D'
U B' L' D U' R2 D2
U B' L' D F U' R2
U B' L' D F' U' R2
U B' L' D F2 U' R2
U B' L' D' U L2 U2
U B' L' D2 U2 B2 U
U B' L' F D F U'
U B' L' F D' F U'
U B' L' F D2 F U'
U B' L' F' D F' U'
U B' L' F' D' F' U'
U B' L' F' D2 F' U'
R B' L' U' D B R2
R B' L' U' B D R2
R2 B' L2 F2 L U' B
R B' L' D U' B R2
R B' L' F2 U' D B
R B' L' F2 U' D' B
R B' L' F2 U' D2 B
R B' L' F2 U' B D
R B' L' F2 U' B D'
R B' L' F2 U' B D2
R B' L' F2 D U' B
R B' L' F2 D' U' B
R B' L' F2 D2 U' B
U B' L2 D L U' R2
U B' L2 F' L F' U'
U B' L2 F2 L U' D
U B' L2 F2 L U' D'
U B' L2 F2 L U' D2
U B' L2 F2 L D U'
U B' L2 F2 L D' U'
U B' L2 F2 L D2 U'
U B' L2 F2 D L U'
U B' L2 F2 D' L U'
U B' L2 F2 D2 L U'
U B' R L' F2 R' U'
R B' L2 F2 L U' B
U B' R2 L' F2 R2 U'
U2 B' U' L' F2 U' L
R' B' D L' U' B R2
D' B' D L' F2 U' B
R2 B' D L' U' B R2
D' B' D2 L' U' B R2
U B' D L' U' R2 D
U B' D L' U' R2 D'
U B' D L' U' R2 D2
U B' D L' D' F2 U'
U B' D L' F U' R2
U B' D L' F' U' R2
U B' D L' F2 U' R2
D B' D' L' F2 U' B
R B' D L' U' B R2
U B' D' L' U L' U2
U B' D' L' F2 U' R
U B' D2 L' U' D' R2
U B' D2 L' U2 B2 U
U B' D2 L' D' U' R2
U B' D2 L' D2 F2 U'
F2 B' U' B U' R U
U B' F2 L U2 R U
U B' F2 L' U2 R U
U B' F2 L2 U2 R U
R' B2 L' F2 B U' B
R' B2 L' B F2 U' B
U B' F2 U2 R U D
U B' F2 U2 R U D'
U B' F2 U2 R U D2
U B' F2 U2 R D U
U B' F2 U2 R D' U
U B' F2 U2 R D2 U
U B' F2 U2 D R U
U B' F2 U2 D' R U
U B' F2 U2 D2 R U
U B' F2 D U2 R U
U B' F2 D' U2 R U
U B' F2 D2 U2 R U
U B2 L F2 L2 B U'
U B2 L F2 B L2 U'
U B2 L B L2 F2 U'
U B2 L B F2 L2 U'
R2 B2 L' F2 B U' B
R2 B2 L' B F2 U' B
D B2 L' B U' B R2
U B2 L' D B U' R2
U B2 L' F2 D B U'
U B2 L' F2 D' B U'
U B2 L' F2 D2 B U'
U B2 L' F2 B U' D
U B2 L' F2 B U' D'
U B2 L' F2 B U' D2
U B2 L' F2 B D U'
U B2 L' F2 B D' U'
U B2 L' F2 B D2 U'
U B2 L' B U' D R2
U B2 L' B D U' R2
U B2 L' B F2 U' D
U B2 L' B F2 U' D'
U B2 L' B F2 U' D2
U B2 L' B F2 D U'
U B2 L' B F2 D' U'
U B2 L' B F2 D2 U'
R B2 L' F2 B U' B
R B2 L' B F2 U' B
U B2 L2 F2 L B U'
U' B2 U2 L' F2 B U'
U' B2 U2 L' B F2 U'
U2 B2 U' L' F2 B U'
U2 B2 U' L' B F2 U'
D2 B2 U2 L' B U' B
U' B2 U2 B L' F2 U'
U2 B2 U' B L' F2 U'
D2 B2 U2 B L' U' B
B F2 R2 B2 L U' B
B' F2 U' B U' R U
U B2 D L' B U' R2
U B2 D B L' U' R2
