B' R U F' U2 F
B' R' U' D' F2 B
B' R' U' D' B F2
B' R' U' B D' F2
B' R' D' U' F2 B
B' R' D' U' B F2
B' R' D2 L2 U' B
R' D' B' U' F2 B2
R' D' B' U' B2 F2
B' U2 R U' F' U2
R' D2 B' L2 U' B2
R' B' U' B2 D' F2
R' B' U2 R2 U B2
R' B' D' R2 U' F2
D B' U2 L R U
D B' U2 R L U
R B' U F' U2 F
R D2 B' U F' U2 F
B' U2 D2 L R U B'
B' U2 D2 R L U B'
B2 D B R' U' D' F2
B2 D B R' U2 R2 U
B2 D B R' D' U' F2
B2 D B R' D2 L2 U'
R F' U2 F B' U' B
R F' U2 B' F U' B
B' D2 L U2 R U B'
B' D2 L2 U2 R U B
B' D2 U2 L R U B'
B' D2 U2 R L U B'
R' B R' B2 L U' B2
F D2 F' B' L U' B'
D2 B R2 B2 L U' B'
D B R' B2 U' D' F2
D B R' B2 U2 R2 U
D B R' B2 D' U' F2
D B R' B2 D2 L2 U'
D B R2 B2 L R U'
D B R2 B2 R L U'
F D2 B' L F' U' B'
F D2 B' F' L U' B'
R' B' L U' B2 D' F2
R' B' L U2 R2 U B2
D2 B' L U2 R U B'
R' B' L D' R2 U' F2
R' B' L' U' B2 D' F2
R' B' L' U2 R2 U B2
R' B' L' D' R2 U' F2
R' B' L2 U' B2 D' F2
D2 B' L2 U2 R U B
R' B' L2 U2 R2 U B2
R' B' L2 D' R2 U' F2
D B' L' U2 L2 R U
D B' L' U2 R L2 U
R B' L U F' U2 F
R' B' R U2 R U B2
D B' L2 U2 L' R U
D B' L2 U2 R L' U
R B' L' U F' U2 F
R' B' R' U2 R' U B2
R B' L2 U F' U2 F
R' B' R2 U' B2 D2 F2
D B' R' U2 L R2 U
D B' R' U2 R2 L U
F2 B' L' R' F2 U' B
D B' R2 U2 L R' U
D B' R2 U2 R' L U
F2 B' L' F2 R' U' B
R' B' U' D' F2 D B2
R' B' U' F B2 D' F2
R' B' U' F' B2 D' F2
R' B' U' F2 B2 D' F2
R' B' U' B D' F2 B
R' B' U' B D' B F2
R' B' U' B' D' F2 B'
R' B' U' B' D' B' F2
R' B' U' B2 U' R2 U
R' B' U' B2 D' F2 D
R' B' U' B2 D' F2 D'
R' B' U' B2 D' F2 D2
R' B' U' B2 F D' F2
R' B' U' B2 F' D' F2
R' B' U' B2 F2 D' F2
R' B' U2 L R2 U B2
D2 B' U2 L R U B'
R' B' U2 L' R2 U B2
R B' R2 U' D' F2 B
R B' R2 U' D' B F2
R B' R2 U' B D' F2
R' B' U2 L2 R2 U B2
D2 B' U2 R L U B'
R B' R2 D' U' F2 B
R B' R2 D' U' B F2
R B' R2 D2 L2 U' B
R' B' U2 R2 L U B2
R' B' U2 R2 L' U B2
R' B' U2 R2 L2 U B2
R' B' U2 R2 U B2 D
R' B' U2 R2 U B2 D'
R' B' U2 R2 U B2 D2
R' B' U2 R2 D L2 U
R B' U D F' U2 F
R B' U D' F' U2 F
R B' U D2 F' U2 F
R B' U F' U2 D F
R B' U F' U2 D' F
R B' U F' U2 D2 F
R B' U F' U2 F D
R B' U F' U2 F D'
R B' U F' U2 F D2
R B' U F' D U2 F
R B' U F' D' U2 F
R B' U F' D2 U2 F
R B' U F' B U2 F
R B' U F' B' U2 F
R B' U F' B2 U2 F
D B' U2 L R U D
D B' U2 L R U D'
D B' U2 L R U D2
D B' U2 L R D U
D B' U2 L R D' U
D B' U2 L R D2 U
D B' U2 L D R U
D B' U2 L D' R U
D B' U2 L D2 R U
R B' U B F' U2 F
R B' U B' F' U2 F
F2 B' R' L' F2 U' B
R B' U B2 F' U2 F
D B' U2 R L U D
D B' U2 R L U D'
D B' U2 R L U D2
D B' U2 R L D U
D B' U2 R L D' U
D B' U2 R L D2 U
D B' U2 R D L U
D B' U2 R D' L U
D B' U2 R D2 L U
R' B' D' L R2 U' F2
D B' U2 D L R U
D B' U2 D R L U
R' B' D' L' R2 U' F2
D B' U2 D' L R U
D B' U2 D' R L U
R' B' D' L2 R2 U' F2
D B' U2 D2 L R U
D B' U2 D2 R L U
R' B' D' R2 L U' F2
R' B' D' R2 L' U' F2
R' B' D' R2 L2 U' F2
R' B' D' R2 U' F2 D
R' B' D' R2 U' F2 D'
R' B' D' R2 U' F2 D2
R' B' D' R2 D' L2 U'
R' B' D' U' F2 D B2
R' B' D2 L2 U F2 U2
R' B' D2 L2 U' D2 B2
R' B' D2 L2 D R2 U'
R' B' D2 L2 D2 U' B2
D B' D U2 L R U
D B' D U2 R L U
R2 B' D' R U' F' B
R2 B' D' R U' B F'
D B' D' U2 L R U
D B' D' U2 R L U
R B' D U F' U2 F
D B' D2 U2 L R U
D B' D2 U2 R L U
R B' D' U F' U2 F
R B' D2 U F' U2 F
R2 B2 L B R U' B
B' F2 L' R' F2 U' B
B' F2 L' F2 R' U' B
B' F2 R' L' F2 U' B
R' B2 U2 R2 F' U B'
R' B2 D' B U' F2 B2
R' B2 D' B U' B2 F2
R' B2 D2 B L2 U' B2
