U L D F2 B U'
U L D B F2 U'
U L D2 B U' R2
F2 L B U' R B'
F2 L B U' B' R
U L B U L2 U2
U L B U' D2 R2
U L B D F2 U'
U L B D2 U' R2
U2 L' U' L2 B U'
U2 L' U' B L2 U'
L' U B L2 F U'
F2 U L B U' R
F U L F B U'
F U L B F U'
L D F2 B U' B'
L D B F2 U' B'
L D2 B U' R2 B'
L D2 B U' B' R2
U F2 L B U' R
L B U L2 F U2
L B U' D2 R2 B'
L B U' D2 B' R2
L B U' B' D2 R2
L B D F2 U' B'
L B D2 U' R2 B'
L B D2 U' B' R2
U L B D2 U' R2 D'
U L B D2 U' R2 D2
U L B D2 F U' R2
U L B D2 F' U' R2
U L B D2 F2 U' R2
U L B F U L2 U2
U L B F U' D2 R2
U L B F D F2 U'
U L B F D2 U' R2
U L B F' U L2 U2
U L B F' U' D2 R2
U L B F' D F2 U'
U L B F' D2 U' R2
U L B F2 U L2 U2
U L B F2 U' D2 R2
U L B F2 D F2 U'
U L B F2 D2 U' R2
U L B' D F2 U' L2
U L B2 D F2 B' U'
U L B2 D B' F2 U'
U L B2 D2 B' U' R2
F2 L' U L2 B U' R
U2 L' U D2 R2 F' U
D2 L' U B L2 F U'
D' L' U B L2 F U'
F2 L' U B L2 U' R
D L' U B L2 F U'
U2 L' U' L' B L' U'
U2 L' U' L2 D B U'
U2 L' U' L2 D' B U'
U2 L' U' L2 D2 B U'
U2 L' U' L2 B U' D
U2 L' U' L2 B U' D'
U2 L' U' L2 B U' D2
U2 L' U' L2 B D U'
U2 L' U' L2 B D' U'
U2 L' U' L2 B D2 U'
U2 L' U' D B U' F2
U L' U' L2 B U' B'
U2 L' U' B L2 U' D
U2 L' U' B L2 U' D'
U2 L' U' B L2 U' D2
U2 L' U' B L2 D U'
U2 L' U' B L2 D' U'
U2 L' U' B L2 D2 U'
U2 L' U' B U' D F2
U2 L' U' B D U' F2
U2 L' U' B' L2 B2 U'
U2 L' D U' B U' F2
U2 L' D' B2 U' B' U'
U2 L' D2 U R2 F' U
U L' B L2 U L2 U2
U L' B L2 U' D2 R2
U2 L' B U' L2 U' L2
U L' B L2 D F2 U'
U L' B L2 D2 U' R2
U2 L' B' U' L2 B2 U'
U2 L' B' U' B2 L2 U'
U2 L' B' U2 D L2 F2
U2 L' B' U2 D F2 L2
U2 L' B' D U2 L2 F2
U2 L' B' D U2 F2 L2
U2 L' B' D' R2 B2 U2
U2 L' B' D' B2 R2 U2
U2 L' B2 U' B' L2 U'
B2 L2 R' F U B2 R'
F2 L2 U L' B U' R
F2 L2 U B L' U' R
L2 U L' D F2 B U'
L2 U L' D B F2 U'
L2 U L' D2 B U' R2
B2 L2 F R' U B2 R'
L2 U L' B U L2 U2
L2 U L' B U' D2 R2
L2 U L' B D F2 U'
L2 U L' B D2 U' R2
L' U L2 B U2 B' U
L U L2 U' B U' B'
U L2 B D L' F U'
L' U F B L2 F U'
L' U F' B L2 F U'
F2 R U D2 L B' U'
L' U F2 B L2 F U'
L' U B L2 D F U'
L' U B L2 D' F U'
L' U B L2 D2 F U'
L' U B L2 F U' D
L' U B L2 F U' D'
L' U B L2 F U' D2
L' U B L2 F D U'
L' U B L2 F D' U'
L' U B L2 F D2 U'
L' U B F L2 F U'
L' U B F' L2 F U'
L' U B F2 L2 F U'
L2 U B D L' F U'
L U B U L2 U2 F
L U B U B' L2 U2
F2 R D' F L' D F2
F2 R D2 U L B' U'
L' U' L2 D' B U' B
L' U' L2 D2 B R2 U'
L' U' L2 B U' D' B2
L' U' L2 B U2 L2 U
L' U' L2 B D' U' B2
L' U' L2 B D2 R2 U'
B2 R' L2 F U B2 R'
L' U' B L2 U' D' B2
L' U' B L2 U2 L2 U
L' U' B L2 D' U' B2
L' U' B L2 D2 R2 U'
L2 U2 L U' L2 B U'
L2 U2 L U' B L2 U'
R' U2 L' U' B' L2 U'
D' U L D F2 B U'
D' U L D B F2 U'
D2 U L D F2 B U'
D2 U L D B F2 U'
D' U L D2 B U' R2
D2 U L D2 B U' R2
F' U L D2 B U' R'
D' U L B U L2 U2
D' U L B U' D2 R2
F' U L F' B U' R
D' U L B D F2 U'
D' U L B D2 U' R2
F2 U L D B U' R
D2 U L B U L2 U2
D2 U L B U' D2 R2
D2 U L B D F2 U'
D2 U L B D2 U' R2
F2 U L D' B U' R
F' U L B F' U' R
F2 U L D2 B U' R
F2 U L B U' R D
F2 U L B U' R D'
F2 U L B U' R D2
F2 U L B U' D R
F2 U L B U' D' R
F2 U L B U' D2 R
F2 U L B D U' R
F2 U L B D' U' R
F2 U L B D2 U' R
D U L D F2 B U'
D U L D B F2 U'
D U L D2 B U' R2
F U L D F B U'
F U L D B F U'
F U L D' F B U'
F U L D' B F U'
D U L B U L2 U2
D U L B U' D2 R2
D U L B D F2 U'
F U L D2 F B U'
U D L D F2 B U'
D U L B D2 U' R2
U D L D B F2 U'
F U L D2 B F U'
U2 D L' U' L2 B U'
U2 D L' U' B L2 U'
F U L F D B U'
F U L F D' B U'
F U L F D2 B U'
F U L F B U' D
F U L F B U' D'
F U L F B U' D2
F U L F B D U'
F U L F B D' U'
F U L F B D2 U'
U D L D2 B U' R2
F U L B D F U'
F U L B D' F U'
F U L B D2 F U'
F U L B F U' D
F U L B F U' D'
F U L B F U' D2
F U L B F D U'
F U L B F D' U'
F U L B F D2 U'
U D L B U L2 U2
U D L B U' D2 R2
U D L B D F2 U'
U D L B D2 U' R2
F2 U L' B L2 U' R
F2 U L2 B L' U' R
F U L2 B L' F U'
L D F2 D B U' B'
L D F2 D' B U' B'
L D F2 D2 B U' B'
L D F2 B R U' B'
L D F2 B R' U' B'
L D F2 B R2 U' B'
L D F2 B U' D B'
L D F2 B U' D' B'
L D F2 B U' D2 B'
L D F2 B U' B' D
L D F2 B U' B' D'
L D F2 B U' B' D2
L D F2 B D U' B'
L D F2 B D' U' B'
L D F2 B D2 U' B'
L D B R F2 U' B'
L D B R' F2 U' B'
L D B R2 F2 U' B'
L D B U' D R2 B'
L D B U' D B' R2
L D B U' B' D R2
L D B D U' R2 B'
L D B D U' B' R2
L D B F2 R U' B'
L D B F2 R' U' B'
L D B F2 R2 U' B'
L D B F2 U' D B'
L D B F2 U' D' B'
L D B F2 U' D2 B'
L D B F2 U' B' D
L D B F2 U' B' D'
L D B F2 U' B' D2
L D B F2 D U' B'
L D B F2 D' U' B'
L D B F2 D2 U' B'
F2 U D L B U' R
F2 U D' L B U' R
F U D L F B U'
F U D L B F U'
F' U D2 L B U' R'
D' U F2 L B U' R
D2 U F2 L B U' R
F2 U D2 L B U' R
F U D' L F B U'
F U D' L B F U'
D U F2 L B U' R
F U D2 L F B U'
F U D2 L B F U'
U D F2 L B U' R
F' U F' L B U' R
F U F L F B U'
F U F L B F U'
F U F' L F B U'
F U F' L B F U'
F U F2 L F B U'
F U F2 L B F U'
F2 U B U' D' R F'
F2 U B D' U' R F'
U D' L D F2 B U'
U D' L D B F2 U'
U2 D' L' U' L2 B U'
U2 D' L' U' B L2 U'
U D' L D2 B U' R2
U D' L B U L2 U2
U D' L B U' D2 R2
U D' L B D F2 U'
U D' L B D2 U' R2
L D' B R' U' B' R'
L D' B R2 F' U' B'
L D' B U' B' D' R2
L D' B U2 B U B2
L' D' B2 U' B' U' B'
U D' F2 L B U' R
B U' D' F2 R F' B'
B U' D' F2 R B' F'
B U' D' F2 B' R F'
B U' D' B' F2 R F'
D' U2 L' U' L2 B U'
D' U2 L' U' B L2 U'
D2 U2 L' U' L2 B U'
D2 U2 L' U' B L2 U'
U2 D2 L' U' L2 B U'
U2 D2 L' U' B L2 U'
U D2 L D F2 B U'
U D2 L D B F2 U'
U D2 L D2 B U' R2
U D2 L B U L2 U2
U D2 L B U' D2 R2
U D2 L B D F2 U'
U D2 L B D2 U' R2
D U2 L' U' L2 B U'
D U2 L' U' B L2 U'
B U' F2 D' R F' B'
B U' F2 D' R B' F'
B U' F2 D' B' R F'
L D2 R2 U' F' U F
L D2 F B U' R2 B'
L D2 F B U' B' R2
L D2 F' B U' R2 B'
L D2 F' B U' B' R2
U D2 F2 L B U' R
L D2 F2 B U' R2 B'
L D2 F2 B U' B' R2
L D2 B R U' R B'
L D2 B R U' B' R
L D2 B R' U' R' B'
L D2 B U' R B' R
L D2 B U' R2 D B'
L D2 B U' R2 D' B'
L D2 B U' R2 D2 B'
L D2 B U' R2 B' D
L D2 B U' R2 B' D'
L D2 B U' R2 B' D2
L D2 B U' B R2 B2
L D2 B U' B' R2 D
L D2 B U' B' R2 D'
L D2 B U' B' R2 D2
L D2 B D' F2 U' B'
L D2 B F U' R2 B'
L D2 B F U' B' R2
L D2 B F' U' R2 B'
L D2 B F' U' B' R2
L D2 B F2 U' R2 B'
L D2 B F2 U' B' R2
U F L F B U' R
U F L B F U' R
D' F U L F B U'
D' F U L B F U'
D2 F U L F B U'
D2 F U L B F U'
L' F U B L2 F U'
D F U L F B U'
D F U L B F U'
F2 D L B U' R B'
F2 D L B U' B' R
L F D F2 B U' B'
L F D B F2 U' B'
L F D2 B U' R2 B'
L F D2 B U' B' R2
F2 D U L B U' R
L F B U L2 F U2
L F B U' D2 R2 B'
L F B U' D2 B' R2
L F B U' B' D2 R2
L F B D F2 U' B'
L F B D2 U' R2 B'
L F B D2 U' B' R2
F D U L F B U'
F D U L B F U'
U F' L D2 B U' R'
U F' L F' B U' R
U F' L B F' U' R
L' F' U B L2 F U'
F2 D' L B U' R B'
F2 D' L B U' B' R
L F' D F2 B U' B'
L F' D B F2 U' B'
U F' D2 L B U' R'
L F' D2 B U' R2 B'
L F' D2 B U' B' R2
F2 D' U L B U' R
L F' B U L2 F U2
L F' B U' D2 R2 B'
L F' B U' D2 B' R2
L F' B U' B' D2 R2
L F' B D F2 U' B'
L F' B D2 U' R2 B'
L F' B D2 U' B' R2
D2 F2 L B U' R B'
D2 F2 L B U' B' R
D' F2 L B U' R B'
D' F2 L B U' B' R
F D' U L F B U'
F D' U L B F U'
B D' U' F2 R F' B'
B D' U' F2 R B' F'
B D' U' F2 B' R F'
B D' U' B' F2 R F'
D F2 L B U' R B'
D F2 L B U' B' R
U F2 L D B U' R
U F2 L D' B U' R
U F2 L D2 B U' R
U F2 L B U' R D
U F2 L B U' R D'
U F2 L B U' R D2
U F2 L B U' D R
U F2 L B U' D' R
U F2 L B U' D2 R
U F2 L B D U' R
U F2 L B D' U' R
U F2 L B D2 U' R
R' F2 R U L B U'
U F2 L' B L2 U' R
U F2 L2 B L' U' R
B D' F2 U' R F' B'
B D' F2 U' R B' F'
B D' F2 U' B' R F'
D2 F2 U L B U' R
D' F2 U L B U' R
L' F2 U B L2 F U'
D F2 U L B U' R
U' F2 U2 L B U' R
F' D2 L B U' R' B'
F2 D2 L B U' R B'
F2 D2 L B U' B' R
U F2 D L B U' R
L F2 D F2 B U' B'
L F2 D B F2 U' B'
U F2 D' L B U' R
U F2 D2 L B U' R
F' D2 U L B U' R'
L F2 D2 B U' R2 B'
L F2 D2 B U' B' R2
F2 D2 U L B U' R
L F2 B U L2 F U2
U F2 B U' D' R F'
L F2 B U' D2 R2 B'
L F2 B U' D2 B' R2
L F2 B U' B' D2 R2
L F2 B D F2 U' B'
U F2 B D' U' R F'
L F2 B D2 U' R2 B'
L F2 B D2 U' B' R2
F D2 U L F B U'
F D2 U L B F U'
L' B L2 U L2 U2 B'
L' B L2 U F L2 U2
L B R U L2 F U2
L B R U' D2 R2 B'
L B R U' D2 B' R2
L B R U' B' D2 R2
L B R D F2 U' B'
L B R D2 U' R2 B'
L B R D2 U' B' R2
L B R' U L2 F U2
L B R' U' D2 R2 B'
L B R' U' D2 B' R2
L B R' U' B' D2 R2
L B R' D F2 U' B'
L B R' D2 U' R2 B'
L B R' D2 U' B' R2
L B R2 U L2 F U2
L' B U' L2 U' L2 B'
L B R2 U' D2 R2 B'
L B R2 U' D2 B' R2
L B R2 U' B' D2 R2
L B R2 D F2 U' B'
L B R2 D2 U' R2 B'
L B R2 D2 U' B' R2
L B U L2 D F U2
L B U L2 D' F U2
L B U L2 D2 F U2
L B U L2 F U2 D
L B U L2 F U2 D'
L B U L2 F U2 D2
L B U L2 F D U2
L B U L2 F D' U2
L B U L2 F D2 U2
U B U D L' U2 F
L B U F L2 F U2
L B U F' L2 F U2
L B U F2 L2 F U2
L B U' R D2 R2 B'
L B U' R D2 B' R2
L B U' R B' D2 R2
L B U' R' D2 R2 B'
L B U' R' D2 B' R2
L B U' R' B' D2 R2
L B U' R2 D2 R2 B'
L B U' R2 D2 B' R2
L B U' R2 B' D2 R2
L B U' D B' D R2
U B U' D' F2 R F'
L B U' D2 R B' R
L B U' D2 R2 D B'
L B U' D2 R2 D' B'
L B U' D2 R2 D2 B'
L B U' D2 R2 B' D
L B U' D2 R2 B' D'
L B U' D2 R2 B' D2
L B U' D2 B R2 B2
L B U' D2 B' R2 D
L B U' D2 B' R2 D'
L B U' D2 B' R2 D2
U B U' F2 D' R F'
L B U' B' R D2 R2
L B U' B' R' D2 R2
L B U' B' R2 D2 R2
L B U' B' U2 L2 U2
L B U' B' D2 R2 D
L B U' B' D2 R2 D'
L B U' B' D2 R2 D2
L B U' B2 D2 B R2
L B U2 D' B2 U B
L B D R F2 U' B'
L B D R' F2 U' B'
L B D R2 F2 U' B'
U B D U L' U2 F
L B D U' B' D R2
L B D F2 R U' B'
L B D F2 R' U' B'
L B D F2 R2 U' B'
L B D F2 U' D B'
L B D F2 U' D' B'
L B D F2 U' D2 B'
L B D F2 U' B' D
L B D F2 U' B' D'
L B D F2 U' B' D2
L B D F2 D U' B'
L B D F2 D' U' B'
L B D F2 D2 U' B'
U B D' U' F2 R F'
L B D' U2 B2 U B
U B D' F2 U' R F'
L B D2 R U' R B'
L B D2 R U' B' R
L B D2 R' U' R' B'
L B D2 U' R B' R
L B D2 U' R2 D B'
L B D2 U' R2 D' B'
L B D2 U' R2 D2 B'
L B D2 U' R2 B' D
L B D2 U' R2 B' D'
L B D2 U' R2 B' D2
L B D2 U' B R2 B2
L B D2 U' B' R2 D
L B D2 U' B' R2 D'
L B D2 U' B' R2 D2
L B D2 F U' R2 B'
L B D2 F U' B' R2
L B D2 F' U' R2 B'
L B D2 F' U' B' R2
L B D2 F2 U' R2 B'
L B D2 F2 U' B' R2
L B F U L2 F U2
L B F U' D2 R2 B'
L B F U' D2 B' R2
L B F U' B' D2 R2
L B F D F2 U' B'
L B F D2 U' R2 B'
L B F D2 U' B' R2
L B F' U L2 F U2
L B F' U' D2 R2 B'
L B F' U' D2 B' R2
L B F' U' B' D2 R2
F2 B U' D' R F' B'
F2 B U' D' R B' F'
F2 B U' D' B' R F'
L B F' D F2 U' B'
L B F' D2 U' R2 B'
L B F' D2 U' B' R2
L B F2 U L2 F U2
U B F2 U' D' R F'
L B F2 U' D2 R2 B'
L B F2 U' D2 B' R2
L B F2 U' B' D2 R2
L B F2 D F2 U' B'
U B F2 D' U' R F'
L B F2 D2 U' R2 B'
L B F2 D2 U' B' R2
F2 B D' U' R F' B'
F2 B D' U' R B' F'
F2 B D' U' B' R F'
L' B' U' L2 B2 U' B'
L' B' U2 D L2 F2 B
L' B' U2 D L2 B F2
L' B' U2 D F2 L2 B
L' B' U2 D F2 B L2
L' B' U2 D B L2 F2
L' B' U2 D B F2 L2
L' B' D U2 L2 F2 B
L' B' D U2 L2 B F2
L' B' D U2 F2 L2 B
L' B' D U2 F2 B L2
L' B' D U2 B L2 F2
L' B' D U2 B F2 L2
L' B' D' R2 F' B2 U2
L' B' D' R2 B2 F' U2
L' B' D' B2 R2 U2 B'
L B' D F2 U' L2 B
L B' D F2 U' B L2
B F2 U' D' R F' B'
B F2 U' D' R B' F'
B F2 U' D' B' R F'
B F2 D' U' R F' B'
B F2 D' U' R B' F'
B F2 D' U' B' R F'
