D R' F2 B L
D R' B L F2
D R' B F2 L
D F2 R' B L
D L R' F2 B L
D L R' B L F2
D L R' B F2 L
D L F2 R' B L
D L' R' F2 B L
D L' R' B L F2
D L' R' B F2 L
D L' F2 R' B L
D L2 R' F2 B L
D L2 R' B L F2
D L2 R' B F2 L
D L2 F2 R' B L
D R' L F2 B L
D R' L B L F2
D R' L B F2 L
D R' L' F2 B L
D R' L' B L F2
D R' L' B F2 L
D R' L2 F2 B L
D R' L2 B L F2
D R' L2 B F2 L
D R' F' B L F'
D R' F2 L B L
D R' F2 L' B L
D R' F2 L2 B L
D R' F2 D B L
D R' F2 D' B L
D R' F2 D2 B L
D R' F2 B L D
D R' F2 B L D'
D R' F2 B L D2
D R' F2 B D L
D R' F2 B D' L
D R' F2 B D2 L
D R' B L F2 D
D R' B L F2 D'
D R' B L F2 D2
D R' B L' F2 L2
D R' B F' L F'
D R' B F2 L D
D R' B F2 L D'
D R' B F2 L D2
D R' B F2 D L
D R' B F2 D' L
D R' B F2 D2 L
D F R' F B L
D F R' B F L
D F2 L R' B L
D F2 L' R' B L
D F2 L2 R' B L
D F2 R' L B L
D F2 R' L' B L
D F2 R' L2 B L
D F2 R' D B L
D F2 R' D' B L
D F2 R' D2 B L
D F2 R' B L D
D F2 R' B L D'
D F2 R' B L D2
D F2 R' B D L
D F2 R' B D' L
D F2 R' B D2 L
D' B2 L U2 B' L
D L2 F2 R' B L D
D L2 F2 R' B L D'
D L2 F2 R' B L D2
D L2 F2 R' B D L
D L2 F2 R' B D' L
D L2 F2 R' B D2 L
F' R L2 B U' L R2
F' R L2 B U' R2 L
D R F' U2 F' L' R2
D R F' U2 F' R2 L'
D' R B L R2 F' B'
D' R B L R2 B' F'
F' R B L2 U' L' R2
F' R B L2 U' R2 L'
D' R B R2 L F' B'
D' R B R2 L B' F'
D' R B R2 F' L B'
D R B L R2 F2 B
D R B L R2 B F2
D R B R2 L F2 B
D R B R2 L B F2
D R B R2 F2 L B
D R B' R2 F2 L' B
D R B' R2 F2 B L'
D R B' R2 B F2 L'
D R' L F' B L F'
D R' L F2 L B L
D R' L F2 L' B L
D R' L F2 L2 B L
D R' L F2 D B L
D R' L F2 D' B L
D R' L F2 D2 B L
D R' L F2 B L D
D R' L F2 B L D'
D R' L F2 B L D2
D R' L F2 B D L
D R' L F2 B D' L
D R' L F2 B D2 L
D R' L B L F2 D
D R' L B L F2 D'
D R' L B L F2 D2
D R' L B L' F2 L2
D R' L B F' L F'
D R' L B F2 L D
D R' L B F2 L D'
D R' L B F2 L D2
D R' L B F2 D L
D R' L B F2 D' L
D R' L B F2 D2 L
D R' L' F' B L F'
D R' L' F2 L B L
D R' L' F2 L' B L
D R' L' F2 L2 B L
D R' L' F2 D B L
D R' L' F2 D' B L
D R' L' F2 D2 B L
D R' L' F2 B L D
D R' L' F2 B L D'
D R' L' F2 B L D2
D R' L' F2 B D L
D R' L' F2 B D' L
D R' L' F2 B D2 L
D R' L' B L F2 D
D R' L' B L F2 D'
D R' L' B L F2 D2
D R' L' B L' F2 L2
D R' L' B F' L F'
D R' L' B F2 L D
D R' L' B F2 L D'
D R' L' B F2 L D2
D R' L' B F2 D L
D R' L' B F2 D' L
D R' L' B F2 D2 L
D R' L2 F' B L F'
D R' L2 F2 L B L
D R' L2 F2 L' B L
D R' L2 F2 L2 B L
D R' L2 F2 D B L
D R' L2 F2 D' B L
D R' L2 F2 D2 B L
D R' L2 F2 B L D
D R' L2 F2 B L D'
D R' L2 F2 B L D2
D R' L2 F2 B D L
D R' L2 F2 B D' L
D R' L2 F2 B D2 L
D R' L2 B L F2 D
D R' L2 B L F2 D'
D R' L2 B L F2 D2
D R' L2 B L' F2 L2
D R' L2 B F' L F'
D R' L2 B F2 L D
D R' L2 B F2 L D'
D R' L2 B F2 L D2
D R' L2 B F2 D L
D R' L2 B F2 D' L
D R' L2 B F2 D2 L
F' R' D F2 B L B
F' R' D B L F2 B
F' R' D B L B F2
F' R' D B F2 L B
D R' D B L D' F2
D R' D B D' L F2
D R' D B D' F2 L
D R' D' B D L F2
D R' D' B D F2 L
D R' F L' B L F
D R' F D F B L
D R' F D B F L
D R' F D' F B L
D R' F D' B F L
D R' F D2 F B L
D R' F D2 B F L
D R' F B D F L
D R' F B D' F L
D R' F B D2 F L
D R' F' L F' B L
D R' F' L B L F'
D R' F' L B F' L
D R' F' L' F' B L
D R' F' L' B L F'
D R' F' L' B F' L
D R' F' L2 F' B L
D R' F' L2 B L F'
D R' F' L2 B F' L
D R' F' D F' B L
D R' F' D B L F'
D R' F' D B F' L
D R' F' D' F' B L
D R' F' D' B L F'
D R' F' D' B F' L
D R' F' D2 F' B L
D R' F' D2 B L F'
D R' F' D2 B F' L
D R' F' B L D F'
D R' F' B L D' F'
D R' F' B L D2 F'
D R' F' B L F' D
D R' F' B L F' D'
D R' F' B L F' D2
D R' F' B L' F' L2
D R' F' B D L F'
D R' F' B D F' L
D R' F' B D' L F'
D R' F' B D' F' L
D R' F' B D2 L F'
D R' F' B D2 F' L
D R' F2 L D B L
D R' F2 L D' B L
D R' F2 L D2 B L
D R' F2 L B L D
D R' F2 L B L D'
D R' F2 L B L D2
D R' F2 L B D L
D R' F2 L B D' L
D R' F2 L B D2 L
D R' F2 L' D B L
D R' F2 L' D' B L
D R' F2 L' D2 B L
D R' F2 L' B L D
D R' F2 L' B L D'
D R' F2 L' B L D2
D R' F2 L' B D L
D R' F2 L' B D' L
D R' F2 L' B D2 L
D R' F2 L2 D B L
D R' F2 L2 D' B L
D R' F2 L2 D2 B L
D R' F2 L2 B L D
D R' F2 L2 B L D'
D R' F2 L2 B L D2
D R' F2 L2 B D L
D R' F2 L2 B D' L
D R' F2 L2 B D2 L
D' R' B L B' D2 F2
D R' F2 D L B L
D R' F2 D L' B L
D R' F2 D L2 B L
D R' F2 D B L D
D R' F2 D B L D'
D R' F2 D B L D2
D R' F2 D B D L
D R' F2 D B D' L
D R' F2 D B D2 L
D R' F2 D' L B L
D R' F2 D' L' B L
D R' F2 D' L2 B L
D R' F2 D' B L D
D R' F2 D' B L D'
D R' F2 D' B L D2
D R' F2 D' B D L
D R' F2 D' B D' L
D R' F2 D' B D2 L
D R' F2 D2 L B L
D R' F2 D2 L' B L
D R' F2 D2 L2 B L
D R' F2 D2 B L D
D R' F2 D2 B L D'
D R' F2 D2 B L D2
D R' F2 D2 B D L
D R' F2 D2 B D' L
D R' F2 D2 B D2 L
D R' F2 B L2 D L'
D R' F2 B L2 D' L'
D R' F2 B L2 D2 L'
D R' F2 B D L D
D R' F2 B D L D'
D R' F2 B D L D2
D R' F2 B D' L D
D R' F2 B D' L D'
D R' F2 B D' L D2
D R' F2 B D2 L D
D R' F2 B D2 L D'
D R' F2 B D2 L D2
D R' F2 B' L B2 L
D R' F2 B' L' B2 L
D R' F2 B' L2 B2 L
D R' B L R F2 R'
D R' B L R2 F2 R2
F' R' B D L F2 B2
F' R' B D L B2 F2
D R' B L F D F
D R' B L F D' F
D R' B L F D2 F
D R' B L F' D F'
D R' B L F' D' F'
D R' B L F' D2 F'
F' R' B D F2 L B2
D R' B L' F' L2 F'
D R' B L' F2 L2 D
D R' B L' F2 L2 D'
D R' B L' F2 L2 D2
D R' B R L F2 R'
D R' B R F2 L R'
D R' B R F2 R' L
D R' B R2 L F2 R2
D R' B R2 F2 L R2
D R' B R2 F2 R2 L
D R' B D L D' F2
D R' B D2 L D2 F2
D R' B F D F L
D R' B F D' F L
D R' B F D2 F L
D R' B F' L D F'
D R' B F' L D' F'
D R' B F' L D2 F'
D R' B F' L F' D
D R' B F' L F' D'
D R' B F' L F' D2
D R' B F' L' F' L2
D R' B F' D L F'
D R' B F' D F' L
D R' B F' D' L F'
D R' B F' D' F' L
D R' B F' D2 L F'
D R' B F' D2 F' L
D R' B F2 L2 D L'
D R' B F2 L2 D' L'
D R' B F2 L2 D2 L'
D R' B F2 D L D
D R' B F2 D L D'
D R' B F2 D L D2
D R' B F2 D' L D
D R' B F2 D' L D'
D R' B F2 D' L D2
D R' B F2 D2 L D
D R' B F2 D2 L D'
D R' B F2 D2 L D2
D R' B' L F2 B2 L
F' R' B' D F2 B2 L
D R' B' L B2 L F2
F' R' B' D B2 L F2
D R' B' L B2 F2 L
F' R' B' D B2 F2 L
D R' B' L' F2 B2 L
D R' B' L' B2 L F2
D R' B' L' B2 F2 L
D R' B' L2 F2 B2 L
D R' B' L2 B2 L F2
D R' B' L2 B2 F2 L
D R' B' F2 L B2 L
D R' B' F2 L' B2 L
D R' B' F2 L2 B2 L
R' D R' B L R F2
R' D R' B R L F2
R' D R' B R F2 L
L' D R' B L D F2
D R2 B L R F2 B
D R2 B L R B F2
R2 D R' F2 B L R2
R2 D R' F2 B R2 L
R2 D R' B L R2 F2
R2 D R' B L F2 R2
D R2 B R L F2 B
D R2 B R L B F2
R2 D R' B R2 L F2
R2 D R' B R2 F2 L
R2 D R' B F2 L R2
R2 D R' B F2 R2 L
D R2 B R F2 L B
F' U L2 R B U' R2
R' D F2 R' B L R
R' D F2 R' B R L
F' U R L2 B U' R2
R' D F2 D2 B L B'
R' D F2 B D2 L B'
F' U R B L2 U' R2
R' D B F2 D2 L B'
U2 D R' F' L' F' B
U2 D R' F' L' B F'
U2 D R' F' B L' F'
U2 D R' B F' L' F'
U2 D F' L' F' R' B
R' D' B L B' D2 F2
D U2 R' F' L' F' B
D U2 R' F' L' B F'
D U2 R' F' B L' F'
D U2 R' B F' L' F'
D U2 F' L' F' R' B
D F L' R' B L F
D F R' L' B L F
D F R' D F B L
D F R' D B F L
D F R' D' F B L
D F R' D' B F L
D F R' D2 F B L
D F R' D2 B F L
D F R' F L B L
D F R' F L' B L
D F R' F L2 B L
D F R' F D B L
D F R' F D' B L
D F R' F D2 B L
D F R' F B L D
D F R' F B L D'
D F R' F B L D2
D F R' F B D L
D F R' F B D' L
D F R' F B D2 L
D F R' F' B L F2
D F R' F2 B L F'
D F R' B D F L
D F R' B D' F L
D F R' B D2 F L
D F R' B F L D
D F R' B F L D'
D F R' B F L D2
D F R' B F D L
D F R' B F D' L
D F R' B F D2 L
D F R' B F' L F2
D F R' B F2 L F'
B D L F2 B' R' B
B D L B' R' F2 B
B D L B' R' B F2
B D L B' F2 R' B
D2 F D' R' F2 B L
D2 F D' R' B L F2
D2 F D' R' B F2 L
D2 F D' F2 R' B L
D' F D2 R' F2 B L
D' F D2 R' B L F2
D' F D2 R' B F2 L
D' F D2 F2 R' B L
D' F B2 L U2 B' L
D F' L F' R' B L
U2 F' L2 R U' L R2
U2 F' L2 R U' R2 L
D F' L' F' R' B L
U F' L2 R B U' R2
U2 F' R L2 U' L R2
U2 F' R L2 U' R2 L
D F' L2 F' R' B L
L2 F' R B U' L R2
L2 F' R B U' R2 L
F2 D F2 D R' B L
B D F2 L B' R' B
U F' R L2 B U' R2
U2 F' R' D L' F2 B2
U2 F' R' D L' B2 F2
U2 F' R' D B2 L' F2
B D F2 D2 L B' R'
U F' R B L2 U' R2
B D F2 B' R' B L
R' F' U L2 R B U'
R' F' U R L2 B U'
R' F' U R B L2 U'
B D B' R' F2 B L
B D B' R' B L F2
B D B' R' B F2 L
B D B' F2 R' B L
B D' L D2 F2 B' R'
B D' L D2 B' R' F2
B D' L D2 B' F2 R'
D F' U2 F' L' R' B
D F' U2 F' R' L' B
D F' U2 F' R' B L'
D2 F' D' R' F2 B L
D2 F' D' R' B L F2
D2 F' D' R' B F2 L
D2 F' D' F2 R' B L
D' F' D2 R' F2 B L
D' F' D2 R' B L F2
D' F' D2 R' B F2 L
D' F' D2 F2 R' B L
D' F' B2 L U2 B' L
D F2 L R' D B L
D F2 L R' D' B L
D F2 L R' D2 B L
D F2 L R' B L D
D F2 L R' B L D'
D F2 L R' B L D2
D F2 L R' B D L
D F2 L R' B D' L
D F2 L R' B D2 L
D F2 L' R' D B L
D F2 L' R' D' B L
D F2 L' R' D2 B L
D F2 L' R' B L D
D F2 L' R' B L D'
D F2 L' R' B L D2
D F2 L' R' B D L
D F2 L' R' B D' L
D F2 L' R' B D2 L
D F2 L2 R' D B L
D F2 L2 R' D' B L
D F2 L2 R' D2 B L
D F2 L2 R' B L D
D F2 L2 R' B L D'
D F2 L2 R' B L D2
D F2 L2 R' B D L
D F2 L2 R' B D' L
D F2 L2 R' B D2 L
D F2 R B L R2 B
D F2 R B R2 L B
D F2 R' L D B L
D F2 R' L D' B L
D F2 R' L D2 B L
D F2 R' L B L D
D F2 R' L B L D'
D F2 R' L B L D2
D F2 R' L B D L
D F2 R' L B D' L
D F2 R' L B D2 L
D F2 R' L' D B L
D F2 R' L' D' B L
D F2 R' L' D2 B L
D F2 R' L' B L D
D F2 R' L' B L D'
D F2 R' L' B L D2
D F2 R' L' B D L
D F2 R' L' B D' L
D F2 R' L' B D2 L
D F2 R' L2 D B L
D F2 R' L2 D' B L
D F2 R' L2 D2 B L
D F2 R' L2 B L D
D F2 R' L2 B L D'
D F2 R' L2 B L D2
D F2 R' L2 B D L
D F2 R' L2 B D' L
D F2 R' L2 B D2 L
D F2 R' D L B L
D F2 R' D L' B L
D F2 R' D L2 B L
D F2 R' D B L D
D F2 R' D B L D'
D F2 R' D B L D2
D F2 R' D B D L
D F2 R' D B D' L
D F2 R' D B D2 L
D F2 R' D' L B L
D F2 R' D' L' B L
D F2 R' D' L2 B L
D F2 R' D' B L D
D F2 R' D' B L D'
D F2 R' D' B L D2
D F2 R' D' B D L
D F2 R' D' B D' L
D F2 R' D' B D2 L
D F2 R' D2 L B L
D F2 R' D2 L' B L
D F2 R' D2 L2 B L
D F2 R' D2 B L D
D F2 R' D2 B L D'
D F2 R' D2 B L D2
D F2 R' D2 B D L
D F2 R' D2 B D' L
D F2 R' D2 B D2 L
D F2 R' F B L F'
D F2 R' F2 B L F2
D F2 R' B L2 D L'
D F2 R' B L2 D' L'
D F2 R' B L2 D2 L'
D F2 R' B D L D
D F2 R' B D L D'
D F2 R' B D L D2
D F2 R' B D' L D
D F2 R' B D' L D'
D F2 R' B D' L D2
D F2 R' B D2 L D
D F2 R' B D2 L D'
D F2 R' B D2 L D2
D F2 R' B F L F'
D F2 R' B F2 L F2
D F2 R' B' L B2 L
D F2 R' B' L' B2 L
D F2 R' B' L2 B2 L
D F2 R2 D R B L
D F2 R2 D' R B L
D F2 R2 D2 R B L
D F2 R2 B L R B
D F2 R2 B R L B
D2 F2 D' R' F2 B L
D2 F2 D' R' B L F2
D2 F2 D' R' B F2 L
D2 F2 D' F2 R' B L
D' F2 D2 R' F2 B L
D' F2 D2 R' B L F2
D' F2 D2 R' B F2 L
D' F2 D2 F2 R' B L
D F2 D2 R' B L B'
D F2 D2 B L B' R'
D F2 B L B' R' B
D' F2 B2 L U2 B' L
D F2 B D2 L B' R'
D' B L R' B' R' F'
D' B L R2 F' B' R'
D' B L R2 B' F' R'
D' B L B' R' D2 F2
D' B L B' D2 R' F2
D' B L B' D2 F2 R'
D B L F2 B' R' B
D B L B' R' F2 B
D B L B' R' B F2
D B L B' F2 R' B
D' B R' L B' R' F'
D' B R2 L F' B' R'
D' B R2 L B' F' R'
D' B R2 F' L B' R'
R' B D F2 D2 L B'
R' B D' L D2 F2 B'
R' B D' L D2 B' F2
D B F2 L B' R' B
D B F2 D2 L B' R'
D' B' R' B' L U2 B'
D B' R' U2 F2 B R'
D B' R' U2 B R' F2
D B' R' U2 B F2 R'
D B' R' B R' F2 L'
D' B2 L R U2 B' L
D' B2 L R' U2 B' L
D' B2 L R2 U2 B' L
D' B2 L U2 B' L D
D' B2 L U2 B' L D'
D' B2 L U2 B' L D2
D' B2 L U2 B' D L
D' B2 L U2 B' D' L
D' B2 L U2 B' D2 L
D' B2 L F U2 B' L
D' B2 L F' U2 B' L
D' B2 L F2 U2 B' L
D' B2 R L U2 B' L
D' B2 R' L U2 B' L
D' B2 R2 L U2 B' L
D' B2 U2 B' L B' R'
D' B2 F L U2 B' L
D' B2 F' L U2 B' L
D' B2 F2 L U2 B' L
