F' L2 D R F'
F' L D L R F'
F' L D R L F'
F' L D R F' L
F' L' R D' L' F
F' L' D L' R F'
F' L' D R L' F'
F' L' D' L' R F
F' L' D' R L' F
D' L' F B2 U' B2
D' L' B2 F U' B2
F2 L2 U' R B U
F' L2 D R D F'
F' L2 D R D' F'
F' L2 D R D2 F'
F' L2 D R F' D
F' L2 D R F' D'
F' L2 D R F' D2
L2 U L F' U' R
F2 L2 F D R F'
F' R L' D' L' F
L2 U F' L U' R
D' U L' F B2 U'
D' U L' B2 F U'
D' U B2 L' F U'
U D' L' F B2 U'
U D' L' B2 F U'
F2 U' R B U L2
U D' B2 L' F U'
F' D R D' L2 F'
F' D R D' F' L2
L F D F2 L R
L F D F2 R L
R' F' L2 D R F'
R2 F' L2 D R F'
L2 F' R U L U'
L F' R D L F2
L F' R D F2 L
R F' L2 D R F'
L2 F' U L U' R
L F' D L R F2
L F' D R L F2
L F' D R F2 L
L2 F2 U L F U'
D' B2 L' F U' B2
U D' L' B2 D' F U'
R D' U B2 L' F U'
U D' L' B2 D2 F U'
U D' L' B2 F U' D
U D' L' B2 F U' D'
U D' L' B2 F U' D2
U D' L' B2 F D U'
U D' L' B2 F D' U'
U D' L' B2 F D2 U'
D U' R' F2 B R U
D U' R' B F2 R U
F2 U' R D F2 B U
F2 U' R D B F2 U
F U' L2 D' B2 R' F'
F2 U' R F B U L2
F2 U' R F' B U L2
F2 U' R F2 B U L2
F2 U' R B U L2 D
F2 U' R B U L2 D'
F2 U' R B U L2 D2
F2 U' R B D F2 U
F2 U' R B F U L2
F2 U' R B F' U L2
F2 U' R B F2 U L2
D U' R2 F2 R B U
R' D' B2 L' F U' B2
F2 U' D R F2 B U
F2 U' D R B F2 U
D U' F2 R U2 F' U'
D U' F2 R' B R2 U
R2 D' B2 L' F U' B2
R D' B2 L' F U' B2
U D' B L' F B U'
U D' B L' B F U'
U D' B2 L' D F U'
U D' B2 L' D' F U'
U D' B2 L' D2 F U'
U D' B2 L' F U' D
U D' B2 L' F U' D'
U D' B2 L' F U' D2
U D' B2 L' F D U'
U D' B2 L' F D' U'
U D' B2 L' F D2 U'
F2 U' B R B U L2
F2 U' B' R B U L2
F2 U' B2 R B U L2
L' D2 B U' R' B' L'
L2 F L' D L F2 R
L F R D F2 L R
L F R D F2 R L
L F R' D F2 L R
L F R' D F2 R L
L2 F U L U L2 U2
L2 F U L U' D2 R2
L2 F U L D F2 U'
L2 F U L D2 U' R2
L F R2 D F2 L R
L F R2 D F2 R L
L2 F U F2 L U' R
F' D L R D' L2 F'
F' D L R D' F' L2
U F U L' B' U2 L'
F' D L' R D' L2 F'
F' D L' R D' F' L2
L2 F U2 L' U' L2 U'
L2 F U2 L' U2 D F2
L2 F U2 L' D U2 F2
L2 F U2 L' D' B2 U2
F' D L2 R D' L2 F'
F' D L2 R D' F' L2
F' D R L D' L2 F'
F' D R L D' F' L2
F' D R L' D' L2 F'
F' D R L' D' F' L2
F' D R L2 D' L2 F'
F' D R L2 D' F' L2
L F D L F2 D2 R2
F' D R U' F2 U F
L F D R F2 L R
L F D R F2 R L
F' D R D F' D2 L2
F' D R D' L F' L
F' D R D' L2 D F'
F' D R D' L2 D' F'
F' D R D' L2 D2 F'
F' D R D' L2 F' D
F' D R D' L2 F' D'
F' D R D' L2 F' D2
F' D R D' F L2 F2
L F D R' F2 L R
F' D R D' F' L2 D
F' D R D' F' L2 D'
F' D R D' F' L2 D2
L F D R' F2 R L
F' D R D2 F' D L2
L F D R2 F2 L R
L F D R2 F2 R L
F' D R F' U' F' U
L F D F' L F' R
L F D F2 L R D
L F D F2 L R D'
L F D F2 L R D2
L F D F2 L D R
L F D F2 L D' R
L F D F2 L D2 R
L F D F2 R L D
L F D F2 R L D'
L F D F2 R L D2
L F D F2 R D L
L F D F2 R D' L
L F D F2 R D2 L
L F D F2 D L R
L F D F2 D R L
L F D F2 D' L R
L F D F2 D' R L
L F D F2 D2 L R
L F D F2 D2 R L
L F D' L D2 R2 F2
L F D' L D2 F2 R2
F' D R2 D' L2 R' F'
F' D R2 D' R' L2 F'
F' D R2 D' R' F' L2
R' F' L D L R F'
R' F' L D R L F'
R' F' L D R F' L
F2 D U' R F2 B U
F2 D U' R B F2 U
R' F' L' R D' L' F
R' F' L' D L' R F'
R' F' L' D R L' F'
R' F' L' D' L' R F
R' F' L' D' R L' F
R2 F' L D L R F'
R2 F' L D R L F'
R2 F' L D R F' L
L2 F' L' R D L F2
L2 F' L' R D F2 L
L F' L R U L U'
L F' L U L U' R
R2 F' L' R D' L' F
L2 F' L' D L R F2
L2 F' L' D R L F2
L2 F' L' D R F2 L
R' F' L2 D R D F'
R' F' L2 D R D' F'
R' F' L2 D R D2 F'
R' F' L2 D R F' D
R' F' L2 D R F' D'
R' F' L2 D R F' D2
R2 F' L' D L' R F'
R F' L D L R F'
R2 F' L' D R L' F'
R F' L D R L F'
R F' L D R F' L
R2 F' L' D' L' R F
R2 F' L' D' R L' F
R' F' R L' D' L' F
R F' L' R D' L' F
U2 F' L2 D R F' B'
U2 F' L2 D R B' F'
U2 F' L2 D B' R F'
R2 F' L2 D R D F'
R F' L' D L' R F'
R2 F' L2 D R D' F'
R2 F' L2 D R D2 F'
R2 F' L2 D R F' D
R2 F' L2 D R F' D'
R2 F' L2 D R F' D2
R F' L' D R L' F'
R F' L' D' L' R F
R F' L' D' R L' F
U2 F' L2 B' D R F'
L2 F' R L' D L F2
L2 F' R L' D F2 L
L2 F' R U L U' D
L2 F' R U L U' D'
L2 F' R U L U' D2
L2 F' R U L D U'
L2 F' R U L D' U'
L2 F' R U L D2 U'
L2 F' R U D L U'
L2 F' R U D' L U'
L2 F' R U D2 L U'
L2 F' R D U L U'
R2 F' R L' D' L' F
L2 F' R D' U L U'
L2 F' R D2 U L U'
L2 F' R F U L U'
L2 F' R F' U L U'
L2 F' R F2 U L U'
R F' L2 D R D F'
R F' L2 D R D' F'
R F' L2 D R D2 F'
R F' L2 D R F' D
R F' L2 D R F' D'
R F' L2 D R F' D2
L2 F' R' U L U' R2
L F' R L U L U'
L F' R U L2 U' L'
R F' R L' D' L' F
L F' R D L F2 D
L F' R D L F2 D'
L F' R D L F2 D2
L F' R D L' F2 L2
L F' R D F' L F'
L F' R D F2 L D
L F' R D F2 L D'
L F' R D F2 L D2
L F' R D F2 D L
L F' R D F2 D' L
L F' R D F2 D2 L
L F' R D' L D2 F2
L F' R D2 L D' F2
L F' R F D L F2
L F' R F D F2 L
L F' R F' D L F2
L F' R F' D F2 L
L F' R F2 D L F2
L F' R F2 D F2 L
U' F' U L2 D R F'
L2 F' R2 U L U' R'
L2 F' U L U' R D
L2 F' U L U' R D'
L2 F' U L U' R D2
L2 F' U L U' D R
L2 F' U L U' D' R
L2 F' U L U' D2 R
L2 F' U L D U' R
L2 F' U L D' U' R
L2 F' U L D2 U' R
L2 F' U D L U' R
L2 F' U D' L U' R
L2 F' U D2 L U' R
L F' R2 D L R' F2
L F' R2 D L F2 R'
L F' R2 D R' L F2
L F' R2 D R' F2 L
L F' R2 D F2 L R'
L F' R2 D F2 R' L
F' D' L R D L2 F
L F' U L2 U' L' R
L F' U L2 U' R L'
F' D' L D L2 R F
F' D' L D R L2 F
L2 F' U' B2 R' U R2
F' D' L' R D F L2
F' D' L' R F D L2
U F' U' L2 D R F'
B2 D' L' R2 F B2 U'
B2 D' L' R2 B2 F U'
R' F' D R D' L2 F'
R' F' D R D' F' L2
B' D' L' F B2 U' B'
D' F' D L2 R F' R
F' D' L' D R F L2
D' F' D L2 F' R F'
D' F' D R L2 F' R
D' F' D R F' L2 R
D' F' D R F' R L2
B' D' L' B2 F U' B'
B2 D' L' F R2 B2 U'
B2 D' L' F B2 R2 U'
D' F' D F' L2 R F'
D' F' D F' R L2 F'
D' F' D F' R F' L2
B2 D' L' B2 R2 F U'
B2 D' L' B2 F R2 U'
L2 F' D R U L U'
L2 F' D U L U' R
R2 F' D R D' L2 F'
R2 F' D R D' F' L2
F' D' R L D L2 F
F' D' R L' D F L2
F' D' R L' F D L2
L F' D L R F2 D
L F' D L R F2 D'
L F' D L R F2 D2
L F' D L R' F2 R2
L F' D L R2 F2 R'
L2 F' D' R U L U'
L F' D L' R F2 L2
L F' D R L F2 D
L F' D R L F2 D'
L F' D R L F2 D2
L F' D R L' F2 L2
L2 F' D' U L U' R
L F' D R F' L F'
L F' D R F2 L D
L F' D R F2 L D'
L F' D R F2 L D2
L F' D R F2 D L
L F' D R F2 D' L
L F' D R F2 D2 L
L F' D R' L F2 R2
L F' D R' F2 L R2
L F' D R' F2 R2 L
L F' D R2 L F2 R'
L F' D R2 F2 L R'
L F' D R2 F2 R' L
R F' D R D' L2 F'
R F' D R D' F' L2
L F' D F2 L D2 R2
L F' D' L R D2 F2
L2 F' D2 R U L U'
L F' D' L D2 R F2
L F' D' R L D2 F2
L2 F' D2 U L U' R
L F' D' R D2 L F2
L F' D' R D2 F2 L
L F' D2 L D' R F2
B2 D' R2 L' F B2 U'
B2 D' R2 L' B2 F U'
L2 F' B D' R F' B'
L2 F' B D' R B' F'
L2 F' B D' B' R F'
B2 D' R2 B2 L' F U'
L2 F' B2 R B2 D' F2
L F2 L U L F U'
R' F2 L2 U' R B U
R' F2 L2 F D R F'
F2 D' F D L2 R F'
F2 D' F D R L2 F'
F2 D' F D R F' L2
U' F2 R F U L2 R
U' F2 R F U R L2
R2 F2 L2 U' R B U
R2 F2 L2 F D R F'
L2 F2 R U L F U'
R F2 L2 U' R B U
R F2 L2 F D R F'
L2 F2 R' U L F U'
L2 F2 R2 U L F U'
F D' F2 D L2 R F'
F D' F2 D R L2 F'
F D' F2 D R F' L2
D F2 R' B R2 U B'
L2 F2 U L D F U'
L2 F2 U L D' F U'
L2 F2 U L D2 F U'
L2 F2 U L F U' D
L2 F2 U L F U' D'
L2 F2 U L F U' D2
L2 F2 U L F D U'
L2 F2 U L F D' U'
L2 F2 U L F D2 U'
B2 D' B2 L' R2 F U'
B2 D' B2 L' F R2 U'
R' F2 U' R B U L2
L2 F2 U D L F U'
L2 F2 U D' L F U'
B2 D' B2 R2 L' F U'
L2 F2 U D2 L F U'
L2 F2 U F L F U'
L2 F2 U F' L F U'
L2 F2 U F2 L F U'
B D' B2 L' F U' B
R2 F2 U' R B U L2
R F2 U' R B U L2
L2 F2 D U L F U'
L F2 D L F R F
F' D2 R D F2 L' F
L2 F2 D' U L F U'
F' D2 R F2 D L' F
L F2 D F R F L
L2 F2 D2 U L F U'
U B D' L' F B2 U'
U B D' L' B2 F U'
U B D' B2 L' F U'
L2 B F' D' R F' B'
L2 B F' D' R B' F'
L2 B F' D' B' R F'
B2 F U' L2 B2 R' F'
L' B' U' L' D2 B R'
B' F' L2 D B R F'
B' F' L2 B D R F'
F' B' L2 D B R F'
L' B' U' D2 L' B R'
L' B' U' D2 B L' R'
L' B' U' D2 B R' L'
F' B' L2 B D R F'
B2 F' L2 B2 D R F'
L' B' D2 U' L' B R'
L' B' D2 U' B L' R'
L' B' D2 U' B R' L'
U B' D' L' F B2 U'
U B' D' L' B2 F U'
U B' D' B2 L' F U'
D' B2 L' R F U' B2
D' B2 L' R' F U' B2
D' B2 L' R2 F U' B2
D' B2 L' D' R2 F U'
D' B2 L' D' F R2 U'
D' B2 L' F R U' B2
D' B2 L' F R' U' B2
D' B2 L' F R2 U' B2
D' B2 L' F U' B2 D
D' B2 L' F U' B2 D'
D' B2 L' F U' B2 D2
D' B2 L' F D' R2 U'
D' B2 R L' F U' B2
D' B2 R' L' F U' B2
D' B2 R2 L' F U' B2
F' B2 L2 B2 D R F'
F B2 U' L2 B2 R' F'
U B2 D' L' F B2 U'
U B2 D' L' B2 F U'
U B2 D' B2 L' F U'
L2 B2 F' R B2 D' F2
