B R U2 L U' L'
B' R' D' F2 U R2
B' R' B2 U D2 L2
B' R' B2 U' R2 U2
B' R' B2 D' F2 U
B' R' B2 D2 U L2
B' R2 B2 R U L
B U L' D F2 L'
B U F2 L' D F2
B U' R U' L U'
B U' R U' L U'
B U2 L U R U2
F2 B U L' D F2
F2 B U2 L U' L2
F2 B' R' B2 U L'
B' F2 R' B2 U L'
B F2 U L' D F2
B F2 U2 L U' L2
B' R' B' D' F2 B' U
B' R' B' D' B' F2 U
B' R' B' D2 B' U L2
B' R' B2 U L D2 L2
B' R' B2 U L' D2 L2
B' R' B2 U L2 D2 L2
B' R' B2 U D2 L2 D
B' R' B2 U D2 L2 D'
B' R' B2 U D2 L2 D2
B' R' B2 U' R2 U2 D
B' R' B2 U' R2 U2 D'
B' R' B2 U' R2 U2 D2
B' R' B2 U' R2 D U2
B' R' B2 U' R2 D' U2
B' R' B2 U' R2 D2 U2
B' R' B2 U2 D B2 U'
B' R' B2 D U2 B2 U'
B' R' B2 D' F2 U D
B' R' B2 D' F2 U D'
B' R' B2 D' F2 U D2
B' R' B2 D' F2 D U
B' R' B2 D' F2 D' U
B' R' B2 D' F2 D2 U
B' R' B2 D2 U L2 D
B' R' B2 D2 U L2 D'
B' R' B2 D2 U L2 D2
B' R' B2 D2 F U L2
B' R' B2 D2 F' U L2
B' R' B2 D2 F2 U L2
B' R' B2 F U D2 L2
B' R' B2 F U' R2 U2
B' R' B2 F D' F2 U
B' R' B2 F D2 U L2
B' R' B2 F' U D2 L2
B' R' B2 F' U' R2 U2
B' R' B2 F' D' F2 U
B' R' B2 F' D2 U L2
B R' B2 R' B2 U L
B' R' B2 F2 U D2 L2
B' R' B2 F2 U' R2 U2
B' R' B2 F2 D' F2 U
B' R' B2 F2 D2 U L2
R2 U2 F' L' U R' U2
R2 U2 F' L' B2 U' L
R2 U2 F' B2 L' U' L2
B R2 U' R' U' L U'
B R2 U2 L U R' U2
B R2 U2 L B2 U' L
R2 U2 B2 F' L' U' L2
B' R2 F' B2 U L F
B' R2 B' R B' U L
B' R2 B2 R U L D
B' R2 B2 R U L D'
B' R2 B2 R U L D2
B' R2 B2 R U D L
B' R2 B2 R U D' L
B' R2 B2 R U D2 L
B' R2 B2 R D U L
B' R2 B2 R D' U L
B' R2 B2 R D2 U L
B' R2 B2 R F U L
B' R2 B2 R F' U L
B' R2 B2 R F2 U L
B' R2 B2 D R U L
B' R2 B2 D' R U L
B' R2 B2 D2 R U L
B' R2 B2 F' U L F
B U L' D L F2 L'
B U L' D L' F2 L'
B U L' D L2 F2 L'
B U L' D F2 L' D
B U L' D F2 L' D'
B U L' D F2 L' D2
B U L' D F2 D L'
B U L' D F2 D' L'
B U L' D F2 D2 L'
B U L' F2 D L' F2
B U D L' D F2 L'
B U D F2 L' D F2
B U D' L' D F2 L'
B U D' F2 L' D F2
B U D2 L' D F2 L'
B U D2 F2 L' D F2
B U F2 L' U L2 U'
B U F2 L' D F2 D
B U F2 L' D F2 D'
B U F2 L' D F2 D2
B U F2 L' F D F2
B U F2 L' F' D F2
B U F2 L' F2 D F2
B U F2 U L U' L2
B U F2 D L' D F2
B U F2 D' L' D F2
B U F2 D2 L' D F2
B' U' R U R2 B2 U
B' U' R U B2 R2 U
B' U' R U2 D' R2 F2
B' U' R U2 D' F2 R2
B' U' R D L2 B2 U2
B' U' R D B2 L2 U2
B' U' R D' U2 R2 F2
B' U' R D' U2 F2 R2
B U' R U' L U' D
B U' R U' L U' D'
B U' R U' L U' D2
B U' R U' L D U'
B U' R U' L D' U'
B U' R U' L D2 U'
B U' R U' D L U'
B U' R U' D' L U'
B U' R U' D2 L U'
B U' R D U' L U'
B U' R D' U' L U'
B U' R D2 U' L U'
B U' R B2 U R' U
B U' D R U' L U'
B U' D' R U' L U'
B U' D2 R U' L U'
B U' B D' R U2 F'
B U' B2 R U R2 U
B U' B2 R U2 D' F2
B U' B2 R D B2 U2
B U' B2 R D' U2 F2
B U2 L U R U2 D
B U2 L U R U2 D'
B U2 L U R U2 D2
B U2 L U R D U2
B U2 L U R D' U2
B U2 L U R D2 U2
B U2 L U D R U2
B U2 L U D' R U2
B U2 L U D2 R U2
B U2 L U' F2 L' F2
B U2 L U2 F2 U L'
B U2 L D U R U2
B U2 L D' U R U2
B U2 L D2 U R U2
B U2 L B U R U2
B U2 L B' U R U2
B U2 L B2 U R U2
B U2 L' U' D F2 L'
B U2 L' D U' F2 L'
B U2 D L U R U2
B U2 D' L U R U2
B U2 D2 L U R U2
B U2 F2 L F2 U' L2
B U2 B' U R B U2
B' D R' U D2 L2 R2
B' D R' U D2 R2 L2
B' D R' U' L2 R2 U2
B' D R' U' R2 L2 U2
B' D R' D' F2 B2 U
B' D R' D' B2 F2 U
B' D R' D2 U L2 R2
B' D R' D2 U R2 L2
B D R U2 L U' L'
B D U L' D F2 L'
B D U F2 L' D F2
B D U' R U' L U'
B D U2 L U R U2
U2 F' L' U2 B U L
B2 D F2 B' U L' F
B D F2 U L' D F2
B D F2 U2 L U' L2
F2 D B U L' D F2
F2 D B U2 L U' L2
F2 D B' R' B2 U L'
B2 D B' U F2 L' F
B2 D B' F2 U L' F
B' D' R' U D2 L2 R'
B' D' R' U D2 R' L2
B' D' R' U' R2 U2 R
B' D' R' D' F2 U R'
B' D' R' D2 U L2 R'
B' D' R' D2 U R' L2
B D' R U2 L U' L'
B D' U L' D F2 L'
B D' U F2 L' D F2
B D' U' R U' L U'
B D' U2 L U R U2
B' D' F2 R' U L' R'
B' D' F2 R' U R' L'
B D' F2 U L' D F2
B D' F2 U2 L U' L2
F2 D' B U L' D F2
F2 D' B U2 L U' L2
F2 D' B' R' B2 U L'
B2 D' B' U' R U2 F'
F D' B U2 L B' U'
B' D2 R' D2 B2 U L2
B D2 R U2 L U' L'
D2 F2 B U L' D F2
D' F2 B U L' D F2
D2 F2 B U2 L U' L2
D' F2 B U2 L U' L2
D2 F2 B' R' B2 U L'
D' F2 B' R' B2 U L'
D F2 B U L' D F2
D F2 B U2 L U' L2
D F2 B' R' B2 U L'
B D2 U L' D F2 L'
B D2 U F2 L' D F2
B D2 U' R U' L U'
B D2 U2 L U R U2
L B L' U D F2 L'
D2 B R U2 L U' L'
D' B R U2 L U' L'
L B L' D U F2 L'
L2 B L2 F2 R U L'
D B R U2 L U' L'
B D2 F2 U L' D F2
B D2 F2 U2 L U' L2
F2 D2 B U L' D F2
F2 D2 B U2 L U' L2
D2 B U L' D F2 L'
D' B U L' D F2 L'
F2 D2 B' R' B2 U L'
D2 B U F2 L' D F2
D' B U F2 L' D F2
U2 B U R U2 R' F'
D2 B U' R U' L U'
D' B U' R U' L U'
D B U L' D F2 L'
D2 B U2 L U R U2
D' B U2 L U R U2
U2 B U' R B U2 B'
D B U F2 L' D F2
D B U' R U' L U'
R2 B U2 L F' U' L'
D B U2 L U R U2
R2 B U2 F' L U' L2
F2 B R U L' D F2
F2 B R U2 L U' L2
B' F R' F B2 U L'
F2 B R' U L' D F2
B' F R' B2 F U L'
F2 B R' U2 L U' L2
F2 B R2 U L' D F2
F2 B R2 U2 L U' L2
D2 B F2 U L' D F2
D' B F2 U L' D F2
F2 B U L' U L2 U'
F2 B U L' D F2 D
F2 B U L' D F2 D'
F2 B U L' D F2 D2
D2 B F2 U2 L U' L2
F2 B U L' F D F2
F2 B U L' F' D F2
F2 B U L' F2 D F2
D' B F2 U2 L U' L2
F2 B U D L' D F2
F2 B U D' L' D F2
F2 B U D2 L' D F2
B F U F L' D F2
D B F2 U L' D F2
D B F2 U2 L U' L2
F' B U2 L B U' L
F B U F L' D F2
F2 B U2 L U' L2 D
F2 B U2 L U' L2 D'
F2 B U2 L U' L2 D2
F2 B U2 L D' B2 U'
F2 B U2 L B U' L2
F2 B U2 L B' U' L2
F2 B U2 L B2 U' L2
F2 B U2 D L U' L2
F2 B U2 D' L U' L2
F2 B U2 D2 L U' L2
B F U2 D' L B' U'
F2 B D U L' D F2
F2 B D U2 L U' L2
F B U2 D' L B' U'
F2 B D' U L' D F2
F2 B D' U2 L U' L2
D2 B' R' D' F2 U R2
D' B' R' D' F2 U R2
D2 B' R' B2 U D2 L2
D2 B' R' B2 U' R2 U2
D2 B' R' B2 D' F2 U
D2 B' R' B2 D2 U L2
B F D' U2 L B' U'
F2 B D2 U L' D F2
D' B' R' B2 U D2 L2
D' B' R' B2 U' R2 U2
D' B' R' B2 D' F2 U
D' B' R' B2 D2 U L2
F2 B D2 U2 L U' L2
F B D' U2 L B' U'
D2 B' R2 B2 R U L
D' B' R2 B2 R U L
D B' R' D' F2 U R2
D B' R' B2 U D2 L2
D B' R' B2 U' R2 U2
D B' R' B2 D' F2 U
D B' R' B2 D2 U L2
D B' R2 B2 R U L
R B' R' F2 B U L'
R B' R' B U' R U2
R B' R' B F2 U L'
R B' U R' B U B'
F2 B' R B2 R2 U L'
B' F' R' F' B2 U L'
F2 B' R' U L' D' R2
F2 B' R' U D' L' R2
F2 B' R' U D' R2 L'
B' F' R' B2 F' U L'
F' B' R' F' B2 U L'
F2 B' R' D' U L' R2
F2 B' R' D' U R2 L'
F' B' R' B2 F' U L'
F2 B' R' B2 U L' D
F2 B' R' B2 U L' D'
F2 B' R' B2 U L' D2
F2 B' R' B2 U D L'
F2 B' R' B2 U D' L'
F2 B' R' B2 U D2 L'
F2 B' R' B2 D U L'
F2 B' R' B2 D' U L'
F2 B' R' B2 D2 U L'
F2 B' R2 B2 R U L'
F B' R' F B2 U L'
F B' R' B2 F U L'
D2 B' F2 R' B2 U L'
D' B' F2 R' B2 U L'
B F' U2 L B U' L
D B' F2 R' B2 U L'
F2 B' D' R' U L' R'
F2 B' D' R' U R' L'
U' B2 R U B' R' U
B' F2 R B2 R2 U L'
B' F2 R' U L' D' R2
B' F2 R' U D' L' R2
B' F2 R' U D' R2 L'
B' F2 R' D' U L' R2
B' F2 R' D' U R2 L'
B F2 R U L' D F2
B' F2 R' B2 U L' D
B' F2 R' B2 U L' D'
B' F2 R' B2 U L' D2
B' F2 R' B2 U D L'
B' F2 R' B2 U D' L'
B' F2 R' B2 U D2 L'
B' F2 R' B2 D U L'
B' F2 R' B2 D' U L'
B' F2 R' B2 D2 U L'
B F2 R U2 L U' L2
B F2 R' U L' D F2
B' F2 R2 B2 R U L'
B F2 R' U2 L U' L2
B F2 R2 U L' D F2
B F2 R2 U2 L U' L2
B F2 U L' U L2 U'
B F2 U L' D F2 D
B F2 U L' D F2 D'
B F2 U L' D F2 D2
B F2 U L' F D F2
B F2 U L' F' D F2
B F2 U L' F2 D F2
B F2 U D L' D F2
B F2 U D' L' D F2
B F2 U D2 L' D F2
B F2 U2 L U' L2 D
B F2 U2 L U' L2 D'
B F2 U2 L U' L2 D2
B F2 U2 L D' B2 U'
B F2 U2 L B U' L2
B F2 U2 L B' U' L2
B F2 U2 L B2 U' L2
B F2 U2 D L U' L2
B F2 U2 D' L U' L2
B' F2 D' R' U L' R'
B' F2 D' R' U R' L'
B F2 U2 D2 L U' L2
B2 F2 D B' U L' F
F2 B2 D B' U L' F
B F2 D U L' D F2
B F2 D U2 L U' L2
B F2 D' U L' D F2
B F2 D' U2 L U' L2
B F2 D2 U L' D F2
B F2 D2 U2 L U' L2
