L R B' U B L
R L B' U B L
L2 U' R F U R
F2 U B' L' F U'
U F2 B' L' F U'
F2 B' L' F U' B
U B' F2 L' F U'
B' F2 L' F U' B
U F2 B' L' F D2 U'
U F2 B2 L' F B U'
U F2 B2 L' B F U'
L2 B R F U B' R'
D' B R' D B' L2 F
L B R B2 U B L
B' F L' F L' U' B
U B F2 L' F B2 U'
U B F2 L' B2 F U'
U B' L U2 R B' U
U B' L U2 B' R U
U B' L' F2 L' F' U'
U B' L2 U2 R B U
F2 B' L' D F U' B
F2 B' L' D' F U' B
F2 B' L' D2 F U' B
F2 B' L' F U' D B
F2 B' L' F U' D' B
F2 B' L' F U' D2 B
F2 B' L' F U' B D
F2 B' L' F U' B D'
F2 B' L' F U' B D2
F2 B' L' F D U' B
F2 B' L' F D' U' B
F2 B' L' F D2 U' B
R' B' U' D' F2 B R'
R' B' U' D' B R' F2
R' B' U' D' B F2 R'
F B' L' F L' U' B
R' B' D' U' F2 B R'
R' B' D' U' B R' F2
R' B' D' U' B F2 R'
B' F' U' D' B R' F'
F' B' U' D' B R' F'
U B' F L' F L' U'
B' F' D' U' B R' F'
L B' F' U B L F
F2 B' D' L' U' B R'
F' B' D' U' B R' F'
U B' F2 L' D F U'
U B' F2 L' D' F U'
U B' F2 L' D2 F U'
U B' F2 L' F U' D
U B' F2 L' F U' D'
U B' F2 L' F U' D2
U B' F2 L' F D U'
U B' F2 L' F D' U'
U B' F2 L' F D2 U'
B' F2 L' D F U' B
B' F2 L' D' F U' B
B' F2 L' D2 F U' B
B' F2 L' F U' D B
B' F2 L' F U' D' B
B' F2 L' F U' D2 B
B' F2 L' F U' B D
B' F2 L' F U' B D'
B' F2 L' F U' B D2
B' F2 L' F D U' B
B' F2 L' F D' U' B
B' F2 L' F D2 U' B
B2 F2 L' F B U' B
F2 B2 L' F B U' B
B2 F2 L' B F U' B
F2 B2 L' B F U' B
B' F2 D' L' U' B R'
U B2 F2 L' F B U'
U B2 F2 L' B F U'
