U2 L F B U2 L2
F2 L B R U2 B
U2 L B U2 L2 B'
U2 L B F U2 L2
U2 L' D2 R2 F' B'
U2 L' D2 R2 B' F'
U2 L' B' D2 R2 F2
U2 L' B' D2 F2 R2
B R U2 L' B R'
B R U2 B L' R'
B R U2 B R' L'
L' D2 R B R F'
B U2 L' B R' B2
B U2 B L' R' B'
B U2 B R' L' B'
B U2 B2 L' B' R'
L B R U2 L2 B
L B R U2 B L2
L B R' F' U2 L2
L B U2 L' B' L'
F2 B R U2 B R'
R2 B2 L' F' R' B
B F2 R U2 B R'
U2 D' L B U2 L2 B'
U2 D' L B F U2 L2
U2 D' L' D2 R2 F' B'
U2 D' L' D2 R2 B' F'
U2 D' L' B' D2 R2 F2
U2 D' L' B' D2 F2 R2
R2 D2 L U2 F' B' L2
R2 D2 L U2 B' L2 F'
R2 D2 L U2 B' F' L2
R D2 L U2 L2 F B
R D2 L U2 L2 B F
R2 D2 L' F' D2 R2 B2
R2 D2 L' F' D2 B2 R2
R D2 L B' U2 L2 B2
R D2 L B' U2 B2 L2
D' U2 L F B U2 L2
D' U2 L B U2 L2 B'
D' U2 L B F U2 L2
D2 U2 L F B U2 L2
D2 U2 L B U2 L2 B'
R D2 L' D2 F B R2
R D2 L' D2 B R2 F
R D2 L' D2 B F R2
D2 U2 L B F U2 L2
R D2 L' F D2 B R2
R D2 L' F B D2 R2
R D2 L' B D2 R2 F
R D2 L' B D2 F R2
R D2 L' B F D2 R2
U2 D2 L F B U2 L2
D' U2 L' D2 R2 F' B'
D' U2 L' D2 R2 B' F'
L' D2 R B R D F'
L' D2 R B R D' F'
L' D2 R B R D2 F'
L' D2 R B R F' D
L' D2 R B R F' D'
L' D2 R B R F' D2
U2 D2 L B U2 L2 B'
U2 D2 L B F U2 L2
L' D2 R B' R F' B2
L' D2 R B' R B2 F'
D2 U2 L' D2 R2 F' B'
D2 U2 L' D2 R2 B' F'
L' D2 R B2 R F' B'
L' D2 R B2 R B' F'
D' U2 L' B' D2 R2 F2
D' U2 L' B' D2 F2 R2
D U2 L F B U2 L2
D2 U2 L' B' D2 R2 F2
D2 U2 L' B' D2 F2 R2
D U2 L B U2 L2 B'
D U2 L B F U2 L2
U2 D2 L' D2 R2 F' B'
U2 D2 L' D2 R2 B' F'
U2 D2 L' B' D2 R2 F2
U2 D2 L' B' D2 F2 R2
D U2 L' D2 R2 F' B'
D U2 L' D2 R2 B' F'
D U2 L' B' D2 R2 F2
D U2 L' B' D2 F2 R2
L' D2 R2 F' R' B R
L D2 R' F' R' U2 F'
F' U2 L F B U2 L'
F' U2 L B F U2 L'
F2 U2 L B R F U2
L' D2 F R B R F'
B U2 L B L2 R' B'
B U2 L B R' L2 B'
B U2 L B2 L2 B' R'
F U2 L F B U2 L
B U2 L' R B R' B2
B U2 L' R' B R' B2
B U2 L' R2 B R' B2
B2 U2 L2 R' F L B'
L' D2 F' R B R F'
F U2 L B F U2 L
B2 U2 L2 F L R' B'
B2 U2 L2 F R' L B'
B U2 L' B R B2 R2
B U2 L' B R' B2 D
B U2 L' B R' B2 D'
B U2 L' B R' B2 D2
B U2 L' B R2 B2 R
B U2 L' B' U2 L U2
L' D2 F2 R B R F'
B U2 R L' B R' B2
B2 U2 R' L2 F L B'
B U2 R B L' R' B'
B U2 R B R' L' B'
B U2 R B2 L' B' R'
B U2 R' L' B R' B2
B U2 R' B L' R' B'
B U2 R' B R' L' B'
L D2 B R' F' R' U2
B U2 R' B2 L' B' R'
B U2 R2 L' B R' B2
B U2 R2 B L' R' B'
B U2 R2 B R' L' B'
B U2 R2 B2 L' B' R'
R D2 B2 R' B' L' F
U2 F L F B R U2
U2 F L B F R U2
B U2 B L' R B' R2
B U2 B L' R' D B'
B U2 B L' R' D' B'
B U2 B L' R' D2 B'
B U2 B L' R' B' D
B U2 B L' R' B' D'
B U2 B L' R' B' D2
B U2 B L' R2 B' R
B U2 B L' D R' B'
B U2 B L' D' R' B'
B U2 B L' D2 R' B'
B U2 B R L' B' R2
B U2 B R' L' D B'
B U2 B R' L' D' B'
B U2 B R' L' D2 B'
B U2 B R' L' B' D
B U2 B R' L' B' D'
B U2 B R' L' B' D2
B U2 B R' D L' B'
B U2 B R' D' L' B'
B U2 B R' D2 L' B'
B U2 B R' B L' B'
B U2 B R' B' L' B'
B U2 B R' B2 L' B'
B U2 B R2 L' B' R
B U2 B D L' R' B'
B U2 B D R' L' B'
B U2 B D' L' R' B'
B U2 B D' R' L' B'
B U2 B D2 L' R' B'
B U2 B D2 R' L' B'
B U2 B' L' D2 R2 B'
B U2 B' L' D2 B' R2
B U2 B' L' B' D2 R2
B U2 B2 L' R B' R'
B U2 B2 L' R' B' R'
B U2 B2 L' R2 B' R'
B U2 B2 L' D B' R'
B U2 B2 L' D' B' R'
B U2 B2 L' D2 B' R'
B U2 B2 L' B' R' D
B U2 B2 L' B' R' D'
B U2 B2 L' B' R' D2
B U2 B2 L' B' D R'
B U2 B2 L' B' D' R'
B U2 B2 L' B' D2 R'
B U2 B2 R L' B' R'
B U2 B2 R' L' B' R'
B U2 B2 R2 L' B' R'
B U2 B2 D L' B' R'
B U2 B2 D' L' B' R'
B U2 B2 D2 L' B' R'
F2 D L B R U2 B
L' F D2 R B R F'
R' F D2 B2 R' F' L'
L F B R U2 L2 B
L F B R U2 B L2
L F B R' F' U2 L2
L F B U2 L' B' L'
R' F' L U2 L F L'
U2 F' L F B U2 L'
U2 F' L B F U2 L'
F2 D B R U2 B R'
F2 D' L B R U2 B
L' F' D2 R B R F'
R2 F' D2 B' L B' R'
L F' B R U2 L2 B
L F' B R U2 B L2
L F' B R' F' U2 L2
L F' B U2 L' B' L'
D2 F2 L B R U2 B
D' F2 L B R U2 B
L2 F2 L R2 F' R' B
U2 F2 L B R F U2
D F2 L B R U2 B
R' F2 R F L B U2
R2 F2 R F' L U2 F2
F2 D' B R U2 B R'
L2 F2 R2 L F' R' B
L2 F2 R2 F' L R' B
L2 F2 R2 F' R' L B
F' D2 L B R' F' U2
F2 D2 L B R U2 B
L' F2 D2 R B R F'
D2 F2 B R U2 B R'
D' F2 B R U2 B R'
D F2 B R U2 B R'
L F2 B R U2 L2 B
L F2 B R U2 B L2
L F2 B R' F' U2 L2
L F2 B U2 L' B' L'
L2 B L' U2 L' B' L
L' B L2 R U2 L2 B
L' B L2 R U2 B L2
L' B L2 R' F' U2 L2
L' B L2 U2 L' B' L'
R2 B L' F' R' B R'
R2 B L' F' B R' B
R2 B L' B F' R' B
L' B R L2 U2 L2 B
L' B R L2 U2 B L2
D2 B R U2 L' B R'
D2 B R U2 B L' R'
D2 B R U2 B R' L'
D' B R U2 L' B R'
D' B R U2 B L' R'
D' B R U2 B R' L'
R B L' R D2 F' R
L' B R' L2 F' U2 L2
D B R U2 L' B R'
L' B R' F' L2 U2 L2
D B R U2 B L' R'
D B R U2 B R' L'
F2 D2 B R U2 B R'
L B R U2 L' B L'
L B R U2 L2 D B
L B R U2 L2 D' B
L B R U2 L2 D2 B
L B R U2 L2 B D
L B R U2 L2 B D'
L B R U2 L2 B D2
L B R U2 B L2 D
L B R U2 B L2 D'
L B R U2 B L2 D2
L B R U2 B' L2 B2
L B R D2 R2 F' U2
R B R L' D2 F' R
L B R F U2 L2 B
L B R F U2 B L2
L B R F' U2 L2 B
L B R F' U2 B L2
L B R F2 U2 L2 B
L B R F2 U2 B L2
R B R D2 L' F' R
L B R' D2 R2 U2 B
L B R' D2 F' R2 U2
L B R' F' R U2 L2
L B R' F' R' U2 L2
L B R' F' R2 U2 L2
L B R' F' U2 L2 D
L B R' F' U2 L2 D'
L B R' F' U2 L2 D2
L B R' F' D2 R2 U2
L B R' F2 U2 L2 B'
F2 B L R U2 B R'
D2 B U2 L' B R' B2
D' B U2 L' B R' B2
L B U L' U L' B'
D2 B U2 B L' R' B'
L B U F' L' U L'
D2 B U2 B R' L' B'
D' B U2 B L' R' B'
D' B U2 B R' L' B'
U2 B U2 L' R B R'
D2 B U2 B2 L' B' R'
D' B U2 B2 L' B' R'
U2 B U2 R L' B R'
F2 B L' R U2 B R'
U2 B U2 R B L' R'
U2 B U2 R B R' L'
D B U2 L' B R' B2
L B U' B' R' U' L2
F2 B L2 R U2 B R'
L B U2 L' D B' L'
L B U2 L' D' B' L'
L B U2 L' D2 B' L'
L B U2 L' B L' B2
L B U2 L' B' L' D
L B U2 L' B' L' D'
L B U2 L' B' L' D2
L B U2 L' B' D L'
L B U2 L' B' D' L'
L B U2 L' B' D2 L'
L B U2 L' B2 L' B
D B U2 B L' R' B'
D B U2 B R' L' B'
D B U2 B2 L' B' R'
L B U2 B L' B' L'
L B U2 B' L' B' L'
L B U2 B2 L' B' L'
F2 B R L U2 B R'
F2 B R L' U2 B R'
F2 B R L2 U2 B R'
F2 B R U2 B R' D
F2 B R U2 B R' D'
F2 B R U2 B R' D2
F2 B R U2 B D R'
F2 B R U2 B D' R'
F2 B R U2 B D2 R'
F2 B R F U2 B R'
F2 B R F' U2 B R'
F2 B R F2 U2 B R'
B F R U2 B L R'
B F R U2 B R' L
F B R U2 B L R'
F B R U2 B R' L
L B D2 R' F' R' U2
R B D2 L' F' R F2
D2 B F2 R U2 B R'
D' B F2 R U2 B R'
L B F R U2 L2 B
L B F R U2 B L2
L B F R' F' U2 L2
L B F U2 L' B' L'
L B F' R U2 L2 B
L B F' R U2 B L2
L B F' R' F' U2 L2
D B F2 R U2 B R'
L B F' U2 L' B' L'
L B F2 R U2 L2 B
L B F2 R U2 B L2
L B F2 R' F' U2 L2
L B F2 U2 L' B' L'
U2 B' L' D2 F2 B' R'
U2 B' L' D2 B' R' F2
U2 B' L' D2 B' F2 R'
R2 B' L' F' B' R' B
R2 B' L' B' F' R' B
L' B' R D2 F2 B R2
L' B' R D2 B R2 F2
L' B' R D2 B F2 R2
L' B' R B D2 R2 F'
L' B' R' D2 R2 F2 B
L' B' R' D2 R2 B F2
L B' R B2 U2 B' L2
L B' R' F' B2 U2 L2
L B' R' B2 F' U2 L2
L' B' D2 R B R F2
L' B' D2 F2 R B R
U2 B' D2 L' F2 B' R'
U2 B' D2 L' B' R' F2
U2 B' D2 L' B' F2 R'
L2 B' D2 F2 R B L
R' B2 L' R2 B R F'
R2 B2 L F' L2 R' B
R2 B2 L F' R' L2 B
R2 B2 L F' R' B L2
U2 B2 L2 R' F L B'
R2 B2 L' F R' F2 B
R2 B2 L' F R' B F2
R2 B2 L' F' R' D B
R2 B2 L' F' R' D' B
R2 B2 L' F' R' D2 B
R2 B2 L' F' R' B D
R2 B2 L' F' R' B D'
R2 B2 L' F' R' B D2
R2 B2 L' F2 R' F B
R2 B2 L' F2 R' B F
U2 B2 L2 F L R' B'
U2 B2 L2 F R' L B'
B F2 L R U2 B R'
L' B2 R B D2 R2 F2
L' B2 R B D2 F2 R2
R2 B2 L2 F' L R' B
R2 B2 L2 F' R' L B
R' B2 R2 L' B R F'
B F2 L' R U2 B R'
U2 B2 R' L2 F L B'
L B2 R U2 L2 F B
L B2 R U2 L2 B F
R' B2 R2 B L' R F'
R' B2 R2 B R L' F'
L2 B2 R' B' L' F' U2
R2 B2 R' D2 L' F B
R2 B2 R' D2 L' B F
B F2 L2 R U2 B R'
R2 B2 R' D2 B L' F
L B2 R B' U2 L2 B2
L B2 R B' U2 B2 L2
R2 B2 R' B D2 L' F
R B2 R B' L' F' R2
B2 F2 R B' U2 R2 B2
B2 F2 R B' U2 B2 R2
L B2 R' F' U2 L2 F
L B2 R' F' B' U2 L2
B F2 R L U2 B R'
F2 B2 R B' U2 R2 B2
F2 B2 R B' U2 B2 R2
B F2 R L' U2 B R'
B F2 R L2 U2 B R'
L B2 R' B' F' U2 L2
B F2 R U2 B R' D
B F2 R U2 B R' D'
B F2 R U2 B R' D2
B F2 R U2 B D R'
B F2 R U2 B D' R'
B F2 R U2 B D2 R'
R2 B2 U L' F' R' B
B F2 R F U2 B R'
B F2 R F' U2 B R'
R B2 R' B' L' D2 F2
R B2 R' B' D2 L' F2
B F2 R F2 U2 B R'
R2 B2 U' L' F' R' B
R2 B2 U2 L' F' R' B
L B2 U2 L' B' L' F
R B2 D2 R' B' L' F
