L D' R F' B'
L D' R B' F'
L D' B' R F'
L2 R D L' F B'
L2 R D L' B' F
U2 L D' R F' B'
U2 L D' R B' F'
U' L D' R F' B'
U' L D' R B' F'
U L D' R F' B'
U L D' R B' F'
U2 L D' B' R F'
U' L D' B' R F'
U L D' B' R F'
L R B' U L U'
R L B' U L U'
R L B' U L U'
R L2 D L' F B'
R L2 D L' B' F
D' R D L F' B'
D' R D L B' F'
D' R D F' L B'
D' R F' D L B'
L2 D L' R F B'
L2 D L' R B' F
L2 D L' B' R F
L2 D R L' F B'
L2 D R L' B' F
L D B' D2 R F'
L2 D' L' R F' B'
L2 D' L' R B' F'
L2 D' L' R B' F'
L2 D' L' B' R F'
L2 D' R L' F' B'
L2 D' R L' B' F'
L D' R D F' B'
L D' R D B' F'
L D' R D' F' B'
L D' R D' B' F'
L D' R D2 F' B'
L D' R D2 B' F'
L D' R F' D B'
L D' R F' D' B'
L D' R F' D2 B'
L D' R F' B' D
L D' R F' B' D'
L D' R F' B' D2
L D' R B' D F'
L D' R B' D' F'
L D' R B' D2 F'
L D' R B' F' D
L D' R B' F' D'
L D' R B' F' D2
L D' B R F' B2
L D' B R B2 F'
L D' B' R D F'
L D' B' R D' F'
L D' B' R D2 F'
L D' B' R F' D
L D' B' R F' D'
L D' B' R F' D2
L D2 B' D R F'
L B R B2 D' F2
L B' R U L U'
L B' U L U' R
L2 R B' L' B' D F2
R' L B' R2 U L U'
R L B' L' D L F2
R L B' L' D F2 L
R' L B' U L U' R2
F L F' D' R F' B'
F L F' D' R B' F'
F L F' D' B' R F'
L R B' U L U' D
L R B' U L U' D'
L R B' U L U' D2
L R B' U L D U'
L R B' U L D' U'
L R B' U L D2 U'
L R B' U D L U'
L R B' U D' L U'
L R B' U D2 L U'
R L B' U L U' D
R L B' U L U' D'
R L B' U L U' D2
R L B' U L D U'
R L B' U L D' U'
R L B' U L D2 U'
R L B' U D L U'
R L B' U D' L U'
R L B' U D2 L U'
L R B' D U L U'
L R B' D' U L U'
R L B' D U L U'
L R B' D2 U L U'
R L B' D' U L U'
L R B' F U L U'
R L B' D2 U L U'
L R B' F' U L U'
R L B' F U L U'
L R B' F2 U L U'
R L B' F' U L U'
R L B' F2 U L U'
D' L B R D F' B2
D' L B R D B2 F'
D' L B R F' D B2
U' L B R B2 D' F2
U2 L B R B2 D' F2
B' L B U' L R B2
B' L B U' L B2 R
B' L B U' R L B2
U L B R B2 D' F2
B L B' L D' R F'
U' L B' R U L U'
U2 L B' R U L U'
F' L B' U L F U'
U' L B' U L U' R
U2 L B' U L U' R
U L B' R U L U'
U L B' U L U' R
B L B' D' L R F'
B L B' D' R L F'
B L B' D' R F' L
L R' B' R2 U L U'
L R' B' U L U' R2
L2 R2 D L' R' F B'
L2 R2 D L' R' B' F
R2 L2 D L' R' F B'
R2 L2 D L' R' B' F
L2 R2 D L' F R' B'
R2 L2 D L' F R' B'
L2 R2 D R' L' F B'
L2 R2 D R' L' B' F
R2 L2 D R' L' F B'
R2 L2 D R' L' B' F
R L2 D L' D F B'
R L2 D L' D B' F
R L2 D L' D' F B'
R L2 D L' D' B' F
R L2 D L' D2 F B'
R L2 D L' D2 B' F
R L2 D L' F D B'
R L2 D L' F D' B'
R L2 D L' F D2 B'
R L2 D L' F B' D
R L2 D L' F B' D'
R L2 D L' F B' D2
R L2 D L' B' D F
R L2 D L' B' D' F
R L2 D L' B' D2 F
R L2 D L' B' F D
R L2 D L' B' F D'
R L2 D L' B' F D2
R L2 D B L' F B'
R L2 D B L' B' F
R L2 D B' L' F B'
R L2 D B' L' B' F
R L2 D B2 L' F B'
R L2 D B2 L' B' F
L R2 D' R F' R2 B'
L R2 D' R F' B' R2
L R2 D' R B' F' R2
L R2 D' R' B' D2 F2
U' L2 R D L' F B'
U' L2 R D L' B' F
U2 L2 R D L' F B'
U2 L2 R D L' B' F
U L2 R D L' F B'
U L2 R D L' B' F
U' L2 D L' R F B'
U' L2 D L' R B' F
F' L2 D L' F R B'
F' L2 D L' F B' R
F' L2 D L' B' F R
R L2 B' L' D F2 B'
R L2 B' L' D B' F2
U' L2 D L' B' R F
R L2 B' L' B' D F2
U' L2 D R L' F B'
U' L2 D R L' B' F
U2 L2 D L' R F B'
U2 L2 D L' R B' F
U2 L2 D L' B' R F
U2 L2 D R L' F B'
U2 L2 D R L' B' F
U L2 D L' R F B'
U L2 D L' R B' F
U L2 D L' B' R F
U L2 D R L' F B'
U L2 D R L' B' F
U' L2 D' L' R F' B'
U' L2 D' L' R B' F'
U' L2 D' L' B' R F'
U' L2 D' R L' F' B'
U' L2 D' R L' B' F'
U2 L2 D' L' R F' B'
U2 L2 D' L' R B' F'
U2 L2 D' L' B' R F'
U2 L2 D' R L' F' B'
U2 L2 D' R L' B' F'
U L2 D' L' R F' B'
U L2 D' L' R B' F'
U L2 D' L' B' R F'
U L2 D' R L' F' B'
U L2 D' R L' B' F'
L' U L2 D' R F' B'
L' U L2 D' R B' F'
L' U L2 D' B' R F'
U' R L B' U L U'
U2 R L B' U L U'
B R L B' L D' F2
B R L B' D' L F2
B R L B' D' F2 L
U R L B' U L U'
U' R L2 D L' F B'
U' R L2 D L' B' F
U2 R L2 D L' F B'
U2 R L2 D L' B' F
U R L2 D L' F B'
U R L2 D L' B' F
D' R D L D F' B'
D' R D L D B' F'
D' R D L D' F' B'
D' R D L D' B' F'
D' R D L D2 F' B'
D' R D L D2 B' F'
D' R D L F' D B'
D' R D L F' D' B'
D' R D L F' D2 B'
D' R D L F' B' D
D' R D L F' B' D'
D' R D L F' B' D2
D' R D L B' D F'
D' R D L B' D' F'
D' R D L B' D2 F'
D' R D L B' F' D
D' R D L B' F' D'
D' R D L B' F' D2
D' R D F L F2 B'
D' R D F L B' F2
D' R D F' L D B'
D' R D F' L D' B'
D' R D F' L D2 B'
D' R D F' L B' D
D' R D F' L B' D'
D' R D F' L B' D2
D' R D' F' D2 L B'
L' U' L2 D' R F' B'
L' U' L2 D' R B' F'
L' U' L2 D' B' R F'
D' R F' D L D B'
D' R F' D L D' B'
D' R F' D L D2 B'
D' R F' D L B' D
D' R F' D L B' D'
D' R F' D L B' D2
D' R F2 D F L B'
B R B' L D' F2 B'
B R B' L D' B' F2
B R B' L B' D' F2
B R' L U R2 B' L
B R' L U B' L R2
B R' L U B' R2 L
B R' U L R2 B' L
B R' U L B' L R2
B R' U L B' R2 L
B R' U R2 L B' L
B R' U R2 B' L B'
B R' U B' L R2 B'
B R' U B' L B' R2
B R' U B' R2 L B'
L U' B R' U R2 B2
L U' B R' U B2 R2
L2 U2 L' D' R F' B
L2 U2 L' D' R B F'
L' U2 L2 D' R F' B'
L' U2 L2 D' R B' F'
L' U2 L2 D' B' R F'
L2 U2 R D L' F B
L2 U2 R D L' B F
L2 U2 R D B L' F
L2 U2 D L' R F B
L2 U2 D L' R B F
B R' B' U L R2 B'
B R' B' U L B' R2
B R' B' U R2 L B'
L2 U2 D R L' F B
L2 U2 D R L' B F
L2 U2 D R B L' F
L2 U2 D' L' R F' B
L2 U2 D' L' R B F'
L2 U2 D' R L' F' B
L2 U2 D' R L' B F'
L2 U2 D' R B L' F'
D' R2 L D' R' F' B
D' R2 L D' R' B F'
D' R2 D L R' F' B'
D' R2 D L R' B' F'
D' R2 D R' L F' B'
D' R2 D R' L B' F'
D' R2 D R' F' L B'
D' R2 D' L R' F' B
D' R2 D' L R' B F'
D' R2 D' R' L F' B
D' R2 D' R' L B F'
D' R2 D' R' F' L B
L2 D L' R D F B'
L2 D L' R D B' F
L2 D L' R D' F B'
L2 D L' R D' B' F
L2 D L' R D2 F B'
L2 D L' R D2 B' F
L2 D L' R F D B'
L2 D L' R F D' B'
L2 D L' R F D2 B'
L2 D L' R F B' D
L2 D L' R F B' D'
L2 D L' R F B' D2
L2 D L' R B' D F
L2 D L' R B' D' F
L2 D L' R B' D2 F
L2 D L' R B' F D
L2 D L' R B' F D'
L2 D L' R B' F D2
L2 D L' R' F R2 B'
L2 D L' R' F B' R2
L2 D L' R' B' R2 F
L2 D L' R' B' F R2
L2 D L' R2 F R' B'
L2 D L' D R F B'
L2 D L' D R B' F
L2 D L' D B' R F
L2 D L' D' R F B'
L2 D L' D' R B' F
L2 D L' D' B' R F
L2 D L' D2 R F B'
L2 D L' D2 R B' F
L2 D L' D2 B' R F
L D L' R F L B'
L2 D L' B R F B2
L2 D L' B R B2 F
L2 D L' B' R D F
L2 D L' B' R D' F
L2 D L' B' R D2 F
L2 D L' B' R F D
L2 D L' B' R F D'
L2 D L' B' R F D2
L2 D L' B' R' F R2
L2 D L' B' R2 F R'
L2 D L' B' D R F
L2 D L' B' D' R F
L2 D L' B' D2 R F
L2 D R L' D F B'
L2 D R L' D B' F
L2 D R L' D' F B'
L2 D R L' D' B' F
L2 D R L' D2 F B'
L2 D R L' D2 B' F
L2 D R L' F D B'
L2 D R L' F D' B'
L2 D R L' F D2 B'
L2 D R L' F B' D
L2 D R L' F B' D'
L2 D R L' F B' D2
L2 D R L' B' D F
L2 D R L' B' D' F
L2 D R L' B' D2 F
L2 D R L' B' F D
L2 D R L' B' F D'
L2 D R L' B' F D2
L D R L' F L B'
L2 D R B L' F B'
L2 D R B L' B' F
L2 D R B' L' F B'
L2 D R B' L' B' F
L2 D R B2 L' F B'
L2 D R B2 L' B' F
L2 D R' L' F R2 B'
L2 D R' L' F B' R2
L2 D R' L' B' R2 F
L2 D R' L' B' F R2
L D R B' L' F L
L2 D R2 L' F R' B'
L2 D U2 L' R F B
L2 D U2 L' R B F
L2 D U2 R L' F B
L2 D U2 R L' B F
L2 D U2 R B L' F
D' U R D L F' B'
D' U R D L B' F'
D' U R D F' L B'
D' U R F' D L B'
L2 D B L' R F B'
L2 D B L' R B' F
L2 D B L' B' R F
L2 D B R L' F B'
L2 D B R L' B' F
L2 D B' L' R F B'
L2 D B' L' R B' F
L2 D B' L' B' R F
L2 D B' R L' F B'
L2 D B' R L' B' F
L D B' L' R F L
L D B' R L' F L
L2 D B2 L' R F B'
L2 D B2 L' R B' F
L2 D B2 L' B' R F
L2 D B2 R L' F B'
L2 D B2 R L' B' F
L D B' D2 R D F'
L D B' D2 R D' F'
L D B' D2 R D2 F'
L D B' D2 R F' D
L D B' D2 R F' D'
L D B' D2 R F' D2
L D B2 D2 B R F'
L2 D' L' R D F' B'
L2 D' L' R D B' F'
L2 D' L' R D' F' B'
L2 D' L' R D' B' F'
L2 D' L' R D2 F' B'
L2 D' L' R D2 B' F'
L2 D' L' R F' D B'
L2 D' L' R F' D' B'
L2 D' L' R F' D2 B'
L2 D' L' R F' B' D
L2 D' L' R F' B' D'
L2 D' L' R F' B' D2
L2 D' L' R B' D F'
L2 D' L' R B' D' F'
L2 D' L' R B' D2 F'
L2 D' L' R B' F' D
L2 D' L' R B' F' D'
L2 D' L' R B' F' D2
L2 D' L' B R F' B2
L2 D' L' B R B2 F'
L D' L' R F' L B'
L2 D' L' B' R D F'
L2 D' L' B' R D' F'
L2 D' L' B' R D2 F'
L2 D' L' B' R F' D
L2 D' L' B' R F' D'
L2 D' L' B' R F' D2
L2 D' L2 R F' L B'
L' D' R D L2 F' B'
L' D' R D L2 B' F'
L2 D' R L' D F' B'
L2 D' R L' D B' F'
L2 D' R L' D' F' B'
L2 D' R L' D' B' F'
L2 D' R L' D2 F' B'
L2 D' R L' D2 B' F'
L2 D' R L' F' D B'
L2 D' R L' F' D' B'
L2 D' R L' F' D2 B'
L2 D' R L' F' B' D
L2 D' R L' F' B' D'
L2 D' R L' F' B' D2
L2 D' R L' B' D F'
L2 D' R L' B' D' F'
L2 D' R L' B' D2 F'
L2 D' R L' B' F' D
L2 D' R L' B' F' D'
L2 D' R L' B' F' D2
L2 D' R L2 F' L B'
L2 D' R D L' F' B'
L2 D' R D L' B' F'
L2 D' R D' L' F' B'
L2 D' R D' L' B' F'
L2 D' R D2 L' F' B'
L2 D' R D2 L' B' F'
L2 D' R B L' F' B'
L2 D' R B L' B' F'
L D' R L' F' L B'
L2 D' R B' L' F' B'
L2 D' R B' L' B' F'
L2 D' R B2 L' F' B'
L2 D' R B2 L' B' F'
L D' R D F' D B'
L D' R D F' D' B'
L D' R D F' D2 B'
L D' R D F' B' D
L D' R D F' B' D'
L D' R D F' B' D2
L D' R D B' D F'
L D' R D B' D' F'
L D' R D B' D2 F'
L D' R D B' F' D
L D' R D B' F' D'
L D' R D B' F' D2
L D' R D' F' D B'
L D' R D' F' D' B'
L D' R D' F' D2 B'
L D' R D' F' B' D
L D' R D' F' B' D'
L D' R D' F' B' D2
L D' R D' B' D F'
L D' R D' B' D' F'
L D' R D' B' D2 F'
L D' R D' B' F' D
L D' R D' B' F' D'
L D' R D' B' F' D2
L D' R D2 F' D B'
L D' R D2 F' D' B'
L D' R D2 F' D2 B'
L D' R D2 F' B' D
L D' R D2 F' B' D'
L D' R D2 F' B' D2
L D' R D2 B' D F'
L D' R D2 B' D' F'
L D' R D2 B' D2 F'
L D' R D2 B' F' D
L D' R D2 B' F' D'
L D' R D2 B' F' D2
L D' R F' R' B' R
L D' R F' R2 B' R2
L D' R F' D B' D
L D' R F' D B' D'
L D' R F' D B' D2
L D' R F' D' B' D
L D' R F' D' B' D'
L D' R F' D' B' D2
L D' R F' D2 B' D
L D' R F' D2 B' D'
L D' R F' D2 B' D2
L D' R F' B2 D B
L D' R F' B2 D' B
L D' R F' B2 D2 B
L D' R F2 D F B'
L D' R F2 D B' F
L D' R F2 D' F B'
L D' R F2 D' B' F
L D' R F2 D2 F B'
L D' R F2 D2 B' F
L D' R F2 B' D F
L D' R F2 B' D' F
L D' R F2 B' D2 F
L D' R B' L' F' L
L D' R B' L2 F' L2
L D' R B' D F' D
L D' R B' D F' D'
L D' R B' D F' D2
L D' R B' D' F' D
L D' R B' D' F' D'
L D' R B' D' F' D2
L D' R B' D2 F' D
L D' R B' D2 F' D'
L D' R B' D2 F' D2
L D' R B' F2 D F
L D' R B' F2 D' F
L D' R B' F2 D2 F
L D' R B2 D F' B
L D' R B2 D B F'
L D' R B2 D' F' B
L D' R B2 D' B F'
L D' R B2 D2 F' B
L D' R B2 D2 B F'
L D' R B2 F' D B
L D' R B2 F' D' B
L D' R B2 F' D2 B
L D' R' F R2 F' B'
L D' R' F R2 B' F'
L D' R' F' R2 F' B'
L D' R' F' R2 B' F'
L D' R' F2 R2 F' B'
L D' R' F2 R2 B' F'
L D' R' B' R2 D2 F2
L D' R2 D R' F' B'
L D' R2 D R' B' F'
L D' R2 D' R' F' B'
L D' R2 D' R' B' F'
L D' R2 D2 R' F' B'
L D' R2 D2 R' B' F'
L D' R2 F R' F' B'
L D' R2 F R' B' F'
L D' R2 F' R' F' B'
L D' R2 F' R' B' F'
L D' R2 F2 R' F' B'
L D' R2 F2 R' B' F'
U' D' R D L F' B'
U' D' R D L B' F'
D' U' R D L F' B'
D' U' R D L B' F'
U' D' R D F' L B'
D' U' R D F' L B'
L2 D' U2 L' R F' B
L2 D' U2 L' R B F'
L2 D' U2 R L' F' B
L2 D' U2 R L' B F'
L2 D' U2 R B L' F'
D' U' R F' D L B'
U' D' R F' D L B'
U2 D' R D L F' B'
U2 D' R D L B' F'
U2 D' R D F' L B'
U2 D' R F' D L B'
U D' R D L F' B'
U D' R D L B' F'
U D' R D F' L B'
U D' R F' D L B'
L D' F R F' R B'
L D' F R F' B' R
L D' F R B' F' R
L D' F B' R F' R
L2 D' B L' R F' B'
L2 D' B L' R B' F'
L2 D' B L' B' R F'
L2 D' B R L' F' B'
L2 D' B R L' B' F'
L2 D' B' L' R F' B'
L2 D' B' L' R B' F'
L2 D' B' L' B' R F'
L D' B R F' B2 D
L D' B R F' B2 D'
L D' B R F' B2 D2
L D' B R B2 D F'
L D' B R B2 D' F'
L D' B R B2 D2 F'
L D' B R B2 F' D
L D' B R B2 F' D'
L D' B R B2 F' D2
L2 D' B' R L' F' B'
L2 D' B' R L' B' F'
L D' B' L' R F' L
L2 D' B2 L' R F' B'
L2 D' B2 L' R B' F'
L D' B' L2 R F' L2
L2 D' B2 L' B' R F'
L D' B' R L' F' L
L D' B' R L2 F' L2
L D' B' R D F' D
L D' B' R D F' D'
L D' B' R D F' D2
L D' B' R D' F' D
L D' B' R D' F' D'
L D' B' R D' F' D2
L D' B' R D2 F' D
L D' B' R D2 F' D'
L D' B' R D2 F' D2
L D' B' R F2 D F
L D' B' R F2 D' F
L D' B' R F2 D2 F
L2 D' B2 R L' F' B'
L2 D' B2 R L' B' F'
L D' B' R' F R2 F'
L D' B' R' F' R2 F'
L D' B' R' F2 R2 F'
L D' B' R2 D R' F'
L D' B' R2 D' R' F'
L D' B' R2 D2 R' F'
L D' B' R2 F R' F'
L D' B' R2 F' R' F'
L D' B' R2 F2 R' F'
L D' B' F R F' R
L2 D2 L' D R F' B'
L2 D2 L' D R B' F'
L2 D2 L' D B' R F'
L2 D2 L' B' D R F'
L2 D2 R D' L' F B'
L2 D2 R D' L' B' F
D' U2 R D L F' B'
D' U2 R D L B' F'
D' U2 R D F' L B'
D' U2 R F' D L B'
B2 U' B2 L R F B'
B2 U' B2 L R B' F
B2 U' B2 L B' R F
B2 U' B2 R L F B'
B2 U' B2 R L B' F
L D2 B' D R D F'
L D2 B' D R D' F'
L D2 B' D R D2 F'
L D2 B' D R F' D
L D2 B' D R F' D'
L D2 B' D R F' D2
L D2 B2 D B R F'
R F L B' U L U'
R F L2 D L' F B'
R F L2 D L' B' F
R F' L B' U L U'
R F' L2 D L' F B'
R F' L2 D L' B' F
L F' D' F R F' B'
L F' D' F R B' F'
L F' D' F B' R F'
L F' D' B' F R F'
L F' B' U L F U'
R F2 L B' U L U'
R F2 L2 D L' F B'
R F2 L2 D L' B' F
L F2 D' F2 R F' B'
L F2 D' F2 R B' F'
L F2 D' F2 B' R F'
L F2 D' B' F2 R F'
L2 B L' R D' F2 B'
L2 B L' R D' B' F2
L2 B L' R B' D' F2
L' B L2 R D' F2 B'
L' B L2 R D' B' F2
L' B L2 R B' D' F2
L2 B L' B' D' R F'
L' B L2 B' D' R F'
L' B R L2 D' F2 B'
L' B R L2 D' B' F2
L' B R L2 B' D' F2
L2 B R L' D' F2 B'
L2 B R L' D' B' F2
L2 B R L' B' D' F2
L2 B R D' L' F2 B'
L2 B R D' L' B' F2
L' B R' U L2 R2 B'
L' B R' U L2 B' R2
L' B R' U R2 L2 B'
L B R U' R2 U B2
L B R D' F2 D B2
L B R F B2 D' F2
L B R F' B2 D' F2
L B R F2 B2 D' F2
L B R B D' F2 B
L B R B D' B F2
L B R B' D' F2 B'
L B R B' D' B' F2
L B R B2 U' R2 U
L B R B2 D' F2 D
L B R B2 D' F2 D'
L B R B2 D' F2 D2
L B R B2 F D' F2
L B R B2 F' D' F2
L B R B2 F2 D' F2
L B R' B2 R2 D' F2
L B U' R' U R2 B2
L B U' R' U B2 R2
L B D R D' F2 B2
L B D R D' B2 F2
L' B' L U' L R B'
L' B' L U' L B' R
L' B' L U' R L B'
L2 B' L U' L2 R B'
L2 B' L U' L2 B' R
L2 B' L U' R L2 B'
L2 B' L' R D F2 B'
L2 B' L' R D B' F2
L2 B' L' R B' D F2
L2 B' L' D R F2 B'
L2 B' L' D R B' F2
L2 B' L' D B' R F2
L2 B' L' B' R D F2
L2 B' L' B' D R F2
L B' L' R D L F2
L B' L' R D F2 L
L B' L' D L R F2
L B' L' D R L F2
L B' L' D R F2 L
L2 B' R L' D F2 B'
L2 B' R L' D B' F2
L2 B' R L' B' D F2
L B' R L' D L F2
L B' R L' D F2 L
L B' R U L U' D
L B' R U L U' D'
L B' R U L U' D2
L B' R U L D U'
L B' R U L D' U'
L B' R U L D2 U'
L B' R U D L U'
L B' R U D' L U'
L B' R U D2 L U'
L B' R D U L U'
L B' R D' U L U'
L B' R D2 U L U'
L B' R F U L U'
L B' R F' U L U'
L B' R F2 U L U'
L B' R' U L U' R2
L B' R2 U L U' R'
L B' U L U' R D
L B' U L U' R D'
L B' U L U' R D2
L B' U L U' D R
L B' U L U' D' R
L B' U L U' D2 R
L B' U L D U' R
L B' U L D' U' R
L B' U L D2 U' R
L B' U D L U' R
L B' U D' L U' R
L B' U D2 L U' R
L B' U' B2 R' U R2
L B' D R U L U'
L B' D U L U' R
L B' D' R U L U'
L B' D' U L U' R
L B' D2 R U L U'
L B' D2 U L U' R
L B' F' U L F U'
L2 B2 L' B' R D' F2
L' B2 L2 B' R D' F2
