R2 L' F U' B R
L' R2 F U' B R
L' U' R2 D B R'
F U F2 L' B' U2
F U' R' F' R2 B
L' F U F2 L' U2
L' F U' R D2 B2
L' F U' D2 R B2
L' F U' D2 B2 R
L' F D R2 U' R'
L' F D2 U' R B2
L' F D2 U' B2 R
F D R2 U' R' F'
L' F2 U F L' U2
L' D' F U F2 L' U2
L' D' F U' R D2 B2
L' D' F U' D2 R B2
L' D' F U' D2 B2 R
L' D' F D R2 U' R'
L' D' F D2 U' R B2
L' D' F D2 U' B2 R
L' D' F2 U F L' U2
F U' R U2 F2 B U2
F U' R U2 B F2 U2
F U' R B' D2 F2 B2
F U' R B' D2 B2 F2
F U' R' F' R2 D B
F U' R' F' R2 D' B
F U' R' F' R2 D2 B
F U' R' F' R2 B D
F U' R' F' R2 B D'
F U' R' F' R2 B D2
F U' R' F' B R2 B
F U' R' F' B' R2 B
F U' R' F' B2 R2 B
F U' R' B F' R2 B
F U' R' B' F' R2 B
F U' R' B2 F' R2 B
R2 D2 L' F U' B R
F U' D2 R' F' R2 B2
F U' D2 R' F' B2 R2
F U' D2 R' B2 F' R2
F U' D2 B2 R' F' R2
F U' F2 L' U2 L F
L' D2 R2 F U' B R
F U' B R' F' R2 B
L' D2 U' R2 D B R'
F U' B' R' F' R2 B
F U' B2 R' F' R2 B
L' D2 F U F2 L' U2
L' D2 F U' R D2 B2
L' D2 F U' D2 R B2
L' D2 F U' D2 B2 R
L' D2 F D R2 U' R'
L' D2 F D2 U' R B2
L' D2 F D2 U' B2 R
L' D2 F2 U F L' U2
F2 U2 R U' F L' U2
L2 F L U F2 L' U2
L2 F L U' R D2 B2
L2 F L U' D2 R B2
L2 F L U' D2 B2 R
L2 F L D R2 U' R'
L2 F L D2 U' R B2
L2 F L D2 U' B2 R
L' F R D R2 U' R2
L F L2 U F2 L' U2
L F L2 U' R D2 B2
L F L2 U' D2 R B2
L F L2 U' D2 B2 R
L F L2 D R2 U' R'
L F L2 D2 U' R B2
L F L2 D2 U' B2 R
L' F R' U F2 U2 R2
L' F R' U' R2 D2 B2
L' F R' F' U' R2 B
L' F R2 U F2 U2 R'
L' F R2 U' R' D2 B2
L' F R2 U' D2 R' B2
L' F R2 D R2 U' R
L' F R2 D2 U' R' B2
L' F U L F2 L' U2
L' F U L' F2 L' U2
L' F U L2 F2 L' U2
D' F U F2 L' B' U2
D2 F U F2 L' B' U2
L' F U F2 L' U2 D
L' F U F2 L' U2 D'
L' F U F2 L' U2 D2
L' F U F2 L' D U2
L' F U F2 L' D' U2
L' F U F2 L' D2 U2
L' F U F2 D L' U2
L' F U F2 D' L' U2
L' F U F2 D2 L' U2
R' F U' R' F' B R2
R' F U' R' B F' R2
R F R2 U' R' F' B
R F R2 U' R' B F'
D' F U' R' F' R2 B
D2 F U' R' F' R2 B
L' F U' R U2 F2 U2
L' F U' R D2 B2 D
L' F U' R D2 B2 D'
L' F U' R D2 B2 D2
L' F U' R B D2 B2
L' F U' R B' D2 B2
L' F U' R B2 D2 B2
L' F U' R2 D2 R' B2
L' F U' D' R D' B2
L' F U' D2 R B2 D
L' F U' D2 R B2 D'
L' F U' D2 R B2 D2
L' F U' D2 R' B2 R2
L' F U' D2 B' R B'
L' F U' D2 B2 R D
L' F U' D2 B2 R D'
L' F U' D2 B2 R D2
L' F U' D2 B2 D R
L' F U' D2 B2 D' R
L' F U' D2 B2 D2 R
L' F U' B R D2 B2
L' F U' B D2 R B2
L' F U' B D2 B2 R
D F U F2 L' B' U2
L' F U' B' R D2 B2
L' F U' B' D2 R B2
L' F U' B' D2 B2 R
L' F U' B2 R D2 B2
L' F U' B2 D2 R B2
L' F U' B2 D2 B2 R
D F U' R' F' R2 B
L' F U2 D' L2 U R
R2 F U' B R' F' R2
F D L R2 U' R' F'
D' F D R2 U' R' F'
D2 F D R2 U' R' F'
L' F D R2 U' R' D
L' F D R2 U' R' D'
L' F D R2 U' R' D2
L' F D R2 U' D R'
L' F D R2 U' D' R'
L' F D R2 U' D2 R'
L' F D R2 D U' R'
L' F D R2 D' U' R'
L' F D R2 D2 U' R'
L' F D R2 F U' R'
L' F D R2 F' U' R'
L' F D R2 F2 U' R'
L2 F D L R2 U' R'
L2 F D R2 L U' R'
F D L' R2 U' R' F'
L' F D' U' R D' B2
D F D R2 U' R' F'
L' F D' U2 L2 U R
L F D R2 U' R' F2
L F D R2 U' F2 R'
F D L2 R2 U' R' F'
L' F D2 R' U' R2 B2
L' F D2 R' U' B2 R2
L' F D2 R2 U' R' B2
L' F D2 U' R B2 D
L' F D2 U' R B2 D'
L' F D2 U' R B2 D2
L' F D2 U' R' B2 R2
L' F D2 U' B' R B'
L' F D2 U' B2 R D
L' F D2 U' B2 R D'
L' F D2 U' B2 R D2
L' F D2 U' B2 D R
L' F D2 U' B2 D' R
L' F D2 U' B2 D2 R
L2 F D2 L U' R B2
L2 F D2 L U' B2 R
F D R2 L U' R' F'
F D R2 L' U' R' F'
F D R2 L2 U' R' F'
F D R2 U' R' D F'
F D R2 U' R' D' F'
F D R2 U' R' D2 F'
F D R2 U' R' F' D
F D R2 U' R' F' D'
F D R2 U' R' F' D2
F D R2 U' D R' F'
F D R2 U' D' R' F'
F D R2 U' D2 R' F'
F D R2 U' F R' F'
F D R2 U' F' R' F'
F D R2 U' F2 R' F'
F D R2 D U' R' F'
F D R2 D' U' R' F'
F D R2 D2 U' R' F'
F D R2 F' L' U' R'
L' F' L' U' L U' L'
L2 F' L' U' L2 U' L2
U F' L U' F L' U'
L F' L' U' L' U' L
L' F' U L' U L U
U F' U' F L' U' R
L' F2 R U F L' U2
L' F2 R' U F L' U2
L F2 L2 F' U' R B'
L F2 L2 F' U' B' R
L' F2 R2 U F L' U2
L' F2 U F L' U2 D
L' F2 U F L' U2 D'
L' F2 U F L' U2 D2
L' F2 U F L' D U2
L' F2 U F L' D' U2
L' F2 U F L' D2 U2
L' F2 U F D L' U2
L' F2 U F D' L' U2
L' F2 U F D2 L' U2
F D2 R2 U' R' F' B2
F D2 R2 U' R' B2 F'
F D2 U R B2 L F
F D2 U' R' F' R2 B2
F D2 U' R' F' B2 R2
F D2 U' R' B2 F' R2
F D2 U' B2 R' F' R2
B2 F' D' L' R2 U2 F
B2 F' D' R2 L' U2 F
F' B2 D' L' R2 U2 F
F' B2 D' R2 L' U2 F
